,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-09,312.50M,312.50M,3.60M,130.10M,133.70M,6.20M,8.70M,,139.90M,2.00M,228.50M,91.30M,29.70M,61.60M,,,,61.60M,61.60M,16.00M,121.70M,0.21,,,0.21,0.21,0.21,,,0.21,0.21,298.40M,298.40M,0.165
2014-06,307.70M,307.70M,3.20M,132.00M,135.20M,6.20M,8.70M,,141.40M,2.20M,228.20M,111.20M,38.90M,72.30M,,,,72.30M,72.30M,16.00M,139.70M,0.24,,,0.24,0.24,0.24,,,0.24,0.24,298.20M,298.20M,0.165
2014-03,307.00M,307.00M,2.50M,135.60M,138.10M,6.20M,11.10M,,144.30M,1.50M,227.10M,80.80M,27.70M,53.10M,,,,53.10M,53.10M,16.20M,109.10M,0.18,,,0.18,0.18,0.18,,,0.18,0.18,297.70M,297.70M,0.1625
2013-12,307.40M,307.40M,3.60M,129.40M,133.00M,6.60M,8.40M,,139.60M,3.90M,224.90M,88.70M,29.40M,59.30M,,,,59.30M,59.30M,16.60M,117.20M,0.2,,,0.2,0.2,0.2,,,0.2,0.2,301.70M,301.80M,0.1625
2013-09,309.60M,309.60M,4.60M,128.60M,133.20M,6.50M,7.80M,,139.70M,3.20M,223.50M,85.00M,26.50M,58.50M,,,,58.50M,58.50M,16.60M,113.70M,0.19,,,0.19,0.19,0.19,,,0.19,0.19,307.50M,307.60M,0.1625
2013-06,309.10M,309.10M,4.50M,126.00M,130.50M,6.60M,7.60M,,137.10M,2.40M,220.90M,94.10M,32.00M,62.10M,,,,62.10M,62.10M,16.70M,123.30M,0.2,,,0.2,0.2,0.2,,,0.2,0.2,313.40M,313.50M,0.1625
2013-03,304.20M,304.20M,2.70M,120.90M,123.60M,6.50M,7.50M,,130.10M,,219.30M,79.80M,27.30M,52.50M,,,,52.50M,52.50M,16.60M,109.20M,0.16,,,0.16,0.16,0.16,,,0.16,0.16,325.10M,325.20M,0.16
2012-12,316.00M,316.00M,4.30M,141.20M,145.50M,6.70M,7.50M,,152.20M,,225.10M,96.60M,35.40M,61.20M,,,,61.20M,61.20M,16.70M,123.50M,0.18,,,0.18,0.18,0.18,,,0.18,0.18,331.40M,331.50M,0.16
2012-09,316.20M,316.20M,3.90M,119.40M,123.30M,6.70M,6.80M,,130.00M,,234.80M,92.20M,30.00M,62.20M,,,,62.20M,62.20M,16.90M,117.70M,0.18,,,0.18,0.18,0.18,,,0.18,0.18,336.40M,336.50M,0.16
2012-06,311.30M,311.30M,5.10M,116.30M,121.40M,6.80M,6.40M,,128.20M,,235.60M,95.00M,30.40M,64.60M,,,0.30M,64.60M,64.60M,16.40M,121.80M,0.19,,,0.19,0.19,0.19,,,0.19,0.19,340.60M,340.70M,0.16
2012-03,305.60M,305.60M,4.40M,121.60M,126.00M,6.60M,5.60M,,132.60M,,233.20M,85.50M,28.20M,57.30M,,,0.30M,57.30M,57.30M,15.90M,112.50M,0.17,,,0.17,0.17,0.17,,,0.17,0.17,344.90M,345.00M,0.1575
2011-12,311.20M,311.20M,,153.40M,170.60M,,,-13.30M,157.30M,0.00,239.50M,60.30M,18.90M,41.40M,,,,41.40M,50.53M,1.80M,90.70M,0.12,,,0.1464,0.12,0.12,,,0.1463,0.12,346.50M,346.60M,0.1575
2011-09,322.40M,322.40M,,110.10M,110.10M,,,-20.10M,90.00M,8.60M,237.70M,76.10M,24.60M,51.50M,,,,51.50M,65.10M,22.60M,110.10M,0.14,0.0,,0.178,0.14,0.14,0.0,,0.178,0.14,358.20M,358.30M,0.1575
2011-06,297.80M,297.80M,,102.50M,102.50M,,,-6.40M,96.10M,0.10M,221.20M,76.80M,25.60M,51.20M,,,,51.20M,55.47M,20.50M,108.40M,0.15,0.0,,0.1624,0.15,0.15,0.0,,0.1624,0.15,343.80M,343.90M,0.1575
2011-03,294.90M,294.90M,,105.40M,105.40M,,,-3.10M,102.30M,0.10M,220.30M,77.50M,25.80M,51.70M,,,,51.70M,53.77M,20.10M,110.00M,0.15,0.0,,0.156,0.15,0.15,0.0,,0.156,0.15,345.90M,346.00M,0.155
2010-12,252.90M,252.90M,,118.80M,136.10M,,,-20.10M,116.00M,-1.00M,184.80M,42.90M,14.10M,28.80M,,,,28.80M,42.29M,19.30M,73.90M,0.08,,,0.1183,0.08,0.08,,,0.1183,0.08,352.20M,352.30M,0.155
2010-09,243.80M,243.80M,,93.20M,93.20M,,,-1.00M,92.20M,0.00,175.80M,35.70M,11.60M,24.10M,,,,24.10M,24.78M,19.00M,67.40M,0.07,0.0,,0.0719,0.07,0.07,0.0,,0.0719,0.07,354.90M,355.00M,0.155
2010-06,243.50M,243.50M,,92.60M,92.60M,,,-2.80M,89.80M,0.00,173.80M,23.00M,7.00M,16.00M,,,,16.00M,17.95M,17.50M,56.10M,0.04,0.0,,0.0454,0.04,0.04,0.0,,0.0454,0.04,358.10M,358.20M,0.155
2010-03,223.80M,223.80M,,96.30M,96.30M,,,-14.70M,81.60M,0.00,159.60M,20.40M,6.80M,13.60M,,,,13.60M,23.40M,17.40M,54.40M,0.04,0.0,,0.0684,0.04,0.04,0.0,,0.0684,0.04,344.60M,344.80M,0.1525
2009-12,219.20M,219.20M,5.20M,89.20M,94.40M,,,-2.00M,92.40M,-0.10M,147.50M,33.40M,8.50M,24.90M,,,,24.90M,26.39M,16.40M,73.40M,0.07,0.0,,0.0745,0.07,0.07,0.0,,0.0745,0.07,332.60M,333.20M,0.1525
2009-09,225.50M,225.50M,5.70M,86.00M,91.70M,,,0.00,91.70M,4.70M,145.30M,38.90M,12.10M,26.80M,,,,26.80M,26.80M,17.70M,85.50M,0.08,0.0,,0.08,0.08,0.08,0.0,,0.08,0.08,332.00M,332.20M,0.1525
2009-06,226.20M,226.20M,5.20M,86.60M,91.80M,,,0.00,91.80M,12.00M,141.20M,36.00M,10.70M,25.30M,,,,25.30M,25.30M,15.90M,87.00M,0.08,0.0,,0.08,0.08,0.08,0.0,,0.08,0.08,331.80M,332.30M,0.1525
2009-03,215.00M,215.00M,4.90M,88.70M,93.60M,,,0.00,93.60M,7.30M,142.80M,36.00M,11.80M,24.20M,,,,24.20M,24.20M,15.70M,88.40M,0.07,0.0,,0.07,0.07,0.07,0.0,,0.07,0.07,331.60M,332.20M,0.15
2008-12,227.00M,227.00M,5.70M,83.20M,88.90M,,,0.00,88.90M,-5.50M,153.30M,50.10M,16.40M,33.70M,,,,33.70M,33.70M,15.60M,109.20M,0.09,0.0,,0.09,0.09,0.09,0.0,,0.09,0.09,330.80M,330.80M,0.15
2008-09,234.00M,234.00M,6.80M,85.60M,92.40M,,,0.00,92.40M,1.30M,159.80M,68.50M,22.50M,46.00M,,,,46.00M,46.00M,15.30M,131.10M,0.14,0.0,,0.14,0.14,0.14,0.0,,0.14,0.14,329.70M,331.30M,0.15
2008-06,230.40M,230.40M,,86.70M,86.70M,,,,86.70M,-0.20M,157.00M,65.10M,22.10M,43.00M,,,,43.00M,41.55M,15.20M,135.60M,0.13,0.0,,0.1256,0.13,0.13,0.0,,0.1256,0.13,328.70M,330.20M,0.15
2008-03,248.60M,248.60M,,89.10M,89.10M,,,,89.10M,8.50M,166.70M,21.10M,6.00M,15.10M,,,,15.10M,13.67M,15.20M,109.70M,0.05,0.0,,0.0453,0.05,0.05,0.0,,0.0453,0.05,302.00M,302.00M,0.1333
2007-12,171.10M,171.10M,,56.30M,56.30M,,,,56.30M,0.00,125.00M,68.20M,22.50M,45.70M,,,,44.50M,45.30M,6.60M,123.90M,0.16,0.0,,0.1586,0.16,0.16,0.0,,0.1586,0.16,285.10M,286.90M,0.1333
2007-09,184.50M,184.50M,,53.10M,53.10M,,,,53.10M,5.50M,134.30M,86.50M,29.20M,57.30M,0.30M,,,57.60M,56.77M,6.60M,141.60M,0.2,0.0,,0.1982,0.2,0.2,0.0,,0.1982,0.2,289.70M,290.80M,0.1333
2007-06,177.50M,177.50M,,54.90M,54.90M,,,,54.90M,,132.00M,20.00M,6.90M,13.10M,0.40M,,,13.50M,12.51M,6.40M,75.50M,0.05,0.0,,0.0478,0.05,0.05,0.0,,0.0478,0.05,270.00M,270.00M,0.1333
2007-03,138.90M,138.90M,,51.30M,51.30M,,,-20.30M,31.00M,,95.30M,50.00M,16.90M,33.10M,0.50M,,,33.60M,46.54M,5.90M,104.10M,0.24,0.0,,0.3348,0.24,0.24,0.0,,0.3343,0.24,141.80M,142.50M,0.119
2006-12,,,,,,,,,,,,,,30.42M,0.575M,,,31.00M,30.42M,,,0.1023,0.0019,,0.1023,0.1043,0.1023,0.0019,,0.1023,0.1043,297.36M,297.36M,0.119
2006-09,,,,,,,,,,,,,,30.42M,0.575M,,,31.00M,30.42M,,,0.21,0.01,,0.21,0.22,0.21,0.0,,0.21,0.21,141.60M,142.20M,0.119
2006-06,,,,,,,,,,,,,,30.42M,0.575M,,,31.00M,30.42M,,,0.21,0.01,,0.21,0.22,0.21,0.0,,0.21,0.21,141.60M,142.20M,0.119
2006-03,136.40M,136.40M,,51.90M,51.90M,,,-19.90M,32.00M,,94.00M,51.10M,17.20M,33.90M,0.90M,,,34.80M,47.10M,5.80M,94.90M,0.1143,0.0,,0.1587,0.1143,0.1143,0.0,,0.1586,0.1143,296.94M,298.20M,0.1048
2005-12,146.50M,146.50M,,49.70M,49.70M,,,,49.70M,0.00,93.30M,49.60M,15.30M,34.30M,0.90M,,,35.20M,33.68M,5.50M,90.10M,0.1153,0.003,,0.1133,0.1184,0.1153,0.003,,0.1133,0.1184,297.36M,297.36M,0.1048
2005-09,136.60M,136.60M,,49.70M,49.70M,,,,49.70M,-0.10M,92.50M,49.70M,17.30M,32.40M,1.10M,,,33.50M,31.42M,5.60M,85.80M,0.23,0.01,,0.2231,0.24,0.23,0.01,,0.2231,0.24,141.20M,141.90M,0.1048
2005-06,131.40M,131.40M,,48.40M,48.40M,,,,48.40M,0.10M,92.70M,44.80M,15.40M,29.40M,7.60M,,,37.00M,28.74M,5.80M,77.70M,0.21,0.05,,0.2053,0.26,0.21,0.05,,0.2054,0.26,141.10M,141.80M,0.1048
2005-03,128.50M,128.50M,,47.70M,47.70M,,,,47.70M,-0.10M,91.20M,45.90M,16.10M,29.80M,1.60M,,,31.40M,29.41M,5.90M,74.60M,0.2268,0.0133,,0.224,0.2401,0.2201,0.0133,,0.2173,0.2334,140.63M,141.38M,0.092
2004-12,126.50M,126.50M,,45.90M,45.90M,,,,45.90M,0.00,88.10M,40.80M,14.40M,26.40M,1.60M,,,28.00M,25.95M,6.10M,67.10M,0.2111,-0.7659,,0.2078,-0.5548,0.0893,-0.7659,,0.0877,-0.5548,139.82M,295.78M,0.092
2004-09,124.40M,124.40M,,46.50M,46.50M,,,,46.50M,0.20M,85.70M,36.30M,12.80M,23.50M,4.00M,,,27.50M,23.05M,6.70M,61.50M,0.17,0.03,,0.1668,0.2,0.16,0.03,,0.1568,0.19,139.73M,140.48M,0.092
2004-06,119.00M,119.00M,,46.50M,46.50M,,,,46.50M,-0.10M,80.00M,28.20M,5.80M,22.40M,2.60M,,,25.00M,21.37M,6.90M,52.90M,0.1601,0.02,,0.1527,0.1801,0.1601,0.02,,0.1527,0.1801,140.03M,140.78M,0.092
2004-03,107.90M,107.90M,2.10M,55.40M,57.50M,,,-133.40M,-75.90M,-4.80M,73.30M,-119.40M,-41.60M,-77.80M,197.00M,,,119.20M,8.471M,7.30M,-85.50M,-0.5606,1.415,,0.0577,0.8542,-0.5606,1.406,,0.0544,0.8497,139.55M,140.28M,0.0825
2003-12,20.60M,20.60M,,28.50M,2.00M,,,,2.00M,0.50M,43.10M,25.00M,8.70M,16.30M,,,,17.40M,15.45M,4.60M,46.90M,0.1249,,,0.1188,0.1249,0.1249,,,0.1188,0.1249,139.36M,139.36M,0.0825
2003-09,136.80M,136.80M,6.30M,51.50M,57.80M,,,,57.80M,0.80M,76.60M,22.70M,7.80M,14.90M,,,,14.90M,11.68M,11.60M,67.50M,0.0508,0.0,,0.0277,0.0508,0.0508,0.0,,0.0277,0.0508,139.14M,139.14M,0.0825
2003-06,114.80M,114.80M,,48.20M,48.20M,,,,48.20M,2.70M,71.00M,25.60M,8.50M,17.10M,-1.60M,,,15.50M,14.09M,8.40M,69.90M,0.1201,-0.0067,,0.0981,0.1134,0.1201,-0.0067,,0.0981,0.1134,136.70M,136.70M,0.0825
2003-03,111.20M,111.20M,2.80M,47.00M,49.80M,,,-1.20M,48.60M,-4.60M,70.20M,16.40M,-0.90M,17.30M,-1.30M,,,16.00M,15.56M,8.70M,67.90M,0.055,0.0,,0.0425,0.055,0.055,0.0,,0.0425,0.055,138.91M,138.91M,0.0762
2002-12,18.30M,18.30M,,27.80M,0.80M,,,,0.80M,-0.70M,49.90M,44.50M,15.10M,29.40M,,,,17.10M,28.94M,5.40M,79.40M,0.2123,-0.0887,,0.209,0.1236,-0.0854,-0.0887,,-0.0887,-0.0854,138.46M,138.69M,0.0762
2002-09,149.70M,149.70M,7.70M,51.70M,59.40M,,,,59.40M,-1.80M,90.00M,20.20M,5.40M,14.80M,,,,14.80M,13.04M,9.90M,84.60M,0.1068,0.0,,0.0941,0.1068,0.1068,0.0,,0.0941,0.1068,138.69M,138.91M,0.0762
2002-06,141.30M,141.30M,9.10M,51.80M,60.90M,,,,60.90M,-1.50M,82.20M,18.00M,5.70M,12.30M,,,,12.30M,10.32M,9.30M,85.10M,0.089,0.0,,0.0747,0.089,0.089,0.0,,0.0747,0.089,138.57M,138.75M,0.0762
2002-03,152.90M,152.90M,10.20M,51.60M,61.80M,,,,61.80M,0.70M,91.70M,16.60M,5.40M,11.20M,,,,11.20M,9.581M,11.40M,88.30M,0.0801,0.0,,0.0684,0.0801,0.0801,0.0,,0.0684,0.0801,138.46M,138.69M,0.072
2001-12,163.10M,163.10M,12.10M,45.50M,57.60M,,,,57.60M,-1.50M,84.40M,11.10M,3.90M,7.20M,,,,7.20M,6.162M,12.10M,91.70M,-0.238,0.0,,-0.2455,-0.238,-0.238,0.0,,-0.2454,-0.238,138.01M,138.69M,0.072
2001-09,146.00M,146.00M,11.10M,50.40M,61.50M,,,20.00M,81.50M,1.20M,87.10M,18.50M,6.30M,12.20M,,,,12.20M,-4.418M,11.60M,108.40M,0.089,0.0,,-0.0312,0.089,0.089,0.0,,-0.031,0.089,138.24M,138.46M,0.072
2001-06,204.00M,204.00M,12.20M,49.10M,61.30M,,,,61.30M,-14.90M,85.50M,69.10M,24.00M,45.10M,,2.00M,,47.10M,-4.177M,11.90M,164.50M,0.3248,0.0133,0.0,-0.0321,0.3381,0.3248,0.0133,0.0145,-0.0313,0.3381,138.08M,138.39M,0.072
2001-03,161.40M,161.40M,11.70M,51.30M,63.00M,,,,63.00M,-3.30M,97.00M,20.60M,7.30M,13.30M,,,,13.30M,10.59M,10.70M,127.80M,0.0979,0.0,,0.0782,0.0979,0.0979,0.0,,0.0782,0.0979,138.07M,138.07M,0.0677
2000-12,177.20M,177.20M,14.00M,51.50M,65.50M,,,,65.50M,2.60M,101.40M,43.70M,15.00M,28.70M,,,,28.70M,28.24M,10.50M,150.30M,-0.2038,0.0,,-0.2071,-0.2038,-0.2038,0.0,,-0.2071,-0.2038,138.26M,138.26M,0.0677
2000-09,170.90M,170.90M,13.50M,50.10M,63.60M,,,,63.60M,3.80M,98.80M,39.70M,13.50M,26.20M,,,,26.20M,25.01M,,137.20M,0.1913,0.0,,0.1827,0.1913,0.1913,0.0,,0.1827,0.1913,137.63M,137.99M,0.0635
2000-06,164.30M,164.30M,13.50M,47.90M,61.40M,,,,61.40M,5.10M,94.60M,40.50M,14.00M,26.50M,,,,26.50M,25.98M,,129.20M,0.1913,0.0,,0.1875,0.1913,0.1913,0.0,,0.1875,0.1913,137.58M,137.94M,0.0635
2000-03,165.70M,165.70M,13.60M,50.10M,63.70M,,,,63.70M,5.00M,90.30M,41.60M,14.60M,27.00M,,,,27.00M,24.73M,9.40M,130.50M,0.1958,0.0,,0.1792,0.1958,0.1958,0.0,,0.1792,0.1958,137.23M,137.65M,0.0593
1999-12,158.70M,158.70M,14.10M,46.00M,60.10M,,,,60.10M,1.70M,83.90M,40.40M,13.40M,27.00M,,,,27.00M,27.07M,,124.30M,0.1958,0.0,,0.1962,0.1958,0.1958,0.0,,0.1962,0.1958,142.63M,144.43M,0.0593
1999-09,158.00M,158.00M,13.00M,44.00M,57.00M,,,,57.00M,,87.00M,43.00M,15.00M,28.00M,,,,28.00M,27.35M,,127.00M,0.2046,0.0,,0.1999,0.2046,0.2046,0.0,,0.1999,0.2046,137.67M,137.67M,0.055
1999-06,159.30M,159.30M,13.30M,44.30M,57.60M,,,,57.60M,8.00M,83.50M,43.80M,14.80M,29.00M,,,,29.00M,29.00M,,125.40M,0.2091,0.0,,0.2091,0.2091,0.2091,0.0,,0.2091,0.2091,138.69M,138.69M,0.055
1999-03,160.30M,160.30M,11.20M,44.80M,56.00M,,,,56.00M,8.20M,83.60M,42.80M,14.90M,27.90M,,,,27.90M,26.53M,,122.00M,0.1958,0.0,,0.1861,0.1958,0.1958,0.0,,0.1861,0.1958,142.53M,142.53M,0.0487
1998-12,160.50M,160.50M,11.90M,43.40M,55.30M,,,,55.30M,5.50M,76.00M,43.10M,33.20M,9.90M,,,,9.90M,10.32M,,125.20M,0.0667,0.0,,0.0696,0.0667,0.0667,0.0,,0.0696,0.0667,144.96M,144.96M,0.0487
1998-09,145.50M,145.50M,11.00M,39.40M,50.40M,,,,50.40M,6.40M,73.50M,44.70M,17.00M,27.70M,,,,27.70M,25.47M,,123.40M,0.1913,0.0,,0.1759,0.1913,0.1913,0.0,,0.1759,0.1913,144.80M,144.80M,0.0444
1998-06,149.30M,149.30M,12.00M,41.70M,53.70M,,,,53.70M,41.20M,68.00M,46.20M,17.50M,28.70M,,,,28.70M,23.36M,,120.10M,0.2002,0.0,,0.1629,0.2002,0.2002,0.0,,0.1629,0.2002,143.36M,143.36M,0.0444
