,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,22.79B,22.79B,7.429B,15.36B,1.604B,6.514B,8.118B,2.011B,588.00M,,,777.00M,,-777.00M,,10.72B,4.645B,,777.00M,-777.00M,126.00M,-777.00M,3.994B,818.00M,3.176B,-58.00M,,3.118B,2.979B,7.37B,,2018-03,0.67,,,0.67,,2018-03,,,0.6304,0.66,,2018-03,4.633B,4.705B,0.19,,2018-03,AOR,Restated
2017-12,22.08B,22.08B,6.905B,15.17B,1.625B,6.807B,8.432B,2.038B,571.00M,,,807.00M,,-807.00M,0.00,11.04B,4.129B,,807.00M,-807.00M,122.00M,-807.00M,3.444B,-11.61B,15.05B,-52.00M,,15.00B,14.98B,6.86B,,2017-12,3.226,,,3.226,,2017-12,,,3.167,3.17,,2017-12,4.657B,4.726B,0.1575,,2017-12,AOR,Restated
2017-09,21.08B,21.08B,6.059B,15.02B,1.604B,6.535B,8.139B,1.991B,555.00M,,,766.00M,,-766.00M,-442.00M,10.24B,4.779B,,766.00M,-766.00M,70.00M,-766.00M,4.083B,1.409B,2.674B,-32.00M,,2.642B,2.571B,7.395B,,2017-09,0.56,,,0.56,,2017-09,,,0.5351,0.55,,2017-09,4.698B,4.777B,0.1575,,2017-09,AOR,Restated
2017-06,21.29B,21.29B,6.33B,14.96B,1.713B,6.168B,7.881B,1.97B,537.00M,,,758.00M,,-758.00M,,10.39B,4.568B,,758.00M,-758.00M,99.00M,-758.00M,3.909B,1.367B,2.542B,-21.00M,,2.521B,2.466B,7.174B,,2017-06,0.53,,,0.53,,2017-06,,,0.5086,0.52,,2017-06,4.728B,4.809B,0.1575,,2017-06,AOR,Restated
2017-03,20.59B,20.59B,6.061B,14.53B,1.577B,5.939B,7.516B,1.915B,553.00M,,,755.00M,,-755.00M,,9.984B,4.542B,,755.00M,-755.00M,130.00M,-755.00M,3.917B,1.262B,2.655B,-82.00M,,2.573B,2.509B,7.14B,,2017-03,0.54,,,0.54,,2017-03,,,0.5168,0.53,,2017-03,4.747B,4.832B,0.1575,,2017-03,AOR,Restated
2016-12,21.36B,21.36B,6.422B,14.94B,1.781B,6.555B,8.336B,1.946B,418.00M,,,756.00M,,-756.00M,,10.70B,4.236B,,756.00M,-756.00M,229.00M,-756.00M,3.709B,1.309B,2.40B,-121.00M,,2.279B,2.056B,6.829B,,2016-12,0.4842,,,0.4842,,2016-12,,,0.4287,0.475,,2016-12,4.765B,4.821B,0.1375,,2016-12,AOR,Restated
2016-09,21.32B,21.32B,7.003B,14.32B,1.485B,5.996B,7.481B,1.865B,530.00M,7.00M,-7.00M,751.00M,,-751.00M,,9.876B,4.44B,,751.00M,-751.00M,35.00M,-751.00M,3.724B,1.40B,2.324B,-87.00M,,2.237B,2.187B,6.87B,,2016-09,0.47,,,0.47,,2016-09,,,0.4497,0.46,,2016-09,4.805B,4.861B,0.1375,,2016-09,AOR,Restated
2016-06,19.27B,19.27B,5.492B,13.78B,1.559B,5.763B,7.322B,1.868B,521.00M,1.00M,-1.00M,732.00M,,-732.00M,,9.711B,4.066B,,732.00M,-732.00M,24.00M,-732.00M,3.358B,1.278B,2.08B,-52.00M,,2.028B,1.992B,6.479B,,2016-06,0.42,,,0.42,,2016-06,,,0.4027,0.41,,2016-06,4.839B,4.891B,0.1375,,2016-06,AOR,Restated
2016-03,18.79B,18.79B,5.431B,13.36B,1.466B,5.526B,6.992B,1.785B,493.00M,20.00M,-20.00M,703.00M,,-703.00M,,9.27B,4.089B,,703.00M,-703.00M,149.00M,-703.00M,3.535B,1.311B,2.224B,-90.00M,,2.134B,2.115B,6.516B,,2016-03,0.44,,,0.44,,2016-03,,,0.4262,0.43,,2016-03,4.868B,4.925B,0.1375,,2016-03,AOR,Restated
2015-12,19.24B,19.24B,5.836B,13.41B,1.55B,5.587B,7.137B,1.776B,494.00M,13.00M,-13.00M,674.00M,,-674.00M,,9.407B,4.002B,,674.00M,-674.00M,-110.00M,-674.00M,3.218B,1.162B,2.056B,-85.00M,,1.971B,1.935B,6.162B,,2015-12,0.4043,,,0.4043,,2015-12,,,0.3877,0.395,,2015-12,4.90B,4.96B,0.125,,2015-12,AOR,Restated
2015-09,18.67B,18.67B,5.582B,13.09B,1.513B,5.39B,6.903B,1.697B,486.00M,15.00M,-15.00M,659.00M,,-659.00M,,9.086B,4.001B,,659.00M,-659.00M,-78.00M,-659.00M,3.264B,1.223B,2.041B,-45.00M,,1.996B,2.012B,6.106B,,2015-09,0.405,,,0.405,,2015-09,,,0.4032,0.40,,2015-09,4.944B,5.004B,0.125,,2015-09,AOR,Restated
2015-06,18.74B,18.74B,5.669B,13.07B,1.534B,5.274B,6.808B,1.674B,487.00M,16.00M,-16.00M,713.00M,,-713.00M,,8.969B,4.105B,,713.00M,-713.00M,96.00M,-713.00M,3.488B,1.313B,2.175B,-38.00M,,2.137B,2.126B,6.362B,,2015-06,0.425,,,0.425,,2015-06,,,0.4179,0.42,,2015-06,5.00B,5.062B,0.125,,2015-06,AOR,Restated
2015-03,17.85B,17.85B,5.463B,12.39B,1.36B,5.074B,6.434B,1.634B,432.00M,15.00M,-15.00M,656.00M,,-656.00M,,8.50B,3.89B,,656.00M,-656.00M,168.00M,-656.00M,3.402B,1.261B,2.141B,-82.00M,,2.059B,2.038B,6.124B,,2015-03,0.41,,,0.41,,2015-03,,,0.4009,0.405,,2015-03,5.04B,5.112B,0.125,,2015-03,AOR,Restated
2014-12,17.73B,17.73B,5.358B,12.37B,1.346B,5.151B,6.497B,1.63B,460.00M,20.00M,-20.00M,664.00M,,-664.00M,,8.587B,3.787B,,664.00M,-664.00M,-13.00M,-664.00M,3.11B,1.114B,1.996B,-71.00M,,1.925B,1.898B,5.864B,,2014-12,0.4120,,,0.4120,,2014-12,,,0.3648,0.37,,2014-12,5.112B,5.186B,0.1125,,2014-12,AOR,Restated
2014-09,16.79B,16.79B,4.772B,12.02B,1.298B,5.017B,6.315B,1.539B,420.00M,6.00M,-6.00M,663.00M,,-663.00M,,8.274B,3.745B,,663.00M,-663.00M,-42.00M,-663.00M,3.04B,407.00M,2.633B,-41.00M,,2.592B,2.574B,5.662B,,2014-09,0.50,,,0.50,,2014-09,,,0.4915,0.495,,2014-09,5.16B,5.232B,0.1125,,2014-09,AOR,Restated
2014-06,16.84B,16.84B,4.874B,11.97B,1.244B,4.922B,6.166B,1.599B,401.00M,19.00M,-19.00M,648.00M,,-648.00M,,8.166B,3.804B,,648.00M,-648.00M,103.00M,-648.00M,3.259B,1.234B,2.025B,-33.00M,,1.992B,1.917B,5.907B,,2014-06,0.385,,,0.385,,2014-06,,,0.3658,0.38,,2014-06,5.188B,5.256B,0.1125,,2014-06,AOR,Restated
2014-03,17.41B,17.41B,5.908B,11.50B,1.213B,4.749B,5.962B,1.569B,401.00M,5.00M,-5.00M,642.00M,,-642.00M,,7.932B,3.568B,,642.00M,-642.00M,130.00M,-642.00M,3.056B,1.118B,1.938B,-67.00M,,1.871B,1.799B,5.668B,,2014-03,0.36,,,0.36,,2014-03,,,0.3415,0.355,,2014-03,5.206B,5.29B,0.1125,,2014-03,AOR,Restated
2013-12,16.93B,16.93B,5.252B,11.67B,1.241B,4.788B,6.029B,1.585B,413.00M,4.00M,-4.00M,646.00M,,-646.00M,,8.027B,3.647B,,646.00M,-646.00M,-47.00M,-646.00M,2.954B,986.00M,1.968B,-55.00M,,1.913B,1.895B,5.598B,,2013-12,0.4032,,,0.4032,,2013-12,,,0.3566,0.36,,2013-12,5.226B,5.312B,0.0975,,2013-12,AOR,Restated
2013-09,16.15B,16.15B,4.787B,11.36B,1.283B,4.751B,6.034B,1.52B,396.00M,12.00M,-12.00M,639.00M,,-639.00M,,7.95B,3.414B,,639.00M,-639.00M,24.00M,-639.00M,2.799B,1.021B,1.778B,-46.00M,,1.732B,1.437B,5.354B,,2013-09,0.33,,,0.33,,2013-09,,,0.2696,0.325,,2013-09,5.244B,5.316B,0.0975,,2013-09,AOR,Restated
2013-06,16.27B,16.27B,4.968B,11.30B,1.307B,4.57B,5.877B,1.583B,407.00M,4.00M,-4.00M,636.00M,,-636.00M,,7.867B,3.435B,,636.00M,-636.00M,-7.00M,-636.00M,2.792B,1.048B,1.744B,-10.00M,,1.734B,1.726B,5.418B,,2013-06,0.33,,,0.33,,2013-06,,,0.3235,0.325,,2013-06,5.262B,5.332B,0.0975,,2013-06,AOR,Restated
2013-03,15.31B,15.31B,4.663B,10.65B,1.147B,4.466B,5.613B,1.566B,401.00M,9.00M,-9.00M,653.00M,,-653.00M,,7.58B,3.067B,,653.00M,-653.00M,156.00M,-653.00M,2.57B,925.00M,1.645B,-208.00M,,1.437B,1.391B,7.162B,,2013-03,0.275,,,0.275,,2013-03,,,0.2614,0.27,,2013-03,5.268B,5.35B,0.0975,,2013-03,AOR,Restated
2012-12,15.94B,15.94B,4.916B,11.02B,1.101B,4.643B,5.744B,1.556B,427.00M,2.00M,-2.00M,623.00M,,-623.00M,,7.727B,3.294B,,623.00M,-623.00M,-86.00M,-623.00M,2.585B,778.00M,1.807B,-289.00M,,1.518B,1.484B,5.191B,,2012-12,0.3188,,,0.3188,,2012-12,,,0.2736,0.28,,2012-12,5.302B,5.392B,0.0812,,2012-12,AOR,Restated
2012-09,16.54B,16.54B,5.726B,10.82B,1.23B,4.58B,5.81B,1.549B,411.00M,1.00M,-1.00M,633.00M,,-633.00M,,7.77B,3.048B,,633.00M,-633.00M,1.968B,-633.00M,4.383B,1.405B,2.978B,-865.00M,,2.113B,2.065B,10.12B,,2012-09,0.395,,,0.395,,2012-09,,,0.3812,0.39,,2012-09,5.336B,5.406B,0.0812,,2012-09,AOR,Restated
2012-06,15.21B,15.21B,4.551B,10.66B,1.291B,4.365B,5.656B,1.516B,409.00M,9.00M,-9.00M,625.00M,,-625.00M,,7.581B,3.079B,,625.00M,-625.00M,-10.00M,-625.00M,2.444B,811.00M,1.633B,-285.00M,,1.348B,1.343B,6.997B,,2012-06,0.25,,,0.25,,2012-06,,,0.2490,0.25,,2012-06,5.374B,5.434B,0.0812,,2012-06,AOR,Restated
2012-03,14.88B,14.88B,4.737B,10.14B,1.209B,4.244B,5.453B,1.529B,401.00M,12.00M,-12.00M,640.00M,,-640.00M,,7.383B,2.758B,,640.00M,-640.00M,79.00M,-640.00M,2.197B,750.00M,1.447B,-223.00M,,1.224B,1.163B,6.92B,,2012-03,0.225,,,0.225,,2012-03,,,0.2140,0.225,,2012-03,5.416B,5.488B,0.0812,,2012-03,AOR,Restated
2011-12,15.04B,15.04B,1.503B,13.54B,1.057B,,17.70B,1.536B,462.00M,2.00M,-2.00M,642.00M,,-642.00M,,10.62B,2.918B,,642.00M,-642.00M,110.00M,-642.00M,2.386B,801.00M,1.585B,-298.00M,,1.287B,1.183B,7.044B,,2011-12,0.235,,,0.235,,2011-12,,,0.2161,0.235,,2011-12,5.426B,5.49B,0.0562,,2011-12,AOR,Restated
2011-09,14.34B,14.34B,5.409B,8.93B,1.101B,,1.101B,1.54B,393.00M,0.00,0.00,637.00M,,-637.00M,3.255B,6.289B,2.641B,,637.00M,-637.00M,-199.00M,-637.00M,1.805B,639.00M,1.166B,-258.00M,,908.00M,1.003B,9.144B,,2011-09,0.165,,,0.165,,2011-09,,,0.1822,0.165,,2011-09,5.478B,5.522B,0.0562,,2011-09,AOR,Restated
2011-06,14.33B,14.33B,5.351B,8.982B,1.105B,3.076B,4.181B,1.478B,385.00M,,,621.00M,61.00M,-560.00M,,6.044B,2.938B,61.00M,621.00M,-560.00M,3.00M,-560.00M,2.381B,1.014B,1.367B,-345.00M,,1.022B,1.022B,4.865B,,2011-06,0.185,0.00,,0.185,,2011-06,,,0.185,0.185,,2011-06,5.518B,5.578B,0.0562,,2011-06,AOR,Restated
2011-03,12.13B,12.13B,4.333B,7.795B,980.00M,2.749B,3.729B,1.486B,356.00M,,,605.00M,89.00M,-516.00M,,5.571B,2.224B,89.00M,605.00M,-516.00M,-73.00M,-516.00M,1.635B,596.00M,1.039B,-96.00M,,943.00M,943.00M,4.082B,,2011-03,0.17,0.00,,0.17,,2011-03,,,0.17,0.17,,2011-03,5.544B,5.61B,0.0562,,2011-03,AOR,Restated
2010-12,9.721B,9.721B,-895.00M,10.62B,634.00M,6.266B,6.90B,1.372B,331.00M,,-165.00M,544.00M,,-544.00M,,8.603B,2.013B,,544.00M,-544.00M,237.00M,-544.00M,1.706B,673.00M,1.033B,-15.00M,,1.018B,1.118B,4.14B,,2010-12,0.18,,,0.18,,2010-12,,,0.1978,0.18,,2010-12,5.568B,5.604B,0.0472,,2010-12,AOR,Restated
2010-09,9.489B,9.489B,3.059B,6.43B,636.00M,2.216B,2.852B,1.377B,247.00M,,85.00M,545.00M,,-545.00M,,4.476B,1.954B,,545.00M,-545.00M,45.00M,-545.00M,1.454B,584.00M,870.00M,-3.00M,,867.00M,816.00M,3.623B,,2010-09,0.155,0.00,,0.155,,2010-09,,,0.1459,0.155,,2010-09,5.604B,5.62B,0.0472,,2010-09,AOR,Restated
2010-06,9.525B,9.525B,3.243B,6.282B,594.00M,1.951B,2.545B,1.411B,248.00M,,,543.00M,0.00,-543.00M,,4.204B,2.078B,0.00,543.00M,-543.00M,-61.00M,-543.00M,1.474B,588.00M,886.00M,-2.00M,,884.00M,884.00M,3.676B,,2010-06,0.155,0.00,,0.155,,2010-06,,,0.155,0.155,,2010-06,5.632B,5.644B,0.0472,,2010-06,AOR,Restated
2010-03,9.202B,9.202B,3.129B,6.073B,545.00M,1.963B,2.508B,1.379B,251.00M,,,524.00M,101.00M,-423.00M,,4.138B,1.935B,101.00M,524.00M,-423.00M,-42.00M,-423.00M,1.47B,591.00M,879.00M,-13.00M,,866.00M,866.00M,3.624B,,2010-03,0.155,0.00,,0.155,,2010-03,,,0.155,0.155,,2010-03,5.658B,5.674B,0.0472,,2010-03,AOR,Restated
2009-12,9.067B,9.067B,3.677B,5.39B,,,1.981B,1.335B,257.00M,,,520.00M,,-738.00M,,3.573B,1.817B,,520.00M,-738.00M,271.00M,-738.00M,1.35B,390.00M,960.00M,-5.00M,,955.00M,955.00M,3.462B,,2009-12,0.17,0.00,,0.17,,2009-12,,,0.165,0.165,,2009-12,5.708B,5.74B,0.0472,,2009-12,AOR,Restated
2009-09,8.845B,8.845B,3.53B,5.315B,,,1.989B,1.362B,253.00M,,,707.00M,148.00M,-559.00M,,3.604B,1.711B,148.00M,707.00M,-559.00M,-15.00M,-559.00M,1.137B,203.00M,934.00M,10.00M,,944.00M,944.00M,3.459B,,2009-09,0.165,0.00,,0.165,,2009-09,,,0.165,0.165,,2009-09,5.744B,5.754B,0.0338,,2009-09,AOR,Restated
2009-06,8.978B,8.978B,3.581B,5.397B,,,1.862B,1.406B,254.00M,,49.00M,551.00M,27.00M,-524.00M,,3.522B,1.875B,27.00M,551.00M,-524.00M,80.00M,-524.00M,1.38B,424.00M,956.00M,11.00M,,967.00M,893.57M,3.591B,,2009-06,0.165,0.00,,0.165,,2009-06,,,0.1523,0.165,,2009-06,5.774B,5.782B,0.0338,,2009-06,AOR,Restated
2009-03,8.866B,8.866B,3.592B,5.274B,,,1.83B,1.38B,253.00M,,-53.00M,570.00M,27.00M,-543.00M,,3.463B,1.811B,27.00M,570.00M,-543.00M,-29.00M,-543.00M,1.239B,461.00M,778.00M,-6.00M,,772.00M,781.42M,3.442B,,2009-03,0.135,0.00,,0.135,,2009-03,,,0.1366,0.135,,2009-03,5.78B,5.78B,0.0338,,2009-03,AOR,Restated
2008-12,8.932B,8.932B,4.346B,4.586B,,,1.216B,1.364B,249.00M,,-535.00M,,,,,2.829B,1.757B,,,,-528.00M,,581.00M,169.00M,390.00M,0.00,,412.00M,791.38M,3.135B,,2008-12,0.075,0.00,,0.075,,2008-12,,,0.1357,0.07,,2008-12,5.764B,5.778B,0.0312,,2008-12,AOR,Restated
2008-09,8.549B,8.549B,3.095B,5.454B,,,2.217B,1.332B,235.00M,,74.00M,,,,,3.784B,1.67B,,,,76.00M,,1.157B,401.00M,771.00M,15.00M,,771.00M,722.65M,3.237B,,2008-09,0.13,0.00,,0.13,,2008-09,,,0.1217,0.13,,2008-09,5.818B,5.84B,0.0312,,2008-09,,
2008-06,8.553B,8.553B,3.334B,5.219B,,,1.868B,1.371B,230.00M,,-54.00M,618.00M,,-618.00M,,3.469B,1.75B,,618.00M,-618.00M,-58.00M,-618.00M,1.074B,455.00M,619.00M,13.00M,,632.00M,667.10M,3.293B,,2008-06,0.105,0.00,,0.105,,2008-06,,,0.1109,0.105,,2008-06,5.914B,5.94B,0.0312,,2008-06,,Restated
2008-03,8.389B,8.389B,3.361B,5.028B,,,1.854B,1.39B,229.00M,,268.00M,621.00M,,-621.00M,,3.473B,1.555B,,621.00M,-621.00M,312.00M,-621.00M,1.246B,508.00M,738.00M,-6.00M,,732.00M,506.45M,3.486B,,2008-03,0.12,0.00,,0.12,,2008-03,,,0.0826,0.12,,2008-03,6.018B,6.034B,0.0312,,2008-03,,Restated
2007-12,8.014B,8.014B,2.903B,5.111B,,,2.029B,1.339B,285.00M,,111.00M,,,,,3.653B,1.458B,,,,97.00M,,996.00M,400.00M,602.00M,6.00M,,602.00M,535.40M,3.082B,,2007-12,0.10,0.00,,0.10,,2007-12,,,0.0900,0.10,,2007-12,6.136B,6.666B,0.00,,2007-12,,
2007-09,7.781B,7.781B,2.759B,5.022B,,,2.093B,1.291B,247.00M,,122.00M,,,,,3.631B,1.391B,,,,110.00M,,965.00M,421.00M,560.00M,16.00M,,560.00M,480.70M,2.929B,,2007-09,0.09,0.00,,0.09,,2007-09,,,0.0773,0.09,,2007-09,6.174B,6.236B,0.00,,2007-09,,
2007-06,7.712B,7.712B,2.754B,4.958B,,,1.946B,1.252B,292.00M,,93.00M,,,,,3.49B,1.468B,,,,77.00M,,1.029B,453.00M,588.00M,12.00M,,588.00M,527.55M,3.012B,,2007-06,0.095,0.00,,0.095,,2007-06,,,0.0854,0.095,,2007-06,6.226B,6.294B,0.00,,2007-06,,
2007-03,7.388B,7.388B,2.759B,4.629B,,,1.866B,1.225B,277.00M,,631.00M,,,,,3.368B,1.261B,,,,610.00M,,1.359B,526.00M,837.00M,4.00M,,837.00M,450.23M,2.763B,,2007-03,0.135,0.00,,0.135,,2007-03,,,0.0688,0.13,,2007-03,6.25B,6.322B,0.00,,2007-03,,
2006-12,7.031B,7.031B,2.533B,4.498B,,,1.904B,1.08B,296.00M,,969.00M,,,,,3.28B,1.218B,,,,931.00M,,652.00M,221.00M,429.00M,-2.00M,,390.00M,-211.55M,2.733B,,2006-12,0.07,-0.005,,0.065,,2006-12,,,-0.0363,0.06,,2006-12,6.254B,6.324B,0.00,,2006-12,,
2006-09,6.432B,6.432B,2.274B,4.158B,,,1.721B,963.00M,250.00M,,96.00M,,,,,2.934B,1.224B,,,,31.00M,,1.582B,610.00M,969.00M,-3.00M,,1.217B,910.02M,2.437B,,2006-09,0.155,0.035,,0.19,,2006-09,,,0.1457,0.19,,2006-09,6.288B,6.326B,0.00,,2006-09,,
2006-06,5.908B,5.908B,2.13B,3.778B,,,1.467B,905.00M,233.00M,,54.00M,,,,,2.605B,1.173B,,,,42.00M,,764.00M,369.00M,399.00M,4.00M,,460.00M,366.60M,2.376B,,2006-06,0.065,0.01,,0.075,,2006-06,,,0.0599,0.075,,2006-06,6.336B,6.368B,0.00,,2006-06,,
2006-03,5.595B,5.595B,2.073B,3.522B,,,1.422B,880.00M,216.00M,,77.00M,,,,,2.518B,1.004B,,,,68.00M,,596.00M,147.00M,438.00M,-11.00M,,466.00M,379.99M,2.155B,,2006-03,0.07,0.005,,0.075,,2006-03,,,0.0610,0.075,,2006-03,6.404B,6.426B,0.00,,2006-03,,
2005-12,5.416B,5.416B,1.943B,3.473B,,,1.433B,888.00M,303.00M,,94.00M,,,,,2.624B,849.00M,,,,71.00M,,422.00M,303.00M,107.00M,-12.00M,,133.00M,50.60M,2.112B,,2005-12,-0.0267,0.00,,-0.0267,,2005-12,,,-0.0324,-0.0267,,2005-12,9.774B,9.802B,0.00,,2005-12,,
2005-09,5.284B,5.284B,1.894B,3.39B,,,1.394B,863.00M,292.00M,,-85.00M,,,,,2.549B,841.00M,,,,-103.00M,,316.00M,129.00M,198.00M,11.00M,,220.00M,249.00M,2.057B,,2005-09,0.03,0.0033,,0.0333,,2005-09,,,0.0351,0.0333,,2005-09,9.877B,9.936B,0.00,,2005-09,,
2005-06,5.598B,5.598B,1.944B,3.654B,,,1.445B,891.00M,270.00M,,182.00M,,,,,2.606B,1.048B,,,,166.00M,,771.00M,331.00M,430.00M,-10.00M,,430.00M,320.80M,2.209B,,2005-06,0.0422,0.0211,,0.0633,,2005-06,,,0.0313,0.0633,,2005-06,9.927B,9.990B,0.00,,2005-06,,
2005-03,5.363B,5.363B,1.957B,3.406B,,,1.376B,874.00M,290.00M,,-170.00M,,,,,2.54B,866.00M,,,,-158.00M,,290.00M,140.00M,143.00M,-7.00M,,143.00M,245.00M,2.03B,,2005-03,0.0133,0.0067,,0.02,,2005-03,,,0.0235,0.02,,2005-03,9.958B,9.994B,0.00,,2005-03,,
2004-12,4.149B,4.149B,1.536B,2.613B,,,978.00M,717.00M,286.00M,,556.00M,,,,,1.981B,632.00M,,,,541.00M,,718.00M,335.00M,381.00M,-2.00M,,423.00M,47.40M,1.907B,,2004-12,0.0790,,,0.0790,,2004-12,,,0.0167,0.0790,,2004-12,5.353B,5.353B,0.00,,2004-12,,
