,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-06,1.384B,,,,-5.00M,,134.00M,134.00M,332.00M,,-52.00M,-759.00M,-48.00M,-531.00M,40.00M,,29.00M,-1.269B,-12.00M,512.00M,-129.00M,40.00M,-89.00M,-108.00M,-524.00M,,-715.00M,,,19.00M,264.00M,-838.00M,-574.00M,,-99.00M,46.00M,-600.00M,4.20B,-803.00M,4.00M,3.401B,,264.00M,,,-838.00M,,
2006-03,686.00M,,,,-151.00M,,127.00M,127.00M,242.00M,,107.00M,-17.00M,-238.00M,73.00M,-106.00M,,17.00M,-271.00M,-53.00M,687.00M,-120.00M,15.00M,-105.00M,-141.00M,784.00M,,532.00M,,,20.00M,72.00M,-815.00M,-743.00M,,-100.00M,20.00M,-803.00M,3.774B,416.00M,10.00M,4.20B,,72.00M,,,-815.00M,,
2005-12,1.189B,,,,-60.00M,,87.00M,87.00M,180.00M,,,-170.00M,-262.00M,1.442B,-351.00M,,-387.00M,272.00M,,1.729B,-132.00M,58.00M,-74.00M,1.366B,-2.245B,,-953.00M,,,-15.00M,360.00M,-357.00M,3.00M,,-100.00M,,171.00M,2.856B,947.00M,-29.00M,3.774B,,360.00M,,,-357.00M,,
2005-09,1.785B,,,,-1.138B,,182.00M,182.00M,192.00M,,,-444.00M,-2.00M,1.015B,-374.00M,,24.00M,219.00M,,1.24B,-200.00M,39.00M,-161.00M,-29.00M,-1.117B,,-1.307B,,,-1.122B,490.00M,-353.00M,137.00M,,-98.00M,,-1.189B,4.156B,-1.256B,-44.00M,2.856B,,490.00M,,,-353.00M,,
2005-06,912.00M,,,,-412.00M,,123.00M,123.00M,374.00M,,,-517.00M,180.00M,250.00M,66.00M,,-75.00M,-96.00M,,901.00M,-113.00M,1.00M,-112.00M,-111.00M,-461.00M,,-684.00M,,,20.00M,291.00M,-164.00M,127.00M,,-98.00M,,155.00M,3.796B,372.00M,-12.00M,4.156B,,291.00M,,,-164.00M,,
2005-03,692.00M,,,,-235.00M,,148.00M,148.00M,254.00M,,,-172.00M,65.00M,-302.00M,-62.00M,,50.00M,-421.00M,,438.00M,-103.00M,5.00M,-98.00M,,674.00M,,576.00M,,,-4.00M,58.00M,,58.00M,,-98.00M,,-44.00M,2.846B,970.00M,-20.00M,3.796B,,58.00M,,,,,
2004-12,20.00M,,,,-201.00M,,81.00M,81.00M,173.00M,,,-10.00M,-35.00M,491.00M,-366.00M,,-394.00M,-314.00M,-156.00M,-171.00M,-78.00M,5.00M,-73.00M,467.00M,-2.317B,,-4.86B,,,-491.00M,1.385B,,1.385B,,-98.00M,-784.00M,2.792B,4.911B,-2.239B,174.00M,2.846B,,1.385B,,,,,
2004-09,427.00M,,,,-51.00M,,165.00M,165.00M,164.00M,,,-88.00M,-322.00M,706.00M,-139.00M,,49.00M,206.00M,1.46B,2.371B,-129.00M,36.00M,-93.00M,-139.00M,-468.00M,,-700.00M,,,-1.776B,31.00M,,31.00M,,-95.00M,1.232B,-237.00M,3.461B,1.434B,16.00M,4.911B,,31.00M,,,,,
2004-06,619.00M,,,,-90.00M,,159.00M,159.00M,-33.00M,,,-13.00M,-180.00M,379.00M,-183.00M,,36.00M,39.00M,663.00M,1.357B,-97.00M,80.00M,-17.00M,-110.00M,1.152B,,1.025B,,,-483.00M,214.00M,,214.00M,,-94.00M,0.00,-854.00M,1.939B,1.528B,-6.00M,3.461B,,214.00M,,,,,
2004-03,466.00M,,,,-118.00M,,161.00M,161.00M,162.00M,,,-440.00M,138.00M,264.00M,-92.00M,,204.00M,74.00M,-37.00M,708.00M,-101.00M,17.00M,-84.00M,-12.00M,98.00M,,2.00M,,,-19.00M,50.00M,,50.00M,,-91.00M,-500.00M,-440.00M,1.689B,270.00M,-20.00M,1.939B,,50.00M,,,,,
2003-12,524.00M,,,,-83.00M,,-419.00M,-419.00M,47.00M,,,-670.00M,-244.00M,1.021B,69.00M,276.00M,-407.00M,45.00M,,910.00M,141.00M,-42.00M,99.00M,-28.00M,-5.978B,,-5.994B,,,-189.00M,79.00M,,79.00M,,-54.00M,,-332.00M,7.088B,-5.416B,17.00M,1.689B,,79.00M,,,,,
2003-09,116.00M,,,,22.00M,,400.00M,400.00M,-41.00M,,,-231.00M,95.00M,618.00M,-114.00M,,236.00M,604.00M,,1.101B,-157.00M,66.00M,-91.00M,-13.00M,18.00M,,-86.00M,,,-78.00M,5.00M,,5.00M,,-93.00M,,-166.00M,6.213B,849.00M,26.00M,7.088B,,5.00M,,,,,
2003-06,119.00M,,,,-86.00M,,404.00M,404.00M,-182.00M,,,218.00M,107.00M,-621.00M,142.00M,25.00M,171.00M,42.00M,,297.00M,-215.00M,54.00M,-161.00M,-219.00M,27.00M,,-353.00M,,,-11.00M,72.00M,,72.00M,,-92.00M,,-31.00M,6.29B,-87.00M,10.00M,6.213B,,72.00M,,,,,
2003-03,169.00M,,,,-234.00M,,433.00M,433.00M,16.00M,,,542.00M,8.00M,-442.00M,12.00M,-25.00M,,95.00M,,479.00M,-113.00M,26.00M,-87.00M,-19.00M,328.00M,,222.00M,,,-861.00M,2.00M,,2.00M,,-93.00M,,-952.00M,6.507B,-251.00M,34.00M,6.29B,,2.00M,,,,,
2002-12,174.00M,,,,174.00M,,506.00M,506.00M,-312.00M,,,-314.00M,0.00,90.00M,51.00M,,-107.00M,-28.00M,,514.00M,-219.00M,61.00M,-158.00M,-27.00M,-28.00M,,-117.00M,,,-185.00M,119.00M,,119.00M,,-92.00M,,-158.00M,6.284B,239.00M,-16.00M,6.507B,,119.00M,,,,,
2002-09,111.00M,,,,32.00M,,502.00M,502.00M,93.00M,,,79.00M,-405.00M,-193.00M,-135.00M,,52.00M,-602.00M,,136.00M,-149.00M,39.00M,-110.00M,-41.00M,34.00M,,-117.00M,,,-37.00M,19.00M,,19.00M,,-91.00M,,-109.00M,6.392B,-90.00M,-18.00M,6.284B,,19.00M,,,,,
2002-06,-2.321B,,,,3.531B,,543.00M,543.00M,-1.113B,,-190.00M,-87.00M,68.00M,-68.00M,135.00M,,29.00M,77.00M,,527.00M,-136.00M,38.00M,-98.00M,-21.00M,32.00M,,-87.00M,,,-94.00M,260.00M,,260.00M,,-91.00M,,75.00M,5.879B,515.00M,-2.00M,6.392B,,260.00M,,,,,
2002-03,-449.00M,,,,185.00M,,557.00M,557.00M,-238.00M,,190.00M,477.00M,235.00M,-809.00M,-12.00M,,26.00M,-83.00M,,162.00M,-103.00M,5.00M,-98.00M,-5.00M,-15.00M,,-118.00M,,,-205.00M,3.00M,,3.00M,,-90.00M,,-292.00M,6.082B,-248.00M,45.00M,5.879B,,3.00M,,,,,
2001-12,-1.237B,,,,1.657B,,633.00M,633.00M,-633.00M,,,474.00M,498.00M,-847.00M,229.00M,,-66.00M,288.00M,,708.00M,-281.00M,-3.802B,-4.083B,-18.00M,151.00M,,113.00M,,,-145.00M,106.00M,,106.00M,,-91.00M,,-130.00M,5.371B,691.00M,20.00M,6.082B,,106.00M,,,,,
2001-09,-1.408B,,,,1.927B,,590.00M,590.00M,-1.112B,,,-155.00M,505.00M,-457.00M,61.00M,,335.00M,289.00M,,286.00M,-219.00M,3.804B,3.585B,-52.00M,-1.451B,,2.082B,,,-1.509B,9.00M,,9.00M,,-89.00M,,-1.589B,4.451B,779.00M,141.00M,5.371B,,9.00M,,,,,
2001-06,-759.00M,,,,348.00M,,658.00M,658.00M,-206.00M,,,594.00M,509.00M,-163.00M,26.00M,,-81.00M,885.00M,,926.00M,-351.00M,12.00M,-339.00M,-12.00M,359.00M,,8.00M,,,-753.00M,200.00M,,200.00M,,-88.00M,,-641.00M,4.047B,293.00M,111.00M,4.451B,,200.00M,,,,,
2001-03,-533.00M,,,,175.00M,,671.00M,671.00M,-322.00M,,,1.532B,326.00M,-1.563B,-67.00M,,-163.00M,65.00M,,56.00M,-470.00M,,-470.00M,-430.00M,1.174B,,274.00M,,,581.00M,47.00M,,47.00M,,-88.00M,,540.00M,3.301B,870.00M,-124.00M,4.047B,,47.00M,,,,,
2000-12,135.00M,,,,47.00M,,804.00M,804.00M,-143.00M,,,-352.00M,-31.00M,-261.00M,346.00M,-54.00M,-514.00M,-866.00M,,-23.00M,-1.316B,-1.046B,-2.362B,-800.00M,-18.00M,,-1.747B,,,2.316B,-30.00M,,-30.00M,,-73.00M,,2.213B,2.757B,443.00M,101.00M,3.301B,,-30.00M,,,,,
2000-09,531.00M,,,,-12.00M,,592.00M,592.00M,-188.00M,,,-472.00M,-504.00M,114.00M,286.00M,54.00M,-610.00M,-1.132B,,-209.00M,-1.081B,836.00M,-245.00M,-485.00M,278.00M,,-452.00M,,,394.00M,35.00M,,35.00M,,-87.00M,,342.00M,3.083B,-319.00M,-7.00M,2.757B,,35.00M,,,,,
2000-06,204.00M,,,,290.00M,,563.00M,563.00M,50.00M,,,-258.00M,-756.00M,216.00M,-388.00M,,42.00M,-1.144B,,-37.00M,-1.046B,384.00M,-662.00M,-395.00M,-261.00M,,-1.318B,,,1.164B,217.00M,,217.00M,,-87.00M,,1.294B,3.275B,-61.00M,-131.00M,3.083B,,217.00M,,,,,
2000-03,448.00M,,,,-80.00M,,563.00M,563.00M,520.00M,,,-389.00M,-1.014B,-735.00M,-776.00M,,568.00M,-2.346B,,-895.00M,-688.00M,,-688.00M,-232.00M,346.00M,,-574.00M,,,1.195B,161.00M,,161.00M,,-86.00M,,1.27B,3.537B,-199.00M,-63.00M,3.275B,,161.00M,,,,,
1999-12,323.00M,,,,1.503B,,680.00M,680.00M,-162.00M,,,-79.00M,-506.00M,-1.141B,17.00M,497.00M,-980.00M,-2.192B,,152.00M,-1.241B,-2.067B,-3.308B,-176.00M,-265.00M,2.556B,-1.193B,,,989.00M,139.00M,,139.00M,,-74.00M,,1.054B,3.54B,13.00M,-16.00M,3.537B,,139.00M,,,,,
1999-09,114.00M,,,,-663.00M,,537.00M,537.00M,-252.00M,,,182.00M,-169.00M,1.271B,1.00M,-1.082B,,203.00M,,-61.00M,-627.00M,2.147B,1.52B,-205.00M,-152.00M,-1.00M,1.162B,,,-2.453B,583.00M,,583.00M,,-73.00M,-484.00M,-2.427B,4.883B,-1.326B,-17.00M,3.54B,,583.00M,,,,,
1999-06,255.00M,,,,-26.00M,,570.00M,570.00M,-226.00M,,,-459.00M,-103.00M,721.00M,-62.00M,585.00M,7.00M,689.00M,,1.262B,-589.00M,240.00M,-349.00M,-175.00M,-228.00M,1.00M,-751.00M,,,2.175B,57.00M,,57.00M,,-72.00M,0.00,2.16B,2.139B,2.671B,73.00M,4.883B,,57.00M,,,,,
1999-03,199.00M,,,,-34.00M,,573.00M,573.00M,197.00M,,,221.00M,100.00M,-490.00M,28.00M,,-7.00M,-148.00M,,787.00M,-399.00M,148.00M,-251.00M,-76.00M,149.00M,,-178.00M,,,-660.00M,249.00M,,249.00M,,-72.00M,484.00M,1.00M,1.602B,610.00M,-73.00M,2.139B,,249.00M,,,,,
1998-12,214.00M,,,,369.00M,,729.00M,729.00M,-119.00M,,509.00M,-40.00M,539.00M,-124.00M,112.00M,,,-270.00M,,1.432B,-356.00M,131.00M,-225.00M,,-260.00M,,-922.00M,,,-193.00M,32.00M,,32.00M,,-72.00M,,-233.00M,1.257B,277.00M,33.00M,1.602B,,32.00M,,,,,
1998-09,27.00M,,,,8.00M,,539.00M,539.00M,-384.00M,,-509.00M,-139.00M,24.00M,303.00M,-37.00M,298.00M,,449.00M,,130.00M,-949.00M,130.00M,-819.00M,,173.00M,,-646.00M,,,628.00M,3.00M,,3.00M,,-72.00M,,559.00M,1.177B,43.00M,37.00M,1.257B,,3.00M,,,,,
1998-06,-1.328B,,,,1.902B,,521.00M,521.00M,-395.00M,,,-6.00M,-2.00M,-558.00M,-61.00M,-383.00M,,-1.01B,,-310.00M,-1.213B,189.00M,-1.024B,,94.00M,,-930.00M,,,979.00M,12.00M,,12.00M,,-72.00M,,919.00M,1.509B,-321.00M,-11.00M,1.177B,,12.00M,,,,,
