,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,904.46M,904.46M,404.35M,500.11M,340.81M,,340.81M,59.86M,4.554M,,22.80M,6.308M,-16.50M,7.297M,412.52M,87.59M,6.308M,22.80M,-16.50M,-2.969M,-16.50M,68.12M,7.825M,60.30M,,,60.30M,60.30M,131.55M,40.62M,90.93M,,0.48,,,0.48,0.48,,0.48,,,0.48,0.48,,125.71M,126.34M,0.63,,AOR,Restated
2018-03,716.34M,716.34M,324.84M,391.50M,396.02M,,396.02M,57.38M,6.478M,,22.81M,6.248M,-16.56M,12.03M,471.92M,-80.42M,6.248M,22.81M,-16.56M,8.592M,-16.56M,-88.39M,24.10M,-112.49M,,,-112.49M,-112.49M,-32.88M,32.70M,-65.58M,,-0.90,,,-0.90,-0.90,,-0.90,,,-0.90,-0.90,,125.07M,125.07M,0.57,,AOR,Restated
2017-12,1.596B,1.596B,751.46M,844.66M,471.10M,,471.10M,76.26M,6.564M,,24.52M,6.113M,-18.40M,19.65M,573.57M,271.09M,6.113M,24.52M,-18.40M,25.90M,-18.40M,278.59M,283.88M,-5.298M,,,-5.298M,-5.298M,344.83M,41.73M,303.10M,,-0.04,,,-0.04,-0.04,,-0.04,,,-0.04,-0.04,,124.54M,132.51M,0.57,,AOR,Restated
2017-09,1.792B,1.792B,869.88M,921.62M,481.41M,,481.41M,67.39M,6.492M,,25.07M,5.362M,-19.71M,5.394M,560.68M,360.94M,5.362M,25.07M,-19.71M,8.607M,-19.71M,349.84M,84.26M,265.58M,,,265.58M,265.58M,423.47M,48.55M,374.91M,,2.12,,,2.12,2.12,,2.09,,,2.09,2.09,,125.17M,125.17M,0.57,,AOR,Restated
2017-06,972.51M,972.51M,447.38M,525.12M,349.28M,,349.28M,62.79M,7.881M,,24.22M,5.116M,-19.11M,5.188M,425.14M,99.98M,5.116M,24.22M,-19.11M,6.01M,-19.11M,86.89M,19.16M,67.72M,,,67.72M,67.72M,157.08M,45.97M,111.11M,,0.54,,,0.54,0.54,,0.53,,,0.53,0.53,,125.26M,125.26M,0.57,,AOR,Restated
2017-03,849.66M,849.66M,370.46M,479.20M,324.82M,,324.82M,62.59M,7.881M,,24.46M,5.564M,-18.89M,5.57M,400.86M,78.34M,5.564M,24.46M,-18.89M,11.39M,-18.89M,70.84M,2.238M,68.60M,,,68.60M,68.60M,130.88M,35.58M,95.29M,,0.55,,,0.55,0.55,,0.54,,,0.54,0.54,,125.18M,125.18M,0.51,,AOR,Restated
2016-12,1.630B,1.630B,770.42M,859.52M,501.78M,,501.78M,75.46M,8.69M,,25.14M,2.898M,-22.24M,18.43M,604.36M,255.16M,2.898M,25.14M,-22.24M,-12.98M,-22.24M,219.93M,39.33M,180.60M,,12.13M,192.72M,192.72M,284.14M,39.07M,245.07M,,1.54,,,1.54,1.54,,1.52,,,1.52,1.52,,124.93M,126.70M,0.51,,AOR,Restated
2016-09,1.680B,1.680B,793.28M,886.48M,439.32M,,439.32M,70.08M,8.691M,,24.30M,1.944M,-22.36M,6.282M,524.38M,362.10M,1.944M,24.30M,-22.36M,6.584M,-22.36M,346.32M,90.16M,256.16M,,1.636M,257.80M,257.80M,411.56M,40.93M,370.63M,,2.05,,,2.05,2.05,,2.03,,,2.03,2.03,,125.50M,127.18M,0.51,,AOR,Restated
2016-06,878.94M,878.94M,391.08M,487.86M,325.59M,,325.59M,63.67M,8.691M,,23.91M,2.312M,-21.60M,5.033M,402.99M,84.87M,2.312M,23.91M,-21.60M,3.748M,-21.60M,67.02M,17.60M,49.42M,,2.687M,52.11M,52.11M,131.59M,40.66M,90.93M,,0.42,,,0.42,0.42,,0.41,,,0.41,0.41,,125.48M,127.04M,0.51,,AOR,Restated
2016-03,831.18M,831.18M,360.21M,470.97M,313.01M,,313.01M,57.16M,8.691M,,24.04M,2.213M,-21.83M,6.186M,385.06M,85.92M,2.213M,24.04M,-21.83M,-4.872M,-21.83M,59.21M,12.24M,46.97M,,1.78M,48.75M,48.75M,117.07M,33.82M,83.26M,,0.39,,,0.39,0.39,,0.38,,,0.38,0.38,,125.27M,125.27M,0.46,,AOR,Restated
2015-12,1.465B,1.465B,703.89M,761.47M,413.09M,,413.09M,68.64M,8.392M,,24.31M,0.853M,-23.45M,12.64M,502.77M,258.70M,0.853M,24.31M,-23.45M,-3.911M,-23.45M,231.34M,56.94M,174.39M,,1.369M,175.76M,175.76M,289.25M,33.60M,255.64M,,1.41,,,1.41,1.41,,1.39,,,1.39,1.39,,124.98M,126.68M,0.46,,AOR,Restated
2015-09,1.471B,1.471B,693.10M,777.90M,389.05M,,389.05M,64.79M,9.031M,,24.04M,0.672M,-23.37M,11.50M,474.37M,303.53M,0.672M,24.04M,-23.37M,4.463M,-23.37M,284.62M,78.24M,206.38M,,1.224M,207.60M,207.60M,353.34M,44.68M,308.66M,,1.66,,,1.66,1.66,,1.64,,,1.64,1.64,,125.10M,126.92M,0.46,,AOR,Restated
2015-06,797.66M,797.66M,352.47M,445.19M,291.51M,,291.51M,57.61M,13.35M,,24.19M,0.69M,-23.50M,7.22M,369.69M,75.50M,0.69M,24.19M,-23.50M,1.642M,-23.50M,53.65M,13.36M,40.28M,,1.527M,41.81M,41.81M,120.52M,42.69M,77.83M,,0.33,,,0.33,0.33,,0.33,,,0.33,0.33,,125.09M,126.81M,0.46,,AOR,Restated
2015-03,713.50M,713.50M,306.82M,406.68M,276.53M,,276.53M,51.90M,12.95M,,24.58M,0.93M,-23.66M,11.10M,352.47M,54.20M,0.93M,24.58M,-23.66M,3.765M,-23.66M,34.32M,8.494M,25.82M,,0.846M,26.67M,26.67M,93.26M,34.36M,58.90M,,0.21,,,0.21,0.21,,0.21,,,0.21,0.21,,124.85M,124.85M,0.43,,AOR,Restated
2014-12,1.299B,1.299B,607.58M,691.02M,376.15M,,376.15M,65.37M,14.60M,,23.16M,0.523M,-22.64M,11.34M,467.47M,223.55M,0.523M,23.16M,-22.64M,4.508M,-22.64M,205.42M,36.60M,168.82M,,1.09M,169.91M,169.91M,265.91M,37.33M,228.58M,,1.35,,,1.35,1.35,,1.34,,,1.34,1.34,,125.74M,127.18M,0.43,,AOR,Restated
2014-09,1.470B,1.470B,697.12M,772.78M,391.56M,,391.56M,58.22M,12.81M,,24.71M,0.745M,-23.96M,24.37M,486.97M,285.81M,0.745M,24.71M,-23.96M,-17.80M,-23.96M,244.05M,63.90M,180.16M,,0.302M,180.46M,180.46M,314.03M,45.27M,268.76M,,1.42,,,1.42,1.42,,1.40,,,1.40,1.40,,127.29M,128.70M,0.43,,AOR,Restated
2014-06,829.26M,829.26M,390.87M,438.39M,285.52M,,285.52M,51.71M,11.89M,,22.80M,1.165M,-21.64M,6.71M,355.83M,82.56M,1.165M,22.80M,-21.64M,3.59M,-21.64M,64.52M,31.70M,32.82M,,0.655M,33.48M,33.48M,127.78M,40.46M,87.32M,,0.26,,,0.26,0.26,,0.26,,,0.26,0.26,,129.38M,130.93M,0.43,,AOR,Restated
2014-03,679.45M,679.45M,308.13M,371.33M,262.56M,,262.56M,47.26M,13.40M,,22.43M,1.326M,-21.10M,4.658M,327.88M,43.45M,1.326M,22.43M,-21.10M,3.649M,-21.10M,26.00M,-5.519M,31.51M,,0.573M,32.09M,32.09M,83.33M,34.91M,48.42M,,0.24,,,0.24,0.24,,0.24,,,0.24,0.24,,131.23M,132.73M,0.40,,AOR,Restated
2013-12,1.282B,1.282B,631.53M,650.24M,359.26M,,359.26M,53.14M,40.51M,,19.19M,0.686M,-18.50M,13.67M,466.57M,183.67M,0.686M,19.19M,-18.50M,-3.845M,-18.50M,161.33M,33.05M,128.28M,,1.539M,129.82M,129.82M,248.30M,67.78M,180.51M,,0.99,,,0.99,0.99,,0.98,,,0.98,0.98,,130.83M,137.24M,0.40,,AOR,Restated
2013-09,1.370B,1.370B,712.53M,657.82M,367.53M,,367.53M,59.37M,14.22M,,41.19M,1.326M,-39.87M,17.99M,459.11M,198.71M,1.326M,41.19M,-39.87M,-2.925M,-39.87M,155.91M,30.07M,125.84M,,0.731M,126.57M,126.57M,243.68M,46.57M,197.11M,,0.97,,,0.97,0.97,,0.96,,,0.96,0.96,,130.25M,130.25M,0.40,,AOR,Restated
2013-06,766.34M,766.34M,350.80M,415.54M,271.20M,,271.20M,47.90M,12.04M,,22.22M,1.432M,-20.79M,10.31M,341.46M,74.09M,1.432M,22.22M,-20.79M,-2.219M,-20.79M,51.08M,14.60M,36.48M,,0.00,36.48M,36.48M,109.17M,35.87M,73.30M,,0.28,,,0.28,0.28,,0.28,,,0.28,0.28,,130.32M,130.32M,0.40,,AOR,Restated
2013-03,663.69M,663.69M,316.96M,346.73M,271.78M,,271.78M,47.18M,11.42M,,22.98M,1.481M,-21.50M,5.723M,336.10M,10.63M,1.481M,22.98M,-21.50M,-5.622M,-21.50M,-16.49M,-9.822M,-6.671M,,0.00,-6.671M,-6.671M,37.25M,30.77M,6.486M,,-0.05,,,-0.05,-0.05,,-0.05,,,-0.05,-0.05,,129.34M,129.34M,0.36,,AOR,Restated
2012-12,1.284B,1.284B,605.96M,677.57M,388.10M,,388.10M,57.69M,15.78M,,22.57M,0.899M,-21.67M,15.85M,477.42M,200.16M,0.899M,22.57M,-21.67M,-4.821M,-21.67M,173.66M,43.36M,130.30M,,0.00,130.30M,130.30M,236.62M,40.38M,196.23M,,1.00,,,1.00,1.00,,0.99,,,0.99,0.99,,129.83M,131.59M,0.36,,AOR,Restated
2012-09,1.345B,1.345B,675.74M,669.40M,345.87M,,345.87M,48.47M,12.64M,,23.04M,1.27M,-21.77M,12.79M,419.78M,249.62M,1.27M,23.04M,-21.77M,-2.90M,-21.77M,224.95M,60.10M,164.85M,,0.00,164.85M,164.85M,292.00M,44.01M,247.99M,,1.26,,,1.26,1.26,,1.24,,,1.24,1.24,,130.62M,132.48M,0.36,,AOR,Restated
2012-06,811.47M,811.47M,382.88M,428.59M,270.68M,,270.68M,50.11M,11.50M,,22.41M,1.689M,-20.72M,10.02M,342.31M,86.28M,1.689M,22.41M,-20.72M,-5.899M,-20.72M,59.66M,16.23M,43.43M,,,43.43M,43.43M,118.00M,35.93M,82.07M,,0.33,,,0.33,0.33,,0.33,,,0.33,0.33,,130.29M,130.29M,0.36,,AOR,Restated
2012-03,648.85M,648.85M,309.47M,339.38M,264.94M,,264.94M,44.93M,10.66M,,23.11M,2.475M,-20.64M,3.138M,323.65M,15.73M,2.475M,23.11M,-20.64M,0.045M,-20.64M,-4.866M,-2.287M,-2.579M,,,-2.579M,-2.579M,48.21M,29.96M,18.25M,,-0.02,,,-0.02,-0.02,,-0.02,,,-0.02,-0.02,,129.57M,129.57M,0.30,,AOR,Restated
2011-12,1.329B,1.329B,696.02M,633.32M,957.34M,,337.40M,47.35M,-3.813M,,22.32M,0.941M,-21.38M,,416.74M,216.58M,0.941M,22.32M,-21.38M,-6.056M,-21.38M,189.14M,50.01M,139.13M,,,139.13M,139.13M,236.43M,24.97M,211.46M,,1.06,,,1.06,1.06,,1.04,,,1.04,1.04,,114.10M,114.10M,0.30,,AOR,Restated
2011-09,1.376B,1.376B,708.78M,667.03M,130.40M,220.13M,350.53M,49.50M,18.93M,-7.153M,22.48M,3.017M,-19.46M,,418.96M,248.07M,3.017M,22.48M,-19.46M,-7.153M,-19.46M,221.46M,50.47M,170.99M,,,170.99M,176.51M,309.49M,65.56M,243.94M,,1.29,0.00,,1.332,1.29,,1.27,0.00,,1.311,1.27,,132.45M,134.92M,0.30,,AOR,Restated
2011-06,908.45M,908.45M,460.21M,448.25M,81.77M,213.39M,295.16M,54.96M,17.72M,-6.069M,22.85M,1.464M,-21.38M,,367.84M,80.41M,1.464M,22.85M,-21.38M,-6.069M,-21.38M,52.95M,-5.097M,58.05M,,,58.05M,62.00M,114.73M,38.92M,75.80M,,0.43,0.00,,0.4590,0.43,,0.42,0.00,,0.4483,0.42,,136.07M,139.24M,0.30,,AOR,Restated
2011-03,671.99M,671.99M,310.47M,361.51M,66.54M,186.42M,252.96M,45.82M,10.70M,-6.122M,21.38M,1.412M,-19.96M,3.117M,312.59M,48.92M,1.412M,21.38M,-19.96M,-6.122M,-19.96M,22.84M,5.642M,17.20M,,,17.20M,21.81M,75.23M,31.02M,44.21M,,0.12,0.00,,0.1535,0.12,,0.12,0.00,,0.1535,0.12,,137.64M,137.64M,0.25,,AOR,Restated
2010-12,1.279B,1.279B,614.57M,664.12M,924.93M,,372.00M,61.95M,12.10M,,21.74M,1.874M,-19.87M,17.04M,463.08M,201.05M,1.874M,21.74M,-19.87M,-7.802M,-19.87M,173.38M,33.37M,140.01M,,,140.01M,140.01M,230.15M,35.03M,195.12M,,1.02,,,1.02,1.02,,0.98,,,0.98,0.98,,137.00M,141.21M,0.25,,AOR,Restated
2010-09,1.313B,1.313B,667.22M,646.08M,133.74M,202.32M,336.06M,51.62M,15.61M,2.134M,21.66M,0.839M,-20.82M,5.034M,408.32M,237.76M,0.839M,21.66M,-20.82M,2.134M,-20.82M,219.07M,63.91M,155.16M,,,155.16M,153.65M,283.84M,43.11M,240.73M,,1.12,0.00,,1.109,1.12,,1.09,0.00,,1.079,1.09,,138.20M,141.72M,0.25,,AOR,Restated
2010-06,737.79M,737.79M,300.32M,437.47M,72.00M,226.96M,298.96M,47.47M,11.32M,1.127M,21.92M,2.106M,-19.82M,,357.74M,79.73M,2.106M,21.92M,-19.82M,1.127M,-19.82M,61.04M,17.41M,43.63M,,,43.63M,42.83M,121.85M,38.89M,82.96M,,0.30,0.00,,0.2944,0.30,,0.29,0.00,,0.2844,0.29,,143.80M,143.80M,0.25,,AOR,Restated
2010-03,672.37M,672.37M,306.46M,365.91M,71.17M,173.70M,244.88M,40.32M,11.38M,0.865M,16.79M,0.83M,-15.96M,,296.58M,69.33M,0.83M,16.79M,-15.96M,0.865M,-15.96M,54.23M,-4.713M,58.94M,,,58.94M,58.38M,100.32M,29.30M,71.02M,,0.43,0.00,,0.4259,0.43,,0.40,0.00,,0.3963,0.40,,137.32M,151.28M,0.20,,AOR,Restated
2009-12,1.375B,1.375B,664.75M,710.43M,133.64M,251.13M,384.77M,56.66M,25.40M,-0.836M,16.78M,0.41M,-16.37M,,466.83M,243.60M,0.41M,16.78M,-16.37M,-0.836M,-16.37M,226.40M,60.83M,165.56M,,,165.56M,166.17M,293.50M,50.32M,243.17M,,1.19,0.00,,1.194,1.19,,1.09,0.00,,1.093,1.09,,138.51M,191.68M,0.20,,AOR,Restated
2009-09,1.279B,1.279B,649.75M,629.47M,134.95M,198.99M,333.94M,43.87M,20.96M,4.315M,17.61M,0.444M,-17.16M,,398.76M,230.71M,0.444M,17.61M,-17.16M,4.315M,-17.16M,217.86M,67.50M,150.36M,,,150.36M,147.38M,286.92M,51.45M,235.47M,,1.08,0.00,,1.059,1.08,,0.99,0.00,,0.9687,0.99,,139.81M,139.81M,0.20,,AOR,Restated
2009-06,792.20M,792.20M,393.28M,398.92M,81.68M,181.85M,263.53M,43.53M,18.79M,0.545M,17.50M,0.739M,-16.76M,,325.85M,73.07M,0.739M,17.50M,-16.76M,0.545M,-16.76M,56.85M,17.58M,39.28M,,,39.28M,38.90M,118.43M,44.07M,74.36M,,0.28,0.00,,0.2773,0.28,,0.26,0.00,,0.2573,0.26,,139.97M,139.97M,0.20,,AOR,Restated
2009-03,621.34M,621.34M,299.21M,322.13M,62.31M,161.59M,223.90M,37.13M,19.89M,-4.18M,9.715M,1.265M,-8.45M,,280.92M,41.22M,1.265M,9.715M,-8.45M,-4.18M,-8.45M,28.59M,8.857M,19.73M,,,19.73M,22.61M,73.42M,35.12M,38.30M,,0.14,0.00,,0.1606,0.14,,0.14,0.00,,0.1606,0.14,,140.05M,140.05M,0.20,,AOR,Restated
2008-12,1.231B,1.231B,539.51M,691.54M,140.17M,326.09M,466.26M,54.23M,19.44M,-14.08M,11.04M,2.088M,-8.948M,,539.93M,151.61M,2.088M,11.04M,-8.948M,-14.08M,-8.948M,128.58M,35.00M,93.58M,,,93.58M,103.83M,182.37M,42.76M,139.62M,,0.67,0.00,,0.7436,0.67,,0.61,0.00,,0.6768,0.61,,139.32M,153.35M,0.20,,AOR,Restated
2008-09,1.302B,1.302B,573.84M,728.13M,151.23M,291.24M,442.47M,49.99M,19.74M,-6.104M,11.73M,3.428M,-8.301M,,512.20M,215.92M,3.428M,11.73M,-8.301M,-6.104M,-8.301M,201.52M,63.29M,138.23M,,,138.23M,142.42M,261.78M,48.53M,213.25M,,0.98,0.00,,1.010,0.98,,0.89,0.00,,0.9168,0.89,,141.57M,156.18M,0.20,,,Restated
2008-06,784.29M,784.29M,308.22M,476.06M,86.23M,190.08M,276.31M,45.43M,20.64M,-69.87M,12.95M,4.432M,-8.518M,,342.39M,133.68M,4.432M,12.95M,-8.518M,-69.87M,-8.518M,55.28M,17.80M,37.49M,,,37.49M,84.86M,109.34M,41.10M,68.24M,,0.27,0.00,,0.6085,0.27,,0.25,0.00,,0.5660,0.25,,139.97M,149.94M,0.20,,,Restated
2008-03,704.22M,704.22M,271.16M,433.06M,76.98M,176.19M,253.18M,41.77M,18.44M,-60.28M,,,,58.42M,371.81M,61.25M,,,,-60.28M,,55.67M,18.20M,37.47M,,,37.47M,78.04M,95.00M,33.75M,61.25M,,0.26,0.00,,0.5451,0.26,,0.25,0.00,,0.5097,0.25,,142.31M,156.25M,0.16,,,
2007-12,1.298B,1.298B,538.94M,758.91M,149.46M,28.71M,178.17M,49.63M,14.19M,-6.889M,,,,,558.80M,200.11M,,,,-6.889M,,186.90M,53.17M,133.73M,,,133.73M,138.66M,213.98M,36.22M,177.76M,,0.88,0.00,,0.9138,0.88,,0.81,0.00,,0.8391,0.81,,145.97M,169.46M,0.16,,,Restated
2007-09,1.223B,1.223B,521.02M,702.02M,138.65M,292.17M,430.82M,43.47M,17.99M,-1.388M,,,,,492.28M,209.74M,,,,-1.388M,,203.92M,42.34M,161.58M,,,161.58M,162.68M,255.88M,46.14M,209.74M,,1.04,0.00,,1.047,1.04,,0.95,0.00,,0.9565,0.95,,155.37M,170.08M,0.16,,,
2007-06,691.41M,691.41M,273.21M,418.20M,79.00M,227.06M,306.06M,38.79M,17.57M,-37.16M,,,,,362.42M,55.78M,,,,-37.16M,,21.96M,17.16M,4.801M,,,4.801M,28.96M,95.12M,39.34M,55.78M,,0.03,0.00,,0.1810,0.03,,0.03,0.00,,0.1810,0.03,,160.03M,160.03M,0.16,,,
2007-03,625.27M,625.27M,243.45M,381.82M,67.64M,156.92M,224.56M,35.31M,17.96M,-57.14M,,,,50.26M,328.09M,53.73M,,,,-57.14M,,49.60M,16.71M,32.89M,,,32.89M,70.78M,88.54M,34.82M,53.73M,,0.20,0.00,,0.4355,0.20,,0.19,0.00,,0.4045,0.19,,160.92M,176.66M,0.12,,,
2006-12,1.116B,1.116B,445.91M,670.48M,126.85M,218.57M,345.42M,49.14M,21.04M,83.10M,,,,62.19M,477.79M,192.69M,,,,83.10M,,170.55M,62.27M,108.28M,,,108.28M,55.52M,227.53M,34.84M,192.69M,,0.66,0.00,,0.3291,0.66,,0.61,0.00,,0.3104,0.61,,159.44M,176.12M,0.12,,,
2006-09,1.039B,1.039B,461.51M,577.63M,126.83M,169.30M,296.13M,44.44M,20.50M,-70.83M,,,,51.35M,412.43M,165.20M,,,,-70.83M,,143.88M,44.29M,99.58M,,,99.58M,148.61M,207.74M,42.54M,165.20M,,0.62,0.00,,0.9252,0.62,,0.58,0.00,,0.8655,0.58,,160.62M,171.70M,0.12,,,
2006-06,527.76M,527.76M,210.37M,317.40M,60.47M,147.38M,207.85M,39.61M,19.14M,-17.73M,,,,30.20M,296.80M,20.60M,,,,-17.73M,,32.50M,5.414M,27.09M,,,27.09M,41.86M,58.08M,37.48M,20.60M,,0.16,0.00,,0.2473,0.16,,0.07,0.00,,0.1535,0.07,,169.30M,177.03M,0.12,,,
2006-03,468.18M,468.18M,186.09M,282.09M,54.85M,146.96M,201.81M,38.16M,18.25M,-29.52M,,,,25.99M,284.22M,-2.126M,,,,-29.52M,,-5.453M,-0.554M,-4.899M,,,-4.899M,21.63M,29.72M,31.85M,-2.126M,,-0.03,0.00,,0.1198,-0.03,,-0.03,0.00,,0.1198,-0.03,,177.03M,177.03M,0.09,,,
2005-12,1.072B,1.072B,450.76M,621.49M,128.36M,184.64M,313.00M,43.64M,22.18M,-80.20M,,,,89.08M,467.90M,153.58M,,,,-80.20M,,155.12M,60.85M,94.27M,,,94.27M,143.01M,196.34M,42.76M,153.58M,,0.53,0.00,,0.8048,0.53,,0.48,0.00,,0.7250,0.48,,177.38M,198.89M,0.09,,,
2005-09,988.05M,988.05M,444.78M,543.28M,118.84M,162.06M,280.91M,39.39M,28.17M,-60.68M,,,,66.54M,415.00M,128.28M,,,,-60.68M,,126.33M,34.26M,92.06M,,,92.06M,136.28M,182.02M,53.74M,128.28M,,0.51,0.00,,0.7550,0.51,,0.47,0.00,,0.6957,0.47,,180.52M,195.88M,0.09,,,
2005-06,572.39M,572.39M,224.77M,347.62M,64.97M,141.29M,206.26M,36.51M,26.93M,-43.32M,,,,50.80M,320.50M,27.12M,,,,-43.32M,,32.69M,3.236M,29.45M,,,29.45M,68.49M,72.64M,45.52M,27.12M,,0.17,0.00,,0.3953,0.17,,0.13,0.00,,0.3023,0.13,,173.26M,226.57M,0.09,,,
