,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.574B,2.677B,1.563B,1.114B,,610.00M,610.00M,140.00M,,80.00M,22.00M,10.00M,-12.00M,,750.00M,364.00M,10.00M,22.00M,-12.00M,86.00M,-12.00M,438.00M,49.00M,389.00M,,,,,389.00M,304.64M,652.00M,192.00M,460.00M,0.72,,,,0.5635,0.72,0.71,,,,0.5569,0.71,539.00M,551.00M,0.16
2017-12,2.685B,2.797B,1.629B,1.168B,,2.604B,730.00M,183.00M,,0.00,23.00M,9.00M,-14.00M,,857.00M,311.00M,9.00M,23.00M,-14.00M,-121.00M,-14.00M,176.00M,352.00M,-176.00M,-10.00M,,,,-186.00M,-123.80M,387.00M,188.00M,199.00M,-0.11,-0.02,,,-0.0139,-0.13,-0.11,-0.02,,,-0.0165,-0.13,543.00M,558.00M,0.16
2017-09,2.583B,2.707B,1.577B,1.13B,680.00M,8.00M,688.00M,150.00M,,0.00,22.00M,8.00M,-14.00M,,838.00M,292.00M,8.00M,22.00M,-14.00M,12.00M,-14.00M,290.00M,42.00M,248.00M,3.00M,,,,251.00M,237.74M,496.00M,184.00M,312.00M,0.46,0.0,,,0.4412,0.46,0.45,0.0,,,0.4316,0.45,545.00M,557.00M,0.16
2017-06,2.493B,2.605B,1.473B,1.132B,630.00M,,630.00M,155.00M,,-33.00M,21.00M,8.00M,-13.00M,,785.00M,347.00M,8.00M,21.00M,-13.00M,-28.00M,-13.00M,306.00M,42.00M,264.00M,1.00M,,,,265.00M,279.53M,511.00M,184.00M,327.00M,0.49,0.0,,,0.5186,0.49,0.48,0.0,,,0.508,0.48,544.00M,555.00M,0.16
2017-03,2.366B,2.475B,1.431B,1.044B,564.00M,,564.00M,127.00M,,,20.00M,6.00M,-14.00M,,691.00M,353.00M,6.00M,20.00M,-14.00M,-11.00M,-14.00M,328.00M,55.00M,273.00M,-1.00M,,,,272.00M,273.00M,542.00M,194.00M,348.00M,0.5,0.0,,,0.5,0.5,0.5,-0.01,,,0.5,0.49,541.00M,551.00M,0.13
2016-12,2.198B,2.645B,1.537B,1.108B,649.00M,,670.00M,156.00M,,0.00,20.00M,7.00M,-13.00M,,826.00M,282.00M,7.00M,20.00M,-13.00M,10.00M,-13.00M,279.00M,39.00M,240.00M,3.00M,,,,243.00M,223.66M,500.00M,201.00M,299.00M,0.46,0.0,,,0.4299,0.46,0.45,0.0,,,0.4202,0.46,543.00M,548.00M,0.13
2016-09,2.558B,2.558B,1.487B,1.071B,726.00M,,726.00M,159.00M,,-52.00M,20.00M,6.00M,-14.00M,,885.00M,186.00M,6.00M,20.00M,-14.00M,-44.00M,-14.00M,128.00M,1.00M,127.00M,3.00M,,,,130.00M,178.58M,352.00M,204.00M,148.00M,0.23,0.01,,,0.3248,0.24,0.23,0.01,,,0.3236,0.24,544.00M,551.00M,0.13
2016-06,2.585B,2.585B,1.613B,972.00M,709.00M,,709.00M,195.00M,,1.148B,16.00M,5.00M,-11.00M,,904.00M,68.00M,5.00M,16.00M,-11.00M,1.161B,-11.00M,1.218B,6.00M,1.212B,0.00,,,,1.212B,66.76M,1.44B,206.00M,1.234B,2.21,0.0,,,0.1201,2.21,2.19,0.0,,,0.119,2.19,548.00M,553.00M,0.13
2016-03,2.375B,2.375B,1.41B,965.00M,641.00M,,641.00M,136.00M,,3.138B,33.00M,5.00M,-28.00M,,777.00M,188.00M,5.00M,33.00M,-28.00M,3.169B,-28.00M,3.329B,-58.00M,3.387B,-7.00M,,,,3.38B,1.499B,3.551B,189.00M,3.362B,6.17,-0.01,,,2.7310000000000003,6.16,6.13,-0.01,,,2.7089999999999996,6.12,549.00M,552.00M,0.115
2015-12,2.147B,2.603B,1.531B,1.072B,733.00M,,733.00M,161.00M,,52.00M,37.00M,5.00M,-32.00M,,894.00M,178.00M,5.00M,37.00M,-32.00M,59.00M,-32.00M,205.00M,22.00M,183.00M,22.00M,,,,205.00M,83.91M,408.00M,166.00M,242.00M,0.34,0.03,,,0.1592,0.37,0.34,0.03,,,0.1605,0.37,548.00M,552.00M,0.115
2015-09,2.487B,2.487B,1.453B,1.034B,794.00M,,794.00M,148.00M,,-130.00M,38.00M,4.00M,-34.00M,,942.00M,92.00M,4.00M,38.00M,-34.00M,-91.00M,-34.00M,-33.00M,-35.00M,2.00M,-1.00M,,,,1.00M,66.80M,221.00M,216.00M,5.00M,0.0037,-0.0018,,,0.1223,0.0018,0.0036,-0.0018,,,0.1217,0.0018,546.00M,549.00M,0.115
2015-06,2.475B,2.475B,1.454B,1.021B,783.00M,,783.00M,151.00M,,0.00,36.00M,6.00M,-30.00M,,934.00M,87.00M,6.00M,36.00M,-30.00M,51.00M,-30.00M,108.00M,34.00M,74.00M,258.00M,,,,332.00M,82.22M,334.00M,190.00M,144.00M,0.14,0.47,,,0.1551,0.61,0.13,0.47,,,0.145,0.6,544.00M,549.00M,0.52
2015-03,2.403B,2.403B,1.384B,1.019B,784.00M,,784.00M,143.00M,,0.00,35.00M,5.00M,-30.00M,,927.00M,92.00M,5.00M,35.00M,-30.00M,86.00M,-30.00M,148.00M,14.00M,134.00M,296.00M,,,,430.00M,53.46M,370.00M,187.00M,183.00M,0.25,0.54,,,0.1017,0.79,0.24,0.54,,,0.093,0.78,543.00M,548.00M,0.52
2014-12,2.789B,2.789B,1.582B,1.207B,860.00M,,860.00M,156.00M,,,36.00M,7.00M,-29.00M,,1.016B,191.00M,7.00M,36.00M,-29.00M,-53.00M,-29.00M,109.00M,-18.00M,127.00M,826.00M,,,,953.00M,127.00M,345.00M,200.00M,145.00M,0.97,0.79,,,0.97,1.76,0.96,0.78,,,0.96,1.74,542.00M,544.00M,0.52
2014-09,2.709B,2.709B,1.516B,1.193B,827.00M,,827.00M,149.00M,,,36.00M,5.00M,-31.00M,,976.00M,217.00M,5.00M,36.00M,-31.00M,16.00M,-31.00M,202.00M,27.00M,175.00M,293.00M,,,,468.00M,175.00M,341.00M,103.00M,238.00M,0.32,0.54,,,0.32,0.86,0.32,0.54,,,0.32,0.86,542.00M,547.00M,0.52
2014-06,4.154B,4.154B,2.185B,1.969B,988.00M,,988.00M,322.00M,,,47.00M,5.00M,-42.00M,,1.31B,659.00M,5.00M,47.00M,-42.00M,-15.00M,-42.00M,602.00M,134.00M,468.00M,52.00M,,,,520.00M,468.00M,902.00M,253.00M,649.00M,0.86,0.1,,,0.86,0.96,0.85,0.1,,,0.85,0.95,542.00M,548.00M,0.52
2014-03,3.848B,3.848B,1.957B,1.891B,910.00M,,910.00M,309.00M,,,48.00M,5.00M,-43.00M,,1.219B,672.00M,5.00M,48.00M,-43.00M,24.00M,-43.00M,653.00M,146.00M,507.00M,49.00M,,,,556.00M,507.00M,937.00M,236.00M,701.00M,0.93,0.09,,,0.93,1.02,0.92,0.09,,,0.92,1.01,542.00M,548.00M,0.49
2013-12,-1.232B,-1.232B,82.00M,-1.314B,496.00M,,496.00M,-187.00M,,,49.00M,8.00M,-41.00M,,309.00M,-1.623B,8.00M,49.00M,-41.00M,17.00M,-41.00M,-1.647B,-359.00M,-1.288B,1.614B,,,,326.00M,-1.288B,-1.536B,62.00M,-1.598B,0.6,2.97,,,0.6,0.6,0.59,2.94,,,0.59,0.59,543.00M,546.00M,0.49
2013-09,3.71B,3.71B,1.804B,1.906B,975.00M,,975.00M,277.00M,,,51.00M,6.00M,-45.00M,,1.252B,654.00M,6.00M,51.00M,-45.00M,55.00M,-45.00M,664.00M,136.00M,528.00M,16.00M,,,,544.00M,528.00M,922.00M,207.00M,715.00M,0.97,0.03,,,0.97,1.0,0.96,0.03,,,0.96,0.99,543.00M,549.00M,0.49
2013-06,3.669B,3.669B,1.73B,1.939B,838.00M,,838.00M,273.00M,,,24.00M,7.00M,-17.00M,,1.111B,828.00M,7.00M,24.00M,-17.00M,-68.00M,-17.00M,743.00M,153.00M,590.00M,,,,,590.00M,590.00M,950.00M,183.00M,767.00M,1.09,,,,1.09,1.09,1.07,,,,1.07,1.07,543.00M,549.00M,0.49
2013-03,3.448B,3.448B,1.692B,1.756B,795.00M,,795.00M,246.00M,,,31.00M,6.00M,-25.00M,,1.041B,715.00M,6.00M,31.00M,-25.00M,3.00M,-25.00M,693.00M,141.00M,552.00M,,,,,552.00M,552.00M,907.00M,183.00M,724.00M,1.01,,,,1.01,1.01,1.0,,,,1.0,1.0,545.00M,551.00M,0.45
2012-12,3.499B,3.499B,1.761B,1.738B,999.00M,,999.00M,216.00M,,,28.00M,6.00M,-22.00M,,1.215B,523.00M,6.00M,28.00M,-22.00M,22.00M,-22.00M,523.00M,72.00M,451.00M,,,,,494.00M,451.00M,729.00M,178.00M,551.00M,0.9,,,,0.9,0.9,0.89,,,,0.89,0.89,548.00M,556.00M,0.45
2012-09,3.477B,3.477B,1.667B,1.81B,743.00M,,743.00M,290.00M,,,31.00M,6.00M,-25.00M,,1.033B,777.00M,6.00M,31.00M,-25.00M,14.00M,-25.00M,766.00M,183.00M,583.00M,,,,,583.00M,583.00M,976.00M,179.00M,797.00M,1.07,,,,1.07,1.07,1.06,,,,1.06,1.06,548.00M,552.00M,0.45
2012-06,3.572B,3.572B,1.70B,1.872B,789.00M,,789.00M,306.00M,,,27.00M,5.00M,-22.00M,,1.095B,777.00M,5.00M,27.00M,-22.00M,62.00M,-22.00M,817.00M,156.00M,661.00M,,,,,661.00M,661.00M,1.024B,180.00M,844.00M,1.2,,,,1.2,1.2,1.19,,,,1.19,1.19,550.00M,553.00M,0.335
2012-03,3.388B,3.388B,1.674B,1.714B,752.00M,,752.00M,269.00M,,,27.00M,9.00M,-18.00M,,1.021B,693.00M,9.00M,27.00M,-18.00M,57.00M,-18.00M,732.00M,144.00M,588.00M,,,,,588.00M,588.00M,934.00M,175.00M,759.00M,1.05,0.0,,,1.05,1.05,1.04,0.0,,,1.04,1.04,559.00M,563.00M,0.335
2011-12,3.594B,3.594B,1.829B,1.765B,,,886.00M,254.00M,,-41.00M,25.00M,10.00M,-15.00M,,1.14B,625.00M,10.00M,25.00M,-15.00M,-62.00M,-15.00M,548.00M,76.00M,472.00M,,,-9.00M,,463.00M,498.31M,740.00M,167.00M,573.00M,0.82,0.0,,,0.8827,0.82,0.82,0.0,,,0.8823,0.82,563.00M,567.00M,0.335
2011-09,3.479B,3.479B,1.708B,1.771B,,,787.00M,239.00M,,-4.00M,23.00M,9.00M,-14.00M,,1.026B,745.00M,9.00M,23.00M,-14.00M,-4.00M,-14.00M,727.00M,149.00M,578.00M,,,-2.00M,,576.00M,579.18M,926.00M,176.00M,750.00M,1.02,0.0,,,1.026,1.02,1.01,0.0,,,1.016,1.01,566.00M,571.00M,0.31
2011-06,3.536B,3.536B,1.701B,1.835B,,,765.00M,239.00M,,-13.00M,22.00M,7.00M,-15.00M,,1.004B,831.00M,7.00M,22.00M,-15.00M,-13.00M,-15.00M,803.00M,174.00M,629.00M,,,-14.00M,,615.00M,625.18M,994.00M,169.00M,825.00M,1.08,0.0,,,1.0979999999999999,1.08,1.07,0.0,,,1.088,1.07,570.00M,575.00M,0.31
2011-03,3.284B,3.284B,1.609B,1.675B,,,716.00M,214.00M,,-4.00M,22.00M,12.00M,-10.00M,,930.00M,745.00M,12.00M,22.00M,-10.00M,-4.00M,-10.00M,731.00M,154.00M,577.00M,,,-7.00M,,570.00M,573.16M,911.00M,158.00M,753.00M,0.99,0.0,,,0.9955,0.99,0.98,0.0,,,0.9854,0.98,577.00M,581.00M,0.31
2010-12,3.498B,3.498B,1.88B,1.618B,833.00M,,833.00M,262.00M,,-52.00M,27.00M,8.00M,-19.00M,,1.095B,523.00M,8.00M,27.00M,-19.00M,-37.00M,-19.00M,467.00M,41.00M,426.00M,,,-3.00M,,423.00M,470.43M,673.00M,179.00M,494.00M,0.73,,,,0.8116,0.73,0.72,,,,0.8011,0.72,581.00M,585.00M,0.31
2010-09,3.224B,3.224B,1.565B,1.659B,670.00M,,670.00M,207.00M,,-117.00M,30.00M,6.00M,-24.00M,,877.00M,782.00M,6.00M,30.00M,-24.00M,-117.00M,-24.00M,641.00M,117.00M,524.00M,,,1.00M,,525.00M,620.64M,842.00M,171.00M,671.00M,0.9,0.0,,,1.064,0.9,0.89,0.0,,,1.053,0.89,584.00M,587.00M,0.29
2010-06,3.194B,3.194B,1.556B,1.638B,,,721.00M,219.00M,,-3.00M,30.00M,5.00M,-25.00M,,940.00M,698.00M,5.00M,30.00M,-25.00M,-3.00M,-25.00M,670.00M,133.00M,537.00M,,,-2.00M,,535.00M,537.40M,869.00M,169.00M,700.00M,0.9,0.0,,,0.9041,0.9,0.9,0.0,,,0.904,0.9,593.00M,596.00M,0.29
2010-03,2.927B,2.927B,1.884B,1.043B,,,683.00M,227.00M,,2.00M,28.00M,9.00M,-19.00M,,910.00M,133.00M,9.00M,28.00M,-19.00M,2.00M,-19.00M,112.00M,172.00M,-60.00M,,,-3.00M,,-63.00M,-64.30M,306.00M,166.00M,140.00M,-0.11,0.0,,,-0.1122,-0.11,-0.11,0.0,,,-0.1122,-0.11,602.00M,602.00M,0.29
2009-12,3.47B,3.47B,1.703B,1.767B,,,788.00M,246.00M,,-136.00M,30.00M,5.00M,-25.00M,,1.034B,733.00M,5.00M,30.00M,-25.00M,-97.00M,-25.00M,715.00M,139.00M,576.00M,,,-4.00M,,572.00M,681.56M,917.00M,172.00M,745.00M,0.95,0.0,,,1.131,0.95,0.93,0.0,,,1.109,0.93,604.00M,611.00M,0.29
2009-09,3.145B,3.145B,1.513B,1.632B,,,672.00M,228.00M,,-51.00M,27.00M,4.00M,-23.00M,,900.00M,732.00M,4.00M,27.00M,-23.00M,-51.00M,-23.00M,658.00M,126.00M,532.00M,,,-2.00M,,530.00M,571.23M,849.00M,164.00M,685.00M,0.88,0.0,,,0.9482,0.88,0.87,0.0,,,0.9374,0.87,605.00M,612.00M,0.26
2009-06,3.123B,3.123B,1.485B,1.638B,,,660.00M,231.00M,,1.00M,29.00M,5.00M,-24.00M,,891.00M,747.00M,5.00M,29.00M,-24.00M,1.00M,-24.00M,724.00M,135.00M,589.00M,,,-2.00M,,587.00M,586.19M,907.00M,154.00M,753.00M,0.97,0.0,,,0.9687,0.97,0.96,0.0,,,0.9587,0.96,607.00M,612.00M,0.26
2009-03,2.824B,2.824B,1.336B,1.488B,,,611.00M,212.00M,,-2.00M,31.00M,5.00M,-26.00M,,823.00M,665.00M,5.00M,31.00M,-26.00M,-2.00M,-26.00M,637.00M,119.00M,518.00M,,,-2.00M,,516.00M,517.63M,816.00M,148.00M,668.00M,0.84,0.0,,,0.8427,0.84,0.83,0.0,,,0.8326,0.83,613.00M,621.00M,0.26
2008-12,3.131B,3.131B,1.529B,1.602B,,,674.00M,226.00M,,-16.00M,86.00M,,-14.00M,,900.00M,702.00M,,86.00M,-14.00M,-1.00M,-14.00M,687.00M,118.00M,569.00M,,,0.00,,569.00M,582.25M,923.00M,150.00M,773.00M,0.92,0.0,,,0.9415,0.92,0.9,0.0,,,0.9211,0.9,616.00M,628.00M,0.26
2008-09,3.151B,3.151B,1.63B,1.521B,,,681.00M,230.00M,,-28.00M,37.00M,17.00M,-20.00M,,911.00M,610.00M,17.00M,37.00M,-20.00M,-28.00M,-20.00M,562.00M,86.00M,476.00M,,,-4.00M,,472.00M,495.72M,764.00M,165.00M,599.00M,0.76,0.0,,,0.7979,0.76,0.74,0.0,,,0.7772,0.74,625.00M,638.00M,0.2175
2008-06,3.189B,3.189B,1.562B,1.627B,,,703.00M,222.00M,,-1.00M,25.00M,,-25.00M,,925.00M,702.00M,,25.00M,-25.00M,-1.00M,-25.00M,676.00M,128.00M,548.00M,,,-4.00M,,544.00M,544.81M,861.00M,160.00M,701.00M,0.87,0.0,,,0.8713,0.87,0.85,0.0,,,0.8513,0.85,626.00M,638.00M,0.2175
2008-03,2.877B,2.877B,1.497B,1.38B,,,640.00M,190.00M,,4.00M,37.00M,20.00M,-17.00M,,830.00M,550.00M,20.00M,37.00M,-17.00M,4.00M,-17.00M,537.00M,105.00M,432.00M,,,-3.00M,,429.00M,425.78M,730.00M,156.00M,574.00M,0.68,0.0,,,0.6749,0.68,0.67,0.0,,,0.665,0.67,632.00M,644.00M,0.2175
2007-12,3.009B,3.009B,1.524B,1.485B,,,654.00M,221.00M,,23.00M,,,,,875.00M,610.00M,,,,-4.00M,,594.00M,116.00M,478.00M,,,,,478.00M,459.49M,763.00M,153.00M,610.00M,0.75,0.0,,,0.7209,0.75,0.74,0.0,,,0.7113,0.74,635.00M,645.00M,0.2175
2007-09,2.75B,2.75B,1.374B,1.376B,,,663.00M,203.00M,,-21.00M,,,,,866.00M,510.00M,,,,-21.00M,,483.00M,88.00M,395.00M,,,,,395.00M,412.17M,651.00M,141.00M,510.00M,0.62,0.0,,,0.6468,0.62,0.61,0.0,,,0.6364,0.61,641.00M,651.00M,0.1675
2007-06,2.829B,2.829B,1.437B,1.392B,,,621.00M,177.00M,,-87.00M,,,,,798.00M,594.00M,,,,-87.00M,,508.00M,77.00M,431.00M,,,,,431.00M,504.81M,741.00M,147.00M,594.00M,0.66,0.0,,,0.7736,0.66,0.65,0.0,,,0.7617,0.65,650.00M,661.00M,0.1675
2007-03,2.675B,2.675B,1.409B,1.266B,,,583.00M,159.00M,,10.00M,,,,,742.00M,524.00M,,,,10.00M,,529.00M,126.00M,403.00M,,,,,403.00M,395.38M,664.00M,140.00M,524.00M,0.62,0.0,,,0.6083,0.62,0.61,0.0,,,0.5984,0.61,650.00M,659.00M,0.1675
2006-12,2.763B,2.763B,1.448B,1.315B,,,612.00M,181.00M,,17.00M,,,,,793.00M,522.00M,,,,-6.00M,,515.00M,82.00M,432.00M,,,,,431.00M,417.71M,666.00M,144.00M,522.00M,0.66,0.0,,,0.6381,0.66,0.66,0.0,,,0.6382,0.66,654.00M,656.00M,0.5820000000000001
2006-09,2.557B,2.557B,1.342B,1.215B,,,562.00M,149.00M,,-20.00M,,,,,711.00M,504.00M,,,,-20.00M,,479.00M,105.00M,374.00M,,,,,374.00M,389.62M,650.00M,146.00M,504.00M,0.58,0.0,,,0.6039,0.58,0.57,0.0,,,0.5936,0.57,653.00M,661.00M,0.0
2006-06,2.649B,2.649B,1.494B,1.155B,,,582.00M,146.00M,,-19.00M,,,,,728.00M,427.00M,,,,-19.00M,,398.00M,89.00M,309.00M,,,,,309.00M,323.75M,573.00M,146.00M,427.00M,0.47,0.0,,,0.4926,0.47,0.47,0.0,,,0.4924,0.47,654.00M,659.00M,0.0
2006-03,2.409B,2.409B,1.357B,1.052B,,,526.00M,138.00M,,-16.00M,,,,,664.00M,388.00M,,,,-16.00M,,354.00M,72.00M,282.00M,,,,,282.00M,294.75M,527.00M,139.00M,388.00M,0.44,0.0,,,0.4599,0.44,0.43,0.0,,,0.4497,0.43,641.00M,648.00M,0.0
2005-12,2.491B,2.491B,1.49B,1.001B,,,519.00M,134.00M,,59.00M,,,,,653.00M,348.00M,,,,59.00M,,384.00M,90.00M,294.00M,,,,,292.00M,248.83M,491.00M,143.00M,348.00M,0.47,0.0,,,0.3977,0.47,0.46,0.0,,,0.3889,0.46,625.00M,635.00M,0.5820000000000001
2005-09,2.398B,2.398B,1.388B,1.01B,,,491.00M,133.00M,,-5.00M,,,,,624.00M,386.00M,,,,-5.00M,,350.00M,234.00M,116.00M,,,,,116.00M,119.00M,531.00M,145.00M,386.00M,0.19,0.0,,,0.1948,0.19,0.18,0.0,,,0.1847,0.18,622.00M,632.00M,0.0
2005-06,2.577B,2.577B,1.464B,1.113B,,,537.00M,133.00M,,2.00M,,,,,670.00M,443.00M,,,,2.00M,,412.00M,88.00M,324.00M,-2.00M,,,,322.00M,322.43M,588.00M,145.00M,443.00M,0.52,0.0,,,0.5175,0.52,0.51,0.0,,,0.5075,0.51,621.00M,626.00M,0.0
2005-03,2.383B,2.383B,1.414B,969.00M,,,507.00M,133.00M,,,,,,,640.00M,329.00M,,,,,,298.00M,74.00M,224.00M,2.00M,,,,226.00M,224.00M,476.00M,147.00M,329.00M,0.36,0.01,,,0.36,0.37,0.36,0.0,,,0.36,0.36,619.00M,623.00M,0.0
2004-12,2.601B,2.601B,1.481B,1.12B,,,500.00M,128.00M,,-292.00M,,,,,628.00M,492.00M,,,,-292.00M,,167.00M,61.00M,106.00M,0.00,,,,106.00M,291.34M,648.00M,156.00M,492.00M,0.17,0.0,,,0.4704,0.17,0.17,0.0,,,0.4685,0.17,617.00M,621.00M,0.5820000000000001
2004-09,2.32B,2.32B,1.357B,963.00M,,,462.00M,124.00M,,-11.00M,,,,,586.00M,377.00M,,,,-11.00M,,346.00M,87.00M,259.00M,17.00M,,,,276.00M,267.23M,527.00M,150.00M,377.00M,0.42,0.03,,,0.4334,0.45,0.42,0.03,,,0.4333,0.45,615.00M,619.00M,0.0
2004-06,2.379B,2.379B,1.44B,939.00M,,,532.00M,129.00M,,-585.00M,,,,,661.00M,278.00M,,,,-585.00M,,-332.00M,-163.00M,-169.00M,-1.00M,,,,-170.00M,182.00M,425.00M,147.00M,278.00M,-0.28,0.0,,,0.2926,-0.28,-0.28,0.0,,,0.2926,-0.28,613.00M,613.00M,0.0
2004-03,2.209B,2.209B,1.315B,894.00M,,,464.00M,136.00M,,-21.00M,,,,3.00M,603.00M,291.00M,,,,-21.00M,,252.00M,63.00M,189.00M,-11.00M,,,,178.00M,204.75M,439.00M,148.00M,291.00M,0.31,-0.02,,,0.3357,0.29,0.31,-0.02,,,0.3356,0.29,612.00M,616.00M,0.0
