,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,828.00M,,,,18.00M,8.00M,,,,451.00M,22.00M,,49.00M,10.00M,136.00M,-142.00M,,27.00M,-42.00M,,22.00M,1.369B,,2018-03,-492.00M,0.00,0.00,-90.00M,,,-492.00M,,2018-03,-1.511B,-1.511B,,,,,,0.00,,3.00M,-80.00M,-1.588B,,4.71B,-711.00M,3.999B,,2018-03,,122.00M,,,2018-03,AOR,Restated
2017-12,1.193B,,,,25.00M,-3.00M,,,,457.00M,-394.00M,,13.00M,161.00M,7.00M,145.00M,,267.00M,-11.00M,,-181.00M,1.654B,,2017-12,-388.00M,,,2.00M,,,-367.00M,,2017-12,-1.661B,-1.661B,,,,,,0.00,,10.00M,-117.00M,-1.768B,,5.129B,-481.00M,4.71B,,2017-12,,160.00M,,,2017-12,AOR,Restated
2017-09,242.00M,,,,25.00M,-19.00M,,,,418.00M,22.00M,,14.00M,359.00M,-169.00M,-213.00M,,443.00M,-15.00M,,101.00M,1.183B,,2017-09,-316.00M,,,-5.00M,,,-251.00M,,2017-09,-552.00M,-552.00M,,,,,,0.00,,-2.00M,-29.00M,-583.00M,,4.832B,349.00M,5.129B,,2017-09,,189.00M,,,2017-09,AOR,Restated
2017-06,329.00M,,,,37.00M,30.00M,,,,450.00M,35.00M,,10.00M,-43.00M,-34.00M,34.00M,,143.00M,11.00M,,72.00M,1.037B,,2017-06,-345.00M,,,20.00M,,,-342.00M,,2017-06,14.00M,14.00M,,,,,,-1.00M,,-3.00M,-35.00M,-25.00M,,4.163B,670.00M,4.832B,,2017-06,,449.00M,,,2017-06,AOR,Restated
2017-03,274.00M,,,,33.00M,10.00M,,,,389.00M,20.00M,,34.00M,-132.00M,623.00M,-135.00M,,-286.00M,-13.00M,,8.00M,792.00M,,2017-03,-361.00M,,,-17.00M,,,-361.00M,,2017-03,-658.00M,-658.00M,,,,,,-1.00M,,-5.00M,-15.00M,-679.00M,,4.403B,-248.00M,4.163B,,2017-03,,157.00M,,,2017-03,AOR,Restated
2016-12,216.00M,,,,35.00M,173.00M,,,,593.00M,261.00M,0.00,86.00M,116.00M,-432.00M,-134.00M,,13.00M,157.00M,,94.00M,1.143B,,2016-12,-504.00M,,,,0.00,,4.447B,,2016-12,-2.868B,-2.868B,1.073B,,1.073B,,,-1.00M,,-688.00M,66.00M,-2.418B,,1.086B,3.172B,4.42B,,2016-12,1.073B,218.00M,,,2016-12,AOR,Restated
2016-09,291.00M,,,,78.00M,50.00M,,,,643.00M,-191.00M,239.00M,-42.00M,-42.00M,-2.00M,61.00M,,25.00M,-67.00M,,15.00M,980.00M,,2016-09,-494.00M,,,,0.00,,-359.00M,,2016-09,-238.00M,-238.00M,410.00M,,410.00M,,,0.00,,0.00,-47.00M,125.00M,,330.00M,746.00M,1.086B,,2016-09,410.00M,652.00M,,,2016-09,AOR,Restated
2016-06,-233.00M,,,,,-785.00M,,,,652.00M,17.00M,291.00M,12.00M,688.00M,166.00M,76.00M,,21.00M,15.00M,,-46.00M,874.00M,,2016-06,-833.00M,,,,996.00M,,445.00M,,2016-06,-1.192B,-1.192B,0.00,,0.00,,,-1.00M,,-1.00M,-26.00M,-1.22B,,231.00M,99.00M,330.00M,,2016-06,0.00,1.015B,,,2016-06,AOR,Restated
2016-03,-4.101B,,,,,,,,,722.00M,152.00M,3.787B,30.00M,15.00M,93.00M,114.00M,,49.00M,-68.00M,,-53.00M,740.00M,,2016-03,-982.00M,,,,,,-980.00M,,2016-03,354.00M,354.00M,32.00M,,32.00M,,,-4.00M,,-4.00M,-31.00M,347.00M,,177.00M,107.00M,231.00M,,2016-03,32.00M,1.796B,,,2016-03,AOR,Restated
2015-12,-4.094B,,87.00M,,,192.00M,,,,780.00M,-113.00M,3.717B,,9.00M,-177.00M,296.00M,,-164.00M,110.00M,,-29.00M,612.00M,,2015-12,-1.298B,,,,0.00,,-1.305B,,2015-12,-264.00M,-264.00M,937.00M,,937.00M,,,-58.00M,,,88.00M,579.00M,,233.00M,-114.00M,177.00M,,2015-12,937.00M,1.72B,,,2015-12,AOR,Restated
2015-09,-3.79B,,-29.00M,,,-29.00M,,,,888.00M,-494.00M,3.733B,,61.00M,497.00M,75.00M,,-28.00M,-12.00M,,-79.00M,822.00M,,2015-09,-1.527B,,,,0.00,,-1.549B,,2015-09,-203.00M,-203.00M,999.00M,,999.00M,,,-167.00M,,,-30.00M,599.00M,,318.00M,-128.00M,233.00M,,2015-09,999.00M,2.13B,,,2015-09,AOR,Restated
2015-06,-1.799B,,-6.00M,,,-6.00M,,,,890.00M,-723.00M,2.705B,,128.00M,177.00M,-157.00M,,-165.00M,41.00M,,-22.00M,1.069B,,2015-06,-1.661B,,,,0.00,,-1.652B,,2015-06,591.00M,591.00M,0.00,,0.00,,,-53.00M,,,-38.00M,500.00M,,549.00M,-83.00M,318.00M,,2015-06,0.00,2.149B,,,2015-06,AOR,Restated
2015-03,-2.406B,,-52.00M,,,-91.00M,,,,939.00M,-709.00M,3.108B,,44.00M,316.00M,165.00M,,-525.00M,-42.00M,,-82.00M,717.00M,,2015-03,-1.867B,,,,,,-1.74B,,2015-03,1.471B,1.471B,0.00,,0.00,,,-327.00M,,,-36.00M,1.108B,,464.00M,85.00M,549.00M,,2015-03,0.00,2.273B,,,2015-03,AOR,Restated
2014-12,-2.735B,,-560.00M,,,-1.241B,,,,939.00M,-1.036B,5.164B,,-95.00M,15.00M,18.00M,,8.00M,26.00M,,-51.00M,1.118B,,2014-12,-1.80B,,,,1.704B,,-157.00M,,2014-12,-746.00M,-746.00M,0.00,,0.00,,,-326.00M,,,341.00M,-1.155B,,658.00M,-194.00M,298.00M,,2014-12,0.00,5.364B,,,2014-12,AOR,Restated
2014-09,704.00M,,-64.00M,,,-168.00M,,,,945.00M,70.00M,308.00M,,40.00M,443.00M,-37.00M,,-267.00M,-61.00M,,-51.00M,1.926B,,2014-09,-1.853B,,,,-496.00M,,-1.803B,,2014-09,-487.00M,-487.00M,0.00,,0.00,,,-326.00M,,,-110.00M,-923.00M,,1.458B,-800.00M,658.00M,,2014-09,0.00,2.098B,,,2014-09,AOR,Restated
2014-06,660.00M,,70.00M,,,65.00M,,,,1.013B,-53.00M,0.00,,110.00M,-422.00M,-50.00M,,39.00M,69.00M,,-45.00M,1.386B,,2014-06,-1.95B,,,,-925.00M,,-236.00M,,2014-06,-525.00M,-525.00M,,,,,,-327.00M,,,-182.00M,-1.034B,,1.342B,116.00M,1.458B,,2014-06,,99.00M,,,2014-06,AOR,Restated
2014-03,626.00M,,50.00M,,,50.00M,,,,966.00M,90.00M,0.00,,-32.00M,179.00M,-180.00M,,-378.00M,-34.00M,,-86.00M,1.201B,,2014-03,-1.612B,,,,,,-1.605B,,2014-03,162.00M,162.00M,,,,,,-326.00M,,,-75.00M,-239.00M,,1.985B,-643.00M,1.342B,,2014-03,,1.149B,,,2014-03,AOR,Restated
2013-12,959.00M,,129.00M,128.00M,,119.00M,,,,1.019B,108.00M,0.00,173.00M,-11.00M,-2.00M,-222.00M,,472.00M,-136.00M,,-83.00M,2.396B,,2013-12,-1.663B,,,,0.00,,-1.82B,,2013-12,-388.00M,-388.00M,,,,-1.00M,-1.00M,-324.00M,,,-97.00M,-810.00M,,2.219B,-234.00M,1.985B,,2013-12,,272.00M,-1.00M,,2013-12,AOR,Restated
2013-09,1.048B,,170.00M,0.00,,170.00M,,,,919.00M,126.00M,0.00,-65.00M,86.00M,-299.00M,94.00M,,-193.00M,104.00M,,-112.00M,1.878B,,2013-09,-1.645B,,,,-27.00M,,-1.432B,,2013-09,-67.00M,-67.00M,,,,-25.00M,-25.00M,-1.362B,,,-67.00M,-1.521B,,3.294B,-1.075B,2.219B,,2013-09,,208.00M,-25.00M,,2013-09,AOR,Restated
2013-06,610.00M,,35.00M,-128.00M,,-93.00M,,,,530.00M,-93.00M,,24.00M,-69.00M,463.00M,-93.00M,,-241.00M,106.00M,,-110.00M,1.034B,,2013-06,-1.173B,,,,-5.093B,,-6.544B,,2013-06,-96.00M,-96.00M,,,,-202.00M,-202.00M,-298.00M,,,-195.00M,-791.00M,,9.595B,-6.301B,3.294B,,2013-06,,4.406B,-202.00M,,2013-06,AOR,Restated
2013-03,824.00M,,,,,45.00M,,,,329.00M,136.00M,,41.00M,12.00M,-113.00M,-67.00M,,-202.00M,-48.00M,,-126.00M,831.00M,,2013-03,-805.00M,,,,-321.00M,,-1.112B,,2013-03,6.576B,6.576B,,,,,,-297.00M,,,-108.00M,6.171B,,3.705B,5.89B,9.595B,,2013-03,,6.615B,,,2013-03,AOR,Restated
2012-12,945.00M,,,0.00,,0.00,,,,323.00M,46.00M,,23.00M,-109.00M,238.00M,-148.00M,,75.00M,-43.00M,,-85.00M,1.265B,,2012-12,-976.00M,,,,0.00,,-926.00M,,2012-12,-1.00M,-1.00M,,,,0.00,0.00,-297.00M,,3.00M,-66.00M,-361.00M,,3.727B,-22.00M,3.705B,,2012-12,,6.00M,0.00,,2012-12,AOR,Restated
2012-09,1.14B,,,0.00,,0.00,,,,298.00M,-65.00M,,23.00M,-83.00M,-421.00M,-421.00M,,99.00M,-22.00M,,-22.00M,526.00M,,2012-09,-971.00M,,,,0.00,,-986.00M,,2012-09,-1.00M,-1.00M,,,,0.00,0.00,-297.00M,,0.00,-23.00M,-321.00M,,4.508B,-781.00M,3.727B,,2012-09,,7.00M,0.00,,2012-09,AOR,Restated
2012-06,894.00M,,,0.00,,0.00,,,,291.00M,120.00M,,22.00M,10.00M,300.00M,88.00M,,-391.00M,-51.00M,,-101.00M,1.182B,,2012-06,-840.00M,,,,0.00,,-837.00M,,2012-06,0.00,0.00,,,,0.00,0.00,-297.00M,,1.00M,-37.00M,-333.00M,,4.496B,12.00M,4.508B,,2012-06,,12.00M,0.00,,2012-06,AOR,Restated
2012-03,1.001B,,,,,168.00M,,,,267.00M,168.00M,,32.00M,-54.00M,-482.00M,-248.00M,,-30.00M,40.00M,,-61.00M,801.00M,,2012-03,-707.00M,,,,0.00,,-714.00M,,2012-03,-155.00M,-155.00M,,,,,,-238.00M,,-4.00M,-16.00M,-413.00M,,4.822B,-326.00M,4.496B,,2012-03,,3.004B,,,2012-03,AOR,Restated
2011-12,866.00M,,,,29.00M,29.00M,,,,266.00M,104.00M,,25.00M,53.00M,212.00M,-165.00M,,-477.00M,95.00M,,,746.00M,,2011-12,-785.00M,,,,,,-810.00M,,2011-12,1.00M,1.00M,,,,,,-237.00M,,,-9.00M,-242.00M,,5.128B,-306.00M,4.822B,,2011-12,,11.00M,,,2011-12,AOR,Restated
2011-09,1.294B,,,,-29.00M,-29.00M,,,,257.00M,82.00M,,23.00M,-48.00M,457.00M,80.00M,,-129.00M,-152.00M,,,1.835B,,2011-09,-717.00M,,,,,,-712.00M,,2011-09,-1.00M,-1.00M,,,,,,-237.00M,,,-135.00M,-373.00M,,4.378B,750.00M,5.128B,,2011-09,,14.00M,,,2011-09,AOR,Restated
2011-06,1.726B,,,,0.00,61.00M,,,,267.00M,210.00M,,26.00M,-114.00M,66.00M,-93.00M,,-487.00M,18.00M,,,1.68B,,2011-06,-527.00M,,505.00M,,,,-508.00M,,2011-06,-1.261B,-1.261B,,,,,,-578.00M,,,955.00M,-884.00M,,4.09B,288.00M,4.378B,,2011-06,,14.00M,,,2011-06,AOR,Restated
2011-03,1.861B,,,,,7.00M,,,,232.00M,127.00M,,43.00M,-25.00M,511.00M,-253.00M,,-126.00M,-18.00M,,,2.359B,,2011-03,-505.00M,,-505.00M,,,,-505.00M,,2011-03,-4.00M,-4.00M,,,,,,-371.00M,,,-1.127B,-1.502B,,3.738B,352.00M,4.09B,,2011-03,,9.00M,,,2011-03,AOR,Restated
2010-12,1.964B,,,,,4.00M,,,,248.00M,34.00M,,28.00M,185.00M,-289.00M,-404.00M,,399.00M,-11.00M,,,2.055B,,2010-12,-535.00M,,877.00M,,,,-1.012B,,2010-12,-28.00M,-28.00M,,,,,,-283.00M,0.00,,-795.00M,-1.025B,,3.72B,18.00M,3.738B,,2010-12,,18.00M,,,2010-12,AOR,Restated
2010-09,1.533B,,,,,0.00,,,,268.00M,145.00M,,18.00M,8.00M,-893.00M,-150.00M,,411.00M,-4.00M,,,1.336B,,2010-09,-350.00M,,-877.00M,,,,-338.00M,,2010-09,-6.00M,-6.00M,,,,,,-472.00M,0.00,,158.00M,-320.00M,,3.042B,678.00M,3.72B,,2010-09,,17.00M,,,2010-09,AOR,
2010-06,832.00M,,,,,118.00M,,,,249.00M,100.00M,,28.00M,-90.00M,469.00M,74.00M,,-709.00M,-7.00M,,,1.064B,,2010-06,-296.00M,,,,,,-290.00M,,2010-06,-1.62B,-1.315B,,,,,,-64.00M,-46.00M,,-59.00M,-1.484B,,3.752B,-710.00M,3.042B,,2010-06,,35.00M,,,2010-06,AOR,Restated
2010-03,1.215B,,,,,-41.00M,,,,271.00M,7.00M,,47.00M,39.00M,33.00M,-113.00M,,362.00M,-2.00M,,,1.818B,,2010-03,-231.00M,,,,,,-229.00M,,2010-03,,-305.00M,,,,,,-66.00M,-49.00M,,-73.00M,-493.00M,,2.656B,1.096B,3.752B,,2010-03,,,,,2010-03,AOR,Restated
2009-12,-2.222B,,,,,-133.00M,1.014B,123.00M,1.137B,397.00M,167.00M,,27.00M,3.634B,-208.00M,17.00M,,-131.00M,-1.00M,,,1.547B,,2009-12,-449.00M,,,,,,-455.00M,,2009-12,-291.00M,-291.00M,0.00,,0.00,,,149.00M,-48.00M,,-521.00M,-705.00M,,2.269B,387.00M,2.656B,,2009-12,0.00,23.00M,,,2009-12,AOR,Restated
2009-09,1.203B,,,,,69.00M,-488.00M,-36.00M,-524.00M,216.00M,-93.00M,,18.00M,737.00M,49.00M,-229.00M,,676.00M,-17.00M,,-675.00M,1.954B,,2009-09,-244.00M,,,,,,-251.00M,,2009-09,-629.00M,-629.00M,0.00,,0.00,,,-86.00M,-61.00M,,23.00M,-753.00M,,1.319B,950.00M,2.269B,,2009-09,0.00,152.00M,,,2009-09,AOR,Restated
2009-06,812.00M,,,,,45.00M,256.00M,6.00M,262.00M,262.00M,-12.00M,,24.00M,-621.00M,-348.00M,88.00M,,201.00M,28.00M,,675.00M,1.154B,,2009-06,-375.00M,,,,,,-379.00M,,2009-06,-6.00M,-6.00M,0.00,,0.00,,,-63.00M,-60.00M,,29.00M,-100.00M,,644.00M,675.00M,1.319B,,2009-06,0.00,54.00M,,,2009-06,AOR,Restated
2009-03,207.00M,,,,,67.00M,232.00M,30.00M,262.00M,262.00M,73.00M,,33.00M,-5.00M,-455.00M,-35.00M,,-482.00M,77.00M,,,-258.00M,,2009-03,-519.00M,,,,,,-516.00M,,2009-03,-124.00M,-124.00M,740.00M,,740.00M,,,,-60.00M,,-10.00M,546.00M,,872.00M,-228.00M,644.00M,,2009-03,740.00M,101.00M,,,2009-03,AOR,Restated
2008-12,-13.23B,-13.00M,,,,-690.00M,1.782B,89.00M,549.00M,549.00M,-4.306B,,98.00M,362.00M,740.00M,80.00M,,-786.00M,-33.00M,424.00M,142.00M,201.00M,,2008-12,-779.00M,-12.00M,1.917B,,0.00,,-447.00M,,2008-12,124.00M,139.00M,-22.00M,0.00,-22.00M,,,-693.00M,-255.00M,,52.00M,-84.00M,,1.202B,-330.00M,872.00M,,2008-12,-22.00M,890.00M,0.00,,2008-12,AOR,Restated
2008-09,-6.00M,13.00M,,,,696.00M,-880.00M,-56.00M,386.00M,386.00M,-233.00M,,-92.00M,276.00M,723.00M,-184.00M,,585.00M,-67.00M,-424.00M,-115.00M,1.545B,,2008-09,-766.00M,59.00M,-707.00M,,-1.00M,,-763.00M,,2008-09,-140.00M,-155.00M,22.00M,-500.00M,-478.00M,,,617.00M,127.00M,,-644.00M,-1.228B,,1.648B,-446.00M,1.202B,,2008-09,22.00M,-524.00M,-500.00M,,2008-09,,
2008-06,1.284B,-13.00M,,,,-19.00M,462.00M,8.00M,470.00M,470.00M,-66.00M,,45.00M,-11.00M,29.00M,-293.00M,,-448.00M,8.00M,,10.00M,1.009B,,2008-06,-655.00M,,-1.163B,,,,-621.00M,,2008-06,-215.00M,-215.00M,0.00,,0.00,,,-399.00M,-63.00M,,106.00M,-571.00M,,1.831B,-183.00M,1.648B,,2008-06,0.00,51.00M,,,2008-06,,Restated
2008-03,1.505B,,,,,6.00M,418.00M,48.00M,466.00M,466.00M,-48.00M,,47.00M,-5.00M,-950.00M,-81.00M,,-289.00M,1.00M,,-37.00M,615.00M,,2008-03,-508.00M,,,,,,-487.00M,,2008-03,355.00M,355.00M,0.00,,0.00,,,-218.00M,-64.00M,,4.00M,77.00M,,1.626B,205.00M,1.831B,,2008-03,0.00,473.00M,,,2008-03,,Restated
2007-12,-2.499B,,,,,-495.00M,,,445.00M,445.00M,-9.00M,,,3.412B,727.00M,-86.00M,21.00M,55.00M,,-215.00M,,1.389B,,2007-12,-617.00M,-79.00M,1.059B,,594.00M,,105.00M,,2007-12,,1.518B,-2.803B,15.00M,-2.788B,,,,,,-778.00M,-2.245B,,2.377B,-751.00M,1.626B,,2007-12,-2.803B,,15.00M,,2007-12,,Restated
2007-09,838.00M,,,,,249.00M,,,369.00M,369.00M,-177.00M,,,83.00M,258.00M,60.00M,-16.00M,187.00M,,235.00M,,2.086B,,2007-09,-466.00M,-11.00M,-477.00M,,-1.00M,,-478.00M,,2007-09,,-1.236B,0.00,9.00M,9.00M,,,,,,119.00M,-1.309B,,2.078B,299.00M,2.377B,,2007-09,0.00,,9.00M,,2007-09,,
2007-06,1.168B,,,,,213.00M,,,379.00M,379.00M,-56.00M,,,256.00M,-159.00M,217.00M,15.00M,212.00M,,-164.00M,,2.081B,,2007-06,-530.00M,89.00M,-441.00M,,-18.00M,,-458.00M,,2007-06,,-2.054B,0.00,21.00M,21.00M,,,,,,-504.00M,-2.671B,,3.127B,-1.048B,2.078B,,2007-06,0.00,,21.00M,,2007-06,,
2007-03,493.00M,,,,,121.00M,,,116.00M,116.00M,-46.00M,,,187.00M,-398.00M,81.00M,1.00M,-30.00M,,144.00M,,669.00M,,2007-03,-142.00M,1.00M,-141.00M,,-13.89B,,-14.03B,,2007-03,,10.13B,5.619B,-45.00M,5.574B,,,,,,-46.00M,15.58B,,908.00M,2.219B,3.127B,,2007-03,5.619B,,-45.00M,,2007-03,,
2006-12,442.00M,,,,,40.00M,,,86.00M,86.00M,3.00M,,,40.00M,66.00M,36.00M,-3.00M,53.00M,,35.00M,,798.00M,,2006-12,-73.00M,1.00M,-72.00M,,,0.00,-76.00M,,2006-12,,-94.00M,1.00M,0.00,1.00M,,,,,,-48.00M,-513.00M,,699.00M,209.00M,907.00M,,2006-12,1.00M,,0.00,,2006-12,,
2006-09,366.00M,,,,,84.00M,,,60.00M,60.00M,-50.00M,,,13.00M,133.00M,36.00M,-21.00M,-12.00M,,83.00M,,692.00M,,2006-09,-68.00M,32.00M,-36.00M,,,-2.00M,-38.00M,,2006-09,,-27.00M,0.00,0.00,0.00,,,,,,-65.00M,-313.00M,,358.00M,341.00M,699.00M,,2006-09,0.00,,0.00,,2006-09,,
2006-06,382.20M,,,,,51.70M,,,43.70M,43.70M,21.10M,,,19.00M,-67.20M,-177.70M,4.30M,280.40M,,-57.70M,,499.80M,,2006-06,-57.90M,-0.70M,-58.60M,,,,-58.60M,,2006-06,,-24.50M,2.90M,-100.00M,-97.10M,,,,,,-50.10M,-367.70M,,284.10M,73.50M,358.00M,,2006-06,2.90M,,-100.00M,,2006-06,,
2006-03,266.80M,,,,,6.30M,,,43.30M,43.30M,41.90M,,,19.00M,65.20M,-40.30M,-7.30M,-250.40M,,-268.30M,,-123.80M,,2006-03,-52.10M,1.70M,-50.40M,,,,-50.40M,,2006-03,,-145.50M,11.10M,,11.10M,,,,,,16.10M,-305.30M,,763.60M,-479.50M,284.10M,,2006-03,11.10M,,,,2006-03,,
2005-12,478.18M,,,,,95.15M,79.27M,2.021M,81.29M,81.29M,-7.915M,,,,-258.58M,-115.77M,5.696M,159.92M,,233.01M,,669.97M,,2005-12,-47.39M,,-40.39M,,,,-40.41M,,2005-12,,-92.50M,-3.508M,12.94M,9.435M,,,,,,0.021M,-257.96M,,392.84M,371.60M,764.00M,,2005-12,-3.508M,,12.94M,,2005-12,,
2005-09,180.93M,,,,,55.26M,61.65M,1.969M,63.62M,63.62M,-29.41M,,,,-117.70M,-17.38M,-3.29M,64.18M,,66.31M,,262.52M,,2005-09,-36.32M,,-36.32M,,,,-36.45M,,2005-09,,-230.88M,6.492M,197.41M,203.90M,,,,,,-0.021M,-418.66M,,585.43M,-192.59M,392.84M,,2005-09,6.492M,,197.41M,,2005-09,,
2005-06,190.37M,,,,,6.59M,111.08M,4.01M,58.17M,58.17M,17.35M,,,,88.50M,6.158M,4.495M,64.93M,,21.71M,,458.27M,,2005-06,-33.04M,,-33.04M,,,-1.931M,-32.83M,,2005-06,,13.19M,0.505M,-290.14M,-289.63M,,,,,,0.013M,-150.55M,,310.54M,274.89M,585.43M,,2005-06,0.505M,,-290.14M,,2005-06,,
