,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-04,,691.00M,,691.00M,1.583B,,1.583B,7.65B,6.387B,1.583B,,10.29B,,,,,21.20B,,,21.20B,,21.20B,2.925B,1.10B,4.025B,1.055B,26.28B,36.56B,,6.202B,6.202B,1.011B,7.213B,,,2.242B,,2.242B,,,,4.021B,13.48B,12.06B,,12.06B,1.59B,1.59B,789.00M,-29.00M,1.706B,16.14B,29.62B,,1.918B,18.92B,3.059B,16.48B,-455.00M,6.97B,,AOR,Restated
2018-01,,347.00M,,347.00M,1.637B,,1.637B,7.781B,6.533B,1.996B,,11.12B,0.00,3.201B,12.07B,13.64B,,2.05B,10.77B,41.73B,-20.66B,21.07B,2.925B,1.10B,4.025B,984.00M,26.08B,37.20B,,5.858B,5.858B,1.099B,6.957B,,,3.56B,,3.56B,,,,3.68B,14.20B,12.03B,,12.03B,1.568B,1.568B,792.00M,-26.00M,1.706B,16.10B,30.29B,,1.918B,17.01B,3.161B,14.68B,-471.00M,6.931B,,AOR,Restated
2017-10,,352.00M,,352.00M,1.452B,,1.452B,8.222B,6.917B,1.60B,,10.92B,,,,,20.97B,,,20.97B,,20.97B,3.035B,1.113B,4.148B,989.00M,26.10B,37.03B,,6.307B,6.307B,1.074B,7.381B,,,1.729B,,1.729B,,0.00,0.00,3.78B,12.89B,13.12B,,13.12B,2.452B,2.452B,522.00M,-24.00M,1.835B,17.93B,30.82B,,1.918B,16.26B,3.124B,14.36B,-706.00M,6.235B,,AOR,Restated
2017-07,,819.00M,,819.00M,1.536B,,1.536B,7.698B,6.363B,1.429B,,10.15B,,,,,21.31B,,,21.31B,,21.31B,3.052B,1.131B,4.183B,962.00M,26.45B,36.60B,,6.003B,6.003B,1.08B,7.083B,,,948.00M,,948.00M,,0.00,0.00,3.587B,11.62B,13.10B,,13.10B,2.38B,2.38B,1.533B,-15.00M,1.825B,18.84B,30.46B,,1.918B,15.98B,3.094B,14.10B,-726.00M,6.159B,,AOR,Restated
2017-04,,356.00M,,356.00M,1.394B,,1.394B,7.676B,6.359B,1.429B,,9.538B,,,,,21.13B,,,21.13B,,21.13B,3.031B,1.141B,4.172B,956.00M,26.26B,35.80B,,6.078B,6.078B,1.135B,7.213B,,,1.854B,,1.854B,,0.00,0.00,3.448B,12.52B,11.59B,,11.59B,2.181B,2.181B,1.552B,-10.00M,1.826B,17.15B,29.66B,,1.918B,15.74B,3.104B,13.87B,-738.00M,6.145B,,AOR,Restated
2017-01,,322.00M,,322.00M,1.649B,,1.649B,7.852B,6.561B,1.808B,,10.34B,0.00,3.197B,11.64B,13.50B,,1.979B,10.27B,40.59B,-19.57B,21.02B,3.031B,1.153B,4.184B,965.00M,26.16B,36.50B,,5.818B,5.818B,1.234B,7.052B,,,2.252B,,2.252B,,251.00M,251.00M,3.305B,12.86B,11.82B,,11.82B,1.927B,1.927B,1.524B,12.00M,1.659B,16.94B,29.80B,,1.918B,15.54B,3.07B,13.12B,-715.00M,6.698B,,AOR,Restated
2016-10,,374.00M,,374.00M,1.488B,,1.488B,8.268B,6.976B,1.565B,,10.40B,,,,,20.97B,,,20.97B,,20.97B,3.035B,1.164B,4.199B,939.00M,26.10B,36.51B,,6.31B,6.31B,1.153B,7.463B,,,3.019B,,3.019B,,221.00M,221.00M,3.421B,14.12B,10.82B,,10.82B,1.759B,1.759B,1.381B,18.00M,1.796B,15.75B,29.88B,,1.918B,15.15B,3.039B,12.77B,-728.00M,6.612B,,AOR,Restated
2016-07,,319.00M,,319.00M,1.316B,,1.316B,7.42B,6.12B,1.489B,,9.244B,,,,,20.69B,,,20.69B,,20.69B,2.749B,1.039B,3.788B,943.00M,25.42B,34.66B,,5.723B,5.723B,1.214B,6.937B,,,2.779B,,2.779B,,221.00M,221.00M,3.584B,13.52B,9.641B,,9.641B,1.649B,1.649B,1.384B,25.00M,1.866B,14.54B,28.06B,,1.918B,14.87B,3.009B,12.44B,-782.00M,6.576B,,AOR,Restated
2016-04,,391.00M,,391.00M,1.314B,,1.314B,7.354B,6.066B,1.445B,,9.216B,,,,,20.16B,,,20.16B,,20.16B,2.744B,1.043B,3.787B,637.00M,24.58B,33.80B,,5.846B,5.846B,1.202B,7.048B,,,2.676B,,2.676B,,221.00M,221.00M,3.20B,13.14B,9.71B,,9.71B,1.739B,1.739B,1.395B,42.00M,1.364B,14.21B,27.35B,,1.918B,14.59B,3.024B,12.42B,-703.00M,6.406B,,AOR,Restated
2016-01,,277.00M,,277.00M,1.734B,,1.734B,7.44B,6.168B,1.713B,,9.892B,0.00,2.997B,10.52B,12.52B,,2.115B,9.511B,37.67B,-18.05B,19.62B,2.724B,1.053B,3.777B,609.00M,24.00B,33.90B,,5.728B,5.728B,1.426B,7.154B,,,2.37B,,2.37B,,221.00M,221.00M,3.226B,12.97B,9.709B,,9.709B,1.752B,1.752B,1.38B,-22.00M,1.287B,14.13B,27.10B,,1.918B,14.01B,2.98B,11.41B,-680.00M,6.82B,,AOR,Restated
2015-10,,274.00M,,274.00M,1.253B,,1.253B,7.626B,6.324B,1.426B,,9.277B,,,,,18.93B,,,18.93B,,18.93B,2.31B,734.00M,3.044B,660.00M,22.63B,31.91B,,5.866B,5.866B,1.287B,7.153B,,,2.295B,,2.295B,,286.00M,286.00M,3.218B,12.95B,8.964B,,8.964B,1.096B,1.096B,1.458B,-26.00M,1.192B,12.71B,25.66B,,1.918B,13.55B,2.948B,11.40B,-749.00M,6.271B,,AOR,Restated
2015-07,,268.00M,,268.00M,1.319B,,1.319B,6.841B,5.548B,1.391B,,8.526B,,,,,18.57B,,,18.57B,,18.57B,2.307B,736.00M,3.043B,639.00M,22.26B,30.78B,,5.261B,5.261B,1.221B,6.482B,,,1.527B,,1.527B,,286.00M,286.00M,3.068B,11.36B,9.743B,,9.743B,1.157B,1.157B,1.46B,-22.00M,1.176B,13.54B,24.90B,,1.918B,13.23B,2.901B,11.38B,-759.00M,5.904B,,AOR,Restated
2015-04,,252.00M,,252.00M,1.218B,,1.218B,6.995B,5.722B,1.391B,,8.583B,,,,,18.21B,,,18.21B,,18.21B,2.304B,743.00M,3.047B,626.00M,21.88B,30.47B,,5.431B,5.431B,1.146B,6.577B,,,1.591B,,1.591B,,286.00M,286.00M,2.864B,11.32B,9.716B,,9.716B,1.18B,1.18B,1.458B,-21.00M,1.26B,13.61B,24.93B,,959.00M,12.90B,3.826B,11.35B,-773.00M,5.557B,,AOR,Restated
2015-01,,268.00M,,268.00M,1.266B,,1.266B,6.933B,5.688B,1.689B,,8.911B,0.00,2.819B,9.639B,11.59B,,1.69B,8.805B,34.54B,-16.63B,17.91B,2.304B,757.00M,3.061B,613.00M,21.59B,30.50B,,5.052B,5.052B,1.291B,6.343B,,,1.874B,,1.874B,,287.00M,287.00M,2.888B,11.39B,9.723B,,9.723B,1.209B,1.209B,1.463B,30.00M,1.268B,13.66B,25.06B,,1.918B,12.37B,2.748B,10.81B,-812.00M,5.412B,,AOR,Restated
2014-10,,264.00M,,264.00M,1.154B,,1.154B,7.366B,6.13B,1.338B,,8.886B,,,,,17.59B,,,17.59B,,17.59B,2.295B,766.00M,3.061B,689.00M,21.34B,30.22B,,5.40B,5.40B,1.195B,6.595B,,,1.801B,,1.801B,,248.00M,248.00M,3.036B,11.68B,9.735B,,9.735B,1.256B,1.256B,903.00M,25.00M,1.304B,13.20B,24.88B,,959.00M,11.94B,3.652B,10.80B,-435.00M,5.319B,,AOR,Restated
2014-07,,248.00M,,248.00M,1.174B,,1.174B,6.646B,5.495B,1.378B,,8.295B,,,,,17.26B,,,17.26B,,17.26B,2.135B,695.00M,2.83B,691.00M,20.78B,29.08B,,5.076B,5.076B,1.128B,6.204B,,,1.494B,,1.494B,,248.00M,248.00M,2.894B,10.84B,9.706B,,9.706B,1.28B,1.28B,899.00M,25.00M,1.332B,13.22B,24.06B,,959.00M,11.67B,3.605B,10.78B,-449.00M,4.997B,,AOR,Restated
2014-04,,265.00M,,265.00M,1.108B,,1.108B,6.773B,5.648B,1.347B,,8.368B,,,,,17.03B,,,17.03B,,17.03B,2.135B,698.00M,2.833B,682.00M,20.54B,28.91B,,5.257B,5.257B,1.101B,6.358B,,,1.652B,,1.652B,,248.00M,248.00M,2.666B,10.92B,9.664B,,9.664B,1.325B,1.325B,900.00M,21.00M,1.33B,13.22B,24.14B,,959.00M,11.40B,3.595B,10.75B,-457.00M,4.749B,,AOR,Restated
2014-01,,401.00M,,401.00M,1.116B,,1.116B,6.801B,5.651B,1.662B,,8.83B,0.00,2.639B,8.848B,11.04B,,1.52B,8.335B,32.38B,-15.49B,16.89B,2.135B,702.00M,2.837B,721.00M,20.45B,29.28B,,4.881B,4.881B,1.15B,6.031B,,,1.657B,,1.657B,,248.00M,248.00M,2.769B,10.70B,9.653B,,9.653B,1.381B,1.381B,901.00M,11.00M,1.246B,13.18B,23.89B,,959.00M,10.98B,3.549B,9.641B,-464.00M,5.384B,,AOR,Restated
2013-10,,344.00M,,344.00M,1.044B,,1.044B,6.768B,5.628B,1.196B,,8.212B,,,,,15.46B,,,15.46B,,15.46B,1.234B,,1.234B,578.00M,17.27B,25.48B,,4.941B,4.941B,1.047B,5.988B,,,1.122B,,1.122B,,284.00M,284.00M,2.799B,10.19B,7.148B,,7.148B,816.00M,816.00M,1.207B,6.00M,1.126B,10.30B,20.49B,,959.00M,10.65B,3.513B,9.426B,-713.00M,4.984B,,AOR,Restated
2013-04,,247.00M,,247.00M,961.00M,,961.00M,6.191B,5.076B,1.15B,,7.434B,,,,,14.97B,,,14.97B,,14.97B,1.234B,,1.234B,592.00M,16.79B,24.23B,,4.855B,4.855B,957.00M,5.812B,,,1.784B,,1.784B,,284.00M,284.00M,2.487B,10.37B,6.162B,,6.162B,776.00M,776.00M,1.199B,6.00M,1.127B,9.264B,19.63B,,959.00M,10.19B,3.483B,9.293B,-749.00M,4.59B,,AOR,Restated
2013-01,,238.00M,,238.00M,1.051B,,1.051B,6.244B,5.146B,1.524B,,7.959B,0.00,2.45B,8.249B,10.27B,,1.239B,7.138B,29.34B,-14.50B,14.85B,1.234B,130.00M,1.364B,463.00M,16.68B,24.63B,,4.484B,4.484B,1.017B,5.501B,,,2.734B,,2.734B,,288.00M,288.00M,2.538B,11.06B,6.145B,,6.145B,796.00M,796.00M,1.291B,7.00M,1.127B,9.359B,20.42B,,959.00M,9.787B,3.451B,9.237B,-753.00M,4.207B,,AOR,Restated
2012-10,,435.00M,,435.00M,,,1.039B,6.689B,5.55B,1.253B,,8.277B,,,,,,,,,,14.69B,1.164B,,1.164B,527.00M,16.38B,24.66B,,4.825B,4.825B,,4.825B,,,2.079B,,2.079B,,190.00M,190.00M,2.548B,10.55B,6.773B,,6.773B,771.00M,771.00M,1.38B,1.00M,1.424B,10.35B,20.90B,,959.00M,9.404B,3.434B,9.228B,-808.00M,3.761B,,AOR,Restated
2012-07,,238.00M,,238.00M,,,941.00M,5.961B,4.837B,335.00M,900.00M,7.251B,,,,,,,,,,14.60B,1.164B,,1.164B,532.00M,16.30B,23.55B,,4.326B,4.326B,,4.326B,,,1.34B,,1.34B,,190.00M,190.00M,2.586B,9.342B,6.787B,,6.787B,740.00M,740.00M,1.403B,2.00M,1.482B,10.41B,19.75B,,959.00M,9.164B,3.426B,8.933B,-825.00M,3.791B,,AOR,Restated
2012-04,,511.00M,,511.00M,922.00M,,922.00M,6.066B,4.977B,1.186B,,7.596B,,,,,14.52B,,,14.52B,,14.52B,1.138B,,1.138B,535.00M,16.20B,23.79B,,4.518B,4.518B,895.00M,5.413B,,,1.335B,,1.335B,,190.00M,190.00M,2.416B,9.354B,6.771B,,6.771B,696.00M,696.00M,1.404B,-13.00M,1.499B,10.37B,19.72B,,959.00M,8.945B,3.454B,8.44B,-838.00M,4.08B,,AOR,Restated
2012-01,,188.00M,,188.00M,949.00M,,949.00M,6.157B,5.114B,1.074B,,7.325B,0.00,2.253B,7.799B,10.11B,,1.202B,6.707B,28.07B,-13.61B,14.46B,1.138B,,1.138B,549.00M,16.15B,23.48B,,4.329B,4.329B,1.056B,5.385B,,,1.315B,,1.315B,,190.00M,190.00M,2.215B,9.105B,6.85B,,6.85B,647.00M,647.00M,1.393B,-15.00M,1.515B,10.40B,19.51B,,959.00M,8.571B,3.427B,8.132B,-844.00M,3.981B,,AOR,Restated
2011-10,879.00M,1.095B,,1.095B,,,877.00M,6.477B,5.507B,344.00M,,7.823B,,,,,,,,,,14.45B,1.138B,,1.138B,548.00M,16.14B,23.96B,,4.653B,4.653B,956.00M,5.609B,,,1.262B,,1.262B,,215.00M,215.00M,2.402B,9.488B,6.428B,,6.428B,1.066B,1.066B,930.00M,-8.00M,1.149B,9.573B,19.06B,,959.00M,8.944B,3.418B,7.887B,-527.00M,4.907B,,AOR,Restated
2011-07,806.00M,1.449B,,1.449B,,,859.00M,5.672B,4.764B,357.00M,,7.429B,,,,,,,,,,14.27B,1.14B,,1.14B,562.00M,15.97B,23.40B,,4.25B,4.25B,916.00M,5.166B,,,928.00M,,928.00M,,220.00M,220.00M,2.702B,9.016B,6.419B,,6.419B,657.00M,657.00M,973.00M,-9.00M,1.123B,9.172B,18.19B,,959.00M,8.811B,3.394B,7.418B,-527.00M,5.219B,,AOR,Restated
2011-04,,431.00M,,431.00M,854.00M,,854.00M,5.708B,4.835B,1.083B,,7.203B,,,,,14.19B,,,14.19B,,14.19B,1.14B,,1.14B,576.00M,15.91B,23.11B,,4.226B,4.226B,889.00M,5.115B,,,587.00M,,587.00M,,220.00M,220.00M,2.398B,8.32B,6.793B,,6.793B,695.00M,695.00M,973.00M,-9.00M,1.126B,9.587B,17.91B,,959.00M,8.592B,3.414B,7.216B,-536.00M,5.213B,,AOR,Restated
2011-01,,825.00M,,825.00M,845.00M,,845.00M,5.793B,4.966B,985.00M,,7.621B,0.00,2.168B,7.417B,9.806B,,904.00M,6.421B,26.72B,-12.57B,14.15B,1.14B,,1.14B,597.00M,15.88B,23.50B,,4.227B,4.227B,888.00M,5.115B,,,588.00M,,588.00M,,220.00M,220.00M,2.147B,8.07B,7.304B,,7.304B,750.00M,750.00M,946.00M,2.00M,1.137B,10.14B,18.21B,,959.00M,8.225B,3.394B,6.732B,-550.00M,5.296B,,AOR,Restated
2010-10,755.00M,1.513B,,1.513B,,,847.00M,6.065B,5.256B,291.00M,,7.907B,,,,,,,,,,14.11B,1.158B,,1.158B,584.00M,15.85B,23.76B,,4.179B,4.179B,837.00M,5.016B,,,547.00M,,547.00M,,354.00M,354.00M,2.423B,8.34B,7.261B,,7.261B,577.00M,577.00M,989.00M,-3.00M,1.327B,10.15B,18.49B,,959.00M,8.013B,3.343B,6.486B,-565.00M,5.264B,,AOR,Restated
2010-07,,1.037B,,1.037B,805.00M,,805.00M,5.447B,4.65B,1.054B,,7.546B,,,,,14.00B,,,14.00B,,14.00B,1.158B,,1.158B,569.00M,15.73B,23.28B,,3.851B,3.851B,836.00M,4.687B,,,539.00M,,539.00M,,354.00M,354.00M,2.345B,7.925B,7.278B,,7.278B,555.00M,555.00M,1.016B,4.00M,1.335B,10.18B,18.11B,,959.00M,7.877B,3.333B,6.433B,-573.00M,5.163B,,AOR,Restated
2010-04,,602.00M,,602.00M,828.00M,,828.00M,5.557B,4.772B,977.00M,3.00M,7.182B,,,,,13.98B,,,13.98B,,13.98B,1.158B,,1.158B,565.00M,15.70B,22.88B,,3.963B,3.963B,832.00M,4.795B,,,528.00M,,528.00M,,354.00M,354.00M,2.124B,7.801B,6.997B,,6.997B,560.00M,560.00M,1.075B,-2.00M,1.342B,9.974B,17.78B,,959.00M,7.676B,3.364B,6.314B,-577.00M,5.108B,,AOR,Restated
2010-01,,424.00M,,424.00M,909.00M,,909.00M,5.705B,4.935B,915.00M,300.00M,7.483B,0.00,2.058B,6.999B,9.553B,,1.01B,6.053B,25.67B,-11.74B,13.93B,1.158B,,1.158B,556.00M,15.64B,23.13B,,3.89B,3.89B,786.00M,4.676B,,,579.00M,,579.00M,,354.00M,354.00M,2.118B,7.727B,7.477B,,7.477B,568.00M,568.00M,1.082B,74.00M,1.346B,10.47B,18.20B,,958.00M,7.364B,3.361B,6.238B,-593.00M,4.852B,,AOR,Restated
2009-10,669.00M,1.186B,,1.186B,,,817.00M,6.093B,5.245B,282.00M,,7.53B,,,,,,,,,,13.82B,1.158B,,1.158B,578.00M,15.55B,23.08B,,4.169B,4.169B,783.00M,4.952B,,,578.00M,,578.00M,,344.00M,344.00M,2.29B,8.164B,7.476B,,7.476B,436.00M,436.00M,914.00M,69.00M,1.242B,10.07B,18.23B,,957.00M,7.123B,3.339B,6.145B,-491.00M,4.783B,,AOR,Restated
2009-07,628.00M,997.00M,,997.00M,,,774.00M,5.473B,4.635B,300.00M,,6.706B,,,,,,,,,,13.61B,2.271B,,2.271B,562.00M,16.44B,23.14B,,3.857B,3.857B,792.00M,4.649B,,,582.00M,,582.00M,,344.00M,344.00M,2.132B,7.707B,6.957B,,6.957B,475.00M,475.00M,978.00M,76.00M,1.231B,9.641B,17.35B,,955.00M,8.06B,3.298B,6.096B,-496.00M,5.721B,,AOR,Restated
2009-04,657.00M,1.295B,,1.295B,,,795.00M,5.634B,4.811B,301.00M,37.00M,7.239B,,,,,,,,,,13.35B,2.271B,,2.271B,572.00M,16.19B,23.43B,,4.013B,4.013B,802.00M,4.815B,,,941.00M,,941.00M,,344.00M,344.00M,2.07B,8.17B,6.972B,,6.972B,438.00M,438.00M,971.00M,84.00M,1.233B,9.614B,17.78B,,955.00M,7.865B,3.291B,6.056B,-494.00M,5.561B,,AOR,Restated
2009-01,,263.00M,,263.00M,944.00M,,944.00M,5.659B,4.905B,840.00M,300.00M,7.252B,0.00,1.944B,6.457B,8.993B,,880.00M,5.626B,23.90B,-10.74B,13.16B,2.271B,,2.271B,573.00M,16.00B,23.26B,,3.822B,3.822B,828.00M,4.65B,,,558.00M,,558.00M,,361.00M,361.00M,2.077B,7.646B,7.505B,,7.505B,384.00M,384.00M,1.174B,95.00M,1.248B,10.31B,17.96B,,955.00M,7.518B,3.266B,6.039B,-495.00M,5.205B,,,Restated
2008-10,,280.00M,,280.00M,807.00M,,807.00M,6.127B,5.368B,254.00M,610.00M,7.319B,,,,,,,,23.02B,-9.938B,13.08B,2.246B,,2.246B,531.00M,15.86B,23.18B,,4.337B,4.337B,789.00M,5.126B,,,1.141B,,1.141B,,239.00M,239.00M,2.11B,8.616B,6.894B,,6.894B,517.00M,517.00M,,96.00M,1.789B,9.20B,17.82B,,954.00M,7.203B,3.257B,6.03B,-115.00M,5.269B,,,Restated
2008-07,,270.00M,,270.00M,770.00M,,770.00M,5.42B,4.73B,272.00M,662.00M,6.704B,,,,,,,,22.76B,-9.938B,12.82B,2.246B,,2.246B,525.00M,15.60B,22.30B,,3.979B,3.979B,764.00M,4.743B,,,731.00M,,731.00M,,239.00M,239.00M,2.159B,7.872B,6.895B,,6.895B,475.00M,475.00M,,100.00M,1.813B,9.183B,17.06B,,954.00M,7.024B,3.227B,5.944B,-116.00M,5.145B,,,Restated
2008-04,,307.00M,,307.00M,781.00M,,781.00M,5.514B,4.87B,331.00M,661.00M,6.95B,,,,,,,,22.64B,-9.938B,12.70B,2.246B,,2.246B,536.00M,15.48B,22.43B,,4.296B,4.296B,759.00M,5.055B,,,527.00M,,527.00M,,239.00M,239.00M,2.019B,7.84B,7.275B,,7.275B,428.00M,428.00M,,97.00M,1.816B,9.519B,17.36B,,950.00M,6.807B,3.134B,5.80B,-117.00M,4.974B,,,Restated
2008-01,,242.00M,,242.00M,786.00M,,786.00M,5.459B,4.855B,555.00M,676.00M,7.114B,0.00,1.779B,10.50B,8.62B,571.00M,965.00M,,22.44B,-9.938B,12.50B,2.144B,,2.144B,543.00M,15.18B,22.30B,,4.05B,4.05B,815.00M,4.865B,,,1.592B,,1.592B,,239.00M,239.00M,1.993B,8.689B,6.529B,,6.529B,367.00M,367.00M,,,1.80B,8.696B,17.38B,,947.00M,6.48B,3.031B,5.422B,-122.00M,4.914B,,,Restated
