,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.817B,1.817B,1.33B,487.00M,59.00M,59.00M,34.00M,,0.00,-7.00M,,53.00M,11.00M,-42.00M,73.00M,166.00M,321.00M,11.00M,53.00M,-42.00M,4.00M,-42.00M,283.00M,105.00M,169.00M,1.00M,,192.00M,170.00M,637.00M,,2018-03,0.32,0.04,,,2018-03,0.32,0.32,0.36,,2018-03,534.00M,535.00M,0.14,,2018-03,AOR,Restated
2017-12,1.935B,1.935B,1.376B,559.00M,66.00M,66.00M,44.00M,,,-11.00M,,54.00M,9.00M,-45.00M,139.00M,249.00M,310.00M,9.00M,54.00M,-45.00M,0.00,-45.00M,265.00M,777.00M,-524.00M,-25.00M,,-542.00M,-543.60M,642.00M,,2017-12,-1.02,0.01,,,2017-12,-1.02,-1.010,-1.01,,2017-12,533.00M,538.00M,0.075,,2017-12,AOR,Restated
2017-09,1.879B,1.879B,1.381B,498.00M,58.00M,58.00M,41.00M,,,6.00M,,56.00M,9.00M,-47.00M,76.00M,175.00M,323.00M,9.00M,56.00M,-47.00M,2.00M,-47.00M,278.00M,73.00M,206.00M,7.00M,,206.00M,215.22M,662.00M,,2017-09,0.39,-0.01,,,2017-09,0.39,0.3941,0.38,,2017-09,533.00M,536.00M,0.075,,2017-09,AOR,Restated
2017-06,1.875B,1.875B,1.309B,566.00M,58.00M,58.00M,32.00M,,,23.00M,,64.00M,6.00M,-58.00M,104.00M,194.00M,372.00M,6.00M,64.00M,-58.00M,21.00M,-58.00M,335.00M,166.00M,166.00M,24.00M,,175.00M,178.60M,709.00M,,2017-06,0.36,-0.03,,,2017-06,0.36,0.3387,0.33,,2017-06,533.00M,535.00M,0.05,,2017-06,AOR,Restated
2017-03,1.69B,1.69B,1.257B,433.00M,55.00M,55.00M,26.00M,,,-10.00M,,67.00M,4.00M,-63.00M,70.00M,151.00M,282.00M,4.00M,67.00M,-63.00M,-25.00M,-63.00M,194.00M,111.00M,81.00M,-11.00M,,47.00M,86.20M,561.00M,,2017-03,0.13,-0.04,,,2017-03,0.13,0.1604,0.09,,2017-03,532.00M,533.00M,0.05,,2017-03,AOR,Restated
2016-12,1.758B,1.758B,1.323B,435.00M,55.00M,55.00M,29.00M,,,-1.06B,,69.00M,4.00M,-65.00M,146.00M,230.00M,205.00M,4.00M,69.00M,-65.00M,-1.032B,-65.00M,-892.00M,24.00M,-921.00M,481.00M,,-346.00M,184.00M,-502.00M,,2016-12,-0.73,0.08,,,2016-12,-0.73,0.4429,-0.65,,2016-12,530.00M,532.00M,0.05,,2016-12,AOR,Restated
2016-09,1.791B,1.791B,1.318B,473.00M,63.00M,63.00M,34.00M,,,-11.00M,,64.00M,2.00M,-62.00M,69.00M,166.00M,307.00M,2.00M,64.00M,-62.00M,-22.00M,-62.00M,223.00M,90.00M,135.00M,-45.00M,,-358.00M,102.00M,622.00M,,2016-09,0.32,-0.99,,,2016-09,0.32,0.3425,-0.67,,2016-09,531.00M,533.00M,0.025,,2016-09,AOR,Restated
2016-06,1.669B,1.669B,1.183B,486.00M,62.00M,62.00M,44.00M,,,-12.00M,,66.00M,,-66.00M,62.00M,168.00M,318.00M,,66.00M,-66.00M,-11.00M,-66.00M,241.00M,238.00M,-2.00M,-39.00M,,23.00M,-31.40M,588.00M,,2016-06,0.02,0.02,,,2016-06,0.02,0.0380,0.04,,2016-06,531.00M,533.00M,0.025,,2016-06,AOR,Restated
2016-03,1.462B,1.462B,1.127B,335.00M,53.00M,53.00M,27.00M,,,91.00M,,74.00M,,-74.00M,56.00M,136.00M,199.00M,,74.00M,-74.00M,83.00M,-74.00M,208.00M,227.00M,-24.00M,-83.00M,,52.00M,-152.00M,558.00M,,2016-03,-0.02,0.12,,,2016-03,-0.02,-0.1047,0.10,,2016-03,530.00M,531.00M,0.025,,2016-03,AOR,Restated
2015-12,1.452B,1.452B,1.279B,173.00M,61.00M,61.00M,39.00M,,7.00M,-66.00M,,71.00M,,-65.00M,266.00M,366.00M,-193.00M,,71.00M,-65.00M,-69.00M,-65.00M,-327.00M,89.00M,-427.00M,104.00M,,-254.00M,-280.40M,54.00M,,2015-12,-0.48,-0.02,,,2015-12,-0.48,-0.3998,-0.50,,2015-12,531.00M,531.00M,0.025,,2015-12,AOR,Restated
2015-09,1.56B,1.56B,1.217B,343.00M,59.00M,59.00M,31.00M,,32.00M,91.00M,,74.00M,,-74.00M,61.00M,151.00M,192.00M,,74.00M,-74.00M,120.00M,-74.00M,238.00M,61.00M,159.00M,-66.00M,,219.00M,7.16M,539.00M,,2015-09,0.30,0.12,,,2015-09,0.30,0.1380,0.42,,2015-09,529.00M,530.00M,0.025,,2015-09,AOR,Restated
2015-06,1.908B,1.908B,1.303B,605.00M,68.00M,68.00M,33.00M,,,,,82.00M,,-82.00M,101.00M,202.00M,403.00M,,82.00M,-82.00M,-23.00M,-82.00M,298.00M,152.00M,139.00M,-76.00M,,72.00M,63.00M,656.00M,,2015-06,0.13,0.01,,,2015-06,0.13,0.13,0.14,,2015-06,505.00M,506.00M,0.025,,2015-06,AOR,Restated
2015-03,1.972B,1.972B,1.316B,656.00M,58.00M,58.00M,28.00M,,,,,85.00M,,-85.00M,73.00M,159.00M,497.00M,,85.00M,-85.00M,11.00M,-85.00M,423.00M,193.00M,221.00M,-46.00M,,183.00M,175.00M,797.00M,,2015-03,0.35,0.02,,,2015-03,0.35,0.35,0.37,,2015-03,499.00M,500.00M,0.025,,2015-03,AOR,Restated
2014-12,1.544B,1.544B,757.00M,787.00M,99.00M,99.00M,39.00M,,-1.00M,1.00M,,54.00M,,-54.00M,48.00M,186.00M,601.00M,,54.00M,-54.00M,14.00M,-54.00M,561.00M,226.00M,329.00M,-46.00M,,15.00M,275.80M,781.00M,,2014-12,0.08,-0.05,,,2014-12,0.08,0.0656,0.03,,2014-12,499.00M,499.00M,0.025,,2014-12,AOR,Restated
2014-09,1.746B,1.746B,1.503B,243.00M,45.00M,45.00M,36.00M,,8.00M,14.00M,,89.00M,,-89.00M,103.00M,184.00M,59.00M,,89.00M,-89.00M,55.00M,-89.00M,25.00M,-47.00M,72.00M,138.00M,,213.00M,187.90M,432.00M,,2014-09,0.42,0.01,,,2014-09,0.42,0.3758,0.43,,2014-09,499.00M,500.00M,0.025,,2014-09,AOR,Restated
2014-06,1.765B,1.765B,1.366B,399.00M,48.00M,48.00M,42.00M,,13.00M,-17.00M,,94.00M,,-94.00M,107.00M,197.00M,202.00M,,94.00M,-94.00M,-16.00M,-94.00M,92.00M,-53.00M,147.00M,35.00M,,180.00M,199.55M,492.00M,,2014-06,0.37,-0.01,,,2014-06,0.37,0.4052,0.36,,2014-06,499.00M,499.00M,0.025,,2014-06,AOR,Restated
2014-03,1.764B,1.764B,1.381B,383.00M,45.00M,45.00M,42.00M,,1.00M,38.00M,,93.00M,,-93.00M,99.00M,186.00M,197.00M,,93.00M,-93.00M,39.00M,-93.00M,143.00M,78.00M,65.00M,52.00M,,100.00M,98.80M,534.00M,,2014-03,0.23,-0.03,,,2014-03,0.23,0.1935,0.20,,2014-03,498.00M,499.00M,0.15,,2014-03,AOR,Restated
2013-12,2.188B,2.188B,1.863B,325.00M,45.00M,45.00M,57.00M,,53.00M,-1.90B,,92.00M,,-102.00M,127.00M,229.00M,96.00M,,92.00M,-102.00M,-2.084B,-102.00M,-2.09B,-809.00M,-1.28B,85.00M,,-1.187B,130.74M,-1.617B,,2013-12,-2.34,0.01,,,2013-12,-2.34,0.3062,-2.33,,2013-12,501.00M,501.00M,0.20,,2013-12,AOR,Restated
2013-09,2.02B,2.02B,1.377B,643.00M,48.00M,48.00M,67.00M,,41.00M,-63.00M,,76.00M,4.00M,-72.00M,143.00M,258.00M,385.00M,4.00M,76.00M,-72.00M,262.00M,-72.00M,575.00M,161.00M,415.00M,4.00M,,398.00M,249.08M,950.00M,,2013-09,0.84,-0.04,,,2013-09,0.84,0.4988,0.80,,2013-09,498.00M,498.00M,0.25,,2013-09,AOR,Restated
2013-06,2.018B,2.018B,2.097B,-79.00M,54.00M,54.00M,46.00M,,7.00M,-2.289B,,70.00M,2.00M,-68.00M,143.00M,243.00M,-322.00M,2.00M,70.00M,-68.00M,-2.241B,-68.00M,-2.631B,-287.00M,-2.347B,214.00M,,-2.059B,-136.46M,-2.146B,,2013-06,-4.29,0.15,,,2013-06,-4.29,-0.2728,-4.14,,2013-06,497.00M,497.00M,0.35,,2013-06,AOR,Restated
2013-03,2.188B,2.188B,1.324B,864.00M,56.00M,56.00M,52.00M,,4.00M,-58.00M,,65.00M,4.00M,-61.00M,122.00M,230.00M,634.00M,4.00M,65.00M,-61.00M,-33.00M,-61.00M,540.00M,180.00M,356.00M,-42.00M,,314.00M,346.16M,872.00M,,2013-03,0.63,0.00,,,2013-03,0.63,0.6946,0.63,,2013-03,497.00M,498.00M,0.425,,2013-03,AOR,Restated
2012-12,2.572B,2.572B,1.508B,1.064B,50.00M,50.00M,90.00M,,8.00M,11.00M,,59.00M,3.00M,-56.00M,96.00M,251.00M,813.00M,3.00M,59.00M,-56.00M,47.00M,-56.00M,804.00M,130.00M,662.00M,-24.00M,,666.00M,617.04M,1.144B,,2012-12,1.29,0.06,,,2012-12,1.28,1.238,1.34,,2012-12,496.00M,496.00M,0.35,,2012-12,AOR,Restated
2012-09,2.48B,2.48B,1.36B,1.12B,51.00M,51.00M,74.00M,,7.00M,-53.00M,,67.00M,2.00M,-65.00M,172.00M,324.00M,796.00M,2.00M,67.00M,-65.00M,-14.00M,-65.00M,717.00M,228.00M,480.00M,-80.00M,,367.00M,429.24M,1.056B,,2012-09,0.81,-0.07,,,2012-09,0.81,0.8686,0.74,,2012-09,496.00M,499.00M,0.35,,2012-09,AOR,Restated
2012-06,2.229B,2.229B,1.25B,979.00M,57.00M,57.00M,82.00M,,8.00M,-8.00M,,71.00M,2.00M,-69.00M,165.00M,356.00M,623.00M,2.00M,71.00M,-69.00M,3.00M,-69.00M,557.00M,175.00M,371.00M,-92.00M,,279.00M,270.16M,876.00M,,2012-06,0.56,0.00,,,2012-06,0.56,0.5422,0.56,,2012-06,496.00M,498.00M,0.35,,2012-06,AOR,Restated
2012-03,2.683B,2.683B,1.248B,1.435B,54.00M,54.00M,102.00M,,24.00M,-14.00M,,52.00M,5.00M,-47.00M,139.00M,345.00M,1.09B,5.00M,52.00M,-47.00M,-7.00M,-47.00M,1.036B,343.00M,674.00M,-113.00M,,490.00M,573.06M,1.319B,,2012-03,1.13,-0.14,,,2012-03,1.11,1.134,0.97,,2012-03,495.00M,504.00M,0.35,,2012-03,AOR,Restated
2011-12,2.765B,2.765B,2.061B,704.00M,-65.00M,-65.00M,80.00M,,,-2.167B,,51.00M,3.00M,-48.00M,305.00M,-418.00M,1.122B,3.00M,51.00M,-48.00M,-2.119B,-48.00M,-1.046B,-150.00M,-897.00M,-131.00M,,-1.028B,825.67M,-735.00M,,2011-12,-2.08,0.00,,,2011-12,-2.08,1.555,-2.08,,2011-12,494.00M,510.00M,0.35,,2011-12,AOR,Restated
2011-09,2.744B,2.744B,1.008B,1.736B,74.00M,74.00M,99.00M,270.00M,,-124.00M,,65.00M,2.00M,-63.00M,116.00M,559.00M,1.177B,2.00M,65.00M,-63.00M,-71.00M,-63.00M,1.036B,371.00M,675.00M,-182.00M,,493.00M,538.44M,1.371B,,2011-09,1.00,0.00,,,2011-09,0.98,1.070,0.98,,2011-09,494.00M,504.00M,0.30,,2011-09,AOR,Restated
2011-06,2.384B,2.384B,917.00M,1.467B,93.00M,93.00M,86.00M,250.00M,,-82.00M,,63.00M,2.00M,-61.00M,89.00M,518.00M,949.00M,2.00M,63.00M,-61.00M,-50.00M,-61.00M,847.00M,187.00M,660.00M,-137.00M,,387.00M,562.00M,1.16B,,2011-06,1.06,-0.28,,,2011-06,1.04,1.118,0.77,,2011-06,494.00M,501.00M,0.20,,2011-06,AOR,Restated
2011-03,2.465B,2.465B,940.00M,1.525B,59.00M,59.00M,68.00M,256.00M,,-40.00M,,65.00M,4.00M,-61.00M,62.00M,445.00M,1.08B,4.00M,65.00M,-61.00M,-52.00M,-61.00M,973.00M,305.00M,670.00M,-156.00M,,514.00M,549.88M,1.294B,,2011-03,1.04,0.00,,,2011-03,1.03,1.102,1.03,,2011-03,493.00M,501.00M,0.15,,2011-03,AOR,Restated
2010-12,2.548B,2.548B,1.658B,890.00M,,-53.00M,-28.00M,,,-96.00M,,69.00M,3.00M,-66.00M,465.00M,-303.00M,1.193B,3.00M,69.00M,-66.00M,-15.00M,-66.00M,1.112B,72.00M,1.05B,-210.00M,,812.00M,880.22M,1.429B,,2010-12,1.71,-0.06,,,2010-12,1.67,1.749,1.61,,2010-12,492.00M,506.00M,0.15,,2010-12,AOR,Restated
2010-09,2.597B,2.597B,958.00M,1.639B,,79.00M,66.00M,242.00M,,46.00M,,66.00M,3.00M,-63.00M,14.00M,401.00M,1.238B,3.00M,66.00M,-63.00M,2.00M,-63.00M,1.177B,360.00M,814.00M,-277.00M,,537.00M,535.61M,1.485B,,2010-09,1.09,0.00,,,2010-09,1.07,1.067,1.07,,2010-09,493.00M,502.00M,0.15,,2010-09,AOR,Restated
2010-06,2.153B,2.153B,848.00M,1.305B,74.00M,74.00M,77.00M,231.00M,,9.00M,0.00,69.00M,2.00M,-67.00M,53.00M,435.00M,870.00M,2.00M,69.00M,-67.00M,19.00M,-67.00M,822.00M,283.00M,537.00M,-155.00M,,382.00M,369.54M,1.122B,,2010-06,0.78,0.00,,,2010-06,0.77,0.7450,0.77,,2010-06,492.00M,499.00M,0.10,,2010-06,AOR,Restated
2010-03,2.242B,2.242B,869.00M,1.373B,,45.00M,46.00M,224.00M,,41.00M,,75.00M,3.00M,-72.00M,132.00M,447.00M,926.00M,3.00M,75.00M,-72.00M,32.00M,-72.00M,886.00M,141.00M,743.00M,-197.00M,,546.00M,519.09M,1.185B,,2010-03,1.11,0.00,,,2010-03,1.11,1.055,1.11,,2010-03,491.00M,493.00M,0.10,,2010-03,AOR,Restated
2009-12,2.518B,2.518B,661.00M,1.857B,,7.00M,35.00M,240.00M,,-37.00M,,,,-39.00M,295.00M,577.00M,1.28B,,,-39.00M,-37.00M,-39.00M,1.204B,335.00M,867.00M,-307.00M,,558.00M,586.71M,1.542B,,2009-12,1.14,0.00,,,2009-12,1.14,1.194,1.14,,2009-12,493.00M,493.00M,0.10,,2009-12,AOR,Restated
2009-09,2.049B,2.049B,820.00M,1.229B,,49.00M,27.00M,199.00M,,25.00M,,,,-10.00M,65.00M,340.00M,889.00M,,,-10.00M,25.00M,-10.00M,904.00M,253.00M,645.00M,-257.00M,,388.00M,370.00M,1.088B,,2009-09,0.79,0.00,,,2009-09,0.79,0.7533,0.79,,2009-09,490.00M,491.00M,0.10,,2009-09,AOR,Restated
2009-06,1.602B,1.602B,747.00M,855.00M,,52.00M,42.00M,176.00M,,9.00M,,,,-23.00M,112.00M,382.00M,473.00M,,,-23.00M,9.00M,-23.00M,459.00M,136.00M,320.00M,-144.00M,,162.00M,169.67M,649.00M,,2009-06,0.33,0.00,,,2009-06,0.33,0.3171,0.33,,2009-06,490.00M,491.00M,0.10,,2009-06,AOR,Restated
2009-03,1.536B,1.536B,780.00M,756.00M,,51.00M,31.00M,191.00M,,9.00M,,32.00M,,-32.00M,73.00M,346.00M,410.00M,,32.00M,-32.00M,9.00M,-32.00M,387.00M,105.00M,277.00M,-88.00M,,189.00M,182.44M,610.00M,,2009-03,0.40,0.00,,,2009-03,0.40,0.3861,0.40,,2009-03,472.00M,473.00M,0.10,,2009-03,AOR,Restated
2008-12,1.325B,1.325B,573.00M,752.00M,,18.00M,53.00M,190.00M,,-285.00M,,37.00M,,-8.00M,204.00M,465.00M,287.00M,,37.00M,-8.00M,-285.00M,-8.00M,-6.00M,-51.00M,46.00M,-38.00M,,4.00M,193.25M,221.00M,,2008-12,0.02,-0.01,,,2008-12,0.02,0.4280,0.01,,2008-12,454.00M,454.00M,0.10,,2008-12,AOR,Restated
2008-09,1.371B,1.371B,837.00M,534.00M,,44.00M,44.00M,186.00M,,66.00M,,35.00M,,-35.00M,69.00M,343.00M,191.00M,,35.00M,-35.00M,66.00M,-35.00M,222.00M,6.00M,215.00M,-31.00M,,191.00M,119.78M,443.00M,,2008-09,0.40,0.02,,,2008-09,0.40,0.2589,0.42,,2008-09,454.00M,455.00M,0.10,,2008-09,,Restated
2008-06,1.503B,1.503B,807.00M,696.00M,,45.00M,39.00M,183.00M,,13.00M,,35.00M,7.00M,-28.00M,118.00M,385.00M,311.00M,7.00M,35.00M,-28.00M,12.00M,-28.00M,295.00M,-42.00M,337.00M,-68.00M,,271.00M,261.20M,513.00M,,2008-06,0.60,0.00,,,2008-06,0.59,0.5729,0.59,,2008-06,454.00M,456.00M,0.10,,2008-06,,Restated
2008-03,1.943B,1.943B,830.00M,1.113B,,37.00M,30.00M,182.00M,,15.00M,,,,-28.00M,63.00M,312.00M,801.00M,,,-28.00M,15.00M,-28.00M,788.00M,232.00M,551.00M,-192.00M,,365.00M,348.42M,983.00M,,2008-03,0.80,0.01,,,2008-03,0.79,0.7668,0.80,,2008-03,453.00M,457.00M,0.10,,2008-03,,Restated
2007-12,1.322B,1.322B,595.00M,727.00M,,579.00M,28.00M,,,8.00M,,,,,,991.00M,-264.00M,,,,12.00M,,-764.00M,95.00M,-918.00M,,,-289.00M,-923.20M,-1.152B,,2007-12,-2.03,1.40,,,2007-12,-2.03,-2.041,-0.63,,2007-12,455.00M,455.00M,0.10,,2007-12,,Restated
2007-09,1.646B,1.646B,785.00M,861.00M,,50.00M,16.00M,,,2.00M,,,,,,242.00M,619.00M,,,,2.00M,,607.00M,84.00M,325.00M,-198.00M,,397.00M,323.28M,811.00M,,2007-09,0.72,0.16,,,2007-09,0.72,0.7162,0.88,,2007-09,452.00M,453.00M,0.10,,2007-09,,
2007-06,1.276B,1.276B,760.00M,516.00M,,34.00M,13.00M,,,-1.119B,,,,,,233.00M,283.00M,,,,-1.119B,,-322.00M,-19.00M,-401.00M,-98.00M,,-2.062B,651.97M,469.00M,,2007-06,-0.89,-3.68,,,2007-06,-0.89,1.445,-4.57,,2007-06,451.00M,451.00M,0.10,,2007-06,,
2007-03,1.224B,1.224B,753.00M,471.00M,,72.00M,16.00M,,,-47.00M,,,,,,267.00M,204.00M,,,,-47.00M,,140.00M,44.00M,40.00M,-56.00M,,68.00M,72.23M,396.00M,,2007-03,0.09,0.06,,,2007-03,0.09,0.1613,0.15,,2007-03,451.00M,452.00M,0.10,,2007-03,,
2006-12,1.355B,1.355B,555.00M,800.00M,,358.00M,20.00M,,,135.00M,,,,,,537.00M,263.00M,,,,137.00M,,724.00M,67.00M,199.00M,-84.00M,,223.00M,76.49M,469.00M,,2006-12,0.44,0.06,,,2006-12,0.44,0.1708,0.49,,2006-12,453.00M,455.00M,0.10,,2006-12,,
2006-09,1.102B,1.102B,632.00M,470.00M,,29.00M,22.00M,,,-99.00M,,,,,,200.00M,270.00M,,,,-98.00M,,199.00M,106.00M,42.00M,-52.00M,,198.00M,101.40M,419.00M,,2006-09,0.09,0.35,,,2006-09,0.09,0.2214,0.44,,2006-09,450.00M,452.00M,0.10,,2006-09,,
2006-06,1.293B,1.293B,674.00M,619.00M,,37.00M,24.00M,,,-29.00M,,,,,,207.00M,412.00M,,,,-29.00M,,337.00M,121.00M,128.00M,-128.00M,,161.00M,146.59M,558.00M,,2006-06,0.29,0.07,,,2006-06,0.29,0.3311,0.36,,2006-06,449.00M,452.00M,0.10,,2006-06,,
2006-03,1.132B,1.132B,592.00M,540.00M,,51.00M,21.00M,,,35.00M,,,,,,212.00M,328.00M,,,,35.00M,,343.00M,37.00M,207.00M,-99.00M,,209.00M,175.78M,470.00M,,2006-03,0.47,0.00,,,2006-03,0.46,0.3908,0.46,,2006-03,448.00M,451.00M,0.10,,2006-03,,
2005-12,1.142B,1.142B,419.00M,723.00M,,294.00M,5.00M,,,-232.00M,,,,,,406.00M,317.00M,,,,-231.00M,,325.00M,84.00M,-13.00M,-132.00M,,62.00M,159.04M,464.00M,,2005-12,0.16,-0.02,,,2005-12,0.15,0.5332,0.14,,2005-12,446.00M,449.00M,0.10,,2005-12,,
2005-09,1.164B,1.164B,643.00M,521.00M,,32.00M,18.00M,,,46.00M,,,,,,210.00M,311.00M,,,,46.00M,,333.00M,94.00M,125.00M,-115.00M,,126.00M,91.98M,473.00M,,2005-09,0.28,0.00,,,2005-09,0.28,0.2065,0.28,,2005-09,446.00M,449.00M,0.10,,2005-09,,
2005-06,997.00M,997.00M,588.00M,409.00M,,32.00M,12.00M,,,15.00M,,,,,,199.00M,210.00M,,,,14.00M,,207.00M,44.00M,88.00M,-74.00M,,50.00M,76.19M,365.00M,,2005-06,0.20,-0.09,,,2005-06,0.20,0.1737,0.11,,2005-06,446.00M,449.00M,0.10,,2005-06,,
2005-03,945.00M,945.00M,565.00M,380.00M,,31.00M,17.00M,,,43.00M,,,,,,209.00M,171.00M,,,,47.00M,,193.00M,53.00M,85.00M,-59.00M,,84.00M,53.81M,332.00M,,2005-03,0.19,0.00,,,2005-03,0.19,0.1204,0.19,,2005-03,446.00M,448.00M,0.10,,2005-03,,
