,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,558.00M,-107.00M,,17.00M,-90.00M,330.00M,,330.00M,330.00M,76.00M,,,-44.00M,6.00M,,25.00M,125.00M,,,154.00M,310.00M,,1.14B,-1.07B,,-1.053B,-17.00M,,-10.00M,7.00M,-1.073B,0.00,52.00M,52.00M,,,,,,-227.00M,-227.00M,-73.00M,-248.00M,315.00M,-181.00M,,134.00M,,,0.00,,4.00M,73.00M
2017-12,956.00M,110.00M,,22.00M,132.00M,312.00M,,312.00M,312.00M,-394.00M,,,-159.00M,1.00M,,-154.00M,-99.00M,,,-68.00M,-320.00M,,527.00M,-1.171B,,-1.144B,-27.00M,,-5.00M,24.00M,-1.152B,550.00M,340.00M,890.00M,,,,,,-218.00M,-218.00M,-12.00M,660.00M,280.00M,35.00M,,315.00M,,1.05B,-500.00M,,,116.00M
2017-09,395.00M,25.00M,,22.00M,47.00M,303.00M,,303.00M,303.00M,136.00M,,,7.00M,-5.00M,,5.00M,100.00M,,,-10.00M,90.00M,,978.00M,-1.126B,,-1.065B,-61.00M,,-1.00M,12.00M,-1.115B,0.00,202.00M,202.00M,,,,,,-217.00M,-217.00M,0.00,-15.00M,432.00M,-152.00M,,280.00M,,0.00,0.00,,,72.00M
2017-06,109.00M,-59.00M,,22.00M,-37.00M,688.00M,,688.00M,688.00M,176.00M,,,-28.00M,0.00,,63.00M,-128.00M,,,-285.00M,-350.00M,,558.00M,-933.00M,,-919.00M,-14.00M,,-6.00M,29.00M,-910.00M,1.125B,-315.00M,810.00M,,,,,,-217.00M,-217.00M,-6.00M,587.00M,197.00M,235.00M,,432.00M,,1.125B,,,,112.00M
2017-03,114.00M,4.00M,,23.00M,27.00M,882.00M,,882.00M,882.00M,-85.00M,,,-52.00M,69.00M,,-4.00M,143.00M,,,103.00M,311.00M,,1.197B,-1.077B,,-1.062B,-15.00M,,-9.00M,7.00M,-1.079B,,-73.00M,-73.00M,,,,,,-218.00M,-218.00M,-56.00M,-347.00M,426.00M,-229.00M,,197.00M,,,,,,77.00M
2016-12,-98.00M,79.00M,,32.00M,111.00M,846.00M,,846.00M,846.00M,29.00M,,0.00,-70.00M,21.00M,,-72.00M,-199.00M,,,-16.00M,-266.00M,,552.00M,-1.236B,,-1.214B,-22.00M,,-7.00M,49.00M,-1.194B,700.00M,133.00M,833.00M,,,,,,-208.00M,-208.00M,-8.00M,617.00M,450.00M,-25.00M,,426.00M,,700.00M,0.00,,,113.00M
2016-09,327.00M,19.00M,,32.00M,51.00M,280.00M,,280.00M,280.00M,111.00M,,102.00M,93.00M,-19.00M,,42.00M,108.00M,,,-56.00M,75.00M,,1.039B,-1.055B,,-1.014B,-41.00M,,-10.00M,15.00M,-1.05B,-228.00M,255.00M,27.00M,,,,,,-207.00M,-207.00M,-7.00M,-187.00M,648.00M,-198.00M,,450.00M,,425.00M,-653.00M,,,76.00M
2016-06,187.00M,169.00M,,31.00M,200.00M,271.00M,,271.00M,271.00M,152.00M,,,-43.00M,0.00,,-42.00M,-50.00M,,,-167.00M,-259.00M,,508.00M,-926.00M,,-906.00M,-20.00M,,-10.00M,13.00M,-923.00M,700.00M,-12.00M,688.00M,,,,,,-208.00M,-208.00M,-9.00M,471.00M,592.00M,56.00M,,648.00M,,700.00M,0.00,,,110.00M
2016-03,471.00M,-18.00M,,32.00M,14.00M,282.00M,,282.00M,282.00M,182.00M,,,-98.00M,301.00M,,-4.00M,144.00M,,,-78.00M,363.00M,,1.214B,-1.081B,,-1.065B,-16.00M,,-5.00M,5.00M,-1.081B,679.00M,-352.00M,327.00M,,,,,,-207.00M,-207.00M,-55.00M,65.00M,394.00M,198.00M,,592.00M,,850.00M,-171.00M,,,66.00M
2015-12,309.00M,-92.00M,,40.00M,-52.00M,305.00M,,305.00M,305.00M,455.00M,,0.00,13.00M,-300.00M,,-20.00M,-218.00M,,,199.00M,-339.00M,,691.00M,-1.187B,,-1.081B,,,-8.00M,94.00M,-1.101B,382.00M,344.00M,726.00M,,,,,,-197.00M,-197.00M,4.00M,533.00M,271.00M,123.00M,,394.00M,,750.00M,-368.00M,,155.00M,116.00M
2015-09,439.00M,-59.00M,,40.00M,-19.00M,369.00M,,369.00M,369.00M,60.00M,,0.00,2.00M,18.00M,,73.00M,56.00M,,,-4.00M,143.00M,,994.00M,-1.039B,,-1.039B,,,-10.00M,-19.00M,-1.068B,-66.00M,20.00M,-46.00M,,,,,,-198.00M,-198.00M,-8.00M,-252.00M,597.00M,-326.00M,,271.00M,,0.00,-66.00M,,108.00M,70.00M
2015-06,345.00M,-55.00M,,40.00M,-15.00M,368.00M,,368.00M,368.00M,107.00M,,,-27.00M,8.00M,,55.00M,-251.00M,,,-35.00M,-223.00M,,555.00M,-996.00M,,-996.00M,,,-4.00M,6.00M,-994.00M,233.00M,0.00,233.00M,,,,,,-197.00M,-197.00M,-8.00M,28.00M,1.008B,-411.00M,,597.00M,,600.00M,-367.00M,,184.00M,121.00M
2015-03,586.00M,25.00M,,41.00M,66.00M,385.00M,,385.00M,385.00M,63.00M,,,-17.00M,180.00M,,14.00M,322.00M,,,80.00M,596.00M,,1.679B,-747.00M,,-747.00M,,,-29.00M,-3.00M,-779.00M,-58.00M,0.00,-58.00M,,,,,,-197.00M,-197.00M,-39.00M,-294.00M,402.00M,606.00M,,1.008B,,0.00,-58.00M,,,74.00M
2014-12,476.00M,-400.00M,,11.00M,-389.00M,357.00M,,357.00M,357.00M,412.00M,,,-18.00M,-65.00M,,151.00M,-283.00M,,,-17.00M,-214.00M,,624.00M,-999.00M,,-898.00M,,,-2.00M,97.00M,-904.00M,183.00M,0.00,183.00M,,,,,,-187.00M,-187.00M,-17.00M,-21.00M,703.00M,-301.00M,,402.00M,,250.00M,-67.00M,,254.00M,113.00M
2014-09,444.00M,-100.00M,,12.00M,-88.00M,371.00M,,371.00M,371.00M,33.00M,,,11.00M,86.00M,,61.00M,73.00M,,,97.00M,317.00M,,1.088B,-693.00M,,-693.00M,,,-2.00M,-11.00M,-706.00M,-59.00M,0.00,-59.00M,,,,,,-187.00M,-187.00M,-3.00M,-249.00M,570.00M,133.00M,,703.00M,,500.00M,-559.00M,,-12.00M,77.00M
2014-06,212.00M,37.00M,,13.00M,50.00M,339.00M,,339.00M,339.00M,109.00M,,,-26.00M,11.00M,,27.00M,-219.00M,,,-171.00M,-352.00M,,332.00M,-620.00M,,-620.00M,,,-3.00M,-30.00M,-653.00M,443.00M,0.00,443.00M,,,,,,-187.00M,-187.00M,-20.00M,236.00M,655.00M,-85.00M,,570.00M,,500.00M,-57.00M,,281.00M,113.00M
2014-03,386.00M,201.00M,,11.00M,212.00M,360.00M,,360.00M,360.00M,-39.00M,,,-60.00M,-2.00M,,-261.00M,273.00M,,,247.00M,257.00M,,1.116B,-609.00M,,-609.00M,,,-12.00M,-8.00M,-629.00M,-54.00M,-60.00M,-114.00M,,,,,,-187.00M,-187.00M,-24.00M,-325.00M,493.00M,162.00M,,655.00M,,,-54.00M,,15.00M,79.00M
2013-12,200.00M,50.00M,,61.00M,111.00M,339.00M,,339.00M,339.00M,28.00M,,,34.00M,,,-60.00M,,,,-29.00M,11.00M,,723.00M,-709.00M,,-709.00M,,,-45.00M,41.00M,-713.00M,161.00M,60.00M,221.00M,,,,,,-182.00M,-182.00M,-4.00M,35.00M,448.00M,45.00M,,493.00M,,500.00M,-339.00M,,19.00M,111.00M
2013-09,390.00M,-46.00M,,60.00M,14.00M,363.00M,,363.00M,363.00M,96.00M,,,6.00M,,,25.00M,,,,198.00M,223.00M,,1.092B,-696.00M,,-696.00M,,,37.00M,-50.00M,-709.00M,244.00M,-157.00M,87.00M,,,,,,-182.00M,-182.00M,-4.00M,-99.00M,164.00M,284.00M,,448.00M,,600.00M,-356.00M,,84.00M,80.00M
2013-06,333.00M,-168.00M,,61.00M,-107.00M,328.00M,,328.00M,328.00M,151.00M,,,-38.00M,,,-8.00M,,,,-193.00M,-201.00M,,466.00M,-682.00M,,-682.00M,,,10.00M,26.00M,-646.00M,145.00M,-8.00M,137.00M,,,,,,-182.00M,-182.00M,-31.00M,-76.00M,420.00M,-256.00M,,164.00M,,500.00M,-355.00M,,135.00M,112.00M
2013-03,320.00M,141.00M,,61.00M,202.00M,340.00M,,340.00M,340.00M,-5.00M,,,-267.00M,,,,,,,287.00M,287.00M,,877.00M,-724.00M,,-724.00M,,,-13.00M,4.00M,-733.00M,199.00M,-98.00M,101.00M,,,,,,-182.00M,-182.00M,-22.00M,-103.00M,379.00M,41.00M,,420.00M,,400.00M,-201.00M,,3.00M,82.00M
2012-12,224.00M,-113.00M,,68.00M,-45.00M,301.00M,,301.00M,301.00M,500.00M,,,-19.00M,-227.00M,,,,,,-258.00M,-485.00M,,476.00M,-605.00M,,-605.00M,,,-10.00M,41.00M,-574.00M,-360.00M,263.00M,-97.00M,,,,,,-180.00M,-180.00M,-26.00M,-303.00M,780.00M,-401.00M,,379.00M,,50.00M,-410.00M,,12.00M,122.00M
2012-09,347.00M,121.00M,,69.00M,190.00M,331.00M,,331.00M,331.00M,56.00M,,,-46.00M,16.00M,,,,,,39.00M,55.00M,,933.00M,-689.00M,,-689.00M,,,-7.00M,-16.00M,-712.00M,-4.00M,-16.00M,-20.00M,,,,,,-179.00M,-179.00M,-7.00M,-206.00M,765.00M,15.00M,,780.00M,,350.00M,-354.00M,,-5.00M,83.00M
2012-06,211.00M,-97.00M,,66.00M,-31.00M,296.00M,,296.00M,296.00M,153.00M,,,-270.00M,,,,,,,-69.00M,-69.00M,,290.00M,-593.00M,,-593.00M,,,-5.00M,-35.00M,-633.00M,375.00M,-13.00M,362.00M,,,,,,-180.00M,-180.00M,-5.00M,177.00M,931.00M,-166.00M,,765.00M,,500.00M,-125.00M,,111.00M,113.00M
2012-03,493.00M,-15.00M,,68.00M,53.00M,299.00M,,299.00M,299.00M,12.00M,,,-22.00M,,,,,,,253.00M,253.00M,,1.088B,-687.00M,,-687.00M,,,-12.00M,-7.00M,-706.00M,-115.00M,29.00M,-86.00M,,,,,,-179.00M,-179.00M,-20.00M,-285.00M,834.00M,97.00M,,931.00M,,0.00,-115.00M,,3.00M,84.00M
2011-12,238.00M,,,661.00M,333.00M,,,390.00M,390.00M,182.00M,-114.00M,,-403.00M,361.00M,,,,,,161.00M,522.00M,,1.148B,-604.00M,,-604.00M,,0.00,-9.00M,171.00M,-442.00M,-923.00M,0.00,-923.00M,,,,,,-173.00M,-173.00M,-18.00M,-1.114B,1.242B,-408.00M,,834.00M,,44.00M,-967.00M,,,479.00M
2011-09,294.00M,,,-21.00M,135.00M,,,262.00M,262.00M,657.00M,39.00M,,-50.00M,-281.00M,,,,,,-42.00M,-323.00M,,1.014B,-477.00M,,-477.00M,,335.00M,-3.00M,-9.00M,-154.00M,699.00M,-298.00M,401.00M,,,,,,-173.00M,-173.00M,-5.00M,223.00M,159.00M,1.083B,,1.242B,,750.00M,-51.00M,,-57.00M,-259.00M
2011-06,323.00M,,,-19.00M,-38.00M,,,238.00M,238.00M,124.00M,36.00M,,-25.00M,152.00M,,,,,,-457.00M,-305.00M,,353.00M,-505.00M,,-505.00M,,352.00M,-3.00M,-362.00M,-518.00M,-656.00M,277.00M,-379.00M,,,,,,-174.00M,-174.00M,-23.00M,-576.00M,900.00M,-741.00M,,159.00M,,0.00,-656.00M,,49.00M,174.00M
2011-03,526.00M,,,-446.00M,-592.00M,,,245.00M,245.00M,-152.00M,39.00M,,80.00M,441.00M,,,,,,455.00M,896.00M,,1.042B,-497.00M,,-497.00M,,,-16.00M,358.00M,-155.00M,-47.00M,-43.00M,-90.00M,,,,,,-173.00M,-173.00M,-4.00M,-267.00M,280.00M,620.00M,,900.00M,,,-47.00M,,8.00M,85.00M
2010-12,282.00M,-61.00M,,798.00M,930.00M,,,380.00M,380.00M,901.00M,-102.00M,,-835.00M,-689.00M,,,,,,-42.00M,-731.00M,,825.00M,-643.00M,,-643.00M,,0.00,-432.00M,502.00M,-573.00M,-273.00M,64.00M,-209.00M,,,,80.00M,80.00M,-173.00M,-173.00M,-2.00M,-304.00M,332.00M,-52.00M,,280.00M,,120.00M,-393.00M,80.00M,-10.00M,145.00M
2010-09,567.00M,-35.00M,,-19.00M,-169.00M,,,265.00M,265.00M,133.00M,34.00M,,-138.00M,0.00,,,,,,127.00M,127.00M,,819.00M,-606.00M,,-606.00M,,0.00,260.00M,5.00M,-341.00M,364.00M,-389.00M,-25.00M,,,,0.00,0.00,-173.00M,-173.00M,-5.00M,-203.00M,57.00M,275.00M,,332.00M,,414.00M,-50.00M,0.00,435.00M,72.00M
2010-06,224.00M,-16.00M,,-188.00M,-127.00M,,,233.00M,233.00M,31.00M,34.00M,,144.00M,0.00,,,,,,-1.091B,-1.091B,,-552.00M,-484.00M,,-484.00M,,0.00,50.00M,-3.00M,-437.00M,554.00M,389.00M,943.00M,,,,0.00,0.00,-174.00M,-174.00M,-35.00M,734.00M,312.00M,-255.00M,,57.00M,,850.00M,-296.00M,0.00,621.00M,148.00M
2010-03,491.00M,,,-276.00M,-431.00M,,,232.00M,232.00M,41.00M,34.00M,,-22.00M,0.00,,,,,,727.00M,727.00M,,1.072B,-427.00M,,-427.00M,,,98.00M,11.00M,-318.00M,-1.00M,-530.00M,-531.00M,,,,-80.00M,-80.00M,-173.00M,-173.00M,-8.00M,-792.00M,350.00M,-38.00M,,312.00M,,344.00M,-345.00M,-80.00M,24.00M,79.00M
2009-12,349.00M,,,-20.00M,599.00M,-722.00M,,116.00M,116.00M,117.00M,,,-757.00M,,,,,,,,-31.00M,,514.00M,-562.00M,,-562.00M,,,260.00M,-71.00M,-373.00M,-78.00M,323.00M,245.00M,,,,0.00,0.00,-168.00M,-168.00M,2.00M,79.00M,130.00M,220.00M,,350.00M,,26.00M,-292.00M,0.00,304.00M,156.00M
2009-09,488.00M,,,-17.00M,-694.00M,255.00M,,255.00M,255.00M,70.00M,,,488.00M,,,,,,,,-55.00M,,552.00M,-416.00M,,-416.00M,,,105.00M,102.00M,-209.00M,-311.00M,-126.00M,-437.00M,,,,0.00,0.00,-169.00M,-169.00M,0.00,-606.00M,393.00M,-263.00M,,130.00M,,224.00M,-347.00M,0.00,447.00M,90.00M
2009-06,311.00M,,,-128.00M,-346.00M,260.00M,-29.00M,231.00M,231.00M,120.00M,,,-296.00M,,,,,,,,-620.00M,,-600.00M,-414.00M,,-414.00M,,,366.00M,3.00M,-45.00M,-357.00M,333.00M,-24.00M,,,,0.00,0.00,-168.00M,-168.00M,-2.00M,-194.00M,1.232B,-839.00M,,393.00M,,0.00,-338.00M,0.00,604.00M,178.00M
2009-03,444.00M,,,-281.00M,-251.00M,207.00M,29.00M,236.00M,236.00M,19.00M,,,14.00M,,,,,,,,927.00M,,1.389B,-402.00M,,-402.00M,,,236.00M,1.00M,-165.00M,-124.00M,-19.00M,-143.00M,,,,0.00,0.00,-168.00M,-168.00M,-2.00M,-313.00M,321.00M,911.00M,,1.232B,,209.00M,-352.00M,0.00,9.00M,76.00M
2008-12,234.00M,-10.00M,32.00M,-17.00M,-287.00M,,,194.00M,194.00M,70.00M,26.00M,,440.00M,,,,,,,,76.00M,,753.00M,-534.00M,,-534.00M,,925.00M,16.00M,-723.00M,-316.00M,-93.00M,-162.00M,-255.00M,,0.00,0.00,,,-163.00M,-163.00M,73.00M,-345.00M,229.00M,92.00M,,321.00M,,259.00M,-468.00M,0.00,87.00M,182.00M
2008-09,656.00M,0.00,5.00M,-92.00M,-83.00M,-387.00M,-48.00M,164.00M,164.00M,-89.00M,75.00M,,-337.00M,,,,,,,,583.00M,,969.00M,-498.00M,,-498.00M,,0.00,-34.00M,775.00M,243.00M,-61.00M,-738.00M,-799.00M,,-92.00M,-92.00M,,,-164.00M,-164.00M,-11.00M,-1.066B,84.00M,146.00M,-1.00M,229.00M,,-738.00M,-61.00M,-92.00M,411.00M,96.00M
2008-06,-150.00M,-1.00M,-16.00M,-6.00M,-37.00M,194.00M,24.00M,218.00M,218.00M,87.00M,,,447.00M,,,,,,,,-985.00M,,-420.00M,-416.00M,,-416.00M,,,-13.00M,-12.00M,-441.00M,99.00M,791.00M,890.00M,,,,,,-164.00M,-164.00M,-33.00M,693.00M,251.00M,-168.00M,1.00M,84.00M,,1.191B,-301.00M,,321.00M,190.00M
2008-03,448.00M,,-21.00M,-24.00M,-46.00M,193.00M,24.00M,217.00M,217.00M,3.00M,,,21.00M,,,,,,,,400.00M,,1.043B,-323.00M,,-323.00M,,,64.00M,-2.00M,-261.00M,-766.00M,63.00M,-703.00M,,,,,,-164.00M,-164.00M,-44.00M,-911.00M,380.00M,-129.00M,,251.00M,,363.00M,-1.066B,,133.00M,89.00M
2007-12,225.00M,,,,-259.00M,,,,218.00M,74.00M,,,26.00M,,,,,,,143.00M,143.00M,,379.00M,-375.00M,0.00,-375.00M,,,,963.00M,588.00M,,,-850.00M,1.00M,,1.00M,,,,-149.00M,11.00M,-987.00M,421.00M,-20.00M,-1.00M,381.00M,1.00M,,,,218.00M,237.00M
2007-09,506.00M,,,,-102.00M,,,,239.00M,-79.00M,,,213.00M,,,,,,,-34.00M,-34.00M,,743.00M,-314.00M,3.00M,-311.00M,,,,-17.00M,-328.00M,,,-32.00M,14.00M,,14.00M,,,,-149.00M,2.00M,-165.00M,170.00M,250.00M,1.00M,421.00M,14.00M,,,,240.00M,122.00M
2007-06,275.00M,,,,6.00M,,,,219.00M,137.00M,,,-71.00M,,,,,,,-718.00M,-718.00M,,-152.00M,-384.00M,40.00M,-344.00M,,,,316.00M,-28.00M,,,-5.00M,35.00M,,35.00M,,,,-148.00M,9.00M,-109.00M,440.00M,-289.00M,,170.00M,35.00M,,,,135.00M,230.00M
2007-03,329.00M,,,,-90.00M,,,,221.00M,-13.00M,,,61.00M,,,,,,,440.00M,440.00M,,948.00M,-275.00M,,-275.00M,,,,42.00M,-233.00M,,,-271.00M,33.00M,,33.00M,,,,-148.00M,5.00M,-381.00M,106.00M,334.00M,,440.00M,33.00M,,,,85.00M,126.00M
2006-12,-47.00M,,,,144.00M,,,,229.00M,-84.00M,,,191.00M,,,,,,,73.00M,73.00M,-19.00M,487.00M,-267.00M,2.00M,-265.00M,,,,75.00M,-190.00M,,,-129.00M,27.00M,,27.00M,,,,-144.00M,-203.00M,-449.00M,292.00M,-152.00M,1.00M,141.00M,27.00M,,,,74.00M,263.00M
2006-09,374.00M,,,,-173.00M,,,,259.00M,6.00M,,,-114.00M,,,,,,,66.00M,66.00M,228.00M,646.00M,-275.00M,3.00M,-272.00M,,,-181.00M,171.00M,-282.00M,,,-71.00M,22.00M,,22.00M,,,,-144.00M,-5.00M,-198.00M,119.00M,166.00M,0.00,292.00M,22.00M,,,,116.00M,139.00M
2006-06,209.00M,,,,154.00M,,,,229.00M,-14.00M,,,-42.00M,,,,,,,-420.00M,-420.00M,-228.00M,-112.00M,-233.00M,,-233.00M,,,181.00M,514.00M,462.00M,,,-309.00M,17.00M,,17.00M,,,,-143.00M,-6.00M,-441.00M,218.00M,-91.00M,-1.00M,119.00M,17.00M,,,,171.00M,237.00M
2006-03,203.00M,,,,,,,,230.00M,3.00M,,,47.00M,,,,,,,427.00M,427.00M,,910.00M,-240.00M,,-240.00M,,,,7.00M,-233.00M,,,-605.00M,17.00M,,17.00M,,,,-143.00M,-15.00M,-746.00M,288.00M,-69.00M,-1.00M,218.00M,17.00M,,,,25.00M,134.00M
2005-12,205.00M,,,,-213.00M,,,,220.00M,69.00M,,,-176.00M,,,,,,,-216.00M,-216.00M,,67.00M,-302.00M,223.00M,-79.00M,,,,-247.00M,-11.00M,,,-315.00M,478.00M,,478.00M,,,,-140.00M,-392.00M,-369.00M,600.00M,-313.00M,1.00M,288.00M,478.00M,,,,1.00M,165.00M
2005-09,253.00M,,,,41.00M,,,,231.00M,139.00M,,,45.00M,,,,,,,-369.00M,-369.00M,,340.00M,-271.00M,6.00M,-265.00M,,,,178.00M,-87.00M,,,193.00M,18.00M,,18.00M,,,,-134.00M,-14.00M,63.00M,281.00M,316.00M,3.00M,600.00M,18.00M,,,,1.00M,187.00M
2005-06,-82.00M,,,,116.00M,,,,198.00M,12.00M,,,-75.00M,,,,,,,-263.00M,-263.00M,,-94.00M,-283.00M,,-283.00M,,,,136.00M,-147.00M,,,317.00M,19.00M,,19.00M,,,,-133.00M,-4.00M,199.00M,324.00M,-42.00M,-1.00M,281.00M,19.00M,,,,100.00M,259.00M
2005-03,285.00M,,,,-74.00M,,,,212.00M,4.00M,,,37.00M,,,,,,,193.00M,193.00M,,657.00M,-197.00M,,-197.00M,,,,37.00M,-160.00M,,,-295.00M,18.00M,,18.00M,,,,-134.00M,-24.00M,-435.00M,263.00M,62.00M,-1.00M,324.00M,18.00M,,,,1.00M,172.00M
