,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2006-12,416.60M,998.20M,1.415B,867.20M,867.20M,98.80M,76.00M,506.20M,677.60M,113.30M,417.20M,44.20M,3.534B,0.00,622.60M,952.00M,1.575B,-659.70M,914.90M,511.00M,403.80M,914.80M,,118.60M,391.20M,2.340B,5.874B,,2006-12,247.90M,247.90M,768.40M,1.016B,,14.80M,14.80M,,,320.40M,1.352B,,,,,,,331.30M,1.683B,,2006-12,40.80M,3.490B,-29.00M,90.60M,4.191B,,2006-12
2006-09,182.70M,902.70M,1.085B,844.90M,844.90M,99.70M,80.10M,499.10M,675.10M,113.00M,396.90M,,3.115B,,,,1.577B,-665.90M,910.70M,526.80M,694.30M,1.221B,,111.30M,40.70M,2.284B,5.399B,,2006-09,204.70M,204.70M,676.20M,880.90M,,14.60M,14.60M,,,216.50M,1.112B,0.60M,0.60M,,,,296.00M,296.60M,1.409B,,2006-09,40.70M,3.352B,,63.50M,3.990B,,2006-09
2006-06,129.70M,738.00M,867.70M,842.10M,842.10M,98.70M,77.50M,471.70M,644.10M,110.00M,398.30M,,2.862B,,,,1.531B,-638.60M,892.10M,522.90M,405.90M,928.80M,,103.20M,322.70M,2.247B,5.109B,,2006-06,193.30M,193.30M,673.80M,867.10M,,13.50M,13.50M,,,177.40M,1.058B,0.70M,0.70M,,,,281.20M,281.90M,1.340B,,2006-06,40.60M,3.164B,,53.20M,3.769B,,2006-06
2006-03,198.40M,675.70M,874.10M,841.80M,841.80M,87.90M,73.80M,437.70M,595.60M,117.00M,392.90M,,2.821B,,,,857.60M,,857.60M,515.30M,402.20M,917.50M,,97.00M,300.70M,2.173B,4.994B,,2006-03,202.10M,202.10M,654.40M,856.50M,,37.80M,37.80M,,,239.10M,1.133B,99.60M,99.60M,,,,272.60M,372.20M,1.506B,,2006-03,40.60M,2.95B,,8.60M,3.489B,,2006-03
2005-12,491.20M,565.30M,1.056B,770.30M,770.30M,87.00M,65.40M,414.90M,563.50M,96.70M,383.10M,,2.870B,0.00,559.40M,843.10M,1.402B,-571.50M,831.00M,,922.90M,922.90M,,91.10M,277.40M,2.122B,4.992B,,2005-12,206.50M,206.50M,787.60M,994.10M,,47.40M,47.40M,,,207.30M,1.249B,184.20M,184.20M,,,,259.30M,443.50M,1.692B,,2005-12,40.50M,2.802B,,5.20M,3.300B,,2005-12
2005-09,200.40M,332.20M,532.60M,736.20M,736.20M,85.20M,56.20M,451.30M,587.60M,93.30M,415.50M,,2.365B,,,,1.342B,-563.80M,778.50M,,939.60M,939.60M,,30.90M,282.60M,2.032B,4.397B,,2005-09,171.40M,171.40M,683.90M,855.30M,,8.10M,8.10M,,,172.20M,1.036B,0.90M,0.90M,,,,246.60M,247.50M,1.283B,,2005-09,40.40M,2.787B,,34.20M,3.114B,,2005-09
2005-06,118.40M,212.00M,330.40M,749.60M,749.60M,79.30M,63.70M,438.40M,576.30M,96.60M,418.50M,,2.171B,,,,1.282B,-543.20M,738.50M,,954.20M,954.20M,,,303.70M,1.996B,4.168B,,2005-06,180.60M,180.60M,645.70M,826.30M,,8.50M,8.50M,,,116.90M,951.70M,0.70M,0.70M,,,,226.60M,227.30M,1.179B,,2005-06,40.40M,2.655B,,49.20M,2.989B,,2005-06
2005-03,244.70M,,244.70M,766.20M,766.20M,76.80M,59.60M,425.80M,557.10M,100.60M,413.20M,,2.082B,,,,1.249B,-539.20M,709.80M,,987.60M,987.60M,,34.80M,254.20M,1.986B,4.068B,,2005-03,176.30M,176.30M,596.90M,773.20M,,8.80M,8.80M,,,168.40M,950.40M,0.70M,0.70M,,,,221.20M,221.90M,1.172B,,2005-03,40.30M,2.471B,,147.80M,2.896B,,2005-03
2004-12,349.40M,,349.40M,751.10M,751.10M,75.10M,53.40M,429.10M,552.50M,82.10M,407.50M,,2.143B,0.00,471.90M,752.80M,1.225B,-524.20M,700.50M,,963.20M,963.20M,,38.60M,238.90M,1.941B,4.084B,,2004-12,214.50M,214.50M,702.70M,917.20M,,9.30M,9.30M,,,187.00M,1.114B,0.70M,0.70M,,,,217.60M,218.30M,1.332B,,2004-12,40.30M,2.298B,,196.00M,2.752B,,2004-12
2004-09,91.60M,,91.60M,693.00M,693.00M,81.70M,57.00M,411.40M,544.20M,,,431.70M,1.760B,,,,1.140B,-500.80M,639.60M,,934.30M,934.30M,,,245.40M,1.819B,3.580B,,2004-09,150.00M,150.00M,601.70M,751.70M,,12.40M,12.40M,,,141.30M,905.40M,3.90M,3.90M,,,,167.60M,171.50M,1.077B,,2004-09,40.20M,2.171B,,82.10M,2.503B,,2004-09
2004-06,62.60M,,62.60M,699.50M,699.50M,77.50M,61.00M,384.40M,517.00M,79.70M,315.50M,,1.674B,,,,1.107B,-486.40M,620.50M,,943.10M,943.10M,,,231.70M,1.795B,3.470B,,2004-06,155.50M,155.50M,547.90M,703.40M,,12.00M,12.00M,,,127.60M,843.00M,3.90M,3.90M,,,,160.10M,164.00M,1.007B,,2004-06,40.10M,2.157B,,72.20M,2.463B,,2004-06
2004-03,48.90M,,48.90M,552.90M,552.90M,71.70M,57.40M,364.00M,487.20M,84.90M,284.60M,,1.458B,,,,1.085B,-481.70M,603.00M,,953.70M,953.70M,,36.80M,179.70M,1.773B,3.232B,,2004-03,155.60M,155.60M,491.30M,646.90M,,10.50M,10.50M,,,140.90M,798.30M,5.40M,5.40M,,,,140.10M,145.50M,943.80M,,2004-03,40.00M,2.004B,,74.60M,2.288B,,2004-03
2003-12,65.90M,,65.90M,498.60M,498.60M,73.20M,58.80M,341.80M,467.90M,58.00M,307.20M,,1.398B,0.00,406.90M,673.20M,1.080B,-475.40M,604.70M,,965.50M,965.50M,,26.10M,165.20M,1.762B,3.159B,,2003-12,137.80M,137.80M,550.40M,688.20M,,7.30M,7.30M,,,138.90M,834.40M,18.80M,18.80M,,,,151.10M,169.90M,1.004B,,2003-12,39.90M,1.868B,,96.60M,2.155B,,2003-12
2003-09,45.30M,,45.30M,433.50M,433.50M,70.80M,46.10M,347.30M,459.00M,57.00M,253.90M,,1.249B,,,,1.019B,-449.30M,569.30M,,954.50M,954.50M,,,207.00M,1.731B,2.980B,,2003-09,127.80M,127.80M,473.60M,601.40M,,8.70M,8.70M,,,124.10M,734.20M,163.60M,163.60M,,,,128.70M,292.30M,1.026B,,2003-09,19.90M,1.762B,,11.70M,1.953B,,2003-09
2003-06,47.10M,,47.10M,446.70M,446.70M,68.20M,43.60M,353.80M,460.40M,70.70M,254.00M,,1.279B,,,,1.002B,-446.90M,555.20M,,953.40M,953.40M,,,218.50M,1.727B,3.006B,,2003-06,137.70M,137.70M,438.00M,575.70M,,6.50M,6.50M,,,126.00M,708.20M,358.90M,358.90M,,,,120.30M,479.20M,1.187B,,2003-06,19.90M,1.654B,,-0.50M,1.819B,,2003-06
2003-03,39.60M,,39.60M,427.60M,427.60M,65.80M,46.80M,347.80M,455.20M,73.10M,229.40M,,1.225B,,,,958.40M,-424.00M,534.40M,,942.70M,942.70M,,,213.30M,1.690B,2.915B,,2003-03,129.00M,129.00M,376.10M,505.10M,,7.50M,7.50M,,,196.30M,708.90M,441.40M,441.40M,,,,118.00M,559.40M,1.268B,,2003-03,19.90M,1.547B,,-53.50M,1.647B,,2003-03
2002-12,37.80M,,37.80M,406.70M,406.70M,60.70M,51.80M,319.20M,426.50M,52.80M,227.50M,,1.151B,0.00,333.40M,591.30M,924.70M,-405.50M,519.20M,460.00M,475.10M,935.10M,,61.80M,148.10M,1.664B,2.816B,,2002-12,106.00M,106.00M,432.10M,538.10M,,10.70M,10.70M,,,158.70M,707.50M,491.00M,491.00M,,,,118.80M,609.80M,1.317B,,2002-12,19.80M,1.443B,,-84.90M,1.498B,,2002-12
2002-09,38.70M,,38.70M,380.30M,380.30M,67.70M,44.10M,330.80M,435.30M,55.80M,222.30M,,1.132B,,,,856.10M,-372.80M,483.30M,,892.80M,892.80M,,,214.60M,1.591B,2.723B,,2002-09,109.00M,109.00M,370.90M,479.90M,,21.70M,21.70M,,,141.60M,643.20M,595.10M,595.10M,,,,106.00M,701.10M,1.344B,,2002-09,19.80M,1.360B,,-115.10M,1.379B,,2002-09
2002-06,52.20M,,52.20M,379.50M,379.50M,64.40M,44.80M,333.40M,435.30M,54.20M,188.70M,,1.110B,,,,829.90M,-354.90M,475.00M,,826.50M,826.50M,,,188.20M,1.490B,2.600B,,2002-06,116.10M,116.10M,218.30M,334.40M,,21.30M,21.30M,,,213.50M,569.20M,596.30M,596.30M,,,,114.20M,710.50M,1.280B,,2002-06,19.70M,1.288B,,-93.90M,1.320B,,2002-06
2002-03,60.90M,,60.90M,339.00M,339.00M,65.40M,45.10M,304.40M,407.60M,59.80M,172.50M,,1.040B,,,,771.40M,-329.50M,441.90M,,790.00M,790.00M,,,183.10M,1.415B,2.455B,,2002-03,117.50M,117.50M,288.00M,405.50M,,2.10M,2.10M,,,96.50M,504.10M,703.30M,703.30M,,,,106.60M,809.90M,1.314B,,2002-03,19.70M,1.202B,,-181.60M,1.141B,,2002-03
2001-12,50.10M,,50.10M,332.10M,332.10M,61.60M,38.60M,306.90M,399.80M,39.60M,171.50M,,993.10M,0.00,287.60M,469.30M,756.90M,-312.90M,444.00M,,802.30M,802.30M,,60.40M,123.80M,1.430B,2.424B,,2001-12,108.50M,108.50M,210.10M,318.60M,,1.70M,1.70M,,,213.10M,533.40M,720.90M,720.90M,,,,113.10M,834.00M,1.367B,,2001-12,19.70M,1.121B,,-167.40M,1.056B,,2001-12
2001-09,64.00M,,64.00M,328.00M,328.00M,,,,432.00M,44.00M,175.00M,-1.00M,1.042B,,,,677.00M,-309.00M,368.00M,,905.00M,905.00M,,,98.00M,1.371B,2.413B,,2001-09,95.00M,95.00M,181.00M,276.00M,,136.00M,136.00M,72.00M,72.00M,125.00M,609.00M,672.00M,672.00M,,,,100.00M,772.00M,1.381B,,2001-09,20.00M,1.064B,,-132.00M,1.032B,,2001-09
2001-06,42.60M,,42.60M,339.10M,339.10M,59.60M,41.10M,326.70M,420.40M,46.70M,173.90M,,1.023B,,,,642.30M,-277.80M,364.50M,,791.30M,791.30M,,,211.80M,1.368B,2.390B,,2001-06,106.60M,106.60M,284.30M,390.90M,,138.40M,138.40M,,,84.10M,613.40M,745.20M,745.20M,,,,88.10M,833.30M,1.447B,,2001-06,19.60M,1.003B,,-150.60M,943.60M,,2001-06
2001-03,61.10M,,61.10M,331.50M,331.50M,58.40M,43.30M,314.80M,409.50M,47.00M,165.60M,,1.015B,,,,652.60M,-287.40M,365.20M,,814.40M,814.40M,,,210.70M,1.390B,2.405B,,2001-03,107.40M,107.40M,248.20M,355.60M,,128.90M,128.90M,64.70M,64.70M,50.40M,599.60M,831.20M,831.20M,,,,87.10M,918.30M,1.518B,,2001-03,19.60M,937.50M,,-138.60M,887.10M,,2001-03
2000-12,54.00M,,54.00M,344.00M,344.00M,59.00M,50.00M,291.00M,393.00M,37.00M,169.00M,,997.00M,,,,656.00M,-278.00M,378.00M,,839.00M,839.00M,,84.00M,132.00M,1.433B,2.43B,,2000-12,94.00M,94.00M,297.00M,391.00M,,136.00M,136.00M,34.00M,34.00M,57.00M,618.00M,876.00M,876.00M,,,,82.00M,958.00M,1.576B,,2000-12,20.00M,873.00M,,-103.00M,854.00M,,2000-12
2000-09,63.70M,,63.70M,340.60M,340.60M,57.90M,49.30M,312.80M,412.70M,37.40M,260.70M,,1.115B,,,,633.10M,-263.70M,369.40M,,852.90M,852.90M,,,201.00M,1.423B,2.538B,,2000-09,89.70M,89.70M,281.90M,371.60M,,122.30M,122.30M,85.10M,85.10M,94.00M,673.00M,992.40M,992.40M,,,,81.00M,1.073B,1.746B,,2000-09,19.60M,822.60M,,-108.30M,792.00M,,2000-09
2000-06,52.70M,,52.70M,360.30M,360.30M,54.40M,50.70M,329.80M,427.60M,42.10M,250.30M,,1.133B,,,,625.20M,-251.60M,373.60M,,883.70M,883.70M,,,192.40M,1.450B,2.583B,,2000-06,119.50M,119.50M,259.40M,378.90M,,117.30M,117.30M,66.10M,66.10M,118.10M,680.40M,1.072B,1.072B,,,,80.30M,1.153B,1.833B,,2000-06,19.50M,772.60M,,-86.90M,749.70M,,2000-06
2000-03,64.70M,,64.70M,368.00M,368.00M,52.70M,50.00M,301.00M,396.40M,42.90M,234.10M,,1.106B,,,,609.40M,-235.20M,374.20M,,888.80M,888.80M,,,193.10M,1.456B,2.562B,,2000-03,99.10M,99.10M,235.80M,334.90M,,121.50M,121.50M,58.70M,58.70M,127.40M,642.50M,1.140B,1.140B,,,,77.40M,1.218B,1.86B,,2000-03,19.50M,719.90M,,-71.50M,702.20M,,2000-03
1999-12,80.00M,3.50M,83.50M,377.70M,377.70M,57.80M,58.90M,276.70M,386.10M,36.10M,227.00M,,1.110B,0.00,219.10M,394.00M,613.10M,-221.60M,391.50M,,898.90M,898.90M,,,179.70M,1.470B,2.580B,,1999-12,110.40M,110.40M,267.80M,378.20M,,106.30M,106.30M,47.10M,47.10M,138.00M,669.60M,1.181B,1.181B,,,,58.30M,1.239B,1.909B,,1999-12,9.70M,668.10M,,-43.10M,671.50M,,1999-12
1999-09,91.10M,11.40M,102.50M,447.50M,447.50M,52.40M,60.30M,325.70M,430.90M,41.90M,170.80M,,1.194B,,,,610.70M,-213.50M,397.20M,,889.60M,889.60M,,,221.80M,1.509B,2.702B,,1999-09,117.80M,117.80M,258.70M,376.50M,,76.40M,76.40M,40.30M,40.30M,181.30M,674.50M,1.348B,1.348B,,,,54.50M,1.402B,2.077B,,1999-09,9.70M,616.50M,,-26.30M,625.60M,,1999-09
1999-06,68.20M,11.40M,79.60M,455.80M,455.80M,50.30M,56.50M,374.20M,473.50M,41.70M,148.10M,,1.199B,,,,581.30M,-194.50M,386.80M,,862.40M,862.40M,,,207.80M,1.457B,2.656B,,1999-06,98.70M,98.70M,244.90M,343.60M,,50.20M,50.20M,37.10M,37.10M,188.20M,619.10M,1.400B,1.400B,,,,53.50M,1.454B,2.073B,,1999-06,9.70M,616.40M,,-68.50M,582.80M,,1999-06
1999-03,102.60M,11.40M,114.00M,435.60M,435.60M,57.30M,56.70M,428.20M,534.70M,50.30M,155.40M,,1.29B,,,,558.30M,-167.00M,391.30M,,904.40M,904.40M,,,188.60M,1.484B,2.774B,,1999-03,128.70M,128.70M,213.40M,342.10M,,32.80M,32.80M,56.50M,56.50M,217.70M,649.10M,1.479B,1.479B,,,,45.50M,1.524B,2.173B,,1999-03,9.70M,620.10M,,-52.90M,600.90M,,1999-03
1998-12,121.30M,17.30M,138.60M,425.60M,425.60M,,,,591.00M,,,179.50M,1.335B,,,,597.20M,-167.70M,429.50M,,897.90M,897.90M,,,213.30M,1.541B,2.875B,,1998-12,162.40M,162.40M,,162.40M,,15.00M,15.00M,,,491.10M,668.50M,1.488B,1.488B,,,,46.30M,1.534B,2.203B,,1998-12,9.70M,661.40M,,-9.00M,672.60M,,1998-12
1998-09,223.10M,,223.10M,,191.20M,,,,166.00M,,,238.50M,818.80M,,,,339.90M,-156.90M,183.00M,,,,,,69.90M,252.90M,1.072B,,1998-09,51.70M,51.70M,,51.70M,,71.30M,71.30M,,,161.30M,284.30M,3.90M,3.90M,,,29.20M,28.50M,32.40M,316.70M,,1998-09,,718.90M,,,725.80M,,1998-09
1998-06,55.40M,,55.40M,,193.50M,,,,157.90M,,,366.00M,772.80M,,,,319.50M,-148.70M,170.80M,,,,,,71.90M,242.70M,1.016B,,1998-06,56.30M,56.30M,,56.30M,,70.00M,70.00M,,,143.80M,270.10M,4.40M,4.40M,,,34.10M,28.60M,33.00M,303.10M,,1998-06,,684.20M,,,678.30M,,1998-06
