,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-09,3.23B,3.296B,2.504B,792.00M,,,241.00M,23.00M,,,,494.00M,298.00M,,,66.00M,,225.00M,79.00M,146.00M,,,,,146.00M,131.08M,551.00M,253.00M,298.00M,0.55,0.0,,0.4942,0.55,0.5467,0.0,,0.4908,0.5467,267.30M,267.30M,0.1
2003-06,3.199B,3.213B,2.468B,745.00M,,,273.00M,-1.00M,,,,543.00M,202.00M,,,14.00M,,125.00M,62.00M,63.00M,189.00M,,,,252.00M,63.60M,472.00M,251.00M,202.00M,0.2367,0.7133,,0.2389,0.95,0.2367,0.7067,,0.2389,0.9433,267.00M,267.14M,0.1
2003-03,4.297B,4.297B,3.419B,878.00M,,,248.00M,60.00M,,,,543.00M,335.00M,,,110.00M,,371.00M,155.00M,216.00M,-47.00M,7.00M,,,176.00M,180.00M,630.00M,295.00M,335.00M,0.81,-0.15,0.0,0.6753,0.66,0.81,-0.15,0.0262,0.6753,0.66,267.30M,267.30M,0.1
2002-12,3.206B,3.065B,1.937B,1.128B,,,264.00M,-351.00M,,,,1.01B,118.00M,,,-348.00M,,-469.00M,-69.00M,-400.00M,29.00M,,,,-371.00M,-100.64M,-460.00M,106.00M,-725.00M,-1.5090000000000001,0.1033,,-0.3772,-1.406,-1.5090000000000001,0.1033,,-0.3772,-1.406,264.41M,264.41M,0.1
2002-09,2.724B,2.798B,1.99B,808.00M,,,214.00M,-556.00M,,,,488.00M,320.00M,,,-562.00M,,-59.00M,46.00M,-105.00M,-31.00M,,,,-136.00M,228.60M,662.00M,342.00M,320.00M,-0.3963,-0.1166,,0.8614,-0.5128,-0.3963,-0.1166,,0.8614,-0.5128,265.25M,265.25M,0.1
2002-06,2.694B,2.712B,1.842B,870.00M,,,257.00M,36.00M,,,,576.00M,294.00M,,,18.00M,,227.00M,98.00M,129.00M,20.00M,,,,149.00M,107.40M,662.00M,368.00M,294.00M,0.4862,0.0733,,0.4046,0.5594,0.4795,0.0733,,0.3992,0.5528,264.87M,268.77M,0.1
2002-03,2.958B,2.958B,2.192B,766.00M,,,223.00M,62.00M,,,,506.00M,260.00M,,,36.00M,,230.00M,102.00M,128.00M,13.00M,,,,141.00M,90.80M,562.00M,302.00M,260.00M,0.4828,0.05,,0.3434,0.5328,0.4795,0.0466,,0.34,0.5261,266.67M,266.67M,0.1
2001-12,2.521B,2.324B,1.448B,876.00M,,,313.00M,30.00M,,,,1.042B,-166.00M,,,11.00M,,-20.00M,24.00M,-44.00M,,,,,54.00M,-62.00M,211.00M,169.00M,42.00M,-0.1634,0.3733,,-0.232,0.2099,-0.1634,0.3667,,-0.2312,0.2099,262.53M,265.35M,0.1
2001-09,2.888B,2.934B,2.173B,761.00M,,,232.00M,35.00M,,,,486.00M,275.00M,,,46.00M,,224.00M,57.00M,167.00M,,,,,167.00M,140.91M,529.00M,254.00M,275.00M,0.6327,0.0,,0.5341,0.6327,0.6194,0.0,,0.5222,0.6194,264.66M,268.47M,0.1
2001-06,3.461B,3.565B,2.536B,1.029B,,,210.00M,53.00M,,,,439.00M,590.00M,,,104.00M,,549.00M,192.00M,357.00M,,,,,357.00M,322.54M,819.00M,229.00M,590.00M,1.3419999999999999,0.0,,1.212,1.3419999999999999,1.325,0.0,,1.197,1.325,265.49M,269.20M,0.1
2001-03,4.182B,4.229B,3.226B,1.003B,,,218.00M,33.00M,,,,399.00M,604.00M,,,47.00M,,564.00M,227.00M,337.00M,,,,,337.00M,317.20M,785.00M,181.00M,604.00M,1.2770000000000001,0.0,,1.202,1.2770000000000001,1.263,0.0,,1.189,1.263,266.70M,266.75M,0.1
2000-12,3.685B,3.685B,2.293B,1.392B,,,229.00M,0.00,,,,950.00M,442.00M,,,121.00M,,520.00M,180.00M,340.00M,,,,,340.00M,340.00M,924.00M,198.00M,726.00M,1.2830000000000001,0.0,,1.2830000000000001,1.2830000000000001,1.27,0.0,,1.27,1.27,256.96M,266.51M,0.05
2000-09,2.833B,2.833B,2.032B,801.00M,,,207.00M,54.00M,,,,383.00M,418.00M,,,54.00M,,430.00M,173.00M,257.00M,,,,,257.00M,224.60M,594.00M,175.00M,418.00M,0.9633,0.0,,0.8431,0.9633,0.9533,0.0,,0.8331,0.9533,269.40M,269.58M,0.05
2000-06,2.644B,2.644B,1.987B,657.00M,,,173.00M,70.00M,,,,340.00M,317.00M,,,70.00M,,348.00M,146.00M,202.00M,,,,,202.00M,160.00M,484.00M,167.00M,317.00M,0.75,0.0,,0.5953,0.75,0.7467,0.0,,0.592,0.7467,271.50M,271.50M,0.05
2000-03,2.831B,2.831B,2.127B,704.00M,,,157.00M,39.00M,,,,331.00M,373.00M,,,39.00M,,374.00M,150.00M,224.00M,,,,,224.00M,200.60M,547.00M,174.00M,373.00M,0.83,0.0,,0.7438,0.83,0.8233,0.0,,0.7373,0.8233,271.50M,272.06M,0.05
1999-12,2.269B,2.269B,1.119B,1.150B,,,147.20M,-96.90M,,,,840.20M,309.60M,,,-89.90M,,177.70M,46.30M,131.50M,,,,,131.50M,203.15M,818.60M,215.00M,603.60M,0.4878,0.0,,0.7592,0.4878,0.4845,0.0,,0.7488,0.4845,263.97M,271.03M,0.05
1999-09,1.802B,1.802B,1.278B,523.70M,,,178.10M,172.60M,,,,337.60M,186.10M,,,172.60M,,320.00M,161.50M,158.50M,,,,,158.50M,54.94M,345.60M,159.00M,186.10M,0.5894,0.0,,0.2085,0.5894,0.5828,0.0,,0.2018,0.5828,271.86M,271.86M,0.05
1999-06,1.43B,1.43B,1.096B,334.00M,,,150.00M,100.00M,,,,286.00M,48.00M,,,100.00M,,110.00M,32.00M,78.00M,,,,,78.00M,7.091M,184.70M,136.70M,48.00M,0.2864,0.0,,0.026,0.2864,0.2864,0.0,,0.026,0.2864,272.37M,272.37M,0.05
1999-03,1.539B,1.539B,1.234B,304.50M,,,144.00M,111.40M,,,,282.30M,22.20M,,,111.40M,,94.40M,23.90M,70.60M,,,,,70.60M,-12.60M,160.50M,138.30M,22.20M,0.2631,0.0,,-0.0452,0.2631,0.2631,0.0,,-0.0452,0.2631,269.87M,269.87M,0.05
1998-12,1.617B,1.617B,1.42B,197.30M,,,183.70M,-519.70M,,,,359.70M,-162.40M,,,-519.70M,,-519.20M,-100.80M,-418.40M,,,,,-418.40M,0.4029M,13.60M,176.00M,-162.40M,-1.555,0.0,,0.031,-1.555,-1.555,0.0,,0.031,-1.555,264.05M,264.05M,0.05
1998-09,1.528B,1.528B,1.150B,378.70M,,,156.00M,23.60M,,,,367.50M,11.20M,,,23.60M,,-6.80M,-0.50M,-6.30M,,,,,-6.30M,-28.16M,222.70M,159.60M,11.20M,-0.0233,0.0,,-0.1042,-0.0233,-0.0233,0.0,,-0.1042,-0.0233,270.27M,270.27M,0.05
1998-06,1.608B,1.608B,1.308B,300.60M,,,152.60M,26.70M,,,,314.80M,-14.20M,,,26.70M,,-20.80M,0.90M,-21.70M,,,,,-21.70M,-37.72M,148.00M,162.20M,-14.20M,-0.0799,0.0,,-0.1389,-0.0799,-0.0799,0.0,,-0.1389,-0.0799,271.52M,271.52M,0.05
