,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-12,260.73M,,260.73M,243.40M,,375.92M,202.35M,6.60M,66.99M,,213.40M,13.04M,22.12M,,885.21M,0.00,98.07M,341.34M,2.666B,25.32M,53.01M,3.184B,-2.001B,1.183B,38.85M,11.79M,50.64M,,,34.48M,1.268B,2.153B,,126.81M,15.45M,0.00,142.26M,119.07M,261.33M,,,109.00M,109.00M,0.626M,109.63M,,370.96M,548.75M,22.50M,571.25M,205.23M,205.23M,78.86M,,27.70M,883.04M,1.254B,,1.03M,546.36M,387.50M,,,4.512M,-40.55M,,,-36.04M,898.84M,,AOR,Restated
2009-09,224.29M,,224.29M,274.03M,106.38M,380.41M,193.68M,7.371M,65.34M,,208.74M,13.96M,20.11M,,847.50M,,,,,,,,,1.178B,38.85M,11.99M,50.85M,,,35.56M,1.264B,2.112B,,116.73M,15.44M,,132.18M,126.52M,258.69M,,,109.00M,109.00M,0.615M,109.62M,,368.31M,548.66M,22.66M,571.32M,210.71M,210.71M,79.49M,,29.36M,890.88M,1.259B,,1.03M,503.12M,385.35M,,,4.973M,-42.16M,,,-37.18M,852.32M,,AOR,Restated
2009-06,192.94M,,192.94M,263.45M,62.46M,335.20M,188.59M,7.528M,65.58M,,206.89M,19.79M,11.53M,,766.36M,,,,,,,,,1.195B,37.16M,12.20M,49.36M,,,35.66M,1.280B,2.046B,,121.45M,15.38M,,136.82M,104.58M,241.41M,,,109.00M,109.00M,0.604M,109.60M,,351.01M,548.58M,22.82M,571.40M,212.06M,212.06M,89.67M,,28.52M,901.64M,1.253B,,1.029M,445.90M,384.36M,,,5.435M,-43.02M,,,-37.58M,793.71M,,AOR,Restated
2009-03,140.02M,,140.02M,255.32M,,255.32M,192.10M,6.551M,63.77M,,205.45M,12.14M,2.537M,,615.47M,,,,,,,,,1.211B,37.16M,12.42M,49.59M,,,36.33M,1.297B,1.912B,,116.76M,15.36M,,132.12M,94.76M,226.88M,,,109.00M,109.00M,0.594M,109.59M,,336.47M,548.49M,22.98M,571.46M,191.37M,191.37M,89.01M,,27.93M,879.77M,1.216B,,1.024M,352.39M,380.48M,,,5.896M,-43.88M,,,-37.98M,695.92M,,AOR,Restated
2008-12,149.40M,,149.40M,254.90M,,254.90M,201.01M,6.56M,65.21M,,206.95M,6.684M,15.24M,,633.17M,0.00,98.94M,335.12M,2.589B,26.46M,50.31M,3.100B,-1.879B,1.221B,37.16M,12.67M,49.83M,,,35.72M,1.307B,1.940B,,101.06M,30.72M,,131.78M,120.59M,252.38M,,,109.00M,109.00M,0.606M,109.61M,,361.98M,548.40M,23.13M,571.53M,208.88M,208.88M,85.96M,,27.44M,893.81M,1.256B,,1.024M,342.07M,379.10M,,,6.358M,-44.61M,,,-38.25M,683.95M,,AOR,Restated
2008-09,147.97M,,147.97M,305.89M,,305.89M,101.04M,7.384M,73.85M,90.82M,209.15M,13.81M,23.71M,,700.54M,,,,,,,3.005B,-1.805B,1.200B,37.16M,12.94M,50.10M,,,38.35M,1.289B,1.989B,,138.32M,,,138.32M,128.05M,266.37M,,,,109.06M,,109.06M,31.10M,406.52M,548.31M,,548.31M,237.83M,237.83M,,,63.80M,849.94M,1.256B,,1.035M,345.92M,398.05M,0.012M,,,,,,-12.02M,732.97M,,,Restated
2008-06,297.60M,,297.60M,295.34M,,295.34M,93.49M,7.976M,73.14M,87.78M,205.04M,19.84M,15.90M,,833.73M,,,,,,,3.010B,-1.805B,1.205B,37.16M,13.21M,50.37M,,,38.42M,1.294B,2.128B,,133.29M,,,133.29M,124.75M,258.04M,,,,259.09M,,259.09M,31.16M,548.29M,548.23M,,548.23M,238.84M,238.84M,,,68.32M,855.38M,1.404B,,1.035M,338.91M,395.92M,,,,,,,-12.00M,723.86M,,,Restated
2008-03,310.37M,,310.37M,278.78M,,278.78M,93.36M,7.494M,72.19M,85.03M,204.09M,16.99M,9.536M,,819.76M,,,,,,,3.017B,-1.805B,1.212B,37.16M,13.48M,50.64M,,,38.59M,1.301B,2.121B,,146.73M,,,146.73M,87.35M,234.09M,,,,258.78M,,258.78M,31.27M,524.14M,548.49M,,548.49M,240.60M,240.60M,,,71.00M,860.09M,1.384B,,1.042M,334.87M,412.58M,,,,,,,-11.83M,736.66M,,,Restated
2007-12,228.14M,,228.14M,275.92M,,275.92M,176.39M,6.709M,71.98M,,204.36M,6.702M,17.92M,,733.04M,0.00,95.00M,329.15M,2.500B,28.98M,66.73M,3.020B,-1.805B,1.215B,37.16M,13.75M,50.92M,,,36.61M,1.303B,2.036B,,132.20M,31.53M,,163.73M,120.10M,283.83M,,,278.57M,278.57M,0.18M,278.75M,,562.58M,398.48M,0.022M,398.50M,240.71M,240.71M,48.28M,,24.93M,712.42M,1.275B,,1.05M,334.06M,432.92M,,,13.15M,-20.31M,-0.003M,,-7.165M,760.86M,,,Restated
2007-09,194.15M,,194.15M,300.37M,,300.37M,86.42M,6.695M,66.11M,86.14M,202.67M,10.78M,18.95M,,726.92M,,,,,,,2.895B,-1.686B,1.209B,37.16M,14.03M,51.19M,,,34.68M,1.294B,2.021B,,135.41M,,,135.41M,110.02M,245.44M,,,,278.71M,,278.71M,26.34M,550.48M,398.46M,,398.46M,240.98M,240.98M,,,73.72M,713.16M,1.264B,,1.054M,321.60M,444.12M,,,,,-0.003M,-9.05M,-9.053M,757.72M,,,
2007-06,208.08M,,208.08M,289.12M,,289.12M,81.80M,7.218M,67.60M,84.96M,198.73M,15.82M,16.33M,,728.07M,,,,,,,2.906B,-1.686B,1.220B,37.16M,14.31M,51.47M,,,35.74M,1.307B,2.035B,,133.76M,,,133.76M,121.63M,255.38M,,,,119.15M,,119.15M,26.31M,400.85M,567.93M,,567.93M,240.03M,240.03M,,,87.77M,895.73M,1.297B,,1.055M,299.27M,446.70M,,,,,-0.003M,-8.726M,-8.729M,738.30M,,,
2007-03,147.29M,,147.29M,275.29M,,275.29M,90.69M,5.678M,66.34M,82.74M,200.44M,14.69M,11.14M,,648.86M,,,,,,,2.922B,-1.686B,1.236B,37.16M,14.58M,51.75M,,,36.18M,1.324B,1.973B,,125.93M,,,125.93M,90.38M,216.31M,,,,119.15M,,119.15M,26.24M,361.71M,567.85M,,567.85M,245.22M,245.22M,,,88.29M,901.36M,1.263B,,1.05M,279.35M,437.64M,,,,,-0.003M,-8.401M,-8.404M,709.64M,,,
2006-12,161.84M,,161.84M,263.16M,,263.16M,87.24M,5.021M,63.63M,83.43M,195.95M,6.473M,19.30M,,646.72M,0.00,92.21M,325.26M,2.451B,33.34M,36.21M,2.938B,-1.686B,1.252B,37.20M,14.71M,51.91M,,,36.06M,1.340B,1.987B,,119.40M,,,119.40M,123.64M,243.04M,,,,119.15M,,119.15M,26.15M,388.34M,567.77M,,567.77M,260.97M,260.97M,,,78.13M,906.87M,1.295B,,1.046M,269.30M,429.51M,,,,,-0.003M,-8.076M,-8.079M,691.77M,,,
2006-09,118.23M,,118.23M,277.66M,,277.66M,87.99M,6.136M,63.92M,82.43M,200.64M,10.00M,24.62M,,631.15M,,,,,,,2.824B,-1.564B,1.259B,37.11M,28.93M,66.04M,,,35.98M,1.361B,1.992B,,126.88M,,,126.88M,123.97M,250.86M,,,,119.15M,,119.15M,26.11M,396.11M,567.69M,,567.69M,278.94M,278.94M,,,50.90M,897.52M,1.294B,,1.045M,255.39M,425.29M,,,,,,,17.03M,698.76M,,,
2006-06,94.08M,,94.08M,263.70M,,263.70M,87.20M,6.277M,64.49M,81.41M,194.34M,14.66M,21.80M,,588.58M,,,,,,,2.849B,-1.564B,1.285B,37.03M,29.36M,66.39M,,,36.35M,1.388B,1.976B,,131.47M,,,131.47M,110.17M,241.63M,,,,118.14M,,118.14M,25.95M,385.73M,577.61M,,577.61M,283.51M,283.51M,,,54.76M,915.87M,1.302B,,1.041M,237.74M,417.99M,,,,,-0.004M,17.81M,17.81M,674.59M,,,
2006-03,67.86M,,67.86M,233.17M,,233.17M,88.28M,5.292M,60.97M,75.30M,185.98M,11.62M,22.99M,,521.61M,,,,,,,2.864B,-1.564B,1.300B,34.21M,29.24M,63.46M,,,36.45M,1.400B,1.921B,,116.49M,,,116.49M,75.25M,191.74M,,,,118.03M,,118.03M,25.95M,335.72M,577.28M,,577.28M,288.46M,288.46M,,,53.02M,918.77M,1.254B,,1.038M,231.45M,415.66M,,,,,-0.004M,18.59M,18.59M,666.74M,,,
2005-12,112.67M,,112.67M,213.18M,,213.18M,88.81M,5.119M,61.99M,76.20M,191.83M,6.836M,28.98M,,553.49M,0.00,87.50M,327.22M,2.401B,34.71M,34.05M,2.885B,-1.564B,1.321B,,63.71M,63.71M,,,35.58M,1.420B,1.973B,,124.85M,,,124.85M,102.17M,227.02M,,,,118.03M,,118.03M,27.04M,372.09M,577.17M,,577.17M,292.71M,292.71M,,,49.90M,919.78M,1.292B,,1.037M,248.40M,418.62M,,,,,,,13.36M,681.42M,,,
2005-09,184.43M,,184.43M,227.94M,,227.94M,82.28M,5.761M,62.22M,72.60M,187.64M,11.61M,29.75M,,641.38M,,,,,,,2.776B,-1.437B,1.339B,,53.99M,53.99M,,,36.43M,1.429B,2.071B,,142.20M,,,142.20M,98.65M,240.85M,,,,118.03M,,118.03M,,358.88M,577.06M,,577.06M,297.44M,297.44M,,,38.50M,913.00M,1.272B,,1.081M,273.79M,510.37M,,,,,-0.004M,13.60M,13.59M,798.83M,,,
2005-06,165.45M,,165.45M,235.83M,,235.83M,81.41M,6.455M,62.70M,69.75M,187.26M,26.92M,29.38M,,644.85M,,,,,,,2.785B,-1.437B,1.348B,,54.17M,54.17M,,,38.23M,1.441B,2.085B,,140.46M,,,140.46M,93.54M,234.00M,,,,109.03M,,109.03M,,343.03M,585.95M,,585.95M,299.24M,299.24M,,,43.68M,928.88M,1.272B,,1.08M,290.25M,508.45M,7.157M,,,,-0.004M,20.92M,20.92M,813.54M,,,
2005-03,180.20M,,180.20M,227.40M,,227.40M,87.36M,6.236M,63.51M,66.65M,184.49M,15.38M,53.36M,,660.83M,,,,,,,2.782B,-1.437B,1.345B,,21.93M,21.93M,,,39.27M,1.406B,2.067B,,147.37M,,,147.37M,71.91M,219.28M,,,,109.10M,,109.10M,,328.38M,585.84M,,585.84M,301.98M,301.98M,,,41.64M,929.45M,1.258B,,1.074M,289.43M,499.23M,,,,,-0.006M,19.15M,19.15M,808.89M,,,
2004-12,213.32M,,213.32M,216.59M,,216.59M,79.75M,5.988M,60.94M,67.89M,179.35M,8.685M,59.11M,,677.06M,0.00,85.76M,314.78M,2.311B,35.27M,35.58M,2.782B,-1.437B,1.345B,,22.11M,22.11M,,,38.45M,1.406B,2.083B,,128.95M,,,128.95M,96.98M,225.94M,,,,109.17M,,109.17M,,335.10M,585.72M,,585.72M,306.57M,306.57M,,,37.81M,930.10M,1.265B,,1.07M,303.66M,492.66M,,,,,-0.006M,20.18M,20.18M,817.57M,,,
2004-09,119.37M,,119.37M,226.07M,,226.07M,82.05M,6.624M,59.42M,64.36M,175.87M,12.98M,23.71M,,557.99M,,,,,,,2.655B,-1.302B,1.353B,,20.40M,20.40M,,,37.04M,1.411B,1.969B,,116.98M,,,116.98M,93.46M,210.43M,,,,109.10M,,109.10M,,319.53M,585.61M,,585.61M,234.68M,234.68M,,,32.24M,852.53M,1.172B,,1.069M,283.44M,491.49M,,,,,0.028M,20.77M,20.80M,796.80M,,,
2004-06,91.18M,,91.18M,206.89M,,206.89M,77.10M,5.804M,56.79M,63.68M,166.25M,16.26M,24.08M,,504.67M,,,,,,,2.673B,-1.302B,1.372B,,19.79M,19.79M,,,39.14M,1.430B,1.935B,,114.24M,,,114.24M,84.75M,198.99M,,,,109.10M,,109.10M,,308.09M,585.57M,,585.57M,226.36M,226.36M,,,33.57M,845.50M,1.154B,,1.064M,273.80M,485.37M,,,,,0.028M,21.30M,21.33M,781.57M,,,
2004-03,87.59M,,87.59M,188.87M,,188.87M,86.08M,5.89M,49.69M,62.40M,164.02M,18.24M,24.20M,,482.91M,,,,,,,2.686B,-1.302B,1.384B,,19.99M,19.99M,,,38.92M,1.443B,1.926B,,123.96M,,,123.96M,78.00M,201.96M,,,,109.10M,,109.10M,,311.06M,585.46M,,585.46M,218.26M,218.26M,,,30.70M,834.42M,1.145B,,1.062M,276.12M,479.89M,,,,,,,23.68M,780.75M,,,
2003-12,172.02M,,172.02M,190.86M,,190.86M,75.80M,4.895M,54.26M,63.92M,166.31M,7.635M,29.70M,,566.53M,0.00,80.24M,306.75M,2.219B,36.41M,31.63M,2.674B,-1.302B,1.373B,,5.495M,5.495M,,,40.27M,1.419B,1.985B,,126.92M,,,126.92M,103.29M,230.21M,,,,112.76M,,112.76M,,342.98M,585.20M,,585.20M,230.95M,230.95M,,,28.52M,844.67M,1.188B,,1.056M,298.87M,473.10M,,,,,0.023M,24.44M,24.46M,797.48M,,,
2003-09,116.65M,,116.65M,202.46M,,202.46M,76.67M,5.519M,52.88M,61.80M,166.48M,30.60M,54.24M,,570.44M,,,,,,,2.550B,-1.173B,1.376B,,3.764M,3.764M,,,41.05M,1.421B,1.992B,,97.06M,,,97.06M,94.99M,192.05M,,,,109.07M,,109.07M,,301.12M,599.70M,,599.70M,267.52M,267.52M,,,19.99M,887.21M,1.188B,,1.047M,314.53M,462.44M,,,,,-0.009M,25.25M,25.24M,803.26M,,,
2003-06,131.45M,,131.45M,193.75M,,193.75M,76.86M,5.471M,52.54M,60.85M,164.55M,54.84M,10.10M,,554.70M,,,,2.562B,,,2.562B,-1.173B,1.389B,,3.794M,3.794M,,,56.49M,1.449B,2.004B,,91.40M,,,91.40M,86.22M,177.62M,,,,109.07M,,109.07M,,286.70M,629.14M,,629.14M,256.16M,256.16M,,,19.57M,904.87M,1.192B,,1.043M,346.87M,459.30M,3.364M,,,,,,8.282M,812.13M,,,
2003-03,140.02M,,140.02M,190.08M,,190.08M,77.29M,5.688M,51.46M,60.44M,161.59M,35.88M,15.26M,,542.83M,,,,,,,2.569B,-1.173B,1.396B,,3.765M,3.765M,,,58.30M,1.458B,2.001B,,96.51M,,,96.51M,95.12M,191.63M,,,,109.07M,,109.07M,,300.70M,629.13M,,629.13M,248.64M,248.64M,,,19.30M,897.08M,1.198B,,1.047M,336.19M,466.33M,0.373M,,,,,,-0.415M,802.78M,,,
2002-12,131.30M,,131.30M,175.72M,,175.72M,73.73M,5.423M,49.31M,61.57M,160.55M,22.60M,19.38M,,509.55M,0.00,75.01M,298.62M,2.147B,33.58M,27.98M,2.582B,-1.173B,1.409B,,3.854M,3.854M,,,60.16M,1.473B,1.983B,,85.81M,,,85.81M,97.90M,183.71M,,,,113.09M,,113.09M,,296.81M,629.12M,,629.12M,241.37M,241.37M,,,19.38M,889.87M,1.187B,,1.045M,329.06M,466.91M,0.334M,,,,,,-0.812M,795.88M,,,
2002-09,129.69M,,129.69M,201.54M,,201.54M,71.63M,5.273M,48.17M,59.03M,157.70M,18.73M,40.37M,,548.03M,,,,,,,2.477B,-1.065B,1.412B,,3.942M,3.942M,,,63.31M,1.479B,2.027B,,94.83M,,,94.83M,112.97M,207.81M,,,,0.094M,,0.094M,,207.90M,768.11M,,768.11M,245.91M,245.91M,,,18.84M,1.033B,1.241B,,1.047M,316.70M,470.57M,0.593M,,,,,,-1.615M,786.11M,,,
2002-06,89.43M,,89.43M,205.46M,,205.46M,64.66M,5.535M,49.85M,58.06M,152.80M,24.00M,15.47M,,487.15M,,,,,,,2.496B,-1.065B,1.430B,,4.03M,4.03M,,,63.10M,1.497B,1.984B,,100.20M,,,100.20M,72.59M,172.80M,,,,0.094M,,0.094M,13.84M,186.73M,777.17M,,777.17M,213.95M,213.95M,,,18.33M,1.009B,1.196B,,1.056M,302.11M,487.16M,,,,,,,-2.136M,788.19M,,,
2002-03,77.42M,,77.42M,188.40M,,188.40M,78.20M,5.796M,46.23M,57.57M,160.39M,18.17M,14.99M,,459.36M,,,,,,,2.506B,-1.065B,1.440B,,4.097M,4.097M,,,64.95M,1.509B,1.969B,,96.22M,,,96.22M,93.94M,190.17M,,,,0.081M,,0.081M,,190.25M,777.17M,,777.17M,204.30M,204.30M,,,19.96M,1.001B,1.192B,,1.054M,290.51M,486.79M,,,,,,,-1.353M,777.00M,,,
2001-12,82.46M,,82.46M,170.18M,,170.18M,82.54M,5.989M,46.94M,58.12M,170.17M,12.06M,13.35M,,448.22M,0.00,71.94M,292.57M,2.071B,36.10M,45.00M,2.517B,-1.065B,1.451B,,4.037M,4.037M,,,68.30M,1.524B,1.972B,,93.87M,,,93.87M,97.97M,191.84M,,,,0.054M,,0.054M,,191.90M,795.16M,,795.16M,194.45M,194.45M,,,20.44M,1.010B,1.202B,,1.056M,280.89M,490.92M,0.056M,,,,,,-2.967M,769.83M,,,
2001-09,65.30M,,65.30M,222.65M,,222.65M,66.74M,6.66M,52.62M,55.04M,157.35M,10.49M,17.71M,,473.50M,,,,2.408B,,,2.408B,-954.98M,1.453B,,3.681M,3.681M,,,73.11M,1.529B,2.003B,,113.99M,,,113.99M,118.45M,232.43M,,,,0.07M,,0.07M,,232.50M,816.14M,,816.14M,184.61M,184.61M,,,22.61M,1.023B,1.256B,,1.059M,262.50M,493.30M,6.361M,,,,,,-3.44M,747.05M,,,
2001-06,15.69M,,15.69M,208.60M,,208.60M,63.45M,7.061M,52.89M,51.77M,152.19M,14.08M,14.22M,,404.78M,,,,2.405B,,,2.405B,-954.98M,1.450B,,3.748M,3.748M,,,76.23M,1.530B,1.935B,,101.72M,,,101.72M,81.23M,182.95M,,0.07M,,0.07M,,0.07M,,183.02M,816.20M,,816.20M,173.07M,173.07M,,,18.52M,1.008B,1.191B,,1.065M,233.35M,511.14M,1.256M,,,,,,-0.314M,743.98M,,,
2001-03,46.27M,,46.27M,203.98M,,203.98M,66.72M,6.083M,54.57M,50.82M,153.26M,11.37M,8.30M,,423.18M,,,,2.398B,,,2.398B,-954.98M,1.443B,,1.701M,1.701M,,,78.78M,1.524B,1.947B,,100.20M,,,100.20M,94.07M,194.26M,,0.07M,,0.07M,,0.07M,,194.33M,858.18M,,858.18M,161.04M,161.04M,,,17.62M,1.037B,1.231B,,1.065M,202.09M,513.67M,0.314M,,,,,,-0.857M,715.65M,,,
2000-12,7.892M,,7.892M,215.99M,,215.99M,,,,,159.71M,,,20.11M,403.71M,,,,2.411B,,,2.411B,-954.98M,1.456B,,1.758M,1.758M,,,80.65M,1.538B,1.942B,,113.70M,,,113.70M,,113.70M,,,,0.239M,,0.239M,104.61M,218.55M,869.18M,,869.18M,151.73M,151.73M,,,15.24M,1.036B,1.255B,,1.062M,174.47M,512.21M,0.314M,,,,,,,687.42M,,,
2000-09,36.67M,,36.67M,,,227.78M,,,,,159.56M,,,12.09M,436.09M,,,,,,,2.560B,-929.49M,1.630B,,1.362M,1.362M,,,96.96M,1.729B,2.165B,,109.58M,,,109.58M,,109.58M,,,,12.36M,,12.36M,126.37M,248.30M,1.194B,,1.194B,91.58M,91.58M,,,7.59M,1.293B,1.542B,,1.061M,111.10M,511.31M,0.314M,,,,,,,623.16M,,,
2000-06,4.377M,,4.377M,,,229.99M,,,,,155.24M,,,25.08M,414.70M,,,,,,,2.540B,-902.02M,1.638B,,1.419M,1.419M,,,100.20M,1.740B,2.155B,,110.04M,,,110.04M,,110.04M,,,,42.11M,,42.11M,80.25M,232.40M,1.233B,,1.233B,99.10M,99.10M,,,7.593M,1.340B,1.572B,,1.058M,71.09M,510.40M,,,,,,,,582.55M,,,
2000-03,24.28M,,24.28M,,,219.38M,,,,,160.35M,,,18.38M,422.39M,,,,,,,2.505B,-870.81M,1.634B,,1.475M,1.475M,,,98.57M,1.734B,2.157B,,114.46M,,,114.46M,,114.46M,,,,0.07M,,0.07M,88.37M,202.91M,1.316B,,1.316B,80.97M,80.97M,,,7.332M,1.405B,1.607B,,1.058M,37.81M,510.56M,,,,,,,,549.44M,,,
1999-12,10.30M,,10.30M,,,209.10M,,,,,163.90M,,,19.60M,402.90M,,,,,,,2.505B,-842.50M,1.663B,,1.50M,1.50M,,,86.20M,1.750B,2.153B,,127.40M,,,127.40M,,127.40M,,,,0.80M,,0.80M,99.30M,227.50M,1.329B,,1.329B,69.80M,69.80M,,,7.50M,1.406B,1.634B,,103.40M,31.20M,384.50M,,102.50M,,,,,,519.20M,,,
