,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-04,48.00M,,,,,148.00M,,148.00M,148.00M,-13.00M,,,,25.00M,,-11.00M,41.00M,-114.00M,-212.00M,,9.00M,-276.00M,-79.00M,-160.00M,,,0.00,0.00,,-159.00M,13.00M,,13.00M,,-81.00M,-81.00M,-168.00M,-168.00M,1.00M,-8.00M,-243.00M,1.515B,-481.00M,-2.00M,1.032B,,21.00M,-8.00M,-81.00M
2018-01,664.00M,,0.00,,45.00M,145.00M,,145.00M,145.00M,-119.00M,,0.00,0.00,28.00M,,-12.00M,-22.00M,479.00M,70.00M,,-10.00M,517.00M,1.268B,-108.00M,,,,,18.00M,-117.00M,-37.00M,,-37.00M,,-163.00M,-163.00M,-170.00M,-170.00M,1.00M,0.00,-369.00M,735.00M,782.00M,-2.00M,1.515B,,524.00M,-561.00M,-163.00M
2017-10,86.00M,,0.00,,0.00,144.00M,,144.00M,144.00M,-1.00M,,0.00,0.00,24.00M,,-11.00M,-41.00M,-598.00M,236.00M,,78.00M,-325.00M,-83.00M,-227.00M,,,,,-4.00M,-231.00M,16.00M,,16.00M,,-151.00M,-151.00M,-172.00M,-172.00M,0.00,-2.00M,-309.00M,1.36B,-623.00M,-2.00M,735.00M,,31.00M,-15.00M,-151.00M
2017-07,139.00M,,-11.00M,,-11.00M,140.00M,,140.00M,140.00M,7.00M,,,0.00,25.00M,,-12.00M,-30.00M,34.00M,-107.00M,,29.00M,-74.00M,214.00M,-207.00M,,,,,-5.00M,-195.00M,20.00M,,20.00M,,-47.00M,-47.00M,-172.00M,-172.00M,1.00M,-21.00M,-219.00M,1.555B,-200.00M,5.00M,1.36B,,27.00M,-7.00M,-47.00M
2017-04,94.00M,,-9.00M,,-9.00M,142.00M,,142.00M,142.00M,5.00M,,,,25.00M,,-12.00M,80.00M,-52.00M,-189.00M,,-77.00M,-238.00M,7.00M,-165.00M,,,,,,-155.00M,8.00M,,8.00M,,-85.00M,-85.00M,-172.00M,-172.00M,36.00M,-17.00M,-230.00M,1.934B,-378.00M,-1.00M,1.555B,,9.00M,-1.00M,-85.00M
2017-01,632.00M,,0.00,,0.00,,,140.00M,140.00M,101.00M,,,,26.00M,,-11.00M,31.00M,557.00M,-2.00M,,105.00M,691.00M,1.579B,-165.00M,,,0.00,0.00,50.00M,-112.00M,13.00M,,13.00M,,-25.00M,-25.00M,-172.00M,-172.00M,3.00M,-3.00M,-184.00M,654.00M,1.283B,-3.00M,1.934B,,15.00M,-2.00M,-25.00M
2016-10,121.00M,,-4.00M,,-4.00M,,,133.00M,133.00M,-6.00M,,,,24.00M,,-12.00M,-60.00M,-450.00M,186.00M,,-29.00M,-353.00M,-97.00M,-328.00M,,,-2.00M,0.00,-2.00M,-327.00M,6.00M,,6.00M,,-25.00M,-25.00M,-173.00M,-173.00M,4.00M,-7.00M,-195.00M,1.273B,-619.00M,0.00,654.00M,,10.00M,-4.00M,-25.00M
2016-07,253.00M,,-108.00M,,-72.00M,,,124.00M,124.00M,0.00,,,,25.00M,,-12.00M,-18.00M,58.00M,214.00M,,-21.00M,233.00M,551.00M,-310.00M,,,0.00,0.00,11.00M,-189.00M,-46.00M,,-46.00M,,-125.00M,-125.00M,-173.00M,-173.00M,3.00M,-10.00M,-351.00M,1.267B,11.00M,-5.00M,1.273B,,696.00M,-742.00M,-125.00M
2016-04,152.00M,,-4.00M,,-4.00M,,,121.00M,121.00M,15.00M,,,,21.00M,,-11.00M,3.00M,-135.00M,-250.00M,,45.00M,-337.00M,-43.00M,-187.00M,,,-31.00M,10.00M,2.00M,-205.00M,6.00M,,6.00M,,-260.00M,-260.00M,-750.00M,-750.00M,10.00M,-41.00M,-1.035B,2.548B,-1.283B,2.00M,1.267B,,6.00M,0.00,-260.00M
2016-01,636.00M,0.00,,,-1.00M,,,122.00M,122.00M,8.00M,,,,24.00M,65.00M,-11.00M,20.00M,494.00M,304.00M,,104.00M,922.00M,1.765B,-124.00M,,,0.00,0.00,4.00M,-111.00M,2.00M,,2.00M,,-120.00M,-120.00M,-145.00M,-145.00M,2.00M,-153.00M,-414.00M,1.311B,1.24B,-3.00M,2.548B,,2.00M,0.00,-120.00M
2015-10,164.00M,0.00,,0.00,0.00,,,111.00M,111.00M,-4.00M,,,,23.00M,-4.00M,-11.00M,-24.00M,-515.00M,151.00M,,-4.00M,-392.00M,-113.00M,-245.00M,,,0.00,40.00M,60.00M,-145.00M,993.00M,,993.00M,,-68.00M,-68.00M,-146.00M,-146.00M,8.00M,2.00M,789.00M,780.00M,531.00M,0.00,1.311B,,993.00M,0.00,-68.00M
2015-07,203.00M,0.00,,,3.00M,,,113.00M,113.00M,-4.00M,,,,24.00M,-13.00M,-10.00M,-19.00M,29.00M,178.00M,,27.00M,215.00M,531.00M,-226.00M,,,0.00,0.00,135.00M,-91.00M,0.00,,0.00,,-181.00M,-181.00M,-146.00M,-146.00M,4.00M,13.00M,-310.00M,649.00M,130.00M,1.00M,780.00M,,0.00,0.00,-181.00M
2015-04,250.00M,-78.00M,,,-78.00M,,,111.00M,111.00M,11.00M,,,,26.00M,-48.00M,-10.00M,13.00M,-100.00M,-365.00M,,34.00M,-418.00M,-156.00M,-132.00M,,,85.00M,-50.00M,1.00M,-96.00M,0.00,,0.00,,-114.00M,-114.00M,-734.00M,-734.00M,19.00M,48.00M,-781.00M,1.681B,-1.033B,1.00M,649.00M,,0.00,,-114.00M
2015-01,565.00M,0.00,,,0.00,,,111.00M,111.00M,40.00M,,,,23.00M,-2.00M,-10.00M,21.00M,442.00M,143.00M,,83.00M,689.00M,1.416B,-130.00M,,,0.00,0.00,1.00M,-129.00M,-213.00M,,-213.00M,,-39.00M,-39.00M,-100.00M,-100.00M,7.00M,1.00M,-344.00M,745.00M,943.00M,-7.00M,1.681B,,0.00,-213.00M,-39.00M
2014-10,132.00M,0.00,,,0.00,,,108.00M,108.00M,-9.00M,,,,22.00M,-4.00M,-10.00M,-41.00M,-412.00M,179.00M,,-41.00M,-315.00M,-76.00M,-236.00M,,,0.00,0.00,0.00,-236.00M,0.00,,0.00,,0.00,0.00,-100.00M,-100.00M,6.00M,4.00M,-90.00M,1.147B,-402.00M,0.00,745.00M,,0.00,0.00,0.00
2014-07,188.00M,0.00,,,0.00,,,109.00M,109.00M,13.00M,,,,23.00M,-2.00M,-10.00M,-17.00M,145.00M,63.00M,,23.00M,214.00M,535.00M,-199.00M,,,0.00,0.00,0.00,-199.00M,0.00,,0.00,,-5.00M,-5.00M,-99.00M,-99.00M,5.00M,-3.00M,-102.00M,912.00M,234.00M,1.00M,1.147B,,5.00M,-5.00M,-5.00M
2014-04,157.00M,0.00,,,0.00,,,110.00M,110.00M,6.00M,,,,22.00M,-35.00M,-10.00M,28.00M,-54.00M,-312.00M,,-1.00M,-339.00M,-89.00M,-150.00M,,,0.00,0.00,15.00M,-135.00M,,,,,-43.00M,-43.00M,-392.00M,-392.00M,17.00M,35.00M,-383.00M,1.519B,-607.00M,0.00,912.00M,,,,-43.00M
2014-01,490.00M,,,,,,,108.00M,108.00M,19.00M,,,,24.00M,-5.00M,-10.00M,-1.00M,474.00M,95.00M,,85.00M,653.00M,1.279B,-93.00M,,,,,-13.00M,-106.00M,0.00,,0.00,,-5.00M,-5.00M,-88.00M,-88.00M,10.00M,5.00M,-78.00M,425.00M,1.095B,-1.00M,1.519B,,0.00,0.00,-5.00M
2013-10,92.00M,,,,,,,97.00M,97.00M,-5.00M,,,,21.00M,-6.00M,-10.00M,-54.00M,-518.00M,36.00M,,-38.00M,-574.00M,-385.00M,-215.00M,,,,,1.00M,-168.00M,495.00M,,495.00M,,0.00,0.00,-87.00M,-87.00M,12.00M,6.00M,426.00M,551.00M,-127.00M,1.00M,425.00M,,785.00M,-290.00M,0.00
2013-07,178.00M,,,,,,,102.00M,102.00M,-2.00M,,,,20.00M,-5.00M,-10.00M,-15.00M,-12.00M,225.00M,,-7.00M,191.00M,474.00M,-234.00M,,,,,11.00M,-223.00M,0.00,,0.00,,0.00,0.00,-87.00M,-87.00M,0.00,5.00M,-82.00M,382.00M,169.00M,0.00,551.00M,,0.00,0.00,0.00
2013-04,143.00M,,,,,,,100.00M,100.00M,6.00M,,,,20.00M,-20.00M,-9.00M,27.00M,-112.00M,-281.00M,,6.00M,-360.00M,-120.00M,-149.00M,,,,,-9.00M,-158.00M,,,,,-55.00M,-55.00M,-87.00M,-87.00M,10.00M,20.00M,-112.00M,773.00M,-390.00M,-1.00M,382.00M,,,,-55.00M
2013-01,411.00M,,0.00,,0.00,,,102.00M,102.00M,21.00M,,,,24.00M,-13.00M,-9.00M,10.00M,442.00M,94.00M,,74.00M,620.00M,1.276B,-97.00M,,,,,2.00M,-60.00M,-57.00M,,-57.00M,,-13.00M,-13.00M,-942.00M,-942.00M,10.00M,13.00M,-989.00M,547.00M,227.00M,-1.00M,773.00M,,0.00,-57.00M,-13.00M
2012-10,74.00M,,-13.00M,,-16.00M,,,96.00M,96.00M,-13.00M,,,,16.00M,-3.00M,-9.00M,-37.00M,-389.00M,167.00M,,-16.00M,-275.00M,-130.00M,-162.00M,,,,,9.00M,-153.00M,0.00,,0.00,,-12.00M,-12.00M,-361.00M,-361.00M,6.00M,3.00M,-364.00M,1.193B,-647.00M,1.00M,547.00M,,0.00,0.00,-12.00M
2012-07,143.00M,,,,,,,96.00M,96.00M,-4.00M,,,,17.00M,-13.00M,-8.00M,-15.00M,42.00M,69.00M,,61.00M,157.00M,388.00M,-193.00M,,,,,-1.00M,-194.00M,0.00,,0.00,,-228.00M,-228.00M,-73.00M,-73.00M,3.00M,13.00M,-285.00M,1.286B,-91.00M,-2.00M,1.193B,,0.00,,-228.00M
2012-04,125.00M,,,,,,,95.00M,95.00M,7.00M,,,,16.00M,-87.00M,-9.00M,47.00M,-102.00M,-234.00M,,-41.00M,-330.00M,-183.00M,-136.00M,,,,,12.00M,-124.00M,985.00M,,985.00M,,-376.00M,-376.00M,-73.00M,-73.00M,33.00M,87.00M,656.00M,935.00M,349.00M,2.00M,1.286B,,985.00M,,-376.00M
2012-01,359.00M,-197.00M,,-16.00M,-127.00M,,,101.00M,101.00M,-59.00M,26.00M,,,13.00M,-8.00M,9.00M,-95.00M,477.00M,114.00M,,158.00M,654.00M,1.172B,-88.00M,,,,-99.00M,,13.00M,0.00,,0.00,,-117.00M,-117.00M,,-653.00M,14.00M,8.00M,-748.00M,498.00M,437.00M,0.00,935.00M,,0.00,,-117.00M
2011-10,491.00M,0.00,,0.00,0.00,,,94.00M,94.00M,-1.00M,-10.00M,,,14.00M,-6.00M,-424.00M,-50.00M,-435.00M,172.00M,,-2.00M,-315.00M,-129.00M,-176.00M,,,,0.00,,-176.00M,0.00,,0.00,,-183.00M,-183.00M,,-60.00M,6.00M,6.00M,-231.00M,1.035B,-536.00M,-1.00M,498.00M,,0.00,,-183.00M
2011-07,,,,16.00M,16.00M,,,98.00M,98.00M,10.00M,-8.00M,,,12.00M,-15.00M,231.00M,-39.00M,-30.00M,6.00M,,-40.00M,-103.00M,241.00M,-85.00M,,,,0.00,,-85.00M,0.00,,0.00,,-334.00M,-334.00M,,-367.00M,15.00M,8.00M,-678.00M,1.557B,-522.00M,0.00,1.035B,,0.00,,-334.00M
2011-04,,,,,-86.00M,,,98.00M,98.00M,13.00M,-8.00M,,,12.00M,-19.00M,165.00M,32.00M,-39.00M,-173.00M,,-13.00M,-193.00M,-18.00M,-77.00M,,,,99.00M,,22.00M,981.00M,,981.00M,,-556.00M,-556.00M,,-64.00M,40.00M,19.00M,420.00M,1.13B,424.00M,3.00M,1.557B,,981.00M,,-556.00M
2011-01,,,,-52.00M,-45.00M,,,103.00M,103.00M,-18.00M,25.00M,,,26.00M,-7.00M,-387.00M,17.00M,424.00M,124.00M,,130.00M,695.00M,1.203B,-77.00M,,,129.00M,-20.00M,3.00M,-21.00M,0.00,,0.00,,-60.00M,-60.00M,,-1.017B,28.00M,7.00M,-1.042B,988.00M,140.00M,2.00M,1.13B,,0.00,0.00,-60.00M
2010-10,,,,0.00,0.00,,,97.00M,97.00M,-8.00M,-8.00M,,,15.00M,-2.00M,61.00M,-38.00M,-371.00M,198.00M,,-47.00M,-258.00M,-103.00M,-87.00M,,,1.00M,0.00,4.00M,-82.00M,-24.00M,,-24.00M,,-79.00M,-79.00M,,-49.00M,22.00M,2.00M,-128.00M,1.30B,-313.00M,1.00M,988.00M,,0.00,-24.00M,-79.00M
2010-07,,,,0.00,-47.00M,,,97.00M,97.00M,-18.00M,-9.00M,,,10.00M,-5.00M,178.00M,-27.00M,13.00M,46.00M,,6.00M,38.00M,244.00M,-66.00M,,,31.00M,20.00M,1.00M,-14.00M,-31.00M,,-31.00M,,-66.00M,-66.00M,,-49.00M,25.00M,4.00M,-117.00M,1.188B,113.00M,-1.00M,1.30B,,390.00M,-421.00M,-66.00M
2010-04,,,,-49.00M,-49.00M,,,97.00M,97.00M,20.00M,-8.00M,,,13.00M,-5.00M,113.00M,37.00M,-57.00M,-183.00M,,-38.00M,-241.00M,-60.00M,-44.00M,,,,0.00,-1.00M,11.00M,-200.00M,,-200.00M,,-2.00M,-2.00M,,-373.00M,13.00M,-8.00M,-570.00M,1.804B,-619.00M,3.00M,1.188B,,0.00,-200.00M,-2.00M
2010-01,356.00M,,,0.00,0.00,,,105.00M,105.00M,-2.00M,26.00M,,,8.00M,0.00,-42.00M,34.00M,389.00M,106.00M,,55.00M,584.00M,1.044B,-42.00M,,,-9.00M,0.00,42.00M,-9.00M,-177.00M,,-177.00M,,0.00,0.00,,-48.00M,5.00M,19.00M,-201.00M,968.00M,834.00M,2.00M,1.804B,,0.00,-177.00M,0.00
2009-10,15.00M,,,0.00,0.00,,,97.00M,97.00M,47.00M,-26.00M,,,10.00M,0.00,24.00M,-21.00M,-335.00M,123.00M,,-42.00M,-275.00M,-114.00M,-63.00M,,,18.00M,0.00,-11.00M,-56.00M,-368.00M,,-368.00M,,0.00,0.00,,-49.00M,3.00M,0.00,-414.00M,1.55B,-584.00M,2.00M,968.00M,,0.00,-368.00M,0.00
2009-07,74.00M,,,-9.00M,-9.00M,,,97.00M,97.00M,1.00M,,,,11.00M,0.00,-9.00M,-29.00M,130.00M,76.00M,,20.00M,197.00M,362.00M,-46.00M,,,0.00,0.00,,-46.00M,362.00M,,362.00M,,0.00,0.00,,-48.00M,0.00,-19.00M,295.00M,936.00M,611.00M,3.00M,1.55B,,473.00M,-111.00M,0.00
2009-04,3.00M,,,,,,,94.00M,94.00M,3.00M,,,,11.00M,0.00,-9.00M,38.00M,-28.00M,-244.00M,,14.00M,-220.00M,-118.00M,-51.00M,,,,0.00,,-51.00M,-19.00M,,-19.00M,,0.00,0.00,,-48.00M,0.00,,-67.00M,1.173B,-236.00M,-1.00M,936.00M,,,-19.00M,0.00
2009-01,12.00M,,-13.00M,-109.00M,4.00M,,,127.00M,127.00M,53.00M,,,,35.00M,-2.00M,-58.00M,115.00M,468.00M,-184.00M,94.00M,72.00M,565.00M,951.00M,-73.00M,,406.00M,159.00M,95.00M,-244.00M,-63.00M,-15.00M,,0.00,-32.00M,-46.00M,-78.00M,,-48.00M,31.00M,0.00,-95.00M,377.00M,793.00M,3.00M,1.173B,-32.00M,0.00,-15.00M,-46.00M
2008-10,8.00M,,13.00M,109.00M,-4.00M,,,66.00M,66.00M,-12.00M,,,,-16.00M,2.00M,40.00M,-25.00M,-446.00M,221.00M,-94.00M,16.00M,-328.00M,-244.00M,-134.00M,,-406.00M,-144.00M,-95.00M,232.00M,-141.00M,4.00M,,-11.00M,32.00M,-172.00M,-140.00M,,-50.00M,-17.00M,0.00,-218.00M,978.00M,-603.00M,2.00M,377.00M,32.00M,,4.00M,-172.00M
2008-07,99.00M,,-13.00M,0.00,-13.00M,,,92.00M,92.00M,-1.00M,,,,9.00M,-2.00M,-8.00M,-12.00M,5.00M,149.00M,,41.00M,183.00M,359.00M,-133.00M,,,0.00,67.00M,-2.00M,-68.00M,-4.00M,,-4.00M,,-33.00M,-33.00M,,-51.00M,15.00M,2.00M,-71.00M,759.00M,220.00M,-1.00M,978.00M,,0.00,-4.00M,-33.00M
2008-04,97.00M,,,-109.00M,-109.00M,,,92.00M,92.00M,6.00M,,,,7.00M,,-8.00M,25.00M,18.00M,-264.00M,,24.00M,-197.00M,-112.00M,-139.00M,,,144.00M,28.00M,-1.00M,32.00M,0.00,,0.00,,-128.00M,-128.00M,,-52.00M,2.00M,,-178.00M,1.018B,-258.00M,-1.00M,759.00M,,,0.00,-128.00M
2008-01,389.00M,,,,23.00M,,,88.00M,88.00M,147.00M,,,,,,-16.00M,104.00M,534.00M,-164.00M,120.00M,-36.00M,558.00M,1.189B,-126.00M,0.00,-126.00M,0.00,,-17.00M,-143.00M,,,-3.00M,10.00M,-202.00M,-192.00M,,-53.00M,,1.00M,-247.00M,218.00M,799.00M,1.00M,1.018B,10.00M,,,-202.00M
2007-10,12.00M,,,,-38.00M,,,81.00M,81.00M,3.00M,,,,,,10.00M,-187.00M,-311.00M,172.00M,-137.00M,7.00M,-456.00M,-388.00M,-223.00M,97.00M,-126.00M,-1.00M,,-22.00M,-149.00M,,,0.00,9.00M,-1.08B,-1.071B,,631.00M,,1.00M,-439.00M,1.193B,-976.00M,1.00M,218.00M,9.00M,,,-1.08B
2007-07,264.00M,,,,-346.00M,,,88.00M,88.00M,-145.00M,,,,,,13.00M,-135.00M,155.00M,141.00M,131.00M,134.00M,426.00M,300.00M,-219.00M,,-219.00M,548.00M,,174.00M,524.00M,,,987.00M,39.00M,-120.00M,-81.00M,,-745.00M,,14.00M,175.00M,194.00M,999.00M,,1.193B,39.00M,,,-120.00M
2007-04,53.00M,,,,-6.00M,,,95.00M,95.00M,-10.00M,,,,,,,26.00M,-41.00M,-301.00M,-145.00M,-7.00M,-468.00M,-336.00M,-181.00M,,-181.00M,,,,-202.00M,,,256.00M,24.00M,,24.00M,,-60.00M,,12.00M,232.00M,500.00M,-306.00M,,194.00M,24.00M,,,
2007-01,440.00M,,,,-16.00M,,,86.00M,86.00M,-38.00M,,,,,,-4.00M,-5.00M,470.00M,-54.00M,190.00M,138.00M,739.00M,1.207B,-130.00M,,-130.00M,,,39.00M,-671.00M,,,-235.00M,75.00M,-8.00M,67.00M,,-60.00M,,14.00M,-214.00M,178.00M,322.00M,,500.00M,75.00M,,,-8.00M
2006-10,23.00M,,,,1.00M,,,78.00M,78.00M,0.00,,,,,,-1.00M,-21.00M,-682.00M,202.00M,13.00M,-61.00M,-549.00M,-448.00M,-169.00M,,-169.00M,,,2.00M,-167.00M,,,232.00M,13.00M,-55.00M,-42.00M,,-59.00M,,11.00M,142.00M,651.00M,-473.00M,,178.00M,13.00M,,,-55.00M
2006-07,114.00M,,,,-1.00M,,,78.00M,78.00M,-15.00M,,,,,,-1.00M,-12.00M,-140.00M,113.00M,-14.00M,8.00M,-45.00M,130.00M,-126.00M,,-126.00M,,,-6.00M,-132.00M,,,-4.00M,33.00M,-48.00M,-15.00M,,-60.00M,,10.00M,-69.00M,722.00M,-71.00M,,651.00M,33.00M,,,-48.00M
2006-04,99.00M,,,,,,,74.00M,74.00M,10.00M,,,,,,-4.00M,56.00M,-193.00M,-146.00M,-173.00M,-12.00M,-468.00M,-289.00M,-123.00M,,-123.00M,,,,-123.00M,,,,56.00M,-82.00M,-26.00M,,-59.00M,,11.00M,-74.00M,1.208B,-486.00M,,722.00M,56.00M,,,-82.00M
2006-01,519.00M,,,,8.00M,,,78.00M,78.00M,-48.00M,,,,,,-5.00M,-12.00M,518.00M,-36.00M,244.00M,45.00M,759.00M,1.311B,-89.00M,-6.00M,-95.00M,,,-4.00M,-99.00M,,,263.00M,18.00M,-380.00M,-362.00M,,-60.00M,,,-159.00M,155.00M,1.053B,,1.208B,18.00M,,,-380.00M
2005-10,-1.00M,,,,17.00M,,,70.00M,70.00M,-10.00M,,,,,,-8.00M,-50.00M,-455.00M,175.00M,-71.00M,6.00M,-395.00M,-327.00M,-141.00M,6.00M,-135.00M,,,-6.00M,-141.00M,,,-233.00M,14.00M,183.00M,197.00M,,-60.00M,,,-96.00M,719.00M,-564.00M,,155.00M,14.00M,,,183.00M
2005-07,81.74M,,,,-9.248M,,,73.25M,73.25M,-20.63M,,,,,,13.00M,2.761M,63.37M,51.07M,35.91M,18.83M,171.94M,310.04M,-115.85M,,-115.85M,,,-9.903M,-125.76M,,,,9.688M,-100.60M,-90.91M,,-60.85M,,,-151.76M,686.24M,32.52M,,719.00M,9.688M,,,-100.60M
2005-04,83.26M,,,,-7.752M,,,77.75M,77.75M,2.627M,,,,,,,5.239M,-116.37M,-98.07M,-153.91M,-5.828M,-368.94M,-213.04M,-134.15M,,-134.15M,,,-6.097M,-140.24M,,,,22.31M,-82.40M,-60.09M,,-61.15M,,,-121.24M,1.161B,-474.52M,,686.24M,22.31M,,,-82.40M
2005-01,382.07M,,,,65.48M,,,105.78M,105.78M,59.42M,,,,,,,8.438M,424.22M,-51.20M,162.38M,-22.84M,521.00M,1.134B,-66.17M,-23.80M,-89.97M,,131.00M,-101.18M,-87.15M,,,499.85M,28.59M,-2.000B,-1.972B,,-548.54M,,,-2.020B,2.135B,-973.86M,,1.161B,28.59M,,,-2.000B
