,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2005-09,5.432B,5.432B,4.201B,1.231B,,,413.00M,18.00M,,4.00M,,,,41.00M,796.00M,435.00M,,,,20.00M,,406.00M,119.00M,287.00M,-2.00M,,285.00M,284.17M,768.00M,333.00M,2005-09,0.468,-0.004,,,,2005-09,0.468,,0.4634,0.464,,2005-09,614.22M,614.22M,0.20,,2005-09,,
2005-06,5.69B,5.69B,4.287B,1.403B,,,395.00M,12.00M,,35.00M,,,,6.00M,738.00M,665.00M,,,,52.00M,,516.00M,225.00M,291.00M,129.00M,,420.00M,270.00M,997.00M,332.00M,2005-06,0.48,0.208,,,,2005-06,0.476,,0.4418,0.684,,2005-06,610.47M,614.04M,0.20,,2005-06,,
2005-03,5.371B,5.371B,4.047B,1.324B,,,396.00M,14.00M,,-5.00M,,,,66.00M,802.00M,522.00M,,,,5.00M,,368.00M,129.00M,239.00M,,,239.00M,242.25M,856.00M,334.00M,2005-03,0.392,0.00,,,,2005-03,0.392,,0.3973,0.392,,2005-03,607.16M,610.46M,0.16,,2005-03,,
2004-12,5.613B,5.613B,4.282B,1.331B,,,423.00M,17.00M,,-10.00M,,,,55.00M,812.00M,519.00M,,,,4.00M,,313.00M,94.00M,219.00M,-20.00M,,199.00M,226.00M,853.00M,334.00M,2004-12,0.348,-0.028,,,,2004-12,0.348,,0.3596,0.32,,2004-12,605.74M,605.74M,0.16,,2004-12,,
2004-09,5.679B,5.679B,4.172B,1.507B,,,399.00M,13.00M,,298.00M,,,,-254.00M,477.00M,1.03B,,,,314.00M,,862.00M,293.00M,569.00M,25.00M,,594.00M,372.29M,1.359B,329.00M,2004-09,0.944,0.04,,,,2004-09,0.94,,0.6155,0.98,,2004-09,603.66M,606.12M,0.16,,2004-09,,
2004-06,5.728B,5.728B,4.215B,1.513B,,,404.00M,13.00M,,-13.00M,,,,47.00M,786.00M,727.00M,,,,14.00M,,559.00M,183.00M,355.00M,14.00M,,369.00M,363.74M,1.059B,332.00M,2004-06,0.604,0.024,,,,2004-06,0.604,,0.6189,0.628,,2004-06,587.58M,587.58M,0.16,,2004-06,,
2004-03,4.911B,4.911B,3.753B,1.158B,,,403.00M,12.00M,,-37.00M,,,,67.00M,801.00M,357.00M,,,,-28.00M,,169.00M,57.00M,112.00M,9.00M,,121.00M,136.52M,684.00M,327.00M,2004-03,0.20,0.016,,,,2004-03,0.20,,0.2436,0.216,,2004-03,559.32M,562.68M,0.16,,2004-03,,
2003-12,4.521B,4.521B,3.576B,945.00M,,,391.00M,17.00M,,118.00M,,,,-151.00M,571.00M,374.00M,,,,114.00M,,158.00M,51.00M,107.00M,,,92.00M,27.09M,730.00M,356.00M,2003-12,0.42,-0.232,0.00,,,2003-12,0.42,,0.2764,0.168,,2003-12,544.31M,556.36M,0.16,,2003-12,,
2003-09,5.184B,5.184B,4.022B,1.162B,,,408.00M,10.00M,,-56.00M,,,,93.00M,834.00M,328.00M,,,,-48.00M,,124.00M,42.00M,82.00M,,,82.00M,119.03M,651.00M,323.00M,2003-09,0.148,0.00,,,,2003-09,0.148,,0.2148,0.148,,2003-09,554.05M,554.05M,0.16,,2003-09,,
2003-06,4.93B,4.93B,3.927B,1.003B,,,349.00M,12.00M,,199.00M,,,,-111.00M,565.00M,438.00M,,,,209.00M,,238.00M,81.00M,157.00M,,,157.00M,25.73M,753.00M,315.00M,2003-06,0.284,0.00,,,,2003-06,0.284,,0.0467,0.284,,2003-06,552.82M,553.21M,0.16,,2003-06,,
2003-03,4.614B,4.614B,3.682B,932.00M,,,398.00M,12.00M,,-29.00M,,,,48.00M,782.00M,150.00M,,,,-29.00M,,-65.00M,-22.00M,-43.00M,,,-54.00M,-23.82M,474.00M,324.00M,2003-03,-0.076,-0.02,0.00,,,2003-03,-0.076,,-0.0413,-0.096,,2003-03,553.21M,553.21M,0.16,,2003-03,,
2002-12,4.718B,4.718B,3.648B,1.07B,,,379.00M,16.00M,,-4.00M,,,,-197.00M,540.00M,530.00M,,,,4.00M,,194.00M,68.00M,126.00M,,,126.00M,128.60M,872.00M,342.00M,2002-12,0.148,0.08,,,,2002-12,0.148,,0.1527,0.228,,2002-12,554.87M,554.87M,0.16,,2002-12,,
2002-09,4.89B,4.89B,3.96B,930.00M,,,354.00M,11.00M,,11.00M,,,,66.00M,736.00M,194.00M,,,,15.00M,,20.00M,7.00M,13.00M,,,13.00M,5.85M,499.00M,305.00M,2002-09,0.024,0.00,,,,2002-09,0.024,,0.0111,0.024,,2002-09,553.13M,554.06M,0.16,,2002-09,,
2002-06,4.949B,4.949B,3.863B,1.086B,,,382.00M,13.00M,,-26.00M,,,,80.00M,787.00M,299.00M,,,,-22.00M,,111.00M,39.00M,72.00M,,,72.00M,88.86M,611.00M,312.00M,2002-06,0.128,0.00,,,,2002-06,0.128,,0.1580,0.128,,2002-06,562.50M,562.50M,0.16,,2002-06,,
2002-03,3.991B,3.991B,3.118B,873.00M,,,347.00M,12.00M,,-2.00M,,,,39.00M,664.00M,209.00M,,,,2.00M,,46.00M,16.00M,30.00M,,,7.00M,31.30M,475.00M,266.00M,2002-03,0.056,-0.04,,-0.0418,,2002-03,0.056,-0.0418,0.0584,0.016,,2002-03,550.46M,552.78M,0.16,,2002-03,,
2001-12,3.398B,3.398B,2.812B,586.00M,,,183.00M,17.00M,,-24.00M,,,,-19.00M,404.00M,182.00M,,,,-80.00M,,-24.00M,-9.00M,-15.00M,,,-15.00M,0.00,406.00M,224.00M,2001-12,-0.016,-0.012,,,,2001-12,-0.016,,0.0112,-0.028,,2001-12,551.93M,551.93M,0.16,,2001-12,,
2001-09,3.752B,3.752B,2.96B,792.00M,,,292.00M,11.00M,,-36.00M,,,,75.00M,603.00M,189.00M,,,,-27.00M,,122.00M,31.00M,91.00M,,,91.00M,117.85M,416.00M,227.00M,2001-09,0.164,0.00,,,,2001-09,0.164,,0.2128,0.164,,2001-09,549.50M,550.76M,0.16,,2001-09,,
2001-06,3.852B,3.852B,2.939B,913.00M,110.00M,198.00M,308.00M,14.00M,,-30.00M,,,,65.00M,604.00M,309.00M,,,,-12.00M,,248.00M,77.00M,171.00M,,,171.00M,191.69M,526.00M,217.00M,2001-06,0.312,0.00,,,,2001-06,0.312,,0.3497,0.312,,2001-06,548.08M,548.08M,0.16,,2001-06,,
2001-03,3.553B,3.553B,2.744B,809.00M,103.00M,184.00M,287.00M,13.00M,,-42.00M,,,,74.00M,582.00M,227.00M,,,,-13.00M,,170.00M,63.00M,107.00M,,,107.00M,133.44M,435.00M,208.00M,2001-03,0.196,0.00,,,,2001-03,0.196,,0.2442,0.196,,2001-03,548.30M,548.88M,0.16,,2001-03,,
2000-12,4.042B,4.042B,3.053B,989.00M,,,327.00M,15.00M,,116.00M,,,,-127.00M,445.00M,544.00M,,,,12.00M,,306.00M,112.00M,194.00M,,,194.00M,120.46M,806.00M,262.00M,2000-12,0.352,0.00,,,,2000-12,0.352,,0.2184,0.352,,2000-12,550.49M,550.49M,0.16,,2000-12,,
2000-09,3.934B,3.934B,3.045B,889.00M,,,259.00M,14.00M,,-14.00M,,,,48.00M,526.00M,363.00M,,,,12.00M,,313.00M,114.00M,199.00M,,,199.00M,207.90M,568.00M,195.00M,2000-09,0.36,0.00,,,,2000-09,0.36,,0.3761,0.36,,2000-09,551.24M,551.36M,0.16,,2000-09,,
2000-06,4.187B,4.187B,3.17B,1.017B,,,273.00M,15.00M,,-94.00M,,,,37.00M,526.00M,491.00M,,,,-94.00M,,317.00M,114.00M,203.00M,,,203.00M,263.20M,692.00M,195.00M,2000-06,0.356,0.00,,,,2000-06,0.356,,0.4616,0.356,,2000-06,570.22M,570.22M,0.16,,2000-06,,
2000-03,3.925B,3.925B,2.921B,1.004B,,,280.00M,12.00M,,-33.00M,,,,59.00M,558.00M,446.00M,,,,-9.00M,,387.00M,143.00M,244.00M,,,244.00M,264.81M,653.00M,207.00M,2000-03,0.416,0.00,,,,2000-03,0.416,,0.4514,0.416,,2000-03,585.53M,587.34M,0.16,,2000-03,,
1999-12,3.951B,3.951B,3.111B,840.00M,,,295.00M,17.00M,,-9.00M,,,,36.00M,524.00M,316.00M,,,,-9.00M,,273.00M,100.00M,173.00M,,,174.00M,178.70M,492.00M,176.00M,1999-12,0.312,0.008,0.00,,,1999-12,0.308,,0.3181,0.316,,1999-12,554.33M,562.41M,0.16,,1999-12,,
1999-09,3.12B,3.12B,2.303B,817.00M,,,203.00M,12.00M,,22.00M,,,,34.00M,403.00M,414.00M,,,,22.00M,,373.00M,136.00M,237.00M,,,237.00M,223.02M,568.00M,154.00M,1999-09,0.472,0.00,,,,1999-09,0.472,,0.4442,0.472,,1999-09,502.12M,502.12M,0.16,,1999-09,,
1999-06,3.044B,3.044B,2.317B,727.00M,,,207.00M,13.00M,,7.00M,,,,35.00M,409.00M,318.00M,,,,7.00M,,258.00M,94.00M,164.00M,,,164.00M,159.55M,472.00M,154.00M,1999-06,0.328,0.00,,,,1999-06,0.324,,0.3152,0.324,,1999-06,500.00M,506.17M,0.16,,1999-06,,
1999-03,2.665B,2.665B,2.058B,607.00M,,,179.00M,13.00M,,-89.00M,,,,34.00M,382.00M,225.00M,,,,-89.00M,,66.00M,24.00M,42.00M,,,-48.00M,98.64M,381.00M,156.00M,1999-03,0.084,-0.18,0.00,,,1999-03,0.084,,0.1973,-0.096,,1999-03,500.00M,500.00M,0.16,,1999-03,,
1998-12,3.227B,3.227B,2.616B,611.00M,,,197.00M,16.00M,,-154.00M,,,,32.00M,422.00M,189.00M,,,,-154.00M,,44.00M,14.00M,30.00M,,,30.00M,135.00M,366.00M,177.00M,1998-12,0.06,0.00,,,,1998-12,0.06,,0.27,0.06,,1998-12,497.76M,500.00M,0.16,,1998-12,,
1998-09,2.736B,2.736B,2.124B,612.00M,,,194.00M,12.00M,,34.00M,,,,35.00M,387.00M,225.00M,,,,34.00M,,175.00M,65.00M,110.00M,,,110.00M,88.63M,371.00M,146.00M,1998-09,0.224,0.00,,,,1998-09,0.22,,0.1773,0.22,,1998-09,491.07M,500.00M,0.16,,1998-09,,
1998-06,2.676B,2.676B,2.153B,523.00M,,,168.00M,15.00M,,14.00M,,,,35.00M,362.00M,161.00M,,,,14.00M,,109.00M,40.00M,69.00M,,,69.00M,60.14M,305.00M,144.00M,1998-06,0.136,0.00,,,,1998-06,0.136,,0.1185,0.136,,1998-06,507.35M,507.35M,0.16,,1998-06,,
