,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-09,377.00M,,,-19.00M,,-55.00M,105.00M,105.00M,-36.00M,,,,104.00M,,,,,1.442B,1.937B,-86.00M,,-86.00M,,5.00M,1.367B,-2.479B,-1.193B,-418.00M,1.50B,1.082B,,,7.00M,,,,,,-222.00M,,-1.00M,-1.015B,2.67B,-271.00M,2.399B,,10.00M,-428.00M,,,
2006-06,383.00M,,,-14.00M,,-44.00M,99.00M,99.00M,-46.00M,,,,-489.00M,,,,,93.00M,-4.00M,-115.00M,,-115.00M,,0.00,720.00M,-1.089B,-484.00M,-232.00M,-2.027B,-2.259B,,,11.00M,,,,,,-211.00M,,1.609B,664.00M,2.494B,176.00M,2.67B,,525.00M,-757.00M,,,
2006-03,363.00M,,,-1.00M,,-36.00M,94.00M,94.00M,-9.00M,,,,678.00M,,,,,32.00M,1.122B,-107.00M,,-107.00M,,-5.00M,425.00M,-1.57B,-1.257B,-436.00M,213.00M,-223.00M,,,18.00M,,,,,,-211.00M,,-1.608B,-449.00M,3.078B,-584.00M,2.494B,,1.309B,-1.745B,,,
2005-12,332.00M,,,-1.00M,,-51.00M,99.00M,99.00M,-88.00M,,,,932.00M,,,,,-78.00M,1.146B,-111.00M,,-111.00M,,,559.00M,-2.303B,-1.855B,-1.302B,-55.00M,-1.357B,,,32.00M,,,,,,-210.00M,,11.00M,415.00M,3.372B,-294.00M,3.078B,,16.00M,-1.318B,,,
2005-09,395.00M,,,-8.00M,,-44.00M,110.00M,110.00M,38.00M,,,,-3.078B,,,,,3.37B,791.00M,-248.00M,,-248.00M,,-242.00M,1.786B,-2.825B,-1.529B,-923.00M,128.00M,-795.00M,,,16.00M,,,,,,-194.00M,,-16.00M,1.329B,2.781B,591.00M,3.372B,,987.00M,-1.91B,,,
2005-06,417.00M,,,-16.00M,,-60.00M,101.00M,101.00M,34.00M,,,,2.895B,,,,,-2.085B,1.302B,-37.00M,,-37.00M,,0.00,1.842B,-2.642B,-837.00M,1.075B,-1.398B,-323.00M,,,13.00M,,,,,,-196.00M,,2.537B,-104.00M,2.42B,361.00M,2.781B,,1.166B,-91.00M,,,
2005-03,405.00M,,,-14.00M,,-46.00M,95.00M,95.00M,,,,,2.219B,,,,,-1.732B,941.00M,-41.00M,,-41.00M,,242.00M,-520.00M,-1.704B,-2.023B,2.033B,-7.00M,2.026B,,,-1.614B,,,,,,-194.00M,,-2.52B,941.00M,2.561B,-141.00M,2.42B,,2.496B,-463.00M,,,
2004-12,176.00M,,,495.00M,,471.00M,106.00M,106.00M,-59.00M,,,,-471.00M,35.00M,,,-602.00M,-567.00M,-344.00M,-118.00M,,-118.00M,,,6.676B,-1.919B,4.639B,-1.127B,-3.948B,-5.075B,,,-170.00M,,,,,,-179.00M,,9.00M,-4.047B,2.313B,248.00M,2.561B,,1.757B,-2.884B,,,
2004-09,471.00M,,,-273.00M,,-298.00M,109.00M,109.00M,221.00M,,,,544.00M,-181.00M,,,216.00M,35.00M,1.082B,-104.00M,,-104.00M,,-29.00M,-1.099B,-1.398B,-2.63B,282.00M,2.456B,2.738B,,,-6.00M,,,,,,-180.00M,,,1.504B,2.358B,-44.00M,2.313B,,550.00M,-268.00M,,,
2004-06,447.68M,,,281.33M,,157.52M,119.36M,119.36M,-280.33M,,,,1.535B,101.00M,,,-279.00M,-148.54M,1.830B,-96.82M,,-96.82M,,29.00M,-626.71M,-2.123B,-2.817B,3.812B,-3.763B,48.59M,,,-425.51M,,,,,,-180.46M,,-0.576M,1.332B,2.012B,344.90M,2.358B,,6.213B,-2.401B,,,
2004-03,430.32M,,,-66.33M,,-96.52M,124.64M,124.64M,105.33M,,,,383.41M,,,,,-29.46M,917.72M,-72.18M,,-72.18M,,,-1.222B,-1.625B,-2.920B,1.878B,2.082B,3.960B,,,-296.49M,,,,,,-164.54M,,0.576M,1.655B,2.359B,-346.90M,2.012B,,2.608B,-730.10M,,,
2003-12,461.00M,,,-39.00M,,-126.00M,138.00M,138.00M,166.00M,,,,1.381B,,,,,-402.00M,1.618B,-96.00M,,-96.00M,,,-1.181B,-2.105B,-3.315B,-165.00M,-570.00M,-735.00M,,,-239.00M,,,,,,-166.00M,,2.00M,1.662B,2.394B,-35.00M,2.359B,,1.00M,-166.00M,,,
2003-09,488.59M,,,-15.42M,,-49.16M,173.86M,173.86M,-126.21M,,,,3.524B,-317.92M,,,214.40M,355.48M,4.367B,-77.31M,,-77.31M,,,638.72M,-4.098B,-3.536B,-1.078B,2.639B,1.560B,,,-26.36M,,,,,,-165.66M,,-0.815M,-213.10M,1.776B,617.48M,2.394B,,-311.10M,-767.19M,,,
2003-06,415.46M,,,-25.98M,,-154.67M,119.62M,119.62M,-1.672M,,,,763.25M,317.92M,,,-214.40M,-222.80M,919.19M,-54.37M,,-54.37M,,,-1.460B,-2.884B,-4.399B,315.25M,2.323B,2.638B,,,-317.86M,,,,,,-149.62M,,-3.197M,3.484B,1.772B,4.807M,1.776B,,1.404B,-1.088B,,,
2003-03,389.95M,,,-40.59M,,-171.17M,118.52M,118.52M,5.881M,,,,540.47M,,,,,326.32M,1.210B,-56.32M,,-56.32M,,,-2.375B,-1.334B,-3.766B,-135.97M,381.46M,245.49M,,,-8.787M,,,,,,-149.72M,,0.012M,2.437B,1.891B,-119.28M,1.772B,,1.376M,-137.34M,,,
2002-12,423.84M,,,-25.41M,,-146.54M,97.85M,97.85M,-135.41M,,,,-6.042B,,,,,5.996B,193.28M,-68.33M,,-68.33M,,,-1.258B,-1.644B,-2.916B,2.859B,-534.88M,2.324B,,,-251.43M,,,,,,-150.79M,,1.454M,2.784B,1.830B,60.86M,1.891B,,3.331B,-471.82M,,,
2002-09,416.74M,,,-131.59M,,-305.00M,94.34M,94.34M,100.22M,,,,5.339B,,,,,-5.836B,-191.01M,-38.58M,,-38.58M,,,-760.01M,-1.416B,-2.214B,-131.10M,1.573B,1.442B,,,-173.48M,,,,,,-133.81M,,-2.418M,2.489B,1.746B,83.74M,1.830B,,9.237M,-140.33M,,,
2002-06,404.26M,,,,,6.861M,83.20M,83.20M,314.07M,,,,199.68M,,,,,-369.08M,638.99M,-32.75M,,-32.75M,,,-1.249B,-1.994B,-3.276B,-6.534M,-904.82M,-911.35M,,,-138.53M,,,,,,-134.20M,,-0.673M,3.039B,1.345B,401.84M,1.746B,,6.473M,-13.01M,,,
2002-03,390.15M,,,,,-15.32M,62.61M,62.61M,0.11M,,,,829.89M,,,,,318.30M,1.586B,-34.34M,,-34.34M,,,-1.041B,-540.11M,-1.616B,-9.699M,-471.30M,-481.00M,,,-52.56M,,,,,,-134.20M,,-0.363M,-656.47M,2.031B,-686.44M,1.345B,,0.139M,-9.838M,,,
2001-12,379.11M,,,-90.99M,,-176.78M,72.44M,72.44M,131.83M,,,,334.86M,,,,,-1.369B,-627.95M,-6.154M,,-6.154M,,21.81M,289.90M,-690.49M,-384.94M,359.71M,251.12M,610.83M,,,44.47M,,,,,,-116.15M,,-22.61M,1.597B,1.446B,584.40M,2.031B,,3.107B,-2.747B,,,
2001-09,286.38M,,,-72.90M,,-118.00M,66.21M,66.21M,84.62M,,,,1.182B,-191.76M,,,52.78M,539.43M,2.040B,-39.82M,,-39.82M,,0.00,-1.394B,44.39M,-1.389B,-259.28M,-905.30M,-1.165B,,,18.62M,,,,,,-115.87M,,2.258M,-790.54M,1.585B,-139.16M,1.446B,,1.300B,-1.559B,,,
2001-06,128.89M,,,-7.107M,,-38.58M,39.39M,39.39M,15.23M,,,,595.35M,191.76M,,,-52.78M,-60.87M,679.40M,-66.04M,,-66.04M,,-129.83M,715.92M,915.46M,1.436B,402.52M,-1.480B,-1.077B,,,26.75M,,,,,,-94.11M,,12.77M,-1.952B,1.422B,163.26M,1.585B,,297.06M,105.45M,,,
2001-03,299.62M,,,,,-77.64M,57.96M,57.96M,22.32M,,,,-1.691B,,,,,199.85M,-1.189B,-26.99M,,-26.99M,,-16.98M,1.113B,-338.36M,730.48M,722.06M,2.829B,3.551B,,,36.15M,,,,,,-134.87M,,-13.42M,173.89M,1.707B,-284.50M,1.422B,,2.076B,-1.354B,,,
2000-12,-680.92M,,,-5.64M,,-41.52M,47.62M,47.62M,171.35M,,,,771.92M,,,,,-265.62M,2.828M,-46.90M,,-46.90M,,,-110.14M,-225.39M,-227.43M,-473.62M,-3.977B,-4.450B,,,65.71M,,,,,,-115.42M,,-77.15M,497.96M,1.434B,273.36M,1.707B,,511.26M,-984.88M,,,
2000-09,423.47M,,,0.002M,,-120.76M,73.76M,73.76M,33.41M,,,,-72.42M,-106.20M,,,174.80M,-39.78M,297.69M,-36.89M,,-36.89M,,,295.16M,-1.554B,-1.296B,3.002B,-660.51M,2.341B,,,-185.69M,,,,,,-162.55M,,8.45M,1.002B,750.99M,3.746M,1.434B,,3.588B,-586.44M,,,
2000-06,192.09M,,,0.159M,,-4.193M,30.64M,30.64M,82.12M,,,,-697.69M,106.20M,,,-174.80M,905.27M,508.24M,-22.47M,,-22.47M,,,618.66M,-1.253B,-657.26M,153.37M,1.530B,1.684B,,,9.079M,,,,,,-83.86M,,19.61M,-47.52M,947.52M,-196.54M,750.99M,,1.100B,-946.67M,,,
2000-03,206.37M,,,-0.521M,,-0.521M,27.97M,27.97M,21.12M,,,,697.18M,,,,,-973.86M,-21.75M,-25.74M,,-25.74M,,,-1.989B,-712.00M,-2.726B,329.69M,-841.03M,-511.34M,,,13.90M,,,,,,-74.17M,,2.083M,2.483B,1.213B,-265.56M,947.52M,,751.71M,-422.02M,,,
1999-12,116.04M,,,7.523M,,41.79M,21.43M,21.43M,132.83M,,,,-98.10M,58.58M,,,85.25M,-270.16M,-56.18M,-48.41M,,-48.41M,,,1.602B,-788.74M,765.35M,-567.76M,-608.92M,-1.177B,,,23.69M,,,,,,-68.30M,,-16.95M,-387.15M,891.35M,322.02M,1.213B,,975.62M,-1.543B,,,
1999-09,195.45M,,,-4.903M,,-10.16M,30.85M,30.85M,57.41M,,,,201.55M,-125.54M,,,411.67M,286.12M,761.23M,-26.24M,,-26.24M,,,-123.42M,-2.011B,-2.160B,-238.82M,2.262B,2.023B,,,11.13M,,,,,,-74.90M,,-15.29M,1.349B,941.90M,-50.56M,891.35M,,150.57M,-389.39M,,,
1999-06,356.51M,,,-2.62M,,-31.00M,21.00M,21.00M,53.55M,,,,-7.927M,66.96M,,,-496.92M,-704.19M,-312.05M,-23.63M,,-23.63M,,,-375.60M,-1.338B,-1.737B,68.67M,1.033B,1.101B,,,8.332M,,,,,,-63.31M,,-720.88M,2.089B,901.64M,40.26M,941.90M,,411.60M,-342.93M,,,
1999-03,,,,,,-1.632M,30.72M,30.72M,11.21M,,,,330.48M,,,,,274.22M,645.00M,-17.72M,,-17.72M,,,-986.48M,-395.83M,-1.400B,-522.09M,1.170B,648.33M,,,9.842M,,,,,,-62.50M,,673.11M,611.30M,1.045B,-143.73M,901.64M,,32.21M,-554.30M,,,
1998-12,219.00M,,,7.20M,,19.20M,57.70M,57.70M,43.10M,,,,-106.10M,-112.40M,,,166.50M,-69.90M,163.00M,-31.80M,,-31.80M,,,-444.20M,-318.90M,-794.90M,346.00M,-28.50M,317.50M,,,-47.80M,,,,,,-43.90M,,143.60M,741.60M,749.40M,109.80M,1.045B,,1.113B,-767.10M,,,
1998-09,146.00M,,,-2.60M,,-12.30M,19.90M,19.90M,31.70M,,,,5.30M,31.50M,,,-104.70M,-73.20M,117.40M,-18.80M,,-18.80M,,,313.30M,-399.90M,-105.40M,284.50M,-145.60M,138.90M,,,-88.20M,,,,,,-47.50M,,-3.30M,-145.70M,0.00,-133.90M,749.40M,,460.00M,-175.50M,,,
1998-06,57.80M,,,-0.40M,,-9.40M,18.20M,18.20M,1.90M,,,,353.50M,80.90M,,,-61.80M,83.40M,505.40M,-13.20M,,-13.20M,,,727.40M,26.20M,740.40M,-295.90M,-940.80M,-1.237B,,,137.70M,,,,,,-40.90M,,301.40M,-1.098B,0.00,147.90M,0.00,,544.70M,-840.60M,,,
