,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2018-03,14.35B,14.35B,11.67B,2.676B,,,136.14M,-136.14M,2.193B,482.20M,136.14M,-136.14M,18.83M,-136.14M,364.88M,34.80M,330.08M,,330.08M,330.08M,694.44M,193.42M,501.03M,,2018-03,,,0.63,0.63,,,,,0.63,0.63,521.83M,527.99M,0.36,AOR,Restated
2017-12,14.41B,14.41B,11.71B,2.699B,,,85.99M,-85.99M,2.171B,528.55M,85.99M,-85.99M,9.162M,-85.99M,451.73M,167.62M,284.11M,,284.11M,284.11M,728.37M,190.65M,537.71M,,2017-12,,,0.55,0.55,,,,,0.54,0.54,521.28M,527.25M,0.36,AOR,Restated
2017-09,14.65B,14.65B,11.86B,2.794B,,,80.88M,-80.88M,2.174B,619.36M,80.88M,-80.88M,7.975M,-80.88M,546.46M,178.82M,367.64M,,367.64M,367.64M,807.00M,179.66M,627.34M,,2017-09,,,0.70,0.70,,,,,0.69,0.69,527.29M,533.06M,0.33,AOR,Restated
2017-06,14.42B,14.42B,11.66B,2.760B,,,76.02M,-76.02M,2.200B,559.40M,76.02M,-76.02M,0.141M,-76.02M,483.52M,178.35M,305.17M,,305.17M,305.17M,794.26M,234.72M,559.54M,,2017-06,,,0.57,0.57,,,,,0.57,0.57,534.13M,538.79M,0.33,AOR,Restated
2017-03,13.52B,13.52B,10.99B,2.534B,,,81.00M,-81.00M,2.098B,435.96M,81.00M,-81.00M,4.815M,-81.00M,359.77M,121.50M,238.28M,,238.28M,238.28M,659.09M,218.32M,440.78M,,2017-03,,,0.44,0.44,,,,,0.44,0.44,539.29M,544.07M,0.33,AOR,Restated
2016-12,13.46B,13.46B,10.89B,2.572B,,,72.23M,-72.23M,2.079B,492.42M,72.23M,-72.23M,2.32M,-72.23M,422.51M,147.34M,275.17M,,275.17M,275.17M,732.01M,237.27M,494.74M,,2016-12,,,0.50,0.50,,,,,0.50,0.50,545.13M,550.37M,0.33,AOR,Restated
2016-09,13.97B,13.97B,11.28B,2.692B,,,73.62M,-73.62M,2.125B,566.83M,73.62M,-73.62M,7.216M,-73.62M,500.43M,176.54M,323.89M,,323.89M,323.89M,785.73M,211.68M,574.05M,,2016-09,,,0.58,0.58,,,,,0.58,0.58,555.44M,560.95M,0.31,AOR,Restated
2016-06,13.65B,13.65B,11.15B,2.503B,,,74.30M,-74.30M,1.956B,546.82M,74.30M,-74.30M,-141.30M,-74.30M,331.22M,115.55M,215.67M,,215.67M,215.67M,607.57M,202.05M,405.52M,,2016-06,,,0.38,0.38,,,,,0.38,0.38,562.28M,566.62M,0.31,AOR,Restated
2016-03,12.00B,12.00B,9.860B,2.143B,,,57.70M,-57.70M,1.765B,377.62M,57.70M,-57.70M,6.952M,-57.70M,326.87M,109.74M,217.14M,,217.14M,217.14M,563.83M,179.26M,384.57M,,2016-03,,,0.38,0.38,,,,,0.38,0.38,566.49M,570.81M,0.31,AOR,Restated
2015-12,12.15B,12.15B,9.997B,2.157B,,,47.24M,-47.24M,1.724B,432.58M,47.24M,-47.24M,7.764M,-47.24M,393.11M,120.71M,272.40M,,272.40M,272.40M,585.79M,145.44M,440.35M,,2015-12,,,0.48,0.48,,,,,0.48,0.48,566.88M,571.45M,0.31,AOR,Restated
2015-09,12.56B,12.56B,10.32B,2.238B,,,126.91M,-126.91M,1.745B,493.47M,126.91M,-126.91M,15.24M,-126.91M,381.81M,137.39M,244.42M,,244.42M,244.42M,644.68M,135.96M,508.71M,,2015-09,,,0.41,0.41,,,,,0.41,0.41,596.70M,600.79M,0.30,AOR,Restated
2015-06,12.40B,12.40B,10.18B,2.220B,,,77.28M,-77.28M,2.099B,121.00M,77.28M,-77.28M,25.03M,-77.28M,68.75M,-4.278M,73.03M,,73.03M,73.03M,287.21M,141.18M,146.03M,,2015-06,,,0.12,0.12,,,,,0.12,0.12,595.26M,599.26M,0.30,AOR,Restated
2015-03,11.75B,11.75B,9.689B,2.057B,,,69.55M,-69.55M,1.730B,327.31M,69.55M,-69.55M,8.577M,-69.55M,266.34M,89.38M,176.96M,,176.96M,176.96M,473.07M,137.19M,335.88M,,2015-03,,,0.30,0.30,,,,,0.30,0.30,594.03M,598.92M,0.30,AOR,Restated
2014-12,12.09B,12.09B,10.00B,2.085B,,,77.04M,-77.04M,1.770B,315.45M,77.04M,-77.04M,-2.207M,-77.04M,236.20M,78.22M,157.98M,,157.98M,157.98M,453.90M,140.66M,313.24M,,2014-12,,,0.27,0.27,,,,,0.27,0.27,590.72M,595.91M,0.30,AOR,Restated
2014-09,12.45B,12.45B,10.26B,2.189B,,,30.93M,-30.93M,1.723B,465.61M,30.93M,-30.93M,2.188M,-30.93M,436.87M,158.05M,278.81M,,278.81M,278.81M,601.80M,134.00M,467.80M,,2014-09,,,0.47,0.47,,,,,0.47,0.47,588.28M,593.31M,0.29,AOR,Restated
2014-06,12.29B,12.29B,10.13B,2.156B,,,31.20M,-31.20M,1.731B,424.52M,31.20M,-31.20M,7.216M,-31.20M,400.53M,146.36M,254.17M,,254.17M,254.17M,570.44M,138.70M,431.74M,,2014-06,,,0.43,0.43,,,,,0.43,0.43,586.54M,591.36M,0.29,AOR,Restated
2014-03,11.28B,11.28B,9.283B,1.995B,,,32.22M,-32.22M,1.662B,332.62M,32.22M,-32.22M,-3.718M,-32.22M,296.68M,115.75M,180.94M,,180.94M,180.94M,466.83M,137.92M,328.91M,,2014-03,,,0.31,0.31,,,,,0.31,0.31,585.89M,590.47M,0.29,AOR,Restated
2013-12,11.24B,11.24B,9.273B,1.965B,,,29.78M,-29.78M,1.613B,351.78M,29.78M,-29.78M,4.211M,-29.78M,326.20M,115.37M,210.84M,,210.84M,210.84M,493.39M,137.40M,355.99M,,2013-12,,,0.36,0.36,,,,,0.36,0.36,584.25M,587.93M,0.29,AOR,Restated
2013-09,11.71B,11.71B,9.649B,2.065B,,,30.53M,-30.53M,1.587B,478.20M,30.53M,-30.53M,4.534M,-30.53M,452.20M,166.61M,285.59M,,285.59M,285.59M,616.48M,133.74M,482.73M,,2013-09,,,0.49,0.49,,,,,0.48,0.48,587.62M,591.46M,0.28,AOR,Restated
2013-06,11.60B,11.60B,9.529B,2.072B,,,31.17M,-31.17M,1.612B,459.84M,31.17M,-31.17M,9.832M,-31.17M,438.50M,155.46M,283.04M,,283.04M,283.04M,599.74M,130.06M,469.68M,,2013-06,,,0.48,0.48,,,,,0.47,0.47,592.92M,597.54M,0.28,AOR,Restated
2013-03,10.93B,10.93B,8.984B,1.942B,,,34.22M,-34.22M,1.605B,337.20M,34.22M,-34.22M,3.41M,-34.22M,306.40M,104.98M,201.42M,,201.42M,201.42M,471.02M,130.40M,340.61M,,2013-03,,,0.34,0.34,,,,,0.34,0.34,589.15M,592.90M,0.28,AOR,Restated
2012-12,10.80B,10.80B,8.845B,1.952B,,,32.24M,-32.24M,1.569B,382.65M,32.24M,-32.24M,1.753M,-32.24M,352.16M,130.79M,221.37M,,221.37M,221.37M,513.33M,128.93M,384.40M,,2012-12,,,0.38,0.38,,,,,0.38,0.38,587.09M,589.75M,0.28,AOR,Restated
2012-09,11.09B,11.09B,9.057B,2.030B,,,30.87M,-30.87M,1.551B,478.78M,30.87M,-30.87M,2.477M,-30.87M,450.39M,163.79M,286.60M,,286.60M,286.60M,601.92M,120.66M,481.26M,,2012-09,,,0.49,0.49,,,,,0.49,0.49,587.76M,589.84M,0.27,AOR,Restated
2012-06,11.05B,11.05B,8.931B,2.114B,,,27.31M,-27.31M,1.599B,515.46M,27.31M,-27.31M,1.296M,-27.31M,489.45M,180.18M,309.27M,,309.27M,309.27M,628.74M,111.98M,516.76M,,2012-06,,,0.53,0.53,,,,,0.53,0.53,586.89M,588.27M,0.27,AOR,Restated
2012-03,10.50B,10.50B,8.633B,1.872B,,,28.29M,-28.29M,1.433B,438.83M,28.29M,-28.29M,2.248M,-28.29M,412.79M,153.24M,259.55M,,259.55M,259.55M,545.32M,104.24M,441.08M,,2012-03,,,0.44,0.44,,,,,0.44,0.44,585.82M,587.21M,0.27,AOR,Restated
2011-12,10.24B,10.24B,8.399B,1.846B,,,28.32M,-28.32M,1.419B,427.00M,28.32M,-28.32M,3.472M,-28.32M,402.15M,152.03M,250.11M,,250.11M,250.11M,531.55M,101.08M,430.47M,,2011-12,,,0.43,0.43,,,,,0.43,0.43,586.19M,587.03M,0.27,AOR,Restated
2011-09,10.59B,10.59B,8.639B,1.948B,,,29.47M,-29.47M,1.438B,509.34M,29.47M,-29.47M,-0.25M,-29.47M,479.62M,176.96M,302.65M,,302.65M,302.65M,608.73M,99.64M,509.09M,,2011-09,,,0.51,0.51,,,,,0.51,0.51,592.00M,593.45M,0.26,AOR,Restated
2011-06,10.43B,10.43B,8.471B,1.954B,,,30.13M,-30.13M,1.394B,560.75M,30.13M,-30.13M,4.278M,-30.13M,534.89M,198.58M,336.31M,,336.31M,336.31M,669.31M,104.28M,565.03M,,2011-06,,,0.57,0.57,,,,,0.57,0.57,588.73M,591.13M,0.26,AOR,Restated
2011-03,9.762B,9.762B,7.929B,1.833B,1.405B,6.957M,28.97M,-28.97M,1.405B,427.49M,28.97M,-28.97M,6.957M,-28.97M,405.47M,146.99M,258.48M,,258.48M,254.04M,534.52M,100.08M,434.44M,,2011-03,,,0.4324,0.44,,0.00,,,0.4324,0.44,583.72M,585.42M,0.26,AOR,Restated
2010-12,9.385B,9.385B,7.623B,1.762B,1.325B,1.30M,28.06M,-28.06M,1.325B,437.02M,28.06M,-28.06M,1.30M,-28.06M,410.26M,152.09M,258.17M,,258.17M,257.35M,534.84M,96.52M,438.32M,,2010-12,,,0.4386,0.44,,0.00,,,0.4386,0.44,584.94M,587.11M,0.26,AOR,Restated
2010-09,9.751B,9.751B,7.905B,1.846B,1.340B,1.684M,31.10M,-31.10M,1.340B,506.24M,31.10M,-31.10M,1.684M,-31.10M,476.82M,177.75M,299.07M,,299.07M,298.01M,609.64M,101.71M,507.92M,,2010-09,,,0.5082,0.51,,0.00,,,0.5082,0.51,588.71M,591.10M,0.25,AOR,Restated
2010-06,10.35B,10.35B,8.286B,2.063B,,,32.50M,-32.50M,1.479B,584.09M,32.50M,-32.50M,-2.924M,-32.50M,548.66M,210.88M,337.78M,,337.78M,337.78M,686.92M,105.76M,581.16M,,2010-06,,,0.57,0.57,,,,,0.57,0.57,591.28M,594.17M,0.25,AOR,Restated
2010-03,8.945B,8.945B,7.262B,1.683B,1.251B,-1.028M,27.65M,-27.65M,1.251B,432.10M,27.65M,-27.65M,-1.028M,-27.65M,403.42M,155.77M,247.65M,,247.65M,248.28M,525.86M,94.78M,431.08M,,2010-03,,,0.4211,0.42,,0.00,,,0.4211,0.42,593.13M,594.83M,0.25,AOR,Restated
2009-12,8.868B,8.868B,7.174B,1.695B,1.233B,1.138M,31.52M,-31.52M,1.233B,462.35M,31.52M,-31.52M,1.138M,-31.52M,431.97M,163.62M,268.35M,,268.35M,267.64M,559.01M,95.52M,463.49M,,2009-12,,,0.4488,0.45,,0.00,,,0.4488,0.45,592.65M,593.37M,0.25,AOR,Restated
2009-09,9.081B,9.081B,7.334B,1.747B,,2.012M,33.80M,-33.80M,1.250B,497.33M,33.80M,-33.80M,2.012M,-33.80M,465.54M,139.34M,326.20M,,326.20M,324.80M,593.25M,93.91M,499.34M,,2009-09,,,0.5476,0.55,,0.00,,,0.5476,0.55,591.57M,591.98M,0.24,AOR,Restated
2009-06,9.087B,9.087B,7.324B,1.763B,,3.395M,33.28M,-33.28M,1.222B,540.27M,33.28M,-33.28M,3.395M,-33.28M,510.39M,195.07M,315.31M,,315.31M,313.22M,641.85M,98.19M,543.67M,,2009-06,,,0.5264,0.53,,0.00,,,0.5265,0.53,590.55M,591.20M,0.24,AOR,Restated
2009-03,8.739B,8.739B,7.102B,1.637B,,3.514M,28.23M,-28.23M,1.232B,405.32M,28.23M,-28.23M,3.514M,-28.23M,380.60M,154.44M,226.17M,,226.17M,223.88M,502.38M,93.54M,408.84M,,2009-03,,,0.3761,0.38,,0.00,,,0.3761,0.38,590.15M,590.67M,0.24,AOR,Restated
2008-12,9.150B,9.150B,7.400B,1.750B,,5.223M,28.40M,-28.40M,1.328B,421.86M,28.40M,-28.40M,5.223M,-28.40M,398.69M,161.03M,237.65M,,237.65M,234.52M,523.34M,96.26M,427.09M,,2008-12,,,0.3948,0.40,,0.00,,,0.3948,0.40,597.55M,598.23M,0.24,,Restated
2008-09,9.877B,9.877B,7.991B,1.887B,,2.813M,26.41M,-26.41M,1.382B,504.75M,26.41M,-26.41M,2.813M,-26.41M,481.16M,204.34M,276.81M,,276.81M,274.99M,601.92M,94.35M,507.56M,,2008-09,,,0.4570,0.46,,0.00,,,0.4570,0.46,602.26M,605.71M,0.22,,Restated
2008-06,9.730B,9.730B,7.829B,1.901B,,4.27M,27.51M,-27.51M,1.343B,558.66M,27.51M,-27.51M,4.27M,-27.51M,535.42M,201.31M,334.11M,,334.11M,331.45M,659.71M,96.78M,562.93M,,2008-06,,,0.5556,0.56,,0.00,,,0.5456,0.55,601.48M,607.16M,0.22,,Restated
2008-03,9.147B,9.147B,7.412B,1.735B,,7.285M,28.74M,-28.74M,1.317B,417.64M,28.74M,-28.74M,7.285M,-28.74M,396.18M,155.28M,240.90M,,240.90M,236.47M,520.04M,95.11M,424.93M,,2008-03,,,0.3927,0.40,,0.00,,,0.3927,0.40,603.17M,605.77M,0.22,,Restated
2007-12,9.240B,9.240B,7.472B,1.768B,,,28.92M,-28.92M,1.319B,449.01M,28.92M,-28.92M,8.343M,-28.92M,428.44M,164.29M,264.15M,,264.15M,264.15M,547.54M,90.18M,457.36M,,2007-12,,,0.43,0.43,,,,,0.43,0.43,608.17M,614.62M,0.22,AOR,
2007-09,9.406B,9.406B,7.615B,1.791B,,,26.37M,-26.37M,1.337B,454.63M,26.37M,-26.37M,3.032M,-26.37M,431.29M,164.30M,266.99M,,266.99M,266.99M,548.12M,90.46M,457.66M,,2007-09,,,0.44,0.44,,,,,0.43,0.43,610.81M,617.11M,0.19,AOR,
2007-06,9.228B,9.228B,7.428B,1.801B,1.291B,2.786M,,,1.291B,509.48M,,,2.786M,,486.74M,183.35M,303.39M,,303.39M,301.65M,601.81M,92.32M,509.48M,,2007-06,,,0.4872,0.49,,0.00,,,0.4872,0.49,614.83M,623.17M,0.19,,
2007-03,8.573B,8.573B,6.939B,1.634B,1.250B,2.536M,,,1.250B,384.14M,,,2.536M,,360.98M,139.98M,221.00M,,221.00M,219.45M,475.51M,91.36M,384.14M,,2007-03,,,0.3575,0.36,,0.00,,,0.3475,0.35,617.68M,625.75M,0.19,,
2006-12,8.569B,8.569B,6.915B,1.653B,,,28.01M,-28.01M,1.231B,422.52M,28.01M,-28.01M,3.375M,-28.01M,397.89M,151.35M,246.54M,,246.54M,246.54M,514.71M,88.81M,425.90M,,2006-12,,,0.40,0.40,,,,,0.39,0.39,619.16M,628.43M,0.19,,Restated
2006-09,8.672B,8.672B,7.003B,1.669B,,,25.77M,-25.77M,1.277B,392.33M,25.77M,-25.77M,9.038M,-25.77M,375.61M,145.46M,230.15M,,230.15M,230.15M,491.43M,90.06M,401.37M,,2006-09,,,0.37,0.37,,,,,0.37,0.37,620.13M,625.49M,0.17,,Restated
2006-06,8.509B,8.509B,6.819B,1.690B,1.255B,2.862M,,,1.255B,434.71M,,,2.862M,,409.39M,155.28M,254.11M,0.00,254.11M,252.33M,527.82M,93.11M,434.71M,,2006-06,0.00,,0.4071,0.41,,0.00,0.0000,,0.4072,0.41,613.22M,626.68M,0.17,,
2006-03,8.138B,8.138B,6.602B,1.536B,1.193B,0.819M,,,1.193B,342.44M,,,0.819M,,313.82M,125.28M,188.54M,,188.54M,188.05M,424.84M,82.40M,342.44M,,2006-03,,,0.2992,0.30,,0.00,,,0.2992,0.30,618.97M,625.10M,0.17,,
2005-12,7.971B,7.971B,6.435B,1.536B,1.171B,2.22M,,,1.171B,364.84M,,,2.22M,,337.83M,133.65M,204.18M,,204.18M,202.84M,449.34M,84.50M,364.84M,,2005-12,,,0.3278,0.33,,0.00,,,0.3279,0.33,620.14M,627.15M,0.17,,
2005-09,8.010B,8.010B,6.481B,1.530B,1.177B,3.115M,,,1.177B,353.04M,,,3.115M,,333.90M,134.69M,199.21M,9.285M,208.50M,197.34M,438.09M,85.06M,353.04M,,2005-09,0.00,,0.3170,0.33,,0.01,0.0146,,0.3071,0.33,626.55M,634.96M,0.15,,
2005-06,7.981B,7.981B,6.438B,1.544B,1.081B,4.325M,,,1.081B,462.31M,,,4.325M,,447.26M,162.58M,284.68M,,284.68M,281.93M,548.09M,85.78M,462.31M,,2005-06,,,0.4457,0.45,,0.00,,,0.4258,0.43,634.44M,657.04M,0.15,,
2005-03,7.437B,7.437B,6.032B,1.405B,1.052B,2.919M,,,1.052B,352.81M,,,2.919M,,335.58M,117.36M,218.22M,,218.22M,216.32M,433.48M,80.67M,352.81M,,2005-03,,,0.3370,0.34,,0.00,,,0.3371,0.34,635.65M,650.75M,0.15,,
2004-12,7.331B,7.331B,5.934B,1.398B,1.005B,1.693M,,,1.005B,392.82M,,,1.693M,,376.75M,144.11M,232.64M,,232.64M,231.60M,469.05M,76.23M,392.82M,,2004-12,,,0.3584,0.36,,0.00,,,0.3584,0.36,638.64M,652.99M,0.15,,
2004-09,7.532B,7.532B,6.095B,1.437B,1.055B,1.969M,,,1.055B,381.58M,,,1.969M,,365.85M,139.94M,225.91M,,225.91M,224.70M,455.65M,74.06M,381.58M,,2004-09,,,0.3481,0.35,,0.00,,,0.3481,0.35,638.17M,650.78M,0.13,,
2004-06,8.139B,8.139B,6.554B,1.585B,1.112B,2.08M,,,1.112B,473.31M,,,2.08M,,456.26M,175.66M,280.60M,,280.60M,279.32M,547.85M,74.54M,473.31M,,2004-06,,,0.4380,0.44,,0.00,,,0.4181,0.42,641.00M,661.35M,0.13,,
2004-03,7.026B,7.026B,5.684B,1.341B,1.008B,1.25M,,,1.008B,332.90M,,,1.25M,,318.41M,122.59M,195.82M,,195.82M,195.06M,403.28M,70.38M,332.90M,,2004-03,,,0.3088,0.31,,0.00,,,0.2988,0.30,642.04M,663.10M,0.13,,
2003-12,7.037B,7.037B,5.669B,1.367B,996.85M,7.052M,,,996.85M,370.27M,,,7.052M,,360.94M,138.96M,221.98M,,221.98M,217.64M,439.27M,69.00M,370.27M,,2003-12,,,0.3333,0.34,,0.00,,,0.3334,0.34,644.72M,661.63M,0.13,,
2003-09,7.134B,7.134B,5.754B,1.381B,1.024B,1.983M,,,1.024B,356.18M,,,1.983M,,339.53M,130.72M,208.81M,,208.81M,207.59M,425.86M,69.68M,356.18M,,2003-09,,,0.3181,0.32,,0.00,,,0.3181,0.32,645.86M,657.27M,0.11,,
2003-06,6.972B,6.972B,5.583B,1.389B,976.12M,-0.332M,,,976.12M,413.06M,,,-0.332M,,393.10M,150.36M,242.74M,,242.74M,242.94M,482.04M,68.99M,413.06M,,2003-06,,,0.3803,0.38,,0.00,,,0.3703,0.37,637.85M,649.64M,0.11,,
2003-03,6.395B,6.395B,5.144B,1.251B,962.46M,2.661M,,,962.46M,288.35M,,,2.661M,,272.73M,104.32M,168.41M,,168.41M,166.77M,359.06M,70.72M,288.35M,,2003-03,,,0.2575,0.26,,0.00,,,0.2575,0.26,649.27M,657.99M,0.11,,
2002-12,6.349B,6.349B,5.098B,1.251B,937.29M,2.606M,,,937.29M,313.79M,,,2.606M,,298.89M,114.33M,184.57M,,184.57M,182.96M,381.43M,67.64M,313.79M,,2002-12,,,0.2775,0.28,,0.00,,,0.2776,0.28,652.03M,664.08M,0.11,,
2002-09,6.424B,6.424B,5.155B,1.270B,960.64M,3.412M,,,960.64M,309.08M,,,3.412M,,295.67M,113.09M,182.57M,,182.57M,180.47M,374.88M,65.80M,309.08M,,2002-09,,,0.2768,0.28,,0.00,,,0.2768,0.28,654.18M,663.54M,0.09,,
2002-06,6.311B,6.311B,5.047B,1.264B,914.90M,0.869M,,,914.90M,348.80M,,,0.869M,,333.47M,127.55M,205.92M,,205.92M,205.38M,423.58M,74.77M,348.80M,,2002-06,,,0.3192,0.32,,0.00,,,0.3092,0.31,650.08M,667.14M,0.09,,
2002-03,5.620B,5.620B,4.510B,1.110B,851.67M,0.877M,,,851.67M,258.60M,,,0.877M,,245.16M,93.77M,151.38M,,151.38M,150.84M,326.84M,68.24M,258.60M,,2002-03,,,0.2292,0.23,,0.00,,,0.2292,0.23,661.14M,672.53M,0.09,,
2001-12,5.591B,5.591B,4.482B,1.109B,836.36M,0.29M,,,836.36M,272.96M,,,0.29M,,256.73M,98.20M,158.53M,,158.53M,158.35M,341.58M,68.62M,272.96M,,2001-12,,,0.2397,0.24,,0.00,,,0.2397,0.24,661.96M,671.80M,0.09,,
2001-09,5.829B,5.829B,4.684B,1.145B,864.46M,0.769M,,,864.46M,280.60M,,,0.769M,,265.51M,101.56M,163.95M,,163.95M,163.48M,347.22M,66.62M,280.60M,,2001-09,,,0.2493,0.25,,0.00,,,0.2393,0.24,666.77M,677.92M,0.07,,
2001-06,5.789B,5.789B,4.821B,968.72M,,,,,667.26M,301.46M,,,-1.567M,,282.05M,107.88M,174.16M,,174.16M,174.16M,367.36M,66.00M,301.36M,,2001-06,,,0.26,0.26,,,,,0.26,0.26,667.96M,681.81M,0.07,AOR,
2001-03,5.344B,5.344B,4.238B,1.107B,800.16M,0.879M,,,863.44M,243.31M,,,0.879M,,225.69M,86.33M,139.36M,,139.36M,138.82M,306.60M,63.29M,243.31M,,2001-03,,,0.2092,0.21,,0.00,,,0.2092,0.21,666.11M,677.73M,0.07,,
2000-12,5.291B,5.291B,4.192B,1.099B,795.67M,-0.046M,,,854.91M,243.87M,,,-0.046M,,225.79M,86.36M,139.42M,,139.42M,139.45M,303.11M,59.24M,243.87M,,2000-12,,,0.2100,0.21,,0.00,,,0.2100,0.21,664.09M,675.76M,0.07,,
2000-09,5.360B,5.360B,4.263B,1.097B,787.50M,0.633M,,,847.21M,249.89M,,,0.633M,,233.12M,89.17M,143.96M,,143.96M,143.56M,309.60M,59.71M,249.89M,,2000-09,,,0.2144,0.215,,0.00,,,0.2144,0.215,664.05M,674.19M,0.06,,
2000-06,5.272B,5.272B,4.417B,854.58M,,,,,602.61M,251.96M,,,0.131M,,234.24M,90.18M,144.06M,,152.10M,144.06M,309.12M,58.68M,250.44M,,2000-06,,,0.21,0.22,,,,,0.20,0.21,663.30M,675.48M,0.06,,Restated
2000-03,4.723B,4.723B,3.774B,948.87M,709.50M,-0.088M,,,764.58M,184.29M,,,-0.088M,,165.85M,63.85M,102.00M,,102.00M,102.05M,239.37M,55.08M,184.29M,,2000-03,,,0.1601,0.16,,0.00,,,0.1601,0.16,658.61M,667.33M,0.06,,
