,OperatingRevenue,Revenue,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,4.691B,4.691B,,18.00M,,80.00M,-80.00M,,18.00M,80.00M,-80.00M,20.00M,-80.00M,519.00M,91.00M,428.00M,169.00M,,,,597.00M,428.00M,116.00M,599.00M,1.197,0.47,,1.197,0.47,1.176,0.46,,1.176,0.47,357.50M,363.90M,0.25
2017-12,4.587B,4.587B,,11.00M,0.00,78.00M,-78.00M,,11.00M,78.00M,-78.00M,19.00M,-78.00M,422.00M,980.00M,-558.00M,-3.145B,,,,-3.703B,-558.00M,99.00M,500.00M,-1.5630000000000002,-8.81,,-1.5630000000000002,-10.37,-1.5630000000000002,-8.81,,-1.5630000000000002,-10.37,357.10M,357.10M,0.25
2017-09,4.192B,4.192B,,1.00M,0.00,79.00M,-79.00M,,1.00M,79.00M,-79.00M,24.00M,-79.00M,181.00M,36.00M,145.00M,89.00M,,,,234.00M,145.00M,109.00M,260.00M,0.4,0.25,,0.4,0.65,0.4,0.24,,0.4,0.64,360.20M,367.00M,0.23
2017-06,4.214B,4.214B,,1.00M,,79.00M,-79.00M,,1.00M,79.00M,-79.00M,23.00M,-79.00M,-281.00M,-129.00M,-152.00M,112.00M,,,,-40.00M,-152.00M,95.00M,-202.00M,-0.4153,0.31,,-0.4153,0.31,-0.4153,0.31,,-0.4153,-0.1093,366.00M,366.00M,0.23
2017-03,4.169B,4.169B,,1.00M,,80.00M,-80.00M,,1.00M,80.00M,-80.00M,19.00M,-80.00M,401.00M,98.00M,303.00M,75.00M,,,,378.00M,303.00M,96.00M,481.00M,0.82,0.2,,0.82,1.02,0.8,0.2,,0.8,1.0,371.40M,378.60M,0.23
2016-12,2.47B,2.47B,,,,70.00M,-70.00M,,,70.00M,-70.00M,19.00M,-70.00M,-632.00M,-268.00M,-364.00M,,,,,-81.00M,-364.00M,102.00M,-562.00M,-0.915,,,-0.915,-1.766,-0.915,,,-0.915,-1.766,376.60M,383.70M,0.23
2016-09,4.715B,4.715B,,,,86.00M,-86.00M,,,86.00M,-86.00M,24.00M,-86.00M,528.00M,90.00M,438.00M,,,,,438.00M,438.00M,112.00M,614.00M,1.141,,,1.141,1.141,1.122,,,1.122,1.122,383.80M,390.50M,0.21
2016-06,4.696B,4.696B,,,,85.00M,-85.00M,,,85.00M,-85.00M,23.00M,-85.00M,170.00M,-46.00M,216.00M,,,,,216.00M,216.00M,89.00M,255.00M,0.5513,,,0.5513,0.5513,0.5419,,,0.5419,0.5419,391.80M,398.60M,0.21
2016-03,4.41B,4.41B,,,,86.00M,-86.00M,,,86.00M,-86.00M,20.00M,-86.00M,381.00M,58.00M,323.00M,,,,,323.00M,323.00M,95.00M,467.00M,0.8105,,,0.8105,0.8105,0.795,,,0.795,0.795,398.50M,406.30M,0.21
2015-12,2.133B,2.133B,,,0.00,75.00M,-75.00M,,0.00,75.00M,-75.00M,21.00M,-75.00M,4.00M,67.00M,-63.00M,484.00M,,,,421.00M,-63.00M,128.00M,79.00M,1.035,0.0,,1.035,1.03,1.012,0.0,,1.012,1.01,406.80M,415.90M,0.21
2015-09,4.562B,4.562B,,,,88.00M,-88.00M,,,88.00M,-88.00M,24.00M,-88.00M,379.00M,7.00M,372.00M,9.00M,,,,381.00M,372.00M,72.00M,467.00M,0.899,0.0218,,0.899,0.9207,0.8794,0.0213,,0.8794,0.9007,413.80M,423.00M,0.21
2015-06,4.685B,4.685B,,,-21.00M,89.00M,-89.00M,,-21.00M,89.00M,-89.00M,20.00M,-89.00M,470.00M,57.00M,413.00M,,,,,413.00M,431.45M,72.00M,559.00M,0.9864,,,1.03,0.9864,0.9647,,,1.008,0.9647,418.70M,428.10M,0.18
2015-03,4.617B,4.617B,,,,94.00M,-94.00M,,,94.00M,-94.00M,22.00M,-94.00M,625.00M,158.00M,467.00M,,,,,467.00M,467.00M,101.00M,719.00M,1.105,,,1.105,1.105,1.077,,,1.077,1.077,422.60M,433.70M,0.18
2014-12,4.617B,4.617B,,,0.00,94.00M,-94.00M,,0.00,94.00M,-94.00M,27.00M,-94.00M,444.00M,99.00M,345.00M,37.00M,,,,382.00M,345.00M,124.00M,538.00M,0.8031,0.0861,,0.8031,0.89,0.7795,0.0836,,0.7795,0.86,429.50M,443.10M,0.18
2014-09,4.769B,4.769B,,,0.00,93.00M,-93.00M,,0.00,93.00M,-93.00M,29.00M,-93.00M,496.00M,108.00M,388.00M,0.00,,,,388.00M,388.00M,92.00M,589.00M,0.89,0.0,,0.89,0.89,0.86,0.0,,0.86,0.86,437.20M,450.80M,0.18
2014-06,4.616B,4.616B,,,0.00,94.00M,-94.00M,,0.00,94.00M,-94.00M,31.00M,-94.00M,150.00M,0.00,150.00M,-617.00M,,,,-467.00M,150.00M,0.00,244.00M,0.3329,-1.37,,0.3329,-1.37,0.3206,-1.37,,0.3206,-1.37,450.60M,467.90M,0.15
2014-03,4.612B,4.612B,,,,95.00M,-95.00M,,,95.00M,-95.00M,25.00M,-95.00M,609.00M,143.00M,466.00M,29.00M,,,,495.00M,466.00M,60.00M,704.00M,1.036,0.06,,1.036,0.06,0.9737,0.06,,0.9737,0.06,449.80M,478.60M,0.15
2013-12,4.777B,4.777B,,,0.00,96.00M,-96.00M,,0.00,96.00M,-96.00M,74.00M,-96.00M,482.00M,98.00M,384.00M,-70.00M,,,0.00,314.00M,384.00M,49.00M,578.00M,0.7005,-0.0044,,0.7005,0.7,0.6501,-0.0044,,0.6501,0.65,451.00M,486.10M,0.15
2013-09,4.862B,4.862B,,,0.00,94.00M,-94.00M,,0.00,94.00M,-94.00M,68.00M,-94.00M,446.00M,81.00M,365.00M,-72.00M,,,,293.00M,365.00M,83.00M,540.00M,0.8073,-0.16,,0.8073,-0.16,0.744,-0.16,,0.744,-0.16,452.10M,490.60M,0.15
2013-06,4.734B,4.734B,,,0.00,100.00M,-100.00M,,0.00,100.00M,-100.00M,65.00M,-100.00M,237.00M,4.00M,233.00M,-423.00M,,,,-190.00M,233.00M,5.00M,337.00M,0.52,-0.94,,0.52,-0.42,0.48,-0.94,,0.48,-0.42,451.40M,489.00M,0.1
2013-03,9.024B,9.024B,,,-213.00M,107.00M,-107.00M,,-213.00M,107.00M,-107.00M,68.00M,-107.00M,-437.00M,-197.00M,-240.00M,-1.00M,,,10.00M,-241.00M,-101.55M,52.00M,-330.00M,-0.573,-0.01,,-0.2557,-0.01,-0.573,-0.01,,-0.2557,-0.5753,436.30M,436.30M,0.1
2012-12,3.664B,3.664B,,,0.00,109.00M,-109.00M,,0.00,109.00M,-109.00M,74.00M,-109.00M,252.00M,-23.00M,275.00M,-321.00M,,,11.00M,-46.00M,275.00M,101.00M,361.00M,-0.1032,-0.0023,,-0.1032,-0.13,-0.1032,-0.0023,,-0.1032,-0.13,436.20M,549.00M,0.1
2012-09,6.332B,6.332B,,,0.00,109.00M,-109.00M,,0.00,109.00M,-109.00M,64.00M,-109.00M,-48.00M,-41.00M,-7.00M,20.00M,,,10.00M,13.00M,-7.00M,116.00M,61.00M,-0.04,0.05,,-0.04,0.01,-0.04,0.05,,-0.04,0.01,435.80M,461.70M,0.1
2012-06,4.565B,4.565B,,,-910.00M,115.00M,-115.00M,,-910.00M,115.00M,-115.00M,61.00M,-115.00M,-274.00M,-166.00M,-108.00M,7.00M,,,11.00M,-101.00M,483.50M,152.00M,-159.00M,-0.27,0.01,,1.08,-0.26,-0.27,0.01,,1.08,-0.26,438.20M,438.20M,0.1
2012-03,7.661B,7.661B,,,0.00,124.00M,-124.00M,,0.00,124.00M,-124.00M,59.00M,-124.00M,2.00M,-95.00M,97.00M,-1.00M,,,10.00M,96.00M,97.00M,98.00M,126.00M,0.1974,-0.0023,,0.1974,0.1951,0.19,-0.01,,0.19,0.18,440.70M,469.00M,0.1
2011-12,5.512B,5.512B,,,-30.00M,124.00M,-124.00M,,-30.00M,124.00M,-124.00M,65.00M,-124.00M,-20.00M,-84.00M,64.00M,54.00M,,,11.00M,118.00M,83.50M,136.00M,104.00M,-0.0767,0.32,,-0.0329,-0.95,-0.0767,0.29,,-0.0352,-0.95,445.00M,469.00M,0.1
2011-09,4.52B,4.52B,1.287B,,0.00,128.00M,-128.00M,,1.287B,128.00M,-128.00M,63.00M,-128.00M,-17.00M,-74.00M,57.00M,3.00M,,,10.00M,60.00M,57.00M,148.00M,111.00M,0.11,0.0,,0.11,0.11,0.11,0.0,,0.11,0.11,445.30M,473.40M,0.1
2011-06,5.401B,5.401B,1.452B,,0.00,128.00M,-128.00M,592.00M,2.044B,128.00M,-128.00M,61.00M,-128.00M,-150.00M,-263.00M,113.00M,-80.00M,,,11.00M,33.00M,113.00M,256.00M,-22.00M,0.23,-0.18,,0.23,0.05,0.21,-0.18,,0.21,0.05,445.10M,482.40M,0.1
2011-03,6.30B,6.30B,1.354B,,,128.00M,-128.00M,450.00M,1.804B,128.00M,-128.00M,64.00M,-128.00M,387.00M,48.00M,339.00M,162.00M,,,10.00M,501.00M,339.00M,128.00M,515.00M,0.74,0.36,,0.74,1.1,0.67,0.32,,0.67,0.99,444.60M,508.20M,0.1
2010-12,5.93B,5.93B,,,,128.00M,-128.00M,,,128.00M,-128.00M,72.00M,-128.00M,675.00M,135.00M,540.00M,35.00M,,,11.00M,575.00M,540.00M,147.00M,803.00M,1.21,0.09,,1.21,1.3,1.11,0.09,,1.11,1.19,444.40M,542.70M,0.05
2010-09,6.602B,6.602B,1.046B,,,128.00M,-128.00M,431.00M,1.477B,128.00M,-128.00M,66.00M,-128.00M,917.00M,252.00M,665.00M,1.00M,,,10.00M,666.00M,665.00M,134.00M,1.045B,1.47,0.01,,1.47,1.48,1.34,0.0,,1.34,1.34,444.10M,495.30M,0.05
2010-06,3.265B,3.265B,1.111B,,,132.00M,-132.00M,935.00M,2.046B,132.00M,-132.00M,65.00M,-132.00M,144.00M,-31.00M,175.00M,-99.00M,,,11.00M,76.00M,175.00M,171.00M,276.00M,0.37,-0.22,,0.37,0.15,0.34,-0.22,,0.34,0.14,443.90M,480.20M,0.05
2010-03,6.257B,6.257B,1.121B,,,120.00M,-120.00M,647.00M,1.768B,120.00M,-120.00M,64.00M,-120.00M,535.00M,216.00M,319.00M,0.00,,,483.00M,319.00M,319.00M,144.00M,655.00M,-0.42,0.0,,-0.42,-0.42,-0.42,0.0,,-0.42,-0.42,393.70M,393.70M,0.05
2009-12,6.44B,6.44B,1.163B,,0.00,119.00M,-119.00M,647.00M,1.81B,119.00M,-119.00M,131.00M,-119.00M,728.00M,171.00M,557.00M,,,,62.00M,557.00M,557.00M,110.00M,847.00M,1.59,0.0,,1.59,1.59,1.59,0.0,,1.59,1.59,382.90M,382.90M,0.05
2009-09,5.23B,5.23B,1.174B,,,118.00M,-118.00M,687.00M,1.861B,118.00M,-118.00M,123.00M,-118.00M,-457.00M,-237.00M,-220.00M,,,,62.00M,-220.00M,-220.00M,101.00M,-339.00M,-0.79,0.0,,-0.79,-0.79,-0.79,0.0,,-0.79,-0.79,356.10M,356.10M,0.05
2009-06,7.637B,7.637B,959.00M,,0.00,119.00M,-119.00M,3.449B,4.408B,119.00M,-119.00M,120.00M,-119.00M,18.00M,33.00M,-15.00M,,,,3.00M,-15.00M,-15.00M,122.00M,137.00M,-0.06,0.0,,-0.06,-0.06,-0.06,0.0,,-0.06,-0.06,325.40M,325.40M,0.05
2009-03,5.394B,5.394B,898.00M,,32.00M,120.00M,-120.00M,1.064B,1.994B,120.00M,-120.00M,118.00M,-120.00M,-2.017B,-808.00M,-1.209B,,,,,-1.209B,-1.228B,137.00M,-1.897B,-3.77,0.0,,-3.83,-3.77,-3.77,0.0,,-3.83,-3.77,320.80M,320.80M,0.05
2008-12,565.00M,565.00M,967.00M,,745.00M,115.00M,-115.00M,-6.272B,-4.56B,115.00M,-115.00M,127.00M,-115.00M,-1.151B,-345.00M,-806.00M,,,,,-806.00M,-1.328B,98.00M,-1.036B,-2.7,0.0,,-4.437,-2.7,-2.7,0.0,,-4.437,-2.7,300.40M,300.40M,0.32
2008-09,-393.00M,-393.00M,1.029B,,0.00,84.00M,-84.00M,-4.732B,-3.703B,84.00M,-84.00M,132.00M,-84.00M,-4.183B,-1.552B,-2.631B,,,,,-2.631B,-2.631B,-213.00M,-4.099B,-8.74,0.0,,-8.74,-8.74,-8.74,0.0,,-8.74,-8.74,301.10M,301.10M,0.53
2008-06,7.503B,7.503B,1.047B,,0.00,77.00M,-77.00M,988.00M,2.035B,77.00M,-77.00M,125.00M,-77.00M,652.00M,109.00M,543.00M,,,,,543.00M,543.00M,286.00M,729.00M,1.74,0.0,,1.74,1.74,1.73,0.0,,1.73,1.73,311.70M,313.10M,0.53
2008-03,1.544B,1.544B,950.00M,,0.00,67.00M,-67.00M,-6.499B,-5.549B,67.00M,-67.00M,120.00M,-67.00M,91.00M,-54.00M,145.00M,,,,,145.00M,145.00M,190.00M,158.00M,0.46,0.0,,0.46,0.46,0.46,0.0,,0.46,0.46,313.80M,315.70M,0.53
2007-12,5.674B,5.674B,,,,67.00M,-67.00M,4.826B,4.826B,67.00M,-67.00M,-301.00M,-67.00M,781.00M,186.00M,595.00M,,,,,595.00M,595.00M,310.00M,848.00M,1.9,0.0,,1.9,1.9,1.89,0.0,,1.89,1.89,313.30M,316.10M,0.53
2007-09,5.823B,5.823B,,,,67.00M,-67.00M,4.581B,4.581B,67.00M,-67.00M,-237.00M,-67.00M,1.175B,324.00M,851.00M,,,,,851.00M,851.00M,202.00M,1.242B,2.7,0.0,,2.7,2.7,2.68,0.0,,2.68,2.68,315.40M,318.00M,0.5
2007-06,7.66B,7.66B,,,,66.00M,-66.00M,6.757B,6.757B,66.00M,-66.00M,-123.00M,-66.00M,837.00M,210.00M,627.00M,,,,,627.00M,627.00M,170.00M,903.00M,1.98,0.0,,1.98,1.98,1.96,0.0,,1.96,1.96,316.80M,319.60M,0.5
2007-03,6.759B,6.759B,,,,63.00M,-63.00M,1.279B,1.279B,63.00M,-63.00M,1.399B,-63.00M,1.212B,336.00M,876.00M,,,,,876.00M,876.00M,112.00M,1.275B,2.74,0.0,,2.74,2.74,2.71,0.0,,2.71,2.71,319.60M,322.70M,0.5
2006-12,7.579B,7.579B,,,,70.00M,-70.00M,1.133B,1.133B,70.00M,-70.00M,1.425B,-70.00M,1.002B,219.00M,783.00M,,,,,783.00M,783.00M,219.00M,1.072B,2.48,0.0,,2.48,2.48,2.44,0.0,,2.44,2.44,317.20M,321.30M,0.5
2006-09,7.407B,7.407B,,,,70.00M,-70.00M,996.00M,996.00M,70.00M,-70.00M,1.27B,-70.00M,1.011B,253.00M,758.00M,,,,,758.00M,758.00M,69.00M,1.081B,2.45,0.0,,2.45,2.45,2.39,0.0,,2.39,2.39,310.00M,316.70M,0.4
2006-06,4.971B,4.971B,,,,71.00M,-71.00M,995.00M,995.00M,71.00M,-71.00M,1.274B,-71.00M,605.00M,129.00M,476.00M,,,,,476.00M,476.00M,274.00M,676.00M,1.57,0.0,,1.57,1.57,1.52,0.0,,1.52,1.52,303.30M,312.30M,0.4
2006-03,6.543B,6.543B,,,,66.00M,-66.00M,897.00M,897.00M,66.00M,-66.00M,1.244B,-66.00M,984.00M,256.00M,728.00M,,,,,728.00M,728.00M,44.00M,1.05B,2.41,0.0,,2.41,2.41,2.34,0.0,,2.34,2.34,302.20M,310.90M,0.4
2005-12,7.71B,7.71B,,,,63.00M,-63.00M,1.101B,1.101B,63.00M,-63.00M,1.188B,-63.00M,548.00M,81.00M,467.00M,,,,,467.00M,467.00M,193.00M,611.00M,1.55,0.0,,1.55,1.55,1.5,0.0,,1.5,1.5,300.70M,310.10M,0.3
2005-09,7.307B,7.307B,,,,62.00M,-62.00M,959.00M,959.00M,62.00M,-62.00M,1.145B,-62.00M,696.00M,157.00M,539.00M,,,,,539.00M,539.00M,156.00M,758.00M,1.8,0.0,,1.8,1.8,1.76,0.0,,1.76,1.76,299.20M,307.00M,0.29
2005-06,6.064B,6.064B,,,,64.00M,-64.00M,954.00M,954.00M,64.00M,-64.00M,1.079B,-64.00M,827.00M,225.00M,602.00M,,,,,602.00M,602.00M,183.00M,891.00M,2.03,0.0,,2.03,2.03,1.98,0.0,,1.98,1.98,297.10M,303.90M,0.29
2005-03,6.002B,6.002B,,,,63.00M,-63.00M,887.00M,887.00M,63.00M,-63.00M,1.064B,-63.00M,914.00M,248.00M,666.00M,,,,,666.00M,666.00M,29.00M,977.00M,2.26,0.0,,2.26,2.26,2.21,0.0,,2.21,2.21,294.80M,301.30M,0.29
2004-12,6.116B,6.116B,,,,62.00M,-62.00M,876.00M,876.00M,62.00M,-62.00M,1.046B,-62.00M,821.00M,201.00M,620.00M,,0.00,,,620.00M,620.00M,84.00M,883.00M,2.12,0.0,0.0,2.12,2.12,2.08,0.0,0.0001,2.08,2.08,293.80M,298.20M,0.29
2004-09,5.416B,5.416B,,,,61.00M,-61.00M,874.00M,874.00M,61.00M,-61.00M,974.00M,-61.00M,307.00M,-187.00M,494.00M,,0.00,,,494.00M,494.00M,-8.00M,368.00M,1.68,0.0,0.0,1.68,1.68,1.66,0.0,0.0,1.66,1.66,293.20M,297.50M,0.28
2004-06,5.444B,5.444B,,,,62.00M,-62.00M,829.00M,829.00M,62.00M,-62.00M,959.00M,-62.00M,577.00M,144.00M,433.00M,,0.00,,,433.00M,433.00M,165.00M,639.00M,1.48,0.0,0.0,1.48,1.48,1.46,0.0,0.0,1.46,1.46,292.30M,297.50M,0.28
2004-03,5.732B,5.732B,,,,66.00M,-66.00M,872.00M,872.00M,66.00M,-66.00M,929.00M,-66.00M,818.00M,227.00M,591.00M,,-23.00M,,,568.00M,591.00M,33.00M,884.00M,2.04,-0.08,0.0,2.04,1.96,2.01,-0.08,-0.0793,2.01,1.93,289.90M,294.90M,0.28
2003-12,4.773B,4.773B,,,,66.00M,-66.00M,764.00M,764.00M,66.00M,-66.00M,913.00M,-66.00M,610.00M,156.00M,454.00M,,0.00,,,454.00M,454.00M,20.00M,676.00M,1.7,0.0,0.0,1.7,1.7,1.7,0.0,0.0,1.7,1.7,282.90M,282.90M,0.28
2003-09,4.947B,4.947B,,,,70.00M,-70.00M,810.00M,810.00M,70.00M,-70.00M,861.00M,-70.00M,436.00M,93.00M,343.00M,,0.00,,,343.00M,343.00M,188.00M,506.00M,1.21,0.0,0.0,1.21,1.21,1.2,0.0,0.0,1.2,1.2,282.50M,284.80M,0.27
2003-06,4.682B,4.682B,,,,69.00M,-69.00M,798.00M,798.00M,69.00M,-69.00M,803.00M,-69.00M,629.00M,122.00M,507.00M,,0.00,,,507.00M,507.00M,-61.00M,698.00M,1.89,0.0,0.0,1.89,1.89,1.88,0.0,0.0,1.88,1.88,268.80M,270.20M,0.27
2003-03,4.331B,4.331B,,,,66.00M,-66.00M,681.00M,681.00M,66.00M,-66.00M,739.00M,-66.00M,-2.225B,-830.00M,-1.395B,,0.00,,,-1.395B,-1.395B,72.00M,-2.159B,-5.46,0.0,0.0,-5.46,-5.46,-5.46,0.0,0.0,-5.46,-5.46,255.40M,255.40M,0.27
2002-12,4.671B,4.671B,,0.00,,,,850.00M,850.00M,,,744.00M,,306.00M,48.00M,258.00M,,0.00,,,258.00M,258.00M,2.284B,306.00M,1.01,0.0,0.0,1.01,1.01,1.01,0.0,0.0,1.01,1.01,255.40M,256.30M,0.27
2002-09,3.961B,3.961B,,0.00,,,,766.00M,766.00M,,,742.00M,,194.00M,-71.00M,265.00M,,0.00,,,265.00M,265.00M,26.00M,194.00M,1.06,0.0,0.0,1.06,1.06,1.06,0.0,0.0,1.06,1.06,248.90M,250.50M,0.26
2002-06,3.992B,3.992B,,,,,,,,,,1.352B,,0.00,15.00M,185.00M,,,,,185.00M,185.00M,22.00M,0.00,0.75,0.0,,0.75,0.75,0.74,0.0,,0.74,0.74,247.40M,250.70M,0.26
2002-03,3.90B,3.90B,,0.00,,,,721.00M,721.00M,,,775.00M,,368.00M,76.00M,292.00M,,0.00,,,292.00M,292.00M,13.00M,368.00M,1.19,0.0,0.0,1.19,1.19,1.17,0.0,0.0,1.17,1.17,246.10M,249.70M,0.26
2001-12,4.689B,4.689B,,,,,,,,,,3.434B,,-190.00M,7.00M,144.00M,,0.00,,,144.00M,144.00M,34.00M,-190.00M,0.58,0.01,0.0,0.58,0.59,0.58,0.01,0.0015,0.58,0.58,245.31M,247.21M,0.26
2001-09,3.722B,3.722B,,15.00M,,,,691.00M,706.00M,,,775.00M,,-426.00M,-323.00M,-103.00M,,0.00,0.00,,-103.00M,-103.00M,34.00M,-426.00M,-0.43,0.0,0.0,-0.43,-0.43,-0.43,0.0,0.0,-0.43,-0.43,238.00M,238.00M,0.25
2001-06,3.847B,3.847B,,17.00M,,,,641.00M,658.00M,,,809.00M,,295.00M,58.00M,237.00M,,-11.00M,0.00,,226.00M,237.00M,-11.00M,295.00M,1.0,-0.05,0.0,1.0,0.95,0.98,-0.05,-0.0464,0.98,0.94,237.30M,241.30M,0.25
2001-03,3.722B,3.722B,,,,,,672.00M,672.00M,,,720.00M,,321.00M,58.00M,263.00M,,-23.00M,0.00,,240.00M,263.00M,15.00M,321.00M,1.14,-0.1,0.0,1.14,1.04,1.12,-0.1,-0.0994,1.12,1.02,231.50M,235.50M,0.25
2000-12,3.899B,3.899B,,,,,,649.00M,649.00M,,,,,497.00M,224.00M,327.00M,,,0.00,,273.00M,273.00M,17.00M,497.00M,1.22,0.0,,1.22,1.22,1.19,0.0,,1.19,1.19,225.70M,230.70M,0.25
2000-09,3.791B,3.791B,,,,,,727.00M,727.00M,,,,,319.00M,69.00M,250.00M,,,0.00,,250.00M,250.00M,19.00M,319.00M,1.11,0.0,,1.11,1.11,1.09,0.0,,1.09,1.09,224.40M,229.30M,0.24
2000-06,3.514B,3.514B,,,,,,628.00M,628.00M,,,,,258.00M,19.00M,213.00M,,,-26.00M,,213.00M,213.00M,7.00M,258.00M,0.98,0.0,,0.98,0.98,0.97,0.0,,0.97,0.97,216.50M,219.90M,0.24
2000-03,3.499B,3.499B,,,,,,,,,,1.366B,,0.00,78.00M,238.00M,,,28.00M,,238.00M,238.00M,20.00M,0.00,1.1,0.0,,1.1,1.1,1.1,0.0,,1.1,1.1,215.80M,215.80M,0.24
1999-12,3.436B,3.436B,,,,,,,,,,538.00M,,1.235B,85.00M,309.00M,,,-149.00M,,223.00M,223.00M,10.00M,1.235B,1.01,0.0,,1.01,1.01,1.0,0.0,,1.0,1.0,219.81M,222.90M,0.24
1999-09,3.444B,3.444B,,,,,,,,,,632.00M,,0.00,45.00M,186.00M,,,22.00M,,186.00M,186.00M,12.00M,0.00,0.83,0.0,,0.83,0.83,0.82,0.0,,0.82,0.82,224.10M,226.83M,0.23
1999-06,3.349B,3.349B,,,,,,,,,,661.00M,,0.00,71.00M,215.00M,,,21.00M,,215.00M,215.00M,21.00M,0.00,0.95,0.0,,0.95,0.95,0.93,0.0,,0.93,0.93,226.32M,231.18M,0.23
