,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-05,4.357B,4.357B,2.681B,1.676B,,,605.00M,,,49.00M,3.00M,-46.00M,,1.117B,559.00M,3.00M,49.00M,-46.00M,51.00M,-46.00M,564.00M,3.00M,561.00M,,,561.00M,520.22M,1.125B,512.00M,613.00M,,0.79,,0.7329,0.79,,0.78,,0.7230,0.78,,714.00M,715.00M,0.50,,AOR,Restated
2018-02,4.232B,4.232B,2.709B,1.523B,,,616.00M,,,48.00M,3.00M,-45.00M,,1.104B,419.00M,3.00M,48.00M,-45.00M,17.00M,-45.00M,390.00M,0.00,390.00M,,,391.00M,375.00M,926.00M,488.00M,438.00M,,0.54,,0.5177,0.54,,0.54,,0.5177,0.54,,717.00M,719.00M,0.45,,AOR,Restated
2017-11,4.259B,4.259B,2.617B,1.642B,,,616.00M,,0.00,48.00M,2.00M,-46.00M,,1.094B,548.00M,2.00M,48.00M,-46.00M,58.00M,-46.00M,560.00M,14.00M,546.00M,,,546.00M,493.35M,1.086B,478.00M,608.00M,,0.76,,0.6865,0.76,,0.76,,0.6868,0.76,,716.00M,719.00M,0.45,,AOR,Restated
2017-08,5.515B,5.515B,3.013B,2.502B,,,547.00M,,-89.00M,49.00M,3.00M,-46.00M,,1.02B,1.482B,3.00M,49.00M,-46.00M,-68.00M,-46.00M,1.368B,39.00M,1.329B,,,1.329B,1.409B,1.89B,472.00M,1.417B,,1.84,,1.950,1.84,,1.83,,1.940,1.83,,723.00M,726.00M,0.40,,AOR,Restated
2017-05,3.945B,3.945B,2.436B,1.509B,,,553.00M,,,50.00M,2.00M,-48.00M,,1.009B,500.00M,2.00M,50.00M,-48.00M,-68.00M,-48.00M,384.00M,5.00M,379.00M,,,379.00M,431.31M,891.00M,457.00M,434.00M,,0.52,,0.5923,0.52,,0.52,,0.5920,0.52,,724.00M,727.00M,0.40,,AOR,Restated
2017-02,3.791B,3.791B,2.435B,1.356B,,,549.00M,,,51.00M,2.00M,-49.00M,,988.00M,368.00M,2.00M,51.00M,-49.00M,35.00M,-49.00M,354.00M,2.00M,352.00M,,,352.00M,325.15M,844.00M,439.00M,405.00M,,0.48,,0.4430,0.48,,0.48,,0.4431,0.48,,725.00M,728.00M,0.35,,AOR,Restated
2016-11,3.935B,3.935B,2.319B,1.616B,,,584.00M,,0.00,55.00M,1.00M,-54.00M,,1.019B,597.00M,1.00M,55.00M,-54.00M,70.00M,-54.00M,613.00M,5.00M,608.00M,,,608.00M,553.45M,1.103B,435.00M,668.00M,,0.84,,0.7650,0.84,,0.83,,0.7550,0.83,,727.00M,727.00M,0.35,,AOR,Restated
2016-08,5.097B,5.097B,2.563B,2.534B,,,529.00M,,0.00,61.00M,2.00M,-59.00M,,972.00M,1.562B,2.00M,61.00M,-59.00M,-38.00M,-59.00M,1.465B,41.00M,1.424B,,,1.424B,1.459B,1.969B,442.00M,1.526B,,1.93,,1.977,1.93,,1.93,,1.977,1.93,,737.00M,739.00M,0.35,,AOR,Restated
2016-05,3.705B,3.705B,2.258B,1.447B,,,532.00M,,,57.00M,2.00M,-55.00M,,969.00M,478.00M,2.00M,57.00M,-55.00M,184.00M,-55.00M,607.00M,2.00M,605.00M,,,605.00M,434.56M,1.102B,438.00M,664.00M,,0.81,,0.5831,0.81,,0.80,,0.5737,0.80,,751.00M,753.00M,0.35,,AOR,Restated
2016-02,3.651B,3.651B,2.243B,1.408B,,,551.00M,,,52.00M,2.00M,-50.00M,,974.00M,434.00M,2.00M,52.00M,-50.00M,-241.00M,-50.00M,143.00M,1.00M,142.00M,,,142.00M,376.35M,618.00M,423.00M,195.00M,,0.18,,0.4859,0.18,,0.18,,0.4847,0.18,,766.00M,769.00M,0.30,,AOR,Restated
2015-11,3.711B,3.711B,2.218B,1.493B,,,563.00M,,,50.00M,2.00M,-48.00M,,983.00M,510.00M,2.00M,50.00M,-48.00M,-191.00M,-48.00M,271.00M,1.00M,270.00M,,,270.00M,467.27M,741.00M,420.00M,321.00M,,0.35,,0.6049,0.35,,0.35,,0.6049,0.35,,774.00M,774.00M,0.30,,AOR,Restated
2015-08,4.883B,4.883B,2.49B,2.393B,,,484.00M,,,53.00M,2.00M,-51.00M,,883.00M,1.51B,2.00M,53.00M,-51.00M,-209.00M,-51.00M,1.25B,34.00M,1.216B,,,1.216B,1.408B,1.702B,399.00M,1.303B,,1.56,,1.806,1.56,,1.56,,1.805,1.56,,778.00M,781.00M,0.30,,AOR,Restated
2015-05,3.59B,3.59B,2.404B,1.186B,,,491.00M,,,57.00M,2.00M,-55.00M,,897.00M,289.00M,2.00M,57.00M,-55.00M,-8.00M,-55.00M,226.00M,4.00M,222.00M,,,222.00M,234.77M,689.00M,406.00M,283.00M,,0.29,,0.3064,0.29,,0.29,,0.3064,0.29,,778.00M,780.00M,0.25,,AOR,Restated
2015-02,3.531B,3.531B,2.335B,1.196B,,,529.00M,,,57.00M,2.00M,-55.00M,,930.00M,266.00M,2.00M,57.00M,-55.00M,-159.00M,-55.00M,52.00M,3.00M,49.00M,,,49.00M,208.25M,510.00M,401.00M,109.00M,,0.06,,0.2650,0.06,,0.06,,0.2644,0.06,,777.00M,779.00M,0.25,,AOR,Restated
2014-11,3.719B,3.719B,2.498B,1.221B,,,547.00M,,,75.00M,2.00M,-73.00M,,955.00M,266.00M,2.00M,75.00M,-73.00M,-289.00M,-73.00M,-96.00M,7.00M,-103.00M,,,-103.00M,79.65M,387.00M,408.00M,-21.00M,,-0.13,,0.1054,-0.13,,-0.13,,0.1048,-0.13,,776.00M,778.00M,0.25,,AOR,Restated
2014-08,4.947B,4.947B,2.76B,2.187B,,,481.00M,,,69.00M,2.00M,-67.00M,,895.00M,1.292B,2.00M,69.00M,-67.00M,16.00M,-67.00M,1.241B,0.00,1.241B,,,1.241B,1.226B,1.724B,414.00M,1.31B,,1.60,,1.581,1.60,,1.60,,1.581,1.60,,776.00M,778.00M,0.25,,AOR,Restated
2014-05,3.633B,3.633B,2.572B,1.061B,,,504.00M,,,72.00M,2.00M,-70.00M,,914.00M,147.00M,2.00M,72.00M,-70.00M,22.00M,-70.00M,99.00M,1.00M,98.00M,,,98.00M,87.11M,581.00M,410.00M,171.00M,,0.13,,0.1160,0.13,,0.13,,0.1160,0.13,,776.00M,778.00M,0.25,,AOR,Restated
2014-02,3.585B,3.585B,2.592B,993.00M,,,521.00M,,,72.00M,2.00M,-70.00M,,926.00M,67.00M,2.00M,72.00M,-70.00M,-16.00M,-70.00M,-19.00M,1.00M,-20.00M,,,-20.00M,-9.60M,458.00M,405.00M,53.00M,,-0.03,,-0.0166,-0.03,,-0.03,,-0.0166,-0.03,,776.00M,776.00M,0.25,,AOR,Restated
2013-11,3.658B,3.658B,2.642B,1.016B,,,532.00M,,0.00,82.00M,4.00M,-78.00M,,936.00M,80.00M,4.00M,82.00M,-78.00M,32.00M,-78.00M,34.00M,-9.00M,43.00M,,,43.00M,22.85M,520.00M,404.00M,116.00M,,0.09,,0.064,0.09,,0.08,,0.0541,0.08,,775.00M,777.00M,0.25,,AOR,Restated
2013-08,4.726B,4.726B,2.917B,1.809B,,,439.00M,,-13.00M,76.00M,2.00M,-74.00M,,845.00M,964.00M,2.00M,76.00M,-74.00M,45.00M,-74.00M,935.00M,1.00M,934.00M,,,934.00M,883.05M,1.417B,406.00M,1.011B,,1.20,,1.134,1.20,,1.20,,1.134,1.20,,775.00M,777.00M,0.25,,AOR,Restated
2013-05,3.479B,3.479B,2.487B,992.00M,,,449.00M,,,78.00M,3.00M,-75.00M,,840.00M,152.00M,3.00M,78.00M,-75.00M,-36.00M,-75.00M,41.00M,0.00,41.00M,,,41.00M,72.00M,510.00M,391.00M,119.00M,,0.05,,0.09,0.05,,0.05,,0.0899,0.05,,775.00M,777.00M,0.25,,AOR,Restated
2013-02,3.593B,3.593B,2.599B,994.00M,,,460.00M,,,83.00M,2.00M,-81.00M,,849.00M,145.00M,2.00M,83.00M,-81.00M,-25.00M,-81.00M,39.00M,2.00M,37.00M,,,37.00M,63.56M,511.00M,389.00M,122.00M,,0.05,,0.0842,0.05,,0.05,,0.0841,0.05,,776.00M,778.00M,0.25,,AOR,Restated
2012-11,3.578B,3.578B,2.551B,1.027B,,,459.00M,,0.00,77.00M,2.00M,-75.00M,,851.00M,176.00M,2.00M,77.00M,-75.00M,-8.00M,-75.00M,93.00M,0.00,93.00M,,,93.00M,93.00M,562.00M,392.00M,170.00M,,0.12,,0.12,0.12,,0.12,,0.12,0.12,,778.00M,779.00M,0.25,,AOR,Restated
2012-08,4.684B,4.684B,2.597B,2.087B,,,409.00M,,0.00,84.00M,2.00M,-82.00M,,792.00M,1.295B,2.00M,84.00M,-82.00M,123.00M,-82.00M,1.336B,6.00M,1.33B,,,1.33B,1.207B,1.803B,383.00M,1.42B,,1.71,,1.551,1.71,,1.71,,1.552,1.71,,778.00M,779.00M,0.25,,AOR,Restated
2012-05,3.538B,3.538B,2.478B,1.06B,,,431.00M,,0.00,87.00M,3.00M,-84.00M,,807.00M,253.00M,3.00M,87.00M,-84.00M,-155.00M,-84.00M,14.00M,0.00,14.00M,,,14.00M,159.00M,477.00M,376.00M,101.00M,,0.02,,0.2061,0.02,,0.02,,0.2061,0.02,,779.00M,779.00M,0.25,,AOR,Restated
2012-02,3.582B,3.582B,2.694B,888.00M,,,421.00M,,-173.00M,88.00M,3.00M,-85.00M,,797.00M,91.00M,3.00M,88.00M,-85.00M,-147.00M,-85.00M,-141.00M,-2.00M,-139.00M,,,-139.00M,10.84M,323.00M,376.00M,-53.00M,,-0.18,,0.0126,-0.18,,-0.18,,0.0126,-0.18,,778.00M,778.00M,0.25,,AOR,Restated
2011-11,3.697B,3.697B,2.569B,1.128B,,,435.00M,,-21.00M,92.00M,3.00M,-89.00M,,820.00M,308.00M,3.00M,92.00M,-89.00M,-10.00M,-89.00M,209.00M,-8.00M,217.00M,,,217.00M,230.65M,686.00M,385.00M,301.00M,,0.28,0.00,0.2976,0.28,,0.28,0.00,0.2976,0.28,,775.00M,777.00M,0.25,,AOR,Restated
2011-08,5.058B,5.058B,2.814B,2.244B,,,421.00M,,2.00M,96.00M,3.00M,-93.00M,,811.00M,1.433B,3.00M,96.00M,-93.00M,2.00M,-93.00M,1.342B,5.00M,1.337B,,,1.337B,1.335B,1.828B,390.00M,1.438B,,1.69,0.00,1.687,1.69,,1.69,0.00,1.687,1.69,,790.00M,792.00M,0.25,,AOR,Restated
2011-05,3.62B,3.62B,2.521B,1.099B,,,440.00M,,13.00M,91.00M,3.00M,-88.00M,,820.00M,279.00M,3.00M,91.00M,-88.00M,13.00M,-88.00M,204.00M,-2.00M,206.00M,,,206.00M,197.55M,675.00M,380.00M,295.00M,,0.26,0.00,0.2493,0.26,,0.26,0.00,0.2493,0.26,,791.00M,793.00M,0.25,,AOR,Restated
2011-02,3.419B,3.419B,2.395B,1.024B,,,422.00M,,6.00M,86.00M,2.00M,-84.00M,,789.00M,235.00M,2.00M,86.00M,-84.00M,6.00M,-84.00M,157.00M,5.00M,152.00M,,,152.00M,146.19M,610.00M,367.00M,243.00M,,0.19,0.00,0.1826,0.19,,0.19,0.00,0.1827,0.19,,790.00M,794.00M,0.25,,AOR,Restated
2010-11,3.497B,3.497B,2.356B,1.141B,,,433.00M,,7.00M,93.00M,2.00M,-91.00M,,800.00M,341.00M,2.00M,93.00M,-91.00M,5.00M,-91.00M,255.00M,7.00M,248.00M,,,248.00M,241.19M,715.00M,367.00M,348.00M,,0.31,,0.3014,0.31,,0.31,,0.3015,0.31,,788.00M,802.00M,0.10,,AOR,Restated
2010-08,4.527B,4.527B,2.389B,2.138B,,,381.00M,,-2.00M,90.00M,3.00M,-87.00M,,736.00M,1.402B,3.00M,90.00M,-87.00M,-2.00M,-87.00M,1.313B,10.00M,1.303B,,,1.303B,1.305B,1.758B,355.00M,1.403B,,1.65,0.00,1.653,1.65,,1.62,0.00,1.622,1.62,,789.00M,806.00M,0.10,,AOR,Restated
2010-05,3.267B,3.267B,2.165B,1.102B,,,404.00M,,-2.00M,99.00M,3.00M,-96.00M,,753.00M,349.00M,3.00M,99.00M,-96.00M,-2.00M,-96.00M,251.00M,-1.00M,252.00M,,,252.00M,253.30M,699.00M,349.00M,350.00M,,0.32,0.00,0.3216,0.32,,0.32,0.00,0.3216,0.32,,788.00M,806.00M,0.10,,AOR,Restated
2010-02,3.178B,3.178B,2.182B,996.00M,,,396.00M,,-3.00M,96.00M,4.00M,-92.00M,,741.00M,255.00M,4.00M,96.00M,-92.00M,-3.00M,-92.00M,160.00M,-15.00M,175.00M,,,175.00M,176.95M,601.00M,345.00M,256.00M,,0.22,0.00,0.2225,0.22,,0.22,0.00,0.2224,0.22,,787.00M,805.00M,0.10,,AOR,Restated
2009-11,3.509B,3.509B,6.397B,-2.888B,,,424.00M,,,99.00M,4.00M,-95.00M,,-3.182B,294.00M,4.00M,99.00M,-95.00M,2.00M,-95.00M,201.00M,8.00M,193.00M,,,193.00M,193.00M,645.00M,345.00M,300.00M,,0.24,,0.24,0.24,,0.24,,0.24,0.24,,787.00M,789.00M,0.00,,AOR,Restated
2009-08,4.139B,4.139B,791.00M,3.348B,,,381.00M,,-8.00M,95.00M,4.00M,-91.00M,1.435B,2.152B,1.196B,4.00M,95.00M,-91.00M,-8.00M,-91.00M,1.097B,24.00M,1.073B,,,1.073B,1.081B,1.528B,336.00M,1.192B,,1.36,0.00,1.370,1.36,,1.33,0.00,1.340,1.33,,787.00M,809.00M,0.00,,AOR,Restated
2009-05,2.948B,2.948B,1.885B,1.063B,,,393.00M,,5.00M,90.00M,2.00M,-88.00M,,710.00M,353.00M,2.00M,90.00M,-88.00M,5.00M,-88.00M,270.00M,6.00M,264.00M,,,264.00M,259.11M,677.00M,317.00M,360.00M,,0.34,0.00,0.3338,0.34,,0.33,0.00,0.3239,0.33,,787.00M,800.00M,0.00,,AOR,Restated
2009-02,2.864B,2.864B,1.85B,1.014B,,,392.00M,,19.00M,96.00M,4.00M,-92.00M,,703.00M,311.00M,4.00M,96.00M,-92.00M,19.00M,-92.00M,238.00M,-22.00M,260.00M,,,260.00M,247.65M,645.00M,311.00M,334.00M,,0.33,0.00,0.3143,0.33,,0.33,0.00,0.3146,0.33,,787.00M,803.00M,0.00,,,Restated
2008-11,3.603B,3.603B,2.433B,1.17B,,,407.00M,,,112.00M,5.00M,-107.00M,,720.00M,450.00M,5.00M,112.00M,-107.00M,21.00M,-107.00M,364.00M,-1.00M,365.00M,,,365.00M,365.00M,789.00M,313.00M,476.00M,,0.47,,0.47,0.47,,0.47,,0.47,0.47,,786.00M,810.00M,0.40,,AOR,Restated
2008-08,4.814B,4.814B,2.634B,2.18B,,,372.00M,,0.00,108.00M,8.00M,-100.00M,,695.00M,1.485B,8.00M,108.00M,-100.00M,,-100.00M,1.385B,52.00M,1.333B,,,1.333B,1.333B,1.816B,323.00M,1.493B,,1.70,0.00,1.70,1.70,,1.65,0.00,1.65,1.65,,786.00M,814.00M,0.40,,AOR,Restated
2008-05,3.378B,3.378B,2.159B,1.219B,,,425.00M,,4.00M,102.00M,12.00M,-90.00M,,737.00M,482.00M,12.00M,102.00M,-90.00M,4.00M,-90.00M,396.00M,6.00M,390.00M,,,390.00M,386.06M,810.00M,312.00M,498.00M,,0.50,0.00,0.4950,0.50,,0.49,0.00,0.4852,0.49,,786.00M,819.00M,0.40,,AOR,Restated
2008-02,3.152B,3.152B,2.114B,1.038B,,,425.00M,,2.00M,98.00M,10.00M,-88.00M,,726.00M,312.00M,10.00M,98.00M,-88.00M,2.00M,-88.00M,226.00M,-10.00M,236.00M,,,236.00M,234.70M,625.00M,301.00M,324.00M,,0.30,0.00,0.2983,0.30,,0.30,0.00,0.2984,0.30,,786.00M,814.00M,0.40,,AOR,
2007-11,3.124B,3.124B,1.985B,1.139B,,,426.00M,,-1.00M,94.00M,20.00M,-74.00M,,716.00M,423.00M,20.00M,94.00M,-74.00M,,-74.00M,348.00M,-10.00M,358.00M,,,358.00M,358.65M,2.354B,1.912B,442.00M,,0.46,0.00,0.4608,0.46,,0.44,0.00,0.4408,0.44,,790.00M,825.00M,0.40,,AOR,Restated
2007-08,4.321B,4.321B,2.189B,2.132B,,,363.00M,,1.00M,95.00M,20.00M,-75.00M,,642.00M,1.49B,20.00M,95.00M,-75.00M,1.00M,-75.00M,1.416B,39.00M,1.377B,,,1.377B,1.376B,1.79B,-1.343B,1.511B,,1.73,0.00,1.729,1.73,,1.67,0.00,1.669,1.67,,794.00M,829.00M,0.35,,AOR,Restated
2007-05,2.90B,2.90B,1.763B,1.137B,,,406.00M,,-1.00M,94.00M,17.00M,-77.00M,,678.00M,459.00M,17.00M,94.00M,-77.00M,-1.00M,-77.00M,381.00M,-9.00M,390.00M,,,390.00M,390.65M,747.00M,272.00M,475.00M,,0.49,0.00,0.4908,0.49,,0.48,0.00,0.4808,0.48,,795.92M,812.50M,0.35,,AOR,Restated
2007-02,2.688B,2.688B,1.691B,997.00M,,,384.00M,,0.00,,,,,644.00M,353.00M,,,,,,279.00M,-4.00M,283.00M,,,283.00M,283.00M,613.00M,260.00M,353.00M,,0.36,0.00,0.36,0.36,,0.35,0.00,0.35,0.35,,786.11M,808.57M,0.275,,AOR,Restated
2006-11,2.81B,2.81B,1.68B,1.13B,,,393.00M,,9.00M,,,,,654.00M,476.00M,,,,9.00M,,413.00M,-3.00M,416.00M,,,416.00M,410.60M,737.00M,261.00M,476.00M,,0.53,0.00,0.5232,0.53,,0.52,0.00,0.5133,0.52,,789.54M,806.97M,0.275,,AOR,Restated
2006-08,3.905B,3.905B,1.975B,1.93B,,,335.00M,,-1.00M,,,,,590.00M,1.34B,,,,-1.00M,,1.263B,31.00M,1.232B,,,1.232B,1.233B,1.595B,255.00M,1.34B,,1.55,0.00,1.551,1.55,,1.49,0.00,1.491,1.49,,794.84M,826.85M,0.25,,AOR,Restated
2006-05,2.662B,2.662B,1.62B,1.042B,,,354.00M,240.00M,-1.00M,,,,,594.00M,448.00M,,,,-1.00M,,377.00M,-3.00M,380.00M,,,380.00M,380.60M,688.00M,240.00M,448.00M,,0.47,0.00,0.4707,0.47,,0.46,0.00,0.4607,0.46,,808.51M,826.09M,0.25,,AOR,Restated
2006-02,2.463B,2.463B,1.516B,947.00M,,,366.00M,232.00M,-15.00M,,,,,598.00M,349.00M,,,,-15.00M,,265.00M,14.00M,251.00M,,,251.00M,265.21M,581.00M,232.00M,349.00M,,0.31,0.00,0.3275,0.31,,0.31,0.00,0.3275,0.31,,809.68M,809.68M,0.25,,AOR,Restated
2005-11,4.363B,2.573B,1.552B,1.021B,,,357.00M,230.00M,2.00M,,,,,587.00M,434.00M,,,,2.00M,,366.00M,30.00M,739.00M,,,336.00M,334.16M,664.00M,230.00M,434.00M,,0.42,0.00,0.4177,0.42,,0.41,0.00,0.4078,0.41,,802.18M,826.42M,0.25,,AOR,Restated
2005-08,3.607B,3.607B,1.76B,1.847B,,,300.00M,226.00M,-23.00M,,,,,526.00M,1.321B,,,,-23.00M,,1.226B,45.00M,1.181B,,,1.181B,1.203B,1.547B,226.00M,1.321B,,1.46,0.00,1.487,1.46,,1.40,0.00,1.426,1.40,,808.90M,843.57M,0.20,,AOR,Restated
2005-05,1.987B,2.516B,1.488B,1.028B,-300.00M,642.00M,342.00M,224.00M,2.00M,,,,,566.00M,462.00M,,,,2.00M,,388.00M,0.00,307.00M,,,388.00M,386.00M,687.00M,225.00M,462.00M,,0.48,0.00,0.4775,0.48,,0.47,0.00,0.4676,0.47,,808.33M,825.53M,0.20,,AOR,Restated
2005-02,2.396B,2.396B,1.423B,973.00M,,,334.00M,,7.00M,,,,,555.00M,418.00M,,,,7.00M,,342.00M,-3.00M,345.00M,,,345.00M,340.80M,639.00M,221.00M,418.00M,,0.43,0.00,0.4248,0.43,,0.42,0.00,0.4149,0.42,,802.33M,821.43M,0.15,,AOR,Restated
2004-11,2.242B,2.242B,1.341B,901.00M,,,341.00M,,4.00M,,,,,554.00M,347.00M,,,,4.00M,,284.00M,-9.00M,293.00M,,,293.00M,290.60M,560.00M,213.00M,347.00M,,0.36,0.00,0.3570,0.36,,0.36,0.00,0.3571,0.36,,808.85M,819.76M,0.15,,AOR,
2004-08,3.25B,3.25B,1.574B,1.676B,,,306.00M,,-2.00M,,,,,516.00M,1.16B,,,,-2.00M,,1.085B,60.00M,1.025B,,,1.025B,1.027B,1.371B,211.00M,1.16B,,1.28,0.00,1.282,1.28,,1.22,0.00,1.222,1.22,,800.78M,840.16M,0.125,,AOR,Restated
2004-05,2.253B,2.253B,1.326B,927.00M,,,322.00M,,-7.00M,,,,,522.00M,405.00M,,,,-7.00M,,332.00M,0.00,332.00M,,,332.00M,339.00M,605.00M,200.00M,405.00M,,0.41,0.00,0.4186,0.41,,0.40,0.00,0.4084,0.40,,809.76M,830.00M,0.125,,AOR,Restated
2004-02,1.981B,1.981B,1.217B,764.00M,,,316.00M,,0.00,,,,,504.00M,260.00M,,,,,,199.00M,-4.00M,203.00M,,,203.00M,203.00M,448.00M,188.00M,260.00M,,0.25,0.00,0.25,0.25,,0.25,0.00,0.25,0.25,,812.00M,812.00M,0.125,,AOR,Restated
2003-11,1.817B,1.817B,,,,,,,,,,,,,5.609B,,,,,,,,198.00M,,,198.00M,198.00M,5.609B,,5.609B,,0.22,0.00,0.22,0.22,,0.20,0.00,0.20,0.20,,802.75M,841.43M,0.125,,AOR,Restated
2003-08,2.524B,2.524B,1.278B,1.246B,,,261.00M,,5.00M,,,,,437.00M,809.00M,,,,5.00M,,763.00M,29.00M,734.00M,,,734.00M,729.19M,985.00M,176.00M,809.00M,,0.92,0.00,0.9140,0.92,,0.90,0.00,0.8941,0.90,,797.83M,815.56M,0.105,,AOR,Restated
