,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-06,2.418B,2.418B,1.595B,822.25M,416.90M,25.48M,-1.858M,,,,442.38M,379.87M,,,-1.858M,,360.68M,126.22M,234.46M,-1.682M,,232.78M,235.67M,484.39M,104.52M,379.87M,0.1925,-0.0025,,0.1935,0.19,0.19,-0.0025,,0.191,0.1875,1.217B,1.226B,0.1
2001-03,2.397B,2.397B,1.613B,783.79M,461.77M,24.54M,2.39M,,,,486.31M,297.48M,,,2.39M,,281.16M,98.40M,182.76M,,,182.76M,181.20M,399.52M,102.04M,297.48M,0.3,0.0,,0.2974,0.3,0.3,0.0,,0.2975,0.3,606.30M,611.46M,0.1
2000-12,2.529B,2.529B,1.590B,938.86M,486.43M,,-8.172M,,,,614.49M,324.37M,,,-8.172M,,296.19M,94.70M,201.49M,,,201.49M,207.05M,452.42M,128.06M,324.37M,0.335,0.0,,0.3442,0.335,0.33,0.0,,0.3392,0.33,601.82M,607.08M,0.1
2000-09,2.472B,2.472B,1.524B,948.52M,416.95M,,-3.111M,,,,514.26M,434.26M,,,-3.111M,,412.58M,148.50M,264.08M,,,264.08M,266.08M,531.58M,97.15M,434.26M,0.435,0.0,,0.4383,0.435,0.435,0.0,,0.4383,0.435,603.71M,608.95M,0.1
2000-06,2.577B,2.577B,1.576B,1.001B,455.90M,,-1.806M,,,,554.88M,446.50M,,,-1.806M,,426.97M,153.70M,273.27M,,,273.27M,274.43M,545.48M,98.98M,446.50M,0.455,0.0,,0.4569,0.455,0.45,0.0,,0.4519,0.45,603.03M,608.97M,0.09
2000-03,2.405B,2.405B,1.503B,901.66M,454.17M,,0.209M,,,,543.36M,358.30M,,,0.209M,,342.43M,123.30M,219.13M,,,219.13M,219.00M,447.49M,89.19M,358.30M,0.365,0.0,,0.3648,0.365,0.36,0.0,,0.3598,0.36,601.49M,608.04M,0.09
1999-12,2.487B,2.487B,1.536B,951.00M,461.00M,,-77.30M,,,,545.20M,405.80M,,,-77.30M,,310.90M,130.90M,180.00M,,,180.00M,226.38M,490.00M,84.20M,405.80M,0.29,0.01,,0.3669,0.3,0.285,0.01,,0.3611,0.295,602.87M,609.64M,0.09
1999-09,2.326B,2.326B,1.466B,859.90M,413.00M,,0.167M,,,,477.90M,382.00M,,,0.167M,,364.23M,131.33M,232.90M,,,232.90M,232.79M,470.26M,88.26M,382.00M,0.39,0.0,,0.3898,0.39,0.38,0.0,,0.3798,0.38,600.29M,609.68M,0.09
1999-06,2.363B,2.363B,1.473B,890.00M,432.20M,,3.581M,,,,495.90M,394.09M,,,3.581M,,379.85M,140.13M,239.72M,,,239.72M,237.46M,481.54M,87.44M,394.09M,0.4,0.0,,0.3962,0.4,0.395,0.0,,0.3913,0.395,599.94M,609.41M,0.075
1999-03,2.157B,2.157B,1.345B,811.66M,423.77M,,7.479M,,,,507.16M,304.50M,,,7.479M,,297.72M,109.29M,188.43M,,,188.43M,183.70M,387.89M,83.40M,304.50M,0.1575,0.0,,0.148,0.1575,0.155,0.0,,0.1456,0.155,500.93M,500.93M,0.075
1998-12,4.248B,4.248B,2.688B,1.560B,896.90M,,5.40M,,,,1.034B,526.20M,,,5.40M,,511.20M,190.00M,321.20M,,,321.20M,317.81M,663.60M,137.40M,526.20M,0.6421,,,0.6353,0.6421,0.6421,,,0.6353,0.6421,500.26M,500.26M,0.075
1998-09,1.377B,1.377B,849.80M,527.40M,211.00M,,-2.80M,,,,262.80M,264.60M,,,-2.80M,,258.10M,94.20M,163.90M,,,163.90M,165.68M,316.40M,51.80M,264.60M,0.165,0.0,,0.1686,0.165,0.1625,0.0,,0.1661,0.1625,500.13M,500.13M,0.075
1998-06,1.420B,1.420B,869.20M,551.30M,213.70M,,-4.30M,,,,267.60M,283.70M,,,-4.30M,,277.10M,101.10M,176.00M,,,176.00M,178.73M,337.60M,53.90M,283.70M,0.175,0.0,,0.1805,0.175,0.175,0.0,,0.1805,0.175,499.93M,499.93M,0.06
