,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,4.456B,4.456B,2.514B,1.942B,1.058B,1.058B,47.00M,-14.00M,39.00M,,-39.00M,,1.105B,837.00M,,39.00M,-39.00M,-30.00M,-39.00M,768.00M,49.00M,719.00M,,,-7.00M,712.00M,725.16M,986.00M,179.00M,807.00M,,1.13,,,1.151,1.13,,1.12,,,1.141,1.12,,629.40M,632.90M,0.485,,AOR,Restated
2018-03,4.248B,4.248B,2.431B,1.817B,1.035B,1.035B,51.00M,-9.00M,50.00M,14.00M,-36.00M,,1.086B,731.00M,14.00M,50.00M,-36.00M,-37.00M,-36.00M,658.00M,169.00M,489.00M,,,-7.00M,482.00M,488.66M,899.00M,191.00M,708.00M,,0.76,,,0.7705,0.76,,0.76,,,0.7705,0.76,,632.60M,636.00M,0.485,,AOR,Restated
2017-12,3.816B,3.816B,2.202B,1.614B,995.00M,995.00M,56.00M,-15.00M,49.00M,11.00M,-38.00M,,1.051B,563.00M,11.00M,49.00M,-38.00M,-22.00M,-38.00M,503.00M,109.00M,394.00M,,,-2.00M,392.00M,403.70M,739.00M,187.00M,552.00M,,0.61,,,0.6283,0.61,,0.61,,,0.6283,0.61,,638.20M,640.50M,0.485,,AOR,Restated
2017-09,4.435B,4.435B,2.604B,1.831B,986.00M,986.00M,52.00M,-33.00M,75.00M,,-39.00M,,1.038B,793.00M,,75.00M,-39.00M,-69.00M,-39.00M,685.00M,183.00M,502.00M,8.00M,,-6.00M,504.00M,520.18M,942.00M,182.00M,760.00M,,0.7730,0.0125,,0.8108,0.7854,,0.77,0.01,,0.8077,0.78,,639.10M,640.70M,0.48,,AOR,Restated
2017-06,4.039B,4.039B,2.361B,1.678B,931.00M,931.00M,41.00M,-21.00M,39.00M,,-39.00M,,972.00M,706.00M,,39.00M,-39.00M,-46.00M,-39.00M,621.00M,202.00M,419.00M,6.00M,,-12.00M,413.00M,421.07M,831.00M,171.00M,660.00M,,0.63,0.01,,0.6519,0.64,,0.63,0.01,,0.6519,0.64,,642.80M,643.80M,0.48,,AOR,Restated
2017-03,3.574B,3.574B,2.017B,1.557B,868.00M,868.00M,21.00M,-13.00M,50.00M,9.00M,-41.00M,,889.00M,668.00M,9.00M,50.00M,-41.00M,-62.00M,-41.00M,565.00M,181.00M,384.00M,-84.00M,,-8.00M,292.00M,384.84M,755.00M,140.00M,615.00M,,0.58,-0.13,,0.5937,0.45,,0.58,-0.13,,0.5937,0.45,,643.60M,644.80M,0.48,,AOR,Restated
2016-12,3.216B,3.216B,1.851B,1.365B,822.00M,822.00M,22.00M,-11.00M,52.00M,6.00M,-46.00M,,844.00M,521.00M,6.00M,52.00M,-46.00M,-11.00M,-46.00M,464.00M,94.00M,370.00M,-55.00M,,-6.00M,309.00M,372.80M,659.00M,143.00M,516.00M,,0.56,-0.08,,0.5737,0.48,,0.56,-0.08,,0.5737,0.48,,642.80M,644.30M,0.48,,AOR,Restated
2016-09,3.932B,3.932B,2.219B,1.713B,855.00M,855.00M,18.00M,-65.00M,55.00M,6.00M,-49.00M,,873.00M,840.00M,6.00M,55.00M,-49.00M,-117.00M,-49.00M,674.00M,188.00M,486.00M,-41.00M,,-7.00M,438.00M,525.87M,871.00M,142.00M,729.00M,,0.7452,-0.0638,,0.8182,0.6814,,0.74,-0.0638,,0.8127,0.68,,641.90M,645.00M,0.475,,AOR,Restated
2016-06,3.674B,3.674B,2.081B,1.593B,852.00M,852.00M,22.00M,-13.00M,53.00M,7.00M,-46.00M,,874.00M,719.00M,7.00M,53.00M,-46.00M,-17.00M,-46.00M,656.00M,205.00M,451.00M,38.00M,,-10.00M,479.00M,449.97M,849.00M,140.00M,709.00M,,0.68,0.06,,0.6940,0.74,,0.68,0.06,,0.6939,0.74,,642.20M,645.20M,0.475,,AOR,Restated
2016-03,3.579B,3.579B,2.037B,1.542B,878.00M,878.00M,22.00M,-11.00M,54.00M,8.00M,-46.00M,,900.00M,642.00M,8.00M,54.00M,-46.00M,-44.00M,-46.00M,552.00M,177.00M,375.00M,2.00M,,-8.00M,369.00M,374.48M,748.00M,142.00M,606.00M,,0.57,0.00,,0.5817,0.57,,0.57,0.00,,0.5816,0.57,,642.00M,644.70M,0.475,,AOR,Restated
2015-12,3.337B,3.337B,1.923B,1.414B,879.00M,879.00M,22.00M,-7.00M,53.00M,6.00M,-47.00M,,901.00M,513.00M,6.00M,53.00M,-47.00M,-32.00M,-47.00M,434.00M,127.00M,307.00M,46.00M,,-4.00M,349.00M,307.97M,631.00M,144.00M,487.00M,,0.47,0.07,,0.4776,0.54,,0.46,0.07,,0.4676,0.53,,650.00M,652.50M,0.475,,AOR,Restated
2015-09,-241.00M,-241.00M,-569.00M,328.00M,-264.00M,-264.00M,-66.00M,-31.00M,47.00M,-2.00M,-49.00M,,-419.00M,747.00M,-2.00M,47.00M,-49.00M,-56.00M,-49.00M,642.00M,184.00M,458.00M,,,-3.00M,648.00M,477.12M,649.00M,-40.00M,689.00M,,0.9899,,,1.024,0.9899,,0.98,,,1.014,0.98,,655.30M,658.20M,0.47,,AOR,Restated
2015-06,5.503B,5.503B,3.269B,2.234B,1.276B,1.276B,52.00M,0.00,49.00M,9.00M,-40.00M,36.00M,1.364B,870.00M,9.00M,49.00M,-40.00M,-34.00M,-40.00M,796.00M,222.00M,574.00M,,,-10.00M,564.00M,564.00M,1.046B,201.00M,845.00M,,0.84,,,0.84,0.84,,0.84,,,0.84,0.84,,665.70M,668.90M,0.47,,AOR,Restated
2015-03,5.40B,5.40B,3.234B,2.166B,1.318B,1.318B,53.00M,932.00M,49.00M,9.00M,-40.00M,44.00M,1.415B,751.00M,9.00M,49.00M,-40.00M,893.00M,-40.00M,1.604B,625.00M,979.00M,,,-6.00M,973.00M,404.48M,1.858B,205.00M,1.653B,,1.42,,,0.5850,1.42,,1.42,,,0.5890,1.42,,680.90M,684.10M,0.47,,AOR,Restated
2014-12,5.587B,5.587B,3.307B,2.28B,1.405B,1.405B,55.00M,,53.00M,7.00M,-46.00M,9.00M,1.469B,811.00M,7.00M,53.00M,-46.00M,,-46.00M,765.00M,236.00M,529.00M,,,-4.00M,525.00M,525.00M,1.025B,207.00M,818.00M,,0.76,,,0.76,0.76,,0.75,,,0.75,0.75,,691.40M,694.70M,0.47,,AOR,Restated
2014-09,3.00M,3.00M,-490.00M,493.00M,-98.00M,-98.00M,-75.00M,-39.00M,49.00M,0.00,-49.00M,,-218.00M,711.00M,0.00,49.00M,-49.00M,-3.00M,-49.00M,659.00M,190.00M,469.00M,,,-5.00M,410.00M,491.76M,654.00M,-54.00M,708.00M,,0.5886,,,0.6284,0.5886,,0.58,,,0.6197,0.58,,696.00M,699.60M,0.43,,AOR,Restated
2014-06,6.312B,6.312B,3.674B,2.638B,1.424B,1.424B,55.00M,0.00,53.00M,7.00M,-46.00M,11.00M,1.49B,1.148B,7.00M,53.00M,-46.00M,-30.00M,-46.00M,1.072B,334.00M,738.00M,,,-10.00M,728.00M,728.00M,1.329B,204.00M,1.125B,,1.03,,,1.03,1.03,,1.03,,,1.03,1.03,,699.60M,703.30M,0.43,,AOR,Restated
2014-03,5.812B,5.812B,3.417B,2.395B,1.394B,1.394B,58.00M,0.00,51.00M,4.00M,-47.00M,21.00M,1.473B,922.00M,4.00M,51.00M,-47.00M,-58.00M,-47.00M,817.00M,263.00M,554.00M,,,-7.00M,547.00M,547.00M,1.078B,210.00M,868.00M,,0.78,,,0.78,0.78,,0.77,,,0.77,0.77,,701.70M,705.20M,0.43,,AOR,Restated
2013-12,5.606B,5.606B,3.37B,2.236B,1.444B,1.444B,57.00M,,61.00M,7.00M,-54.00M,13.00M,1.514B,722.00M,7.00M,61.00M,-54.00M,-25.00M,-54.00M,643.00M,166.00M,477.00M,,,-15.00M,462.00M,462.00M,913.00M,209.00M,704.00M,,0.65,,,0.65,0.65,,0.65,,,0.65,0.65,,703.50M,708.10M,0.43,,AOR,Restated
2013-09,6.812B,6.812B,4.008B,2.804B,1.432B,1.432B,54.00M,-25.00M,60.00M,4.00M,-56.00M,13.00M,1.499B,1.305B,4.00M,60.00M,-56.00M,-68.00M,-56.00M,1.181B,373.00M,808.00M,,,-13.00M,795.00M,812.10M,1.448B,207.00M,1.241B,,1.125,,,1.149,1.125,,1.10,,,1.124,1.10,,711.10M,717.20M,0.41,,AOR,Restated
2013-06,6.344B,6.344B,3.776B,2.568B,1.396B,1.396B,53.00M,-503.00M,56.00M,5.00M,-51.00M,33.00M,1.482B,1.086B,5.00M,56.00M,-51.00M,-524.00M,-51.00M,511.00M,297.00M,214.00M,,,-20.00M,194.00M,520.95M,768.00M,201.00M,567.00M,,0.27,,,0.7261,0.27,,0.27,,,0.7227,0.27,,716.90M,722.20M,0.41,,AOR,Restated
2013-03,5.96B,5.96B,3.587B,2.373B,1.426B,1.426B,54.00M,,60.00M,3.00M,-57.00M,16.00M,1.496B,877.00M,3.00M,60.00M,-57.00M,11.00M,-57.00M,831.00M,253.00M,578.00M,,,-17.00M,561.00M,561.00M,1.096B,205.00M,891.00M,,0.77,,,0.77,0.77,,0.77,,,0.77,0.77,,720.50M,725.30M,0.41,,AOR,Restated
2012-12,5.553B,5.553B,3.346B,2.207B,1.394B,1.394B,59.00M,,58.00M,4.00M,-54.00M,16.00M,1.469B,738.00M,4.00M,58.00M,-54.00M,-11.00M,-54.00M,673.00M,207.00M,466.00M,,,-12.00M,454.00M,454.00M,937.00M,206.00M,731.00M,,0.63,,,0.63,0.63,,0.62,,,0.62,0.62,,722.30M,726.90M,0.41,,AOR,Restated
2012-09,6.70B,6.70B,3.951B,2.749B,1.385B,1.385B,59.00M,-592.00M,60.00M,3.00M,-57.00M,30.00M,1.474B,1.275B,3.00M,60.00M,-57.00M,-625.00M,-57.00M,593.00M,293.00M,300.00M,,,-18.00M,282.00M,666.80M,859.00M,206.00M,653.00M,,0.39,,,0.9208,0.39,,0.39,,,0.9179,0.39,,724.90M,728.90M,0.40,,AOR,Restated
2012-06,6.484B,6.484B,3.856B,2.628B,1.338B,1.338B,67.00M,0.00,56.00M,5.00M,-51.00M,35.00M,1.44B,1.188B,5.00M,56.00M,-51.00M,18.00M,-51.00M,1.155B,368.00M,787.00M,,,-17.00M,770.00M,770.00M,1.422B,211.00M,1.211B,,1.05,,,1.05,1.05,,1.04,,,1.04,1.04,,730.40M,734.30M,0.40,,AOR,Restated
2012-03,5.919B,5.919B,3.583B,2.336B,1.359B,1.359B,57.00M,,63.00M,5.00M,-58.00M,31.00M,1.447B,889.00M,5.00M,63.00M,-58.00M,-17.00M,-58.00M,814.00M,258.00M,556.00M,,,-11.00M,545.00M,545.00M,1.079B,202.00M,877.00M,,0.74,,,0.74,0.74,,0.74,,,0.74,0.74,,732.70M,736.80M,0.40,,AOR,Restated
2011-12,5.309B,5.309B,3.254B,2.055B,1.354B,1.354B,58.00M,,62.00M,4.00M,-58.00M,23.00M,1.435B,620.00M,4.00M,62.00M,-58.00M,-9.00M,-58.00M,553.00M,172.00M,381.00M,,,-10.00M,371.00M,371.00M,819.00M,204.00M,615.00M,,0.50,,,0.50,0.50,,0.50,,,0.50,0.50,,734.30M,738.30M,0.40,,AOR,Restated
2011-09,6.545B,6.545B,3.955B,2.59B,,1.339B,,247.00M,58.00M,9.00M,-49.00M,,1.681B,909.00M,9.00M,58.00M,-49.00M,233.00M,-49.00M,1.093B,345.00M,748.00M,,,-13.00M,761.00M,565.96M,1.368B,217.00M,1.151B,,0.98,0.03,,0.7519,1.01,,0.98,0.03,,0.7532,1.01,,741.00M,745.40M,0.345,,AOR,Restated
2011-06,6.288B,6.288B,3.79B,2.498B,,1.363B,,-87.00M,61.00M,5.00M,-56.00M,,1.363B,1.135B,5.00M,61.00M,-56.00M,-87.00M,-56.00M,992.00M,294.00M,698.00M,,,-15.00M,683.00M,744.22M,1.268B,215.00M,1.053B,,0.91,0.00,,0.9918,0.91,,0.90,0.00,,0.9813,0.90,,748.70M,753.30M,0.345,,AOR,Restated
2011-03,5.854B,5.854B,3.548B,2.306B,,1.315B,,-101.00M,62.00M,5.00M,-57.00M,,1.315B,991.00M,5.00M,62.00M,-57.00M,-101.00M,-57.00M,833.00M,266.00M,567.00M,,,-11.00M,556.00M,624.75M,1.111B,216.00M,895.00M,,0.74,0.00,,0.8314,0.74,,0.73,0.00,,0.8208,0.73,,752.10M,757.30M,0.345,,AOR,Restated
2010-12,5.535B,5.535B,3.372B,2.163B,,1.311B,,-78.00M,65.00M,4.00M,-61.00M,,1.311B,852.00M,4.00M,65.00M,-61.00M,-78.00M,-61.00M,713.00M,222.00M,491.00M,,,-11.00M,480.00M,533.71M,997.00M,219.00M,778.00M,,0.63,0.00,,0.7014,0.63,,0.63,0.00,,0.7009,0.63,,752.20M,758.10M,0.345,,AOR,Restated
2010-09,5.841B,5.841B,3.51B,2.331B,,1.312B,,,59.00M,,-65.00M,,1.059B,1.272B,,59.00M,-65.00M,,-65.00M,838.00M,254.00M,584.00M,177.00M,,-12.00M,749.00M,572.00M,1.108B,211.00M,897.00M,,0.76,0.23,,0.76,0.99,,0.75,0.23,,0.75,0.98,,750.40M,757.30M,0.335,,AOR,Restated
2010-06,5.417B,5.417B,3.253B,2.164B,,1.168B,,,81.00M,17.00M,-64.00M,69.00M,1.237B,927.00M,17.00M,81.00M,-64.00M,,-64.00M,863.00M,266.00M,597.00M,4.00M,,-16.00M,585.00M,581.00M,1.147B,203.00M,944.00M,,0.77,0.01,,0.77,0.78,,0.76,0.01,,0.76,0.77,,751.10M,757.70M,0.335,,AOR,
2010-03,4.953B,4.953B,2.99B,1.963B,,1.203B,,,73.00M,6.00M,-67.00M,92.00M,1.295B,668.00M,6.00M,73.00M,-67.00M,,-67.00M,601.00M,180.00M,421.00M,-3.00M,,-13.00M,405.00M,408.00M,880.00M,206.00M,674.00M,,0.54,0.00,,0.54,0.54,,0.54,-0.01,,0.54,0.53,,751.10M,757.40M,0.335,,AOR,Restated
2009-12,4.828B,4.828B,2.96B,1.868B,,1.134B,,-92.00M,68.00M,3.00M,-65.00M,,1.134B,734.00M,3.00M,68.00M,-65.00M,-92.00M,-65.00M,577.00M,148.00M,429.00M,8.00M,,-12.00M,425.00M,485.40M,841.00M,196.00M,645.00M,,0.55,0.01,,0.6412,0.56,,0.55,0.01,,0.6405,0.56,,750.30M,755.50M,0.335,,AOR,Restated
2009-09,4.509B,4.509B,2.62B,1.889B,,1.015B,,,63.00M,,-63.00M,,694.00M,1.195B,,63.00M,-63.00M,,-63.00M,658.00M,147.00M,511.00M,9.00M,,-14.00M,506.00M,497.00M,906.00M,185.00M,721.00M,,0.66,0.02,,0.66,0.68,,0.66,0.01,,0.66,0.67,,749.80M,755.40M,0.33,,AOR,Restated
2009-06,5.091B,5.091B,3.253B,1.838B,,1.089B,,,65.00M,,-65.00M,131.00M,1.22B,618.00M,,65.00M,-65.00M,,-65.00M,553.00M,155.00M,398.00M,0.00,,-11.00M,387.00M,387.00M,802.00M,184.00M,618.00M,,0.52,0.00,,0.52,0.52,,0.51,0.00,,0.51,0.51,,749.60M,754.70M,0.33,,AOR,Restated
2009-03,5.087B,5.087B,3.25B,1.837B,,1.119B,,,49.00M,,-49.00M,111.00M,1.23B,607.00M,,49.00M,-49.00M,,-49.00M,558.00M,176.00M,382.00M,0.00,,-9.00M,373.00M,373.00M,789.00M,182.00M,607.00M,,0.50,0.00,,0.50,0.50,,0.49,0.00,,0.49,0.49,,752.10M,756.90M,0.33,,AOR,Restated
2008-12,5.415B,5.415B,3.419B,1.996B,,1.193B,,,43.00M,,-43.00M,79.00M,1.272B,724.00M,,43.00M,-43.00M,,-43.00M,681.00M,210.00M,471.00M,0.00,,-13.00M,458.00M,458.00M,900.00M,176.00M,724.00M,,0.60,0.00,,0.60,0.60,,0.60,0.00,,0.60,0.60,,763.20M,767.90M,0.33,,,Restated
2008-09,6.696B,6.696B,4.222B,2.474B,,1.392B,22.00M,,,,,,1.544B,930.00M,,,,,,1.00B,310.00M,690.00M,-2.00M,,,688.00M,690.00M,1.163B,177.00M,986.00M,,0.89,0.00,,0.89,0.89,,0.88,0.00,,0.88,0.88,,772.80M,781.30M,0.30,,,Restated
2008-06,6.568B,6.568B,4.155B,2.413B,,1.321B,20.00M,-80.00M,,,,,1.341B,1.072B,,,,-80.00M,,946.00M,299.00M,647.00M,-35.00M,,,612.00M,701.71M,1.252B,180.00M,1.072B,,0.83,-0.04,,0.9003,0.79,,0.82,-0.04,,0.8895,0.78,,778.60M,787.80M,0.30,,,
2008-03,6.023B,6.023B,3.781B,2.242B,,1.252B,22.00M,-45.00M,,,,,1.274B,968.00M,,,,-45.00M,,872.00M,274.00M,598.00M,-51.00M,,,547.00M,628.86M,1.147B,179.00M,968.00M,,0.76,-0.06,,0.7995,0.70,,0.75,-0.06,,0.7889,0.69,,781.43M,792.75M,0.30,,,
2007-12,5.52B,5.52B,3.51B,2.01B,,1.184B,,-3.00M,,,,,1.184B,826.00M,,,,-3.00M,,773.00M,254.00M,519.00M,46.00M,,,565.00M,521.01M,997.00M,171.00M,826.00M,,0.66,0.06,,0.6626,0.72,,0.65,0.06,,0.6525,0.71,,784.72M,795.77M,0.30,,,
2007-09,5.693B,5.693B,3.48B,2.213B,,1.216B,17.00M,-37.00M,,,,,1.233B,980.00M,,,,-37.00M,,893.00M,277.00M,616.00M,,,,623.00M,641.52M,1.145B,165.00M,980.00M,,0.78,0.01,,0.8125,0.79,,0.77,0.01,,0.8019,0.78,,786.25M,801.24M,0.2625,,,
2007-06,5.874B,5.874B,3.769B,2.105B,,1.16B,16.00M,-43.00M,,,,,1.176B,929.00M,,,,-43.00M,,824.00M,250.00M,574.00M,,,,574.00M,603.95M,1.092B,163.00M,929.00M,,0.72,0.00,,0.7576,0.72,,0.72,0.00,,0.7576,0.72,,797.22M,797.22M,0.2625,,,
2007-03,5.394B,5.394B,3.455B,1.939B,,1.109B,16.00M,-23.00M,,,,,1.125B,814.00M,,,,-23.00M,,733.00M,240.00M,493.00M,1.00M,,,494.00M,508.47M,981.00M,167.00M,814.00M,,0.62,0.00,,0.6394,0.62,,0.61,0.00,,0.6291,0.61,,796.77M,809.84M,0.2625,,,
2006-12,5.051B,5.051B,3.256B,1.795B,,1.078B,14.00M,-5.00M,,,,,1.092B,703.00M,,,,-5.00M,,640.00M,195.00M,445.00M,,,,445.00M,448.48M,864.00M,161.00M,703.00M,,0.56,0.00,,0.5644,0.56,,0.55,0.00,,0.5543,0.55,,794.64M,809.09M,0.2625,,,
2006-09,5.117B,5.117B,3.171B,1.946B,,1.084B,15.00M,-27.00M,,,,,1.099B,847.00M,,,,-27.00M,,764.00M,244.00M,520.00M,,,,526.00M,538.38M,1.00B,153.00M,847.00M,,0.65,0.00,,0.6728,0.65,,0.65,0.00,,0.6728,0.65,,807.72M,807.72M,0.2225,,,
2006-06,5.217B,5.217B,3.361B,1.856B,,1.037B,13.00M,-41.00M,,,,,1.05B,806.00M,,,,-41.00M,,714.00M,228.00M,486.00M,,,,486.00M,513.91M,966.00M,160.00M,806.00M,,0.59,0.00,,0.6239,0.59,,0.59,0.00,,0.6239,0.59,,823.73M,823.73M,0.2225,,,
2006-03,4.852B,4.852B,3.118B,1.734B,,1.005B,,-54.00M,,,,,1.005B,729.00M,,,,-54.00M,,625.00M,191.00M,434.00M,,,,434.00M,471.50M,882.00M,153.00M,729.00M,,0.53,0.00,,0.5758,0.53,,0.52,0.00,,0.5649,0.52,,818.87M,834.62M,0.2225,,,
2005-12,4.548B,4.548B,2.955B,1.593B,,950.00M,,-23.00M,,,,,950.00M,643.00M,,,,-23.00M,,570.00M,171.00M,399.00M,,,,399.00M,415.10M,784.00M,141.00M,643.00M,,0.49,0.00,,0.5098,0.49,,0.48,0.00,,0.4994,0.48,,814.29M,831.25M,0.2225,,,
2005-09,4.643B,4.643B,2.974B,1.669B,,923.00M,7.00M,-69.00M,,,,,930.00M,739.00M,,,,-69.00M,,619.00M,200.00M,419.00M,,,,419.00M,465.71M,881.00M,142.00M,739.00M,,0.51,0.00,,0.5670,0.51,,0.505,0.00,,0.5614,0.505,,819.52M,827.89M,0.2075,,,
2005-06,4.465B,4.465B,2.865B,1.60B,,907.00M,8.00M,-35.00M,,,,,915.00M,685.00M,,,,-35.00M,,598.00M,240.00M,358.00M,,,,358.00M,379.00M,829.00M,144.00M,685.00M,,0.43,0.00,,0.4552,0.43,,0.43,0.00,,0.4552,0.43,,832.56M,832.56M,0.2075,,,
2005-03,4.227B,4.227B,2.725B,1.502B,,893.00M,,-59.00M,,,,,893.00M,609.00M,,,,-59.00M,,498.00M,150.00M,348.00M,,,,348.00M,389.23M,748.00M,139.00M,609.00M,,0.42,0.00,,0.4698,0.42,,0.415,0.00,,0.4642,0.415,,828.57M,838.55M,0.2075,,,
2004-12,3.97B,3.97B,2.558B,1.412B,,872.00M,,-52.00M,,,,,872.00M,540.00M,,,,-52.00M,,434.00M,137.00M,297.00M,,,,297.00M,332.59M,677.00M,137.00M,540.00M,,0.355,0.00,,0.3975,0.355,,0.35,0.00,,0.3919,0.35,,836.62M,848.57M,0.2075,,,
2004-09,4.12B,4.12B,2.631B,1.489B,,860.00M,,-28.00M,,,,,881.00M,608.00M,,,,-28.00M,,530.00M,176.00M,354.00M,,,,354.00M,372.70M,755.00M,147.00M,608.00M,,0.425,0.00,,0.4475,0.425,,0.42,0.00,,0.4422,0.42,,832.00M,842.72M,0.20,,,
