,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,607.00M,,,,,103.00M,,103.00M,103.00M,9.00M,,,-55.00M,71.00M,,17.00M,-96.00M,-709.00M,632.00M,,,32.00M,-141.00M,640.00M,-131.00M,,-131.00M,,,1.767B,,1.636B,-1.487B,0.00,-1.487B,,-718.00M,-718.00M,,,-2.205B,2.563B,71.00M,11.00M,2.645B,,0.00,-1.487B,-718.00M,784.00M,74.00M
2017-12,-555.22M,,,,-1.093M,227.26M,-129.48M,97.79M,97.79M,-6.345M,,,0.00,68.45M,,19.26M,209.18M,12.30M,46.04M,,,1.264B,1.531B,1.174B,-64.31M,,-64.31M,,-0.195M,-494.44M,,-558.94M,-181.26M,,-181.26M,,-704.90M,-704.90M,-4.303M,,-900.46M,2.848B,-285.83M,0.963M,2.563B,,0.048M,-181.31M,-704.90M,100.75M,44.26M
2017-09,1.720B,,,,0.066M,50.61M,45.30M,95.91M,95.91M,15.28M,,,0.00,66.50M,,19.84M,-145.64M,302.34M,-232.74M,,,28.20M,-47.85M,1.887B,-76.42M,,-76.42M,,-552.32M,-1.477B,,-2.106B,972.01M,-4.599M,967.41M,,-567.85M,-567.85M,1.513M,,401.07M,2.635B,182.03M,30.47M,2.848B,,988.63M,-21.22M,-567.85M,24.00M,50.44M
2017-06,720.21M,,,,1.027M,44.71M,41.16M,85.87M,85.87M,-16.50M,,,,66.99M,,20.20M,-255.12M,5.002M,567.95M,,,12.99M,330.82M,1.221B,-76.71M,,-76.71M,,-0.484M,-567.42M,,-644.61M,-83.47M,4.599M,-78.87M,,-345.45M,-345.45M,1.311M,,-423.01M,2.435B,153.59M,46.83M,2.635B,,4.599M,-83.47M,-345.45M,41.06M,21.81M
2017-03,455.62M,,,,,40.41M,43.02M,83.43M,83.43M,-24.44M,,,0.00,59.06M,,19.69M,-78.43M,-443.64M,305.76M,,,-9.962M,-226.28M,380.62M,-70.56M,,-70.56M,,-0.006M,-822.25M,,-892.81M,1.052B,,1.052B,,-209.80M,-209.80M,1.479M,,843.40M,2.082B,331.20M,21.74M,2.435B,,1.052B,-0.004M,-209.80M,536.19M,38.50M
2016-12,673.92M,,,,,38.05M,41.62M,79.67M,79.67M,-40.03M,,0.092M,,74.87M,-11.12M,19.74M,186.30M,109.10M,-9.279M,,,-0.032M,286.08M,1.097B,-51.43M,,-51.92M,0.494M,-0.189M,-1.079B,,-1.130B,0.295M,0.00,0.295M,,-257.66M,-257.66M,2.738M,,-254.62M,2.423B,-288.25M,-52.81M,2.082B,,0.295M,0.00,-257.66M,24.39M,38.57M
2016-09,506.02M,,,,,36.80M,41.95M,78.74M,78.74M,7.891M,,940.70M,,54.12M,10.65M,19.34M,-126.15M,182.88M,-160.12M,,,-10.40M,-113.79M,1.520B,-102.87M,,-54.38M,-48.49M,-0.016M,-1.460B,,-1.563B,0.00,,0.00,,-233.78M,-233.78M,3.496M,,-230.28M,2.695B,-273.60M,2.182M,2.423B,,0.00,0.00,-233.78M,116.21M,43.70M
2016-06,580.64M,,,,,34.67M,43.04M,77.71M,77.71M,-54.18M,,12.86M,,54.98M,43.40M,19.08M,-152.44M,53.51M,389.05M,,,-11.43M,278.68M,1.022B,-60.44M,,-60.44M,,-0.072M,-726.05M,,-786.57M,992.20M,-100.00M,892.20M,,-278.85M,-278.85M,4.951M,,618.31M,1.858B,854.21M,-17.67M,2.695B,,892.20M,0.00,-278.85M,47.09M,3.608M
2016-03,374.42M,,,,,30.49M,42.38M,72.87M,72.87M,-25.68M,,50.35M,,66.03M,18.07M,18.85M,-191.70M,-340.48M,294.35M,,,0.869M,-236.97M,344.76M,-53.26M,,-53.26M,,-0.723M,201.26M,,147.28M,2.50M,100.00M,102.50M,,-241.72M,-241.72M,4.815M,,-134.40M,1.478B,357.63M,22.30M,1.858B,,102.50M,0.00,-241.72M,449.31M,40.12M
2015-12,504.27M,,,,,28.00M,42.77M,70.76M,70.76M,2.34M,,0.00,,75.06M,,18.48M,220.91M,5.197M,-25.90M,,,2.638M,202.85M,982.36M,-47.28M,,-47.28M,0.00,-4.674M,-1.169B,,-1.220B,788.58M,,788.58M,,-821.46M,-821.46M,1.712M,-90.94M,-122.09M,1.842B,-360.22M,-4.213M,1.478B,,1.014B,-225.00M,-821.46M,34.68M,3.899M
2015-09,1.197B,,,,,26.82M,42.23M,69.05M,69.05M,-22.10M,,0.00,,58.80M,,18.35M,-1.664M,213.67M,-213.94M,,,-13.12M,-15.05M,1.310B,-42.29M,,-42.29M,0.00,-89.73M,37.66M,0.225M,-94.12M,0.00,,0.00,,-1.281B,-1.281B,6.314M,11.76M,-1.263B,1.889B,-47.05M,-0.238M,1.842B,,0.00,0.00,-1.281B,27.07M,36.86M
2015-06,517.03M,,,,,25.02M,42.65M,67.67M,67.67M,-6.405M,,0.00,,60.74M,,19.20M,-167.35M,-7.814M,204.60M,,,10.49M,39.93M,702.38M,-53.09M,,-53.09M,,-19.78M,-1.366B,-0.17M,-1.439B,-1.438M,,-1.438M,,-677.96M,-677.96M,3.755M,14.93M,-660.71M,3.256B,-1.397B,30.57M,1.889B,,-1.438M,0.00,-677.96M,92.75M,2.696M
2015-03,333.33M,,,,,21.67M,43.33M,65.00M,65.00M,-35.17M,,0.00,,54.53M,,18.23M,-120.59M,-292.67M,201.22M,,,-23.92M,-235.96M,208.98M,-31.26M,,-31.26M,,-26.16M,-1.083B,-0.055M,-1.141B,1.464B,0.00,1.464B,,-308.62M,-308.62M,9.07M,49.54M,1.214B,3.149B,282.41M,-175.25M,3.256B,,1.612B,-147.63M,-308.62M,379.60M,10.84M
2014-12,451.83M,,,,0.016M,23.54M,48.02M,71.56M,71.56M,-14.74M,,,,67.17M,,17.06M,171.15M,-13.59M,-5.687M,,,1.674M,153.54M,755.28M,-40.78M,,-40.78M,,-0.282M,-2.025B,-9.309M,-2.075B,-20.68M,,-20.68M,,-504.92M,-504.92M,3.955M,25.47M,-496.17M,5.044B,-1.816B,-88.33M,3.149B,,-17.46M,-3.211M,-504.92M,79.34M,2.419M
2014-09,1.062B,,,,0.125M,21.82M,35.78M,57.60M,57.60M,20.38M,,,,46.97M,,16.05M,-40.40M,228.62M,-103.37M,,,-2.132M,82.72M,1.292B,-28.74M,,-28.74M,,-2.395B,591.55M,14.50M,-1.818B,2.278B,,2.278B,,-148.13M,-148.13M,2.748M,-14.32M,2.118B,3.504B,1.593B,-53.00M,5.044B,,3.277B,-999.10M,-148.13M,26.68M,6.451M
2014-06,576.45M,,,,2.733M,17.34M,22.95M,40.29M,40.29M,17.24M,,,,35.74M,,13.09M,-218.80M,53.85M,165.32M,,,-0.371M,-0.008M,689.98M,-32.26M,,-32.26M,,-98.42M,1.707B,-0.117M,1.576B,-59.38M,,-59.38M,,-0.666M,-0.666M,1.993M,6.723M,-51.33M,1.288B,2.215B,0.933M,3.504B,,0.00,-59.38M,-0.666M,18.35M,2.259M
2014-03,331.22M,,,,3.396M,15.55M,22.82M,38.38M,38.38M,8.828M,,,,39.41M,,13.76M,-94.16M,-317.81M,147.61M,,,2.705M,-261.66M,177.00M,-29.73M,,-29.73M,,-2.633M,-3.414M,-5.077M,-40.86M,-58.45M,,-58.45M,,-96.66M,-96.66M,7.693M,5.499M,-141.92M,1.290B,-5.768M,3.924M,1.288B,,0.00,-58.45M,-96.66M,367.16M,5.821M
2013-12,378.08M,,,,,14.40M,22.72M,37.12M,37.12M,-22.55M,,,,50.29M,,18.04M,172.39M,1.605M,-98.78M,,,-12.14M,63.07M,554.47M,-27.49M,,-27.49M,,-0.361M,68.25M,-1.277M,39.13M,-415.58M,,-415.58M,,-0.507M,-0.507M,5.297M,5.297M,-405.49M,1.096B,188.11M,5.793M,1.290B,,-1.018M,-414.56M,-0.507M,125.87M,2.34M
2013-09,832.99M,,,,,12.90M,22.85M,35.75M,35.75M,14.76M,,,,35.01M,,18.47M,-40.98M,124.54M,-47.06M,,,-7.504M,29.00M,970.46M,-20.48M,,-20.48M,,-0.713M,-1.193B,-0.96M,-1.215B,-0.008M,,-0.008M,,-459.72M,-459.72M,13.50M,-5.33M,-451.56M,1.762B,-696.52M,30.40M,1.096B,,0.00,-0.008M,-459.72M,18.27M,9.074M
2013-06,437.44M,,,,,11.27M,14.76M,26.03M,26.03M,3.917M,,,,34.98M,,14.56M,-127.82M,74.94M,139.90M,,,-14.52M,72.50M,593.38M,-21.43M,,-21.43M,,-330.74M,-617.83M,0.035M,-969.96M,980.00M,,980.00M,,-346.90M,-346.90M,71.84M,-180.43M,524.51M,1.611B,147.93M,3.073M,1.762B,,980.00M,0.00,-346.90M,18.14M,0.468M
2013-03,244.29M,,,,,9.802M,9.278M,19.08M,19.08M,-7.229M,,,,21.83M,,12.55M,-115.16M,-207.99M,188.11M,,,23.42M,-111.62M,183.12M,-15.05M,,-15.05M,,-0.102M,-0.268M,-0.581M,-16.00M,0.00,,0.00,,-76.38M,-76.38M,0.965M,4.443M,-70.97M,1.536B,96.14M,-21.28M,1.611B,,,0.00,-76.38M,228.89M,9.072M
2012-12,289.60M,,,,,9.497M,8.131M,17.63M,17.63M,3.15M,,,,19.99M,,12.41M,127.38M,56.26M,-62.03M,,,27.62M,149.24M,496.82M,-16.21M,,-16.21M,,-19.99M,173.32M,0.718M,137.84M,0.00,,0.00,,-1.624M,-1.624M,0.028M,-7.722M,-9.318M,898.47M,625.34M,12.54M,1.536B,,0.00,0.00,-1.624M,95.28M,0.47M
2012-09,599.97M,,,,,8.171M,7.837M,16.01M,16.01M,2.781M,,,,17.67M,,12.31M,-55.94M,-1.665M,73.37M,,,5.99M,21.76M,674.94M,-10.53M,,-10.53M,,-0.442M,-586.82M,-0.487M,-598.28M,-0.001M,,-0.001M,,-0.229M,-0.229M,0.962M,-0.097M,0.635M,812.79M,77.30M,8.383M,898.47M,,0.00,-0.001M,-0.229M,16.20M,9.114M
2012-06,352.65M,,,,,7.465M,8.198M,15.66M,15.66M,8.861M,,,,17.73M,,12.17M,-118.49M,49.95M,91.44M,,,-1.232M,21.68M,431.61M,-14.73M,,-14.73M,,-0.143M,-713.52M,-2.387M,-730.77M,0.00,,0.00,,-0.943M,-0.943M,0.648M,-52.70M,-53.00M,1.192B,-352.16M,-27.13M,812.79M,,0.00,,-0.943M,15.53M,0.437M
2012-03,181.82M,,,,,7.685M,8.157M,15.84M,15.84M,4.804M,,,,16.64M,,8.136M,-58.24M,-145.34M,153.24M,,,1.485M,-48.86M,182.38M,-13.70M,,-13.70M,,-13.29M,-343.92M,-0.60M,-371.50M,1.00B,,1.00B,,-254.22M,-254.22M,1.045M,-16.29M,730.53M,632.84M,541.41M,17.83M,1.192B,,1.00B,,-254.22M,173.53M,3.912M
2011-12,225.96M,,,,0.00,5.847M,7.89M,13.74M,13.74M,10.58M,-17.62M,,,25.44M,,-34.60M,76.29M,6.232M,-81.84M,,,-2.402M,-1.711M,281.84M,-17.06M,,-17.06M,,-0.219M,-49.33M,-0.002M,-66.62M,-0.213M,,-0.213M,,-0.802M,-0.802M,0.311M,6.258M,5.554M,421.17M,220.78M,-9.11M,632.84M,,0.00,-0.213M,-0.802M,232.76M,7.573M
2011-09,472.88M,,,,0.00,5.576M,8.381M,13.96M,13.96M,14.30M,5.954M,,,13.42M,,19.37M,-47.87M,-3.108M,87.85M,,,0.296M,37.17M,560.47M,-11.69M,,-11.69M,,-0.899M,-722.55M,-2.885M,-738.02M,0.213M,,0.213M,,-3.678M,-3.678M,0.121M,2.61M,-0.734M,611.25M,-178.29M,-11.80M,421.17M,,0.00,0.213M,-3.678M,-55.46M,-3.717M
2011-06,256.28M,,,,0.032M,5.059M,8.592M,13.65M,13.65M,11.61M,5.874M,,,13.23M,,19.10M,-97.73M,5.782M,26.54M,,,-14.03M,-79.43M,223.28M,-9.798M,,-9.798M,,-0.87M,-144.49M,-0.019M,-155.18M,-0.213M,,-0.213M,,-1.429M,-1.429M,3.326M,-10.33M,-8.649M,551.07M,59.45M,0.722M,611.25M,,0.00,-0.213M,-1.429M,26.50M,0.116M
2011-03,104.01M,,,,,4.166M,8.313M,12.48M,12.48M,8.26M,5.792M,,,14.11M,,19.90M,-56.49M,3.307M,177.76M,,,4.17M,128.75M,276.22M,-8.279M,,-8.279M,,-66.20M,129.55M,-0.016M,55.05M,0.00,,0.00,,-157.26M,-157.26M,0.544M,9.52M,-147.20M,358.97M,184.07M,8.035M,551.07M,,0.00,,-157.26M,28.96M,3.601M
2010-12,135.11M,,,,0.00,4.141M,10.06M,14.20M,14.20M,3.89M,-17.73M,,,19.77M,,-42.92M,83.48M,-14.34M,-85.15M,,,15.88M,-0.129M,179.92M,-8.122M,,-8.122M,,-1.433M,-382.56M,0.104M,-392.01M,-295.40M,,-295.40M,,-3.792M,-3.792M,1.128M,336.50M,38.43M,533.12M,-173.66M,-0.498M,358.97M,,0.00,-295.40M,-3.792M,107.75M,0.262M
2010-09,224.56M,,,,3.226M,4.199M,10.60M,14.80M,14.80M,33.65M,6.374M,,,21.25M,,42.32M,-27.24M,1.602M,46.06M,,,2.857M,23.28M,305.36M,-4.238M,,-4.238M,,0.00,-25.47M,0.189M,-29.52M,173.38M,,173.38M,,-0.23M,-0.23M,1.174M,-292.76M,-118.44M,356.04M,157.41M,19.68M,533.12M,,0.00,173.38M,-0.23M,30.57M,3.863M
2010-06,114.60M,,,,2.857M,3.90M,7.787M,11.69M,11.69M,,7.178M,,,15.46M,,12.62M,-65.29M,-11.53M,100.13M,,,-2.071M,21.24M,187.32M,-5.402M,,-5.402M,,-108.47M,5.777M,-0.002M,-108.10M,-74.99M,,-74.99M,,-6.491M,-6.491M,10.85M,4.594M,-66.03M,348.78M,13.19M,-5.928M,356.04M,,0.00,-74.99M,-6.491M,15.07M,0.025M
2010-03,53.88M,,,,5.251M,3.969M,5.81M,9.779M,9.779M,,4.181M,,,11.91M,,11.43M,-20.22M,1.893M,23.71M,,,1.111M,6.492M,104.70M,-4.831M,,-4.831M,,-2.50M,-304.11M,-0.031M,-311.47M,476.61M,,476.61M,,-118.93M,-118.93M,12.60M,-11.28M,359.00M,202.14M,152.22M,-5.584M,348.78M,,575.00M,-98.39M,-118.93M,15.93M,0.751M
2009-12,78.46M,,,0.00,3.783M,3.886M,6.125M,10.01M,10.01M,185.03M,4.296M,,,7.944M,,-186.65M,51.16M,-9.90M,-3.035M,,,1.941M,40.17M,146.26M,-5.204M,,-5.204M,,-1.50M,-255.35M,-0.005M,-262.06M,-75.08M,,-75.08M,,-3.246M,-3.246M,34.02M,0.569M,-43.73M,362.47M,-159.52M,-0.812M,202.14M,,0.00,-75.08M,-3.246M,35.36M,0.206M
2009-09,318.98M,,,0.00,0.395M,3.636M,6.462M,10.10M,10.10M,-172.59M,5.134M,,,10.87M,,1.569M,-18.61M,9.672M,30.16M,,,-0.502M,20.72M,195.18M,-1.788M,,-1.788M,,0.00,-81.98M,-0.014M,-83.78M,-85.54M,,-85.54M,,-0.931M,-0.931M,2.906M,0.238M,-83.33M,333.45M,28.07M,0.958M,362.47M,,0.00,-85.54M,-0.931M,30.78M,1.945M
2009-06,67.01M,,,-0.033M,-0.293M,3.516M,6.207M,9.723M,9.723M,9.514M,5.525M,,,11.26M,,0.748M,-39.39M,-0.584M,27.66M,,,2.883M,-9.436M,94.06M,-5.023M,,-5.023M,,0.00,-40.50M,0.289M,-45.24M,-16.00M,,-16.00M,,-0.131M,-0.131M,5.296M,0.065M,-10.77M,291.26M,38.05M,4.138M,333.45M,,0.00,-16.00M,-0.131M,21.21M,0.147M
2009-03,25.02M,,,0.031M,-2.839M,3.453M,5.908M,9.361M,9.361M,9.035M,5.713M,,,10.59M,,1.062M,-15.93M,-0.167M,32.01M,,,0.302M,16.22M,74.16M,-3.091M,,-3.091M,,0.00,-108.25M,0.959M,-110.38M,-20.50M,,-20.50M,,-13.11M,-13.11M,1.202M,1.277M,-31.13M,364.55M,-67.35M,-5.938M,291.26M,,0.00,-20.50M,-13.11M,8.159M,2.15M
2008-12,34.15M,,,0.047M,-5.921M,3.589M,6.855M,10.44M,10.44M,5.802M,6.335M,0.00,,11.45M,,7.762M,38.07M,-2.491M,-26.27M,,,1.025M,10.33M,80.35M,-5.437M,,-5.437M,,-0.006M,-47.97M,-0.167M,-53.58M,-74.53M,,-74.53M,,-0.113M,-0.113M,1.032M,0.496M,-73.12M,413.39M,-46.35M,-2.486M,364.55M,,,-74.53M,-0.113M,20.67M,0.028M
2008-09,86.29M,,,0.097M,0.01M,3.583M,7.352M,10.94M,10.94M,9.801M,6.639M,0.843M,,10.05M,,0.799M,-17.88M,-2.062M,-5.598M,,,2.084M,-23.45M,101.92M,-5.858M,,-5.858M,,-0.062M,37.87M,-123.06M,-91.10M,-52.56M,,-52.56M,,-0.931M,-0.931M,0.767M,5.464M,-47.26M,471.07M,-36.44M,-21.24M,413.39M,,,-52.56M,-0.931M,30.30M,2.627M
2008-06,50.99M,,,0.077M,0.118M,3.608M,7.456M,11.06M,11.06M,4.781M,8.059M,,,9.077M,,2.61M,-37.38M,-2.357M,42.21M,,,0.726M,3.201M,89.90M,-4.173M,,-4.173M,,-0.068M,-45.10M,-30.47M,-79.82M,-49.85M,,-49.85M,,-0.132M,-0.132M,2.342M,0.527M,-47.11M,508.24M,-37.03M,-0.137M,471.07M,,,-49.85M,-0.132M,7.187M,0.164M
2008-03,14.20M,,,0.089M,0.089M,3.608M,7.017M,10.62M,10.62M,-0.485M,8.161M,,,9.939M,,1.942M,-25.70M,1.757M,21.90M,,,0.955M,-1.086M,43.38M,-2.854M,,-2.854M,,-0.463M,77.45M,-1.536M,72.60M,,,0.00,,-3.273M,-3.273M,1.366M,0.55M,-1.357M,385.36M,114.62M,8.251M,508.24M,,,,-3.273M,8.79M,3.534M
2007-12,32.86M,,,,1.055M,3.554M,4.957M,8.511M,8.511M,1.92M,,,,,,-8.011M,29.34M,-4.216M,-16.72M,,,2.488M,10.89M,66.68M,-4.938M,,-4.938M,,,-33.00M,-74.69M,-127.21M,,,,-16.20M,-0.415M,-16.61M,,17.15M,20.36M,423.51M,-40.17M,2.017M,385.36M,-16.20M,,,-0.415M,,
2007-09,104.36M,,,,2.517M,2.996M,6.92M,9.916M,9.916M,-42.67M,,,,,,4.793M,-24.79M,-1.668M,8.872M,,,0.357M,-17.23M,61.69M,-5.504M,,-5.504M,,,-68.64M,-0.003M,-74.15M,,,,6.548M,-0.593M,5.955M,,-0.328M,5.627M,426.52M,-6.833M,3.82M,423.51M,6.548M,,,-0.593M,,
2007-06,34.57M,,,,1.335M,2.688M,7.117M,9.805M,9.805M,5.24M,,,,,,3.139M,-23.67M,22.07M,-43.65M,,,0.053M,-45.20M,8.895M,-3.29M,,-3.29M,,,-22.41M,-0.065M,-25.76M,,,,2.059M,-0.205M,1.854M,,-14.73M,-12.88M,454.99M,-29.74M,1.278M,426.52M,2.059M,,,-0.205M,,
2007-03,-14.72M,,,,0.093M,2.576M,6.692M,9.268M,9.268M,-12.45M,,,,,,4.965M,-5.104M,-25.36M,61.28M,,,0.773M,31.59M,18.75M,-2.217M,,-2.217M,,,7.996M,-0.16M,5.619M,,,,7.589M,-1.425M,6.164M,,0.169M,6.333M,423.58M,30.70M,0.706M,454.99M,7.589M,,,-1.425M,,
2006-12,13.23M,,,,0.539M,2.573M,7.207M,9.78M,9.78M,-1.699M,,,,,,6.801M,7.313M,-0.412M,-4.459M,,,0.702M,3.144M,31.80M,-3.223M,,-3.223M,,0.00,24.73M,15.35M,36.85M,,,7.602M,4.542M,-20.04M,-15.50M,,51.41M,43.51M,308.67M,112.15M,2.753M,423.58M,4.542M,,,-20.04M,,
2006-09,48.82M,,,,2.194M,2.637M,6.703M,9.34M,9.34M,-26.00M,,,,,,5.388M,-7.086M,1.004M,0.483M,,,0.698M,-4.901M,34.84M,-3.34M,,-3.34M,,0.00,40.08M,3.493M,40.24M,,,300.00M,2.941M,-129.95M,-127.00M,,-58.60M,114.39M,118.77M,189.47M,0.432M,308.67M,2.941M,,,-129.95M,,
2006-06,12.52M,,,,-2.898M,2.555M,6.511M,9.066M,9.066M,1.113M,,,,,,7.945M,-17.21M,0.192M,14.19M,,0.316M,-0.131M,-2.641M,25.10M,-4.213M,,-4.213M,,-1.894M,12.84M,-0.283M,6.448M,,,,5.509M,-0.063M,5.446M,,-1.581M,3.865M,81.91M,35.42M,1.449M,118.77M,5.509M,,,-0.063M,,
2006-03,-0.099M,,,,3.719M,2.359M,6.286M,8.645M,8.645M,-1.217M,,,,,,,-4.197M,-3.346M,17.16M,,-0.316M,,9.299M,20.35M,-2.075M,,-2.075M,,-1.21M,-12.76M,1.328M,-14.71M,,,,1.142M,-5.616M,-4.474M,,,-4.474M,80.34M,1.159M,0.407M,81.91M,1.142M,,,-5.616M,,
