,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-06,332.00M,,,,,-23.00M,371.00M,45.00M,,-120.00M,297.00M,-218.00M,,-22.00M,,76.00M,-607.00M,-474.00M,131.00M,-846.00M,0.00,-846.00M,,0.00,321.00M,-72.00M,-597.00M,,,480.00M,29.00M,-29.00M,0.00,,,,,-228.00M,-13.00M,239.00M,271.00M,-227.00M,44.00M,29.00M,,,-29.00M,125.00M,497.00M
2005-03,429.00M,,,,,73.00M,380.00M,70.00M,,,-126.00M,287.00M,,-142.00M,,-76.00M,344.00M,287.00M,1.239B,-740.00M,580.00M,-160.00M,,-642.00M,-350.00M,194.00M,-958.00M,,,-86.00M,216.00M,-247.00M,-31.00M,,,,,-230.00M,-24.00M,-371.00M,361.00M,-90.00M,271.00M,216.00M,,,-247.00M,,
2004-12,224.00M,,,,,51.00M,373.00M,-185.00M,,2.00M,-717.00M,81.00M,,333.00M,353.00M,-69.00M,-40.00M,-59.00M,406.00M,-875.00M,316.00M,-559.00M,,,-456.00M,463.00M,-552.00M,,,114.00M,532.00M,,532.00M,,,,,-226.00M,-9.00M,411.00M,96.00M,265.00M,361.00M,532.00M,,,,8.00M,926.00M
2004-09,337.00M,,,,,-67.00M,361.00M,387.00M,,-42.00M,417.00M,-254.00M,,-197.00M,-166.00M,-154.00M,206.00M,-148.00M,828.00M,-675.00M,0.00,-675.00M,,,232.00M,11.00M,-432.00M,,,-243.00M,74.00M,,74.00M,,,,,-213.00M,-1.00M,-383.00M,83.00M,13.00M,96.00M,74.00M,,,,-33.00M,-468.00M
2004-06,251.00M,,,,,-60.00M,347.00M,266.00M,,51.00M,193.00M,-131.00M,,133.00M,-149.00M,29.00M,-363.00M,-288.00M,567.00M,-661.00M,413.00M,-248.00M,,,-203.00M,789.00M,338.00M,,,-1.032B,165.00M,,165.00M,,,,,-212.00M,1.00M,-1.078B,256.00M,-173.00M,83.00M,165.00M,,,,33.00M,468.00M
2004-03,437.00M,,,,,41.00M,352.00M,86.00M,,-9.00M,-181.00M,274.00M,,-242.00M,43.00M,-29.00M,197.00M,62.00M,969.00M,-539.00M,,-539.00M,,,-63.00M,33.00M,-569.00M,,,-124.00M,68.00M,,68.00M,,,,,-210.00M,-4.00M,-270.00M,126.00M,130.00M,256.00M,68.00M,,,,,
2003-12,-174.00M,,,,,366.00M,309.00M,50.00M,,-2.00M,-585.00M,44.00M,,383.00M,-426.00M,,301.00M,-326.00M,223.00M,-971.00M,2.00M,-969.00M,,,-285.00M,356.00M,-898.00M,,,786.00M,54.00M,,54.00M,,,,,-209.00M,-21.00M,610.00M,191.00M,-65.00M,126.00M,54.00M,,,,,
2003-09,-256.00M,,,,,558.00M,354.00M,163.00M,,-98.00M,261.00M,-300.00M,,-199.00M,99.00M,,66.00M,-73.00M,648.00M,-878.00M,300.00M,-578.00M,,,-205.00M,292.00M,-491.00M,,,56.00M,63.00M,,63.00M,,,,,-209.00M,-9.00M,-99.00M,133.00M,58.00M,191.00M,63.00M,,,,,
2003-06,240.00M,,,,,35.00M,343.00M,107.00M,,11.00M,1.068B,-168.00M,,-907.00M,-75.00M,,-52.00M,-134.00M,602.00M,-748.00M,3.00M,-745.00M,,,-160.00M,-9.00M,-914.00M,,,-638.00M,796.00M,,796.00M,,,,,-208.00M,-3.00M,-53.00M,498.00M,-365.00M,133.00M,796.00M,,,,,
2003-03,508.00M,,,,,-256.00M,328.00M,132.00M,,113.00M,-1.275B,190.00M,,1.095B,-71.00M,,118.00M,57.00M,882.00M,-841.00M,,-841.00M,,,-127.00M,-102.00M,-1.07B,,,526.00M,77.00M,,77.00M,,,,,-199.00M,-9.00M,395.00M,291.00M,207.00M,498.00M,77.00M,,,,,
2002-12,338.00M,,,,,65.00M,336.00M,415.00M,,165.00M,-461.00M,49.00M,,357.00M,-487.00M,,-234.00M,-776.00M,543.00M,-813.00M,,-798.00M,,-8.00M,-462.00M,-134.00M,-1.402B,,,-171.00M,1.226B,244.00M,1.47B,,,,,-198.00M,-134.00M,967.00M,183.00M,108.00M,291.00M,1.226B,,,244.00M,,
2002-09,431.00M,,,,,-17.00M,348.00M,184.00M,,-58.00M,-34.00M,-93.00M,,103.00M,-31.00M,,240.00M,185.00M,1.073B,-504.00M,,-504.00M,,-216.00M,,-157.00M,-877.00M,,,-181.00M,453.00M,-310.00M,143.00M,,,,,-179.00M,-21.00M,-238.00M,225.00M,-42.00M,183.00M,453.00M,,,-310.00M,,
2002-06,271.00M,,,,,-13.00M,341.00M,88.00M,,41.00M,-129.00M,-130.00M,,93.00M,-82.00M,,-60.00M,-308.00M,420.00M,-904.00M,,-904.00M,,-186.00M,19.00M,-34.00M,-1.105B,,,393.00M,52.00M,,52.00M,,,,,-179.00M,-4.00M,262.00M,648.00M,-423.00M,225.00M,52.00M,,,,,
2002-03,322.00M,,,,,-27.00M,354.00M,27.00M,,-114.00M,-190.00M,119.00M,,-26.00M,259.00M,,-312.00M,-150.00M,412.00M,-607.00M,,-607.00M,,,-19.00M,50.00M,-576.00M,,,-177.00M,689.00M,,689.00M,,,,,-167.00M,-19.00M,326.00M,486.00M,162.00M,648.00M,689.00M,,,,,
2001-12,-117.00M,,,,,210.00M,349.00M,4.00M,,474.00M,-32.00M,-25.00M,,82.00M,-248.00M,,-133.00M,-356.00M,564.00M,-674.00M,-498.00M,-1.172B,,-902.00M,141.00M,-362.00M,-2.295B,,,1.72B,290.00M,,290.00M,,,,,-170.00M,10.00M,1.85B,367.00M,119.00M,486.00M,290.00M,,,,,
2001-09,343.00M,,,,,-63.00M,336.00M,92.00M,,-358.00M,534.00M,-108.00M,,-217.00M,125.00M,,136.00M,470.00M,820.00M,-505.00M,639.00M,134.00M,,0.00,-37.00M,122.00M,219.00M,,,-1.048B,50.00M,,50.00M,,,,,-161.00M,11.00M,-1.148B,476.00M,-109.00M,367.00M,50.00M,,,,,
2001-06,156.00M,,,,,-6.00M,637.00M,105.00M,,-11.00M,-88.00M,-37.00M,,110.00M,-241.00M,,-528.00M,-784.00M,97.00M,-580.00M,,-580.00M,,-14.00M,2.00M,20.00M,-572.00M,,,183.00M,53.00M,,53.00M,,,,,-159.00M,-8.00M,69.00M,882.00M,-406.00M,476.00M,53.00M,,,,,
2001-03,162.00M,,,,,,,,,,,,,,,,760.00M,760.00M,922.00M,-409.00M,,-409.00M,,-1.299B,-180.00M,343.00M,-1.545B,,,697.00M,599.00M,,599.00M,,,,,-159.00M,8.00M,1.145B,360.00M,522.00M,882.00M,599.00M,,,,,
2000-12,127.00M,,,,,-218.00M,344.00M,,,,-843.00M,120.00M,,289.00M,68.00M,54.00M,-40.00M,-352.00M,55.00M,-561.00M,676.00M,115.00M,,0.00,-67.00M,1.223B,1.271B,,,-1.63B,393.00M,1.00M,394.00M,,,,,-108.00M,-60.00M,-1.404B,438.00M,-78.00M,360.00M,393.00M,,,1.00M,,
2000-09,239.00M,,,,,432.00M,924.00M,,,,-110.00M,-182.00M,,337.00M,-271.00M,-298.00M,-501.00M,-1.025B,570.00M,-448.00M,76.00M,-372.00M,,-24.00M,-32.00M,42.00M,-386.00M,,,51.00M,49.00M,0.00,49.00M,,,,,-153.00M,1.00M,-52.00M,306.00M,132.00M,438.00M,49.00M,,,0.00,,
2000-06,-98.00M,,,,,,,,,,,,,,,,371.00M,371.00M,273.00M,-350.00M,42.00M,-308.00M,,0.00,-6.00M,20.00M,-294.00M,,,139.00M,3.00M,0.00,3.00M,,,,,-153.00M,-52.00M,-63.00M,390.00M,-84.00M,306.00M,3.00M,,,0.00,,
2000-03,168.00M,,,,,,,,,,,,,,,,277.00M,277.00M,445.00M,-379.00M,42.00M,-337.00M,,-2.755B,7.00M,-103.00M,-3.188B,,,4.555B,87.00M,-1.642B,-1.555B,,,,,-201.00M,54.00M,2.853B,280.00M,110.00M,390.00M,87.00M,,,-1.642B,,
1999-12,58.00M,,,,,,204.00M,,,,158.00M,9.00M,,-96.00M,217.00M,52.00M,-155.00M,185.00M,420.00M,-109.00M,180.00M,71.00M,,-157.00M,-38.00M,-49.00M,-173.00M,,,17.00M,,-213.00M,-213.00M,,,,,-121.00M,-7.00M,-324.00M,357.00M,-77.00M,280.00M,,,,-213.00M,,
1999-09,235.00M,,,,,,198.00M,,,,77.00M,-15.00M,,-85.00M,-217.00M,-22.00M,236.00M,-26.00M,407.00M,-195.00M,,-195.00M,,0.00,11.00M,-335.00M,-519.00M,,,431.00M,,-50.00M,-50.00M,,,,,-124.00M,-27.00M,230.00M,239.00M,118.00M,357.00M,,,,-50.00M,,
1999-06,120.00M,,,,,,195.00M,,,,-249.00M,,,220.00M,,60.00M,-121.00M,-90.00M,225.00M,-293.00M,-24.00M,-317.00M,,-34.00M,13.00M,13.00M,-325.00M,,,-16.00M,,-2.00M,-2.00M,,,,,-123.00M,6.00M,-135.00M,473.00M,-235.00M,239.00M,,,,-2.00M,,
1999-03,138.00M,,,,,,201.00M,,,,95.00M,,,-63.00M,,-90.00M,-78.00M,-136.00M,203.00M,-207.00M,24.00M,-183.00M,,-133.00M,-4.00M,-205.00M,-525.00M,,,618.00M,,-107.00M,-107.00M,,,,,-125.00M,-16.00M,370.00M,425.00M,48.00M,473.00M,,,,-107.00M,,
1998-12,54.60M,,,,,-33.30M,,22.00M,,-196.40M,-67.00M,,,-91.90M,,,-81.30M,-264.20M,396.70M,-166.10M,52.60M,-113.50M,,-61.90M,-68.40M,-320.30M,-564.10M,,,-146.50M,-0.30M,-42.80M,-43.10M,,,,,-124.80M,-57.60M,-372.00M,965.20M,-539.40M,426.00M,-0.30M,,,-42.80M,22.40M,74.60M
1998-09,424.60M,,,,,-386.10M,,103.70M,,-193.00M,68.50M,,,-20.70M,,,210.30M,258.10M,207.30M,-229.90M,1.409B,1.180B,,-25.90M,3.10M,-207.70M,949.00M,,,-402.30M,5.80M,-56.20M,-50.40M,,,,,-126.30M,16.50M,-562.50M,371.20M,593.80M,965.20M,5.80M,,,-56.20M,59.10M,153.60M
1998-06,-82.70M,,,,,253.10M,,-103.70M,,152.30M,-152.90M,,,241.80M,,,-52.80M,36.10M,255.10M,-156.60M,-99.50M,-256.10M,,-178.40M,2.50M,-114.40M,-546.40M,,,540.20M,42.70M,,42.70M,,,,,-126.30M,-90.70M,365.90M,296.70M,74.60M,371.20M,42.70M,,,,112.20M,95.50M
