,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,217.00M,,,45.00M,45.00M,20.00M,,16.00M,20.00M,5.00M,37.00M,6.00M,17.00M,,,17.00M,82.00M,,400.00M,,-68.00M,,,,,2.00M,-747.00M,,495.00M,-871.00M,-376.00M,,-201.00M,-201.00M,-124.00M,-124.00M,10.00M,,-691.00M,,1.177B,-1.038B,-5.00M,134.00M,,,495.00M,0.00,-201.00M,,AOR,Restated
2018-03,181.00M,,,40.00M,40.00M,-6.00M,,14.00M,-6.00M,-60.00M,-18.00M,3.00M,120.00M,,,-16.00M,29.00M,0.00,252.00M,,-37.00M,,,,,-1.00M,-38.00M,,0.00,569.00M,569.00M,,0.00,0.00,-109.00M,-109.00M,9.00M,,469.00M,,492.00M,683.00M,2.00M,1.177B,,,0.00,0.00,0.00,,AOR,Restated
2017-12,233.00M,,,41.00M,41.00M,-33.00M,,11.00M,12.00M,-4.00M,-30.00M,1.00M,-166.00M,,,,-199.00M,-1.00M,64.00M,,-40.00M,,,,,2.00M,-38.00M,,-400.00M,479.00M,79.00M,,-4.00M,-4.00M,-109.00M,-109.00M,33.00M,,-1.00M,,471.00M,25.00M,-4.00M,492.00M,,,0.00,-400.00M,-4.00M,,AOR,Restated
2017-09,192.00M,,,40.00M,40.00M,-4.00M,,12.00M,18.00M,35.00M,-10.00M,-6.00M,-18.00M,,,,1.00M,1.00M,260.00M,,-49.00M,,,,,13.00M,-36.00M,,396.00M,-391.00M,5.00M,,-66.00M,-66.00M,-108.00M,-108.00M,-7.00M,,-176.00M,,419.00M,48.00M,4.00M,471.00M,,,396.00M,,-66.00M,,AOR,Restated
2017-06,202.00M,,,42.00M,42.00M,3.00M,,13.00M,16.00M,-3.00M,51.00M,9.00M,40.00M,,,,109.00M,-2.00M,383.00M,,-70.00M,,,,,1.00M,-69.00M,,0.00,-248.00M,-248.00M,,0.00,0.00,-103.00M,-103.00M,20.00M,,-331.00M,,431.00M,-17.00M,1.00M,419.00M,,,0.00,0.00,0.00,,AOR,Restated
2017-03,172.00M,,,39.00M,39.00M,-34.00M,,13.00M,-3.00M,-55.00M,-7.00M,-1.00M,88.00M,,,,25.00M,0.00,212.00M,,-44.00M,,,,,22.00M,-22.00M,,,-110.00M,-110.00M,,0.00,0.00,-103.00M,-103.00M,38.00M,,-175.00M,,414.00M,15.00M,2.00M,431.00M,,,,,0.00,,AOR,Restated
2016-12,150.00M,,,41.00M,41.00M,-2.00M,,13.00M,34.00M,-17.00M,-40.00M,-7.00M,-71.00M,,,,-135.00M,-1.00M,100.00M,,-58.00M,,,,,2.00M,-56.00M,,0.00,138.00M,138.00M,,-73.00M,-73.00M,-102.00M,-102.00M,2.00M,,-35.00M,,408.00M,9.00M,-3.00M,414.00M,,,0.00,0.00,-73.00M,,AOR,Restated
2016-09,179.00M,,,41.00M,41.00M,-2.00M,,12.00M,-14.00M,74.00M,-23.00M,-6.00M,-91.00M,,,,-46.00M,0.00,170.00M,,-59.00M,,,,,1.00M,-58.00M,,0.00,95.00M,95.00M,,-110.00M,-110.00M,-104.00M,-104.00M,15.00M,,-104.00M,,401.00M,8.00M,-1.00M,408.00M,,,0.00,,-110.00M,,AOR,Restated
2016-06,165.00M,,,43.00M,43.00M,-5.00M,,12.00M,5.00M,-28.00M,41.00M,,92.00M,1.00M,,,112.00M,-1.00M,331.00M,,-59.00M,,,,,20.00M,-329.00M,,0.00,89.00M,89.00M,,-38.00M,-38.00M,-100.00M,-100.00M,34.00M,,-15.00M,,414.00M,-13.00M,0.00,401.00M,,,,0.00,-38.00M,,AOR,Restated
2016-03,159.00M,,,40.00M,40.00M,20.00M,,11.00M,3.00M,-52.00M,-9.00M,,79.00M,7.00M,,,25.00M,4.00M,262.00M,,-45.00M,,,,,0.00,-45.00M,,0.00,-68.00M,-68.00M,,-72.00M,-72.00M,-100.00M,-100.00M,43.00M,,-197.00M,,390.00M,20.00M,4.00M,414.00M,,,,0.00,-72.00M,,AOR,Restated
2015-12,151.00M,,,41.00M,41.00M,-5.00M,,13.00M,-2.00M,-11.00M,-47.00M,,-99.00M,2.00M,,,-155.00M,-5.00M,38.00M,,-40.00M,,,,,0.00,-40.00M,,-300.00M,369.00M,69.00M,,-41.00M,-41.00M,-99.00M,-99.00M,87.00M,,16.00M,,383.00M,14.00M,-7.00M,390.00M,,,,-300.00M,-41.00M,,AOR,Restated
2015-09,173.00M,,,41.00M,41.00M,-5.00M,,9.00M,-5.00M,39.00M,-30.00M,,-77.00M,-10.00M,,,-78.00M,12.00M,147.00M,,-28.00M,,,,,12.00M,-16.00M,,,36.00M,36.00M,,-103.00M,-103.00M,-99.00M,-99.00M,46.00M,,-120.00M,,382.00M,11.00M,-10.00M,383.00M,,,,,-103.00M,,AOR,Restated
2015-06,189.00M,0.00,0.00,43.00M,43.00M,-10.00M,,11.00M,-11.00M,3.00M,52.00M,,95.00M,-1.00M,,,155.00M,2.00M,379.00M,,-42.00M,,,,,16.00M,-26.00M,,-1.00M,25.00M,24.00M,,-290.00M,-290.00M,-97.00M,-97.00M,15.00M,,-348.00M,,378.00M,5.00M,-1.00M,382.00M,,,-1.00M,0.00,-290.00M,,AOR,Restated
2015-03,144.00M,0.00,0.00,41.00M,41.00M,10.00M,,12.00M,-11.00M,-57.00M,1.00M,,69.00M,5.00M,,,18.00M,4.00M,218.00M,,-23.00M,,,,,0.00,-23.00M,,-575.00M,68.00M,-507.00M,,-136.00M,-136.00M,-97.00M,-97.00M,111.00M,,-629.00M,,819.00M,-434.00M,-7.00M,378.00M,,,0.00,-575.00M,-136.00M,,AOR,Restated
2014-12,128.00M,-25.00M,-25.00M,42.00M,42.00M,-12.00M,,4.00M,14.00M,-27.00M,-52.00M,,-34.00M,-5.00M,,,-118.00M,1.00M,34.00M,,-31.00M,,,,,1.00M,-30.00M,,496.00M,-51.00M,445.00M,,0.00,0.00,-96.00M,-96.00M,116.00M,,465.00M,,355.00M,469.00M,-5.00M,819.00M,,,496.00M,0.00,0.00,,AOR,Restated
2014-09,145.00M,,,43.00M,43.00M,-4.00M,,5.00M,-9.00M,87.00M,-26.00M,,-8.00M,1.00M,,,54.00M,9.00M,243.00M,,-29.00M,,,,,2.00M,-27.00M,,,-90.00M,-90.00M,,-8.00M,-8.00M,-95.00M,-95.00M,9.00M,,-184.00M,,329.00M,32.00M,-6.00M,355.00M,,,,,-8.00M,,AOR,Restated
2014-06,171.00M,,,46.00M,46.00M,-26.00M,,7.00M,11.00M,-2.00M,60.00M,,66.00M,9.00M,,,133.00M,-5.00M,337.00M,,-50.00M,,,,,1.00M,-49.00M,,0.00,-251.00M,-251.00M,,0.00,0.00,-91.00M,-91.00M,17.00M,,-325.00M,,364.00M,-37.00M,2.00M,329.00M,,,0.00,0.00,0.00,,AOR,Restated
2014-03,151.00M,,,43.00M,43.00M,11.00M,,6.00M,-10.00M,-55.00M,13.00M,,59.00M,4.00M,,,21.00M,-2.00M,220.00M,,-24.00M,,,,,-2.00M,-27.00M,,0.00,51.00M,51.00M,,-130.00M,-130.00M,-93.00M,-93.00M,8.00M,,-164.00M,,341.00M,29.00M,-6.00M,364.00M,,,0.00,0.00,-130.00M,,AOR,Restated
2013-12,118.00M,,,45.00M,45.00M,-6.00M,,13.00M,-6.00M,-11.00M,-28.00M,,-86.00M,-1.00M,,,-126.00M,-6.00M,32.00M,,-36.00M,,,,,1.00M,-35.00M,,0.00,56.00M,56.00M,,0.00,0.00,-91.00M,-91.00M,60.00M,,25.00M,,323.00M,22.00M,-4.00M,341.00M,,,0.00,,0.00,,AOR,Restated
2013-09,139.00M,,,43.00M,43.00M,0.00,,10.00M,11.00M,88.00M,-44.00M,,-56.00M,-7.00M,,,-19.00M,-6.00M,178.00M,,-27.00M,,,,,,-27.00M,,,84.00M,84.00M,,-130.00M,-130.00M,-93.00M,-93.00M,11.00M,,-128.00M,,299.00M,23.00M,1.00M,323.00M,,,,,-130.00M,,AOR,Restated
2013-06,183.00M,,,44.00M,44.00M,6.00M,,8.00M,8.00M,-30.00M,56.00M,,14.00M,5.00M,,,45.00M,-4.00M,290.00M,,-56.00M,135.00M,135.00M,-108.00M,,5.00M,-28.00M,,0.00,-190.00M,-190.00M,,-128.00M,-128.00M,-85.00M,-85.00M,21.00M,,-382.00M,,423.00M,-120.00M,-4.00M,299.00M,,,0.00,0.00,-128.00M,,AOR,Restated
2013-03,134.00M,,,46.00M,46.00M,-12.00M,,9.00M,-1.00M,-51.00M,-10.00M,,42.00M,4.00M,,,-15.00M,-1.00M,160.00M,,-32.00M,-108.00M,-108.00M,108.00M,,-1.00M,-33.00M,,-500.00M,387.00M,-113.00M,,0.00,0.00,-83.00M,-83.00M,48.00M,,-148.00M,,445.00M,-21.00M,-1.00M,423.00M,,,0.00,-500.00M,0.00,,AOR,Restated
2012-12,123.00M,,,46.00M,46.00M,-17.00M,,10.00M,-4.00M,-9.00M,-25.00M,,-9.00M,2.00M,,,-41.00M,0.00,117.00M,,-48.00M,108.00M,108.00M,,,,60.00M,,-351.00M,2.00M,-349.00M,,0.00,0.00,-84.00M,-84.00M,36.00M,,-397.00M,,667.00M,-220.00M,-2.00M,445.00M,,,-1.00M,-350.00M,0.00,,AOR,Restated
2012-09,133.00M,,,44.00M,44.00M,15.00M,,8.00M,17.00M,80.00M,-32.00M,,-58.00M,1.00M,,,-9.00M,0.00,208.00M,,-54.00M,,,,,,-54.00M,,594.00M,-297.00M,297.00M,,0.00,0.00,-83.00M,-83.00M,28.00M,,242.00M,,267.00M,396.00M,4.00M,667.00M,,,594.00M,,0.00,,AOR,Restated
2012-06,174.00M,,,45.00M,45.00M,-2.00M,,8.00M,-16.00M,-24.00M,67.00M,,41.00M,-6.00M,,,78.00M,0.00,287.00M,,-73.00M,,,0.00,,-4.00M,-77.00M,,0.00,-130.00M,-130.00M,,-67.00M,-67.00M,-78.00M,-78.00M,32.00M,,-243.00M,,303.00M,-33.00M,-3.00M,267.00M,,,0.00,0.00,-67.00M,,AOR,Restated
2012-03,134.00M,,,44.00M,44.00M,-13.00M,,8.00M,9.00M,-63.00M,-1.00M,,44.00M,3.00M,,,-17.00M,-8.00M,157.00M,,-37.00M,,,0.00,,0.00,-37.00M,,0.00,-48.00M,-48.00M,,0.00,0.00,-78.00M,-78.00M,10.00M,,-116.00M,,297.00M,4.00M,2.00M,303.00M,,,0.00,0.00,0.00,,AOR,Restated
2011-12,105.00M,,,43.00M,43.00M,-2.00M,,6.00M,-38.00M,-44.00M,-34.00M,,-1.00M,2.00M,,,-77.00M,,37.00M,,-45.00M,,,-93.00M,,12.00M,-126.00M,,319.00M,14.00M,333.00M,,-149.00M,-149.00M,-80.00M,-80.00M,11.00M,,115.00M,,270.00M,26.00M,1.00M,297.00M,,,297.00M,22.00M,-149.00M,,AOR,Restated
2011-09,130.00M,,,46.00M,46.00M,5.00M,,5.00M,9.00M,79.00M,-31.00M,,-110.00M,-2.00M,,,-64.00M,,131.00M,,-37.00M,,,,,,-37.00M,,-22.00M,,-22.00M,,-9.00M,-9.00M,-79.00M,-79.00M,33.00M,,-77.00M,,259.00M,17.00M,-6.00M,270.00M,,,0.00,-22.00M,-9.00M,,AOR,Restated
2011-06,169.00M,,16.00M,43.00M,43.00M,40.00M,0.00,9.00M,-10.00M,-20.00M,56.00M,,-7.00M,7.00M,,,36.00M,-11.00M,292.00M,,-69.00M,,,0.00,,0.00,-69.00M,,29.00M,,116.00M,,-183.00M,-183.00M,-73.00M,-73.00M,23.00M,,-117.00M,,153.00M,106.00M,0.00,259.00M,,,0.00,29.00M,-183.00M,,AOR,Restated
2011-03,141.00M,,3.00M,42.00M,42.00M,26.00M,0.00,9.00M,3.00M,-67.00M,-25.00M,,88.00M,-3.00M,,,-7.00M,-36.00M,181.00M,,-70.00M,,,0.00,,0.00,-70.00M,,-329.00M,,40.00M,-35.00M,-338.00M,-373.00M,-76.00M,-76.00M,70.00M,,-339.00M,,379.00M,-228.00M,2.00M,153.00M,,-35.00M,0.00,-329.00M,-338.00M,,AOR,Restated
2010-12,-163.00M,,-19.00M,43.00M,43.00M,8.00M,258.00M,2.00M,22.00M,-6.00M,-24.00M,,-85.00M,8.00M,,,-107.00M,33.00M,77.00M,,-55.00M,,,747.00M,,25.00M,717.00M,,0.00,,-503.00M,13.00M,-130.00M,-117.00M,-77.00M,-77.00M,,,-697.00M,,286.00M,97.00M,-4.00M,379.00M,,13.00M,0.00,,-130.00M,,AOR,Restated
2010-09,140.00M,,,45.00M,45.00M,-1.00M,,12.00M,-3.00M,60.00M,-44.00M,,-92.00M,9.00M,,,-67.00M,22.00M,148.00M,,-34.00M,,,,,,-34.00M,,,,134.00M,22.00M,-4.00M,18.00M,-77.00M,-77.00M,,,75.00M,,87.00M,189.00M,10.00M,286.00M,,22.00M,,,-4.00M,,AOR,Restated
2010-06,150.00M,,,45.00M,45.00M,3.00M,0.00,14.00M,4.00M,9.00M,53.00M,,70.00M,-5.00M,,,127.00M,33.00M,376.00M,,-92.00M,,,0.00,,-11.00M,-103.00M,,-172.00M,-52.00M,-224.00M,19.00M,-150.00M,-131.00M,-71.00M,-71.00M,,,-426.00M,,241.00M,-153.00M,-1.00M,87.00M,,19.00M,-164.00M,-8.00M,-150.00M,,AOR,Restated
2010-03,143.00M,,,44.00M,44.00M,16.00M,0.00,21.00M,-4.00M,-88.00M,-6.00M,,88.00M,-4.00M,,,-10.00M,-13.00M,197.00M,,-33.00M,,,-19.00M,,1.00M,-53.00M,,-15.00M,,-15.00M,30.00M,0.00,30.00M,-70.00M,-70.00M,,,-55.00M,,154.00M,89.00M,-2.00M,241.00M,,30.00M,163.00M,-178.00M,0.00,,AOR,Restated
2009-12,93.00M,,-1.00M,46.00M,46.00M,3.00M,0.00,12.00M,12.00M,24.00M,-20.00M,,-35.00M,0.00,,,-31.00M,18.00M,152.00M,,-42.00M,,,0.00,,0.00,-42.00M,,-100.00M,-35.00M,-135.00M,31.00M,0.00,31.00M,-141.00M,-71.00M,-15.00M,,-190.00M,,237.00M,-80.00M,-3.00M,154.00M,,31.00M,262.00M,-397.00M,0.00,,AOR,Restated
2009-09,140.00M,,1.00M,48.00M,48.00M,2.00M,,13.00M,-27.00M,34.00M,-21.00M,,-113.00M,0.00,,,-100.00M,17.00M,94.00M,,-34.00M,,,,,1.00M,-33.00M,,-15.00M,35.00M,20.00M,,,,,-70.00M,15.00M,,-35.00M,,206.00M,26.00M,5.00M,237.00M,,,35.00M,-15.00M,,,AOR,Restated
2009-06,105.00M,,-5.00M,46.00M,46.00M,3.00M,,13.00M,-14.00M,-31.00M,37.00M,,72.00M,12.00M,,,90.00M,,315.00M,,-61.00M,,,0.00,,2.00M,-60.00M,,222.00M,-334.00M,-112.00M,4.00M,,4.00M,,-65.00M,,,-173.00M,,117.00M,82.00M,7.00M,206.00M,,4.00M,11.00M,211.00M,,,AOR,Restated
2009-03,153.00M,,5.00M,49.00M,49.00M,4.00M,,12.00M,-7.00M,-55.00M,-5.00M,,75.00M,1.00M,,,16.00M,,232.00M,,-51.00M,,,0.00,,-2.00M,-53.00M,,-211.00M,116.00M,-95.00M,2.00M,,2.00M,,-64.00M,,,-157.00M,,97.00M,22.00M,-2.00M,117.00M,,2.00M,0.00,-95.00M,,,AOR,Restated
2008-12,86.00M,,,46.00M,46.00M,-5.00M,,21.00M,16.00M,35.00M,8.00M,,-88.00M,-21.00M,,,-66.00M,,98.00M,,-45.00M,,,,,1.00M,-44.00M,,0.00,-89.00M,-89.00M,19.00M,,19.00M,,-65.00M,,,-135.00M,,184.00M,-81.00M,-6.00M,97.00M,,19.00M,,-89.00M,,,,Restated
2008-09,128.00M,,,47.00M,47.00M,-3.00M,,12.00M,10.00M,41.00M,-45.00M,,-97.00M,,,,-101.00M,,93.00M,,-39.00M,,,,,-1.00M,-40.00M,,0.00,-27.00M,-27.00M,16.00M,,16.00M,,-64.00M,,,-75.00M,,214.00M,-22.00M,-8.00M,184.00M,,16.00M,,-27.00M,,,,Restated
2008-06,158.00M,,-3.00M,51.00M,51.00M,-53.00M,,,-53.00M,-51.00M,34.00M,,84.00M,-4.00M,15.00M,,78.00M,,254.00M,,-67.00M,,103.00M,0.00,,1.00M,-66.00M,,,,-204.00M,9.00M,0.00,9.00M,,-55.00M,,,-250.00M,,282.00M,-62.00M,-6.00M,214.00M,,9.00M,,,0.00,,,Restated
2008-03,100.00M,,-38.00M,56.00M,56.00M,7.00M,,,56.00M,-52.00M,3.00M,,39.00M,8.00M,-14.00M,,-16.00M,,165.00M,,-32.00M,,-32.00M,0.00,,1.00M,-31.00M,,,,-86.00M,4.00M,0.00,4.00M,,-56.00M,,,-138.00M,,280.00M,-4.00M,6.00M,282.00M,,4.00M,,,0.00,,,
2007-12,92.00M,,34.00M,50.00M,50.00M,-5.00M,,,-11.00M,38.00M,-43.00M,,-5.00M,3.00M,-5.00M,,-12.00M,,148.00M,,-45.00M,,-45.00M,-913.00M,,1.00M,-957.00M,,,,913.00M,21.00M,0.00,21.00M,,-56.00M,,,878.00M,,209.00M,69.00M,2.00M,280.00M,,21.00M,,,0.00,,,
2007-09,111.00M,,7.00M,48.00M,48.00M,,,,31.00M,57.00M,-20.00M,,-79.00M,4.00M,4.00M,,-34.00M,,163.00M,,-26.00M,,-26.00M,,,-2.00M,-28.00M,,,,814.00M,5.00M,-868.00M,-863.00M,,-61.00M,,,-110.00M,,182.00M,25.00M,2.00M,209.00M,,5.00M,,,-868.00M,,,
2007-06,164.00M,,12.00M,49.00M,49.00M,8.00M,,,5.00M,-28.00M,43.00M,,49.00M,-1.00M,-9.00M,-10.00M,44.00M,0.00,282.00M,,-51.00M,,-51.00M,0.00,,-1.00M,-52.00M,,,,-135.00M,26.00M,-66.00M,-40.00M,,-47.00M,,,-222.00M,,171.00M,8.00M,3.00M,182.00M,,26.00M,,,-66.00M,,,
2007-03,129.00M,,-15.00M,48.00M,48.00M,-15.00M,,,29.00M,-33.00M,-5.00M,,28.00M,1.00M,3.00M,2.00M,-4.00M,0.00,172.00M,,-28.00M,,-28.00M,-67.00M,,5.00M,-90.00M,,,,-70.00M,26.00M,0.00,26.00M,,-47.00M,,,-91.00M,,179.00M,-9.00M,1.00M,171.00M,,26.00M,,,0.00,,,
2006-12,96.00M,,11.00M,49.00M,49.00M,-5.00M,,,17.00M,-20.00M,-14.00M,,-9.00M,2.00M,2.00M,-2.00M,-41.00M,-5.00M,122.00M,,-37.00M,,-37.00M,-56.00M,,0.00,-93.00M,,,,56.00M,34.00M,-69.00M,-35.00M,,-45.00M,,,-24.00M,,174.00M,5.00M,0.00,179.00M,,34.00M,,,-69.00M,,,
2006-09,112.00M,,9.00M,46.00M,46.00M,-3.00M,,,11.00M,66.00M,-32.00M,,-98.00M,11.00M,11.00M,,-42.00M,,133.00M,,-31.00M,,-31.00M,,,-2.00M,-33.00M,,,,-88.00M,33.00M,-20.00M,13.00M,,-44.00M,,,-119.00M,,192.00M,-19.00M,1.00M,174.00M,,33.00M,,,-20.00M,,,
2006-06,142.00M,,-20.00M,50.00M,50.00M,-18.00M,,,77.00M,-49.00M,85.00M,,70.00M,-10.00M,-16.00M,-10.00M,70.00M,0.00,301.00M,,-58.00M,,-58.00M,,-41.00M,56.00M,-59.00M,,,,-310.00M,15.00M,0.00,15.00M,,-44.00M,,,-339.00M,,289.00M,-97.00M,,192.00M,,15.00M,,,0.00,,,
2006-03,110.00M,,14.00M,46.00M,46.00M,-10.00M,,,,-14.00M,-21.00M,,6.00M,-2.00M,158.00M,-151.00M,-24.00M,2.00M,138.00M,,-39.00M,,-39.00M,,0.00,-16.00M,-55.00M,,,,-56.00M,33.00M,0.00,33.00M,,-44.00M,,,-67.00M,,273.00M,16.00M,,289.00M,,33.00M,,,0.00,,,
2005-12,83.00M,,37.00M,38.00M,38.00M,-4.00M,,,-2.00M,-26.00M,-20.00M,,7.00M,-3.00M,18.00M,,-24.00M,14.00M,142.00M,,-46.00M,,-46.00M,,41.00M,-3.00M,-8.00M,,,,-63.00M,17.00M,-45.00M,-28.00M,,-43.00M,,,-134.00M,,273.00M,0.00,,273.00M,,17.00M,,,-45.00M,,,
2005-09,108.00M,,13.00M,54.00M,54.00M,4.00M,,,2.00M,60.00M,-18.00M,,-133.00M,4.00M,-145.00M,,-232.00M,-8.00M,-59.00M,,-37.00M,,-37.00M,,,-2.00M,-39.00M,,,,196.00M,14.00M,-90.00M,-76.00M,,-42.00M,,,78.00M,,293.00M,-20.00M,,273.00M,,14.00M,,,-90.00M,,,
2005-06,156.00M,,-42.00M,41.00M,41.00M,-13.00M,,,,-5.00M,52.00M,,51.00M,2.00M,109.00M,,115.00M,-4.00M,302.00M,,-62.00M,,-62.00M,,,2.00M,-60.00M,,,,-49.00M,10.00M,-160.00M,-150.00M,,-43.00M,,0.00,-242.00M,,293.00M,0.00,0.00,293.00M,,10.00M,,,-160.00M,,,
2005-03,116.00M,,34.00M,51.00M,51.00M,-32.00M,,,,-56.00M,-30.00M,,68.00M,-5.00M,-94.00M,,-117.00M,6.00M,58.00M,,-31.00M,,-31.00M,,,3.00M,-28.00M,,,,-137.00M,153.00M,-9.00M,144.00M,,-43.00M,,-1.00M,-37.00M,,300.00M,-7.00M,0.00,293.00M,,153.00M,,,-9.00M,,,
2004-12,136.00M,,-8.00M,45.00M,45.00M,-1.00M,,,,42.00M,-31.00M,,-5.00M,3.00M,-3.00M,,6.00M,11.00M,189.00M,,-31.00M,,-31.00M,,,0.00,-31.00M,,,,2.008B,45.00M,-2.11B,-2.065B,,-57.00M,,,-114.00M,,255.00M,44.00M,1.00M,300.00M,,45.00M,,,-2.11B,,,
