,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,1.691B,1.691B,947.00M,744.00M,146.00M,228.00M,374.00M,37.00M,,24.00M,-18.00M,,422.00M,322.00M,24.00M,-18.00M,5.00M,-18.00M,306.00M,89.00M,217.00M,,,,217.00M,217.00M,375.00M,45.00M,330.00M,,1.69,0.00,,1.69,1.69,,1.66,0.00,,1.66,1.66,,129.10M,131.22M,0.96,,AOR,Restated
2018-03,1.517B,1.517B,868.00M,649.00M,150.00M,208.00M,358.00M,32.00M,,20.00M,-20.00M,,390.00M,259.00M,20.00M,-20.00M,3.00M,-20.00M,242.00M,61.00M,181.00M,0.00,,,181.00M,181.00M,302.00M,40.00M,262.00M,,1.39,0.00,,1.39,1.39,,1.37,0.00,,1.37,1.37,,129.69M,131.90M,0.84,,AOR,Restated
2017-12,1.416B,1.416B,807.00M,609.00M,140.00M,197.00M,337.00M,31.00M,,20.00M,-20.00M,,368.00M,241.00M,20.00M,-20.00M,6.00M,-20.00M,227.00M,-6.00M,233.00M,0.00,,,233.00M,233.00M,288.00M,41.00M,247.00M,,1.81,0.00,,1.81,1.81,,1.77,0.00,,1.77,1.77,,129.36M,131.66M,0.84,,AOR,Restated
2017-09,1.50B,1.50B,827.00M,673.00M,134.00M,204.00M,338.00M,32.00M,,21.00M,-21.00M,,370.00M,303.00M,21.00M,-21.00M,-3.00M,-21.00M,279.00M,87.00M,192.00M,0.00,,,192.00M,192.00M,340.00M,40.00M,300.00M,,1.49,0.00,,1.49,1.49,,1.46,0.00,,1.46,1.46,,129.02M,131.51M,0.84,,AOR,Restated
2017-06,1.647B,1.647B,895.00M,752.00M,182.00M,212.00M,394.00M,37.00M,,22.00M,-18.00M,,441.00M,311.00M,22.00M,-18.00M,,-18.00M,295.00M,93.00M,202.00M,-1.00M,,,201.00M,202.00M,359.00M,42.00M,317.00M,,1.56,-0.01,,1.56,1.55,,1.53,-0.01,,1.53,1.52,,129.12M,132.07M,0.80,,AOR,Restated
2017-03,1.477B,1.477B,827.00M,650.00M,161.00M,201.00M,362.00M,35.00M,,22.00M,-22.00M,,397.00M,253.00M,22.00M,-22.00M,16.00M,-22.00M,247.00M,75.00M,172.00M,,,,172.00M,172.00M,308.00M,39.00M,269.00M,,1.34,0.00,,1.34,1.34,,1.31,0.00,,1.31,1.31,,128.75M,131.36M,0.80,,AOR,Restated
2016-12,1.406B,1.406B,777.00M,629.00M,128.00M,197.00M,325.00M,32.00M,,22.00M,-22.00M,,357.00M,272.00M,22.00M,-22.00M,-23.00M,-22.00M,227.00M,77.00M,150.00M,-1.00M,,,149.00M,150.00M,290.00M,41.00M,249.00M,,1.16,0.00,,1.16,1.16,,1.14,0.00,,1.14,1.14,,128.50M,130.78M,0.80,,AOR,Restated
2016-09,1.443B,1.443B,803.00M,640.00M,128.00M,200.00M,328.00M,31.00M,,22.00M,-22.00M,,359.00M,281.00M,22.00M,-22.00M,5.00M,-22.00M,264.00M,85.00M,179.00M,0.00,,,179.00M,179.00M,327.00M,41.00M,286.00M,,1.39,0.00,,1.39,1.39,,1.36,0.00,,1.36,1.36,,129.45M,132.19M,0.80,,AOR,Restated
2016-06,1.60B,1.60B,873.00M,727.00M,192.00M,225.00M,417.00M,42.00M,,21.00M,-16.00M,,467.00M,260.00M,21.00M,-16.00M,8.00M,-16.00M,252.00M,87.00M,165.00M,0.00,,,165.00M,165.00M,316.00M,43.00M,273.00M,,1.28,0.00,,1.28,1.28,,1.26,0.00,,1.26,1.26,,129.50M,131.91M,0.77,,AOR,Restated
2016-03,1.426B,1.426B,780.00M,646.00M,146.00M,204.00M,350.00M,35.00M,,22.00M,-22.00M,,385.00M,261.00M,22.00M,-22.00M,-2.00M,-22.00M,237.00M,78.00M,159.00M,3.00M,,,162.00M,159.00M,299.00M,40.00M,259.00M,,1.23,0.02,,1.23,1.25,,1.21,0.02,,1.21,1.23,,129.69M,131.65M,0.77,,AOR,Restated
2015-12,1.345B,1.345B,745.00M,600.00M,126.00M,191.00M,317.00M,34.00M,,22.00M,-22.00M,,351.00M,249.00M,22.00M,-22.00M,3.00M,-22.00M,230.00M,79.00M,151.00M,-2.00M,,,149.00M,151.00M,293.00M,41.00M,252.00M,,1.16,-0.01,,1.16,1.15,,1.14,-0.01,,1.14,1.13,,129.54M,131.55M,0.77,,AOR,Restated
2015-09,1.39B,1.39B,765.00M,625.00M,123.00M,186.00M,309.00M,30.00M,,23.00M,-23.00M,,339.00M,286.00M,23.00M,-23.00M,1.00M,-23.00M,264.00M,91.00M,173.00M,-1.00M,,,172.00M,173.00M,328.00M,41.00M,287.00M,,1.34,-0.01,,1.34,1.33,,1.32,-0.01,,1.32,1.31,,129.16M,131.22M,0.77,,AOR,Restated
2015-06,1.557B,1.557B,847.00M,710.00M,151.00M,221.00M,372.00M,39.00M,,23.00M,-19.00M,,419.00M,291.00M,23.00M,-19.00M,,-19.00M,289.00M,100.00M,189.00M,2.00M,,,191.00M,189.00M,355.00M,43.00M,312.00M,,1.46,0.02,,1.46,1.48,,1.44,0.02,,1.44,1.46,,129.54M,131.83M,0.74,,AOR,Restated
2015-03,1.401B,1.401B,796.00M,605.00M,124.00M,206.00M,330.00M,34.00M,,25.00M,-25.00M,,364.00M,241.00M,25.00M,-25.00M,1.00M,-25.00M,217.00M,73.00M,144.00M,30.00M,,,174.00M,144.00M,283.00M,41.00M,242.00M,,1.09,0.22,,1.09,1.31,,1.08,0.22,,1.08,1.30,,131.83M,134.12M,0.74,,AOR,Restated
2014-12,1.345B,1.345B,773.00M,572.00M,127.00M,191.00M,318.00M,33.00M,,26.00M,-26.00M,,351.00M,221.00M,26.00M,-26.00M,2.00M,-26.00M,197.00M,69.00M,128.00M,-3.00M,,,125.00M,128.00M,265.00M,42.00M,223.00M,,0.98,-0.02,,0.98,0.96,,0.97,-0.02,,0.97,0.95,,130.56M,132.82M,0.74,,AOR,Restated
2014-09,1.352B,1.352B,774.00M,578.00M,121.00M,180.00M,301.00M,30.00M,,26.00M,-26.00M,,331.00M,247.00M,26.00M,-26.00M,-3.00M,-26.00M,218.00M,73.00M,145.00M,-55.00M,,,90.00M,145.00M,287.00M,43.00M,244.00M,,1.12,-0.42,,1.12,0.70,,1.10,-0.42,,1.10,0.68,,129.31M,131.37M,0.74,,AOR,Restated
2014-06,1.497B,1.497B,855.00M,642.00M,141.00M,183.00M,324.00M,35.00M,,26.00M,-23.00M,,367.00M,275.00M,26.00M,-23.00M,11.00M,-23.00M,263.00M,92.00M,171.00M,-1.00M,,,170.00M,171.00M,335.00M,46.00M,289.00M,,1.32,-0.01,,1.32,1.31,,1.30,-0.01,,1.30,1.29,,129.00M,130.96M,0.71,,AOR,Restated
2014-03,1.366B,1.366B,791.00M,575.00M,120.00M,178.00M,298.00M,28.00M,,25.00M,-25.00M,,326.00M,249.00M,25.00M,-25.00M,2.00M,-25.00M,226.00M,75.00M,151.00M,-14.00M,,,137.00M,151.00M,294.00M,43.00M,251.00M,,1.16,-0.11,,1.16,1.05,,1.14,-0.11,,1.14,1.04,,129.32M,131.56M,0.71,,AOR,Restated
2013-12,1.308B,1.308B,753.00M,555.00M,122.00M,196.00M,318.00M,31.00M,,26.00M,-26.00M,,349.00M,206.00M,26.00M,-26.00M,4.00M,-26.00M,184.00M,66.00M,118.00M,-3.00M,,,115.00M,118.00M,255.00M,45.00M,210.00M,,0.91,-0.02,,0.91,0.89,,0.90,-0.03,,0.90,0.87,,129.84M,132.28M,0.71,,AOR,Restated
2013-09,1.343B,1.343B,759.00M,584.00M,120.00M,194.00M,314.00M,31.00M,,26.00M,-26.00M,,345.00M,239.00M,26.00M,-26.00M,-2.00M,-26.00M,211.00M,72.00M,139.00M,-3.00M,,,136.00M,139.00M,280.00M,43.00M,237.00M,,1.07,-0.03,,1.07,1.04,,1.05,-0.03,,1.05,1.03,,130.07M,132.24M,0.71,,AOR,Restated
2013-06,1.457B,1.457B,798.00M,659.00M,128.00M,198.00M,326.00M,35.00M,,26.00M,-23.00M,,367.00M,292.00M,26.00M,-23.00M,-1.00M,-23.00M,268.00M,85.00M,183.00M,0.00,,,183.00M,183.00M,338.00M,44.00M,294.00M,,1.40,-0.01,,1.40,1.39,,1.38,-0.01,,1.38,1.37,,131.42M,133.99M,0.64,,AOR,Restated
2013-03,1.413B,1.413B,818.00M,595.00M,132.00M,196.00M,328.00M,34.00M,,30.00M,-30.00M,,362.00M,233.00M,30.00M,-30.00M,-1.00M,-30.00M,202.00M,68.00M,134.00M,-1.00M,,,133.00M,134.00M,278.00M,46.00M,232.00M,,1.01,0.00,,1.01,1.01,,1.00,0.00,,1.00,1.00,,131.62M,133.48M,0.64,,AOR,Restated
2012-12,1.325B,1.325B,762.00M,563.00M,116.00M,204.00M,320.00M,31.00M,,33.00M,-33.00M,,351.00M,212.00M,33.00M,-33.00M,9.00M,-33.00M,188.00M,65.00M,123.00M,0.00,,,123.00M,123.00M,267.00M,46.00M,221.00M,,0.94,0.00,,0.94,0.94,,0.93,0.00,,0.93,0.93,,130.99M,132.44M,0.64,,AOR,Restated
2012-09,1.338B,1.338B,764.00M,574.00M,122.00M,195.00M,317.00M,30.00M,,33.00M,-33.00M,,347.00M,227.00M,33.00M,-33.00M,,-33.00M,194.00M,61.00M,133.00M,0.00,,,133.00M,133.00M,271.00M,44.00M,227.00M,,1.02,0.00,,1.02,1.02,,1.01,0.00,,1.01,1.01,,130.27M,131.70M,0.64,,AOR,Restated
2012-06,1.541B,1.541B,883.00M,658.00M,123.00M,213.00M,336.00M,34.00M,,33.00M,-30.00M,,373.00M,285.00M,33.00M,-30.00M,-4.00M,-30.00M,251.00M,77.00M,174.00M,0.00,,,174.00M,174.00M,329.00M,45.00M,284.00M,,1.34,0.00,,1.34,1.34,,1.32,0.00,,1.32,1.32,,130.06M,131.53M,0.60,,AOR,Restated
2012-03,1.401B,1.401B,808.00M,593.00M,126.00M,211.00M,337.00M,30.00M,,33.00M,-33.00M,,367.00M,226.00M,33.00M,-33.00M,5.00M,-33.00M,198.00M,64.00M,134.00M,-2.00M,,,132.00M,134.00M,275.00M,44.00M,231.00M,,1.03,-0.01,,1.03,1.02,,1.02,-0.01,,1.02,1.01,,130.27M,131.61M,0.60,,AOR,Restated
2011-12,1.221B,1.221B,714.00M,507.00M,115.00M,184.00M,299.00M,29.00M,,30.00M,-30.00M,,328.00M,179.00M,30.00M,-30.00M,6.00M,-30.00M,155.00M,50.00M,105.00M,,,,105.00M,105.00M,228.00M,43.00M,185.00M,,0.79,,,0.79,0.79,,0.79,,,0.79,0.79,,131.11M,132.36M,0.60,,AOR,Restated
2011-09,1.305B,1.305B,759.00M,546.00M,118.00M,190.00M,308.00M,28.00M,6.00M,29.00M,-29.00M,,336.00M,210.00M,29.00M,-29.00M,6.00M,-29.00M,187.00M,57.00M,130.00M,,,,130.00M,125.83M,262.00M,46.00M,216.00M,,0.99,0.00,,0.9584,0.99,,0.98,0.00,,0.9488,0.98,,131.97M,133.61M,0.60,,AOR,Restated
2011-06,1.482B,1.482B,837.00M,645.00M,142.00M,192.00M,334.00M,29.00M,-21.00M,29.00M,-26.00M,,363.00M,282.00M,29.00M,-26.00M,-2.00M,-26.00M,254.00M,85.00M,169.00M,0.00,,,169.00M,182.97M,326.00M,43.00M,283.00M,,1.27,0.00,,1.376,1.27,,1.26,0.00,,1.364,1.26,,132.28M,133.82M,0.55,,AOR,Restated
2011-03,1.304B,1.304B,729.00M,575.00M,125.00M,182.00M,307.00M,29.00M,9.00M,29.00M,-29.00M,,336.00M,239.00M,29.00M,-29.00M,9.00M,-29.00M,219.00M,78.00M,141.00M,10.00M,,,151.00M,135.21M,290.00M,42.00M,248.00M,,1.03,0.07,,0.9875,1.10,,1.02,0.07,,0.9779,1.09,,136.36M,137.69M,0.55,,AOR,Restated
2010-12,1.179B,1.179B,687.00M,492.00M,117.00M,180.00M,297.00M,28.00M,-246.00M,33.00M,-33.00M,,325.00M,167.00M,33.00M,-33.00M,-246.00M,-33.00M,-112.00M,51.00M,-163.00M,184.00M,,,21.00M,-3.10M,-36.00M,43.00M,-79.00M,,-1.17,1.32,,-0.0170,0.15,,-1.17,1.32,,-0.0170,0.15,,138.68M,138.68M,0.55,,AOR,Restated
2010-09,1.266B,1.266B,705.00M,561.00M,118.00M,181.00M,299.00M,29.00M,1.00M,32.00M,-32.00M,,328.00M,233.00M,32.00M,-32.00M,1.00M,-32.00M,202.00M,62.00M,140.00M,76.00M,,,216.00M,139.31M,279.00M,45.00M,234.00M,,0.99,0.55,,0.9850,1.54,,0.98,0.54,,0.9751,1.52,,139.48M,140.93M,0.55,,AOR,Restated
2010-06,1.429B,1.429B,796.00M,633.00M,127.00M,199.00M,326.00M,33.00M,0.00,32.00M,-32.00M,,359.00M,274.00M,32.00M,-32.00M,0.00,-32.00M,242.00M,92.00M,150.00M,21.00M,,,171.00M,150.00M,319.00M,45.00M,274.00M,,1.07,0.15,,1.07,1.22,,1.05,0.15,,1.05,1.20,,140.28M,141.61M,0.50,,AOR,Restated
2010-03,1.287B,1.287B,713.00M,574.00M,122.00M,178.00M,300.00M,30.00M,-1.00M,34.00M,-34.00M,,330.00M,244.00M,34.00M,-34.00M,-1.00M,-34.00M,209.00M,66.00M,143.00M,22.00M,,,165.00M,143.68M,287.00M,44.00M,243.00M,,1.01,0.16,,1.015,1.17,,1.00,0.16,,1.005,1.16,,140.76M,142.01M,0.50,,AOR,Restated
2009-12,1.215B,1.215B,686.00M,529.00M,123.00M,185.00M,308.00M,29.00M,-18.00M,37.00M,-37.00M,,337.00M,192.00M,37.00M,-37.00M,-18.00M,-37.00M,137.00M,44.00M,93.00M,17.00M,,,110.00M,105.22M,220.00M,46.00M,174.00M,,0.66,0.12,,0.7471,0.78,,0.66,0.11,,0.7463,0.77,,140.30M,141.53M,0.50,,AOR,Restated
2009-09,1.303B,1.303B,720.00M,583.00M,122.00M,172.00M,294.00M,26.00M,-10.00M,36.00M,-36.00M,,320.00M,263.00M,36.00M,-36.00M,-10.00M,-36.00M,217.00M,77.00M,140.00M,17.00M,,,157.00M,146.45M,301.00M,48.00M,253.00M,,1.00,0.12,,1.046,1.12,,0.99,0.12,,1.036,1.11,,139.74M,140.86M,0.50,,AOR,Restated
2009-06,1.50B,1.50B,813.00M,687.00M,148.00M,185.00M,333.00M,33.00M,-24.00M,36.00M,-36.00M,,366.00M,321.00M,36.00M,-36.00M,-24.00M,-36.00M,261.00M,91.00M,170.00M,,,,170.00M,185.63M,343.00M,46.00M,297.00M,,1.21,0.00,,1.322,1.21,,1.20,0.00,,1.311,1.20,,139.30M,140.44M,0.46,,AOR,Restated
2009-03,1.35B,1.35B,739.00M,611.00M,125.00M,174.00M,299.00M,27.00M,-13.00M,39.00M,-39.00M,,326.00M,285.00M,39.00M,-39.00M,-13.00M,-39.00M,233.00M,80.00M,153.00M,,,,153.00M,161.54M,321.00M,49.00M,272.00M,,1.08,0.00,,1.141,1.08,,1.08,0.00,,1.141,1.08,,139.21M,140.00M,0.46,,AOR,Restated
2008-12,1.216B,1.216B,730.00M,486.00M,107.00M,172.00M,279.00M,27.00M,-5.00M,44.00M,-44.00M,,306.00M,180.00M,44.00M,-44.00M,-5.00M,-44.00M,131.00M,45.00M,86.00M,,,,86.00M,89.28M,221.00M,46.00M,175.00M,,0.62,0.00,,0.6436,0.62,,0.61,0.00,,0.6334,0.61,,139.09M,140.35M,0.46,,,Restated
2008-09,1.384B,1.384B,822.00M,562.00M,119.00M,184.00M,303.00M,27.00M,-4.00M,42.00M,-42.00M,,330.00M,232.00M,42.00M,-42.00M,-4.00M,-42.00M,186.00M,58.00M,128.00M,,,,128.00M,130.75M,275.00M,47.00M,228.00M,,0.91,0.00,,0.9299,0.91,,0.90,0.00,,0.9197,0.90,,138.46M,139.86M,0.46,,,Restated
2008-06,1.495B,1.495B,865.00M,630.00M,136.00M,185.00M,321.00M,33.00M,-13.00M,,,,354.00M,276.00M,,,-5.00M,,240.00M,82.00M,158.00M,,,,158.00M,166.56M,300.00M,51.00M,249.00M,,1.14,0.00,,1.202,1.14,,1.12,0.00,,1.181,1.12,,138.00M,140.78M,0.40,,,Restated
2008-03,1.353B,1.353B,815.00M,538.00M,123.00M,182.00M,305.00M,27.00M,-9.00M,,,,332.00M,206.00M,,,-9.00M,,151.00M,51.00M,100.00M,,,,100.00M,105.96M,262.00M,56.00M,206.00M,,0.72,0.00,,0.7632,0.72,,0.71,0.00,,0.7525,0.71,,138.01M,140.30M,0.40,,,
2007-12,1.186B,1.186B,707.00M,479.00M,109.00M,168.00M,277.00M,28.00M,0.00,,,,305.00M,174.00M,,,,,128.00M,36.00M,92.00M,,,,92.00M,92.00M,224.00M,50.00M,174.00M,,0.66,0.00,,0.66,0.66,,0.65,0.00,,0.65,0.65,,138.75M,141.03M,0.40,,,
2007-09,1.239B,1.239B,711.00M,528.00M,118.00M,155.00M,273.00M,23.00M,-25.00M,,,,296.00M,232.00M,,,-25.00M,,174.00M,63.00M,111.00M,,,,111.00M,126.95M,280.00M,48.00M,232.00M,,0.77,0.00,,0.8809,0.77,,0.76,0.00,,0.8691,0.76,,143.78M,146.13M,0.40,,,
2007-06,1.344B,1.344B,750.00M,594.00M,127.00M,165.00M,292.00M,29.00M,-7.00M,,,,321.00M,273.00M,,,-7.00M,,239.00M,75.00M,164.00M,0.00,,,164.00M,168.80M,322.00M,49.00M,273.00M,,1.08,0.00,,1.112,1.08,,1.07,0.00,,1.101,1.07,,151.76M,154.27M,0.31,,,
2007-03,1.241B,1.241B,704.00M,537.00M,121.00M,162.00M,283.00M,26.00M,-7.00M,,,,309.00M,228.00M,,,-7.00M,,193.00M,64.00M,129.00M,,,,129.00M,133.68M,276.00M,48.00M,228.00M,,0.85,0.00,,0.8809,0.85,,0.84,0.00,,0.8704,0.84,,151.47M,153.97M,0.31,,,
2006-12,1.101B,1.101B,639.00M,462.00M,109.00M,162.00M,271.00M,27.00M,1.00M,,,,298.00M,164.00M,,,1.00M,,136.00M,45.00M,91.00M,5.00M,,,96.00M,90.33M,213.00M,49.00M,164.00M,,0.60,0.03,,0.5956,0.63,,0.59,0.03,,0.5857,0.62,,151.41M,153.88M,0.29,,,
2006-09,1.161B,1.161B,663.00M,498.00M,117.00M,153.00M,270.00M,26.00M,2.00M,,,,296.00M,202.00M,,,2.00M,,175.00M,63.00M,112.00M,,,,112.00M,110.72M,248.00M,46.00M,202.00M,,0.74,0.00,,0.7315,0.74,,0.73,0.00,,0.7217,0.73,,151.14M,153.57M,0.29,,,
2006-06,1.319B,1.319B,742.00M,577.00M,126.00M,186.00M,312.00M,26.00M,4.00M,,,,338.00M,239.00M,,,4.00M,,211.00M,69.00M,142.00M,0.00,,,142.00M,139.31M,289.00M,50.00M,239.00M,,0.94,0.00,,0.9222,0.94,,0.92,0.00,,0.9025,0.92,,150.90M,153.69M,0.29,,,
2006-03,1.157B,1.157B,677.00M,480.00M,112.00M,140.00M,252.00M,25.00M,-2.00M,,,,277.00M,203.00M,,,-2.00M,,168.00M,58.00M,110.00M,,,,110.00M,111.31M,249.00M,46.00M,203.00M,,0.73,0.00,,0.7387,0.73,,0.72,0.00,,0.7286,0.72,,150.36M,152.90M,0.29,,,
2005-12,1.064B,1.064B,628.00M,436.00M,99.00M,161.00M,260.00M,25.00M,1.00M,,,31.00M,316.00M,120.00M,,,1.00M,,120.00M,37.00M,83.00M,,,,83.00M,82.31M,158.00M,38.00M,120.00M,,0.56,0.00,,0.5554,0.56,,0.55,0.00,,0.5455,0.55,,150.08M,152.26M,0.28,,,
2005-09,1.104B,1.104B,638.00M,466.00M,113.00M,144.00M,257.00M,23.00M,-2.00M,,,,280.00M,186.00M,,,-2.00M,,154.00M,46.00M,108.00M,1.00M,,,109.00M,109.40M,240.00M,54.00M,186.00M,,0.71,0.01,,0.7193,0.72,,0.70,0.01,,0.7092,0.71,,150.84M,152.88M,0.28,,,
2005-06,1.254B,1.254B,701.00M,553.00M,132.00M,148.00M,280.00M,24.00M,9.00M,,,,304.00M,249.00M,,,9.00M,,231.00M,77.00M,156.00M,0.00,,,156.00M,150.00M,290.00M,41.00M,249.00M,,0.96,0.15,,0.9207,1.11,,0.95,0.14,,0.9113,1.09,,152.63M,155.19M,0.28,,,
2005-03,1.086B,1.086B,632.00M,454.00M,106.00M,139.00M,245.00M,22.00M,-23.00M,,,,267.00M,187.00M,,,-23.00M,,137.00M,21.00M,116.00M,2.00M,,,118.00M,135.47M,238.00M,51.00M,187.00M,,0.76,0.01,,0.8869,0.77,,0.75,0.01,,0.8748,0.76,,153.50M,156.10M,0.28,,,
2004-12,1.00B,1.00B,569.00M,431.00M,92.00M,134.00M,226.00M,21.00M,7.00M,,,-12.00M,235.00M,196.00M,,,29.00M,,194.00M,60.00M,136.00M,563.00M,,,699.00M,131.16M,241.00M,45.00M,196.00M,,0.73,3.00,,0.7042,3.73,,0.72,2.96,,0.6945,3.68,,187.31M,189.81M,0.27,,,
2004-09,1.048B,1.048B,591.00M,457.00M,105.00M,130.00M,235.00M,21.00M,-29.00M,,,,256.00M,201.00M,,,-26.00M,,167.00M,58.00M,109.00M,14.00M,,,123.00M,127.93M,247.00M,46.00M,201.00M,,0.51,0.07,,0.5989,0.58,,0.50,0.07,,0.5880,0.57,,212.90M,215.12M,0.27,,,
2004-06,1.185B,1.185B,643.00M,542.00M,124.00M,135.00M,259.00M,23.00M,-10.00M,,,,282.00M,260.00M,,,-7.00M,,244.00M,85.00M,159.00M,26.00M,,,185.00M,165.52M,308.00M,48.00M,260.00M,,0.75,0.12,,0.7807,0.87,,0.74,0.12,,0.7703,0.86,,212.36M,215.33M,0.27,,,
