,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,5.006B,,,242.00M,242.00M,1.73B,392.00M,2.122B,2.122B,,,387.00M,,387.00M,267.00M,-207.00M,,201.00M,,,-605.00M,-344.00M,7.413B,,-4.53B,-4.53B,,52.00M,2.936B,349.00M,-1.193B,,-842.00M,-151.00M,-993.00M,,-3.893B,-3.893B,-1.40B,-1.40B,31.00M,-905.00M,-7.16B,,3.554B,-940.00M,,2.614B,,,0.00,-842.00M,-3.893B,1.968B,149.00M,,AOR,Restated
2018-03,4.454B,,,-643.00M,-643.00M,1.806B,390.00M,2.196B,2.196B,,,433.00M,,433.00M,102.00M,-96.00M,,73.00M,,,-235.00M,-156.00M,6.284B,,-2.91B,-2.91B,,163.00M,-1.604B,-440.00M,-4.791B,,-327.00M,2.142B,1.815B,,-1.914B,-1.914B,-1.40B,-1.40B,289.00M,-162.00M,-1.372B,,3.433B,121.00M,,3.554B,,,,-327.00M,-1.914B,228.00M,60.00M,,AOR,Restated
2017-12,-687.00M,0.00,,-1.211B,-1.211B,1.762B,378.00M,2.14B,2.14B,-570.00M,,307.00M,,307.00M,347.00M,-55.00M,,20.00M,,,6.95B,7.262B,7.241B,,-4.069B,-4.069B,,1.188B,-2.01B,-339.00M,-5.23B,,-6.578B,5.00M,-6.573B,,-4.00M,-4.00M,-1.278B,-1.278B,133.00M,69.00M,-7.653B,,9.075B,-5.642B,,3.433B,,,0.00,-6.578B,-4.00M,1.496B,238.00M,,AOR,Restated
2017-09,4.516B,0.00,,-846.00M,-846.00M,1.69B,365.00M,2.055B,2.055B,-237.00M,,326.00M,,866.00M,-510.00M,-485.00M,,-254.00M,,,1.884B,635.00M,6.264B,,-2.979B,-2.979B,,-10.98B,6.717B,924.00M,-6.316B,,-364.00M,7.00M,-357.00M,,-1.093B,-1.093B,-1.278B,-1.278B,231.00M,-63.00M,-2.56B,,11.69B,-2.612B,,9.075B,,,638.00M,-1.002B,-1.093B,1.189B,106.00M,,AOR,Restated
2017-06,2.808B,-387.00M,,-276.00M,-663.00M,1.675B,313.00M,1.988B,1.988B,595.00M,,328.00M,,105.00M,-513.00M,-528.00M,,237.00M,,,350.00M,-454.00M,4.707B,,-2.778B,-2.778B,,2.032B,-783.00M,91.00M,-1.438B,,6.578B,-447.00M,6.131B,,-1.276B,-1.276B,-1.287B,-1.287B,77.00M,-161.00M,3.484B,,4.934B,6.753B,,11.69B,,,7.078B,-500.00M,-1.276B,968.00M,183.00M,,AOR,Restated
2017-03,2.964B,,,-250.00M,-250.00M,1.625B,321.00M,1.946B,1.946B,212.00M,,397.00M,,80.00M,-105.00M,-232.00M,,188.00M,,,-1.302B,-1.451B,3.898B,,-1.952B,-1.952B,,,-880.00M,54.00M,-2.778B,,,435.00M,435.00M,,-1.242B,-1.242B,-1.229B,-1.229B,329.00M,-39.00M,-1.746B,,5.56B,-626.00M,,4.934B,,,,,-1.242B,171.00M,97.00M,,AOR,Restated
2016-12,3.562B,0.00,,-18.00M,-18.00M,1.582B,348.00M,1.93B,1.93B,445.00M,,308.00M,,-342.00M,165.00M,237.00M,,-6.00M,,,3.313B,3.709B,8.15B,,-3.53B,-3.53B,,691.00M,-780.00M,175.00M,-3.444B,,-1.50B,-441.00M,-1.941B,,-533.00M,-533.00M,-1.233B,-1.233B,84.00M,-275.00M,-3.898B,,4.752B,808.00M,,5.56B,,,0.00,-1.50B,-533.00M,34.00M,210.00M,,AOR,Restated
2016-09,3.378B,0.00,,12.00M,12.00M,1.543B,385.00M,1.928B,1.928B,-259.00M,,324.00M,,372.00M,-834.00M,-14.00M,,-187.00M,,,1.038B,3.00M,5.758B,,-2.463B,-2.463B,,-762.00M,180.00M,362.00M,-2.683B,,0.00,-990.00M,-990.00M,,-457.00M,-457.00M,-1.231B,-1.231B,497.00M,-27.00M,-2.208B,,3.885B,867.00M,,4.752B,,,0.00,0.00,-457.00M,154.00M,124.00M,,AOR,Restated
2016-06,1.33B,0.00,,-404.00M,-404.00M,1.522B,395.00M,1.917B,1.917B,114.00M,,364.00M,,966.00M,-208.00M,-47.00M,,-59.00M,,,-576.00M,-890.00M,3.845B,,-2.286B,-2.286B,,-531.00M,-1.434B,81.00M,-4.17B,,2.734B,460.00M,3.194B,,-804.00M,-804.00M,-1.233B,-1.233B,184.00M,-192.00M,1.149B,,3.061B,824.00M,,3.885B,,,2.734B,0.00,-804.00M,689.00M,94.00M,,AOR,Restated
2016-03,2.046B,,,-22.00M,-22.00M,1.619B,396.00M,2.015B,2.015B,-43.00M,,448.00M,,448.00M,942.00M,-57.00M,,434.00M,,,-1.708B,-389.00M,4.055B,,-1.346B,-1.346B,0.00,-14.75B,-73.00M,650.00M,-15.52B,,,956.00M,956.00M,,-793.00M,-793.00M,-1.228B,-1.228B,343.00M,-60.00M,-782.00M,,15.31B,-12.25B,,3.061B,,,,,-793.00M,,254.00M,,AOR,Restated
2015-12,3.613B,,,-18.00M,-18.00M,1.936B,210.00M,2.146B,2.146B,-177.00M,,296.00M,139.00M,-13.00M,-687.00M,-124.00M,,-226.00M,,,479.00M,-558.00M,5.428B,,-2.328B,-2.328B,,-522.00M,3.693B,1.885B,2.728B,,1.49B,473.00M,1.963B,,-850.00M,-850.00M,-1.133B,-1.133B,170.00M,-62.00M,88.00M,,7.065B,8.244B,-1.00M,15.31B,,,1.49B,,-850.00M,1.138B,126.00M,,AOR,Restated
2015-09,3.109B,,,-160.00M,-160.00M,2.06B,215.00M,2.275B,2.275B,-368.00M,,309.00M,-6.00M,14.00M,-241.00M,-151.00M,,218.00M,,,736.00M,562.00M,5.735B,,-1.206B,-1.206B,,-1.32B,-4.668B,-1.973B,-9.167B,,7.986B,19.00M,8.005B,,-1.029B,-1.029B,-1.14B,-1.14B,222.00M,-15.00M,6.043B,,4.454B,2.611B,0.00,7.065B,,,7.986B,,-1.029B,602.00M,-20.00M,,AOR,Restated
2015-06,2.706B,,,-53.00M,-53.00M,1.977B,214.00M,2.191B,2.191B,-554.00M,,332.00M,-111.00M,248.00M,-594.00M,-352.00M,,-233.00M,,,-140.00M,-1.319B,3.44B,,-1.767B,-1.767B,,-747.00M,955.00M,264.00M,-1.295B,,0.00,-6.00M,-6.00M,,-697.00M,-697.00M,-1.146B,-1.146B,133.00M,-229.00M,-1.945B,,4.244B,200.00M,10.00M,4.454B,,,0.00,,-697.00M,1.103B,80.00M,,AOR,Restated
2015-03,1.992B,,,-32.00M,-32.00M,1.848B,251.00M,2.099B,2.099B,-171.00M,,368.00M,-22.00M,105.00M,1.167B,-137.00M,,-71.00M,,,-883.00M,76.00M,4.415B,,-2.025B,-2.025B,,-335.00M,1.906B,5.00M,-449.00M,,,-486.00M,-486.00M,,-425.00M,-425.00M,-1.137B,-1.137B,341.00M,-567.00M,-2.274B,,2.561B,1.692B,-9.00M,4.244B,,,,,-425.00M,596.00M,0.00,,AOR,Restated
2014-12,3.661B,,,-230.00M,-230.00M,1.889B,285.00M,2.174B,2.174B,-356.00M,,281.00M,-13.00M,57.00M,-785.00M,-157.00M,,43.00M,,,1.096B,197.00M,5.771B,,-2.143B,-2.143B,,-788.00M,633.00M,394.00M,-1.904B,,0.00,437.00M,437.00M,,-4.325B,-4.325B,-1.069B,-1.069B,94.00M,424.00M,-4.439B,,3.143B,-572.00M,-10.00M,2.561B,,,0.00,,-4.325B,1.06B,108.00M,,AOR,Restated
2014-09,3.317B,,,-34.00M,-34.00M,1.891B,307.00M,2.198B,2.198B,-141.00M,,281.00M,-44.00M,20.00M,-165.00M,-176.00M,,-189.00M,,,626.00M,96.00M,5.693B,,-2.445B,-2.445B,,-271.00M,1.729B,1.00M,-986.00M,,0.00,65.00M,65.00M,,-4.167B,-4.167B,-1.095B,-1.095B,561.00M,29.00M,-4.607B,,3.049B,100.00M,-6.00M,3.143B,,,0.00,,-4.167B,1.644B,-31.00M,,AOR,Restated
2014-06,2.796B,,,-42.00M,-42.00M,1.88B,290.00M,2.17B,2.17B,-181.00M,,303.00M,-58.00M,81.00M,11.00M,-170.00M,,-8.00M,,,551.00M,384.00M,5.453B,,-2.828B,-2.828B,,-1.00B,-476.00M,38.00M,-4.266B,,,-22.00M,-22.00M,,-2.08B,-2.08B,-1.126B,-1.126B,526.00M,-213.00M,-2.915B,,4.777B,-1.728B,0.00,3.049B,,,,,-2.08B,1.364B,90.00M,,AOR,Restated
2014-03,1.93B,,,-48.00M,-48.00M,1.72B,287.00M,2.007B,2.007B,-25.00M,,283.00M,-7.00M,137.00M,78.00M,405.00M,,-95.00M,,,-1.164B,-776.00M,3.501B,,-2.689B,-2.689B,,-252.00M,46.00M,146.00M,-2.749B,,,-245.00M,-245.00M,,-545.00M,-545.00M,-1.119B,-1.119B,479.00M,-220.00M,-1.65B,,5.674B,-898.00M,1.00M,4.777B,,,,,-545.00M,571.00M,,,AOR,Restated
2013-12,2.625B,,,-34.00M,-34.00M,1.667B,289.00M,1.956B,1.956B,-387.00M,,263.00M,-7.00M,116.00M,140.00M,358.00M,,-45.00M,,,1.053B,1.506B,6.038B,,-2.984B,-2.948B,-36.00M,-225.00M,-463.00M,-249.00M,-3.921B,,,-69.00M,-69.00M,,-248.00M,-248.00M,-1.121B,-1.121B,280.00M,-164.00M,-1.322B,,4.881B,795.00M,-2.00M,5.674B,,,,,-248.00M,1.205B,113.00M,,AOR,Restated
2013-09,2.95B,,,-451.00M,-451.00M,1.729B,292.00M,2.021B,2.021B,-162.00M,,268.00M,-4.00M,-425.00M,-237.00M,10.00M,,128.00M,,,1.084B,985.00M,5.731B,,-2.866B,-2.866B,,-631.00M,-180.00M,354.00M,-3.323B,,,87.00M,87.00M,,-544.00M,-544.00M,-1.121B,-1.121B,268.00M,4.00M,-1.306B,,3.778B,1.102B,1.00M,4.881B,,,,,-544.00M,535.00M,-24.00M,,AOR,Restated
2013-06,2.00B,,,34.00M,34.00M,1.712B,279.00M,1.991B,1.991B,-295.00M,,292.00M,-37.00M,255.00M,75.00M,-177.00M,,201.00M,,,638.00M,737.00M,4.722B,,-2.69B,-2.723B,33.00M,-389.00M,-2.528B,95.00M,-5.512B,,,175.00M,175.00M,,-796.00M,-796.00M,-1.123B,-1.123B,575.00M,37.00M,-1.132B,,5.698B,-1.922B,2.00M,3.778B,,,,,-796.00M,934.00M,115.00M,,AOR,Restated
2013-03,2.045B,,,26.00M,26.00M,1.682B,382.00M,2.064B,2.064B,-56.00M,,295.00M,-1.00M,294.00M,293.00M,372.00M,,-17.00M,,,-736.00M,-88.00M,4.285B,,-2.207B,-2.174B,-33.00M,-120.00M,-3.093B,103.00M,-5.317B,,,-224.00M,-224.00M,,-559.00M,-559.00M,-1.114B,-1.114B,465.00M,-306.00M,-1.738B,,8.478B,-2.77B,-10.00M,5.698B,,,,,-559.00M,200.00M,0.00,,AOR,Restated
2012-12,2.468B,,,-60.00M,-60.00M,1.641B,364.00M,2.005B,2.005B,-200.00M,,272.00M,-3.00M,269.00M,107.00M,572.00M,,-165.00M,,,1.03B,1.544B,6.026B,,-2.754B,-2.504B,-250.00M,-324.00M,-2.409B,155.00M,-5.332B,,,256.00M,6.38B,,-675.00M,-675.00M,-1.119B,-1.119B,136.00M,-455.00M,4.267B,,3.52B,4.961B,-3.00M,8.478B,,,,,-675.00M,1.024B,38.00M,,AOR,Restated
2012-09,2.972B,,,-53.00M,-53.00M,1.625B,268.00M,1.893B,1.893B,-97.00M,,276.00M,-5.00M,271.00M,-386.00M,-416.00M,,-80.00M,,,1.043B,161.00M,5.147B,,-3.364B,-2.887B,-477.00M,-273.00M,-1.318B,103.00M,-4.852B,,,-36.00M,-36.00M,,-1.175B,-1.175B,-1.125B,-1.125B,294.00M,38.00M,-2.004B,,5.223B,-1.709B,6.00M,3.52B,,,,,-1.175B,702.00M,-29.00M,,AOR,Restated
2012-06,2.827B,,,-47.00M,-47.00M,1.572B,267.00M,1.839B,1.839B,100.00M,,280.00M,-115.00M,165.00M,490.00M,-401.00M,,275.00M,,,-509.00M,-145.00M,4.739B,,-2.747B,-2.662B,-85.00M,-291.00M,683.00M,590.00M,-1.765B,,,-270.00M,-270.00M,,-1.396B,-1.396B,-1.057B,-1.057B,437.00M,110.00M,-2.176B,,4.429B,798.00M,-4.00M,5.223B,,,,,-1.396B,1.828B,53.00M,,AOR,Restated
2012-03,2.738B,,,19.00M,19.00M,1.519B,266.00M,1.785B,1.785B,-45.00M,,274.00M,-19.00M,255.00M,-387.00M,-381.00M,,37.00M,,,-1.049B,-1.78B,2.972B,,-2.977B,-2.974B,-3.00M,-225.00M,895.00M,196.00M,-2.111B,,,115.00M,115.00M,,-1.519B,-1.519B,-1.049B,-1.049B,1.244B,-286.00M,-1.495B,,5.065B,-634.00M,-2.00M,4.429B,,,,,-1.519B,376.00M,9.00M,,AOR,Restated
2011-12,,,164.00M,-17.00M,-17.00M,1.333B,256.00M,1.589B,1.589B,201.00M,,241.00M,-9.00M,-8.566B,178.00M,-133.00M,,-243.00M,,,1.463B,1.265B,6.63B,,-2.865B,-2.844B,-21.00M,-674.00M,-1.435B,207.00M,-4.767B,,0.00,181.00M,181.00M,-925.00M,-4.153B,-5.078B,,-1.07B,,72.00M,-3.85B,,7.057B,-1.987B,-5.00M,5.065B,,-925.00M,0.00,,-4.153B,3.338B,0.00,,AOR,Restated
2011-09,,,-164.00M,-92.00M,-92.00M,1.273B,256.00M,1.529B,1.529B,558.00M,,250.00M,-2.00M,3.468B,-468.00M,74.00M,,917.00M,,,115.00M,638.00M,6.349B,,-2.758B,-2.713B,-45.00M,-186.00M,-1.117B,-46.00M,-4.107B,,4.962B,-61.00M,4.901B,338.00M,-4.007B,-3.669B,,-1.102B,,53.00M,183.00M,,4.635B,2.425B,-3.00M,7.057B,,338.00M,4.873B,,-4.007B,-2.596B,,,AOR,Restated
2011-06,,,,25.00M,25.00M,1.248B,256.00M,1.504B,1.504B,140.00M,,262.00M,-25.00M,2.954B,116.00M,67.00M,,-1.514B,,,442.00M,-889.00M,3.971B,,-2.484B,-2.484B,,-75.00M,1.772B,4.00M,-783.00M,,,73.00M,73.00M,348.00M,-2.174B,-1.826B,,-961.00M,,-31.00M,-2.745B,,4.188B,443.00M,4.00M,4.635B,,348.00M,73.00M,,-2.174B,2.327B,,,AOR,Restated
2011-03,,,,-28.00M,-192.00M,1.287B,155.00M,1.442B,1.442B,-109.00M,,300.00M,-1.00M,3.16B,-504.00M,-251.00M,,1.436B,,,-1.268B,-587.00M,4.013B,,-2.723B,-2.723B,,-8.166B,10.11B,133.00M,-644.00M,,,16.00M,16.00M,239.00M,-4.006B,-3.767B,,-994.00M,,57.00M,-4.688B,,5.498B,-1.319B,9.00M,4.188B,,239.00M,16.00M,,-4.006B,269.00M,0.00,,AOR,Restated
2010-12,3.18B,,,-109.00M,-135.00M,1.146B,60.00M,1.206B,1.206B,-10.00M,,213.00M,-2.00M,211.00M,44.00M,-327.00M,,413.00M,,,968.00M,1.098B,5.55B,,-1.883B,-1.869B,,-342.00M,-695.00M,-52.00M,-2.972B,,-157.00M,-143.00M,-300.00M,-535.00M,-1.514B,-2.049B,,-879.00M,,44.00M,-2.597B,,5.517B,-19.00M,0.00,5.498B,,-535.00M,-166.00M,,-1.514B,1.134B,0.00,,AOR,Restated
2010-09,2.955B,,,-77.00M,-67.00M,1.086B,56.00M,1.142B,1.142B,-38.00M,,224.00M,-1.00M,223.00M,-481.00M,-84.00M,,287.00M,,,-360.00M,-638.00M,3.577B,,-1.362B,-1.362B,,0.00,-1.754B,191.00M,-2.925B,,0.00,44.00M,44.00M,149.00M,-3.00M,146.00M,,-877.00M,,38.00M,-649.00M,,5.514B,3.00M,0.00,5.517B,,149.00M,44.00M,,-3.00M,1.134B,,,AOR,
2010-06,2.887B,,,-193.00M,-210.00M,1.086B,63.00M,1.149B,1.149B,8.00M,,232.00M,-60.00M,172.00M,-235.00M,-344.00M,,-143.00M,,,202.00M,-520.00M,3.486B,,-1.048B,-1.048B,,-33.00M,-729.00M,-160.00M,-1.97B,,,-115.00M,-115.00M,158.00M,-216.00M,-58.00M,,-877.00M,,60.00M,-990.00M,,4.988B,526.00M,0.00,5.514B,,158.00M,-115.00M,,-216.00M,2.232B,,,AOR,Restated
2010-03,2.442B,,,31.00M,64.00M,1.08B,61.00M,1.141B,1.141B,-6.00M,,248.00M,-2.00M,246.00M,88.00M,-51.00M,,-150.00M,,,305.00M,192.00M,4.079B,,-928.00M,-928.00M,,-37.00M,-1.462B,-245.00M,-2.672B,,,237.00M,237.00M,228.00M,-3.00M,225.00M,,-870.00M,,2.00M,-406.00M,,3.987B,1.001B,0.00,4.988B,,228.00M,237.00M,,-3.00M,127.00M,0.00,,AOR,Restated
2009-12,2.282B,,,-91.00M,-91.00M,1.172B,89.00M,1.261B,1.261B,90.00M,37.00M,200.00M,-3.00M,234.00M,-248.00M,-440.00M,,721.00M,0.00,,-404.00M,-371.00M,3.405B,,-1.081B,-1.081B,,0.00,-1.434B,,-2.769B,,0.00,-10.00M,-10.00M,33.00M,-10.00M,23.00M,,-774.00M,,3.00M,-758.00M,,4.109B,-122.00M,,3.987B,,33.00M,0.00,-87.00M,-10.00M,891.00M,0.00,,AOR,Restated
2009-09,1.856B,,,79.00M,79.00M,1.153B,82.00M,1.235B,1.235B,65.00M,119.00M,218.00M,-6.00M,331.00M,-61.00M,309.00M,,489.00M,319.00M,,-619.00M,437.00M,4.003B,,-944.00M,-944.00M,,-853.00M,-1.583B,,-3.38B,,1.98B,-1.00M,1.979B,119.00M,-1.673B,-1.554B,,-771.00M,,6.00M,-340.00M,,3.826B,283.00M,,4.109B,,119.00M,1.98B,,-1.673B,-226.00M,1.00M,,AOR,Restated
2009-06,-398.00M,,,69.00M,69.00M,1.211B,75.00M,1.286B,1.286B,66.00M,116.00M,258.00M,0.00,374.00M,148.00M,241.00M,,513.00M,-33.00M,,1.118B,1.987B,3.384B,,-981.00M,-981.00M,,0.00,-1.244B,,-2.225B,,,-7.00M,-7.00M,1.00M,-79.00M,-78.00M,,-784.00M,,,-869.00M,,3.536B,290.00M,,3.826B,,1.00M,,69.00M,-79.00M,94.00M,0.00,,AOR,Restated
2009-03,629.00M,,,113.00M,113.00M,1.208B,62.00M,1.27B,1.27B,50.00M,96.00M,213.00M,0.00,309.00M,-374.00M,686.00M,,-1.872B,13.00M,,-446.00M,-1.993B,378.00M,,-1.509B,-1.509B,,0.00,1.918B,,409.00M,,,-69.00M,-69.00M,247.00M,0.00,247.00M,,-779.00M,,,-601.00M,,3.35B,186.00M,,3.536B,,247.00M,,-69.00M,0.00,184.00M,3.00M,,AOR,Restated
2008-12,234.00M,,,,1.192B,1.157B,62.00M,1.219B,1.219B,-375.00M,795.00M,851.00M,-30.00M,471.00M,731.00M,-335.00M,,-686.00M,110.00M,624.00M,-589.00M,-145.00M,2.596B,,-1.765B,-1.765B,,3.00M,-857.00M,-901.00M,-1.989B,,,-40.00M,-365.00M,2.00M,0.00,2.00M,,-778.00M,,180.00M,-961.00M,,3.704B,-354.00M,,3.35B,,2.00M,0.00,,0.00,4.007B,6.00M,,AOR,Restated
2008-09,2.014B,,,-168.00M,376.00M,1.059B,68.00M,1.127B,1.127B,-90.00M,-460.00M,-462.00M,28.00M,251.00M,-611.00M,-131.00M,,1.466B,34.00M,-624.00M,-525.00M,-391.00M,3.287B,,-1.374B,-1.374B,,-9.00M,1.557B,25.00M,-1.332B,,,-33.00M,292.00M,275.00M,-2.118B,-1.843B,,-783.00M,,4.00M,-2.33B,,4.079B,-375.00M,,3.704B,,275.00M,-33.00M,,-2.118B,-2.293B,-3.00M,,,
2008-06,1.601B,,,168.00M,109.00M,1.042B,63.00M,1.105B,1.105B,-188.00M,460.00M,462.00M,-28.00M,339.00M,312.00M,-4.00M,,-1.297B,11.00M,1.095B,-255.00M,-138.00M,2.828B,,-1.151B,-1.151B,,0.00,-773.00M,301.00M,-1.623B,,,33.00M,-14.00M,360.00M,-2.576B,-2.216B,,-800.00M,,21.00M,-3.009B,,5.883B,-1.804B,,4.079B,,360.00M,33.00M,,-2.576B,2.293B,3.00M,,,Restated
