,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-12,606.00M,,,,-526.00M,,421.00M,534.00M,,1.017B,-271.00M,51.00M,393.00M,-869.00M,-195.00M,-847.00M,-1.738B,314.00M,-665.00M,187.00M,-478.00M,,-1.00M,850.00M,-142.00M,229.00M,,,-53.00M,5.00M,-134.00M,-129.00M,,,,,-293.00M,,66.00M,-409.00M,377.00M,134.00M,,511.00M,,5.00M,,,-134.00M,,
2005-09,41.00M,,,,-321.00M,,382.00M,-496.00M,,-24.00M,-264.00M,-120.00M,-101.00M,-29.00M,882.00M,529.00M,897.00M,479.00M,-600.00M,108.00M,-492.00M,,-293.00M,-2.17B,2.238B,-717.00M,,,-117.00M,8.00M,-24.00M,-16.00M,,,,,-290.00M,,30.00M,-393.00M,1.009B,-631.00M,-1.00M,377.00M,,8.00M,,,-24.00M,,
2005-06,309.00M,,,,-115.00M,,531.00M,49.00M,,118.00M,234.00M,-206.00M,-100.00M,49.00M,180.00M,102.00M,259.00M,1.151B,-554.00M,26.00M,-528.00M,,,-14.00M,-8.00M,-550.00M,,,-237.00M,14.00M,-75.00M,-61.00M,,,,,-256.00M,,-41.00M,-595.00M,1.001B,6.00M,2.00M,1.009B,,14.00M,,,-75.00M,,
2005-03,868.00M,,,,-837.00M,,550.00M,195.00M,,,52.00M,195.00M,-75.00M,-95.00M,-245.00M,269.00M,101.00M,877.00M,-508.00M,51.00M,-457.00M,,,1.531B,-162.00M,912.00M,,,-231.00M,14.00M,-834.00M,-820.00M,,,,,-266.00M,,-3.00M,-1.32B,533.00M,469.00M,-1.00M,1.001B,,14.00M,,,-834.00M,,
2004-12,358.00M,,,,-398.00M,,513.00M,206.00M,,-50.00M,-465.00M,-103.00M,662.00M,50.00M,86.00M,-113.00M,117.00M,746.00M,-416.00M,193.00M,-223.00M,,,-489.00M,139.00M,-573.00M,,,-2.076B,756.00M,-100.00M,656.00M,,,,,-267.00M,,-48.00M,-1.735B,2.858B,-1.562B,,533.00M,,756.00M,,,-100.00M,,
2004-09,389.00M,,,,-60.00M,,581.00M,585.00M,,38.00M,134.00M,-49.00M,-374.00M,-38.00M,23.00M,-139.00M,-443.00M,1.09B,-630.00M,413.00M,-217.00M,,,1.708B,-362.00M,1.129B,,,-755.00M,1.00M,0.00,1.00M,,,,,431.00M,,-773.00M,-1.096B,1.012B,1.123B,-40.00M,2.858B,,1.00M,,,0.00,,
2004-06,432.00M,,,,5.00M,,467.00M,61.00M,,56.00M,-205.00M,-168.00M,107.00M,281.00M,181.00M,115.00M,311.00M,1.332B,-523.00M,-167.00M,-690.00M,,,-559.00M,226.00M,-1.023B,,,-513.00M,888.00M,-76.00M,812.00M,,,,,-964.00M,,694.00M,29.00M,634.00M,338.00M,40.00M,1.012B,,888.00M,,,-76.00M,,
2004-03,311.00M,,,,100.00M,,476.00M,15.00M,,-56.00M,305.00M,272.00M,-400.00M,-110.00M,-199.00M,325.00M,193.00M,1.039B,-592.00M,167.00M,-425.00M,,,82.00M,17.00M,-326.00M,,,-216.00M,59.00M,,59.00M,,,,,-265.00M,,-54.00M,-476.00M,397.00M,237.00M,,634.00M,,59.00M,,,,,
2003-12,-2.021B,,,,3.309B,,494.00M,-650.00M,,,101.00M,152.00M,-121.00M,-72.00M,272.00M,-486.00M,-154.00M,851.00M,-302.00M,-95.00M,-397.00M,,,35.00M,133.00M,-229.00M,,,-1.316B,63.00M,0.00,63.00M,,,,,-265.00M,,35.00M,-1.483B,1.751B,-861.00M,,397.00M,,63.00M,,,0.00,18.00M,1.324B
2003-09,49.00M,,,,152.00M,,521.00M,92.00M,,,579.00M,-110.00M,-642.00M,218.00M,-375.00M,182.00M,-148.00M,666.00M,-527.00M,95.00M,-432.00M,,,1.54B,-1.409B,-301.00M,,,204.00M,64.00M,-38.00M,26.00M,,,,,-262.00M,,-81.00M,-113.00M,1.482B,252.00M,,1.751B,,64.00M,,,-38.00M,,
2003-06,424.00M,,,,-196.00M,,488.00M,62.00M,,,1.264B,-238.00M,-1.347B,61.00M,68.00M,-266.00M,-458.00M,320.00M,-608.00M,,-608.00M,,,,945.00M,337.00M,,,-315.00M,70.00M,,70.00M,,,,,571.00M,,-610.00M,-284.00M,1.109B,373.00M,,1.482B,,70.00M,,,,-73.00M,-339.00M
2003-03,225.00M,,,,205.00M,,484.00M,-38.00M,,,-818.00M,166.00M,1.063B,-299.00M,114.00M,402.00M,628.00M,1.504B,-805.00M,,-805.00M,,,,330.00M,-475.00M,,,-365.00M,80.00M,,80.00M,,,,,-1.095B,,603.00M,-777.00M,857.00M,252.00M,,1.109B,,80.00M,,,,73.00M,339.00M
2002-12,-52.00M,,,,264.00M,,423.00M,556.00M,,,-686.00M,115.00M,1.096B,-122.00M,537.00M,-849.00M,91.00M,1.282B,-538.00M,,-226.00M,,0.00,-950.00M,156.00M,-1.02B,,,-707.00M,1.058B,-13.00M,1.045B,,,,,-241.00M,,42.00M,139.00M,473.00M,401.00M,,874.00M,,1.058B,,,-13.00M,283.00M,322.00M
2002-09,230.00M,,,,347.00M,,480.00M,-75.00M,,,702.00M,-1.00M,-880.00M,753.00M,38.00M,125.00M,737.00M,1.719B,-1.086B,,-1.086B,,0.00,309.00M,-365.00M,-1.142B,,,9.00M,54.00M,-75.00M,-21.00M,,,,,-238.00M,,59.00M,-191.00M,87.00M,386.00M,,473.00M,,54.00M,,,-75.00M,61.00M,689.00M
2002-06,474.00M,,,,-39.00M,,410.00M,67.00M,,,-1.025B,-10.00M,1.026B,-422.00M,22.00M,223.00M,-186.00M,726.00M,-2.026B,,-2.026B,,-17.00M,320.00M,352.00M,-1.371B,,,319.00M,134.00M,,134.00M,,,,,-153.00M,,281.00M,581.00M,151.00M,-64.00M,,87.00M,,134.00M,,,,-12.00M,-135.00M
2002-03,382.00M,,,,67.00M,,379.00M,-53.00M,,,1.021B,30.00M,-444.00M,52.00M,-791.00M,177.00M,45.00M,820.00M,-1.274B,,-1.274B,,-1.69B,-320.00M,8.00M,-3.276B,,,2.589B,77.00M,,77.00M,,,,,-306.00M,,-43.00M,2.317B,290.00M,-139.00M,,151.00M,,77.00M,,,,12.00M,135.00M
2001-12,225.00M,,,,-158.00M,,301.00M,-54.00M,,,3.497B,-86.00M,-3.226B,207.00M,211.00M,-483.00M,120.00M,434.00M,-1.881B,,-1.139B,,,-27.00M,-222.00M,-1.388B,,,1.103B,50.00M,-13.00M,37.00M,,,,,-220.00M,,-293.00M,627.00M,617.00M,-327.00M,,290.00M,,50.00M,,,-13.00M,655.00M,98.00M
2001-09,796.00M,,,,208.00M,,1.149B,183.00M,,,-331.00M,-106.00M,-319.00M,578.00M,86.00M,-532.00M,-624.00M,1.712B,-1.685B,,-1.685B,,,-437.00M,-260.00M,-2.382B,,,240.00M,44.00M,-20.00M,24.00M,,,,,-232.00M,,14.00M,46.00M,1.241B,-624.00M,,617.00M,,44.00M,,,-20.00M,4.00M,248.00M
2001-06,323.00M,,,,571.00M,,-357.00M,-214.00M,,,112.00M,-103.00M,-178.00M,403.00M,281.00M,1.354B,1.869B,2.192B,-1.641B,,-1.641B,,,-305.00M,603.00M,-1.343B,,,-74.00M,145.00M,,145.00M,,,,,-211.00M,,43.00M,-97.00M,489.00M,752.00M,,1.241B,,145.00M,,,,6.00M,183.00M
2001-03,554.00M,,,,-571.00M,,357.00M,214.00M,,,-112.00M,103.00M,178.00M,-403.00M,-281.00M,-20.00M,-535.00M,19.00M,-723.00M,,-723.00M,,,-324.00M,117.00M,-930.00M,,,-140.00M,1.193B,,1.193B,,,,,-208.00M,,-67.00M,778.00M,622.00M,-133.00M,,489.00M,,1.193B,,,,105.00M,204.00M
2000-12,284.00M,,,,653.00M,,351.00M,-94.00M,,,-339.00M,64.00M,-375.00M,-420.00M,319.00M,-105.00M,-856.00M,338.00M,129.00M,,129.00M,,,,-1.472B,-943.00M,,,399.00M,100.00M,-13.00M,87.00M,,,,,-207.00M,,187.00M,466.00M,761.00M,-139.00M,,622.00M,,100.00M,,,-13.00M,419.00M,206.00M
2000-09,770.00M,,,,-842.00M,,343.00M,113.00M,,206.00M,-2.791B,-143.00M,3.136B,-367.00M,615.00M,151.00M,601.00M,1.191B,-1.788B,,-1.788B,,,,655.00M,-1.133B,,,-414.00M,43.00M,-20.00M,23.00M,,,,,1.009B,,-330.00M,288.00M,415.00M,346.00M,,761.00M,,43.00M,,,-20.00M,9.00M,219.00M
2000-06,329.00M,,,,54.00M,,351.00M,44.00M,,-2.00M,-2.036B,-39.00M,1.994B,-259.00M,105.00M,-33.00M,-268.00M,508.00M,-1.261B,,-1.261B,,,,-46.00M,-1.307B,,,2.252B,27.00M,,27.00M,,,,,-1.424B,,-15.00M,840.00M,375.00M,41.00M,,415.00M,,27.00M,,,,181.00M,241.00M
2000-03,393.00M,,,,58.00M,,303.00M,89.00M,,-204.00M,-1.00M,18.00M,112.00M,-39.00M,-153.00M,-388.00M,-451.00M,188.00M,-1.648B,,-1.648B,,,,101.00M,-1.547B,,,1.262B,60.00M,,60.00M,,,,,-206.00M,,4.00M,1.12B,613.00M,-239.00M,,375.00M,,60.00M,,,,568.00M,151.00M
1999-12,-189.00M,,,,858.00M,,1.151B,-230.00M,,-540.00M,447.00M,-11.00M,-210.00M,-127.00M,169.00M,-381.00M,-113.00M,937.00M,-1.503B,1.90B,397.00M,,,,-1.902B,-1.505B,,,149.00M,56.00M,0.00,56.00M,,,,,-206.00M,,122.00M,121.00M,1.06B,-447.00M,,613.00M,,56.00M,,,0.00,732.00M,541.00M
1999-09,441.00M,,,,41.00M,,-542.00M,1.00M,,919.00M,-1.071B,-33.00M,729.00M,16.00M,-16.00M,189.00M,-186.00M,674.00M,-1.643B,-1.90B,-3.543B,,,,2.088B,-1.455B,,,1.542B,29.00M,-20.00M,9.00M,,,,,-206.00M,,196.00M,1.541B,300.00M,760.00M,,1.06B,,29.00M,,,-20.00M,-264.00M,-230.00M
1999-06,288.00M,,,,49.00M,,272.00M,37.00M,,-87.00M,-104.00M,-25.00M,242.00M,-19.00M,10.00M,-88.00M,16.00M,575.00M,-704.00M,0.00,-704.00M,,,,50.00M,-654.00M,,,-266.00M,20.00M,,20.00M,,,,,-205.00M,,247.00M,-204.00M,583.00M,-283.00M,,300.00M,,20.00M,,,,241.00M,105.00M
1999-03,307.00M,,,,51.00M,,270.00M,-18.00M,,15.00M,69.00M,-20.00M,-284.00M,-8.00M,-90.00M,255.00M,-78.00M,547.00M,-2.086B,1.90B,-186.00M,,,,,-186.00M,,,349.00M,57.00M,,57.00M,,,,,-205.00M,,-59.00M,142.00M,80.00M,503.00M,,583.00M,,57.00M,,,,23.00M,125.00M
1998-12,223.70M,,,,-5.10M,,,-15.00M,,-733.80M,270.30M,-31.50M,74.10M,-49.20M,116.30M,-329.90M,50.10M,574.90M,-556.70M,,-556.70M,,,-104.90M,-19.30M,-680.90M,,,-714.60M,84.80M,0.40M,85.20M,,,,,-204.10M,,571.70M,-261.80M,448.20M,-367.80M,,80.00M,,84.80M,,,0.40M,,
1998-09,428.70M,,,,17.00M,,,9.80M,,264.00M,-588.60M,0.50M,519.80M,-49.30M,10.40M,179.30M,72.10M,791.60M,-1.030B,,-1.030B,,,-98.80M,35.80M,-1.093B,,,1.076B,42.00M,0.00,42.00M,,,,,-203.60M,,-229.00M,685.70M,63.70M,384.50M,,448.20M,,42.00M,,,0.00,,
1998-06,279.50M,,,,20.90M,,,-15.70M,,195.60M,2.60M,-62.20M,-2.30M,36.00M,38.00M,-38.80M,-26.70M,453.60M,-283.60M,,-283.60M,,,-39.70M,8.90M,-314.40M,,,-246.40M,49.20M,-0.20M,49.00M,,,,,-203.20M,,268.20M,-132.40M,56.90M,6.80M,,63.70M,,49.20M,,,-0.20M,,
