,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-12,3.333B,3.333B,,,,,127.00M,-127.00M,1.73B,1.73B,127.00M,-127.00M,1.167B,-127.00M,-504.00M,-213.00M,-291.00M,,,90.00M,,-201.00M,-201.00M,-377.00M,-0.5914,0.0,,,-0.5914,-0.5914,-0.5914,0.0,,,-0.5914,-0.5914,346.50M,346.67M,0.0625
2015-09,3.169B,3.169B,,,,,128.00M,-128.00M,1.174B,1.174B,128.00M,-128.00M,1.147B,-128.00M,348.00M,66.00M,282.00M,,,-100.00M,,182.00M,182.00M,476.00M,0.5,,,,0.5,0.5,0.5,,,,0.5,0.5,360.91M,361.10M,0.0625
2015-06,3.435B,3.435B,,,,,134.00M,-134.00M,1.223B,1.223B,134.00M,-134.00M,1.192B,-134.00M,295.00M,48.00M,247.00M,,,-77.00M,,170.00M,170.00M,429.00M,0.46,,,,0.46,0.46,0.46,,,,0.46,0.46,369.61M,369.97M,0.0625
2015-03,3.478B,3.478B,,,,,131.00M,-131.00M,1.60B,1.60B,131.00M,-131.00M,1.193B,-131.00M,105.00M,56.00M,49.00M,,,60.00M,,109.00M,109.00M,236.00M,0.29,,,,0.29,0.29,0.29,,,,0.29,0.29,372.83M,373.19M,0.0625
2014-12,3.521B,3.521B,,,,,129.00M,-129.00M,1.31B,1.31B,129.00M,-129.00M,1.209B,-129.00M,411.00M,110.00M,301.00M,-7.00M,,-86.00M,,208.00M,215.00M,540.00M,0.5765,-0.0188,,,0.5765,0.5577,0.57,-0.02,,,0.57,0.55,374.09M,374.63M,0.0625
2014-09,3.523B,3.523B,,,,,121.00M,-121.00M,1.377B,1.377B,121.00M,-121.00M,1.225B,-121.00M,339.00M,99.00M,240.00M,29.00M,,-61.00M,,208.00M,179.00M,460.00M,0.4703,0.0762,,,0.4703,0.55,0.4696,0.0761,,,0.4696,0.55,380.59M,381.19M,0.0625
2014-06,3.593B,3.593B,,,,,126.00M,-126.00M,1.145B,1.145B,126.00M,-126.00M,1.199B,-126.00M,546.00M,145.00M,401.00M,-186.00M,,-99.00M,,116.00M,302.00M,672.00M,0.783,-0.4822,,,0.783,0.3,0.7816,-0.4822,,,0.7816,0.3,385.72M,386.37M,0.0625
2014-03,3.688B,3.688B,,,,,122.00M,-122.00M,1.277B,1.277B,122.00M,-122.00M,1.263B,-122.00M,514.00M,103.00M,411.00M,-227.00M,,-125.00M,,59.00M,286.00M,636.00M,0.7384,-0.586,,,0.7384,0.15,0.737,-0.586,,,0.737,0.15,387.34M,388.07M,0.0625
2013-12,3.782B,3.782B,,,,,109.00M,-109.00M,1.27B,1.27B,109.00M,-109.00M,1.205B,-109.00M,498.00M,178.00M,320.00M,-445.00M,,-73.00M,,-198.00M,247.00M,607.00M,0.6385,-1.145,,,0.6385,-0.51,0.6385,-1.145,,,0.6385,-0.51,387.17M,388.16M,0.0625
2013-09,3.597B,3.597B,,,,,105.00M,-105.00M,1.197B,1.197B,105.00M,-105.00M,1.165B,-105.00M,576.00M,155.00M,421.00M,-37.00M,,-102.00M,,282.00M,319.00M,681.00M,0.8237,-0.0955,,,0.8237,0.73,0.82,-0.0955,,,0.82,0.73,387.26M,388.14M,0.0625
2013-06,3.616B,3.616B,,,,,108.00M,-108.00M,1.122B,1.122B,108.00M,-108.00M,1.295B,-108.00M,566.00M,163.00M,403.00M,9.00M,,-143.00M,,269.00M,260.00M,674.00M,0.6687,0.0231,,,0.6687,0.69,0.6673,0.0231,,,0.6673,0.69,388.79M,389.62M,0.0625
2013-03,3.686B,3.686B,,,,,108.00M,-108.00M,1.356B,1.356B,108.00M,-108.00M,1.304B,-108.00M,498.00M,109.00M,389.00M,9.00M,,-156.00M,,242.00M,233.00M,606.00M,0.5953,0.023,,,0.5953,0.62,0.5941,0.023,,,0.5941,0.62,391.39M,392.16M,0.0625
2012-12,3.225B,3.225B,,,,,95.00M,-95.00M,570.00M,570.00M,95.00M,-95.00M,1.07B,-95.00M,658.00M,176.00M,482.00M,,,-115.00M,,-32.00M,367.00M,753.00M,0.9274,,,,0.9274,-0.08,0.9274,,,,0.9274,-0.08,392.84M,393.56M,0.0625
2012-09,3.715B,3.715B,,,,,109.00M,-109.00M,1.429B,1.429B,109.00M,-109.00M,1.245B,-109.00M,409.00M,99.00M,310.00M,,,-133.00M,,177.00M,177.00M,518.00M,0.45,,,,0.45,0.45,0.45,,,,0.45,0.45,394.48M,395.29M,0.0625
2012-06,3.388B,3.388B,,,,,111.00M,-111.00M,1.406B,1.406B,111.00M,-111.00M,1.314B,-111.00M,214.00M,16.00M,198.00M,,,-142.00M,,56.00M,56.00M,325.00M,0.14,,,,0.14,0.14,0.14,,,,0.14,0.14,396.40M,397.13M,0.0625
2012-03,3.744B,3.744B,,,,,111.00M,-111.00M,1.216B,1.216B,111.00M,-111.00M,1.337B,-111.00M,741.00M,222.00M,519.00M,,,-152.00M,,367.00M,367.00M,852.00M,0.93,,,,0.93,0.93,0.92,,,,0.92,0.92,396.77M,397.44M,0.0625
2011-12,3.481B,3.481B,,,,,116.00M,-116.00M,,,116.00M,-116.00M,3.857B,-116.00M,482.00M,70.00M,412.00M,,,-141.00M,,271.00M,271.00M,598.00M,0.68,,,,0.68,0.68,0.68,,,,0.68,0.68,396.52M,397.13M,0.0625
2011-09,3.438B,3.438B,392.00M,,392.00M,-784.00M,126.00M,-126.00M,,-392.00M,126.00M,-126.00M,539.00M,-126.00M,439.00M,123.00M,316.00M,,,-154.00M,,162.00M,726.34M,565.00M,0.41,0.0,,,1.817,0.41,0.4,0.0,,,1.805,0.4,401.01M,401.73M,0.0625
2011-06,3.542B,3.542B,388.00M,,388.00M,-824.00M,129.00M,-129.00M,,-436.00M,129.00M,-129.00M,539.00M,-129.00M,548.00M,144.00M,404.00M,,,-154.00M,,250.00M,857.47M,677.00M,0.61,0.0,,,2.1,0.61,0.61,0.0,,,2.096,0.61,407.82M,408.74M,0.0625
2011-03,3.668B,3.668B,362.00M,,362.00M,-737.00M,151.00M,-151.00M,297.00M,-78.00M,151.00M,-151.00M,580.00M,-151.00M,757.00M,195.00M,562.00M,,,-183.00M,,379.00M,926.15M,908.00M,0.92,0.0,,,2.245,0.92,0.92,0.0,,,2.242,0.92,412.90M,413.83M,0.0625
2010-12,3.715B,3.715B,,,,,133.00M,-133.00M,1.291B,1.291B,133.00M,-133.00M,3.80B,-133.00M,945.00M,275.00M,670.00M,1.00M,,-204.00M,,467.00M,466.00M,1.078B,1.126,-0.0078,,,1.126,1.12,1.11,-0.0078,,,1.11,1.11,415.87M,416.67M,0.0625
2010-09,3.701B,3.701B,351.00M,,351.00M,,127.00M,-127.00M,1.622B,1.973B,127.00M,-127.00M,591.00M,-127.00M,258.00M,84.00M,174.00M,-22.00M,,-116.00M,,36.00M,58.00M,385.00M,0.13,-0.04,,,0.13,0.09,0.13,-0.04,,,0.13,0.09,417.67M,418.47M,0.0625
2010-06,3.486B,3.486B,352.00M,,352.00M,-712.00M,127.00M,-127.00M,,-360.00M,127.00M,-127.00M,529.00M,-127.00M,803.00M,262.00M,541.00M,,,-175.00M,,366.00M,845.69M,930.00M,0.88,0.0,,,2.026,0.88,0.87,0.0,,,2.0140000000000002,0.87,418.64M,419.38M,0.0625
2010-03,3.713B,3.713B,305.00M,,305.00M,-732.00M,130.00M,-130.00M,342.00M,-85.00M,130.00M,-130.00M,616.00M,-130.00M,896.00M,273.00M,623.00M,,,-203.00M,,420.00M,928.97M,1.026B,0.99,0.0,,,2.194,0.99,0.99,0.0,,,2.191,0.99,422.77M,423.64M,0.0625
2009-12,3.822B,3.822B,317.00M,,317.00M,0.00,127.00M,-127.00M,-293.00M,24.00M,127.00M,-127.00M,597.00M,-127.00M,883.00M,277.00M,606.00M,0.00,,-203.00M,,403.00M,403.00M,1.01B,0.94,-0.01,,,0.94,0.93,0.94,-0.01,,,0.94,0.93,428.34M,429.13M,0.0625
2009-09,3.738B,3.738B,307.00M,,307.00M,0.00,117.00M,-117.00M,1.074B,1.381B,117.00M,-117.00M,520.00M,-117.00M,958.00M,266.00M,692.00M,-1.00M,,-223.00M,,468.00M,469.00M,1.075B,1.08,0.0,,,1.08,1.08,1.08,-0.0023,,,1.08,1.08,432.75M,433.48M,0.0625
2009-06,3.534B,3.534B,,,,0.00,110.00M,-110.00M,1.373B,1.373B,110.00M,-110.00M,1.44B,-110.00M,756.00M,197.00M,559.00M,,,-219.00M,,340.00M,340.00M,866.00M,0.78,0.0,,,0.78,0.78,0.78,0.0,,,0.78,0.78,435.07M,435.63M,0.0625
2009-03,3.023B,3.023B,,,,-1.036B,94.00M,-94.00M,1.419B,383.00M,94.00M,-94.00M,1.435B,-94.00M,-868.00M,-395.00M,-473.00M,,,-174.00M,,-647.00M,26.40M,-774.00M,-1.49,0.0,,,0.0576,-1.49,-1.49,0.0,,,0.0576,-1.49,435.12M,435.12M,0.0625
2008-12,2.743B,2.743B,,,,-1.173B,86.00M,-86.00M,1.482B,309.00M,86.00M,-86.00M,1.412B,-86.00M,-1.341B,-530.00M,-811.00M,1.00M,,-148.00M,,-958.00M,-249.60M,-1.255B,-1.96,0.27,,,-0.3305,-1.69,-1.96,0.27,,,-0.3305,-1.69,435.35M,435.35M,0.0625
2008-09,2.97B,2.97B,,,,0.00,82.00M,-82.00M,1.41B,1.41B,82.00M,-82.00M,1.466B,-82.00M,-41.00M,-56.00M,15.00M,7.00M,,-159.00M,,-137.00M,-144.00M,41.00M,-0.33,0.02,,,-0.33,-0.31,-0.33,0.02,,,-0.33,-0.31,436.32M,436.32M,0.0625
2008-06,3.922B,3.922B,,,,0.00,88.00M,-88.00M,1.255B,1.255B,88.00M,-88.00M,1.562B,-88.00M,1.107B,340.00M,767.00M,4.452B,,-256.00M,,4.963B,511.00M,1.195B,1.0,8.56,,,1.0,9.56,1.0,8.54,,,1.0,9.54,508.16M,509.43M,0.0625
2008-03,3.612B,3.612B,,,,0.00,89.00M,-89.00M,1.272B,1.272B,89.00M,-89.00M,1.372B,-89.00M,862.00M,253.00M,409.00M,253.00M,,-200.00M,,662.00M,209.00M,951.00M,0.77,1.26,,0.3776,0.77,1.05,0.77,0.28,,0.3767,0.77,1.05,529.70M,530.90M,0.0625
2007-12,3.592B,3.592B,,,,,,,110.00M,110.00M,,,-1.307B,,647.00M,221.00M,295.00M,217.00M,,-131.00M,,512.00M,295.00M,647.00M,1.25,-0.52,,,1.25,0.73,1.25,-0.52,,,1.25,0.73,529.57M,530.87M,0.0625
2007-09,3.525B,3.525B,,,,,,,1.312B,1.312B,,,1.05B,,638.00M,182.00M,309.00M,246.00M,,-147.00M,,555.00M,309.00M,638.00M,0.58,0.19,,,0.58,0.77,0.58,0.19,,,0.58,0.77,531.86M,533.19M,0.0625
2007-06,3.517B,3.517B,,,,,71.00M,-71.00M,2.599B,2.599B,71.00M,-71.00M,968.00M,-71.00M,847.00M,-256.00M,422.00M,232.00M,,169.00M,,654.00M,422.00M,918.00M,0.78,0.17,,,0.78,0.95,0.78,0.17,,,0.78,0.95,536.30M,537.50M,0.0625
2007-03,4.613B,4.613B,,,,,78.00M,-78.00M,3.153B,3.153B,78.00M,-78.00M,2.007B,-78.00M,1.382B,-453.00M,763.00M,5.00M,,166.00M,,768.00M,763.00M,1.46B,1.19,0.01,,,1.19,1.2,1.19,0.01,,,1.19,1.2,541.52M,542.56M,0.0625
2006-12,4.882B,4.882B,,,,0.00,,,1.227B,1.227B,,,1.957B,,1.349B,2.486B,770.50M,-24.00M,,163.10M,,746.50M,770.50M,1.349B,1.16,-0.05,,,1.16,1.11,1.16,-0.05,,,1.16,1.11,547.37M,548.38M,0.0625
2006-09,4.507B,4.507B,,,,0.00,,,1.480B,1.480B,,,1.841B,,1.115B,-363.60M,629.40M,5.70M,,122.40M,,635.10M,629.40M,1.115B,0.93,0.01,,,0.93,0.94,0.93,0.01,,,0.93,0.94,550.59M,551.44M,0.0625
2006-06,4.277B,4.277B,,,,-12.90M,,,1.438B,1.425B,,,1.744B,,1.023B,337.20M,571.10M,-2.40M,,114.50M,,568.70M,579.75M,1.023B,0.86,0.0,,,0.8756,0.86,0.85,0.0,,,0.8655,0.85,555.37M,556.16M,0.0625
2006-03,4.244B,4.244B,,,,,74.60M,-74.60M,1.323B,1.323B,74.60M,-74.60M,1.670B,-74.60M,984.60M,334.20M,546.00M,-5.00M,,104.40M,67.60M,541.00M,546.00M,1.059B,0.86,-0.01,,,0.86,0.85,0.857,-0.01,,,0.857,0.848,557.47M,558.24M,0.05
2005-12,4.108B,4.108B,,,,,74.70M,-74.70M,1.341B,1.341B,74.70M,-74.70M,1.676B,-74.70M,204.70M,43.80M,119.40M,8.10M,,41.50M,,127.50M,119.40M,279.40M,0.07,0.0133,,,0.07,0.0833,0.0667,0.0133,,,0.0667,0.0807,557.43M,558.51M,0.05
2005-09,4.138B,4.138B,,,,0.00,,,1.400B,1.400B,,,1.596B,,451.20M,104.60M,300.00M,2.20M,,46.60M,,302.20M,300.00M,451.20M,0.42,0.0,,,0.42,0.42,0.4166,0.0,,,0.4166,0.42,557.16M,558.10M,0.05
2005-06,4.031B,4.031B,,,,0.00,85.80M,-85.80M,1.350B,1.350B,85.80M,-85.80M,1.680B,-85.80M,638.70M,164.70M,433.80M,1.80M,,40.20M,,435.60M,433.80M,724.50M,0.68,0.0,,,0.68,0.68,0.68,0.0,,,0.68,0.68,556.96M,557.70M,0.05
2005-03,3.741B,3.741B,,,,,129.80M,-129.80M,1.249B,1.249B,129.80M,-129.80M,1.411B,-129.80M,551.90M,177.30M,339.70M,6.60M,,34.90M,,346.30M,339.70M,681.70M,0.5267,0.0133,,,0.5267,0.54,0.5267,0.0133,,,0.5267,0.54,556.83M,557.52M,0.05
2004-12,4.047B,4.047B,,,,,78.20M,-78.20M,1.036B,1.036B,78.20M,-78.20M,1.375B,-78.20M,776.30M,241.20M,497.40M,,,37.70M,,497.40M,497.40M,854.50M,0.7933,0.0,,,0.7933,0.7933,0.7933,0.0,,,0.7933,0.7933,556.68M,556.68M,0.05
2004-09,3.787B,3.787B,,,,,73.30M,-73.30M,1.340B,1.340B,73.30M,-73.30M,1.495B,-73.30M,404.00M,121.40M,278.50M,,,4.10M,,278.50M,278.50M,477.30M,0.4033,0.0,,,0.4033,0.4033,0.4033,0.0,,,0.4033,0.4033,556.47M,556.86M,0.05
2004-06,3.916B,3.916B,,,,,73.50M,-73.50M,1.353B,1.353B,73.50M,-73.50M,1.308B,-73.50M,561.30M,125.00M,410.50M,,,25.80M,,410.50M,410.50M,634.80M,0.6633,0.0,,,0.6633,0.6633,0.6633,0.0,,,0.6633,0.6633,556.47M,556.89M,0.05
2004-03,3.493B,3.493B,,,,,99.10M,-99.10M,1.242B,1.242B,99.10M,-99.10M,794.80M,-99.10M,80.40M,46.20M,44.90M,,,-10.70M,,44.90M,44.90M,179.50M,0.02,0.0,,,0.02,0.02,0.02,0.0,,,0.02,0.02,556.41M,556.41M,0.05
2003-12,4.168B,4.168B,,,,,,,,,,,,,590.60M,,367.50M,-41.80M,,,,381.10M,422.90M,590.60M,0.5995,0.024,,,0.5995,0.6235,0.5534,-0.0751,,,0.5534,0.4783,556.35M,556.35M,0.05
2003-09,3.94B,3.94B,,,,,,,1.654B,1.654B,,,1.262B,,-2.551B,-916.40M,-1.439B,111.60M,,-195.50M,,-1.383B,-1.494B,-2.551B,-2.633,0.1,,,-2.633,-2.533,-2.633,0.1,,,-2.633,-2.533,556.35M,556.35M,0.05
2003-06,4.240B,4.240B,,,,,75.70M,-75.70M,1.272B,1.272B,75.70M,-75.70M,1.179B,-75.70M,302.60M,-88.00M,214.90M,-0.10M,,-0.30M,,214.80M,214.90M,378.30M,0.34,0.0,,,0.34,0.34,0.34,0.0,,,0.34,0.34,556.35M,556.35M,0.05
2003-03,3.946B,3.946B,,,,,73.70M,-73.70M,,,73.70M,-73.70M,1.566B,-73.70M,0.00,93.10M,190.30M,-0.30M,,-1.00M,,190.00M,190.30M,73.70M,0.29,0.0,,,0.29,0.29,0.29,0.0,,,0.29,0.29,556.35M,556.35M,0.05
2002-12,3.968B,3.968B,,,,,77.80M,-77.80M,11.38B,11.38B,77.80M,-77.80M,2.935B,-77.80M,438.60M,130.60M,259.50M,30.60M,39.60M,23.10M,,261.30M,191.10M,516.40M,0.6724,0.0015,0.0,,0.6724,0.6727,0.5301,0.0015,0.069,,0.5301,0.6563,564.93M,564.93M,0.05
2002-09,4.071B,4.071B,,,,,77.10M,-77.10M,1.284B,1.284B,77.10M,-77.10M,1.387B,-77.10M,412.10M,156.50M,238.70M,0.80M,0.00,16.90M,,239.10M,238.30M,489.20M,0.35,0.0,0.0,,0.35,0.35,0.35,0.0,0.0,,0.35,0.35,557.13M,557.13M,0.05
2002-06,4.652B,4.652B,,,,,78.20M,-78.20M,,,78.20M,-78.20M,1.826B,-78.20M,0.00,122.60M,198.80M,,,14.30M,,198.80M,198.80M,78.20M,0.2797,0.0,,,0.2797,0.2797,0.2797,0.0,,,0.2797,0.2797,565.14M,565.14M,0.05
2002-03,4.792B,4.792B,,,,,76.50M,-76.50M,,,76.50M,-76.50M,1.956B,-76.50M,0.00,171.20M,283.40M,-31.00M,-39.60M,28.00M,,212.80M,283.40M,76.50M,0.4629,-0.0533,0.0,,0.4629,0.3397,0.4629,-0.0533,-0.069,,0.4629,0.3397,573.84M,573.84M,0.05
2001-12,5.000B,5.000B,,,,-188.90M,75.90M,-75.90M,,-188.90M,75.90M,-75.90M,2.313B,-75.90M,-764.50M,147.80M,220.20M,3.20M,0.00,18.50M,,223.40M,333.54M,-688.60M,0.347,0.0072,0.0,,0.5621,0.3513,0.347,0.0067,-0.0025,,0.5434,0.3513,526.71M,577.10M,0.05
2001-09,4.667B,4.667B,,,,,77.10M,-77.10M,,,77.10M,-77.10M,2.153B,-77.10M,0.00,113.70M,161.10M,4.60M,,11.30M,,165.70M,161.10M,77.10M,0.2764,0.0067,,,0.2764,0.283,0.2764,0.0067,,,0.2764,0.283,586.79M,586.79M,0.05
2001-06,4.140B,4.140B,,,,-56.10M,92.70M,-92.70M,,-56.10M,92.70M,-92.70M,2.553B,-92.70M,0.00,-768.30M,-1.417B,1.90M,,-202.50M,,-1.415B,-1.361B,92.70M,-2.394,0.0033,,,-2.3,-2.391,-2.394,0.0033,,,-2.3,-2.391,592.31M,592.31M,0.05
2001-03,4.929B,4.929B,,,,,86.30M,-86.30M,,,86.30M,-86.30M,2.432B,-86.30M,0.00,328.40M,525.40M,0.20M,-53.30M,69.70M,,472.30M,525.40M,86.30M,0.8891,-0.0899,0.0,,0.8891,0.7992,0.8891,-0.0899,-0.09,,0.8891,0.7992,592.28M,592.28M,0.0417
2000-12,4.906B,4.906B,,,,,90.40M,-90.40M,,,90.40M,-90.40M,1.985B,-90.40M,3.136B,295.50M,461.70M,,,39.10M,,474.80M,461.70M,3.226B,0.7823,0.02,,,0.7823,0.8023,0.7823,,,,0.7823,0.8023,572.17M,591.68M,0.0417
2000-09,5.757B,5.757B,,,,,92.90M,-92.90M,,,92.90M,-92.90M,2.839B,-92.90M,0.00,379.10M,679.60M,,,85.00M,,679.60M,679.60M,92.90M,1.149,0.0,,,1.149,1.149,1.149,0.0,,,1.149,1.149,592.19M,592.19M,0.0417
2000-06,5.314B,5.314B,,,,,85.20M,-85.20M,,,85.20M,-85.20M,2.537B,-85.20M,0.00,300.90M,510.60M,,,52.60M,,510.60M,510.60M,85.20M,0.8625,0.0,,,0.8625,0.8625,0.8625,0.0,,,0.8625,0.8625,592.79M,592.79M,0.0417
2000-03,4.656B,4.656B,,,,,88.40M,-88.40M,,,88.40M,-88.40M,1.887B,-88.40M,0.00,114.20M,183.60M,,,40.60M,,183.60M,183.60M,88.40M,0.2997,0.0,,,0.2997,0.2997,0.2997,0.0,,,0.2997,0.2997,610.21M,610.21M,0.0417
1999-12,4.859B,4.859B,,,,,67.60M,-67.60M,,,67.60M,-67.60M,-299.50M,-67.60M,944.20M,-730.40M,-207.80M,,0.00,-29.50M,,-207.80M,-207.80M,1.012B,-0.3089,-0.4814,0.0,,-0.3089,-0.7903,-0.3089,-0.4814,0.0054,,-0.3089,-0.7903,602.03M,666.67M,0.0417
