,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2014-06,295.00M,0.00,,-23.00M,-23.00M,119.00M,119.00M,-27.00M,,,3.00M,59.00M,-26.00M,-1.00M,,-13.00M,19.00M,386.00M,-129.00M,,-129.00M,0.00,,2.00M,-127.00M,677.00M,-868.00M,-191.00M,96.00M,-8.00M,88.00M,-165.00M,-165.00M,7.00M,-261.00M,284.00M,-2.00M,8.00M,290.00M,96.00M,84.00M,-275.00M,-8.00M,,
2014-03,406.00M,,,-22.00M,-22.00M,116.00M,116.00M,45.00M,,,-22.00M,-195.00M,-29.00M,-21.00M,,-10.00M,-255.00M,268.00M,-97.00M,,-97.00M,0.00,,-2.00M,-99.00M,-682.00M,986.00M,304.00M,37.00M,-321.00M,-284.00M,-166.00M,-166.00M,-1.00M,-147.00M,273.00M,22.00M,-11.00M,284.00M,37.00M,986.00M,-682.00M,-321.00M,,
2013-12,819.00M,,,-1.068B,-1.053B,192.00M,192.00M,344.00M,,,-94.00M,63.00M,60.00M,-15.00M,,68.00M,176.00M,418.00M,-274.00M,,-274.00M,,,3.00M,-277.00M,639.00M,-657.00M,-18.00M,25.00M,0.00,25.00M,-167.00M,-167.00M,1.00M,-159.00M,300.00M,-18.00M,-9.00M,273.00M,25.00M,640.00M,-658.00M,0.00,,
2013-09,326.00M,,,-2.00M,-2.00M,114.00M,114.00M,-36.00M,,,7.00M,-1.00M,-39.00M,211.00M,,104.00M,275.00M,684.00M,-125.00M,,-125.00M,,,0.00,-125.00M,-1.00M,-380.00M,-381.00M,42.00M,0.00,42.00M,-166.00M,-166.00M,3.00M,-502.00M,262.00M,57.00M,-19.00M,300.00M,42.00M,-71.00M,-310.00M,0.00,,
2013-06,352.00M,,,-4.00M,-4.00M,113.00M,113.00M,-2.00M,,,50.00M,30.00M,11.00M,-149.00M,,-34.00M,-142.00M,367.00M,-136.00M,,-136.00M,,,-1.00M,-137.00M,-11.00M,297.00M,286.00M,143.00M,-500.00M,-357.00M,-160.00M,-160.00M,11.00M,-220.00M,252.00M,10.00M,0.00,262.00M,143.00M,71.00M,215.00M,-500.00M,,
2013-03,311.00M,,,-4.00M,-4.00M,113.00M,113.00M,11.00M,,,-26.00M,-142.00M,80.00M,8.00M,,-13.00M,-67.00M,338.00M,-102.00M,,-102.00M,,,,-102.00M,-104.00M,-226.00M,-330.00M,265.00M,-44.00M,221.00M,-160.00M,-160.00M,9.00M,-260.00M,281.00M,-24.00M,-5.00M,252.00M,265.00M,645.00M,-975.00M,-44.00M,,
2012-12,-32.00M,,,433.00M,433.00M,146.00M,146.00M,-139.00M,,,0.00,30.00M,-75.00M,37.00M,,-17.00M,-25.00M,383.00M,-271.00M,,-271.00M,6.00M,,-52.00M,-317.00M,-26.00M,-40.00M,-66.00M,142.00M,0.00,142.00M,-158.00M,-158.00M,2.00M,-80.00M,305.00M,-14.00M,-10.00M,281.00M,142.00M,1.391B,-1.457B,0.00,,
2012-09,318.00M,,,-4.00M,-4.00M,108.00M,108.00M,12.00M,,,-20.00M,-26.00M,-45.00M,276.00M,,76.00M,281.00M,695.00M,-107.00M,,-107.00M,0.00,,2.00M,-105.00M,0.00,-388.00M,-388.00M,22.00M,0.00,22.00M,-158.00M,-158.00M,1.00M,-523.00M,230.00M,67.00M,8.00M,305.00M,22.00M,-388.00M,0.00,0.00,,
2012-06,324.00M,,,-5.00M,-5.00M,99.00M,99.00M,22.00M,,,-26.00M,99.00M,12.00M,-135.00M,,-50.00M,-74.00M,340.00M,-92.00M,,-92.00M,-2.674B,,0.00,-2.766B,1.727B,678.00M,2.405B,24.00M,0.00,24.00M,-153.00M,-153.00M,-1.00M,2.275B,404.00M,-151.00M,-23.00M,230.00M,24.00M,2.227B,178.00M,0.00,,
2012-03,351.00M,,,-5.00M,-5.00M,95.00M,95.00M,-54.00M,,,-26.00M,-168.00M,28.00M,166.00M,,-47.00M,-21.00M,340.00M,-63.00M,,-63.00M,,,6.00M,-57.00M,0.00,-178.00M,-178.00M,41.00M,-63.00M,-22.00M,-153.00M,-153.00M,-2.00M,-355.00M,460.00M,-72.00M,16.00M,404.00M,41.00M,0.00,-178.00M,-63.00M,,
2011-12,-133.00M,,,,,99.00M,99.00M,-91.00M,,,-253.00M,124.00M,-168.00M,-3.00M,,67.00M,20.00M,326.00M,-202.00M,,-202.00M,0.00,,-4.00M,-206.00M,499.00M,-500.00M,-1.00M,26.00M,-105.00M,-79.00M,-152.00M,-152.00M,5.00M,-227.00M,582.00M,-107.00M,-15.00M,460.00M,26.00M,-2.00M,1.00M,-105.00M,,
2011-09,290.00M,,,,,95.00M,95.00M,-1.00M,,,104.00M,61.00M,4.00M,41.00M,,29.00M,135.00M,623.00M,-149.00M,,-149.00M,0.00,,6.00M,-143.00M,0.00,2.00M,2.00M,16.00M,-175.00M,-159.00M,-156.00M,-156.00M,0.00,-313.00M,457.00M,167.00M,-42.00M,582.00M,16.00M,2.00M,0.00,-175.00M,,
2011-06,342.00M,,,,,86.00M,86.00M,-7.00M,,,14.00M,16.00M,-42.00M,-50.00M,,-23.00M,-99.00M,336.00M,-140.00M,,-140.00M,0.00,,1.00M,-139.00M,397.00M,-344.00M,53.00M,127.00M,-189.00M,-62.00M,-148.00M,-148.00M,6.00M,-151.00M,404.00M,46.00M,7.00M,457.00M,127.00M,53.00M,0.00,-189.00M,,
2011-03,365.00M,,,,,89.00M,89.00M,6.00M,,,-172.00M,-301.00M,81.00M,270.00M,,-28.00M,22.00M,310.00M,-103.00M,,-103.00M,,,4.00M,-99.00M,-946.00M,1.031B,85.00M,122.00M,-329.00M,-207.00M,-148.00M,-148.00M,4.00M,-266.00M,444.00M,-55.00M,15.00M,404.00M,122.00M,1.031B,-946.00M,-329.00M,,
2010-12,225.00M,,,112.00M,112.00M,,127.00M,319.00M,,,-756.00M,184.00M,-116.00M,-277.00M,,111.00M,-98.00M,-71.00M,-222.00M,,-222.00M,,,7.00M,-215.00M,987.00M,-548.00M,439.00M,26.00M,-145.00M,-119.00M,-584.00M,-149.00M,1.00M,172.00M,559.00M,-114.00M,-1.00M,444.00M,26.00M,440.00M,-1.00M,-145.00M,,
2010-09,337.00M,,,-9.00M,-9.00M,,87.00M,-1.00M,,,43.00M,-41.00M,-68.00M,175.00M,,-37.00M,29.00M,486.00M,-105.00M,,-105.00M,,,0.00,-105.00M,0.00,437.00M,437.00M,30.00M,-641.00M,-611.00M,286.00M,-149.00M,1.00M,-322.00M,471.00M,59.00M,29.00M,559.00M,30.00M,437.00M,0.00,-641.00M,,
2010-06,718.00M,,,-14.00M,-14.00M,,91.00M,-41.00M,,,-388.00M,119.00M,-68.00M,-98.00M,,24.00M,-23.00M,343.00M,-87.00M,,-87.00M,,,1.00M,-86.00M,-1.00M,30.00M,29.00M,74.00M,-118.00M,-44.00M,-144.00M,-144.00M,4.00M,-155.00M,387.00M,102.00M,-18.00M,471.00M,74.00M,30.00M,-1.00M,-118.00M,,
2010-03,,,,-22.00M,-22.00M,,87.00M,-11.00M,,,461.00M,-203.00M,93.00M,-92.00M,,-63.00M,-265.00M,250.00M,-60.00M,,-60.00M,,,1.00M,-59.00M,0.00,80.00M,80.00M,74.00M,-148.00M,-74.00M,-142.00M,-142.00M,2.00M,-134.00M,334.00M,57.00M,-4.00M,387.00M,74.00M,80.00M,0.00,-148.00M,,
2009-12,176.00M,,,,,102.00M,102.00M,-31.00M,,,24.00M,165.00M,-48.00M,24.00M,,1.00M,142.00M,413.00M,-125.00M,,-125.00M,,,6.00M,-119.00M,24.00M,-439.00M,-415.00M,97.00M,0.00,97.00M,-143.00M,-143.00M,3.00M,-458.00M,527.00M,-164.00M,-29.00M,334.00M,97.00M,506.00M,-921.00M,0.00,,
2009-09,360.00M,,,,,93.00M,93.00M,-39.00M,,,-19.00M,-48.00M,-29.00M,170.00M,,46.00M,139.00M,534.00M,-91.00M,,-91.00M,,,0.00,-91.00M,0.00,-33.00M,-33.00M,16.00M,-187.00M,-171.00M,-143.00M,-143.00M,0.00,-347.00M,424.00M,96.00M,7.00M,527.00M,16.00M,0.00,-33.00M,-187.00M,,
2009-06,353.00M,,,,,105.00M,105.00M,61.00M,,,-39.00M,-10.00M,-11.00M,-24.00M,,16.00M,-29.00M,451.00M,-88.00M,,-88.00M,,,1.00M,-87.00M,746.00M,-884.00M,-138.00M,11.00M,0.00,11.00M,-130.00M,-130.00M,0.00,-257.00M,304.00M,107.00M,13.00M,424.00M,11.00M,743.00M,-881.00M,0.00,,
2009-03,319.00M,,,,,84.00M,84.00M,-31.00M,,,-53.00M,-182.00M,75.00M,11.00M,,22.00M,-74.00M,245.00M,-73.00M,,-73.00M,,,,-73.00M,-1.00M,2.00M,1.00M,7.00M,0.00,7.00M,-130.00M,-130.00M,2.00M,-120.00M,255.00M,52.00M,-3.00M,304.00M,7.00M,2.00M,-1.00M,0.00,,
2008-12,178.00M,,,60.00M,60.00M,101.00M,101.00M,169.00M,,,-453.00M,230.00M,8.00M,-191.00M,,-23.00M,24.00M,79.00M,-166.00M,-11.00M,-177.00M,-1.00M,,,-185.00M,188.00M,-341.00M,-153.00M,20.00M,0.00,20.00M,,-130.00M,-9.00M,-272.00M,684.00M,-378.00M,-51.00M,255.00M,20.00M,165.00M,-318.00M,0.00,,
2008-09,341.00M,,,-12.00M,-12.00M,92.00M,92.00M,-9.00M,,,52.00M,25.00M,43.00M,68.00M,,-101.00M,35.00M,499.00M,-116.00M,1.00M,-115.00M,-79.00M,,,-194.00M,-1.00M,-104.00M,-105.00M,94.00M,0.00,94.00M,,-129.00M,5.00M,-135.00M,556.00M,170.00M,-42.00M,684.00M,94.00M,-104.00M,-1.00M,0.00,,
2008-06,312.00M,,,-7.00M,-7.00M,88.00M,88.00M,8.00M,,,1.00M,35.00M,-49.00M,-51.00M,,104.00M,39.00M,441.00M,-112.00M,10.00M,-102.00M,-28.00M,,,-130.00M,-337.00M,152.00M,-185.00M,21.00M,-8.00M,13.00M,,-117.00M,1.00M,-288.00M,532.00M,23.00M,1.00M,556.00M,21.00M,162.00M,-347.00M,-8.00M,,
2008-03,315.00M,,,-41.00M,-41.00M,94.00M,94.00M,-11.00M,,,70.00M,-242.00M,39.00M,67.00M,,-43.00M,-179.00M,248.00M,-67.00M,,-67.00M,-105.00M,,,-172.00M,628.00M,,628.00M,40.00M,-642.00M,-602.00M,,-119.00M,8.00M,-85.00M,524.00M,-9.00M,17.00M,532.00M,40.00M,746.00M,-118.00M,-642.00M,,
2007-12,176.00M,,,,-138.00M,97.00M,97.00M,45.00M,,,129.00M,147.00M,-77.00M,37.00M,-75.00M,-91.00M,-59.00M,250.00M,-180.00M,,-177.00M,-128.00M,4.00M,,-305.00M,752.00M,-584.00M,332.00M,22.00M,-233.00M,-211.00M,-475.00M,-121.00M,-2.00M,-2.00M,576.00M,-57.00M,5.00M,524.00M,22.00M,2.179B,-2.011B,-233.00M,,
2007-09,305.00M,,,,59.00M,90.00M,90.00M,-22.00M,,,-8.00M,-21.00M,-20.00M,42.00M,49.00M,29.00M,79.00M,503.00M,-111.00M,,-111.00M,,0.00,,-111.00M,,,-134.00M,41.00M,-153.00M,-112.00M,,-122.00M,-2.00M,-370.00M,574.00M,22.00M,-20.00M,576.00M,41.00M,,,-153.00M,,
2007-06,301.00M,,,,79.00M,98.00M,98.00M,-59.00M,,,-32.00M,10.00M,-36.00M,-40.00M,26.00M,48.00M,8.00M,395.00M,-115.00M,,-115.00M,,-4.00M,,-119.00M,728.00M,-418.00M,280.00M,38.00M,-150.00M,-112.00M,116.00M,-116.00M,6.00M,58.00M,236.00M,334.00M,4.00M,574.00M,38.00M,-418.00M,728.00M,-150.00M,,
2007-03,321.00M,,,,,87.00M,87.00M,-33.00M,,,-2.00M,-199.00M,45.00M,101.00M,,35.00M,-18.00M,355.00M,-66.00M,,-66.00M,0.00,,,-66.00M,-728.00M,418.00M,-310.00M,62.00M,-114.00M,-52.00M,-116.00M,-116.00M,4.00M,-474.00M,411.00M,-185.00M,10.00M,236.00M,62.00M,418.00M,-728.00M,-114.00M,,
2006-12,182.00M,,,,-140.00M,95.00M,95.00M,-46.00M,,,174.00M,130.00M,-68.00M,110.00M,-91.00M,-48.00M,33.00M,298.00M,-191.00M,,-182.00M,,2.00M,-8.00M,-188.00M,,,-16.00M,21.00M,-70.00M,-49.00M,,-116.00M,7.00M,-174.00M,463.00M,-64.00M,13.00M,411.00M,21.00M,,,-70.00M,,
2006-09,281.00M,,,,140.00M,85.00M,85.00M,4.00M,,,-82.00M,-188.00M,-39.00M,33.00M,91.00M,285.00M,182.00M,610.00M,-100.00M,,-100.00M,,0.00,6.00M,-94.00M,,,-346.00M,81.00M,0.00,81.00M,,-116.00M,8.00M,-373.00M,315.00M,143.00M,4.00M,463.00M,81.00M,,,0.00,,
2006-06,267.00M,,,,-22.00M,92.00M,92.00M,7.00M,,,43.00M,,,,,-49.00M,-49.00M,338.00M,-99.00M,,-99.00M,,0.00,-1.00M,-100.00M,,,-154.00M,78.00M,0.00,78.00M,,-109.00M,5.00M,-180.00M,261.00M,58.00M,-4.00M,315.00M,78.00M,,,0.00,,
2006-03,274.00M,,,,22.00M,81.00M,81.00M,-9.00M,,,1.00M,,,,,-205.00M,-205.00M,164.00M,-63.00M,,-63.00M,,-2.00M,2.00M,-63.00M,,,587.00M,38.00M,-580.00M,-542.00M,,-109.00M,2.00M,-62.00M,219.00M,39.00M,3.00M,261.00M,38.00M,,,-580.00M,,
2005-12,192.00M,,,,27.40M,100.20M,100.20M,2.90M,,,,,,,,54.80M,82.80M,8.30M,-154.00M,,-144.00M,-19.80M,,-8.40M,-172.20M,,,417.40M,15.30M,-400.90M,-385.60M,,-112.20M,0.70M,-79.70M,463.50M,-243.60M,-0.50M,219.00M,15.30M,,,-400.90M,,
2005-09,274.30M,,,,117.50M,97.00M,97.00M,11.80M,,,,,,,,46.70M,46.70M,547.30M,-107.00M,,-107.00M,-0.20M,,6.10M,-101.10M,,,90.30M,-262.70M,0.00,-262.70M,,-114.80M,2.20M,-285.00M,303.20M,161.20M,-0.90M,463.50M,-262.70M,,,0.00,,
2005-06,259.00M,,,,58.50M,93.20M,93.20M,-54.80M,,,,,,,,21.50M,21.50M,377.40M,-72.40M,,-72.40M,-30.00M,,-0.40M,-102.80M,,,-449.90M,324.00M,-2.80M,321.20M,,-104.00M,3.80M,-228.90M,265.30M,45.70M,-7.80M,303.20M,324.00M,,,-2.80M,,
