,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,356.00M,,102.00M,32.00M,-34.00M,-157.00M,,590.00M,-31.00M,8.00M,14.00M,-48.00M,-130.00M,-9.00M,81.00M,,,-25.00M,-83.00M,,649.00M,-662.00M,,-662.00M,5.00M,,1.106B,449.00M,,,,,-9.00M,-9.00M,-42.00M,-42.00M,2.00M,-49.00M,563.00M,1.049B,1.00M,1.613B,,,,,-9.00M,,
2017-12,-28.00M,,198.00M,-26.00M,-8.00M,183.00M,,583.00M,-105.00M,24.00M,11.00M,-140.00M,-142.00M,6.00M,108.00M,,,,-27.00M,0.00,501.00M,-669.00M,,-669.00M,-48.00M,,26.00M,-691.00M,-1.00B,,-1.00B,,-1.00M,-1.00M,-42.00M,-42.00M,,-1.043B,1.795B,-1.233B,1.00M,563.00M,,,0.00,-1.00B,-1.00M,,
2017-09,-599.00M,,-22.00M,-15.00M,-13.00M,-69.00M,,641.00M,6.00M,201.00M,12.00M,310.00M,-177.00M,9.00M,230.00M,,,,62.00M,-13.00M,551.00M,-530.00M,,-530.00M,0.00,,10.00M,-507.00M,-821.00M,,-821.00M,,0.00,0.00,-43.00M,-43.00M,,-864.00M,2.614B,-820.00M,1.00M,1.795B,,,988.00M,-1.809B,0.00,,
2017-06,-153.00M,,-63.00M,48.00M,-25.00M,-46.00M,,592.00M,24.00M,0.00,12.00M,42.00M,-14.00M,5.00M,-40.00M,,,,-49.00M,48.00M,470.00M,-492.00M,,-492.00M,-1.611B,,1.72B,-387.00M,-1.00M,,-1.00M,,-3.00M,-3.00M,-43.00M,-43.00M,1.00M,-46.00M,2.49B,123.00M,1.00M,2.614B,,,,-1.00M,-3.00M,,
2017-03,-50.00M,,-77.00M,13.00M,,-65.00M,,556.00M,14.00M,4.00M,14.00M,40.00M,-1.00M,-10.00M,-1.00M,,,,-12.00M,95.00M,596.00M,-283.00M,,-283.00M,-168.00M,,1.00M,-459.00M,,,,,-7.00M,-7.00M,-42.00M,-42.00M,-1.00M,-50.00M,2.488B,1.00M,1.00M,2.49B,,,,,-7.00M,,
2016-12,-1.383B,,18.00M,-9.00M,-3.00M,-102.00M,,573.00M,1.304B,19.00M,14.00M,-95.00M,-58.00M,-5.00M,75.00M,,,,45.00M,141.00M,516.00M,-255.00M,,-255.00M,8.00M,,379.00M,166.00M,0.00,,0.00,0.00,-1.00M,-1.00M,-43.00M,-43.00M,,-43.00M,1.788B,700.00M,0.00,2.488B,,0.00,0.00,0.00,-1.00M,-68.00M,-243.00M
2016-09,-206.00M,,-42.00M,4.00M,,-85.00M,,522.00M,-124.00M,48.00M,11.00M,21.00M,33.00M,44.00M,-5.00M,,,,72.00M,108.00M,367.00M,-221.00M,,-221.00M,-766.00M,-37.00M,79.00M,-954.00M,-1.00M,,-1.00M,0.00,-1.00M,-1.00M,-42.00M,-42.00M,,-44.00M,2.518B,-730.00M,0.00,1.788B,,0.00,0.00,-1.00M,-1.00M,7.00M,66.00M
2016-06,-138.00M,,88.00M,-8.00M,-14.00M,-228.00M,,512.00M,-57.00M,-12.00M,13.00M,201.00M,-14.00M,21.00M,-100.00M,,,,-93.00M,-16.00M,182.00M,-287.00M,,-287.00M,-89.00M,23.00M,741.00M,376.00M,0.00,,0.00,4.00M,-4.00M,0.00,-43.00M,-43.00M,,-43.00M,1.978B,543.00M,-3.00M,2.518B,,4.00M,,0.00,-4.00M,46.00M,122.00M
2016-03,-360.00M,,2.00M,30.00M,14.00M,106.00M,,549.00M,-295.00M,12.00M,13.00M,41.00M,106.00M,4.00M,-107.00M,,,,3.00M,5.00M,74.00M,-441.00M,,-441.00M,0.00,14.00M,19.00M,-421.00M,,,,1.232B,0.00,1.232B,-34.00M,-34.00M,,1.198B,1.119B,859.00M,0.00,1.978B,,1.232B,,,0.00,15.00M,55.00M
2015-12,-290.00M,,-38.00M,-8.00M,-9.00M,-283.00M,,432.00M,-214.00M,340.00M,11.00M,233.00M,52.00M,-5.00M,48.00M,,,,95.00M,,363.00M,-537.00M,,-537.00M,77.00M,639.00M,122.00M,258.00M,-1.035B,,-1.035B,0.00,,-11.00M,-33.00M,-33.00M,0.00,-1.079B,1.68B,-368.00M,-2.00M,1.119B,,0.00,0.00,-1.035B,,-3.00M,125.00M
2015-09,-749.00M,,-105.00M,4.00M,-5.00M,3.00M,,717.00M,-405.00M,337.00M,34.00M,530.00M,204.00M,9.00M,-184.00M,,,,29.00M,,496.00M,-628.00M,,-628.00M,0.00,255.00M,126.00M,-247.00M,0.00,,0.00,0.00,,0.00,-142.00M,-142.00M,3.00M,-139.00M,1.572B,110.00M,-2.00M,1.68B,,0.00,0.00,0.00,,9.00M,57.00M
2015-06,-386.00M,,17.00M,34.00M,21.00M,72.00M,,751.00M,-6.00M,44.00M,,45.00M,146.00M,43.00M,-301.00M,,,,-112.00M,,408.00M,-868.00M,,-868.00M,0.00,-904.00M,1.00M,-1.771B,1.962B,,1.962B,0.00,,0.00,-143.00M,-143.00M,-12.00M,1.807B,1.126B,444.00M,2.00M,1.572B,,0.00,1.996B,-34.00M,,118.00M,88.00M
2015-03,-276.00M,,,3.00M,-7.00M,-5.00M,,821.00M,-179.00M,0.00,,51.00M,388.00M,-22.00M,-469.00M,,,,-103.00M,,309.00M,-1.452B,,-1.452B,,10.00M,,-1.442B,,,,0.00,,0.00,-142.00M,-142.00M,4.00M,-138.00M,2.398B,-1.271B,-1.00M,1.126B,,0.00,,,,47.00M,55.00M
2014-12,-93.00M,,,-24.00M,-7.00M,-33.00M,,801.00M,-249.00M,2.00M,,288.00M,389.00M,21.00M,82.00M,,,,492.00M,-105.00M,1.155B,-1.521B,,-1.521B,-9.00M,15.00M,1.537B,2.00M,-34.00M,135.00M,101.00M,,0.00,0.00,-142.00M,-142.00M,-132.00M,-173.00M,761.00M,1.639B,-2.00M,2.398B,,,0.00,-34.00M,0.00,165.00M,78.00M
2014-09,304.00M,,,61.00M,-53.00M,11.00M,,737.00M,164.00M,109.00M,,95.00M,-4.00M,26.00M,-84.00M,,,,-62.00M,416.00M,1.774B,-1.409B,,-1.409B,-12.00M,19.00M,-19.00M,-1.544B,0.00,0.00,0.00,,0.00,0.00,-141.00M,-141.00M,64.00M,-77.00M,1.169B,-406.00M,-2.00M,761.00M,,,0.00,0.00,0.00,178.00M,52.00M
2014-06,360.00M,,,32.00M,7.00M,126.00M,,680.00M,84.00M,4.00M,,73.00M,-197.00M,-17.00M,-64.00M,,,,-278.00M,39.00M,1.088B,-1.226B,,-1.226B,,7.00M,104.00M,-1.252B,-34.00M,0.00,-34.00M,,-449.00M,-449.00M,-127.00M,-127.00M,77.00M,-533.00M,1.964B,-793.00M,-2.00M,1.169B,,,0.00,-34.00M,-449.00M,883.00M,93.00M
2014-03,398.00M,,,-42.00M,19.00M,-25.00M,,643.00M,89.00M,17.00M,,24.00M,-69.00M,-41.00M,33.00M,,,,-77.00M,401.00M,1.47B,-1.004B,,-1.004B,,20.00M,2.128B,1.048B,,-135.00M,-135.00M,,-551.00M,-551.00M,-133.00M,-133.00M,9.00M,-810.00M,264.00M,1.708B,-8.00M,1.964B,,,,,-551.00M,453.00M,56.00M
2013-12,136.00M,,,0.00,4.00M,29.00M,,586.00M,-32.00M,47.00M,,168.00M,350.00M,-8.00M,-188.00M,,,,154.00M,141.00M,1.229B,-1.06B,,-1.06B,0.00,16.00M,49.00M,-1.11B,-34.00M,-65.00M,-99.00M,,0.00,0.00,-132.00M,-132.00M,23.00M,-208.00M,354.00M,-89.00M,-1.00M,264.00M,,,,-34.00M,0.00,686.00M,73.00M
2013-09,396.00M,,,12.00M,8.00M,26.00M,,657.00M,-37.00M,11.00M,,175.00M,-122.00M,8.00M,264.00M,,,,150.00M,267.00M,1.645B,-978.00M,,-978.00M,-74.00M,16.00M,88.00M,-1.112B,0.00,200.00M,200.00M,,-500.00M,-500.00M,-135.00M,-135.00M,24.00M,-411.00M,246.00M,122.00M,-14.00M,354.00M,,,,0.00,-500.00M,744.00M,56.00M
2013-06,19.00M,,,48.00M,26.00M,181.00M,,537.00M,-10.00M,0.00,,-43.00M,-50.00M,-2.00M,-213.00M,,,,-265.00M,449.00M,868.00M,-1.084B,,-1.084B,,11.00M,28.00M,-1.262B,-34.00M,0.00,-34.00M,,0.00,0.00,-121.00M,-121.00M,25.00M,-130.00M,768.00M,-524.00M,2.00M,246.00M,,,,-34.00M,0.00,1.471B,99.00M
2013-03,380.00M,,,-48.00M,7.00M,-150.00M,,720.00M,45.00M,38.00M,,519.00M,39.00M,-17.00M,-71.00M,,,,-49.00M,25.00M,1.528B,-1.321B,,-1.321B,,18.00M,320.00M,-1.037B,-114.00M,-200.00M,-314.00M,,0.00,0.00,-120.00M,-120.00M,21.00M,-413.00M,684.00M,78.00M,6.00M,768.00M,,,,-114.00M,0.00,1.003B,61.00M
2012-12,-404.00M,,,25.00M,24.00M,48.00M,,229.00M,-7.00M,100.00M,,207.00M,165.00M,-18.00M,-258.00M,,,,-111.00M,,1.205B,-852.00M,,-852.00M,-227.00M,15.00M,235.00M,-1.408B,1.963B,-1.639B,324.00M,,0.00,0.00,-120.00M,-120.00M,11.00M,215.00M,671.00M,12.00M,1.00M,684.00M,,,,-34.00M,0.00,1.517B,61.00M
2012-09,450.00M,,,-21.00M,-34.00M,-43.00M,,625.00M,-102.00M,8.00M,,53.00M,-539.00M,12.00M,606.00M,,,,79.00M,,1.07B,-1.328B,,-1.328B,-806.00M,21.00M,83.00M,-2.03B,0.00,1.289B,1.289B,,0.00,0.00,-120.00M,-120.00M,6.00M,1.175B,452.00M,215.00M,4.00M,671.00M,,,,0.00,0.00,1.14B,51.00M
2012-06,393.00M,,,28.00M,7.00M,63.00M,,580.00M,97.00M,1.00M,,134.00M,189.00M,-25.00M,-663.00M,,,,-499.00M,,769.00M,-1.164B,,-1.164B,,6.00M,-37.00M,-1.195B,-58.00M,550.00M,492.00M,,,,-119.00M,-119.00M,-6.00M,367.00M,513.00M,-59.00M,-2.00M,452.00M,,,,-58.00M,,1.489B,63.00M
2012-03,417.00M,,,-21.00M,-29.00M,-216.00M,,574.00M,-22.00M,262.00M,,34.00M,-296.00M,7.00M,213.00M,,,,-76.00M,,973.00M,-1.017B,,-1.017B,,15.00M,196.00M,-806.00M,-53.00M,0.00,-53.00M,,,,-121.00M,-121.00M,17.00M,-157.00M,493.00M,10.00M,10.00M,513.00M,,,,-53.00M,,828.00M,50.00M
2011-12,2.957B,,,31.00M,36.00M,27.00M,,547.00M,-118.00M,3.00M,,-2.183B,-193.00M,-14.00M,128.00M,,,-113.00M,-192.00M,-7.00M,1.034B,-549.00M,,-549.00M,-4.47B,59.00M,213.00M,-5.056B,-34.00M,0.00,-34.00M,,0.00,0.00,,-105.00M,26.00M,-113.00M,4.633B,-4.135B,-5.00M,493.00M,,,,-34.00M,0.00,,
2011-09,0.00,,,37.00M,6.00M,30.00M,,517.00M,-24.00M,0.00,,452.00M,124.00M,1.00M,-11.00M,,,-9.00M,105.00M,0.00,1.08B,-735.00M,,-735.00M,0.00,,-3.00M,-738.00M,0.00,0.00,0.00,,-300.00M,-300.00M,,-106.00M,3.00M,-403.00M,4.711B,-61.00M,-17.00M,4.633B,,,,0.00,-300.00M,,
2011-06,-1.239B,,,26.00M,8.00M,530.00M,,564.00M,169.00M,307.00M,,970.00M,236.00M,17.00M,11.00M,,,122.00M,386.00M,131.00M,1.818B,-883.00M,-87.00M,-970.00M,,-8.00M,309.00M,-1.04B,-34.00M,0.00,-34.00M,,,,,-178.00M,-1.546B,-1.781B,5.716B,-1.003B,-2.00M,4.711B,,,,-34.00M,,,
2011-03,,,,-47.00M,14.00M,-300.00M,,635.00M,-220.00M,0.00,,1.286B,-158.00M,29.00M,361.00M,,,,232.00M,959.00M,2.592B,-819.00M,87.00M,-732.00M,,8.00M,13.00M,-833.00M,-2.809B,,-2.809B,,,,,-178.00M,50.00M,2.00M,3.951B,1.761B,4.00M,5.716B,,,,-2.809B,,,
2010-12,1.882B,,,22.00M,70.00M,552.00M,,680.00M,-78.00M,8.00M,,-1.722B,-285.00M,-36.00M,94.00M,,,,-227.00M,1.787B,2.882B,-833.00M,,-833.00M,,23.00M,909.00M,-365.00M,-33.00M,,-33.00M,,0.00,0.00,,-178.00M,14.00M,-209.00M,1.643B,2.308B,0.00,3.951B,,,0.00,-33.00M,0.00,,
2010-09,,,,34.00M,-68.00M,-263.00M,,530.00M,-132.00M,0.00,,721.00M,-111.00M,6.00M,393.00M,,,,288.00M,-283.00M,861.00M,-843.00M,,-843.00M,,0.00,-271.00M,-1.114B,0.00,,0.00,,0.00,0.00,,-176.00M,,-176.00M,2.062B,-429.00M,10.00M,1.643B,,,,0.00,0.00,,
2010-06,-457.00M,813.00M,,42.00M,-21.00M,-71.00M,,197.00M,-254.00M,5.00M,,1.229B,180.00M,194.00M,83.00M,,,,457.00M,172.00M,1.278B,-512.00M,-1.342B,-1.854B,,28.00M,694.00M,-1.132B,-618.00M,,-618.00M,,,,,-178.00M,-2.00M,-798.00M,2.718B,-652.00M,-4.00M,2.062B,,,,-618.00M,,,
2010-03,457.00M,-813.00M,,-42.00M,50.00M,-805.00M,,649.00M,-25.00M,434.00M,,119.00M,-193.00M,-235.00M,448.00M,,,,20.00M,,849.00M,-1.348B,1.342B,-6.00M,,7.00M,-11.00M,-10.00M,-2.00M,,-2.00M,,,,,-172.00M,2.00M,-172.00M,2.057B,667.00M,-6.00M,2.718B,,,0.00,-2.00M,,,
2009-12,199.00M,-5.00M,,0.00,43.00M,38.00M,,634.00M,346.00M,1.00M,,73.00M,-391.00M,58.00M,1.028B,,,,695.00M,-26.00M,1.96B,-1.482B,292.00M,-1.19B,,133.00M,-84.00M,-1.072B,-38.00M,,-38.00M,,,,,-169.00M,5.00M,-202.00M,1.37B,686.00M,1.00M,2.057B,,,0.00,-38.00M,,,
2009-09,392.00M,-5.00M,,31.00M,-232.00M,-206.00M,,627.00M,388.00M,3.00M,,-9.00M,-449.00M,-190.00M,692.00M,,,,53.00M,23.00M,1.271B,-1.542B,171.00M,-1.371B,,114.00M,66.00M,-1.26B,-3.00M,,-3.00M,,,,,-170.00M,0.00,-173.00M,1.496B,-162.00M,36.00M,1.37B,,,0.00,-3.00M,,,
2009-06,328.00M,-191.00M,,0.00,35.00M,-156.00M,,683.00M,288.00M,15.00M,,90.00M,-992.00M,-12.00M,922.00M,,,,-82.00M,32.00M,1.198B,-1.621B,382.00M,-1.239B,,-80.00M,-63.00M,-1.348B,-37.00M,,-37.00M,,,,,-170.00M,-1.00M,-208.00M,1.869B,-358.00M,-15.00M,1.496B,,,0.00,-37.00M,,,
2009-03,265.00M,-4.00M,,11.00M,38.00M,45.00M,,660.00M,50.00M,0.00,,45.00M,200.00M,18.00M,-473.00M,,,,-255.00M,29.00M,839.00M,-1.586B,20.00M,-1.566B,,29.00M,13.00M,-1.558B,1.488B,,1.488B,,,,,-170.00M,-11.00M,1.307B,1.285B,588.00M,-4.00M,1.869B,,,1.491B,-3.00M,,,
2008-12,-49.00M,-386.00M,,201.00M,15.00M,-170.00M,,616.00M,-215.00M,,,-407.00M,3.008B,878.00M,-3.127B,,,,759.00M,-1.00M,1.945B,-1.927B,931.00M,-6.058B,,814.00M,-402.00M,-605.00M,-36.00M,-1.288B,-1.324B,,0.00,9.00M,,-170.00M,-10.00M,-1.495B,1.479B,-155.00M,-39.00M,1.285B,,,-1.289B,-35.00M,0.00,,
2008-09,1.948B,-15.00M,,10.00M,43.00M,38.00M,,580.00M,301.00M,,,-498.00M,1.363B,613.00M,-2.596B,,,,-620.00M,103.00M,1.852B,-1.733B,44.00M,44.00M,,-102.00M,202.00M,-1.642B,0.00,308.00M,308.00M,,-107.00M,-107.00M,,-169.00M,4.00M,36.00M,1.27B,246.00M,-37.00M,1.479B,,,308.00M,0.00,-107.00M,,
2008-06,754.00M,-12.00M,,-76.00M,59.00M,-29.00M,,482.00M,-64.00M,,,741.00M,-1.641B,-1.122B,2.92B,,,,157.00M,117.00M,2.158B,-1.792B,21.00M,21.00M,,38.00M,85.00M,-1.701B,-85.00M,22.00M,-63.00M,,-152.00M,-152.00M,,-172.00M,7.00M,-380.00M,1.189B,77.00M,4.00M,1.27B,,,23.00M,-86.00M,-152.00M,,
2008-03,731.00M,-10.00M,,-73.00M,16.00M,-67.00M,,451.00M,72.00M,,,72.00M,-118.00M,-615.00M,271.00M,,,,-462.00M,,797.00M,-1.537B,3.00M,3.00M,,-38.00M,115.00M,-1.457B,2.00M,958.00M,960.00M,,-143.00M,-143.00M,,-170.00M,-1.00M,646.00M,1.199B,-14.00M,4.00M,1.189B,,,2.205B,-1.245B,-143.00M,,
2007-12,668.00M,,,,,33.00M,415.00M,415.00M,-359.00M,,,283.00M,-148.00M,1.354B,1.324B,,,,2.53B,,3.57B,-1.741B,86.00M,-1.655B,-3.889B,-2.00M,53.00M,-5.493B,,,37.00M,4.00M,-22.00M,-18.00M,,-172.00M,4.00M,-149.00M,3.269B,-2.072B,2.00M,1.199B,0.00,4.00M,,,-22.00M,,
2007-09,1.021B,,,,,27.00M,409.00M,409.00M,-110.00M,,,132.00M,-551.00M,-294.00M,-49.00M,,,,-894.00M,,585.00M,-1.026B,3.00M,-1.023B,0.00,-53.00M,195.00M,-881.00M,,,1.421B,5.00M,-24.00M,-19.00M,,-163.00M,-10.00M,1.229B,2.331B,933.00M,5.00M,3.269B,0.00,5.00M,,,-24.00M,,
2007-06,1.55B,,,,,-22.00M,396.00M,396.00M,96.00M,,,32.00M,-612.00M,-786.00M,686.00M,,,,-712.00M,,1.34B,-962.00M,16.00M,-946.00M,-37.00M,5.00M,-39.00M,-1.017B,,,119.00M,13.00M,-324.00M,-311.00M,,-164.00M,15.00M,-341.00M,2.347B,-26.00M,2.00M,2.331B,-8.00M,13.00M,,,-324.00M,,
2007-03,717.00M,,,,,-77.00M,393.00M,393.00M,26.00M,,,7.00M,-27.00M,-364.00M,351.00M,,,,-40.00M,,1.026B,-737.00M,32.00M,-705.00M,,-5.00M,-1.00M,-711.00M,,,-10.00M,5.00M,-452.00M,-447.00M,,-138.00M,40.00M,-555.00M,2.585B,-240.00M,2.00M,2.347B,,5.00M,,,-452.00M,,
2006-12,1.079B,,,,,-54.00M,388.00M,388.00M,82.00M,,,-447.00M,-81.00M,866.00M,-90.00M,,,,695.00M,,1.743B,-1.028B,55.00M,-973.00M,-198.00M,66.00M,2.00M,-1.103B,,,-197.00M,9.00M,-552.00M,-543.00M,,-140.00M,25.00M,-855.00M,2.797B,-214.00M,3.00M,2.585B,1.00M,9.00M,,,-552.00M,,
2006-09,1.623B,,,,,439.00M,361.00M,361.00M,52.00M,,,-614.00M,389.00M,-222.00M,-582.00M,,,,-415.00M,,1.446B,-1.097B,30.00M,-1.067B,0.00,215.00M,-975.00M,-163.00M,,,-1.00M,22.00M,-592.00M,-570.00M,,-142.00M,35.00M,-678.00M,3.026B,-504.00M,-2.00M,2.797B,-1.109B,22.00M,,,-592.00M,,
2006-06,1.748B,,,,,-203.00M,354.00M,354.00M,93.00M,,,30.00M,-641.00M,-411.00M,1.089B,,,,37.00M,,2.059B,-709.00M,11.00M,-698.00M,-16.00M,-87.00M,976.00M,85.00M,,,-1.00M,11.00M,-325.00M,-314.00M,,-144.00M,15.00M,-444.00M,1.269B,1.814B,12.00M,3.026B,114.00M,11.00M,,,-325.00M,,
2006-03,784.00M,,,,,-269.00M,415.00M,415.00M,41.00M,,,,-192.00M,-366.00M,-173.00M,,,,-731.00M,,240.00M,-599.00M,38.00M,-561.00M,-527.00M,87.00M,14.00M,-987.00M,,,-302.00M,8.00M,-229.00M,-221.00M,,-121.00M,40.00M,-604.00M,2.617B,-1.351B,3.00M,1.269B,,8.00M,,,-229.00M,,
2005-12,1.265B,,,,,592.00M,408.00M,408.00M,-128.00M,,,-487.00M,392.00M,306.00M,368.00M,,,147.00M,1.115B,,2.765B,-938.00M,32.00M,-906.00M,0.00,-128.00M,145.00M,-743.00M,,,-286.00M,8.00M,,1.00M,,-122.00M,38.00M,-369.00M,1.043B,1.523B,-6.00M,2.617B,-130.00M,8.00M,,,,,
2005-09,770.00M,,,,,-290.00M,319.00M,319.00M,-47.00M,,,437.00M,-1.206B,187.00M,430.00M,,,-147.00M,-736.00M,,453.00M,-773.00M,36.00M,-737.00M,-9.00M,128.00M,40.00M,-630.00M,,,-2.228B,16.00M,,16.00M,,-120.00M,63.00M,-2.269B,3.462B,-2.408B,1.00M,1.043B,38.00M,16.00M,,,,,
2005-06,673.00M,,,,,487.00M,308.00M,308.00M,-36.00M,,,50.00M,-359.00M,-366.00M,406.00M,,,,-319.00M,,1.163B,-623.00M,27.00M,-596.00M,-497.00M,30.00M,-53.00M,-1.21B,,,588.00M,22.00M,,22.00M,,-97.00M,-233.00M,280.00M,3.191B,325.00M,-9.00M,3.462B,92.00M,22.00M,,,,,
2005-03,324.00M,,,,,119.00M,323.00M,323.00M,3.00M,,,,2.00M,-277.00M,-137.00M,,,,-412.00M,,357.00M,-556.00M,36.00M,-520.00M,,-30.00M,6.00M,-544.00M,,,-2.00M,39.00M,,39.00M,,-97.00M,73.00M,13.00M,3.369B,-174.00M,-4.00M,3.191B,,39.00M,,,,,
