,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,576.00M,,576.00M,1.409B,,1.409B,413.00M,,,2.398B,,,,,53.80B,53.80B,-19.80B,34.00B,29.55B,79.07B,108.62B,1.126B,143.75B,146.15B,622.00M,514.00M,,1.136B,6.654B,7.79B,3.34B,3.34B,,3.34B,472.00M,472.00M,,11.60B,67.61B,,67.61B,17.35B,,17.35B,8.357B,,2.464B,87.42B,99.03B,0.00,4.034B,35.35B,617.00M,-1.00M,38.77B
2017-12,621.00M,,621.00M,1.635B,,1.635B,299.00M,,,2.555B,0.0,,3.901B,48.06B,,51.96B,-18.08B,33.89B,29.55B,79.96B,109.51B,667.00M,144.07B,146.62B,740.00M,556.00M,,1.296B,7.354B,8.65B,2.045B,2.045B,,2.045B,395.00M,395.00M,,11.09B,68.19B,,68.19B,17.31B,,17.31B,8.447B,,2.502B,88.00B,99.09B,0.00,3.832B,35.25B,,-1.00M,39.08B
2017-09,2.164B,,2.164B,1.652B,,1.652B,316.00M,,,4.132B,,,,,49.68B,49.68B,-16.38B,33.30B,29.55B,80.56B,110.11B,686.00M,144.10B,148.23B,572.00M,592.00M,,1.164B,6.782B,7.946B,2.068B,2.068B,,2.068B,405.00M,405.00M,,10.42B,66.06B,,66.06B,26.58B,,26.58B,9.349B,,2.591B,95.23B,105.65B,0.00,1.206B,39.77B,7.748B,-2.00M,33.23B
2017-06,694.00M,,694.00M,1.489B,,1.489B,381.00M,,,2.564B,,,,,47.64B,47.64B,-14.69B,32.95B,29.55B,81.21B,110.76B,686.00M,144.40B,146.96B,584.00M,548.00M,,1.132B,6.627B,7.759B,,,,,364.00M,364.00M,,8.123B,63.25B,,63.25B,26.57B,,26.57B,9.805B,,2.582B,92.40B,100.53B,0.00,1.158B,39.70B,4.223B,-4.00M,36.63B
2017-03,2.92B,,2.92B,1.311B,,1.311B,435.00M,,,4.666B,,,,,45.56B,45.56B,-12.87B,32.70B,29.53B,81.86B,111.38B,694.00M,144.78B,149.44B,522.00M,474.00M,,996.00M,6.155B,7.151B,2.007B,2.007B,,2.007B,362.00M,362.00M,,9.52B,60.84B,,60.84B,26.58B,,26.58B,10.18B,,2.607B,90.02B,99.54B,0.00,1.019B,39.60B,895.00M,-6.00M,39.72B
2016-12,1.535B,,1.535B,1.432B,,1.432B,333.00M,,,3.30B,0.0,,3.426B,40.64B,,44.07B,-11.10B,32.96B,29.51B,82.57B,112.08B,721.00M,145.77B,149.07B,454.00M,538.00M,,992.00M,5.089B,6.081B,2.028B,2.028B,,2.028B,352.00M,352.00M,,9.572B,59.72B,,59.72B,26.66B,,26.66B,10.23B,,2.745B,89.13B,98.70B,0.00,733.00M,39.41B,,-7.00M,40.14B
2016-09,1.165B,,1.165B,1.242B,,1.242B,374.00M,,,2.781B,0.0,,3.338B,39.04B,,42.38B,-9.499B,32.88B,30.16B,82.36B,112.53B,708.00M,146.12B,148.90B,478.00M,,,478.00M,4.813B,5.291B,2.05B,2.05B,,2.05B,346.00M,346.00M,,8.647B,59.95B,,59.95B,26.26B,,26.26B,10.80B,,2.969B,89.18B,97.82B,0.00,1.007B,39.73B,448.00M,-8.00M,40.28B
2016-06,555.00M,,555.00M,1.34B,,1.34B,430.00M,,,2.325B,0.0,,2.662B,38.60B,,41.26B,-7.899B,33.36B,29.69B,83.09B,112.78B,733.00M,146.87B,149.20B,448.00M,,,448.00M,4.912B,5.36B,2.071B,2.071B,,2.071B,391.00M,391.00M,,8.807B,60.13B,,60.13B,26.34B,,26.34B,10.79B,,2.885B,89.36B,98.16B,0.00,818.00M,39.53B,99.00M,-9.00M,40.24B
2016-03,1.278B,,1.278B,253.00M,,253.00M,81.00M,,,1.612B,,,,,15.22B,15.22B,-6.928B,8.294B,1.168B,7.059B,8.227B,22.39B,38.91B,40.52B,140.00M,,,140.00M,1.511B,1.651B,,,,,100.00M,100.00M,,1.925B,37.12B,,37.12B,1.618B,,1.618B,,,76.00M,38.82B,40.74B,0.00,-2.249B,2.057B,16.00M,-11.00M,-219.00M
2015-12,5.00M,,5.00M,279.00M,,279.00M,61.00M,,,345.00M,0.0,,570.00M,14.29B,,14.86B,-6.518B,8.345B,1.168B,7.116B,8.284B,22.34B,38.97B,39.32B,134.00M,128.00M,,262.00M,1.423B,1.685B,,,,,96.00M,96.00M,,1.972B,35.72B,,35.72B,1.59B,,1.59B,0.00,,77.00M,37.39B,39.36B,0.00,-2.061B,2.028B,,-13.00M,-46.00M
2015-09,0.00,,0.00,292.00M,,292.00M,114.00M,,,406.00M,,,,,14.87B,14.87B,-6.592B,8.281B,1.168B,7.179B,8.347B,19.84B,36.47B,36.87B,121.00M,,,121.00M,1.423B,1.544B,,,,,93.00M,93.00M,,1.829B,33.28B,,33.28B,1.616B,,1.616B,,,87.00M,34.98B,36.81B,0.00,-1.911B,2.01B,24.00M,-15.00M,60.00M
2015-06,30.00M,,30.00M,321.00M,,321.00M,105.00M,,,456.00M,,,,,14.44B,14.44B,-6.192B,8.244B,1.168B,7.244B,8.412B,207.00M,16.86B,17.32B,124.00M,,,124.00M,1.22B,1.344B,,,,,89.00M,89.00M,,1.636B,13.90B,,13.90B,1.745B,,1.745B,,,73.00M,15.71B,17.35B,0.00,-1.965B,1.974B,23.00M,-17.00M,-31.00M
2015-03,20.00M,,20.00M,264.00M,,264.00M,106.00M,7.112B,,7.502B,,,,,14.08B,14.08B,-5.80B,8.275B,1.168B,7.309B,8.477B,156.00M,16.91B,24.41B,128.00M,,,128.00M,1.217B,1.345B,,6.983B,,6.983B,89.00M,89.00M,,8.569B,13.98B,,13.98B,1.706B,,1.706B,,,77.00M,15.76B,24.33B,0.00,-1.843B,1.955B,16.00M,-19.00M,77.00M
2014-12,3.00M,,3.00M,285.00M,,285.00M,57.00M,,,345.00M,0.0,,499.00M,13.36B,,13.86B,-5.484B,8.373B,1.168B,7.365B,8.533B,7.137B,24.04B,24.39B,140.00M,,,140.00M,1.241B,1.381B,,,,,85.00M,85.00M,,1.635B,20.89B,,20.89B,1.648B,,1.648B,,,72.00M,22.61B,24.24B,0.00,-1.762B,1.93B,,-22.00M,146.00M
2014-09,10.00M,,10.00M,270.00M,,270.00M,90.00M,,,370.00M,,,,,14.27B,14.27B,-5.968B,8.305B,1.17B,7.43B,8.60B,3.675B,20.58B,20.95B,105.00M,,,105.00M,1.22B,1.325B,,,,,84.00M,84.00M,,1.586B,17.60B,,17.60B,1.61B,,1.61B,,,62.00M,19.27B,20.85B,0.00,-1.703B,1.843B,18.00M,-25.00M,97.00M
2014-06,9.00M,,9.00M,252.00M,,252.00M,76.00M,,,337.00M,,,,,13.76B,13.76B,-5.566B,8.197B,1.17B,7.50B,8.67B,165.00M,17.03B,17.37B,110.00M,,,110.00M,1.233B,1.343B,,,,,86.00M,86.00M,,1.606B,14.02B,,14.02B,1.554B,,1.554B,,,71.00M,15.64B,17.25B,0.00,-1.65B,1.816B,17.00M,-30.00M,119.00M
2014-03,4.00M,,4.00M,217.00M,,217.00M,83.00M,,,304.00M,,,,,13.03B,13.03B,-4.948B,8.079B,1.177B,7.574B,8.751B,163.00M,16.99B,17.30B,125.00M,,,125.00M,1.191B,1.316B,,,,,88.00M,88.00M,,1.523B,14.09B,,14.09B,1.492B,,1.492B,,,65.00M,15.65B,17.17B,0.00,-1.605B,1.778B,11.00M,-35.00M,127.00M
2013-12,21.00M,,21.00M,234.00M,,234.00M,67.00M,,,322.00M,0.0,,425.00M,12.34B,,12.77B,-4.787B,7.981B,1.177B,7.646B,8.823B,169.00M,16.97B,17.30B,91.00M,,,91.00M,1.13B,1.221B,,,,,90.00M,90.00M,,1.467B,14.18B,,14.18B,1.431B,,1.431B,,,65.00M,15.68B,17.14B,0.00,-1.568B,1.76B,,-41.00M,151.00M
2013-09,41.00M,,41.00M,235.00M,,235.00M,81.00M,0.00,,357.00M,,,,,12.51B,12.51B,-4.673B,7.838B,1.159B,7.722B,8.881B,174.00M,16.89B,17.25B,81.00M,,,81.00M,1.068B,1.149B,,,,,90.00M,90.00M,,1.382B,14.31B,,14.31B,1.432B,,1.432B,,,69.00M,15.81B,17.19B,0.00,-1.60B,1.72B,11.00M,-48.00M,61.00M
2013-06,44.00M,,44.00M,223.00M,,223.00M,66.00M,0.00,,333.00M,,,,,11.62B,11.62B,-4.303B,7.313B,953.00M,6.824B,7.777B,166.00M,15.26B,15.59B,86.00M,,,86.00M,978.00M,1.064B,,,,,84.00M,84.00M,,1.28B,12.81B,,12.81B,1.374B,,1.374B,,,62.00M,14.25B,15.53B,0.00,-1.53B,1.657B,10.00M,-56.00M,61.00M
2013-03,65.00M,,65.00M,208.00M,,208.00M,74.00M,27.00M,,374.00M,,,,,11.23B,11.23B,-3.968B,7.259B,953.00M,6.887B,7.84B,166.00M,15.26B,15.64B,89.00M,,,89.00M,1.015B,1.104B,,,,,81.00M,81.00M,,1.29B,12.82B,,12.82B,1.279B,,1.279B,,,125.00M,14.22B,15.51B,0.00,-1.434B,1.632B,5.00M,-64.00M,129.00M
2012-12,7.00M,,7.00M,234.00M,,234.00M,62.00M,27.00M,,330.00M,0.0,,342.00M,10.43B,,10.77B,-3.563B,7.206B,953.00M,6.945B,7.898B,162.00M,15.27B,15.60B,107.00M,,,107.00M,891.00M,998.00M,,,,,81.00M,81.00M,,1.224B,12.81B,,12.81B,1.321B,,1.321B,,,94.00M,14.22B,15.45B,0.00,-1.392B,1.616B,,-75.00M,149.00M
2012-09,868.00M,,868.00M,254.00M,,254.00M,80.00M,27.00M,,1.229B,,,,,,10.48B,-3.32B,7.159B,953.00M,6.779B,7.732B,377.00M,15.27B,16.50B,157.00M,,,157.00M,1.089B,1.246B,,870.00M,,870.00M,,,,2.116B,12.82B,,12.82B,1.054B,,1.054B,,,334.00M,14.21B,16.32B,0.00,-1.348B,1.605B,1.00M,-83.00M,173.00M
2012-06,5.00M,,5.00M,256.00M,,256.00M,79.00M,27.00M,,367.00M,,,,,,10.02B,-2.996B,7.024B,953.00M,6.849B,7.802B,360.00M,15.19B,15.55B,155.00M,,,155.00M,1.039B,1.194B,,,,,,,,1.194B,12.79B,,12.79B,987.00M,,987.00M,,,342.00M,14.12B,15.31B,0.00,-1.261B,1.582B,1.00M,-76.00M,244.00M
2012-03,4.00M,,4.00M,231.00M,,231.00M,76.00M,27.00M,,338.00M,,,,,,9.588B,-2.682B,6.906B,954.00M,6.925B,7.879B,396.00M,15.18B,15.52B,161.00M,,,161.00M,979.00M,1.14B,,,,,,,,1.14B,12.80B,,12.80B,917.00M,,917.00M,,,334.00M,14.05B,15.19B,0.00,-1.178B,1.568B,0.00,-64.00M,326.00M
2011-12,2.00M,,2.00M,268.00M,,268.00M,60.00M,27.00M,,357.00M,0.0,,318.00M,8.943B,,9.261B,-2.364B,6.897B,954.00M,7.213B,8.167B,180.00M,15.24B,15.60B,80.00M,,,80.00M,881.00M,961.00M,,,,,73.00M,73.00M,,1.157B,12.86B,,12.86B,847.00M,,847.00M,,,332.00M,14.04B,15.19B,0.00,-1.082B,1.556B,,-65.00M,409.00M
2011-09,5.00M,,5.00M,253.00M,,253.00M,50.00M,27.00M,,335.00M,,,,,,,,6.903B,954.00M,7.066B,8.02B,380.00M,15.30B,15.64B,167.00M,,,167.00M,914.00M,1.081B,,,,,,,,1.081B,12.58B,,12.58B,,,,,,1.112B,13.69B,14.77B,0.00,-537.00M,1.807B,329.00M,-77.00M,864.00M
2011-06,166.00M,,166.00M,243.00M,,243.00M,53.00M,28.00M,,490.00M,,,,,,,,6.879B,951.00M,7.103B,8.054B,386.00M,15.32B,15.81B,155.00M,,,155.00M,932.00M,1.087B,,,,,,,,1.087B,12.62B,,12.62B,,,,,,1.038B,13.66B,14.74B,0.00,-452.00M,1.795B,213.00M,-66.00M,1.064B
2011-03,26.00M,,26.00M,223.00M,,223.00M,56.00M,28.00M,,333.00M,,,,,,,,6.87B,951.00M,7.18B,8.131B,371.00M,15.37B,15.70B,166.00M,,,166.00M,862.00M,1.028B,,,,,,,,1.028B,12.55B,,12.55B,,,,,,941.00M,13.50B,14.52B,0.00,-345.00M,1.786B,213.00M,-46.00M,1.182B
2010-12,4.00M,,4.00M,247.00M,,247.00M,47.00M,28.00M,,326.00M,0.0,,306.00M,7.703B,,8.009B,-1.19B,6.819B,951.00M,7.257B,8.208B,354.00M,15.38B,15.71B,168.00M,,,168.00M,881.00M,1.049B,,,,,,,,1.049B,12.31B,,12.31B,,,,0.00,,874.00M,13.18B,14.23B,0.00,-235.00M,1.776B,6.00M,-57.00M,1.478B
2010-09,655.00M,,655.00M,241.00M,20.00M,241.00M,96.00M,27.00M,,1.019B,,,,,,,,6.867B,951.00M,7.338B,8.289B,360.00M,15.52B,16.54B,148.00M,,,148.00M,867.00M,1.015B,,589.00M,,589.00M,,,,1.604B,12.58B,,12.58B,,,,0.00,,823.00M,13.41B,15.01B,0.00,-150.00M,1.757B,,-84.00M,1.523B
2010-06,40.00M,,40.00M,249.00M,,249.00M,57.00M,27.00M,,373.00M,,,,,,,,6.902B,951.00M,7.436B,8.387B,345.00M,15.63B,16.01B,136.00M,,,136.00M,878.00M,1.014B,,,,,,,,1.014B,12.66B,,12.66B,,,,0.00,12.00M,692.00M,13.36B,14.38B,0.00,-55.00M,1.737B,,-50.00M,1.632B
2010-03,221.00M,,221.00M,223.00M,,223.00M,69.00M,33.00M,,546.00M,,,,,,,,6.859B,951.00M,7.523B,8.474B,320.00M,15.65B,16.20B,132.00M,,,132.00M,826.00M,958.00M,,,,,,,,958.00M,12.76B,,12.76B,,,,0.00,6.00M,710.00M,13.48B,14.44B,0.00,26.00M,1.737B,,,1.763B
2009-12,709.00M,,709.00M,248.00M,,248.00M,69.00M,45.00M,,1.071B,0.0,,302.00M,6.625B,,6.927B,-94.00M,6.833B,951.00M,7.607B,8.558B,196.00M,15.59B,16.66B,113.00M,,,113.00M,683.00M,796.00M,,70.00M,,70.00M,,,,968.00M,13.25B,,13.25B,,,,2.00M,,521.00M,13.77B,14.74B,0.00,2.00M,1.913B,,,1.915B
2009-09,1.075B,,1.075B,211.00M,,211.00M,73.00M,,,1.359B,,,,,,,,4.822B,,,4.52B,204.00M,9.546B,10.90B,95.00M,,495.00M,590.00M,868.00M,1.458B,,11.74B,,11.74B,,,,13.20B,,,,,0.0,0.00,-1.53B,234.00M,10.84B,11.07B,24.27B,0.00,-16.95B,5.399B,,-284.00M,-11.83B
2009-06,992.00M,,992.00M,215.00M,,215.00M,80.00M,,,1.287B,,,,,,,,4.871B,,,7.377B,205.00M,12.45B,13.74B,102.00M,,497.00M,599.00M,789.00M,1.388B,,11.76B,,11.76B,,,,13.14B,,,,,0.0,0.00,-176.00M,259.00M,11.32B,11.58B,24.73B,0.00,-15.91B,5.398B,,-297.00M,-10.81B
2009-03,836.00M,,836.00M,188.00M,,188.00M,114.00M,,,1.138B,,,,,,,,4.927B,,,7.377B,208.00M,12.51B,13.65B,101.00M,,,101.00M,1.221B,1.322B,,11.77B,,11.77B,,,,13.10B,,,,,0.0,0.00,-137.00M,252.00M,11.15B,11.40B,24.50B,0.00,-15.80B,5.396B,,-308.00M,-10.71B
2008-12,960.00M,,960.00M,222.00M,,222.00M,36.00M,,,1.218B,0.0,,497.00M,11.72B,,12.21B,-7.225B,4.987B,68.00M,7.393B,7.461B,216.00M,12.66B,13.88B,99.00M,,,99.00M,1.087B,1.186B,,155.00M,,155.00M,,,,1.465B,21.59B,,21.59B,,,,,,1.323B,22.92B,24.39B,0.00,-15.60B,5.394B,,-303.00M,-10.51B
2008-09,569.00M,,569.00M,246.00M,,246.00M,45.00M,,,860.00M,,,,,,11.52B,-6.462B,5.062B,,8.933B,8.933B,302.00M,14.30B,15.16B,106.00M,,,106.00M,1.359B,1.465B,,,,,,,,1.465B,21.10B,,21.10B,,,,204.00M,,1.219B,22.32B,23.79B,0.00,-14.05B,5.342B,,-124.00M,-8.834B
2008-06,63.00M,13.00M,76.00M,250.00M,,250.00M,35.00M,,,361.00M,,,,,,11.57B,-6.462B,5.106B,,8.935B,8.935B,308.00M,14.35B,14.71B,88.00M,,,88.00M,1.205B,1.293B,,,,,,,,1.293B,20.55B,,20.55B,,,,203.00M,5.00M,1.164B,21.72B,23.01B,0.00,-13.73B,5.331B,,-105.00M,-8.504B
2008-03,467.00M,74.00M,541.00M,207.00M,,207.00M,38.00M,,,786.00M,,,,,,11.58B,-6.462B,5.114B,,8.941B,8.941B,316.00M,14.37B,15.16B,129.00M,,,129.00M,1.279B,1.408B,,,,,,,,1.408B,20.64B,,20.64B,,,,201.00M,5.00M,1.251B,21.90B,23.31B,0.00,-13.45B,5.331B,,-227.00M,-8.35B
2007-12,75.00M,,75.00M,225.00M,,225.00M,36.00M,,,336.00M,0.0,,483.00M,4.385B,6.697B,11.56B,-6.462B,5.103B,,8.942B,8.942B,285.00M,14.33B,14.67B,127.00M,,,127.00M,1.205B,1.332B,,,,,,,,1.332B,19.97B,,19.97B,,,,199.00M,5.00M,1.049B,21.03B,22.36B,0.00,-13.10B,5.327B,,-123.00M,-7.892B
2007-09,59.00M,,59.00M,223.00M,,223.00M,62.00M,,,344.00M,,,,,,13.72B,-8.608B,5.108B,,9.144B,9.144B,323.00M,14.58B,14.92B,124.00M,,,124.00M,1.286B,1.41B,,,,,,,,1.41B,19.75B,,19.75B,,,,196.00M,5.00M,888.00M,20.65B,22.06B,0.00,-12.64B,5.328B,,-25.00M,-7.334B
2007-06,81.00M,,81.00M,224.00M,,224.00M,58.00M,,,363.00M,,,,,,13.40B,-8.283B,5.121B,,9.201B,9.201B,366.00M,14.69B,15.05B,100.00M,,,100.00M,1.158B,1.258B,,,,,,,,1.258B,19.64B,,19.64B,,,,195.00M,4.00M,806.00M,20.45B,21.70B,0.00,-12.22B,5.324B,,48.00M,-6.849B
2007-03,205.00M,,205.00M,158.00M,,158.00M,86.00M,,,449.00M,,,,,,13.15B,-7.968B,5.178B,,9.218B,9.218B,332.00M,14.73B,15.18B,155.00M,,,155.00M,1.309B,1.464B,,,,,,,,1.464B,19.34B,,19.34B,,,,194.00M,4.00M,723.00M,20.06B,21.53B,0.00,-11.86B,5.32B,,-2.00M,-6.543B
2006-12,60.00M,,60.00M,195.00M,,195.00M,84.00M,,,339.00M,0.0,,498.00M,4.079B,6.415B,10.99B,-5.775B,5.217B,,9.223B,9.223B,321.00M,14.76B,15.10B,92.00M,,,92.00M,1.206B,1.298B,,,,,,,,1.298B,19.12B,,19.12B,,,,192.00M,4.00M,706.00M,19.83B,21.13B,0.00,-11.54B,5.313B,,4.00M,-6.219B
2006-09,85.00M,,85.00M,186.00M,,186.00M,90.00M,,,361.00M,,,,,,12.01B,-6.749B,5.263B,,9.221B,9.221B,353.00M,14.84B,15.20B,85.00M,,,85.00M,1.275B,1.36B,,,,,,,,1.36B,18.85B,,18.85B,,,,191.00M,4.00M,616.00M,19.47B,20.83B,0.00,-11.14B,5.309B,,4.00M,-5.827B
2006-06,56.00M,,56.00M,180.00M,,180.00M,84.00M,,768.00M,1.088B,,,,,,12.45B,-7.054B,5.392B,,9.28B,9.28B,385.00M,15.06B,16.14B,1.22B,,,1.22B,,1.22B,,,,,,,20.00M,1.24B,19.91B,,19.91B,,,,189.00M,4.00M,561.00M,20.48B,21.72B,0.00,-11.01B,5.24B,,5.00M,-5.762B
2006-03,40.00M,,40.00M,149.00M,,149.00M,87.00M,,754.00M,1.03B,,,,,,12.54B,-7.098B,5.44B,,9.287B,9.287B,446.00M,15.17B,16.20B,1.285B,,,1.285B,,1.285B,,,,,,,19.00M,1.304B,19.57B,,19.57B,,,,188.00M,4.00M,517.00M,20.09B,21.40B,0.00,-10.62B,5.238B,,4.00M,-5.383B
2005-12,21.00M,,21.00M,214.00M,,214.00M,92.00M,,,327.00M,0.0,,584.00M,12.00B,,12.59B,-6.749B,5.84B,,9.826B,9.826B,438.00M,16.10B,16.43B,1.191B,,,1.191B,,1.191B,,,,,,,,1.191B,19.44B,,19.44B,,,,188.00M,4.00M,531.00M,19.97B,21.16B,0.00,-10.17B,5.241B,,5.00M,-4.92B
2005-09,22.00M,,22.00M,188.00M,,188.00M,80.00M,,,290.00M,,,,,,12.33B,-6.393B,5.936B,,9.83B,9.83B,468.00M,16.23B,16.52B,1.172B,,,1.172B,,1.172B,,,,,,,,1.172B,19.12B,,19.12B,,,,665.00M,55.00M,518.00M,19.69B,20.86B,0.00,-9.83B,4.821B,,3.00M,-5.006B
