,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,730.00M,-516.00M,,,-95.00M,42.00M,-569.00M,325.00M,325.00M,157.00M,,36.00M,-144.00M,21.00M,-23.00M,,,14.00M,-132.00M,,663.00M,2018-03,-489.00M,1.00M,1.00M,1.00M,,-2.00M,-489.00M,,189.00M,-17.00M,172.00M,,-31.00M,-31.00M,,,,-197.00M,-197.00M,,,2018-03,1.018B,118.00M,1.141B,,2018-03,,,223.00M,-34.00M,,2018-03,AOR,Restated
2017-12,1.46B,0.00,,,-64.00M,480.00M,416.00M,348.00M,348.00M,-1.408B,0.00,203.00M,-77.00M,-17.00M,121.00M,,,138.00M,165.00M,,1.188B,2017-12,-456.00M,4.00M,4.00M,0.00,,69.00M,-383.00M,,-514.00M,21.00M,-493.00M,,-1.00M,-1.00M,,,,-196.00M,-196.00M,-89.00M,,2017-12,998.00M,26.00M,1.018B,,2017-12,,,541.00M,-1.055B,,2017-12,AOR,Restated
2017-09,395.00M,0.00,,,-45.00M,-1.171B,-1.216B,373.00M,373.00M,-9.00M,0.00,-335.00M,-63.00M,-91.00M,105.00M,,,130.00M,81.00M,,-709.00M,2017-09,-271.00M,5.00M,5.00M,3.00M,,-15.00M,-278.00M,,1.113B,11.00M,1.124B,,0.00,0.00,,,,-191.00M,-191.00M,-3.00M,,2017-09,1.041B,-53.00M,998.00M,,2017-09,4.00M,,1.234B,-121.00M,,2017-09,AOR,Restated
2017-06,80.00M,9.00M,,,-20.00M,80.00M,69.00M,357.00M,357.00M,297.00M,0.00,366.00M,-173.00M,36.00M,-115.00M,,,-272.00M,-524.00M,,645.00M,2017-06,-290.00M,16.00M,16.00M,-44.00M,,-12.00M,-330.00M,,-75.00M,0.00,-75.00M,,0.00,0.00,,,,-191.00M,-191.00M,,,2017-06,998.00M,45.00M,1.041B,,2017-06,-4.00M,,-54.00M,-21.00M,,2017-06,AOR,Restated
2017-03,209.00M,0.00,,,-48.00M,78.00M,30.00M,345.00M,345.00M,7.00M,-6.00M,45.00M,-57.00M,-15.00M,4.00M,,,-56.00M,-124.00M,,633.00M,2017-03,-374.00M,1.00M,1.00M,0.00,,-27.00M,-400.00M,,-41.00M,-6.00M,-47.00M,,-46.00M,-46.00M,,,,-191.00M,-191.00M,,,2017-03,1.033B,-51.00M,998.00M,,2017-03,,,186.00M,-227.00M,,2017-03,AOR,Restated
2016-12,219.00M,0.00,,,-47.00M,91.00M,44.00M,328.00M,328.00M,91.00M,0.00,39.00M,-11.00M,17.00M,152.00M,,,33.00M,191.00M,,912.00M,2016-12,-445.00M,6.00M,6.00M,-2.169B,,81.00M,-2.527B,,300.00M,5.00M,305.00M,,0.00,0.00,,,,-190.00M,-190.00M,-11.00M,,2016-12,2.562B,-1.511B,1.033B,,2016-12,,,383.00M,-83.00M,,2016-12,AOR,Restated
2016-09,309.00M,5.00M,,,-43.00M,-406.00M,-444.00M,314.00M,314.00M,23.00M,0.00,48.00M,3.00M,-54.00M,50.00M,,,92.00M,91.00M,,341.00M,2016-09,-266.00M,2.00M,2.00M,9.00M,,-24.00M,-279.00M,,1.458B,-11.00M,1.447B,,0.00,0.00,,,,-181.00M,-181.00M,-34.00M,,2016-09,1.254B,1.294B,2.562B,,2016-09,,,2.243B,-785.00M,,2016-09,AOR,Restated
2016-06,40.00M,28.00M,,,-45.00M,283.00M,266.00M,301.00M,301.00M,59.00M,0.00,38.00M,-79.00M,57.00M,-69.00M,,,-66.00M,-157.00M,,605.00M,2016-06,-328.00M,3.00M,3.00M,40.00M,,-43.00M,-328.00M,,-11.00M,3.00M,-8.00M,,-1.00M,-1.00M,,,,-181.00M,-181.00M,,,2016-06,1.155B,99.00M,1.254B,,2016-06,12.00M,,737.00M,-748.00M,,2016-06,AOR,Restated
2016-03,334.00M,37.00M,,,-63.00M,91.00M,65.00M,284.00M,284.00M,-37.00M,0.00,28.00M,-7.00M,-9.00M,6.00M,,,-44.00M,-54.00M,,620.00M,2016-03,-309.00M,8.00M,8.00M,,,-63.00M,-364.00M,,145.00M,3.00M,148.00M,,-131.00M,-131.00M,,,,-181.00M,-181.00M,,,2016-03,1.05B,80.00M,1.155B,,2016-03,-12.00M,,467.00M,-322.00M,,2016-03,AOR,Restated
2015-12,178.00M,-12.00M,,,-33.00M,111.00M,66.00M,314.00M,314.00M,180.00M,,19.00M,173.00M,90.00M,-207.00M,,,5.00M,61.00M,,990.00M,2015-12,-489.00M,5.00M,5.00M,23.00M,,-79.00M,-540.00M,,-312.00M,-29.00M,-341.00M,0.00,-100.00M,-100.00M,,,,-182.00M,-182.00M,-14.00M,,2015-12,1.104B,-44.00M,1.05B,,2015-12,143.00M,0.00,4.433B,-4.745B,,2015-12,AOR,Restated
2015-09,210.00M,186.00M,,,13.00M,126.00M,325.00M,329.00M,329.00M,65.00M,,47.00M,-33.00M,-162.00M,40.00M,,,16.00M,-139.00M,,837.00M,2015-09,-325.00M,13.00M,13.00M,-198.00M,,49.00M,-461.00M,,-351.00M,-4.00M,-355.00M,0.00,-152.00M,-152.00M,,,,-166.00M,-166.00M,0.00,,2015-09,1.59B,-440.00M,1.104B,,2015-09,-143.00M,0.00,357.00M,-708.00M,,2015-09,AOR,Restated
2015-06,218.00M,0.00,,,-62.00M,-648.00M,-710.00M,328.00M,328.00M,39.00M,,228.00M,-57.00M,22.00M,56.00M,,,-9.00M,12.00M,,115.00M,2015-06,-354.00M,10.00M,10.00M,0.00,,-17.00M,-361.00M,,829.00M,19.00M,848.00M,0.00,-214.00M,-214.00M,,,,-168.00M,-168.00M,-211.00M,,2015-06,1.576B,9.00M,1.59B,,2015-06,,0.00,2.043B,-1.214B,,2015-06,AOR,Restated
2015-03,311.00M,0.00,,,-35.00M,122.00M,87.00M,323.00M,323.00M,-3.00M,,76.00M,-76.00M,-81.00M,5.00M,,,-4.00M,-156.00M,,638.00M,2015-03,-319.00M,9.00M,9.00M,,,-67.00M,-377.00M,,-240.00M,0.00,-240.00M,2.00M,-139.00M,-137.00M,,,,-169.00M,-169.00M,,,2015-03,1.881B,-285.00M,1.576B,,2015-03,0.00,2.00M,40.00M,-280.00M,,2015-03,AOR,Restated
2014-12,128.00M,,,,136.00M,97.00M,271.00M,346.00M,346.00M,4.00M,100.00M,117.00M,117.00M,15.00M,-3.00M,,,49.00M,178.00M,,1.144B,2014-12,-405.00M,12.00M,12.00M,26.00M,,65.00M,-302.00M,,-321.00M,10.00M,-311.00M,7.00M,-171.00M,-164.00M,,,,-169.00M,-169.00M,0.00,,2014-12,1.718B,198.00M,1.881B,,2014-12,,7.00M,12.00M,-333.00M,,2014-12,AOR,Restated
2014-09,349.00M,,,,72.00M,6.00M,78.00M,357.00M,357.00M,23.00M,0.00,108.00M,-7.00M,-126.00M,47.00M,,,104.00M,18.00M,,933.00M,2014-09,-327.00M,21.00M,21.00M,385.00M,,65.00M,144.00M,,-277.00M,-3.00M,-280.00M,19.00M,-206.00M,-187.00M,,,,-149.00M,-149.00M,-13.00M,,2014-09,1.293B,448.00M,1.718B,,2014-09,0.00,19.00M,50.00M,-327.00M,,2014-09,AOR,Restated
2014-06,158.00M,,,,-41.00M,-101.00M,-142.00M,359.00M,359.00M,-18.00M,,300.00M,-37.00M,11.00M,-26.00M,,,-76.00M,-128.00M,,529.00M,2014-06,-357.00M,28.00M,28.00M,,,-3.00M,-332.00M,,541.00M,7.00M,548.00M,22.00M,-297.00M,-275.00M,,,,-149.00M,-149.00M,-374.00M,,2014-06,1.341B,-53.00M,1.293B,,2014-06,,22.00M,1.813B,-1.272B,,2014-06,AOR,Restated
2014-03,-99.00M,,,,33.00M,32.00M,65.00M,352.00M,352.00M,-144.00M,,523.00M,-170.00M,-3.00M,-54.00M,,,1.00M,-226.00M,,471.00M,2014-03,-277.00M,0.00,0.00,,,-93.00M,-370.00M,,-56.00M,16.00M,-40.00M,18.00M,-388.00M,-370.00M,,,,-153.00M,-153.00M,,,2014-03,1.802B,-462.00M,1.341B,,2014-03,,18.00M,107.00M,-163.00M,,2014-03,AOR,Restated
2013-12,430.00M,2.00M,,,9.00M,132.00M,143.00M,371.00M,371.00M,-684.00M,527.00M,151.00M,223.00M,7.00M,-149.00M,,,18.00M,99.00M,,1.037B,2013-12,-439.00M,-11.00M,-11.00M,-5.00M,,117.00M,-338.00M,,-179.00M,-58.00M,-237.00M,10.00M,-442.00M,-432.00M,,,,-154.00M,-154.00M,-15.00M,,2013-12,1.946B,-139.00M,1.802B,,2013-12,,10.00M,29.00M,-208.00M,,2013-12,AOR,Restated
2013-09,426.00M,1.00M,,,-16.00M,134.00M,119.00M,401.00M,401.00M,19.00M,0.00,-22.00M,-23.00M,-89.00M,-79.00M,,,0.00,-191.00M,-40.00M,712.00M,2013-09,-271.00M,76.00M,76.00M,727.00M,,29.00M,564.00M,,-433.00M,14.00M,-419.00M,45.00M,-19.00M,26.00M,,,,-134.00M,-134.00M,-16.00M,,2013-09,1.205B,733.00M,1.946B,,2013-09,,45.00M,44.00M,-477.00M,,2013-09,AOR,Restated
2013-06,233.00M,,,,36.00M,108.00M,144.00M,396.00M,396.00M,32.00M,-13.00M,44.00M,-112.00M,15.00M,21.00M,,,-37.00M,-113.00M,25.00M,748.00M,2013-06,-272.00M,0.00,0.00,4.00M,,6.00M,-263.00M,,-79.00M,-36.00M,-115.00M,52.00M,0.00,52.00M,,,,-134.00M,-134.00M,-4.00M,,2013-06,934.00M,284.00M,1.205B,,2013-06,,52.00M,2.00M,-81.00M,,2013-06,AOR,Restated
2013-03,289.00M,,,,10.00M,140.00M,150.00M,379.00M,379.00M,4.00M,,-25.00M,-222.00M,-47.00M,40.00M,,,-52.00M,-281.00M,15.00M,531.00M,2013-03,-216.00M,,,-505.00M,,-67.00M,-790.00M,,87.00M,-43.00M,44.00M,191.00M,-51.00M,140.00M,,,,-132.00M,-132.00M,-158.00M,,2013-03,1.302B,-365.00M,934.00M,,2013-03,,191.00M,166.00M,-79.00M,,2013-03,AOR,Restated
2012-12,267.00M,-3.00M,,,-9.00M,86.00M,74.00M,375.00M,375.00M,12.00M,0.00,49.00M,151.00M,-51.00M,-183.00M,,,-1.00M,-84.00M,20.00M,713.00M,2012-12,-382.00M,0.00,0.00,0.00,,-55.00M,-376.00M,,-285.00M,63.00M,-222.00M,48.00M,0.00,48.00M,,,,-132.00M,-132.00M,-9.00M,,2012-12,1.275B,22.00M,1.302B,,2012-12,,48.00M,80.00M,-365.00M,,2012-12,AOR,Restated
2012-09,224.00M,18.00M,,,-34.00M,86.00M,70.00M,383.00M,383.00M,82.00M,0.00,-17.00M,-50.00M,-10.00M,163.00M,,,18.00M,121.00M,16.00M,879.00M,2012-09,-296.00M,0.00,0.00,424.00M,,-22.00M,98.00M,,-855.00M,-6.00M,-861.00M,39.00M,0.00,39.00M,,,,-115.00M,-115.00M,-1.00M,,2012-09,1.228B,39.00M,1.275B,,2012-09,,39.00M,133.00M,-988.00M,,2012-09,AOR,Restated
2012-06,121.00M,78.00M,,,26.00M,43.00M,147.00M,366.00M,366.00M,29.00M,0.00,2.00M,163.00M,-6.00M,-38.00M,,,-6.00M,113.00M,16.00M,794.00M,2012-06,-420.00M,,,0.00,,-2.00M,-426.00M,,-294.00M,29.00M,-265.00M,0.00,0.00,0.00,,,,-114.00M,-114.00M,-11.00M,,2012-06,1.288B,-22.00M,1.228B,,2012-06,,0.00,325.00M,-619.00M,,2012-06,AOR,Restated
2012-03,187.00M,-7.00M,,,-44.00M,83.00M,32.00M,362.00M,362.00M,81.00M,,37.00M,113.00M,39.00M,-185.00M,,,-33.00M,-66.00M,-52.00M,581.00M,2012-03,-285.00M,,,-3.729B,,-91.00M,-4.154B,,1.078B,-75.00M,1.003B,21.00M,-35.00M,-14.00M,,,,-115.00M,-115.00M,-26.00M,,2012-03,3.994B,-2.725B,1.288B,,2012-03,,21.00M,1.594B,-516.00M,,2012-03,AOR,Restated
2011-12,285.00M,-1.00M,,,-23.00M,-251.00M,-359.00M,,321.00M,282.00M,,138.00M,374.00M,29.00M,-439.00M,,,6.00M,-30.00M,0.00,637.00M,2011-12,-434.00M,,,-237.00M,,77.00M,-594.00M,,1.361B,-2.00M,1.359B,0.00,0.00,0.00,,,,,-115.00M,-12.00M,,2011-12,2.722B,1.275B,3.994B,,2011-12,,0.00,1.594B,-233.00M,,2011-12,AOR,Restated
2011-09,465.00M,82.00M,,,0.00,49.00M,180.00M,,335.00M,33.00M,,51.00M,-64.00M,-81.00M,-64.00M,,,21.00M,-188.00M,0.00,876.00M,2011-09,-315.00M,,,-37.00M,,11.00M,-341.00M,,-28.00M,-12.00M,-40.00M,0.00,0.00,0.00,,,,,-115.00M,26.00M,,2011-09,2.399B,406.00M,2.722B,,2011-09,,0.00,-55.00M,27.00M,,2011-09,AOR,Restated
2011-06,227.00M,129.00M,,,-52.00M,52.00M,119.00M,,336.00M,4.00M,,22.00M,-73.00M,-11.00M,64.00M,,,-40.00M,-60.00M,0.00,648.00M,2011-06,-229.00M,,,0.00,,-16.00M,-245.00M,,19.00M,18.00M,37.00M,0.00,-1.00M,-1.00M,,,,,-115.00M,-2.00M,,2011-06,2.049B,322.00M,2.399B,,2011-06,,0.00,178.00M,-159.00M,,2011-06,AOR,Restated
2011-03,310.00M,8.00M,,,-65.00M,45.00M,33.00M,,340.00M,-2.00M,,60.00M,-365.00M,7.00M,56.00M,,,75.00M,-227.00M,0.00,514.00M,2011-03,-181.00M,,,-55.00M,,-71.00M,-307.00M,,-103.00M,-33.00M,-136.00M,0.00,-29.00M,-29.00M,,,,,-82.00M,-33.00M,,2011-03,2.073B,-73.00M,2.049B,,2011-03,,0.00,49.00M,-152.00M,,2011-03,AOR,Restated
2010-12,366.00M,-23.00M,,,-84.00M,57.00M,-266.00M,,360.00M,25.00M,,325.00M,228.00M,-5.00M,-224.00M,,,235.00M,234.00M,,1.044B,2010-12,-318.00M,,,0.00,,95.00M,-223.00M,,-55.00M,-42.00M,-97.00M,,0.00,0.00,,,,,-55.00M,-18.00M,,2010-12,1.429B,651.00M,2.073B,,2010-12,,,16.00M,-71.00M,,2010-12,AOR,Restated
2010-09,399.00M,0.00,,,-22.00M,-1.092B,-1.114B,,362.00M,335.00M,,161.00M,-231.00M,-70.00M,140.00M,,,-195.00M,-356.00M,,-213.00M,2010-09,-184.00M,,,3.00M,,30.00M,-151.00M,,-185.00M,115.00M,-70.00M,,0.00,0.00,,,,,-54.00M,-2.00M,,2010-09,1.871B,-490.00M,1.429B,,2010-09,,,11.00M,-196.00M,,2010-09,AOR,Restated
2010-06,100.00M,0.00,,,-7.00M,57.00M,194.00M,,363.00M,-14.00M,,29.00M,-118.00M,-60.00M,7.00M,,,140.00M,-31.00M,,641.00M,2010-06,-153.00M,,,-155.00M,,-1.00M,-309.00M,,-61.00M,-8.00M,-69.00M,,0.00,0.00,,,,,-55.00M,-19.00M,,2010-06,1.749B,189.00M,1.871B,,2010-06,,,128.00M,-189.00M,,2010-06,AOR,Restated
2010-03,-153.00M,,,,2.00M,59.00M,276.00M,,371.00M,76.00M,,-106.00M,-206.00M,-51.00M,28.00M,,,-76.00M,-305.00M,,159.00M,2010-03,-120.00M,,,0.00,,-31.00M,-151.00M,,-82.00M,-27.00M,-109.00M,,-26.00M,-26.00M,,,,,-11.00M,-3.00M,,2010-03,1.892B,-141.00M,1.749B,,2010-03,,,38.00M,-120.00M,,2010-03,AOR,Restated
2009-12,-97.00M,,,,-10.00M,53.00M,1.056B,-1.088B,384.00M,-425.00M,,373.00M,138.00M,54.00M,-312.00M,,,-86.00M,-206.00M,,1.085B,2009-12,-167.00M,,,0.00,,17.00M,-150.00M,,-668.00M,25.00M,-643.00M,,0.00,0.00,,,,,-11.00M,-44.00M,,2009-12,1.652B,237.00M,1.892B,,2009-12,,,739.00M,-1.407B,,2009-12,AOR,Restated
2009-09,377.00M,,,,0.00,53.00M,204.00M,1.088B,378.00M,46.00M,,-40.00M,271.00M,-48.00M,180.00M,,,13.00M,416.00M,,1.381B,2009-09,-108.00M,,,-9.00M,,0.00,-117.00M,,-1.28B,67.00M,-1.213B,,0.00,0.00,,,,,-11.00M,-78.00M,,2009-09,1.654B,-38.00M,1.652B,,2009-09,,,1.014B,-2.222B,,2009-09,AOR,Restated
2009-06,140.00M,,,,32.00M,46.00M,205.00M,,367.00M,539.00M,,174.00M,-17.00M,164.00M,-162.00M,,,-15.00M,-30.00M,,1.395B,2009-06,-131.00M,,,0.00,,-2.00M,-133.00M,,-591.00M,8.00M,-583.00M,,0.00,0.00,,,,,-10.00M,-24.00M,,2009-06,955.00M,645.00M,1.654B,,2009-06,,,990.00M,-1.573B,,2009-06,AOR,Restated
2009-03,261.00M,,,,27.00M,61.00M,171.00M,,343.00M,,,-280.00M,212.00M,146.00M,-35.00M,,,-24.00M,299.00M,,794.00M,2009-03,-128.00M,,,-8.00M,,-57.00M,-193.00M,,-550.00M,-80.00M,-630.00M,,-10.00M,-10.00M,,,,,-108.00M,-11.00M,,2009-03,1.144B,-158.00M,955.00M,,2009-03,,,486.00M,-1.116B,,2009-03,AOR,Restated
2008-12,-1.793B,0.00,0.00,,2.00M,34.00M,36.00M,382.00M,382.00M,-30.00M,,237.00M,463.00M,152.00M,-591.00M,,,80.00M,104.00M,0.00,713.00M,2008-12,-270.00M,,,21.00M,,45.00M,-225.00M,,-56.00M,9.00M,-47.00M,0.00,0.00,0.00,,,,321.00M,-107.00M,110.00M,,2008-12,771.00M,444.00M,1.144B,,2008-12,,0.00,13.00M,-69.00M,,2008-12,AOR,Restated
2008-09,137.00M,107.00M,-3.00M,,-5.00M,32.00M,76.00M,965.00M,374.00M,62.00M,,170.00M,15.00M,-14.00M,133.00M,,,-7.00M,127.00M,0.00,946.00M,2008-09,-250.00M,,,-6.072B,,-2.00M,-6.324B,,2.374B,8.00M,2.382B,0.00,0.00,0.00,,,,-321.00M,-103.00M,-49.00M,,2008-09,3.979B,-3.148B,771.00M,,2008-09,,0.00,2.876B,-449.00M,,2008-09,AOR,
2008-06,235.00M,0.00,,,-30.00M,29.00M,12.00M,,305.00M,17.00M,,-63.00M,-32.00M,-58.00M,185.00M,,,-25.00M,70.00M,,576.00M,2008-06,-267.00M,,,-21.00M,,-19.00M,-307.00M,,2.953B,-14.00M,2.939B,0.00,0.00,0.00,,,,,-106.00M,-20.00M,,2008-06,880.00M,3.082B,3.979B,,2008-06,,0.00,3.052B,-113.00M,,2008-06,AOR,Restated
2008-03,155.00M,-1.00M,,,-16.00M,28.00M,53.00M,,286.00M,-130.00M,,54.00M,5.00M,-32.00M,-75.00M,,,118.00M,16.00M,,434.00M,2008-03,-215.00M,,,0.00,,-126.00M,-341.00M,,57.00M,-39.00M,18.00M,1.00M,-47.00M,-46.00M,,,,,-112.00M,,,2008-03,905.00M,-47.00M,880.00M,,2008-03,,1.00M,83.00M,-65.00M,,2008-03,AOR,Restated
2007-12,338.00M,-13.00M,0.00,,0.00,52.00M,39.00M,278.00M,278.00M,107.00M,,-91.00M,-135.00M,9.00M,223.00M,,,-227.00M,-130.00M,-5.00M,536.00M,2007-12,-484.00M,,,-12.00M,,131.00M,-943.00M,,-284.00M,80.00M,-204.00M,6.00M,-100.00M,-94.00M,,,,330.00M,-106.00M,,,2007-12,1.702B,-811.00M,905.00M,,2007-12,,6.00M,63.00M,-347.00M,,2007-12,AOR,Restated
2007-09,220.00M,1.00M,-9.00M,,0.00,53.00M,45.00M,277.00M,277.00M,30.00M,,-21.00M,150.00M,27.00M,-80.00M,,,71.00M,168.00M,-3.00M,716.00M,2007-09,-327.00M,,,-222.00M,,-32.00M,-581.00M,,-48.00M,-4.00M,-52.00M,51.00M,-51.00M,0.00,,,,-107.00M,-107.00M,,,2007-09,1.681B,-24.00M,1.702B,,2007-09,,51.00M,13.00M,-61.00M,,2007-09,AOR,Restated
2007-06,200.00M,-1.00M,,,0.00,53.00M,52.00M,269.00M,269.00M,21.00M,,145.00M,-75.00M,11.00M,-172.00M,,,-59.00M,-295.00M,-9.00M,383.00M,2007-06,-299.00M,,,37.00M,,15.00M,-248.00M,,-103.00M,-19.00M,-122.00M,41.00M,-675.00M,-634.00M,,,,-109.00M,-109.00M,3.00M,,2007-06,2.39B,-727.00M,1.681B,,2007-06,,41.00M,2.00M,-105.00M,,2007-06,AOR,Restated
