,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,14.18B,21.00M,14.20B,1.744B,1.744B,313.00M,271.00M,1.234B,,1.818B,871.00M,0.00,,18.63B,0.00,146.00M,2.496B,6.584B,,163.00M,9.39B,-4.752B,4.638B,7.563B,5.893B,13.46B,,1.007B,19.10B,37.73B,,797.00M,176.00M,973.00M,2.166B,3.139B,,203.00M,203.00M,203.00M,,,,3.342B,18.67B,18.67B,1.609B,1.609B,1.168B,,21.44B,24.79B,,349.00M,13.11B,9.619B,8.427B,2.00M,,,-1.723B,12.95B,,AOR,Restated
2017-06,13.85B,52.00M,13.90B,1.749B,1.749B,320.00M,293.00M,1.216B,,1.829B,731.00M,,-1.00M,18.21B,,,,,,,8.975B,-4.565B,4.41B,7.513B,6.049B,13.56B,43.00M,938.00M,18.95B,37.17B,,,,,,2.82B,,,453.00M,453.00M,,,,3.273B,18.56B,18.56B,1.406B,1.406B,1.337B,1.00M,21.31B,24.58B,,349.00M,12.99B,9.586B,8.437B,2.00M,,,-1.923B,12.59B,,AOR,Restated
2017-03,548.00M,363.00M,911.00M,1.569B,1.569B,305.00M,292.00M,1.15B,,1.747B,664.00M,,,4.891B,,,,,,,8.352B,-4.411B,3.941B,7.405B,6.116B,13.52B,817.00M,948.00M,19.23B,24.12B,,,,,,2.794B,,,1.224B,1.224B,,,,4.018B,9.082B,9.082B,1.702B,1.702B,1.356B,-1.00M,12.14B,16.16B,,333.00M,13.32B,4.742B,8.445B,,,,-2.009B,7.964B,,AOR,Restated
2016-12,919.00M,364.00M,1.283B,1.518B,1.518B,298.00M,275.00M,1.119B,,1.692B,643.00M,,1.00M,5.187B,,,,,,,8.10B,-4.273B,3.827B,7.363B,6.198B,13.56B,816.00M,927.00M,19.13B,24.32B,,,,,,2.596B,,,1.974B,1.974B,,,,4.57B,9.043B,9.043B,1.798B,1.798B,1.323B,1.00M,12.16B,16.74B,,333.00M,13.13B,4.713B,8.457B,,,,-2.162B,7.583B,,AOR,Restated
2016-09,1.541B,366.00M,1.907B,1.618B,1.618B,316.00M,274.00M,1.129B,,1.719B,480.00M,,1.00M,6.367B,0.00,151.00M,2.397B,5.749B,1.00M,121.00M,8.419B,-4.518B,3.901B,7.419B,6.281B,13.70B,796.00M,824.00M,19.22B,25.59B,,665.00M,274.00M,939.00M,2.271B,3.21B,200.00M,801.00M,1.001B,1.001B,,,189.00M,4.40B,10.55B,10.55B,1.684B,1.684B,1.319B,-1.00M,13.55B,17.95B,,333.00M,12.73B,4.693B,8.212B,,,,-1.929B,7.634B,,AOR,Restated
2016-06,1.686B,360.00M,2.046B,1.618B,1.618B,315.00M,303.00M,1.218B,-1.00M,1.835B,409.00M,,1.00M,6.534B,,,,,,,8.282B,-4.469B,3.813B,7.425B,6.745B,14.17B,785.00M,712.00M,19.48B,26.02B,,,,,,2.672B,,,1.351B,1.351B,,,196.00M,4.219B,10.56B,10.56B,2.045B,2.045B,1.159B,-1.00M,13.76B,17.98B,,333.00M,12.85B,4.65B,8.215B,,,,-1.605B,8.033B,,AOR,Restated
2016-03,1.696B,326.00M,2.022B,1.574B,1.574B,314.00M,302.00M,1.229B,1.00M,1.846B,551.00M,,1.00M,6.612B,,,,,,,8.169B,-4.39B,3.779B,7.448B,6.877B,14.32B,826.00M,694.00M,19.62B,26.24B,,,,,,2.527B,,,1.651B,1.651B,,,202.00M,4.38B,10.86B,10.86B,2.181B,2.181B,1.146B,-1.00M,14.19B,18.57B,,333.00M,12.60B,4.60B,8.24B,,,,-1.647B,7.666B,,AOR,Restated
2015-12,1.583B,46.00M,1.629B,1.513B,1.513B,367.00M,291.00M,1.326B,1.00M,1.985B,514.00M,,,5.641B,,,,,,,8.241B,-4.284B,3.957B,7.372B,7.218B,14.59B,1.132B,727.00M,20.41B,26.05B,,,,,,2.578B,,,1.951B,1.951B,,,,4.529B,10.86B,10.86B,2.286B,2.286B,1.15B,,14.29B,18.82B,,333.00M,12.40B,4.557B,8.251B,,,,-1.84B,7.223B,,AOR,Restated
2015-09,1.424B,95.00M,1.519B,1.618B,1.618B,384.00M,280.00M,1.295B,,1.959B,563.00M,,,5.659B,0.00,146.00M,2.414B,5.602B,1.00M,114.00M,8.277B,-4.217B,4.06B,7.537B,7.387B,14.92B,1.118B,717.00M,20.82B,26.48B,,631.00M,28.00M,659.00M,2.271B,2.93B,,1.452B,1.452B,1.452B,,,-1.00M,4.381B,11.37B,11.37B,2.43B,2.43B,1.133B,-1.00M,14.93B,19.31B,,333.00M,12.31B,4.475B,8.239B,,,,-1.738B,7.165B,,AOR,Restated
2015-06,1.559B,159.00M,1.718B,1.645B,1.645B,393.00M,300.00M,1.326B,1.00M,2.02B,921.00M,,-1.00M,6.303B,,,,,,,8.283B,-4.236B,4.047B,7.464B,7.51B,14.97B,1.082B,674.00M,20.78B,27.08B,,,,,,2.713B,,,1.804B,1.804B,,,,4.517B,11.37B,11.37B,2.936B,2.936B,1.007B,-1.00M,15.31B,19.83B,,333.00M,12.26B,4.418B,8.242B,,,,-1.535B,7.253B,,AOR,Restated
2015-03,1.912B,217.00M,2.129B,1.572B,1.572B,385.00M,304.00M,1.59B,-1.00M,2.278B,1.016B,,1.00M,6.996B,,,,,,,8.13B,-4.138B,3.992B,7.663B,7.903B,15.57B,1.044B,696.00M,21.30B,28.29B,,,,,,2.787B,,,1.71B,1.71B,,,,4.497B,12.13B,12.13B,3.513B,3.513B,996.00M,,16.64B,21.13B,,333.00M,12.32B,4.388B,8.281B,,,,-1.623B,7.159B,,AOR,Restated
2014-12,8.54B,244.00M,8.784B,1.031B,1.031B,227.00M,272.00M,1.013B,,1.512B,784.00M,,,12.11B,,,,,,,7.758B,-4.193B,3.565B,1.14B,1.181B,2.321B,,506.00M,6.392B,18.50B,,,,,,1.878B,,,202.00M,202.00M,,,1.00M,2.081B,9.94B,9.94B,432.00M,432.00M,983.00M,-2.00M,11.35B,13.43B,,333.00M,12.22B,2.254B,8.623B,,,,-1.139B,5.069B,,AOR,Restated
2014-09,1.861B,889.00M,2.75B,1.187B,1.187B,248.00M,260.00M,987.00M,,1.495B,698.00M,,1.00M,6.131B,0.00,93.00M,2.313B,5.271B,,88.00M,7.765B,-4.16B,3.605B,1.09B,1.127B,2.217B,9.00M,488.00M,6.319B,12.45B,,401.00M,26.00M,427.00M,1.604B,2.031B,,203.00M,203.00M,203.00M,,,1.00M,2.235B,3.768B,3.768B,383.00M,383.00M,1.009B,-1.00M,5.159B,7.394B,,333.00M,12.10B,2.198B,8.601B,,,,-1.001B,5.053B,,AOR,Restated
2014-06,1.661B,978.00M,2.639B,1.204B,1.204B,231.00M,302.00M,1.021B,-1.00M,1.553B,649.00M,,,6.045B,,,,,,,7.742B,-4.191B,3.551B,1.116B,1.16B,2.276B,,502.00M,6.329B,12.37B,,,,,,1.888B,,,205.00M,205.00M,,,,2.093B,3.768B,3.768B,432.00M,432.00M,703.00M,,4.903B,6.996B,,333.00M,11.91B,2.176B,8.60B,,,,-457.00M,5.378B,,AOR,Restated
2014-03,1.731B,895.00M,2.626B,1.13B,1.13B,221.00M,294.00M,997.00M,,1.512B,678.00M,,,5.946B,,,,,,,7.632B,-4.12B,3.512B,1.124B,1.185B,2.309B,,483.00M,6.304B,12.25B,,,,,,1.814B,,,202.00M,202.00M,,,,2.016B,3.764B,3.764B,427.00M,427.00M,728.00M,,4.919B,6.935B,,333.00M,11.69B,2.147B,8.416B,,,,-455.00M,5.315B,,AOR,Restated
2013-12,1.679B,834.00M,2.513B,1.113B,1.113B,229.00M,272.00M,966.00M,,1.467B,650.00M,,,5.743B,,,,,,,7.541B,-4.046B,3.495B,1.105B,1.189B,2.294B,,502.00M,6.291B,12.04B,,,,,,1.792B,,,205.00M,205.00M,,,,1.997B,3.764B,3.764B,416.00M,416.00M,780.00M,-1.00M,4.959B,6.956B,,333.00M,11.51B,2.116B,8.396B,,,,-500.00M,5.079B,,AOR,Restated
2013-09,1.89B,718.00M,2.608B,1.24B,1.24B,226.00M,258.00M,918.00M,,1.402B,623.00M,,,5.873B,0.00,97.00M,2.286B,4.97B,-1.00M,85.00M,7.437B,-3.961B,3.476B,1.109B,1.206B,2.315B,,487.00M,6.278B,12.15B,,333.00M,19.00M,352.00M,1.571B,1.923B,,207.00M,207.00M,207.00M,,,,2.13B,3.763B,3.763B,408.00M,408.00M,805.00M,1.00M,4.977B,7.107B,,333.00M,11.34B,2.068B,8.204B,,,,-516.00M,5.042B,,AOR,Restated
2013-06,1.962B,337.12M,2.299B,1.255B,1.255B,212.66M,282.99M,913.46M,,1.409B,471.60M,,,5.435B,,,,,,,7.239B,-3.887B,3.352B,1.092B,1.203B,2.295B,,505.74M,6.153B,11.59B,,,,,,1.485B,,,207.43M,207.43M,,,,1.693B,3.763B,3.763B,299.66M,299.66M,1.115B,,5.178B,6.871B,,332.66M,11.35B,2.040B,8.158B,,,,-864.15M,4.717B,,AOR,Restated
2013-03,2.024B,396.84M,2.421B,1.220B,1.220B,207.66M,280.99M,903.17M,,1.392B,467.45M,,,5.500B,,,,,,,7.168B,-3.853B,3.315B,1.100B,1.223B,2.322B,,492.67M,6.130B,11.63B,,,,,,1.471B,,,407.44M,407.44M,,,,1.878B,3.762B,3.762B,287.59M,287.59M,1.113B,,5.163B,7.041B,,332.66M,11.14B,2.013B,8.115B,,,,-803.07M,4.589B,,AOR,Restated
2012-12,1.917B,594.64M,2.512B,1.168B,1.168B,210.76M,262.63M,886.43M,,1.360B,437.82M,,,5.477B,,,,,,,7.132B,-3.816B,3.317B,1.098B,1.224B,2.322B,,513.09M,6.152B,11.63B,,,,,,1.596B,,,408.24M,408.24M,,,,2.004B,3.762B,3.762B,290.70M,290.70M,1.104B,,5.156B,7.160B,,332.66M,10.96B,1.969B,8.069B,,,,-746.50M,4.469B,,AOR,Restated
2012-09,1.671B,510.00M,2.181B,1.25B,1.25B,201.00M,247.00M,793.00M,,1.241B,515.00M,,-1.00M,5.322B,0.00,102.00M,2.194B,4.669B,1.00M,80.00M,7.046B,-3.742B,3.304B,1.076B,1.159B,2.235B,,500.00M,6.039B,11.36B,,350.00M,4.00M,354.00M,1.219B,1.573B,,405.00M,405.00M,405.00M,,,,1.978B,3.761B,3.761B,262.00M,262.00M,1.224B,,5.247B,7.225B,,333.00M,10.44B,1.92B,7.769B,,,,-802.00M,4.136B,,AOR,Restated
2012-06,1.659B,529.74M,2.188B,1.160B,1.160B,180.81M,260.14M,798.16M,,1.239B,565.21M,,,5.285B,,,,,,,6.826B,-3.676B,3.150B,1.017B,1.110B,2.127B,,463.10M,5.740B,11.02B,,,,,,1.479B,,,410.74M,410.74M,,,,1.890B,3.761B,3.761B,350.15M,350.15M,789.90M,,4.901B,6.790B,,332.66M,10.23B,1.882B,7.526B,,,,-705.66M,4.235B,,AOR,Restated
2012-03,1.839B,272.57M,2.112B,1.238B,1.238B,190.17M,269.79M,860.61M,,1.321B,630.10M,,,5.301B,,,,,,,7.081B,-3.807B,3.274B,1.032B,1.137B,2.169B,,451.35M,5.895B,11.20B,,,,,,1.415B,,,206.33M,206.33M,,,,1.621B,3.964B,3.964B,347.14M,347.14M,786.34M,,5.098B,6.719B,,332.66M,9.999B,1.858B,7.278B,,,,-453.39M,4.476B,,AOR,Restated
2011-12,2.196B,497.41M,2.694B,1.139B,1.139B,174.27M,245.47M,841.99M,,1.262B,599.64M,,,5.694B,,,,,,,6.921B,-3.708B,3.212B,992.74M,1.107B,2.100B,,407.03M,5.719B,11.41B,,,,,,1.402B,,,203.89M,203.89M,,,,1.606B,3.972B,3.972B,329.64M,329.64M,777.60M,,5.079B,6.686B,,332.66M,9.800B,1.832B,6.684B,,,,-572.55M,4.728B,,AOR,Restated
2011-09,1.175B,388.03M,1.563B,1.229B,1.229B,176.96M,233.54M,834.48M,,1.245B,631.41M,,,4.668B,0.00,98.42M,2.153B,4.550B,,78.62M,6.880B,-3.669B,3.211B,991.12M,1.115B,2.106B,,444.61M,5.762B,10.43B,,304.84M,11.04M,315.87M,1.272B,1.588B,,234.93M,234.93M,234.93M,,,,1.823B,2.485B,2.485B,225.88M,225.88M,1.068B,,3.779B,5.602B,,332.66M,9.634B,1.793B,6.280B,,,,-670.00M,4.828B,,AOR,Restated
2011-06,1.158B,763.29M,1.921B,1.250B,1.250B,176.11M,256.90M,898.09M,,1.331B,570.51M,,,5.073B,,,,,,,6.938B,-3.721B,3.217B,867.78M,971.09M,1.839B,,491.69M,5.548B,10.62B,,,,,,1.418B,,,239.78M,239.78M,,,,1.658B,2.485B,2.485B,275.23M,275.23M,904.31M,,3.664B,5.322B,,332.66M,9.422B,1.779B,6.054B,,,,-198.41M,5.298B,,AOR,Restated
2011-03,748.59M,1.110B,1.858B,1.210B,1.210B,171.72M,252.36M,852.84M,,1.277B,511.58M,,,4.857B,,,,,,,6.790B,-3.624B,3.166B,866.26M,964.17M,1.830B,,491.48M,5.488B,10.34B,,,,,,1.337B,,,241.43M,241.43M,,,,1.579B,2.484B,2.484B,276.08M,276.08M,906.00M,,3.666B,5.245B,,332.66M,9.169B,1.723B,5.853B,,,,-290.62M,5.099B,,AOR,Restated
2010-12,1.249B,997.81M,2.247B,1.093B,1.093B,172.15M,230.24M,793.08M,,1.195B,415.01M,,,4.951B,,,,,,,6.575B,-3.494B,3.082B,760.96M,796.96M,1.558B,,480.66M,5.120B,10.07B,,,,,,1.377B,,,235.30M,235.30M,,,,1.612B,2.485B,2.485B,172.05M,172.05M,923.92M,,3.581B,5.193B,,332.66M,8.947B,1.693B,5.635B,,,,-476.97M,4.878B,,AOR,Restated
2010-09,1.216B,528.21M,1.744B,1.205B,1.205B,169.27M,225.88M,750.19M,,1.145B,410.34M,,,4.505B,0.00,100.99M,2.095B,4.259B,,76.68M,6.532B,-3.432B,3.100B,763.96M,793.40M,1.557B,,487.59M,5.145B,9.651B,,325.40M,28.80M,354.20M,1.115B,1.469B,,,202.76M,202.76M,,,,1.672B,1.495B,1.495B,149.98M,149.98M,899.11M,,2.544B,4.216B,,332.66M,8.724B,1.625B,4.806B,,,,-457.91M,5.435B,,AOR,Restated
2010-06,750.11M,695.13M,1.445B,1.090B,1.090B,158.08M,215.91M,747.65M,,1.122B,385.38M,,80.71M,4.123B,,,,,,,6.191B,-3.304B,2.887B,754.95M,779.60M,1.535B,,486.67M,4.909B,9.032B,,,,,,1.316B,,,202.22M,202.22M,,,13.61M,1.531B,1.493B,1.493B,209.70M,209.70M,643.27M,,2.346B,3.878B,,332.66M,8.413B,1.601B,4.608B,,,,-598.38M,5.154B,,AOR,Restated
2010-03,830.69M,427.41M,1.258B,1.142B,1.142B,160.34M,233.16M,772.55M,,1.166B,373.19M,,,3.939B,,,,,,,6.307B,-3.339B,2.968B,764.06M,791.66M,1.556B,,480.51M,5.004B,8.943B,,,,,,1.267B,,,200.57M,200.57M,,,,1.467B,1.490B,1.490B,201.12M,201.12M,634.91M,,2.326B,3.794B,,332.66M,8.192B,1.581B,4.510B,,,,-459.60M,5.150B,,AOR,Restated
2009-12,1.182B,276.11M,1.458B,1.075B,1.075B,162.29M,221.85M,779.86M,,1.164B,359.22M,,,4.057B,,,,,,,6.364B,-3.365B,2.999B,769.98M,782.26M,1.552B,,485.73M,5.037B,9.094B,,,,,,1.333B,,,205.44M,205.44M,,,,1.539B,1.488B,1.488B,187.45M,187.45M,619.99M,,2.295B,3.834B,,332.66M,7.979B,1.533B,4.265B,,,,-337.83M,5.260B,,AOR,Restated
2009-09,1.394B,551.56M,1.946B,1.169B,1.169B,171.45M,223.09M,762.22M,,1.157B,375.72M,,,4.647B,0.00,95.82M,1.985B,4.079B,,81.89M,6.241B,-3.275B,2.967B,621.87M,603.87M,1.226B,,465.30M,4.658B,9.305B,,264.18M,3.665M,267.85M,1.106B,1.374B,,,402.96M,402.96M,,,,1.777B,1.488B,1.488B,114.32M,114.32M,782.03M,,2.385B,4.162B,,332.66M,7.753B,1.486B,4.074B,,,,-372.66M,5.143B,,AOR,Restated
2009-06,1.332B,420.36M,1.752B,1.145B,1.145B,171.26M,224.82M,810.93M,,1.207B,356.77M,,30.86M,4.492B,,,,,,,5.979B,-3.196B,2.783B,610.78M,580.70M,1.191B,,383.47M,4.357B,8.849B,,,,,,1.236B,,,405.74M,405.74M,,,4.405M,1.646B,1.484B,1.484B,124.04M,124.04M,383.03M,,1.991B,3.637B,,332.66M,7.515B,1.466B,3.898B,,,,-220.30M,5.212B,,AOR,Restated
2009-03,542.71M,187.48M,730.19M,1.062B,1.062B,166.77M,225.20M,788.76M,,1.181B,434.76M,,,3.408B,,,,,,,5.732B,-3.069B,2.663B,597.47M,569.70M,1.167B,,337.79M,4.168B,7.576B,,,,,,1.105B,,,405.55M,405.55M,,,,1.511B,747.67M,747.67M,141.49M,141.49M,371.96M,,1.261B,2.772B,,332.66M,7.253B,1.434B,3.871B,,,,-360.47M,4.804B,,AOR,Restated
2008-12,597.62M,179.16M,776.78M,1.072B,1.072B,167.98M,224.23M,777.90M,,1.170B,446.24M,,,3.465B,,,,,,,5.767B,-3.072B,2.695B,608.28M,554.78M,1.163B,,337.68M,4.196B,7.661B,,1.229B,,1.229B,,1.229B,,,408.90M,408.90M,,,,1.638B,747.76M,747.76M,142.89M,142.89M,,364.88M,1.256B,2.894B,,332.66M,7.068B,1.392B,3.818B,,,,-207.70M,4.767B,,,Restated
2008-09,830.48M,199.94M,1.030B,1.079B,1.079B,162.73M,203.93M,713.77M,,1.080B,424.78M,,,3.615B,0.00,93.34M,1.804B,3.823B,,78.25M,5.798B,-3.054B,2.744B,625.77M,571.69M,1.197B,,356.33M,4.298B,7.913B,,260.88M,28.89M,289.77M,519.12M,808.89M,,,201.31M,201.31M,,,406.38M,1.417B,953.23M,953.23M,142.59M,142.59M,464.98M,,1.561B,2.977B,,332.66M,6.839B,1.360B,3.532B,,,,-77.51M,4.936B,,,Restated
