,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,594.00M,-308.00M,-156.00M,-464.00M,568.00M,568.00M,-72.00M,54.00M,7.00M,127.00M,,,,,,,-272.00M,,542.00M,,-197.00M,,,,442.00M,6.00M,-51.00M,200.00M,,-177.00M,-180.00M,-357.00M,,,,-238.00M,-238.00M,,-21.00M,-616.00M,,1.417B,126.00M,-34.00M,1.509B,,,713.00M,-890.00M,,,AOR,Restated
2018-03,-12.00M,0.00,29.00M,29.00M,553.00M,553.00M,-76.00M,66.00M,18.00M,-175.00M,,,,,,,293.00M,,696.00M,,-213.00M,,,,-6.00M,70.00M,-21.00M,-170.00M,,-461.00M,380.00M,-81.00M,,,,-239.00M,-239.00M,,-53.00M,-373.00M,,1.236B,154.00M,27.00M,1.417B,,,1.372B,-1.833B,,,AOR,Restated
2017-12,-136.00M,0.00,-101.00M,-101.00M,291.00M,291.00M,-324.00M,141.00M,38.00M,3.00M,,,,,,,409.00M,,321.00M,,-178.00M,,,,-14.90B,-63.00M,-62.00M,-15.20B,,2.25B,0.00,2.25B,,,,-210.00M,-210.00M,,-102.00M,1.938B,,14.18B,-12.94B,2.00M,1.236B,,,2.25B,0.00,,,AOR,Restated
2017-09,327.00M,,28.00M,28.00M,286.00M,286.00M,103.00M,36.00M,17.00M,35.00M,,,,,,,294.00M,,1.126B,,-260.00M,,,,-16.00M,-17.00M,-54.00M,-347.00M,,-200.00M,-50.00M,-250.00M,,,0.00,-199.00M,-199.00M,,-7.00M,-456.00M,,13.85B,322.00M,5.00M,14.18B,,,0.00,-200.00M,,,AOR,Restated
2017-06,-132.00M,,1.00M,1.00M,279.00M,279.00M,-296.00M,39.00M,12.00M,673.00M,,,,,,,-191.00M,,385.00M,,-195.00M,,,,-118.00M,-9.00M,-59.00M,-381.00M,,8.617B,100.00M,8.717B,,,4.827B,-166.00M,-166.00M,,-84.00M,13.29B,,548.00M,13.30B,6.00M,13.85B,,,10.41B,-1.791B,,,AOR,Restated
2017-03,343.00M,,30.00M,30.00M,261.00M,261.00M,-64.00M,38.00M,21.00M,62.00M,,,,,,,32.00M,,723.00M,,-160.00M,,,,-42.00M,10.00M,-11.00M,-203.00M,,0.00,-750.00M,-750.00M,,,0.00,-156.00M,-156.00M,,0.00,-906.00M,,919.00M,-384.00M,13.00M,548.00M,,,0.00,0.00,,,AOR,Restated
2016-12,562.00M,,25.00M,25.00M,262.00M,262.00M,21.00M,61.00M,27.00M,-136.00M,,,,,,,-506.00M,,316.00M,,-112.00M,,,,167.00M,16.00M,-23.00M,48.00M,,-1.135B,700.00M,-435.00M,,,-220.00M,-156.00M,-156.00M,,-144.00M,-955.00M,,1.541B,-592.00M,-30.00M,919.00M,,,1.054B,-2.189B,,,AOR,Restated
2016-09,18.00M,,-95.00M,-95.00M,273.00M,273.00M,-276.00M,38.00M,0.00,298.00M,,,,,,,448.00M,,704.00M,,-288.00M,,,,0.00,-13.00M,-50.00M,-351.00M,,-1.00M,-350.00M,-351.00M,,,0.00,-141.00M,-141.00M,,7.00M,-485.00M,,1.686B,-131.00M,-14.00M,1.541B,,,0.00,-1.00M,,,AOR,Restated
2016-06,391.00M,,23.00M,23.00M,272.00M,272.00M,-38.00M,39.00M,0.00,4.00M,,,,,,,145.00M,,836.00M,,-147.00M,,,,47.00M,2.00M,-50.00M,-148.00M,,-750.00M,150.00M,-600.00M,,,0.00,-141.00M,-141.00M,,41.00M,-700.00M,,1.696B,-14.00M,4.00M,1.686B,,,0.00,-750.00M,,,AOR,Restated
2016-03,338.00M,,19.00M,19.00M,280.00M,280.00M,-83.00M,43.00M,0.00,-84.00M,,,,,,,43.00M,,556.00M,,-124.00M,,,,111.00M,-4.00M,-8.00M,-25.00M,,-1.00M,-300.00M,-301.00M,,,0.00,-140.00M,-140.00M,,10.00M,-431.00M,,1.583B,101.00M,12.00M,1.696B,,,0.00,-1.00M,,,AOR,Restated
2015-12,229.00M,,21.00M,21.00M,289.00M,289.00M,-29.00M,76.00M,0.00,114.00M,,,,,,,-237.00M,,463.00M,,-134.00M,,,,0.00,14.00M,-25.00M,-145.00M,,0.00,0.00,0.00,,,0.00,-140.00M,-140.00M,,-5.00M,-145.00M,,1.424B,173.00M,-14.00M,1.583B,,,0.00,0.00,,,AOR,Restated
2015-09,181.00M,,11.00M,11.00M,315.00M,315.00M,-199.00M,28.00M,,25.00M,,,,,,,316.00M,,677.00M,,-183.00M,,,,-80.00M,3.00M,-55.00M,-315.00M,,-3.00M,-349.00M,-352.00M,,,30.00M,-127.00M,-127.00M,,-28.00M,-477.00M,,1.559B,-114.00M,-21.00M,1.424B,,,0.00,-3.00M,,,AOR,Restated
2015-06,62.00M,,20.00M,20.00M,299.00M,299.00M,-124.00M,46.00M,,23.00M,,,,,,,213.00M,,539.00M,,-144.00M,,,,-27.00M,24.00M,-27.00M,-174.00M,,-1.00M,-656.00M,-657.00M,,,49.00M,-126.00M,-126.00M,,9.00M,-725.00M,,1.912B,-362.00M,9.00M,1.559B,,,0.00,-1.00M,,,AOR,Restated
2015-03,216.00M,,17.00M,17.00M,138.00M,138.00M,-11.00M,44.00M,,-31.00M,,,,,,,-146.00M,,227.00M,,-155.00M,,,,-8.201B,195.00M,-36.00M,-8.197B,,-2.00M,1.503B,1.501B,,,-34.00M,-116.00M,-116.00M,,8.00M,1.359B,,8.54B,-6.61B,-18.00M,1.912B,,,0.00,-2.00M,,,AOR,Restated
2014-12,236.00M,,-20.00M,-20.00M,139.00M,139.00M,-2.00M,48.00M,,-6.00M,,,,,,,-109.00M,,286.00M,,-114.00M,,,,-106.00M,618.00M,-30.00M,368.00M,,6.164B,-1.00M,6.163B,,,-45.00M,-116.00M,-116.00M,,31.00M,6.033B,,1.861B,6.687B,-8.00M,8.54B,,,6.164B,,,,AOR,Restated
2014-09,301.00M,,12.00M,12.00M,149.00M,149.00M,21.00M,22.00M,,35.00M,,,,,,,-3.00M,,537.00M,,-273.00M,,,,0.00,73.00M,-18.00M,-218.00M,,,-1.00M,-1.00M,,,-2.00M,-105.00M,-105.00M,,2.00M,-106.00M,,1.661B,215.00M,-15.00M,1.861B,,,,,,,AOR,Restated
2014-06,326.00M,,-22.00M,-22.00M,141.00M,141.00M,-29.00M,24.00M,,2.00M,,,,,,,-1.00M,,441.00M,,-135.00M,,,,0.00,-71.00M,-26.00M,-232.00M,,0.00,3.00M,3.00M,,,-184.00M,-105.00M,-105.00M,,7.00M,-279.00M,,1.731B,-72.00M,2.00M,1.661B,,,0.00,0.00,,,AOR,Restated
2014-03,287.00M,,10.00M,10.00M,130.00M,130.00M,-11.00M,25.00M,,8.00M,,,,,,,-38.00M,,411.00M,,-127.00M,,,,-40.00M,-48.00M,-16.00M,-231.00M,,0.00,-3.00M,-3.00M,,,-21.00M,-105.00M,-105.00M,,5.00M,-124.00M,,1.679B,58.00M,-6.00M,1.731B,,,0.00,0.00,,,AOR,Restated
2013-12,271.00M,,-29.00M,-29.00M,142.00M,142.00M,-13.00M,42.00M,,17.00M,,,,,,,-75.00M,,355.00M,,-118.00M,,,,0.00,-125.00M,-24.00M,-267.00M,,0.00,-3.00M,-3.00M,,,-202.00M,-106.00M,-106.00M,,13.00M,-298.00M,,1.89B,-210.00M,-1.00M,1.679B,,,0.00,,,,AOR,Restated
2013-09,91.00M,,19.00M,19.00M,142.00M,142.00M,65.00M,21.00M,,3.00M,,,,,,,389.00M,153.00M,883.00M,,-200.00M,,,,0.00,-382.00M,-25.00M,-607.00M,,,1.00M,1.00M,,,-45.00M,-96.00M,-96.00M,,2.00M,-138.00M,,1.962B,-76.00M,4.00M,1.89B,,,,,,,AOR,Restated
2013-06,292.00M,,18.00M,18.00M,139.00M,139.00M,-28.00M,21.00M,,-29.00M,,,,,,,35.00M,-53.00M,395.00M,,-159.00M,,,,18.00M,41.00M,-19.00M,-119.00M,,,-200.00M,-200.00M,,,-41.00M,-97.00M,-97.00M,,8.00M,-330.00M,,2.024B,-56.00M,-6.00M,1.962B,,,,,,,AOR,Restated
2013-03,276.00M,,21.00M,21.00M,136.00M,136.00M,9.00M,21.00M,,13.00M,,,,,,,-161.00M,-108.00M,207.00M,,-134.00M,,,,-15.00M,202.00M,-29.00M,25.00M,,,-4.00M,-4.00M,,,-29.00M,-96.00M,-96.00M,,8.00M,-121.00M,,1.917B,113.00M,-6.00M,2.024B,,,,,,,AOR,Restated
2012-12,270.00M,,-109.00M,-109.00M,129.00M,129.00M,-10.00M,37.00M,,12.00M,,,,,,,-103.00M,8.00M,234.00M,,-95.00M,,,,597.00M,-86.00M,-25.00M,390.00M,,,4.00M,4.00M,,,-291.00M,-97.00M,-97.00M,,5.00M,-379.00M,,1.671B,245.00M,1.00M,1.917B,,,,,,,AOR,Restated
2012-09,274.75M,,1.859M,1.859M,127.44M,127.44M,27.67M,17.31M,,-4.791M,,,,,,,114.82M,12.41M,571.48M,,-188.29M,,,,-52.11M,20.07M,-29.46M,-251.83M,,0.052M,-3.784M,-3.732M,,,-228.43M,-87.74M,-87.74M,,6.252M,-313.65M,,1.659B,3.999M,8.564M,1.671B,,,-0.285M,0.337M,,,AOR,Restated
2012-06,311.58M,,15.94M,15.94M,122.84M,122.84M,-24.55M,18.06M,,3.293M,,,,,,,114.36M,21.35M,582.87M,,-123.35M,,,,0.00,-280.34M,-17.67M,-422.16M,,-3.037M,4.11M,1.073M,,,-244.27M,-92.04M,-92.04M,,1.372M,-333.86M,,1.839B,-173.15M,-7.619M,1.659B,,,0.00,-3.037M,,,AOR,Restated
2012-03,275.12M,,17.76M,17.76M,127.79M,127.79M,-10.29M,19.27M,,-0.82M,,,,,,,-151.99M,16.24M,293.09M,,-126.44M,,,,-50.89M,232.25M,-27.09M,26.02M,,-7.846M,2.053M,-5.793M,,,-587.44M,-92.07M,-92.07M,,3.64M,-681.66M,,2.196B,-362.54M,5.757M,1.839B,,,0.00,-7.846M,,,AOR,Restated
2011-12,248.54M,,-73.56M,-73.56M,132.93M,132.93M,29.17M,34.36M,,6.318M,,,,,,,-80.19M,17.00M,314.56M,,-114.92M,,,,0.00,-109.98M,-25.78M,-252.03M,,1.457B,-0.379M,1.456B,,,-404.87M,-96.15M,-96.15M,,3.736M,959.17M,,1.175B,1.022B,-0.702M,2.196B,,,1.488B,-31.45M,,,AOR,Restated
2011-09,285.16M,,20.13M,20.13M,129.24M,129.24M,2.57M,0.798M,,19.99M,,,,,,,62.28M,22.53M,542.70M,,-223.42M,,,58.02M,-287.03M,326.98M,-22.24M,-208.92M,,-0.238M,0.389M,0.151M,-77.26M,1.273B,-220.44M,,-88.26M,,2.80M,-305.75M,,1.158B,28.03M,-11.08M,1.175B,,-77.26M,-0.265M,0.027M,1.273B,,AOR,Restated
2011-06,290.50M,,27.38M,27.38M,119.36M,119.36M,0.40M,18.48M,,-13.97M,,,,,,,-31.21M,54.69M,465.64M,,-148.17M,,,-24.30M,0.00,361.71M,-16.83M,193.00M,,-0.013M,-3.176M,-3.189M,39.27M,-215.04M,-175.77M,,-89.87M,,16.07M,-252.76M,,748.59M,405.87M,3.577M,1.158B,,39.27M,0.00,-0.013M,-215.04M,,AOR,Restated
2011-03,311.06M,,5.913M,5.913M,122.20M,122.20M,37.56M,19.64M,,-2.801M,,,,,,,-256.44M,4.414M,241.56M,,-129.90M,,,-16.05M,-204.97M,-102.67M,-19.10M,-456.66M,,-0.007M,4.961M,4.954M,10.47M,-220.90M,-210.43M,,-90.16M,,4.154M,-291.48M,,1.249B,-502.87M,5.81M,748.59M,,10.47M,0.00,-0.007M,-220.90M,,AOR,Restated
2010-12,314.28M,,27.58M,27.58M,123.19M,123.19M,-10.53M,34.08M,,9.782M,,,,,,,-28.63M,-3.634M,466.11M,,-97.51M,,,-17.67M,0.00,-464.02M,-5.827M,-567.42M,,991.26M,31.83M,1.023B,27.52M,-836.89M,-809.37M,,-92.71M,,14.98M,135.99M,,1.216B,30.96M,-1.305M,1.249B,,27.52M,991.26M,-0.007M,-836.89M,,AOR,Restated
2010-09,231.56M,,16.10M,16.10M,112.85M,112.85M,20.97M,10.26M,,16.61M,,,,,,,64.35M,77.34M,550.02M,,-221.04M,,,78.11M,259.99M,182.39M,-38.71M,173.64M,,-0.008M,0.255M,0.247M,-35.76M,550.00M,-185.67M,,-85.37M,,4.291M,-266.50M,,750.11M,457.16M,8.72M,1.216B,,-35.76M,0.00,-0.008M,550.00M,,AOR,Restated
2010-06,294.16M,,20.28M,20.28M,129.56M,129.56M,-7.037M,16.65M,,-8.283M,,,,,,,21.34M,41.05M,507.71M,,-126.88M,,,-27.74M,0.00,-270.51M,-8.333M,-406.98M,,-0.019M,1.748M,1.729M,4.506M,-100.00M,-95.49M,,-86.11M,,1.32M,-178.56M,,830.69M,-77.82M,-2.758M,750.11M,,4.506M,0.00,-0.019M,-100.00M,,AOR,Restated
2010-03,285.03M,,19.26M,19.26M,125.26M,125.26M,12.42M,17.15M,,50.22M,,,,,,,-232.98M,15.66M,292.02M,,-141.91M,,,-24.87M,-6.611M,-155.96M,-24.99M,-330.46M,,-0.021M,-4.887M,-4.908M,27.40M,-258.87M,-231.47M,,-84.34M,,9.767M,-310.96M,,1.182B,-349.40M,-2.216M,830.69M,,27.40M,0.00,-0.021M,-258.87M,,AOR,Restated
2009-12,304.09M,,-158.59M,-158.59M,123.75M,123.75M,1.709M,35.32M,,-13.70M,,,,,,,78.58M,23.36M,394.52M,,-136.29M,,,-25.50M,-274.76M,279.59M,-9.605M,-141.83M,,-0.028M,-197.31M,-197.34M,3.862M,-191.13M,-187.27M,,-89.89M,,7.824M,-466.67M,,1.394B,-213.98M,2.044M,1.182B,,3.862M,0.00,-0.028M,-191.13M,,AOR,Restated
2009-09,260.05M,,7.335M,7.335M,112.36M,112.36M,81.67M,7.59M,,-2.155M,,,,,,,143.49M,48.55M,658.89M,,-259.53M,,,-28.40M,51.02M,-114.32M,-30.27M,-358.89M,,3.003M,-0.409M,2.594M,10.75M,-178.58M,-167.83M,,-78.97M,2.497M,,-241.71M,,1.332B,58.29M,4.35M,1.394B,,10.75M,3.025M,-0.431M,-178.58M,,AOR,Restated
2009-06,338.70M,,14.18M,14.18M,118.45M,118.45M,-28.00M,22.51M,,3.12M,,,,,,,56.63M,8.363M,533.97M,,-160.98M,,,-29.93M,,-206.83M,-26.63M,-394.40M,,736.11M,1.621M,737.73M,10.41M,-29.91M,-19.50M,,-79.20M,2.537M,,641.57M,,542.71M,781.14M,7.75M,1.332B,,10.41M,736.21M,1.524M,-29.91M,,AOR,Restated
2009-03,259.17M,,11.97M,11.97M,117.33M,117.33M,-2.92M,22.71M,,18.96M,,,,,,,-170.18M,-0.946M,256.09M,,-153.84M,,,-26.18M,0.00,-7.407M,-29.26M,-190.61M,,-0.099M,-0.944M,-1.043M,11.25M,-51.55M,-40.30M,,-76.60M,5.931M,,-112.02M,,597.62M,-46.53M,-8.374M,542.71M,,11.25M,-0.928M,-0.115M,-51.55M,,AOR,Restated
2008-12,309.42M,,-102.06M,-102.06M,116.46M,116.46M,9.293M,33.76M,,0.048M,,,,,,,-101.42M,2.361M,267.86M,,-120.43M,,,-25.07M,0.00,-8.825M,0.253M,-129.07M,,-0.093M,0.928M,0.835M,,-289.97M,-289.97M,,-82.10M,3.702M,,-367.54M,,830.48M,-228.74M,-4.116M,597.62M,,,0.928M,-0.093M,-289.97M,,,Restated
2008-09,271.05M,,,-75.95M,124.01M,124.01M,90.85M,,,-45.75M,,,,,,66.11M,-32.37M,24.51M,456.94M,,-201.57M,,449.42M,,0.135M,-1.817M,-8.828M,-212.38M,,,,-2.721M,21.36M,-95.61M,-74.25M,,-69.51M,,8.62M,-137.86M,,735.91M,106.70M,-12.13M,830.48M,,21.36M,,,-95.61M,,,Restated
2008-06,297.09M,,,0.378M,121.05M,121.05M,0.095M,,,33.78M,,,,,,92.15M,92.15M,-0.291M,544.26M,,-159.96M,,-159.96M,,-41.39M,-18.72M,-13.29M,-233.36M,,,,-4.226M,12.42M,-78.03M,-65.61M,,-69.56M,,5.229M,-134.17M,,561.00M,176.74M,-1.826M,735.91M,,12.42M,,,-78.03M,,,
2008-03,276.18M,,,6.512M,116.85M,116.85M,-9.388M,,,34.59M,,,,,,-211.05M,-211.05M,-0.954M,212.75M,,-164.15M,,-164.15M,,,-26.70M,-7.712M,-198.56M,,,,-0.401M,51.61M,-150.06M,-98.45M,,-139.44M,,25.57M,-212.73M,,750.76M,-198.54M,8.778M,561.00M,,51.61M,,,-150.06M,,,
2007-12,271.55M,,,12.97M,115.21M,115.21M,-1.473M,,,22.74M,,,,,,52.79M,52.79M,-0.626M,473.16M,,-125.32M,,-125.32M,,,-4.752M,-8.662M,-138.73M,,,,0.296M,,-126.29M,-126.29M,,,,24.92M,-101.08M,,511.48M,233.35M,5.93M,750.76M,,,,,-126.29M,,,
2007-09,259.81M,,,-27.30M,117.78M,117.78M,-68.42M,,,63.22M,,,,,,192.63M,26.75M,-20.14M,351.70M,,-196.71M,,-196.71M,,0.00,-23.07M,-17.54M,-237.32M,,,,1.308M,29.82M,-37.69M,-7.867M,,-59.73M,,12.06M,-54.23M,,444.16M,60.16M,7.161M,511.48M,,29.82M,,,-37.69M,,,
2007-06,244.81M,,,67.68M,112.54M,112.54M,-3.474M,,,-16.18M,,,,,,-37.67M,-37.67M,-1.44M,366.26M,,-136.58M,,-136.58M,,0.00,46.02M,-31.10M,-121.66M,,,,-3.164M,26.10M,-187.60M,-161.50M,,-59.94M,,11.01M,-213.60M,,409.66M,31.00M,3.506M,444.16M,,26.10M,,,-187.60M,,,
2007-03,242.53M,,,58.23M,109.95M,109.95M,-16.14M,,,-20.72M,,,,,,-131.38M,-131.38M,-5.552M,236.92M,,-129.45M,,-129.45M,,0.00,-55.42M,-24.87M,-209.74M,,,,2.158M,55.66M,-112.51M,-56.85M,,-120.14M,,22.60M,-152.23M,,533.42M,-125.06M,1.286M,409.66M,,55.66M,,,-112.51M,,,
2006-12,142.88M,,,13.60M,101.08M,101.08M,-27.46M,,,81.38M,,,,,,-23.58M,-23.58M,-2.341M,285.56M,,-115.98M,,-115.98M,,-339.53M,-1.587M,-12.42M,-449.54M,,,,-222.19M,19.10M,-112.33M,-93.23M,,,,9.454M,-305.97M,,1.000B,-469.95M,3.088M,533.42M,,19.10M,,,-112.33M,,,
2006-09,173.98M,,,33.51M,106.12M,106.12M,-21.62M,,,27.95M,,,,,,200.24M,58.90M,36.17M,415.01M,,-204.71M,,-204.71M,,-0.413M,-14.71M,-6.022M,-226.90M,,,,119.31M,30.75M,-15.92M,14.83M,,-52.85M,,7.799M,89.09M,,721.00M,277.20M,2.091M,1.000B,,30.75M,,,-15.92M,,,
2006-06,206.37M,,,74.05M,99.18M,99.18M,-71.52M,,,-31.08M,,,,,,16.53M,16.53M,1.586M,295.11M,,-114.80M,,-114.80M,,-0.618M,-8.424M,-5.003M,-129.30M,,,,2.391M,22.38M,-207.97M,-185.59M,,-52.85M,,7.256M,-228.80M,,776.53M,-63.00M,7.459M,721.00M,,22.38M,,,-207.97M,,,
2006-03,154.07M,,,-94.07M,97.87M,97.87M,-3.998M,,,203.81M,,,,,,-156.08M,-156.08M,-1.045M,200.56M,,-92.39M,,-92.39M,,-230.43M,2.498M,-19.64M,-340.76M,,,,-100.35M,56.18M,-124.45M,-68.27M,,-106.73M,,22.96M,-252.39M,,1.169B,-392.59M,0.153M,776.53M,,56.18M,,,-124.45M,,,
2005-12,217.86M,,,14.26M,99.16M,99.16M,-11.14M,,,-92.06M,,,,,,-60.70M,-60.70M,-1.653M,165.73M,,-67.63M,,-67.63M,,,-7.668M,-14.00M,-89.56M,,,,99.38M,38.49M,-100.55M,-62.05M,,,,12.59M,49.92M,,1.043B,126.09M,-0.005M,1.169B,,38.49M,,,-100.55M,,,
2005-09,149.09M,,,111.56M,99.27M,99.27M,66.56M,,,-47.96M,,,,,,48.66M,74.98M,-33.38M,420.12M,,-127.48M,,-127.48M,,,-4.051M,40.30M,-91.67M,,,,-38.13M,10.12M,-140.77M,-130.65M,,-44.71M,,9.79M,-203.70M,,918.39M,124.75M,-0.253M,1.043B,,10.12M,,,-140.77M,,,
2005-06,192.26M,,,-104.60M,95.19M,95.19M,-3.331M,,,59.31M,,,,,,90.94M,90.94M,2.138M,331.91M,,-71.53M,,-71.53M,,,-21.78M,-38.89M,-132.08M,,,,103.46M,15.56M,-184.30M,-168.73M,,-45.20M,,4.49M,-105.99M,,825.50M,93.84M,-0.943M,918.39M,,15.56M,,,-184.30M,,,
2005-03,185.56M,,,65.34M,98.36M,98.36M,,,,3.234M,,,,,,-154.28M,-154.28M,3.782M,201.99M,,-68.68M,,-68.68M,,,-0.864M,-9.574M,-77.53M,,,,32.56M,24.65M,-112.47M,-87.82M,,-92.08M,,26.31M,-121.03M,,822.04M,3.424M,0.036M,825.50M,,24.65M,,,-112.47M,,,
2004-12,195.35M,,,-37.20M,94.69M,94.69M,,,,-3.234M,,,,,,14.69M,14.69M,-1.517M,262.78M,,-49.93M,,-49.93M,,,-18.25M,-11.28M,-79.46M,,,,-45.31M,73.16M,-112.46M,-39.30M,,-0.251M,,,-84.86M,,719.38M,98.45M,4.209M,822.04M,,73.16M,,,-112.46M,,,
2004-09,68.23M,,,-11.37M,90.23M,90.23M,,,,27.30M,,,,,,-13.62M,82.48M,104.12M,329.64M,,-96.23M,,-96.23M,,,-33.27M,16.40M,-138.96M,,,,43.36M,9.909M,-99.93M,-90.02M,,-37.27M,,-48.39M,-132.38M,,659.51M,58.31M,1.553M,719.38M,,9.909M,,,-99.93M,,,
