,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-09,2.831B,586.00M,3.417B,5.156B,,5.156B,849.00M,1.164B,1.962B,,3.975B,,,,1.108B,13.66B,,,,,24.66B,,,24.66B,-16.00B,8.658B,9.221B,2.175B,11.40B,156.00M,,,1.266B,21.58B,35.24B,1.824B,,374.00M,2.198B,856.00M,3.054B,,,,835.00M,,835.00M,,,,2.709B,6.598B,10.83B,,10.83B,,,,3.748B,56.00M,1.861B,16.44B,23.04B,9.00M,39.45B,5.302B,25.71B,,,-6.913B,12.15B
2017-06,2.654B,140.00M,2.794B,4.919B,,4.919B,830.00M,1.145B,1.863B,,3.838B,,,,1.09B,12.64B,,,,,24.29B,,,24.29B,-15.73B,8.566B,9.105B,2.201B,11.31B,154.00M,,,1.207B,21.32B,33.96B,1.782B,,432.00M,2.214B,666.00M,2.88B,,,,213.00M,,213.00M,,,,2.604B,5.697B,11.09B,,11.09B,,,,3.761B,53.00M,1.767B,16.62B,22.31B,9.00M,38.79B,5.244B,25.47B,,,-6.989B,11.59B
2017-03,2.173B,141.00M,2.314B,4.722B,,4.722B,770.00M,1.078B,1.764B,,3.612B,,,,1.253B,11.90B,,,,,23.95B,,,23.95B,-15.40B,8.551B,9.258B,2.269B,11.53B,150.00M,,,1.102B,21.39B,33.29B,1.701B,,433.00M,2.134B,532.00M,2.666B,,,,909.00M,,909.00M,,,,2.42B,5.995B,10.80B,,10.80B,,,,3.764B,51.00M,1.691B,16.26B,22.25B,9.00M,38.09B,5.189B,25.35B,,,-6.949B,10.99B
2016-12,2.398B,280.00M,2.678B,4.392B,109.00M,4.501B,717.00M,1.039B,1.629B,,3.385B,821.00M,,,193.00M,11.73B,0.0,341.00M,7.252B,14.94B,162.00M,809.00M,,23.50B,-14.98B,8.516B,9.166B,2.32B,11.49B,128.00M,68.00M,422.00M,508.00M,21.18B,32.91B,1.798B,,547.00M,2.345B,1.136B,3.481B,,,972.00M,972.00M,,972.00M,551.00M,551.00M,,994.00M,6.219B,10.68B,45.00M,10.72B,145.00M,15.00M,160.00M,4.274B,45.00M,943.00M,16.34B,22.56B,9.00M,37.91B,5.061B,25.43B,,,-7.245B,10.30B
2016-09,2.308B,358.00M,2.666B,4.743B,,4.743B,782.00M,1.157B,1.672B,,3.611B,,,,1.159B,12.18B,,,,,24.14B,,,24.14B,-15.47B,8.671B,9.43B,2.422B,11.85B,141.00M,,,952.00M,21.87B,34.05B,1.621B,,364.00M,1.985B,729.00M,2.714B,,,,1.282B,,1.282B,,,,2.404B,6.40B,11.08B,,11.08B,,,,3.179B,46.00M,1.345B,15.60B,22.00B,9.00M,37.74B,5.012B,24.62B,,,-6.146B,12.00B
2016-06,1.688B,177.00M,1.865B,4.667B,,4.667B,772.00M,1.165B,1.676B,,3.613B,,,,1.291B,11.44B,,,,,23.79B,,,23.79B,-15.19B,8.604B,9.356B,2.477B,11.83B,135.00M,,,985.00M,21.80B,33.24B,1.65B,,169.00M,1.819B,580.00M,2.399B,,,,2.45B,,2.45B,,,,2.405B,7.254B,9.299B,,9.299B,,,,3.418B,43.00M,1.327B,14.04B,21.30B,9.00M,37.19B,4.963B,24.09B,,,-6.184B,11.89B
2016-03,1.337B,176.00M,1.513B,4.485B,,4.485B,771.00M,1.157B,1.699B,,3.627B,,,,1.249B,10.87B,,,,,23.56B,,,23.56B,-14.95B,8.614B,9.375B,2.551B,11.93B,130.00M,,,1.212B,22.11B,32.98B,1.581B,,590.00M,2.171B,468.00M,2.639B,,,,2.212B,,2.212B,,,,2.327B,7.178B,8.927B,,8.927B,,,,3.454B,41.00M,1.649B,14.03B,21.21B,9.00M,36.78B,4.916B,23.72B,,,-6.261B,11.73B
2015-12,1.798B,118.00M,1.916B,4.154B,106.00M,4.26B,855.00M,1.008B,1.655B,,3.518B,1.081B,,,,10.99B,0.0,354.00M,7.12B,14.74B,158.00M,723.00M,,23.10B,-14.58B,8.515B,9.249B,2.601B,11.85B,126.00M,49.00M,675.00M,494.00M,21.90B,32.88B,2.26B,,421.00M,2.681B,644.00M,3.325B,,,2.044B,2.044B,,2.044B,518.00M,518.00M,,1.023B,7.118B,8.753B,46.00M,8.799B,551.00M,19.00M,570.00M,3.774B,39.00M,1.00B,14.30B,21.42B,9.00M,36.30B,4.791B,23.31B,,,-6.359B,11.43B
2015-09,1.605B,153.00M,1.758B,4.61B,,4.61B,903.00M,1.061B,1.745B,,3.709B,,,,1.531B,11.61B,,,,,22.94B,,,22.94B,-14.47B,8.47B,9.354B,2.632B,11.99B,125.00M,,,1.009B,21.65B,33.26B,1.60B,,105.00M,1.705B,684.00M,2.389B,,,,2.279B,,2.279B,,,,2.364B,7.032B,8.974B,,8.974B,,,,3.462B,38.00M,1.566B,14.00B,21.03B,9.00M,36.24B,4.731B,22.32B,,,-6.467B,12.19B
2015-06,2.983B,502.00M,3.485B,4.578B,,4.578B,950.00M,1.132B,1.765B,,3.847B,,,,1.521B,13.43B,,,,,22.85B,,,22.85B,-14.46B,8.389B,6.985B,1.355B,8.34B,119.00M,,,1.055B,17.96B,31.39B,1.714B,,327.00M,2.041B,582.00M,2.623B,,,,86.00M,,86.00M,,,,2.386B,5.095B,8.431B,,8.431B,,,,3.683B,37.00M,1.049B,13.16B,18.26B,9.00M,35.62B,4.685B,20.98B,,,-6.233B,13.09B
2015-03,1.791B,1.018B,2.809B,4.408B,,4.408B,875.00M,1.116B,1.713B,,3.704B,,,,1.597B,12.52B,,,,,22.47B,,,22.47B,-14.19B,8.286B,6.934B,1.396B,8.33B,115.00M,,,1.338B,18.12B,30.64B,1.801B,,464.00M,2.265B,446.00M,2.711B,,,,132.00M,,132.00M,,,,2.239B,5.082B,6.459B,,6.459B,,,,3.764B,35.00M,1.386B,11.61B,16.69B,9.00M,35.08B,4.607B,19.46B,,,-6.321B,13.92B
2014-12,1.897B,1.439B,3.336B,4.238B,77.00M,4.315B,902.00M,1.081B,1.723B,,3.706B,764.00M,,,,12.30B,0.0,368.00M,6.943B,14.68B,167.00M,679.00M,,22.84B,-14.35B,8.489B,7.05B,1.435B,8.485B,117.00M,89.00M,1.13B,550.00M,18.91B,31.21B,2.34B,648.00M,525.00M,3.513B,732.00M,4.245B,,,106.00M,106.00M,,106.00M,541.00M,541.00M,,840.00M,5.964B,6.705B,59.00M,6.764B,141.00M,21.00M,162.00M,4.105B,33.00M,553.00M,12.10B,18.07B,9.00M,34.32B,4.379B,19.31B,,,-6.289B,13.11B
2014-09,1.929B,767.00M,2.696B,4.711B,,4.711B,928.00M,1.167B,1.85B,,3.945B,,,,1.329B,12.68B,,,,,23.10B,,,23.10B,-14.60B,8.499B,7.213B,1.516B,8.729B,1.213B,,,934.00M,20.10B,32.78B,1.796B,,382.00M,2.178B,728.00M,2.906B,,,,2.119B,,2.119B,,,,2.68B,7.705B,5.225B,,5.225B,,,,1.849B,33.00M,1.791B,8.865B,16.57B,9.00M,34.48B,4.277B,18.49B,,,-4.108B,16.17B
2014-06,2.125B,884.00M,3.009B,4.759B,,4.759B,975.00M,1.22B,1.898B,,4.093B,,,,1.332B,13.19B,,,,,23.45B,,,23.45B,-14.76B,8.685B,7.422B,1.603B,9.025B,1.317B,,,1.078B,20.78B,33.97B,1.844B,,478.00M,2.322B,656.00M,2.978B,,,,1.65B,,1.65B,,,,2.412B,7.04B,5.323B,,5.323B,,,,1.829B,492.00M,1.932B,9.084B,16.12B,9.00M,33.84B,4.641B,17.47B,,,-3.666B,17.35B
2014-03,1.954B,860.00M,2.814B,4.598B,,4.598B,956.00M,1.17B,1.846B,,3.972B,,,,1.378B,12.76B,,,,,23.24B,,,23.24B,-14.61B,8.63B,7.357B,1.631B,8.988B,1.48B,,,1.063B,20.78B,33.55B,1.866B,,481.00M,2.347B,491.00M,2.838B,,,,2.176B,,2.176B,,,,2.436B,7.45B,4.401B,,4.401B,,,,1.809B,476.00M,1.963B,8.173B,15.62B,9.00M,33.31B,4.545B,16.58B,,,-3.841B,17.45B
2013-12,2.581B,756.00M,3.337B,4.253B,99.00M,4.352B,935.00M,1.139B,1.79B,,3.864B,602.00M,,502.00M,,12.73B,0.0,411.00M,7.062B,14.66B,158.00M,772.00M,,23.07B,-14.42B,8.652B,7.345B,1.688B,9.033B,1.575B,96.00M,360.00M,524.00M,20.82B,33.55B,2.346B,567.00M,505.00M,3.418B,708.00M,4.126B,,,1.683B,1.683B,,1.683B,521.00M,558.00M,37.00M,875.00M,7.498B,4.326B,58.00M,4.384B,538.00M,19.00M,557.00M,2.109B,446.00M,582.00M,8.104B,15.60B,9.00M,32.42B,4.375B,15.38B,,,-3.913B,17.50B
2013-09,2.34B,971.00M,3.311B,4.594B,,4.594B,936.00M,1.213B,1.799B,,3.948B,,,,1.429B,13.28B,,,,,22.87B,,,22.87B,-14.42B,8.448B,7.342B,1.745B,9.087B,1.697B,,,1.066B,20.32B,33.60B,1.718B,,373.00M,2.091B,688.00M,2.779B,,,,2.244B,,2.244B,,,,2.416B,7.439B,3.533B,,3.533B,,,,2.694B,456.00M,1.686B,7.913B,15.35B,9.00M,32.41B,4.309B,14.12B,,,-4.81B,17.80B
2013-06,2.942B,1.31B,4.252B,4.542B,,4.542B,905.00M,1.222B,1.792B,,3.919B,,,,1.27B,13.98B,,,,,22.42B,,,22.42B,-14.09B,8.329B,7.231B,1.786B,9.017B,1.696B,,,1.083B,20.15B,34.13B,1.92B,,460.00M,2.38B,589.00M,2.969B,,,,1.062B,,1.062B,,,,2.304B,6.335B,4.884B,,4.884B,,,,2.909B,443.00M,1.683B,9.476B,15.81B,9.00M,31.72B,4.243B,12.93B,,,-5.166B,17.88B
2013-03,2.928B,1.448B,4.376B,4.418B,,4.418B,865.00M,1.179B,1.775B,,3.819B,,,,1.242B,13.86B,,,,,22.47B,,,22.47B,-14.15B,8.318B,7.247B,1.84B,9.087B,1.613B,,,1.137B,20.17B,34.03B,1.82B,,392.00M,2.212B,466.00M,2.678B,,,,1.072B,,1.072B,,,,2.187B,5.937B,4.864B,,4.864B,,,,3.014B,446.00M,1.686B,9.564B,15.50B,9.00M,31.07B,4.179B,12.18B,,,-5.001B,18.08B
2012-12,2.883B,1.648B,4.531B,4.061B,125.00M,4.186B,897.00M,1.186B,1.754B,,3.837B,555.00M,,472.00M,,13.63B,0.0,413.00M,6.975B,14.19B,156.00M,791.00M,,22.52B,-14.15B,8.378B,7.385B,1.925B,9.31B,1.325B,139.00M,578.00M,500.00M,20.25B,33.88B,2.278B,0.00,458.00M,2.736B,701.00M,3.437B,,,1.085B,1.085B,,1.085B,471.00M,516.00M,45.00M,929.00M,6.20B,4.916B,71.00M,4.987B,167.00M,29.00M,196.00M,3.418B,465.00M,581.00M,9.636B,15.84B,9.00M,30.68B,4.044B,12.41B,,,-4.75B,17.58B
2012-09,3.029B,1.989B,5.018B,4.409B,,4.409B,896.00M,1.163B,1.783B,,3.842B,,,,1.225B,14.49B,,,,,,,,22.04B,-14.10B,7.939B,7.216B,1.847B,9.063B,1.542B,,,1.394B,19.98B,34.48B,1.805B,,301.00M,2.106B,,2.106B,,,,1.506B,,1.506B,,,,2.299B,6.595B,4.852B,,4.852B,,,,3.114B,497.00M,1.777B,9.743B,16.34B,9.00M,30.15B,3.998B,11.96B,,,-4.548B,17.64B
2012-06,3.308B,1.595B,4.903B,4.364B,,4.364B,873.00M,1.095B,1.688B,,3.656B,,,,1.165B,14.09B,,,,,,,,21.44B,-13.74B,7.706B,7.069B,1.842B,8.911B,1.183B,,,1.406B,19.25B,33.34B,1.792B,,440.00M,2.232B,,2.232B,,,,650.00M,,650.00M,,,,2.232B,5.707B,5.657B,,5.657B,,,,3.355B,467.00M,1.747B,10.76B,16.47B,9.00M,29.46B,3.954B,12.01B,,,-5.012B,16.41B
2012-03,2.332B,1.399B,3.731B,4.323B,,4.323B,840.00M,1.112B,1.609B,,3.561B,,,,1.238B,12.85B,,,,,,,,21.48B,-13.73B,7.755B,7.09B,1.865B,8.955B,923.00M,,,1.486B,19.16B,32.02B,1.779B,,423.00M,2.202B,,2.202B,,,,664.00M,,664.00M,,,,2.069B,5.408B,4.51B,,4.51B,,,,3.686B,437.00M,1.792B,9.988B,15.40B,9.00M,28.86B,3.894B,11.79B,,,-4.785B,16.18B
2011-12,2.219B,1.461B,3.68B,3.867B,109.00M,3.976B,819.00M,1.061B,1.536B,,3.416B,676.00M,,385.00M,,12.24B,0.0,377.00M,6.587B,13.24B,148.00M,814.00M,,21.17B,-13.50B,7.666B,7.047B,1.916B,8.963B,1.051B,151.00M,1.018B,487.00M,19.38B,31.62B,2.159B,,449.00M,2.608B,676.00M,3.284B,,,682.00M,682.00M,,682.00M,389.00M,412.00M,23.00M,850.00M,5.441B,4.484B,79.00M,4.563B,251.00M,19.00M,270.00M,4.323B,442.00M,562.00M,10.31B,15.75B,9.00M,28.35B,3.767B,11.68B,,,-5.025B,15.42B
2011-09,3.376B,1.486B,4.862B,4.259B,,4.259B,864.00M,1.088B,1.652B,,3.604B,,,,944.00M,13.67B,,,,,,,,21.04B,-13.53B,7.509B,7.14B,1.952B,9.092B,605.00M,,,1.153B,18.45B,32.12B,1.689B,,421.00M,2.11B,,2.11B,,,,1.204B,,1.204B,,,,2.197B,6.165B,4.955B,,4.955B,,,,1.704B,444.00M,1.879B,8.538B,14.70B,9.00M,27.78B,3.725B,11.21B,,,-3.339B,16.97B
2011-06,3.376B,1.148B,4.524B,4.385B,,4.385B,907.00M,1.107B,1.703B,,3.717B,,,,911.00M,13.54B,,,,,,,,21.19B,-13.56B,7.624B,7.233B,2.025B,9.258B,573.00M,,,1.208B,18.74B,32.28B,1.851B,,365.00M,2.216B,,2.216B,,,,1.116B,,1.116B,,,,2.285B,6.203B,4.484B,,4.484B,,,,1.932B,412.00M,1.921B,8.337B,14.54B,9.00M,27.11B,3.683B,10.51B,,,-2.961B,17.33B
2011-03,2.747B,1.285B,4.032B,4.209B,,4.209B,817.00M,1.033B,1.639B,,3.489B,,,,915.00M,12.64B,,,,,,,,20.78B,-13.28B,7.503B,7.121B,2.004B,9.125B,520.00M,,,1.258B,18.48B,31.13B,1.815B,,393.00M,2.208B,,2.208B,,,,1.133B,,1.133B,,,,2.08B,5.90B,4.486B,,4.486B,,,,1.964B,393.00M,1.892B,8.342B,14.24B,9.00M,26.52B,3.599B,10.40B,,,-3.237B,16.49B
2010-12,3.377B,1.101B,4.478B,3.615B,92.00M,3.707B,729.00M,950.00M,1.476B,,3.155B,555.00M,,282.00M,,12.22B,0.0,358.00M,6.321B,12.77B,,656.00M,149.00M,20.25B,-12.97B,7.279B,6.82B,1.82B,8.64B,686.00M,143.00M,648.00M,471.00M,17.94B,30.16B,1.662B,,554.00M,2.216B,476.00M,2.692B,,,1.269B,1.269B,,1.269B,369.00M,395.00M,26.00M,747.00M,6.089B,4.183B,94.00M,4.277B,198.00M,18.00M,216.00M,2.537B,354.00M,393.00M,8.05B,14.14B,9.00M,26.00B,3.468B,10.27B,,,-3.543B,15.66B
2010-03,2.848B,1.759B,4.607B,3.569B,,3.569B,608.00M,883.00M,1.307B,,2.798B,,,,1.132B,12.11B,,,,,,,,19.23B,-12.38B,6.859B,5.734B,1.287B,7.021B,698.00M,,,1.255B,15.92B,28.02B,1.582B,,,1.582B,1.048B,2.63B,,,,698.00M,,698.00M,,,,1.82B,5.148B,5.08B,,5.08B,,,,2.164B,285.00M,1.779B,9.023B,14.17B,9.00M,24.23B,3.26B,10.19B,,,-3.747B,13.57B
2009-12,3.04B,744.00M,3.784B,3.25B,110.00M,3.36B,569.00M,815.00M,1.255B,,2.639B,657.00M,,330.00M,,10.80B,0.0,291.00M,6.069B,12.30B,,627.00M,157.00M,19.44B,-12.44B,7.00B,5.832B,1.342B,7.174B,928.00M,171.00M,625.00M,479.00M,16.46B,27.25B,1.453B,,450.00M,1.903B,464.00M,2.367B,,,613.00M,613.00M,,613.00M,316.00M,343.00M,27.00M,703.00M,4.897B,5.097B,107.00M,5.204B,91.00M,23.00M,114.00M,2.718B,538.00M,404.00M,9.051B,13.95B,9.00M,23.75B,3.153B,10.40B,,,-3.754B,12.76B
2009-09,3.239B,697.00M,3.936B,3.638B,,3.638B,557.00M,830.00M,1.248B,,2.635B,,,,987.00M,11.20B,,,,,,,,19.45B,-12.53B,6.923B,5.861B,1.392B,7.253B,625.00M,,,1.595B,16.44B,27.63B,1.404B,,,1.404B,1.225B,2.629B,,,,921.00M,,921.00M,,,,2.216B,5.766B,5.204B,,5.204B,,,,2.058B,559.00M,1.686B,8.948B,14.71B,9.00M,23.25B,3.089B,10.62B,,,-3.368B,12.36B
2009-06,2.596B,378.00M,2.974B,3.456B,,3.456B,553.00M,803.00M,1.245B,,2.601B,,,,867.00M,9.898B,,,,,,,,19.19B,-12.29B,6.899B,5.734B,1.386B,7.12B,413.00M,,,1.726B,16.20B,26.10B,1.243B,,,1.243B,1.116B,2.359B,,,,908.00M,,908.00M,,,,2.051B,5.318B,5.172B,,5.172B,,,,2.763B,418.00M,1.621B,9.556B,14.87B,9.00M,22.68B,3.133B,11.34B,,,-3.683B,10.80B
2009-03,1.632B,247.00M,1.879B,3.099B,,3.099B,573.00M,772.00M,1.315B,,2.66B,,,,1.009B,8.647B,,,,,,,,18.56B,-11.82B,6.744B,5.533B,1.402B,6.935B,358.00M,,,1.616B,15.69B,24.34B,1.124B,,,1.124B,878.00M,2.002B,,,,946.00M,,946.00M,,,,1.78B,4.728B,5.088B,,5.088B,,,,2.811B,404.00M,1.57B,9.469B,14.20B,9.00M,22.35B,3.086B,11.62B,,,-4.091B,9.737B
