,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-09,35.94B,35.94B,30.67B,5.275B,2.657B,38.00M,,238.00M,75.00M,-163.00M,2.20B,4.857B,418.00M,75.00M,238.00M,-163.00M,1.132B,-163.00M,1.387B,426.00M,961.00M,,,-4.00M,,957.00M,939.68M,1.625B,,1.625B,,0.24,,,,0.2356,0.24,,0.24,,,,0.2357,0.24,,3.974B,4.00B,0.15,,AOR,Restated
2016-06,39.48B,39.48B,32.52B,6.963B,2.784B,41.00M,,212.00M,88.00M,-124.00M,2.258B,5.042B,1.921B,88.00M,212.00M,-124.00M,1.078B,-124.00M,2.875B,903.00M,1.972B,,,-2.00M,,1.97B,1.947B,3.087B,,3.087B,,0.50,,,,0.4941,0.50,,0.49,,,,0.4842,0.49,,3.973B,3.997B,0.15,,AOR,Restated
2016-03,37.72B,37.72B,30.52B,7.201B,2.69B,39.00M,,200.00M,76.00M,-124.00M,2.06B,4.75B,2.451B,76.00M,200.00M,-124.00M,1.324B,-124.00M,3.651B,1.196B,2.455B,,,-3.00M,,2.452B,2.377B,3.851B,,3.851B,,0.62,,,,0.6012,0.62,,0.61,,,,0.5913,0.61,,3.97B,3.996B,0.15,,AOR,Restated
2015-12,40.25B,40.25B,34.44B,5.816B,3.361B,37.00M,,212.00M,101.00M,-111.00M,2.005B,5.366B,450.00M,101.00M,212.00M,-111.00M,1.557B,-111.00M,1.896B,32.00M,1.864B,,,4.00M,,1.868B,1.930B,2.108B,,2.108B,,0.47,,,,0.4856,0.47,,0.46,,,,0.4755,0.46,,3.972B,4.002B,0.15,,AOR,Restated
2015-09,38.14B,38.14B,31.21B,6.931B,2.386B,32.00M,,206.00M,76.00M,-130.00M,1.905B,4.291B,2.64B,76.00M,206.00M,-130.00M,781.00M,-130.00M,3.291B,1.099B,2.192B,,,0.00,,2.192B,2.045B,3.497B,,3.497B,,0.55,,,,0.5129,0.55,,0.55,,,,0.5132,0.55,,3.969B,3.999B,0.15,,AOR,Restated
2015-06,37.26B,37.26B,30.33B,6.937B,2.544B,34.00M,,190.00M,83.00M,-107.00M,1.745B,4.289B,2.648B,83.00M,190.00M,-107.00M,745.00M,-107.00M,3.286B,1.125B,2.161B,,,-1.00M,,2.16B,2.148B,3.476B,,3.476B,,0.54,,,,0.5370,0.54,,0.54,,,,0.5370,0.54,,3.974B,4.007B,0.15,,AOR,Restated
2015-03,33.90B,33.90B,29.12B,4.781B,3.465B,31.00M,,165.00M,52.00M,-113.00M,73.00M,3.538B,1.243B,52.00M,165.00M,-113.00M,649.00M,-113.00M,1.779B,625.00M,1.154B,,,-1.00M,,1.153B,1.150B,1.944B,,1.944B,,0.29,,,,0.2893,0.29,,0.29,,,,0.2894,0.29,,3.963B,4.001B,0.15,,AOR,Restated
2014-12,35.87B,35.87B,30.53B,5.344B,1.51B,-96.00M,,178.00M,135.00M,-43.00M,6.661B,8.171B,-2.827B,135.00M,178.00M,-43.00M,-294.00M,-43.00M,-3.164B,-1.257B,-1.907B,,,3.00M,,-1.904B,-1.832B,-2.986B,,-2.986B,,-0.49,,,,-0.4716,-0.49,,-0.49,,,,-0.4716,-0.49,,3.903B,3.903B,0.125,,AOR,Restated
2014-09,34.92B,34.92B,30.87B,4.05B,3.484B,31.00M,,204.00M,77.00M,-127.00M,74.00M,3.558B,492.00M,77.00M,204.00M,-127.00M,656.00M,-127.00M,1.021B,188.00M,833.00M,,,2.00M,,835.00M,804.81M,1.225B,,1.225B,,0.22,,,,0.2122,0.22,,0.21,,,,0.2025,0.21,,3.861B,4.01B,0.125,,AOR,Restated
2014-06,37.41B,37.41B,31.93B,5.481B,3.476B,31.00M,,207.00M,60.00M,-147.00M,104.00M,3.58B,1.901B,60.00M,207.00M,-147.00M,364.00M,-147.00M,2.118B,803.00M,1.315B,,,-4.00M,,1.311B,1.268B,2.325B,,2.325B,,0.33,,,,0.3191,0.33,,0.32,,,,0.3095,0.32,,3.94B,4.088B,0.125,,AOR,Restated
2014-03,35.88B,35.88B,31.70B,4.177B,3.372B,27.00M,,208.00M,68.00M,-140.00M,39.00M,3.411B,766.00M,68.00M,208.00M,-140.00M,633.00M,-140.00M,1.259B,270.00M,989.00M,,,,,989.00M,991.36M,1.467B,,1.467B,,0.25,,,,0.2506,0.25,,0.24,,,,0.2406,0.24,,3.946B,4.094B,0.125,,AOR,Restated
2013-12,37.57B,37.57B,28.32B,9.252B,1.288B,32.00M,,212.00M,48.00M,-164.00M,69.00M,1.357B,7.895B,48.00M,212.00M,-164.00M,607.00M,-164.00M,8.338B,511.00M,7.827B,,,10.00M,,7.837B,7.765B,8.55B,,8.55B,,1.99,,,,1.972,1.99,,1.92,,,,1.902,1.92,,3.941B,4.09B,0.10,,AOR,Restated
2013-09,35.78B,35.78B,30.79B,4.983B,3.235B,28.00M,,204.00M,50.00M,-154.00M,46.00M,3.281B,1.702B,50.00M,204.00M,-154.00M,543.00M,-154.00M,2.091B,818.00M,1.273B,,,-1.00M,,1.272B,1.211B,2.295B,,2.295B,,0.32,,,,0.3046,0.32,,0.31,,,,0.2951,0.31,,3.942B,4.096B,0.10,,AOR,Restated
2013-06,37.92B,37.92B,33.23B,4.694B,3.203B,30.00M,,207.00M,57.00M,-150.00M,53.00M,3.256B,1.438B,57.00M,207.00M,-150.00M,531.00M,-150.00M,1.819B,585.00M,1.234B,,,-1.00M,,1.233B,1.215B,2.026B,,2.026B,,0.31,,,,0.3053,0.31,,0.30,,,,0.2955,0.30,,3.933B,4.084B,0.10,,AOR,Restated
2013-03,35.65B,35.65B,30.71B,4.938B,3.124B,11.00M,,206.00M,58.00M,-148.00M,40.00M,3.164B,1.774B,58.00M,206.00M,-148.00M,497.00M,-148.00M,2.123B,511.00M,1.612B,,,-1.00M,,1.611B,1.545B,2.329B,,2.329B,,0.41,,,,0.3932,0.41,,0.40,,,,0.3838,0.40,,3.923B,4.072B,0.10,,AOR,Restated
2012-12,35.73B,35.73B,32.31B,3.419B,2.749B,30.00M,,142.00M,68.00M,-74.00M,61.00M,2.81B,609.00M,68.00M,142.00M,-74.00M,1.224B,-74.00M,1.759B,216.00M,1.543B,,,3.00M,,1.546B,1.485B,1.901B,,1.901B,,0.40,,,,0.3840,0.40,,0.39,,,,0.3747,0.39,,3.827B,4.009B,0.05,,AOR,Restated
2012-09,32.17B,32.17B,27.41B,4.758B,2.919B,24.00M,,198.00M,85.00M,-113.00M,55.00M,2.974B,1.784B,85.00M,198.00M,-113.00M,575.00M,-113.00M,2.246B,613.00M,1.633B,,,-2.00M,,1.631B,1.594B,2.444B,,2.444B,,0.43,,,,0.4203,0.43,,0.41,,,,0.4007,0.41,,3.814B,3.972B,0.05,,AOR,Restated
2012-06,33.21B,33.21B,28.67B,4.543B,2.983B,25.00M,,188.00M,86.00M,-102.00M,-23.00M,2.96B,1.583B,86.00M,188.00M,-102.00M,114.00M,-102.00M,1.595B,557.00M,1.038B,,,2.00M,,1.04B,1.037B,1.783B,,1.783B,,0.27,,,,0.2693,0.27,,0.26,,,,0.2594,0.26,,3.815B,4.014B,0.05,,AOR,Restated
2012-03,32.44B,32.44B,27.76B,4.685B,2.878B,26.00M,,185.00M,103.00M,-82.00M,-16.00M,2.862B,1.823B,103.00M,185.00M,-82.00M,297.00M,-82.00M,2.038B,640.00M,1.398B,,,-2.00M,,1.396B,1.351B,2.223B,,2.223B,,0.37,,,,0.3583,0.37,,0.35,,,,0.3390,0.35,,3.803B,4.055B,0.05,,AOR,Restated
2011-12,33.92B,33.92B,33.58B,338.00M,2.382B,-338.00M,,-2.58B,114.00M,2.694B,,2.346B,-2.008B,114.00M,-2.58B,2.694B,767.00M,2.694B,1.453B,-12.16B,13.61B,,,1.00M,,13.62B,13.88B,-1.127B,,-1.127B,,3.59,,,,3.660,3.59,,3.32,,,,3.386,3.32,,3.802B,4.042B,0.00,,AOR,Restated
2011-09,33.05B,33.05B,27.62B,5.43B,2.861B,191.00M,,1.096B,130.00M,-966.00M,,2.861B,2.569B,130.00M,1.096B,-966.00M,243.00M,-966.00M,1.846B,194.00M,1.652B,,,-3.00M,,1.649B,1.525B,2.942B,,2.942B,,0.43,0.00,,,0.3973,0.43,,0.41,0.00,,,0.3791,0.41,,3.80B,4.031B,0.00,,AOR,Restated
2011-06,35.53B,35.53B,29.25B,6.274B,2.907B,36.00M,21.00M,1.127B,105.00M,-969.00M,,2.928B,3.346B,105.00M,1.127B,-969.00M,229.00M,-969.00M,2.606B,206.00M,2.40B,,,-2.00M,,2.398B,2.311B,3.733B,,3.733B,,0.63,0.00,,,0.6072,0.63,,0.59,0.00,,,0.5689,0.59,,3.799B,4.102B,0.00,,AOR,Restated
2011-03,33.11B,33.11B,26.78B,6.338B,2.734B,110.00M,,1.174B,109.00M,-1.065B,,2.734B,3.604B,109.00M,1.174B,-1.065B,237.00M,-1.065B,2.776B,220.00M,2.556B,,,-5.00M,,2.551B,2.487B,3.95B,,3.95B,,0.68,0.00,,,0.6629,0.68,,0.61,0.00,,,0.5949,0.61,,3.771B,4.266B,0.00,,AOR,Restated
2010-12,32.43B,32.43B,31.60B,832.00M,3.029B,-993.00M,,-2.999B,170.00M,2.868B,,3.021B,-2.189B,170.00M,-2.999B,2.868B,-399.00M,2.868B,280.00M,92.00M,188.00M,,,2.00M,,190.00M,782.20M,-2.719B,,-2.719B,,0.03,,,,0.1958,0.03,,0.03,,,,0.1680,0.03,,3.572B,4.292B,0.00,,AOR,Restated
2010-09,29.89B,29.89B,24.23B,5.66B,2.654B,18.00M,-36.00M,1.469B,71.00M,-1.29B,,2.618B,3.042B,71.00M,1.469B,-1.29B,135.00M,-1.29B,1.887B,199.00M,1.688B,0.00,,-1.00M,,1.687B,1.672B,3.356B,,3.356B,,0.49,0.00,,,0.4856,0.49,,0.43,0.00,,,0.4264,0.43,,3.446B,4.174B,0.00,,AOR,Restated
2010-06,35.07B,35.07B,27.83B,7.239B,3.137B,71.00M,-131.00M,1.636B,60.00M,-1.509B,,3.006B,4.233B,60.00M,1.636B,-1.509B,123.00M,-1.509B,2.847B,251.00M,2.596B,0.00,,3.00M,,2.599B,2.600B,4.483B,,4.483B,,0.76,0.00,,,0.7603,0.76,,0.61,0.00,,,0.6102,0.61,,3.411B,4.61B,0.00,,AOR,Restated
2010-03,31.57B,31.57B,25.14B,6.427B,3.089B,126.00M,,1.701B,63.00M,-1.597B,,3.089B,3.338B,63.00M,1.701B,-1.597B,394.00M,-1.597B,2.135B,50.00M,2.085B,0.00,,0.00,,2.085B,1.839B,3.836B,,3.836B,,0.62,0.00,,,0.5469,0.62,,0.50,0.00,,,0.4461,0.50,,3.365B,4.569B,0.00,,AOR,Restated
2009-12,34.81B,34.81B,29.29B,5.521B,3.222B,-1.08B,,631.00M,-119.00M,-750.00M,,3.222B,2.299B,-119.00M,631.00M,-750.00M,-641.00M,-750.00M,908.00M,30.00M,878.00M,0.00,,8.00M,,886.00M,1.930B,1.539B,,1.539B,,0.28,0.00,,,0.5959,0.28,,0.25,0.00,,,0.5344,0.25,,3.306B,3.672B,0.00,,AOR,Restated
2009-09,30.27B,30.27B,24.82B,5.455B,3.005B,161.00M,,1.738B,131.00M,-1.607B,,3.005B,2.45B,131.00M,1.738B,-1.607B,269.00M,-1.607B,1.112B,99.00M,1.013B,,,-16.00M,,997.00M,850.33M,2.85B,,2.85B,,0.31,0.00,,,0.2650,0.31,,0.29,0.00,,,0.2491,0.29,,3.259B,3.587B,0.00,,AOR,Restated
2009-06,26.81B,26.81B,23.35B,3.464B,3.11B,3.611B,,1.679B,238.00M,-1.441B,419.00M,3.529B,-65.00M,238.00M,1.679B,-1.441B,3.747B,-1.441B,2.241B,-15.00M,2.256B,5.00M,,0.00,,2.261B,-91.15M,3.92B,,3.92B,,0.75,0.00,,,-0.0319,0.75,,0.69,0.00,,,-0.0102,0.69,,3.002B,3.352B,0.00,,AOR,Restated
2009-03,24.39B,24.39B,21.41B,2.977B,3.692B,1.29B,,1.921B,175.00M,-1.746B,402.00M,4.094B,-1.117B,175.00M,1.921B,-1.746B,1.201B,-1.746B,-1.662B,-227.00M,-1.435B,0.00,,8.00M,,-1.427B,-2.541B,259.00M,,259.00M,,-0.60,0.00,,,-1.065,-0.60,,-0.60,0.00,,,-1.065,-0.60,,2.397B,2.397B,0.00,,AOR,Restated
2008-12,28.97B,28.97B,26.65B,2.323B,4.456B,-1.53B,,1.76B,214.00M,-1.546B,,4.456B,-2.133B,214.00M,1.76B,-1.546B,-1.473B,-1.546B,-5.152B,874.00M,-6.026B,0.00,,48.00M,,-5.978B,-4.984B,-3.392B,,-3.392B,,-2.56,0.00,,,-2.143,-2.56,,-2.56,0.00,,,-2.143,-2.56,,2.387B,2.387B,0.00,,AOR,Restated
2008-09,31.75B,31.75B,25.00B,6.745B,4.575B,-244.00M,,2.812B,300.00M,-2.512B,,4.575B,2.17B,300.00M,2.812B,-2.512B,-231.00M,-2.512B,-573.00M,-463.00M,-110.00M,0.00,,-51.00M,,-161.00M,-2.40M,2.239B,,2.239B,,-0.07,0.00,,,-0.0004,-0.07,,-0.07,0.00,,,-0.0004,-0.07,,2.279B,2.279B,0.00,,AOR,Restated
2008-06,41.10B,41.10B,39.99B,1.108B,7.305B,-192.00M,598.00M,2.442B,406.00M,-2.036B,,7.903B,-6.795B,406.00M,2.442B,-2.036B,-228.00M,-2.036B,-9.059B,-443.00M,-8.616B,8.00M,,-89.00M,,-8.697B,-8.522B,-6.617B,,-6.617B,,-3.89,0.00,,,-3.808,-3.89,,-3.89,0.00,,,-3.808,-3.89,,2.237B,2.237B,0.00,,,Restated
2008-03,43.29B,43.29B,35.46B,7.836B,5.094B,92.00M,344.00M,2.575B,229.00M,-2.346B,,5.438B,2.398B,229.00M,2.575B,-2.346B,234.00M,-2.346B,286.00M,95.00M,191.00M,1.00M,,-122.00M,,70.00M,7.559M,2.861B,,2.861B,,0.03,0.00,,,0.0019,0.03,,0.03,0.00,,,0.0022,0.03,,2.188B,2.208B,0.00,,,Restated
2007-12,44.12B,44.12B,38.45B,5.664B,5.341B,-2.694B,,2.717B,489.00M,-2.228B,,5.341B,323.00M,489.00M,2.717B,-2.228B,-2.567B,-2.228B,-4.472B,-1.761B,-2.711B,7.00M,,-107.00M,,-2.811B,-1.185B,-1.755B,,-1.755B,,-1.41,0.00,,,-0.6418,-1.45,,-1.41,0.00,,,-0.6418,-1.45,,2.126B,2.126B,0.00,,AOR,Restated
2007-09,41.08B,41.08B,33.24B,7.84B,4.904B,-194.00M,,2.949B,,-2.949B,,4.904B,2.936B,,2.949B,-2.949B,-143.00M,-2.949B,-156.00M,162.00M,-318.00M,0.00,,-62.00M,,-380.00M,-253.90M,2.793B,,2.793B,,-0.19,0.00,,,-0.1270,-0.19,,-0.19,0.00,,,-0.1270,-0.19,,2.003B,2.003B,0.00,,AOR,Restated
2007-06,44.24B,44.24B,36.30B,7.939B,4.952B,,,,,,,4.952B,2.987B,,,,139.00M,,926.00M,123.00M,718.00M,32.00M,,-85.00M,,750.00M,718.00M,2.987B,,2.987B,,0.38,0.02,,,0.38,0.40,,0.30,0.01,,,0.30,0.31,,1.875B,2.419B,0.00,,,
2007-03,43.00B,43.00B,34.77B,8.231B,5.964B,,,,,,,5.964B,2.267B,,,,72.00M,,-46.00M,181.00M,-285.00M,3.00M,,-58.00M,,-282.00M,-285.00M,2.267B,,2.267B,,-0.15,0.00,,,-0.15,-0.15,,-0.15,0.00,,,-0.15,-0.15,,1.88B,1.88B,0.00,,,
2006-12,40.30B,40.30B,38.53B,1.775B,5.442B,-48.00M,,2.453B,398.00M,-2.055B,,5.442B,-3.667B,398.00M,2.453B,-2.055B,28.00M,-2.055B,-5.694B,-149.00M,-5.545B,4.00M,,-84.00M,,-5.625B,-5.582B,-3.241B,,-3.241B,,-2.98,0.00,,,-2.953,-3.00,,-2.98,0.00,,,-2.953,-3.00,,1.726B,1.726B,0.00,,,Restated
2006-09,37.10B,37.10B,37.55B,-457.00M,4.489B,-97.00M,,1.937B,555.00M,-1.382B,,4.489B,-4.946B,555.00M,1.937B,-1.382B,-36.00M,-1.382B,-6.364B,-1.16B,-5.204B,4.00M,,-48.00M,,-5.248B,-5.173B,-4.427B,,-4.427B,,-2.79,0.00,,,-2.748,-2.79,,-2.79,0.00,,,-2.748,-2.79,,1.873B,1.873B,0.05,,,Restated
2006-06,41.88B,41.88B,36.18B,5.697B,4.623B,,,,,,,4.623B,1.074B,,,,205.00M,,-668.00M,-364.00M,-323.00M,6.00M,,-19.00M,,-317.00M,-323.00M,1.074B,,1.074B,,-0.17,0.00,,,-0.17,-0.17,,-0.17,0.00,,,-0.17,-0.17,,1.865B,1.865B,0.10,,,
2006-03,40.79B,40.79B,36.70B,4.088B,4.594B,,,,,,,4.594B,-506.00M,,,,79.00M,,-2.348B,-982.00M,-1.425B,2.00M,,-59.00M,,-1.423B,-1.425B,-506.00M,,-506.00M,,-0.76,0.00,,,-0.76,-0.76,,-0.76,0.00,,,-0.76,-0.76,,1.872B,1.872B,0.10,,,
2005-12,46.26B,46.26B,39.13B,7.13B,6.057B,,,,,,,6.057B,1.073B,,,,638.00M,,-283.00M,-527.00M,440.00M,17.00M,,-84.00M,,-74.00M,160.00M,3.217B,,3.217B,,0.08,0.02,,,0.08,-0.04,,0.08,0.01,,,0.08,-0.04,,1.845B,1.845B,0.10,,,Restated
2005-09,40.51B,40.51B,33.47B,7.039B,6.165B,,,,,,,6.165B,874.00M,,,,133.00M,,-843.00M,-314.00M,-583.00M,7.00M,,-54.00M,,-576.00M,-583.00M,874.00M,,874.00M,,-0.31,0.00,,,-0.31,-0.31,,-0.31,0.00,,,-0.31,-0.31,,1.858B,1.858B,0.10,,,
2005-06,44.55B,44.55B,36.71B,7.835B,6.11B,,,,,,,6.11B,1.725B,,,,69.00M,,726.00M,-301.00M,943.00M,3.00M,,-84.00M,,946.00M,943.00M,1.725B,,1.725B,,0.51,0.00,,,0.51,0.51,,0.47,0.00,,,0.47,0.47,,1.855B,2.013B,0.10,,,
2005-03,45.14B,45.14B,37.12B,8.016B,6.275B,,,,,,,6.275B,1.741B,,,,57.00M,,1.549B,314.00M,1.177B,35.00M,,-58.00M,,1.212B,1.177B,1.741B,,1.741B,,0.64,0.02,,,0.64,0.66,,0.58,0.02,,,0.58,0.60,,1.836B,2.02B,0.10,,,
2004-12,45.60B,45.60B,37.12B,8.478B,5.726B,,,,,,,5.726B,2.752B,,,,-1.154B,,-957.00M,-634.00M,-386.00M,41.00M,,-63.00M,0.00,-345.00M,-386.00M,2.752B,,2.752B,,-0.21,0.02,,,-0.21,-0.19,,-0.21,0.02,,,-0.21,-0.19,,1.461B,1.756B,0.10,,,
