,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2006-03,122.97M,,,0.804M,,0.506M,,123.23M,123.23M,-26.53M,5.405M,,23.62M,-15.20M,-0.108M,-9.401M,-11.50M,-56.46M,,,-0.275M,156.25M,,2006-03,-65.63M,33.85M,-31.78M,,0.00,-240.43M,-272.21M,,2006-03,4.441M,,4.441M,56.36M,,56.36M,,,22.86M,,2006-03,568.17M,-32.30M,535.86M,,2006-03,56.36M,4.441M,0.00,,2006-03,AOR,Restated
2005-12,-105.15M,,,2.281M,,120.39M,,97.52M,97.52M,16.67M,-166.21M,,18.68M,,237.21M,-19.53M,26.32M,29.49M,,,19.34M,274.74M,,2005-12,-102.43M,0.00,-102.43M,,0.00,31.48M,-70.94M,,2005-12,-0.001M,,-0.001M,31.58M,0.00,31.58M,,,36.30M,,2005-12,296.49M,271.68M,568.17M,,2005-12,31.58M,,-0.001M,0.00,2005-12,AOR,Restated
2005-09,27.18M,,,-80.11M,,-80.11M,,109.75M,109.75M,-50.22M,139.61M,,2.836M,,-4.364M,-8.233M,8.045M,29.54M,,,-0.857M,173.19M,,2005-09,-59.73M,0.00,-59.73M,,0.00,-474.56M,-534.29M,,2005-09,0.00,,0.00,23.61M,0.00,23.61M,,,-4.317M,,2005-09,638.40M,-341.82M,296.49M,,2005-09,23.61M,0.00,0.00,0.00,2005-09,AOR,Restated
2005-06,34.51M,,,75.12M,,75.12M,,98.82M,98.82M,-72.60M,8.309M,,8.778M,,12.17M,14.80M,-19.76M,77.44M,,,-8.893M,228.69M,,2005-06,-90.37M,408.13M,317.76M,,0.00,709.93M,1.028B,,2005-06,-746.42M,,-746.42M,14.52M,-154.12M,-139.59M,,,-8.511M,,2005-06,276.44M,361.87M,638.40M,,2005-06,14.52M,0.00,-746.42M,-154.12M,2005-06,AOR,Restated
2005-03,43.46M,,,7.972M,,7.972M,,96.11M,96.11M,-9.391M,55.89M,,7.851M,,18.92M,0.838M,-30.45M,-7.797M,,,29.48M,212.89M,,2005-03,-65.85M,0.00,-65.85M,,,61.13M,-4.714M,,2005-03,0.00,,0.00,49.91M,-168.48M,-118.56M,,,-22.61M,,2005-03,209.45M,67.00M,276.44M,,2005-03,49.91M,0.00,,-168.48M,2005-03,AOR,Restated
2004-12,3.603M,,,3.668M,,3.668M,,106.46M,106.46M,50.43M,-15.94M,,5.45M,,90.07M,-50.33M,-33.43M,36.40M,,,-22.00M,180.92M,,2004-12,-142.76M,0.00,-134.01M,,,-57.04M,-199.79M,,2004-12,0.00,,0.00,64.77M,-36.04M,28.73M,,,20.58M,,2004-12,179.02M,30.43M,209.45M,,2004-12,64.77M,,0.00,-36.04M,2004-12,AOR,Restated
2004-09,36.77M,,,1.013M,,1.013M,,129.63M,129.63M,16.17M,22.54M,,3.797M,,14.75M,-30.93M,-26.69M,13.00M,,,-7.495M,172.56M,,2004-09,-83.24M,0.00,-83.24M,,,-82.68M,-165.93M,,2004-09,0.00,,0.00,37.45M,-354.72M,-317.27M,,,6.351M,,2004-09,483.31M,-304.29M,179.02M,,2004-09,37.45M,,0.00,-354.72M,2004-09,AOR,Restated
2004-06,0.827M,,0.00,3.217M,,3.217M,,101.56M,101.56M,-25.02M,8.325M,,4.627M,,106.04M,-22.72M,-23.27M,43.67M,,,-28.28M,168.98M,,2004-06,-78.08M,0.00,-78.08M,,,377.28M,299.20M,,2004-06,0.00,,0.00,65.44M,-343.67M,-278.23M,,,-9.422M,,2004-06,302.78M,180.53M,483.31M,,2004-06,65.44M,,0.00,-343.67M,2004-06,AOR,Restated
2004-03,-41.20M,,,-1.231M,,-1.231M,,101.79M,101.79M,-32.58M,3.554M,,2.921M,,202.92M,7.342M,-7.413M,-29.20M,,,-1.366M,205.54M,,2004-03,-65.68M,,-65.68M,,,-250.23M,-315.91M,,2004-03,,,,105.88M,0.00,105.88M,,,-7.575M,,2004-03,314.85M,-12.06M,302.78M,,2004-03,105.88M,,,0.00,2004-03,AOR,Restated
2003-12,-115.47M,,,-0.133M,,-0.133M,,51.35M,51.35M,-52.42M,0.00,,,,215.72M,14.17M,-3.853M,-77.00M,,,-60.36M,-25.29M,,2003-12,-112.58M,,-112.58M,,,-112.01M,-62.80M,,2003-12,,,,12.52M,0.00,12.52M,,,,,2003-12,363.68M,-48.83M,314.85M,,2003-12,12.52M,,,0.00,2003-12,AOR,Restated
2003-09,45.50M,,,-0.368M,,-0.368M,,3.857M,3.857M,22.38M,0.00,,,,10.18M,-8.093M,-0.113M,14.28M,,,-5.66M,81.96M,,2003-09,-79.24M,,-79.24M,,,65.68M,-13.56M,,2003-09,,,,2.737M,0.00,2.737M,,,,,2003-09,292.54M,71.14M,363.68M,,2003-09,2.737M,,,0.00,2003-09,AOR,Restated
2003-06,28.77M,,,-0.897M,,-0.897M,,3.003M,3.003M,11.53M,0.00,,,,8.955M,-8.238M,0.026M,-5.60M,,,-0.298M,37.25M,,2003-06,-67.15M,,-67.15M,,,-16.08M,-85.73M,,2003-06,,,,4.906M,0.00,4.906M,,,,,2003-06,336.11M,-43.57M,292.54M,,2003-06,4.906M,,,0.00,2003-06,AOR,Restated
2003-03,41.20M,,,-0.755M,,-0.755M,,3.10M,3.10M,14.60M,0.00,,,,9.913M,7.726M,-4.78M,1.547M,,,3.493M,76.05M,,2003-03,-42.27M,,-42.27M,,,-52.07M,-94.34M,,2003-03,,,,4.278M,,4.278M,,,,,2003-03,350.13M,-14.02M,336.11M,,2003-03,4.278M,,,,2003-03,AOR,Restated
2002-12,-157.72M,,,,,-2.779M,,-21.20M,-21.20M,74.42M,,,,,134.20M,-59.29M,,24.65M,,,54.07M,11.62M,,2002-12,-3.23M,,-3.636M,0.406M,,-654.43M,-657.66M,,2002-12,699.25M,,699.25M,,-126.62M,-103.56M,,,-21.94M,,2002-12,50.51M,-72.28M,350.13M,,2002-12,,,3.249M,-126.62M,2002-12,AOR,Restated
2002-09,42.21M,,,,,,,10.83M,10.83M,0.105M,,,,,21.83M,23.56M,,,,,-31.84M,66.70M,,2002-09,-47.66M,,-48.83M,1.168M,,-0.734M,-48.40M,,2002-09,-0.806M,,-0.806M,,0.00,0.00,,,3.455M,,2002-09,30.24M,20.95M,50.51M,,2002-09,,,-0.806M,0.00,2002-09,AOR,
2002-06,43.38M,,,,,-10.82M,10.45M,30.98M,30.98M,0.109M,,,,,-0.264M,-5.479M,,20.51M,16.00M,,-54.84M,39.57M,,2002-06,-67.00M,,-65.43M,-1.574M,,-44.88M,-110.90M,,2002-06,-2.443M,,-2.443M,,-8.384M,-8.384M,,,17.14M,,2002-06,94.52M,-65.02M,30.24M,,2002-06,,,-2.443M,-8.384M,2002-06,AOR,
2002-03,72.14M,,,,,10.82M,-10.45M,-10.45M,-10.45M,-0.214M,,,,,20.89M,4.646M,,-20.51M,-16.00M,,,61.33M,,2002-03,-48.01M,,-48.01M,,,26.79M,-22.20M,,2002-03,,,,,,,,,1.349M,,2002-03,54.04M,40.48M,94.52M,,2002-03,,,,,2002-03,AOR,
2001-12,58.88M,,,,,-32.75M,,8.91M,8.91M,16.98M,,,,,-22.51M,-19.62M,,71.23M,,,-11.22M,57.50M,,2001-12,-60.64M,,-59.34M,-1.30M,0.00,14.36M,-46.29M,,2001-12,-1.639M,,-1.639M,35.03M,-25.15M,9.881M,,,-24.86M,,2001-12,59.61M,-5.402M,54.04M,,2001-12,35.03M,,-1.639M,-25.15M,2001-12,AOR,Restated
2001-09,69.82M,,,,,-19.72M,18.07M,46.18M,46.18M,-0.086M,,,,,15.14M,7.46M,,-9.687M,-3.962M,,-18.07M,87.08M,,2001-09,489.33M,,492.81M,-3.481M,90.90M,-651.25M,-68.60M,,2001-09,-3.249M,,-3.249M,,-63.13M,-63.13M,,,31.54M,,2001-09,75.97M,-16.36M,59.61M,,2001-09,,,-3.249M,-63.13M,2001-09,AOR,
2001-06,71.85M,,,,,19.72M,-18.07M,-26.85M,-26.85M,0.156M,,,,,26.52M,-19.65M,,9.687M,3.962M,,-2.532M,82.86M,,2001-06,-587.08M,,-587.93M,0.848M,-90.90M,656.28M,-24.13M,,2001-06,0.805M,,0.805M,,5.047M,5.047M,,,-17.07M,,2001-06,28.46M,47.52M,75.97M,,2001-06,,,0.805M,5.047M,2001-06,AOR,
2001-03,72.12M,,,,,,,8.777M,8.777M,-0.07M,,,,,9.618M,-3.626M,,,,,2.532M,89.35M,,2001-03,-37.40M,,-36.55M,-0.848M,,-76.76M,-114.16M,,2001-03,-0.805M,,-0.805M,0.00,-5.047M,-5.047M,,,10.38M,,2001-03,48.74M,-20.28M,28.46M,,2001-03,0.00,,-0.805M,-5.047M,2001-03,AOR,
2000-12,71.77M,,,,,,,17.15M,17.15M,106.01M,,,,,98.20M,0.97M,,,,,-49.31M,175.28M,,2000-12,-63.63M,,-62.24M,-1.397M,,3.543M,-65.09M,,2000-12,-1.639M,,-1.639M,35.96M,-19.79M,16.17M,,,-111.89M,,2000-12,35.85M,12.83M,48.74M,,2000-12,35.96M,,-1.639M,-19.79M,2000-12,AOR,Restated
2000-09,68.38M,,,,,,,5.563M,5.563M,-0.052M,,,,,-0.016M,8.611M,,,,,-5.507M,76.98M,,2000-09,-53.32M,,-52.19M,-1.134M,,-39.05M,-92.38M,,2000-09,-0.806M,,-0.806M,0.00,-29.68M,-29.68M,,,14.27M,,2000-09,67.46M,-31.61M,35.85M,,2000-09,0.00,,-0.806M,-29.68M,2000-09,AOR,
2000-06,72.06M,,,,,,,8.088M,8.088M,-0.005M,,,,,-5.205M,-18.81M,,,,,40.27M,96.40M,,2000-06,-46.75M,,-45.82M,-0.933M,,9.164M,-37.58M,,2000-06,-1.638M,,-1.638M,0.00,-101.26M,-101.26M,,,9.503M,,2000-06,102.04M,-34.58M,67.46M,,2000-06,0.00,,-1.638M,-101.26M,2000-06,AOR,
2000-03,121.37M,,,,,,,8.233M,8.233M,0.273M,,,,,-93.23M,1.869M,,,,,-20.79M,17.73M,,2000-03,-35.90M,,-34.65M,-1.249M,,125.46M,89.56M,,2000-03,-0.805M,,-0.805M,0.00,-149.47M,-149.47M,,,88.10M,,2000-03,56.92M,45.12M,102.04M,,2000-03,0.00,,-0.805M,-149.47M,2000-03,AOR,
1999-12,69.35M,,,,,-16.90M,22.60M,53.70M,53.70M,-25.68M,,,,,66.54M,-7.482M,,6.787M,-1.10M,,,200.78M,,1999-12,-42.53M,,-38.73M,,,-1.453M,-50.98M,,1999-12,,,,,,,,,-44.30M,,1999-12,73.50M,-16.52M,56.92M,,1999-12,,,,,1999-12,AOR,Restated
1999-09,62.00M,,,,,1.20M,-7.10M,-7.10M,-7.10M,-0.40M,,,,,14.20M,-16.70M,,9.70M,8.50M,,,71.40M,,1999-09,-17.80M,,-17.80M,,,-41.10M,-60.30M,,1999-09,,,,,,,,,9.70M,,1999-09,52.70M,20.80M,73.50M,,1999-09,,,,,1999-09,,
1999-06,43.40M,,,,,16.00M,-8.90M,-8.90M,-8.90M,3.60M,,,,,17.80M,-11.00M,,11.00M,-10.30M,,,61.60M,,1999-06,-13.40M,,-13.40M,,,-42.40M,-56.30M,,1999-06,,,,,,,,,-44.10M,,1999-06,91.40M,-38.80M,52.70M,,1999-06,,,,,1999-06,,
1999-03,45.70M,,,,,-0.30M,-6.60M,-6.60M,-6.60M,-1.50M,,,,,13.20M,-0.90M,,-22.70M,2.90M,,,29.80M,,1999-03,-12.60M,,-12.60M,,,-28.80M,-42.50M,,1999-03,,,,,,,,,78.70M,,1999-03,25.40M,66.00M,91.40M,,1999-03,,,,,1999-03,,
1998-12,41.90M,,,,,-0.60M,18.00M,42.59M,42.59M,-4.014M,,,,,-36.79M,-11.08M,,20.93M,12.50M,,,42.04M,,1998-12,-14.11M,,-9.549M,,,-79.27M,-89.58M,,1998-12,,,,,,,,,33.00M,,1998-12,,,25.44M,,1998-12,,,,,1998-12,AOR,Restated
1998-09,37.60M,,,,,0.60M,-6.40M,-6.40M,-6.40M,-1.70M,,,,,12.60M,-4.60M,,22.30M,-3.10M,,,57.30M,,1998-09,-6.40M,,-6.40M,,,-22.60M,-29.80M,,1998-09,,,,,,,,,-5.30M,,1998-09,,,,,1998-09,,,,,1998-09,,
1998-06,31.40M,,,,,-0.80M,-6.00M,-6.00M,-6.00M,4.70M,,,,,12.20M,-11.60M,,-0.80M,-2.90M,,,26.20M,,1998-06,-8.70M,,-8.70M,,,5.40M,-4.80M,,1998-06,,,,,,,,,-15.10M,,1998-06,,,,,1998-06,,,,,1998-06,,
