,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-09,2.628B,2.628B,1.259B,1.369B,-3.564M,313.58M,,,,359.73M,806.32M,562.48M,,,,-3.564M,,451.32M,170.58M,280.74M,,,,3.398M,280.74M,282.96M,695.49M,133.01M,562.48M,1.31,0.0,,1.32,1.31,1.3,0.0,,1.31,1.3,212.21M,213.17M,0.55
2001-06,2.112B,2.112B,1.021B,1.092B,-4.234M,256.48M,,,,395.72M,789.08M,302.54M,,,,-4.234M,,192.36M,88.28M,104.07M,,,,3.398M,104.07M,106.61M,439.41M,136.67M,302.54M,0.48,0.0,,0.492,0.48,0.48,0.0,,0.492,0.48,212.12M,212.56M,0.55
2001-03,2.886B,2.886B,1.650B,1.237B,-1.651M,307.75M,,,,390.05M,832.80M,403.78M,,,,-1.651M,,294.22M,111.70M,182.51M,,,,3.398M,182.51M,183.54M,538.86M,135.08M,403.78M,0.84,0.0,,0.8448,0.84,0.84,0.0,,0.8448,0.84,212.16M,212.16M,0.55
2000-12,2.250B,2.250B,1.258B,991.80M,-34.96M,225.37M,,,,389.28M,761.93M,229.87M,,,,-34.96M,,99.39M,39.71M,59.68M,,,,3.399M,59.68M,80.66M,377.16M,147.28M,229.87M,0.22,0.0,,0.3193,0.22,0.21,0.0,,0.308,0.21,211.28M,214.13M,0.545
2000-09,2.821B,2.821B,1.446B,1.375B,8.08M,330.04M,,,,378.43M,859.26M,515.60M,,,,8.08M,,412.68M,132.80M,279.87M,,,-3.399M,,279.87M,274.39M,666.39M,150.78M,515.60M,1.32,0.0,,1.294,1.32,1.32,0.0,,1.294,1.32,211.97M,211.97M,0.545
2000-06,2.042B,2.042B,998.61M,1.043B,-1.534M,275.35M,,,,418.00M,838.97M,204.31M,,,,-1.534M,,100.68M,31.94M,68.75M,,,-3.398M,3.398M,68.75M,69.79M,349.93M,145.62M,204.31M,0.33,0.0,,0.3349,0.33,0.33,0.0,,0.3349,0.33,211.97M,211.97M,0.545
2000-03,2.319B,2.319B,1.082B,1.237B,4.155M,291.08M,,,,418.93M,852.73M,384.13M,,,,4.155M,,294.16M,102.62M,191.53M,,,,3.398M,191.53M,188.83M,526.86M,142.72M,384.13M,0.88,0.0,,0.8672,0.88,0.88,0.0,,0.8672,0.88,211.96M,211.96M,0.545
1999-12,1.889B,1.889B,833.50M,1.056B,-8.40M,276.60M,,,,406.40M,808.40M,247.50M,,,,-8.40M,,152.10M,27.10M,125.00M,,,,3.40M,125.00M,131.90M,372.90M,125.40M,247.50M,0.58,0.0,,0.6121,0.58,0.57,0.0,,0.6017,0.57,214.74M,218.07M,0.535
1999-09,2.346B,2.346B,838.90M,1.507B,9.00M,317.80M,,,,441.10M,893.40M,613.90M,,,,9.00M,,534.30M,194.90M,339.40M,,,,3.40M,339.40M,333.68M,748.40M,134.50M,613.90M,1.5,0.0,,1.474,1.5,1.5,0.0,,1.474,1.5,220.29M,220.29M,0.535
1999-06,1.479B,1.479B,480.90M,998.10M,-0.30M,285.00M,,,,381.70M,800.30M,197.80M,,,,-0.30M,,118.70M,48.90M,69.80M,,,,3.40M,69.80M,69.98M,331.40M,133.59M,197.80M,0.3,0.0,,0.3008,0.3,0.3,0.0,,0.3008,0.3,225.98M,225.98M,0.535
1999-03,1.777B,1.777B,585.90M,1.191B,1.049M,300.38M,,,,397.40M,830.49M,360.20M,,,,1.049M,,282.00M,101.96M,180.04M,,,,3.398M,180.04M,179.38M,492.91M,132.71M,360.20M,0.76,0.0,,0.7571,0.76,0.76,0.0,,0.7571,0.76,231.00M,231.00M,0.535
1998-12,1.617B,1.617B,466.10M,1.151B,-0.60M,289.40M,,,,431.00M,851.20M,299.90M,,,,-0.60M,,221.40M,86.30M,135.10M,,,,3.40M,135.10M,135.47M,430.70M,130.80M,299.90M,0.56,0.0,,0.5616,0.56,0.56,0.0,,0.5616,0.56,233.16M,233.16M,0.53
1998-09,2.062B,2.062B,586.50M,1.475B,-8.30M,326.10M,,,,388.60M,844.90M,630.20M,,,,-8.30M,,542.30M,190.70M,351.60M,,,,4.50M,351.60M,356.98M,760.40M,130.20M,630.20M,1.49,0.0,,1.5130000000000001,1.49,1.49,0.0,,1.5130000000000001,1.49,233.63M,233.63M,0.53
1998-06,1.561B,1.561B,535.20M,1.026B,4.10M,290.40M,,,,422.10M,841.80M,184.10M,,,,4.10M,,102.00M,35.50M,66.50M,,,,4.50M,66.50M,63.83M,313.40M,129.20M,184.10M,0.26,0.0,,0.2486,0.26,0.26,0.0,,0.2486,0.26,234.99M,234.99M,0.53
