,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,-5.039B,-5.039B,,,,,,,,,,,,9.458B,,,,,,,,-496.50M,,,,,652.40M,-1.977B,9.698B,239.60M,9.458B,0.64,4.32,,0.64,1.58,0.64,4.28,,0.64,1.56,877.05M,888.45M,
2002-09,6.306B,6.306B,3.712B,2.594B,,1.068B,,,,,,,1.306B,1.288B,,,,,,1.079B,412.30M,640.30M,,0.00,-11.90M,,640.30M,640.30M,1.526B,237.90M,1.288B,0.74,0.0,0.0,0.74,0.74,0.72,0.0,0.0,0.72,0.72,876.40M,885.15M,
2002-06,5.850B,5.850B,3.370B,2.480B,,1.063B,,,,,,,1.302B,1.178B,,,,,,932.10M,374.20M,546.50M,,0.00,-7.70M,,546.50M,546.50M,1.416B,238.70M,1.178B,0.62,0.0,0.0,0.62,0.62,0.62,0.0,0.0,0.62,0.62,878.05M,890.85M,
2002-03,5.672B,5.672B,3.641B,2.031B,,936.10M,,,,,,,1.166B,865.50M,,,,,,669.30M,274.40M,367.40M,,-1.481B,-13.40M,,-1.114B,367.40M,1.095B,229.40M,865.50M,0.42,-1.7,-0.0,0.42,-1.28,0.42,-1.7,-1.689,0.42,-1.28,876.75M,889.35M,
2001-12,6.040B,6.040B,3.584B,2.455B,,1.276B,,,,,,,2.059B,396.40M,,,,,,356.40M,314.90M,-38.60M,,-3.90M,5.00M,,-42.50M,-38.60M,1.179B,782.70M,396.40M,-0.04,0.0,0.0,-0.04,-0.04,-0.04,0.0,-0.0045,-0.04,-0.04,879.90M,879.90M,
2001-09,5.714B,5.714B,3.708B,2.006B,,1.029B,,,,,,,1.812B,193.70M,,,,,,-54.60M,169.40M,-190.40M,,0.00,41.30M,,-190.40M,-190.40M,976.90M,783.20M,193.70M,-0.22,0.0,0.0,-0.22,-0.22,-0.22,0.0,0.0,-0.22,-0.22,884.00M,884.00M,
2001-06,5.717B,5.717B,3.115B,2.602B,,1.240B,,,,,,,2.016B,585.80M,,,,,,332.60M,314.70M,16.70M,,0.00,5.90M,,16.70M,16.70M,1.362B,775.90M,585.80M,0.02,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.02,0.02,884.30M,900.10M,
2001-03,5.752B,5.752B,3.594B,2.158B,,1.009B,,,,,,,1.755B,403.70M,,,,,,148.40M,123.50M,-7.30M,,0.00,-5.10M,,-7.30M,-7.30M,1.149B,745.20M,403.70M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.20M,814.20M,
2000-12,1.584B,1.584B,,,,,,,,,,,,13.85B,,,,,,,,92.40M,,,,,30.40M,-421.90M,14.61B,763.00M,13.85B,0.1,0.06,,0.1,0.16,0.1,-0.04,,0.1,0.16,735.57M,735.57M,
2000-09,5.811B,5.811B,3.201B,2.610B,,1.169B,,0.00,,,,,1.850B,759.90M,,,,,,528.70M,424.20M,33.40M,,0.00,-27.10M,,33.40M,33.40M,1.440B,680.30M,759.90M,0.04,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.04,0.04,751.85M,772.25M,
2000-06,4.851B,4.851B,2.826B,2.025B,,1.054B,,-698.50M,,,,,1.605B,420.30M,,,,-698.50M,,-474.40M,12.10M,-495.60M,,0.00,-12.00M,,-495.60M,-76.50M,971.30M,551.00M,420.30M,-0.82,0.0,0.0,-0.1259,-0.82,-0.82,0.0,0.0,-0.1259,-0.82,603.80M,603.80M,
2000-03,3.026B,3.026B,1.995B,1.031B,,561.10M,,,,,,,790.30M,240.40M,,,,,,129.10M,58.10M,68.00M,,-452.30M,3.10M,,-384.30M,68.00M,469.60M,229.20M,240.40M,0.2,-1.3,-0.0,0.2,-1.1,0.2,-1.3,-1.3019999999999998,0.2,-1.1,347.40M,355.75M,
1999-12,3.572B,3.572B,2.331B,1.241B,,646.20M,,,,,,,945.40M,296.00M,,,,,,270.90M,115.80M,133.10M,,0.00,0.60M,0.00,133.10M,133.10M,524.90M,228.90M,296.00M,0.38,0.0,0.0,0.38,0.38,0.38,0.0,0.0001,0.38,0.36,348.65M,356.10M,
1999-09,3.332B,3.332B,2.119B,1.213B,,602.50M,,-70.30M,,,,,821.20M,391.50M,,,,-70.30M,,208.30M,93.20M,110.90M,,-14.20M,-0.40M,,96.70M,153.08M,610.20M,218.70M,391.50M,0.32,-0.04,0.0,0.4411,0.28,0.32,-0.04,-0.0408,0.4389,0.28,348.35M,354.75M,
1999-06,3.003B,3.003B,1.935B,1.068B,,585.60M,,0.00,,,,,785.60M,282.30M,,,,,,182.80M,105.10M,59.30M,,0.00,-0.20M,,59.30M,59.30M,482.30M,200.00M,282.30M,0.18,0.0,0.0,0.18,0.18,0.16,0.0,0.0,0.16,0.16,345.30M,352.50M,
1999-03,2.951B,2.951B,1.952B,999.00M,,524.40M,,,,,,,721.50M,277.50M,,,,,,181.90M,97.30M,68.40M,,-23.50M,-0.10M,12.40M,44.90M,68.40M,474.60M,197.10M,277.50M,0.16,-0.06,0.0,0.16,0.1,0.16,-0.06,-0.0675,0.16,0.1,348.05M,355.55M,
1998-12,3.342B,3.342B,2.364B,978.30M,,592.70M,,35.20M,,,,,682.00M,296.30M,,,,,,185.20M,53.30M,89.80M,3.40M,,0.40M,12.20M,18.50M,64.73M,1.762B,1.465B,296.30M,0.185,0.0191,,0.113,0.2042,0.185,0.0191,,0.113,0.2042,348.03M,348.03M,
1998-09,3.289B,3.289B,2.145B,1.143B,,543.60M,192.50M,-12.40M,,,,,736.10M,407.30M,,,,-12.40M,,237.00M,150.60M,86.40M,52.00M,,-0.50M,15.00M,138.40M,93.84M,599.80M,-223.10M,407.30M,0.4016,0.2924,,0.4016,0.694,0.4016,0.2924,,0.4016,0.694,,,
1998-06,2.779B,2.779B,2.266B,513.60M,,503.40M,235.60M,-18.70M,,,,,739.00M,-225.40M,,,,-18.70M,,-400.30M,-133.00M,-267.30M,-13.40M,,-0.40M,15.00M,-280.70M,-254.81M,10.20M,-235.60M,-225.40M,-1.588,-0.0754,,-1.517,-1.663,-1.588,-0.0754,,-1.517,-1.663,177.81M,177.81M,
