,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,146.70M,,,,0.00,-0.50M,,,156.90M,156.90M,-16.40M,-0.20M,15.70M,23.20M,,28.70M,-10.50M,11.00M,8.30M,,,5.40M,,359.50M,,2018-03,-58.40M,,,0.00,-1.70M,-50.10M,,2018-03,-0.20M,,-0.20M,15.40M,,15.40M,-85.10M,-85.10M,-80.20M,,2018-03,672.10M,,901.30M,,2018-03,15.40M,0.00,-0.20M,,2018-03,AOR,Restated
2017-12,-251.00M,,,,0.10M,2.30M,,,154.60M,154.60M,114.50M,-0.10M,0.20M,24.00M,,28.40M,-7.80M,-30.10M,302.40M,,,292.10M,,365.00M,,2017-12,-66.40M,,,0.00,-1.50M,-369.60M,,2017-12,-58.40M,,-58.40M,7.00M,,7.00M,-85.00M,-85.00M,-149.70M,,2017-12,826.40M,,672.10M,,2017-12,7.00M,74.00M,-132.40M,,2017-12,AOR,Restated
2017-09,189.10M,,,-13.80M,0.00,-0.80M,,,152.60M,152.60M,-25.00M,0.10M,0.10M,23.60M,,28.10M,-16.40M,-30.20M,1.10M,,,-17.70M,,350.10M,,2017-09,-59.80M,,,0.00,-1.80M,-200.60M,,2017-09,-15.40M,,-15.40M,15.10M,,15.10M,-84.50M,-84.50M,-96.10M,,2017-09,773.00M,,826.40M,,2017-09,15.10M,53.00M,-68.40M,,2017-09,AOR,Restated
2017-06,170.60M,,,13.80M,0.10M,9.30M,,,151.80M,151.80M,-21.90M,0.50M,0.10M,22.40M,,27.50M,-50.60M,-9.90M,42.20M,,,-15.30M,,345.00M,,2017-06,-22.20M,,,0.00,8.20M,-391.40M,,2017-06,-0.20M,,-0.20M,4.50M,,4.50M,-82.90M,-82.90M,-89.30M,,2017-06,908.70M,,773.00M,,2017-06,4.50M,60.00M,-60.20M,,2017-06,AOR,Restated
2017-03,136.87M,0.068M,,0.011M,0.033M,43.99M,,,128.28M,128.28M,-74.68M,-0.005M,2.963M,22.01M,,20.51M,-3.249M,3.026M,-0.103M,,,42.73M,-0.048M,322.61M,,2017-03,-22.96M,,,1.248M,-0.672M,-487.50M,,2017-03,526.09M,,526.09M,13.31M,,13.31M,-82.55M,-82.55M,409.70M,,2017-03,663.94M,0.007M,908.70M,,2017-03,13.31M,2.665B,-2.139B,,2017-03,AOR,Restated
2016-12,107.18M,0.00,,0.00,0.055M,0.052M,,,114.97M,114.97M,-34.40M,0.005M,10.64M,22.12M,,13.56M,-18.12M,4.724M,5.12M,,,57.65M,-0.966M,290.80M,,2016-12,-15.69M,,,0.00,16.64M,-34.18M,,2016-12,4.804M,,4.804M,3.441M,,3.441M,-77.97M,-77.97M,-82.04M,,2016-12,489.99M,-0.633M,663.94M,,2016-12,3.441M,132.00M,-127.20M,,2016-12,AOR,Restated
2016-09,33.92M,0.00,,0.007M,0.056M,0.049M,,,112.82M,112.82M,-50.73M,-0.013M,0.048M,24.39M,,13.37M,-15.53M,94.85M,-4.017M,,,83.95M,4.318M,222.12M,,2016-09,-18.15M,,,0.00,-2.453M,-20.59M,,2016-09,-244.70M,,-244.70M,20.82M,,20.82M,-77.64M,-77.64M,-312.17M,,2016-09,600.53M,0.104M,489.99M,,2016-09,20.82M,105.00M,-349.70M,,2016-09,AOR,Restated
2016-06,-113.36M,-0.468M,,0.082M,0.056M,-0.391M,,,113.14M,113.14M,32.91M,0.013M,2.253M,59.58M,,13.16M,-9.901M,121.10M,-18.00M,,,110.67M,5.996M,223.97M,,2016-06,-18.49M,,,-2.747B,-0.713M,-2.296B,,2016-06,677.80M,,677.80M,4.63M,,4.63M,-77.24M,-77.24M,580.02M,,2016-06,2.093B,-0.478M,600.53M,,2016-06,4.63M,1.28B,-602.20M,,2016-06,AOR,Restated
2016-03,67.33M,0.025M,,0.354M,0.011M,0.35M,,,75.54M,75.54M,-49.28M,1.77M,0.028M,17.30M,-0.065M,11.82M,-42.13M,13.43M,59.33M,,,77.72M,0.00,202.51M,,2016-03,-16.48M,,,0.112M,-1.135M,1.582B,,2016-03,43.50M,,43.50M,10.78M,0.029M,10.81M,-73.16M,-73.16M,-23.42M,,2016-03,331.45M,0.00,2.093B,,2016-03,10.78M,1.087B,-1.043B,,2016-03,AOR,Restated
2015-12,61.21M,0.00,,-0.095M,0.056M,-0.139M,,,76.18M,76.18M,24.88M,2.498M,4.042M,16.96M,-0.328M,14.00M,34.86M,39.37M,-12.99M,,,11.17M,0.00,210.48M,,2015-12,-17.87M,,,0.00,-2.98M,-53.91M,,2015-12,-288.17M,,-288.17M,4.396M,0.00,4.396M,-72.92M,-72.92M,-364.20M,,2015-12,539.08M,0.00,331.45M,,2015-12,4.396M,93.00M,-381.17M,,2015-12,AOR,Restated
2015-09,64.90M,0.00,,0.00,0.056M,-0.244M,,,71.11M,71.11M,-18.49M,2.336M,0.53M,23.03M,-0.144M,13.45M,8.266M,19.30M,-47.60M,,,-6.583M,0.00,149.89M,,2015-09,-29.94M,,,-343.93M,12.45M,-540.68M,,2015-09,799.33M,,799.33M,10.02M,-363.83M,-353.81M,-72.68M,-72.68M,366.32M,,2015-09,563.55M,0.00,539.08M,,2015-09,10.02M,879.50M,-80.17M,,2015-09,AOR,Restated
2015-06,130.46M,-2.225M,,-13.96M,0.177M,-16.57M,,,60.38M,60.38M,-17.51M,2.396M,0.00,14.11M,-0.263M,12.73M,-3.096M,-23.89M,16.16M,,,-4.206M,0.00,181.53M,,2015-06,-33.61M,,,-15.38M,-1.139M,-187.19M,,2015-06,34.83M,,34.83M,3.497M,,3.497M,-72.33M,-72.33M,-38.61M,,2015-06,607.82M,0.00,563.55M,,2015-06,3.497M,145.00M,-110.17M,,2015-06,AOR,Restated
2015-03,98.58M,0.00,,,0.188M,32.35M,,,73.19M,73.19M,-38.61M,2.388M,0.097M,15.18M,-0.116M,8.311M,-31.34M,-3.167M,5.009M,,,-12.86M,,178.51M,,2015-03,-29.46M,,,-9.161M,-1.389M,-1.56M,,2015-03,70.93M,,70.93M,13.60M,0.00,13.60M,-72.05M,-72.05M,-25.47M,,2015-03,456.34M,0.00,607.82M,,2015-03,13.60M,2.812B,-2.741B,,2015-03,AOR,Restated
2014-12,84.80M,0.00,,,0.062M,0.062M,,,73.30M,73.30M,10.29M,2.495M,1.59M,14.82M,-0.118M,3.045M,44.88M,-3.368M,-23.18M,,,-5.448M,,184.84M,,2014-12,-36.64M,,,-21.17M,-1.615M,-156.57M,,2014-12,15.47M,,15.47M,6.794M,0.00,6.794M,-71.79M,-71.79M,-53.37M,,2014-12,481.44M,0.00,456.34M,,2014-12,6.794M,139.40M,-123.93M,,2014-12,AOR,Restated
2014-09,92.04M,0.00,,,0.035M,0.035M,,,70.82M,70.82M,-2.178M,2.477M,0.15M,15.27M,-0.982M,2.989M,7.818M,7.061M,-11.40M,,,11.42M,,192.05M,,2014-09,-38.74M,,,-254.23M,-2.536M,-247.76M,,2014-09,-14.52M,,-14.52M,9.91M,0.00,9.91M,-71.44M,-71.44M,-80.41M,,2014-09,617.77M,-0.201M,481.44M,,2014-09,9.91M,128.50M,-143.02M,,2014-09,AOR,Restated
2014-06,89.91M,0.00,,,0.032M,0.032M,,,60.99M,60.99M,-2.319M,2.589M,0.406M,13.32M,0.00,2.909M,-37.25M,24.99M,-4.415M,,,-2.047M,,165.79M,,2014-06,-44.64M,,,-375.36M,-1.123M,-272.43M,,2014-06,329.85M,,329.85M,4.125M,,4.125M,-71.20M,-71.20M,257.81M,,2014-06,466.60M,,617.77M,,2014-06,4.125M,504.38M,-174.52M,,2014-06,AOR,Restated
2014-03,111.50M,,,0.449M,-0.034M,0.659M,,,45.44M,45.44M,-18.87M,2.687M,0.00,12.41M,-1.411M,3.371M,-18.13M,12.09M,10.24M,,,47.56M,,203.34M,,2014-03,-33.54M,,,0.00,-1.572M,-54.92M,,2014-03,-0.141M,,-0.141M,17.57M,,17.57M,-70.88M,-70.88M,-56.92M,,2014-03,375.10M,0.00,466.60M,,2014-03,17.57M,300.00M,-300.14M,,2014-03,AOR,Restated
2013-12,105.40M,,,-2.639M,-0.15M,-2.789M,,,45.24M,45.24M,12.32M,2.499M,0.00,13.72M,0.00,2.068M,6.317M,1.515M,-19.86M,,,-30.16M,,148.30M,,2013-12,-24.33M,,,-9.013M,-4.511M,-59.27M,,2013-12,9.865M,,9.865M,9.629M,,9.629M,-70.55M,-70.55M,-58.13M,,2013-12,344.20M,0.00,375.10M,,2013-12,9.629M,93.50M,-83.64M,,2013-12,AOR,Restated
2013-09,99.81M,,,-0.264M,0.101M,-0.163M,,,48.05M,48.05M,6.574M,2.627M,0.35M,15.00M,0.00,1.151M,1.769M,-18.15M,-5.915M,,,-15.85M,,157.55M,,2013-09,-27.45M,,,0.00,-1.335M,-176.96M,,2013-09,29.87M,,29.87M,20.27M,,20.27M,-70.09M,-70.09M,-39.62M,,2013-09,403.23M,0.00,344.20M,,2013-09,20.27M,100.00M,-70.13M,,2013-09,AOR,Restated
2013-06,78.58M,,,0.016M,0.26M,0.276M,,,50.41M,50.41M,5.298M,2.941M,0.00,12.66M,0.00,3.88M,-2.462M,-13.96M,3.909M,,,13.33M,,167.37M,,2013-06,-27.76M,,,-2.174M,14.58M,-212.13M,,2013-06,-10.04M,,-10.04M,12.61M,,12.61M,-69.68M,-69.68M,-80.34M,,2013-06,528.33M,,403.23M,,2013-06,12.61M,640.00M,-650.04M,,2013-06,AOR,Restated
2013-03,59.69M,,,-0.115M,0.235M,0.12M,,,63.63M,63.63M,-18.39M,2.882M,0.001M,13.36M,-0.143M,6.544M,-52.45M,18.72M,17.62M,,,0.191M,,127.88M,,2013-03,-14.74M,,,0.00,-0.712M,-18.83M,,2013-03,10.00M,,10.00M,28.75M,,28.75M,-69.23M,-69.23M,-46.01M,,2013-03,465.29M,0.00,528.33M,,2013-03,28.75M,641.00M,-631.00M,,2013-03,AOR,Restated
2012-12,10.17M,,,-0.336M,0.229M,-0.347M,,,64.01M,64.01M,-0.556M,10.30M,0.478M,14.12M,-0.042M,2.144M,52.96M,24.81M,-30.87M,,,38.92M,,139.21M,,2012-12,-9.864M,,,0.00,-1.574M,-57.95M,,2012-12,10.00M,,10.00M,6.301M,,6.301M,-68.70M,-68.70M,-52.35M,,2012-12,436.74M,-0.353M,465.29M,,2012-12,6.301M,60.00M,-50.00M,,2012-12,AOR,Restated
2012-09,-21.18M,,,0.259M,0.032M,0.275M,,,51.21M,51.21M,-12.35M,,0.334M,14.61M,-0.092M,2.097M,2.698M,22.02M,-32.44M,,,28.40M,,63.30M,,2012-09,-15.91M,,,-731.75M,-0.579M,-951.06M,,2012-09,600.00M,,600.00M,11.36M,,11.36M,-68.15M,-68.15M,543.30M,,2012-09,779.85M,1.339M,436.74M,,2012-09,11.36M,680.00M,-80.00M,,2012-09,AOR,Restated
2012-06,78.71M,,,0.33M,0.121M,0.451M,,,25.24M,25.24M,2.927M,,,9.986M,-0.02M,2.029M,-2.814M,0.316M,4.766M,,,9.643M,,128.97M,,2012-06,-10.30M,,,-20.56M,-1.559M,77.89M,,2012-06,0.00,,0.00,4.961M,,4.961M,-67.75M,-67.75M,-62.77M,,2012-06,635.76M,,779.85M,,2012-06,4.961M,0.00,0.00,,2012-06,AOR,Restated
2012-03,80.64M,,,-0.223M,0.135M,-0.287M,,,24.25M,24.25M,14.77M,15.52M,-1.055M,9.819M,-0.135M,1.986M,-20.08M,1.057M,5.743M,,,-27.53M,,117.98M,,2012-03,-3.788M,,,-38.58M,1.259M,-37.87M,,2012-03,0.00,,0.00,17.05M,,17.05M,-67.26M,-67.26M,-50.08M,,2012-03,605.72M,0.00,635.76M,,2012-03,17.05M,0.00,,,2012-03,AOR,Restated
2011-12,256.07M,,,0.427M,-0.014M,0.249M,,,24.64M,24.64M,0.099M,-3.781M,0.204M,9.962M,-0.039M,-174.20M,-6.868M,-6.223M,-16.90M,,,-57.26M,,55.94M,,2011-12,-6.133M,,,0.00,-6.714M,-73.31M,,2011-12,0.00,,0.00,14.74M,,14.74M,-198.92M,-66.81M,-52.03M,,2011-12,675.13M,0.00,605.72M,,2011-12,14.74M,0.00,,,2011-12,AOR,Restated
2011-09,,,,,0.013M,-0.035M,,,25.18M,25.18M,0.358M,1.921M,2.064M,9.484M,-0.017M,79.68M,53.84M,-8.69M,-32.51M,,,36.12M,,154.75M,,2011-09,-25.23M,,,0.00,0.048M,-72.21M,,2011-09,,0.00,0.00,7.395M,,7.395M,,-66.21M,-58.79M,,2011-09,651.38M,0.00,675.13M,,2011-09,7.395M,0.00,,,2011-09,AOR,Restated
2011-06,,,,,0.061M,0.061M,,,25.35M,25.35M,6.728M,1.86M,0.945M,9.024M,-0.385M,99.26M,-15.05M,-21.38M,-17.79M,,,-59.54M,,83.30M,,2011-06,-27.22M,,,0.00,,-88.60M,,2011-06,,,,18.27M,,18.27M,,-65.90M,-47.24M,,2011-06,703.92M,,651.38M,,2011-06,18.27M,,,,2011-06,AOR,Restated
2011-03,,,,,0.028M,-0.157M,,,26.46M,26.46M,6.623M,-5.266M,3.396M,9.027M,-0.614M,-286.16M,9.357M,-1.289M,18.64M,,-41.42M,-19.72M,,152.54M,,2011-03,-24.34M,,,-13.02M,-15.46M,29.57M,,2011-03,,,,20.59M,,20.59M,,-0.003M,21.20M,,2011-03,500.62M,,703.92M,,2011-03,20.59M,,,,2011-03,AOR,Restated
2010-12,,,,,-0.28M,-0.33M,,,27.18M,27.18M,4.086M,1.80M,0.422M,9.409M,-1.24M,100.53M,15.49M,-10.74M,-22.61M,,10.40M,-3.174M,,138.68M,,2010-12,-34.18M,,,0.00,2.129M,37.35M,,2010-12,,,,29.08M,,29.08M,,-129.45M,-99.13M,,2010-12,423.72M,,500.62M,,2010-12,29.08M,,,,2010-12,AOR,
2010-09,,,,,0.043M,0.092M,,,27.54M,27.54M,4.221M,1.761M,0.388M,8.925M,0.00,103.24M,-9.255M,-5.716M,1.844M,,24.21M,11.97M,,158.13M,,2010-09,-31.83M,,,0.00,10.00M,-208.93M,,2010-09,,,,14.96M,,14.96M,,-63.91M,-48.95M,,2010-09,523.47M,,423.72M,,2010-09,14.96M,,,,2010-09,AOR,
2010-06,,,,,0.052M,-0.036M,,,25.44M,25.44M,9.073M,1.705M,0.453M,9.451M,0.00,89.47M,-9.248M,-4.319M,1.484M,,6.807M,-2.234M,,133.32M,,2010-06,-34.10M,,,-112.71M,18.43M,-45.83M,,2010-06,,,,7.31M,,7.31M,,-63.45M,-56.14M,,2010-06,492.13M,,523.47M,,2010-06,7.31M,,,,2010-06,AOR,Restated
2010-03,75.75M,,0.10M,0.00,0.00,-1.238M,,,22.32M,22.32M,4.775M,1.509M,2.58M,9.443M,-4.144M,5.184M,-23.84M,-3.977M,14.98M,,-13.65M,-8.382M,,108.03M,,2010-03,-19.19M,-0.10M,-0.10M,0.00,,67.83M,,2010-03,,,,17.90M,,17.90M,,-62.96M,-42.97M,,2010-03,361.29M,,492.13M,,2010-03,17.90M,,,,2010-03,AOR,Restated
2009-12,69.40M,,-0.10M,0.00,0.00,1.138M,,,22.44M,22.44M,11.29M,1.65M,0.528M,8.837M,2.05M,-4.627M,-7.112M,-3.834M,3.463M,,11.32M,-11.78M,,100.93M,,2009-12,-18.68M,0.10M,0.10M,0.00,,-229.10M,,2009-12,,,,9.603M,,9.603M,,-62.52M,-53.63M,,2009-12,541.04M,,361.29M,,2009-12,9.603M,,,,2009-12,AOR,Restated
2009-09,44.48M,,0.00,29.82M,0.00,29.82M,,,22.64M,22.64M,-0.91M,1.752M,0.376M,9.50M,,-0.404M,-8.607M,5.346M,18.33M,,2.83M,20.77M,,128.02M,,2009-09,-5.977M,,,0.00,,-111.02M,,2009-09,,,,8.431M,,8.431M,,-62.08M,-52.94M,,2009-09,576.98M,,541.04M,,2009-09,8.431M,,,,2009-09,AOR,Restated
2009-06,27.37M,,0.00,49.73M,0.00,49.73M,,,22.66M,22.66M,7.171M,1.562M,1.266M,8.998M,,1.085M,-9.519M,17.70M,-7.192M,,-0.50M,-4.772M,,115.07M,,2009-06,-3.756M,0.00,0.00,0.00,,77.03M,,2009-06,,,,0.544M,,0.544M,,-61.99M,-61.45M,,2009-06,446.33M,,576.98M,,2009-06,0.544M,,,,2009-06,AOR,Restated
2009-03,21.96M,,0.10M,-79.34M,,-0.025M,-72.21M,-0.575M,23.26M,23.26M,23.19M,5.386M,1.012M,8.124M,3.655M,-9.726M,-9.47M,6.856M,-6.651M,,,-31.81M,,44.08M,,2009-03,-10.55M,-0.156M,-0.156M,,0.166M,69.45M,,2009-03,,,,7.079M,0.00,7.079M,,-61.82M,-58.40M,,2009-03,391.19M,,446.33M,,2009-03,7.079M,,,,2009-03,AOR,Restated
2008-12,72.36M,,-0.002M,32.17M,,-47.15M,72.21M,0.575M,24.60M,24.60M,-3.614M,-0.383M,1.352M,8.165M,-1.898M,1.86M,42.87M,-8.004M,-40.78M,,-8.066M,-58.21M,,-2.919M,,2008-12,-23.80M,0.012M,0.012M,,,141.16M,,2008-12,,,,1.01M,0.00,1.01M,,-61.69M,-58.78M,,2008-12,311.74M,,391.19M,,2008-12,1.01M,,,,2008-12,,Restated
2008-09,74.96M,,-0.098M,-20.00M,,-17.57M,-23.77M,-0.291M,24.12M,24.12M,5.124M,0.383M,1.196M,16.19M,-8.555M,-0.617M,14.86M,-1.425M,20.58M,,6.382M,49.16M,,144.39M,,2008-09,-46.27M,0.035M,21.78M,,0.237M,-370.19M,,2008-09,,,,11.04M,-100.29M,-89.25M,,-62.17M,-148.04M,,2008-09,685.58M,,311.74M,,2008-09,11.04M,,,,2008-09,,Restated
2008-06,76.31M,,,,,-2.532M,23.77M,0.291M,24.06M,24.06M,3.41M,,,,,9.343M,2.566M,-1.537M,1.756M,,1.684M,12.50M,,123.09M,,2008-06,-21.75M,0.109M,-21.64M,,-0.237M,139.76M,,2008-06,,,,14.42M,-23.64M,-9.215M,,-60.98M,-65.01M,,2008-06,487.74M,,685.58M,,2008-06,14.42M,,,,2008-06,,
2008-03,76.65M,,,,,-0.312M,,,23.71M,23.71M,11.12M,,,,,-2.382M,-23.92M,0.542M,12.18M,,2.092M,-21.62M,,87.17M,,2008-03,-20.77M,0.55M,-20.22M,0.00,-0.295M,-215.74M,,2008-03,,,0.00,14.56M,-173.27M,-158.71M,,-60.37M,-214.70M,,2008-03,831.00M,,487.74M,,2008-03,14.56M,,,,2008-03,,
2007-12,80.12M,,,,,-0.175M,,,23.81M,23.81M,3.317M,,,,,10.06M,11.52M,-0.023M,-9.023M,,-0.034M,14.95M,,132.10M,,2007-12,-11.81M,0.175M,-11.63M,27.52M,-2.049M,268.69M,,2007-12,,,1.127B,6.888M,-814.60M,-807.71M,,-66.38M,255.99M,,2007-12,174.22M,,831.00M,,2007-12,6.888M,,,,2007-12,,
2007-09,60.68M,,,,,26.76M,,,25.89M,25.89M,-1.788M,,,,,8.201M,1.408M,-0.712M,-14.23M,,3.451M,-14.34M,,105.41M,,2007-09,-11.78M,0.55M,-11.22M,,-2.27M,94.05M,,2007-09,,,61.12M,15.97M,-150.17M,-134.20M,,-125.21M,-193.23M,,2007-09,168.00M,,174.22M,,2007-09,15.97M,,,,2007-09,,
2007-06,80.29M,,,,,-0.45M,,,26.90M,26.90M,-3.087M,,,,,8.126M,-2.761M,-2.709M,23.15M,,-1.431M,10.85M,,122.63M,,2007-06,-25.47M,0.45M,-25.02M,,-0.398M,-91.35M,,2007-06,,,-61.12M,21.69M,,21.69M,,,-30.76M,,2007-06,167.48M,,168.00M,,2007-06,21.69M,,,,2007-06,,
2007-03,127.71M,,,,,0.00,,,28.38M,28.38M,1.46M,,,,,7.728M,-4.474M,0.759M,-88.68M,,-0.772M,-93.33M,,71.94M,,2007-03,-8.623M,0.00,-8.623M,,-0.171M,-5.433M,,2007-03,,,-29.50M,26.42M,,26.42M,,-57.37M,-52.31M,,2007-03,153.28M,,167.48M,,2007-03,26.42M,,,,2007-03,,
2006-12,72.85M,,,,,0.00,,,29.58M,29.58M,-1.079M,,,,,7.747M,3.027M,-4.19M,6.536M,,-6.072M,-2.009M,,107.09M,,2006-12,-15.50M,0.00,-15.50M,,-0.195M,6.254M,,2006-12,,,-51.30M,9.219M,,9.219M,,-53.95M,-92.64M,,2006-12,132.57M,,153.28M,,2006-12,9.219M,,,,2006-12,,
2006-09,79.49M,,,,,-0.065M,,,29.69M,29.69M,10.05M,,,,,6.17M,14.08M,0.719M,0.412M,,-12.70M,-4.404M,,120.93M,,2006-09,-19.27M,1.073M,-18.20M,,-0.259M,-37.55M,,2006-09,,,-56.70M,15.61M,,15.61M,,-50.51M,-87.47M,,2006-09,136.66M,,132.57M,,2006-09,15.61M,,,,2006-09,,
