,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2005-08,43.10M,,,,,-0.10M,,,315.40M,315.40M,-10.00M,,,,,-60.70M,55.50M,,-48.10M,,9.50M,,304.60M,,2005-08,-143.40M,8.40M,-135.00M,,61.50M,-79.40M,,2005-08,,-117.30M,11.20M,,11.20M,,,-65.30M,-171.40M,2005-08,470.30M,53.80M,,,2005-08,11.20M,,,,,,2005-08,,
2005-05,-128.10M,,,,,-14.90M,,,318.60M,318.60M,-2.00M,,,,1.00M,202.70M,-73.50M,,32.10M,,-2.50M,,333.40M,,2005-05,-250.60M,25.60M,-225.00M,,-48.50M,-304.60M,,2005-05,,245.30M,8.80M,,8.80M,,,-172.70M,81.40M,2005-05,360.00M,110.20M,,,2005-05,8.80M,,,,,,2005-05,,
2005-02,118.10M,,,,,-3.10M,,,317.30M,317.30M,-4.20M,,,,-1.00M,-74.70M,-47.80M,,0.40M,,3.60M,,308.60M,,2005-02,-311.60M,9.20M,-302.40M,,-40.10M,-349.90M,,2005-02,,-160.20M,11.70M,,11.70M,,,229.10M,80.60M,2005-02,320.80M,39.30M,,,2005-02,11.70M,,,,,,2005-02,,
2004-11,154.90M,,,,,4.10M,,,313.70M,313.70M,6.20M,,,,,-89.30M,-127.20M,,26.60M,,2.40M,,291.40M,,2004-11,-359.40M,3.80M,-355.60M,,14.10M,-350.10M,,2004-11,,-46.80M,9.30M,,9.30M,,,-69.10M,-106.60M,2004-11,486.10M,-165.30M,,,2004-11,9.30M,,,,,,2004-11,,
2004-08,93.30M,,,,,-2.20M,,,309.80M,309.80M,20.20M,,,,-32.80M,-3.60M,-46.90M,,49.60M,,28.00M,,415.40M,,2004-08,-341.30M,13.30M,-328.00M,,58.80M,-182.50M,,2004-08,,-12.20M,11.40M,-0.50M,10.90M,,,-74.40M,-75.70M,2004-08,329.10M,157.20M,,,2004-08,11.40M,,,-0.50M,,,2004-08,,
2004-05,90.90M,,,,,0.60M,,,300.10M,300.10M,12.10M,,,,32.80M,-59.30M,-86.80M,,-14.80M,-18.30M,,,257.30M,,2004-05,-271.20M,9.80M,-261.40M,,-100.90M,-369.10M,,2004-05,,-40.10M,463.20M,0.00,463.20M,,,-491.40M,-68.30M,2004-05,509.20M,-180.10M,,,2004-05,463.20M,,,0.00,,,2004-05,,
2004-02,-28.30M,,,,,-12.50M,,,295.60M,295.60M,14.30M,,,,,13.10M,-38.10M,,-19.50M,18.30M,-11.80M,,231.10M,,2004-02,-207.90M,47.90M,-160.00M,,-19.10M,-158.10M,,2004-02,,41.00M,-445.50M,0.00,-445.50M,,,352.40M,-52.10M,2004-02,488.30M,20.90M,,,2004-02,-445.50M,,,0.00,,,2004-02,,
2003-11,1.10M,,,,,-25.90M,,,312.50M,312.50M,11.40M,,,,,-81.20M,10.80M,,14.70M,,11.80M,,255.20M,,2003-11,-260.60M,22.00M,-238.60M,,-332.80M,-603.30M,,2003-11,,-31.70M,457.90M,-67.50M,390.40M,,,-92.60M,266.10M,2003-11,570.30M,-82.00M,,,2003-11,457.90M,,,-67.50M,,,2003-11,,
2003-08,-123.20M,,,,,33.20M,,,298.80M,298.80M,7.50M,,,,,-146.90M,8.20M,,27.40M,6.90M,,,111.90M,,2003-08,-147.50M,-9.00M,-156.50M,,-8.30M,-196.90M,,2003-08,,-13.20M,8.50M,,8.50M,,,-19.80M,-24.50M,2003-08,679.80M,-109.50M,,,2003-08,8.50M,,,,,,2003-08,,
2003-05,-214.90M,,,,,-8.00M,,,301.00M,301.00M,26.00M,,,,,-11.90M,-79.20M,,6.60M,27.40M,,,47.00M,,2003-05,-128.30M,4.20M,-124.10M,,-33.50M,-213.40M,,2003-05,,156.50M,7.40M,,7.40M,,,-232.80M,-68.90M,2003-05,915.10M,-235.30M,,,2003-05,7.40M,,,,,,2003-05,,
2003-02,-619.20M,,,,,316.90M,,,310.20M,310.20M,16.50M,,,,,-39.10M,-5.80M,,29.60M,3.90M,12.60M,,25.60M,,2003-02,-219.30M,4.80M,-214.50M,,180.20M,-48.70M,,2003-02,,509.00M,8.90M,,8.90M,,,19.00M,536.90M,2003-02,401.30M,513.80M,,,2003-02,8.90M,,,,,,2003-02,,
2002-11,-315.90M,,,,,97.90M,,,299.90M,299.90M,20.50M,,,,,94.10M,-119.40M,,35.20M,,-12.60M,,99.70M,,2002-11,-326.40M,,-326.40M,,274.70M,-59.10M,,2002-11,,-90.80M,28.70M,,28.70M,,,24.60M,-37.50M,2002-11,398.20M,3.10M,,,2002-11,28.70M,,,,,,2002-11,,
2002-08,-586.50M,,,,,181.10M,,,295.50M,295.50M,134.00M,,,,,47.90M,-32.50M,,46.60M,18.90M,-19.70M,,85.30M,,2002-08,-537.10M,2.40M,-534.70M,,316.60M,24.70M,,2002-08,,-9.80M,12.20M,,12.20M,,,-47.90M,-45.50M,2002-08,333.70M,64.50M,,,2002-08,12.20M,,,,,,2002-08,,
2002-05,-24.20M,,,,,23.40M,,,293.40M,293.40M,76.10M,,,,,-139.40M,-114.20M,,55.70M,6.00M,,,176.80M,,2002-05,-152.20M,1.20M,-151.00M,,-57.30M,-473.70M,,2002-05,,-29.10M,16.20M,,16.20M,,,-34.40M,-47.30M,2002-05,677.90M,-344.20M,,,2002-05,16.20M,,,,,,2002-05,,
2002-02,-30.40M,,,,,17.60M,,,290.90M,290.90M,-34.20M,,,,,-166.40M,-100.40M,,-52.90M,-24.90M,19.40M,,-81.30M,,2002-02,-140.40M,0.40M,-140.00M,,560.70M,413.80M,,2002-02,,7.40M,20.10M,,20.10M,,,-40.00M,-12.50M,2002-02,357.90M,320.00M,,,2002-02,20.10M,,,,,,2002-02,,
2001-11,-265.90M,,,,,193.90M,,,297.60M,297.60M,-164.50M,,,,,496.90M,-131.80M,,-9.50M,,-19.40M,,397.30M,,2001-11,-182.60M,0.50M,-182.10M,,-249.30M,-478.70M,,2001-11,,-53.10M,23.30M,,23.30M,,,,-29.80M,2001-11,469.10M,-111.20M,,,2001-11,23.30M,,,,,,2001-11,,
2001-08,-575.50M,,,,,663.30M,,,295.20M,295.20M,,,,,,-161.90M,-120.40M,,-38.30M,-118.50M,,,-56.10M,,2001-08,-263.20M,23.70M,-239.50M,,-142.60M,-556.90M,,2001-08,,-2.70M,506.90M,,506.90M,,,-44.80M,459.40M,2001-08,622.70M,-153.60M,,,2001-08,506.90M,,,,,,2001-08,,
2001-05,-313.40M,,,,,287.20M,,,278.80M,278.80M,,,,,199.80M,-65.60M,90.10M,,-125.60M,-67.90M,,-84.20M,199.20M,,2001-05,-331.10M,,-331.10M,,322.00M,-146.80M,,2001-05,,81.30M,31.50M,,31.50M,,,-142.40M,-29.60M,2001-05,599.90M,22.80M,,,2001-05,31.50M,,,,,,2001-05,,
2001-02,-88.30M,,,,,107.30M,,,272.20M,272.20M,58.40M,,,,-199.80M,261.20M,-140.10M,,-414.10M,,90.80M,84.20M,31.80M,,2001-02,-394.60M,-10.20M,-404.80M,,468.00M,50.50M,,2001-02,,-92.30M,40.50M,,40.50M,,,0.70M,-51.10M,2001-02,568.70M,31.20M,,,2001-02,40.50M,,,,,,2001-02,,
2000-11,352.20M,,,,,7.70M,,,268.20M,268.20M,-58.40M,,,,,572.10M,-312.40M,,-124.40M,,-90.80M,,614.20M,,2000-11,-499.70M,10.20M,-489.50M,,-181.10M,-729.40M,,2000-11,,-37.50M,19.50M,,19.50M,,,0.20M,-17.80M,2000-11,701.70M,-133.00M,,,2000-11,19.50M,,,,,,2000-11,,
2000-08,726.70M,,,,,77.60M,,,261.20M,261.20M,,,,,,-375.30M,-66.40M,,462.70M,-209.30M,,,877.20M,,2000-08,-413.50M,,-262.30M,,-253.70M,-571.50M,,2000-08,,-9.70M,41.20M,,41.20M,,,-18.70M,12.80M,2000-08,383.20M,318.50M,,,2000-08,41.20M,,,,,,2000-08,,
2000-05,274.90M,,,,,77.70M,,,250.10M,250.10M,,,,,-21.40M,-212.20M,51.10M,,18.20M,-7.00M,,,431.40M,,2000-05,-264.80M,,-264.80M,,-172.30M,-448.40M,,2000-05,,94.60M,64.40M,,64.40M,,,-188.70M,-29.70M,2000-05,429.90M,-46.70M,,,2000-05,64.40M,,,,,,2000-05,,
2000-02,161.30M,,,,,104.00M,,,233.60M,233.60M,,,,,-88.00M,15.70M,-177.80M,,-103.90M,,,,144.90M,,2000-02,-229.30M,,-229.30M,,177.90M,-104.10M,,2000-02,,-139.20M,86.50M,,86.50M,,,0.20M,-52.50M,2000-02,441.60M,-11.70M,,,2000-02,86.50M,,,,,,2000-02,,
1999-11,341.30M,,,,,,,,229.50M,229.50M,,,,,109.40M,-212.70M,-138.50M,,219.70M,,,,548.70M,,1999-11,-219.80M,,-219.80M,,-114.70M,-333.10M,,1999-11,,-120.80M,51.90M,,51.90M,,,0.30M,-68.60M,1999-11,294.60M,147.00M,,,1999-11,51.90M,,,,,,1999-11,,
1999-08,-17.50M,,,,,29.50M,,,216.80M,216.80M,,,,,-8.80M,-122.50M,55.90M,,109.80M,-33.40M,,,229.80M,,1999-08,-250.10M,40.90M,-209.20M,,53.50M,-224.70M,,1999-08,,0.00,33.50M,,33.50M,,,-94.60M,-61.10M,1999-08,350.60M,-56.00M,,,1999-08,33.50M,,,,,,1999-08,,
1999-05,-27.70M,,,,,36.90M,,,204.00M,204.00M,1.10M,,,,-8.70M,30.40M,-76.80M,,26.40M,0.50M,,,186.10M,,1999-05,-207.60M,-18.60M,-226.20M,,38.00M,-179.20M,,1999-05,,-27.10M,7.00M,,7.00M,,,-65.10M,-85.20M,1999-05,428.90M,-78.30M,,,1999-05,7.00M,,,,,,1999-05,,
1999-02,22.50M,,,,,-1.60M,,,219.40M,219.40M,-1.10M,,,,46.90M,-110.30M,-4.50M,,-50.30M,1.30M,,,122.30M,,1999-02,-188.70M,18.60M,-170.10M,,-228.30M,-402.30M,,1999-02,,-38.00M,557.60M,,557.60M,,,-578.40M,-58.80M,1999-02,767.70M,-338.80M,,,1999-02,557.60M,,,,,,1999-02,,
1998-11,-46.20M,,,,,,,,189.50M,189.50M,,,,,-29.40M,112.30M,-36.40M,,65.80M,,,,255.60M,,1998-11,-117.50M,,-117.50M,,-1.062B,-1.181B,,1998-11,,5.70M,19.10M,,19.10M,,,1.110B,1.134B,1998-11,558.80M,208.90M,,,1998-11,19.10M,,,,,,1998-11,,
1998-08,-93.30M,,,,,2.40M,,,171.90M,171.90M,,,,,-9.10M,-91.70M,87.60M,,-41.10M,33.40M,,,60.10M,,1998-08,-142.90M,33.40M,-109.50M,,111.20M,-32.30M,,1998-08,,-18.30M,8.80M,,8.80M,,,31.70M,22.20M,1998-08,508.80M,50.00M,,,1998-08,8.80M,,,,,,1998-08,,
1998-05,-109.40M,,,,,3.50M,,,151.10M,151.10M,-10.30M,,,,7.90M,-44.20M,69.30M,,-76.00M,0.70M,,,-7.40M,,1998-05,-182.90M,-31.00M,-213.90M,,177.20M,-10.30M,,1998-05,,-26.90M,5.30M,,5.30M,,,-14.40M,-36.00M,1998-05,560.50M,-53.70M,,,1998-05,5.30M,,,,,,1998-05,,
