,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-04,127.40M,-0.595M,0.428M,-0.167M,16.68M,16.68M,-2.683M,,5.941M,,5.941M,45.25M,-4.175M,1.066M,-6.278M,,,7.674M,43.54M,,190.80M,,-68.79M,0.556M,-68.23M,-8.91M,,,-77.14M,,-110.70M,,-110.70M,,0.00,0.00,7.213M,0.00,-103.49M,,195.30M,10.17M,-1.198M,204.28M,,,,-110.70M,0.00,38.66M,4.396M,,AOR,Restated
2018-01,103.30M,0.179M,0.36M,0.539M,17.98M,17.98M,-0.093M,,5.992M,,5.992M,-33.94M,-2.561M,-1.375M,2.611M,,,0.111M,-35.15M,,93.03M,,-69.42M,0.793M,-68.63M,0.00,,,-68.63M,,-71.30M,,-71.30M,,0.00,0.00,10.07M,-0.055M,-61.28M,,224.25M,-36.88M,7.931M,195.30M,,,,-71.30M,0.00,59.94M,5.514M,,AOR,Restated
2017-10,77.56M,4.46M,-0.109M,4.351M,16.01M,16.01M,2.759M,,5.306M,,5.306M,-49.63M,0.036M,-0.062M,45.67M,,,-9.19M,-13.18M,,93.36M,,-41.48M,2.019M,-39.46M,0.123M,,,-39.34M,,-49.00M,,-49.00M,,,,9.253M,-0.003M,-39.75M,,210.10M,14.27M,-0.122M,224.25M,,,,-49.00M,,4.167M,5.496M,,AOR,Restated
2017-07,70.37M,0.309M,0.087M,0.396M,13.49M,13.49M,-1.89M,,5.227M,,24.59M,33.38M,0.267M,0.32M,0.177M,,,2.403M,36.54M,,144.23M,,-47.47M,0.211M,-47.26M,-150.81M,,,-198.07M,,66.00M,,66.00M,,,,3.379M,-0.795M,68.58M,,189.62M,14.75M,5.733M,210.10M,,,,66.00M,,4.559M,5.54M,,AOR,Restated
2017-04,90.55M,-0.046M,0.176M,0.13M,13.80M,13.80M,-1.675M,,5.008M,,5.008M,79.97M,-0.006M,0.546M,2.424M,,,2.12M,85.05M,,192.30M,,-32.30M,0.168M,-32.13M,-12.52M,,,-44.65M,,-145.00M,,-145.00M,,,,9.79M,0.00,-135.21M,,174.95M,12.44M,2.226M,189.62M,,,-72.00M,-73.00M,,14.07M,29.49M,,AOR,Restated
2017-01,66.07M,-0.117M,0.059M,-0.058M,15.33M,15.33M,1.378M,,5.52M,,5.52M,-17.90M,-0.119M,-0.498M,13.55M,,,-2.03M,-7.001M,,81.24M,,-54.20M,0.196M,-54.01M,0.00,,,-54.01M,,-31.90M,,-31.90M,,,,8.312M,-0.023M,-23.61M,,168.42M,3.617M,2.914M,174.95M,,,-31.90M,,,-7.293M,-17.24M,,AOR,Restated
2016-10,167.28M,0.038M,0.349M,0.387M,14.82M,14.82M,22.09M,,5.085M,,5.085M,-121.64M,1.152M,1.392M,-12.21M,,,-4.076M,-135.39M,,74.29M,,-38.21M,0.19M,-38.02M,-1.05M,,,-39.07M,,103.90M,,103.90M,,,,13.98M,-134.62M,-16.74M,,155.85M,18.49M,-5.914M,168.42M,,,103.90M,,,2.677M,5.428M,,AOR,Restated
2016-07,84.12M,0.134M,0.127M,0.261M,13.74M,13.74M,6.065M,,5.03M,,5.03M,-20.59M,0.611M,-1.031M,32.25M,,,3.744M,14.98M,,124.15M,,-30.08M,0.177M,-29.91M,0.00,0.00,,-29.91M,,-62.00M,,-62.00M,,0.00,0.00,9.98M,-16.05M,-68.07M,,137.65M,26.17M,-7.976M,155.85M,,,238.00M,-300.00M,0.00,41.74M,6.61M,,AOR,Restated
2016-04,74.62M,-0.082M,0.285M,0.203M,12.61M,12.61M,-0.219M,,5.034M,,5.034M,24.06M,-1.81M,0.509M,7.283M,,,2.775M,32.82M,,125.02M,,-66.07M,0.189M,-65.88M,0.00,21.50M,-0.10M,-44.48M,,25.47M,,25.47M,,-117.86M,-117.86M,4.045M,-0.165M,-88.51M,,141.42M,-7.965M,4.202M,137.65M,,,25.47M,0.00,-117.86M,30.83M,5.702M,,AOR,Restated
2016-01,59.00M,-0.046M,0.325M,0.279M,11.73M,11.73M,0.764M,,5.386M,,5.386M,-58.56M,-0.799M,0.899M,-11.96M,,,-0.455M,-70.87M,,6.53M,,-57.60M,-0.047M,-57.64M,0.00,0.00,0.00,-57.64M,,49.25M,,49.25M,,-325.00M,-325.00M,2.216M,,-273.53M,,472.92M,-324.65M,-6.853M,141.42M,,,68.00M,-18.75M,-325.00M,54.12M,5.571M,,AOR,Restated
2015-10,52.61M,-0.06M,0.158M,0.098M,11.56M,11.56M,-0.87M,,5.414M,,5.414M,-11.77M,-0.511M,-1.115M,23.56M,,,-3.215M,6.945M,,76.79M,,-20.17M,0.343M,-19.82M,,-21.12M,0.10M,-40.84M,,-18.75M,,-18.75M,,,,0.368M,,-18.38M,,456.01M,17.57M,-0.662M,472.92M,,,,-18.75M,,1.292M,5.723M,,AOR,Restated
2015-07,57.41M,-0.183M,0.00,-0.183M,11.31M,11.31M,0.724M,,4.864M,-1.692M,3.172M,-0.445M,-0.482M,-1.411M,-9.252M,,,0.983M,-10.61M,,61.71M,,-30.07M,0.651M,-29.42M,,0.00,0.00,-33.92M,,-18.75M,,-18.75M,,-231.75M,-231.75M,1.846M,-2.13M,-250.78M,,678.74M,-223.00M,0.267M,456.01M,,,0.00,-18.75M,-231.75M,27.93M,8.416M,,AOR,Restated
2015-04,57.56M,-0.278M,0.00,-0.278M,12.21M,12.21M,5.958M,,4.42M,-0.745M,3.675M,25.07M,-0.023M,-0.267M,7.425M,,,3.364M,35.57M,,114.49M,,-9.62M,0.345M,-9.275M,,0.00,0.00,-9.275M,,-18.75M,,-18.75M,,-0.616M,-0.616M,1.069M,0.745M,-17.55M,,590.37M,87.66M,0.717M,678.74M,,,0.00,-18.75M,-0.616M,17.56M,5.917M,,AOR,Restated
2015-01,52.19M,-0.196M,,-0.196M,11.40M,11.40M,-1.022M,,4.504M,-0.173M,4.331M,-39.08M,-0.673M,1.114M,-22.42M,,,0.228M,-60.83M,,5.517M,,-16.07M,0.053M,-16.02M,,,0.00,-16.02M,,405.19M,,405.19M,,0.00,0.00,1.867M,-0.782M,406.27M,,198.48M,395.77M,-3.891M,590.37M,,,698.94M,-293.75M,0.00,54.40M,1.878M,,AOR,Restated
2014-10,52.62M,-0.261M,0.00,-0.261M,13.97M,13.97M,-1.295M,,4.366M,-0.361M,4.005M,-6.768M,-0.553M,0.633M,18.36M,,,2.555M,14.22M,,83.37M,,-23.39M,0.472M,-22.92M,,0.00,0.217M,-22.70M,,-18.75M,,-18.75M,,-1.121M,-1.121M,1.931M,0.361M,-17.58M,,158.67M,43.09M,-3.272M,198.48M,,,,-18.75M,-1.121M,10.03M,1.91M,,AOR,Restated
2014-07,51.04M,0.235M,,0.235M,13.38M,13.38M,1.771M,0.00,4.837M,-1.07M,3.767M,-1.747M,2.573M,-0.961M,-15.26M,,,0.008M,-15.38M,,54.96M,,-18.19M,0.436M,-17.76M,0.461M,,0.00,-17.30M,,-18.75M,0.00,-18.75M,,-0.492M,-0.492M,5.956M,1.07M,-12.22M,,132.83M,25.45M,0.388M,158.67M,,,,-18.75M,-0.492M,17.04M,2.169M,,AOR,Restated
2014-04,40.88M,0.047M,,0.047M,12.77M,12.77M,-6.627M,29.10M,6.623M,-0.048M,35.68M,32.27M,0.123M,0.727M,14.28M,,,1.643M,49.05M,,131.84M,,-11.55M,0.331M,-11.22M,-0.533M,,0.364M,-11.39M,,-18.75M,-17.03M,-35.78M,,0.00,0.00,1.13M,0.048M,-34.61M,,46.20M,85.85M,0.783M,132.83M,,,0.00,-18.75M,0.00,17.88M,2.104M,,AOR,Restated
2014-01,45.34M,-1.069M,,-1.069M,13.08M,13.08M,-2.972M,,5.772M,-1.113M,4.659M,-37.06M,-0.443M,-0.567M,-14.17M,,,0.743M,-51.50M,,8.076M,,-30.47M,1.229M,-29.24M,-13.94M,,0.494M,-42.68M,,-18.75M,17.03M,-1.716M,,0.00,0.00,5.583M,1.113M,4.98M,,77.05M,-29.62M,-1.231M,46.20M,,,0.00,-18.75M,0.00,46.34M,2.209M,,AOR,Restated
2013-10,41.42M,-0.674M,,-0.674M,14.50M,14.50M,-3.01M,,4.867M,-0.058M,4.809M,2.927M,1.759M,-3.699M,23.39M,,,-14.06M,10.31M,,67.72M,,-21.30M,0.853M,-20.45M,-0.293M,,,-20.74M,,-18.75M,-16.29M,-35.04M,,-0.08M,-0.08M,0.082M,0.058M,-34.98M,,63.63M,11.99M,1.429M,77.05M,,,,-18.75M,-0.08M,1.548M,2.286M,,AOR,Restated
2013-07,41.30M,-0.04M,,-0.04M,14.48M,14.48M,-0.233M,0.00,4.886M,0.067M,4.953M,-11.72M,0.33M,-3.094M,-14.30M,,,-14.76M,-43.55M,,16.32M,,-16.00M,0.796M,-15.20M,-52.78M,,0.00,-67.98M,,-40.40M,16.29M,-24.11M,,-0.497M,-0.497M,2.86M,-0.067M,-21.82M,,139.33M,-73.48M,-2.222M,63.63M,,,,-40.40M,-0.497M,27.00M,2.509M,,AOR,Restated
2013-04,53.24M,-0.739M,,-0.739M,14.80M,14.80M,3.614M,0.00,4.751M,-0.871M,3.88M,42.89M,0.428M,0.652M,7.898M,,,3.207M,55.08M,,129.91M,,-28.58M,1.291M,-27.29M,0.00,,2.328M,-24.96M,,-18.75M,0.00,-18.75M,,0.00,0.00,3.221M,0.871M,-14.66M,,49.51M,90.29M,-0.47M,139.33M,,,,-18.75M,0.00,12.30M,2.538M,,AOR,Restated
2013-01,39.64M,0.021M,,0.021M,14.61M,14.61M,-3.208M,,4.746M,-3.371M,1.375M,-56.56M,-3.546M,-2.894M,-6.862M,,,-4.985M,-74.85M,,-22.22M,,-38.06M,0.957M,-37.10M,-30.79M,11.17M,0.00,-56.73M,,-18.75M,0.00,-18.75M,,-0.627M,-0.627M,13.16M,3.371M,-2.845M,,131.43M,-81.80M,-0.118M,49.51M,,,,-18.75M,-0.627M,50.92M,2.636M,,AOR,Restated
2012-10,45.84M,-0.204M,,-0.204M,12.84M,12.84M,-3.778M,,5.174M,-1.922M,3.252M,-6.529M,1.011M,-0.635M,29.62M,,,-6.111M,17.36M,,75.32M,,-47.62M,0.033M,-47.59M,-0.449M,-11.17M,0.861M,-58.34M,,-18.76M,0.00,-18.76M,,-13.88M,-13.88M,4.148M,1.922M,-26.57M,,140.11M,-9.597M,0.915M,131.43M,,,,-18.76M,-13.88M,4.949M,2.584M,,AOR,Restated
2012-07,44.90M,1.155M,,1.155M,11.85M,11.85M,-5.874M,0.00,5.449M,-1.671M,3.778M,-6.345M,-0.668M,-1.408M,-13.02M,,,-1.702M,-23.15M,,32.72M,,-26.31M,-0.304M,-26.61M,-2.384M,,,-20.95M,,-18.75M,,-18.75M,,-65.63M,-65.63M,5.262M,1.671M,-77.45M,,207.13M,-65.68M,-1.344M,140.11M,,,0.00,-18.75M,-65.63M,30.78M,3.106M,,AOR,Restated
2012-04,55.47M,-0.335M,,-0.335M,12.07M,12.07M,-2.637M,0.00,5.314M,-1.592M,3.722M,23.69M,-0.048M,1.501M,12.12M,,,1.208M,38.47M,,106.60M,,-13.65M,0.811M,-12.84M,0.00,,,-12.84M,,-18.75M,,-18.75M,,-2.26M,-2.26M,2.992M,1.592M,-16.43M,,127.64M,77.34M,2.157M,207.13M,,,0.00,-18.75M,-2.26M,25.78M,3.006M,,AOR,Restated
2012-01,40.60M,-0.675M,,-0.675M,12.22M,12.22M,-5.496M,8.771M,5.983M,-0.902M,13.85M,-17.70M,-0.949M,2.434M,-24.38M,-0.076M,,5.863M,-34.80M,,26.16M,,-7.601M,0.579M,-14.30M,-0.18M,,,-7.202M,,-18.75M,,-18.75M,,-91.41M,-91.41M,5.995M,0.902M,-103.26M,,212.68M,-84.31M,-0.731M,127.64M,,,0.00,-18.75M,-91.41M,47.02M,3.21M,,AOR,Restated
2011-10,41.15M,-0.288M,,-0.288M,12.03M,12.03M,-3.572M,,5.045M,-0.202M,4.843M,-8.572M,1.447M,3.499M,18.93M,0.076M,,-4.799M,10.58M,,64.19M,,-7.274M,0.182M,0.182M,0.00,0.00,,-7.092M,,125.00M,,125.00M,,-43.98M,-43.98M,1.359M,-0.111M,82.26M,,74.01M,139.36M,-0.692M,212.68M,,,125.00M,0.00,-43.98M,2.998M,2.011M,,AOR,Restated
2011-07,,-0.194M,,-0.194M,11.33M,11.33M,1.056M,0.00,4.814M,-0.622M,-110.39M,-5.069M,-1.747M,4.621M,-10.03M,-13.93M,,11.25M,-14.90M,,42.28M,,-13.67M,0.217M,-69.95M,-0.33M,,,-13.78M,,-12.50M,,-12.50M,-1.077M,-136.20M,-137.27M,3.161M,0.622M,-145.99M,,192.15M,-117.49M,-0.652M,74.01M,,-1.077M,0.00,-12.50M,-136.20M,27.70M,2.101M,,AOR,Restated
2011-04,,-0.18M,,-0.18M,11.27M,11.27M,0.279M,0.00,5.077M,-1.882M,50.14M,22.71M,-0.102M,5.321M,9.548M,13.93M,,-8.497M,42.91M,,107.33M,,-14.17M,0.169M,42.50M,-34.57M,,,-48.57M,,-12.50M,,-12.50M,0.00,-64.44M,-64.44M,3.017M,1.882M,-72.05M,,203.95M,-13.28M,1.479M,192.15M,,0.00,0.00,-12.50M,-64.44M,18.62M,1.713M,,AOR,Restated
2011-01,,0.983M,,0.983M,11.37M,11.37M,-3.434M,0.00,4.48M,-0.933M,37.90M,-21.40M,-1.556M,-7.976M,-6.012M,-9.277M,,11.32M,-34.90M,,15.78M,,-27.56M,16.51M,-11.05M,-0.016M,,,-11.06M,,400.00M,,400.00M,1.077M,-463.29M,-462.21M,2.187M,-1.09M,-61.11M,,260.47M,-56.39M,-0.126M,203.95M,,1.077M,400.00M,0.00,-463.29M,38.70M,0.065M,,AOR,
2010-10,,1.273M,,1.273M,11.72M,11.72M,,,4.636M,-0.11M,37.82M,0.705M,0.739M,2.819M,14.28M,9.277M,,-5.581M,22.24M,,77.54M,,-14.78M,3.704M,-11.07M,,,,-11.07M,,0.00,,0.00,,-75.71M,-75.71M,0.674M,0.11M,-74.93M,,268.19M,-8.461M,0.743M,260.47M,,,0.00,,-75.71M,0.122M,0.015M,,AOR,Restated
2010-07,0.00,-1.743M,,-1.743M,11.15M,11.15M,2.786M,,4.655M,-2.677M,36.13M,-9.646M,-0.42M,2.655M,-14.42M,-3.012M,-2.527M,2.488M,-24.89M,,25.42M,,-16.33M,-0.544M,-76.38M,0.004M,,,-18.17M,,0.00,,0.00,0.957M,-9.162M,-8.205M,2.191M,2.677M,-3.337M,,264.25M,3.916M,0.02M,268.19M,,0.957M,0.00,0.00,-9.162M,26.34M,0.015M,,AOR,Restated
2010-04,-71.00M,2.479M,,2.479M,11.01M,11.01M,-2.292M,,4.417M,-0.517M,115.00M,24.28M,-0.419M,-7.697M,13.91M,3.867M,0.248M,-2.53M,31.65M,,91.18M,,-19.66M,1.31M,41.16M,0.001M,,,-18.35M,,0.00,0.00,0.00,0.00,0.00,0.00,1.615M,0.517M,2.132M,,189.29M,74.96M,0.002M,264.25M,,0.00,0.00,0.00,0.00,21.90M,0.038M,,AOR,Restated
2010-01,35.74M,-0.059M,,-0.059M,10.46M,10.46M,-2.953M,,4.598M,-0.02M,0.009M,-16.34M,0.312M,-2.841M,-21.58M,-2.926M,0.62M,0.102M,-42.66M,,5.113M,,-16.34M,1.106M,-15.23M,-21.37M,,,-36.60M,,0.00,,0.00,1.087M,-0.012M,1.075M,1.453M,0.02M,2.548M,,218.28M,-28.94M,-0.054M,189.29M,,1.087M,0.00,,-0.012M,44.14M,0.021M,,AOR,Restated
2009-10,35.27M,-0.018M,,-0.018M,10.61M,10.61M,-2.053M,,4.285M,-2.429M,0.051M,5.01M,0.271M,-1.013M,27.46M,0.861M,-0.868M,0.251M,31.97M,,77.69M,,-23.51M,0.605M,-22.91M,,,,-22.91M,,,,,,-3.532M,-3.532M,1.026M,2.429M,-0.077M,,162.69M,54.71M,0.881M,218.28M,,,,,-3.532M,1.607M,0.142M,,AOR,Restated
2009-07,34.63M,-0.073M,,-0.073M,10.06M,10.06M,-0.778M,,8.211M,-3.46M,0.022M,1.527M,-0.492M,0.376M,-3.35M,,,2.114M,0.175M,,48.78M,,-9.726M,1.795M,-7.931M,-0.073M,,0.00,-8.004M,,0.00,,0.00,1.00M,-3.769M,-2.769M,1.919M,3.46M,2.61M,,118.96M,43.39M,0.34M,162.69M,,1.00M,,0.00,-3.769M,22.72M,0.227M,,AOR,Restated
2009-04,39.63M,-0.01M,,-0.01M,10.46M,10.46M,1.946M,,-1.991M,3.901M,-0.53M,42.86M,0.57M,0.264M,17.03M,7.665M,-1.835M,-10.20M,56.35M,,109.76M,,-12.07M,0.287M,-11.78M,0.073M,,12.00M,0.288M,,-9.91M,,-9.91M,0.00,0.00,0.00,0.381M,-3.901M,-13.43M,,22.45M,96.62M,-0.101M,118.96M,,0.00,,-9.91M,0.00,10.01M,0.066M,,AOR,Restated
2009-01,27.15M,0.73M,,0.203M,10.12M,10.12M,-5.282M,,3.193M,-5.011M,-2.208M,-25.81M,-0.357M,1.756M,2.222M,-7.665M,-7.898M,2.017M,-35.74M,,-7.564M,,-27.91M,4.761M,-23.15M,0.00,,,-23.15M,,-7.592M,,2.331M,0.322M,-6.00M,-5.678M,0.819M,4.957M,2.429M,,50.77M,-28.29M,-0.033M,22.45M,,0.322M,,-7.592M,-6.00M,39.17M,0.06M,,AOR,Restated
2008-10,37.25M,,,0.527M,10.71M,10.71M,1.721M,,,,1.371M,0.428M,0.225M,-1.02M,-8.308M,,9.733M,-0.276M,0.782M,,52.36M,,-29.20M,0.165M,-29.04M,,,,-29.04M,,,,-9.923M,0.62M,,0.62M,,0.054M,-9.249M,,38.95M,14.08M,-2.264M,50.77M,,0.62M,,,,,,,,
2008-07,40.82M,,,-0.548M,11.05M,11.05M,12.06M,,,,1.415M,13.74M,1.161M,0.044M,-9.738M,2.10M,-1.055M,-17.43M,-11.18M,,53.62M,,-26.44M,3.883M,-22.55M,-0.332M,9.146M,-9.146M,-22.88M,,,,,4.142M,-120.55M,-116.41M,,10.87M,-97.29M,,96.34M,-66.56M,-0.089M,38.95M,,4.142M,,,-120.55M,,,,,
2008-04,46.48M,,,0.912M,9.67M,9.67M,-2.583M,,,,1.035M,11.48M,1.585M,0.29M,6.004M,4.12M,6.472M,0.496M,30.44M,,85.95M,,-28.67M,0.492M,-28.18M,-28.01M,0.00,0.00,-56.19M,,,,,0.96M,-107.75M,-106.79M,,0.166M,-106.63M,,173.22M,-76.86M,-0.016M,96.34M,,0.96M,,,-107.75M,,,,,
2008-01,32.03M,,,-0.214M,11.08M,11.08M,-1.843M,,,,1.642M,-22.56M,0.366M,-1.764M,10.59M,-5.331M,-22.31M,-2.888M,-43.89M,,-1.197M,,-38.35M,2.748M,-35.60M,-9.885M,0.00,10.09M,-35.40M,,,,,1.777M,-40.95M,-39.17M,,0.365M,-38.81M,,249.85M,-75.40M,-1.225M,173.22M,,1.777M,,,-40.95M,,,,,
2007-10,37.61M,,,-0.027M,11.00M,11.00M,-1.948M,,,,2.108M,-2.385M,-1.623M,0.439M,-5.65M,-0.889M,17.51M,-0.458M,6.945M,,55.69M,,-19.91M,0.097M,-19.81M,,102.62M,-0.938M,81.87M,,,,,7.507M,,7.507M,,5.54M,13.05M,,98.36M,150.61M,0.877M,249.85M,,7.507M,,,,,,,,
2007-07,36.74M,,,0.159M,10.33M,10.33M,-2.004M,,,,0.872M,3.72M,,0.862M,6.451M,-1.042M,-3.613M,0.958M,8.697M,,54.79M,,-137.70M,9.939M,-127.76M,,25.71M,116.50M,14.45M,,,,,0.934M,,-88.64M,,-1.216M,-91.89M,,120.78M,-22.66M,0.243M,98.36M,,0.934M,,,,,,,,
2007-04,38.87M,,,-0.356M,9.221M,9.221M,-4.93M,,,,1.592M,5.829M,,-0.405M,4.181M,3.294M,8.767M,-0.41M,21.26M,,65.65M,,-21.80M,10.83M,-10.97M,,67.55M,-127.90M,-71.32M,,,,,1.419M,,1.419M,,0.627M,2.046M,,124.05M,-3.624M,0.35M,120.78M,,1.419M,,,,,,,,
2007-01,30.39M,,,0.378M,8.799M,8.799M,-0.672M,,,,0.694M,-13.65M,,0.741M,1.681M,-2.775M,-18.40M,0.443M,-31.96M,,7.626M,,-16.25M,2.813M,-13.44M,,-8.83M,,-22.27M,,,,,8.477M,,8.477M,,3.833M,12.31M,,126.64M,-2.334M,-0.258M,124.05M,,8.477M,,,,,,,,
2006-10,30.34M,,,2.254M,8.74M,8.74M,-1.342M,,,,0.843M,1.685M,,0.19M,-3.665M,0.752M,14.48M,-0.296M,13.15M,,53.99M,,-21.10M,3.013M,-18.09M,,-38.33M,,-56.42M,,,,,1.577M,,1.577M,,0.576M,2.153M,,126.59M,-0.278M,0.333M,126.64M,,1.577M,,,,,,,,
2006-07,31.57M,,,4.656M,8.536M,8.536M,-0.866M,,,,0.729M,10.82M,,-0.61M,-1.55M,3.523M,-6.639M,0.343M,5.885M,-0.983M,49.53M,,-35.31M,8.957M,-26.35M,,-20.78M,,-49.31M,,,,,1.564M,0.00,1.564M,,1.095M,2.659M,,124.01M,2.882M,-0.304M,126.59M,,1.564M,,,0.00,,,,,
