,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.588B,1.618B,877.00M,740.80M,,185.10M,185.10M,,,,34.10M,,,,10.00M,25.70M,15.70M,,185.10M,555.70M,25.70M,10.00M,15.70M,61.70M,15.70M,633.10M,150.20M,482.90M,,-39.70M,,443.20M,408.86M,660.50M,17.40M,643.10M,0.79,,,0.727,0.79,0.78,,,0.7171,0.78,545.00M,545.50M,0.23
2017-12,1.586B,1.616B,861.20M,754.30M,,173.20M,173.20M,,,,29.40M,,,,10.80M,23.80M,13.00M,,173.20M,581.10M,23.80M,10.80M,13.00M,57.50M,13.00M,651.60M,1.224B,-571.90M,,-11.40M,,-583.30M,-594.34M,683.30M,20.90M,662.40M,-1.06,,,-1.08,-1.06,-1.06,,,-1.08,-1.06,550.70M,550.70M,0.23
2017-09,1.588B,1.617B,871.00M,745.90M,,188.20M,188.20M,,,,33.00M,,,,12.70M,25.00M,12.30M,,188.20M,557.70M,25.00M,12.70M,12.30M,88.40M,12.30M,658.40M,181.90M,476.50M,,-51.30M,,425.20M,375.34M,689.10M,18.00M,671.10M,0.76,,,0.6699,0.76,0.76,,,0.67,0.76,553.70M,554.00M,0.2
2017-06,1.587B,1.614B,883.90M,730.00M,,165.80M,165.80M,,,,30.20M,0.50M,-0.50M,,12.90M,20.30M,7.40M,,165.80M,564.20M,20.30M,12.90M,7.40M,71.90M,7.40M,643.50M,184.10M,459.40M,,-48.80M,,410.60M,377.26M,678.20M,21.80M,656.40M,0.73,,,0.6701,0.73,0.73,,,0.6701,0.73,556.20M,556.70M,0.2
2017-03,1.577B,1.601B,878.20M,722.40M,,166.90M,166.90M,,,,29.00M,0.00,0.00,,12.60M,16.00M,3.40M,,166.90M,555.50M,16.00M,12.60M,3.40M,68.60M,3.40M,627.50M,192.50M,435.00M,,-14.30M,,420.70M,400.33M,660.70M,20.60M,640.10M,0.74,,,0.7036,0.74,0.74,,,0.7037,0.74,560.30M,560.60M,0.2
2016-12,1.539B,1.561B,831.50M,729.30M,,142.40M,142.40M,,,,29.10M,0.30M,-0.30M,,13.30M,13.60M,0.30M,,142.40M,586.90M,13.60M,13.30M,0.30M,32.50M,0.30M,619.70M,200.90M,418.80M,,21.40M,,440.20M,444.32M,652.90M,19.90M,633.00M,0.77,,,0.7773,0.77,0.77,,,0.7773,0.77,565.10M,565.20M,0.2
2016-09,1.596B,1.612B,853.40M,758.40M,,179.00M,179.00M,,,,37.30M,4.10M,-4.10M,,13.40M,13.50M,0.10M,,179.00M,579.40M,13.50M,13.40M,0.10M,56.80M,0.10M,636.30M,163.30M,473.00M,,-0.90M,,472.10M,472.62M,671.00M,21.30M,649.70M,0.82,,,0.8209,0.82,0.82,,,0.8209,0.82,571.50M,571.50M,0.18
2016-06,1.605B,1.634B,880.30M,754.00M,,158.60M,158.60M,,,,33.10M,2.20M,-2.20M,,12.30M,12.30M,0.00,,158.60M,595.40M,12.30M,12.30M,0.00,53.50M,0.00,648.90M,187.40M,461.50M,,-15.10M,,446.40M,410.64M,680.60M,19.40M,661.20M,0.77,,,0.7082,0.77,0.77,,,0.7082,0.77,578.90M,578.90M,0.18
2016-03,1.594B,1.614B,906.00M,707.90M,,170.60M,170.60M,,,,33.00M,4.40M,-4.40M,,12.20M,7.10M,-5.10M,,170.60M,537.30M,7.10M,12.20M,-5.10M,10.30M,-5.10M,542.50M,181.70M,360.80M,,-0.40M,,360.40M,345.37M,578.50M,23.80M,554.70M,0.61,,,0.5844,0.61,0.61,,,0.5844,0.61,587.00M,587.10M,0.18
2015-12,1.727B,1.758B,931.10M,826.90M,,173.30M,173.30M,,,,30.70M,0.40M,-0.40M,,12.00M,3.60M,-8.40M,,173.30M,653.60M,3.60M,12.00M,-8.40M,26.90M,-8.40M,672.10M,209.70M,462.40M,,-14.60M,,447.80M,447.87M,706.70M,22.60M,684.10M,0.74,,,0.7401,0.74,0.74,,,0.7401,0.74,597.60M,597.70M,0.18
2015-09,1.832B,1.874B,963.10M,910.70M,,192.60M,192.60M,,,,35.60M,4.50M,-4.50M,,12.90M,2.80M,-10.10M,,192.60M,718.10M,2.80M,12.90M,-10.10M,-112.30M,-10.10M,595.70M,214.20M,381.50M,,-23.30M,,358.20M,385.10M,633.40M,24.80M,608.60M,0.59,,,0.6343,0.59,0.59,,,0.6343,0.59,607.30M,607.40M,0.15
2015-06,1.974B,2.001B,1.058B,943.30M,,173.50M,173.50M,,,,30.70M,3.50M,-3.50M,,13.70M,2.60M,-11.10M,,173.50M,769.80M,2.60M,13.70M,-11.10M,-7.30M,-11.10M,751.40M,217.40M,534.00M,,-29.80M,,504.20M,512.52M,788.30M,23.20M,765.10M,0.82,,,0.8335,0.82,0.82,,,0.8335,0.82,614.10M,614.20M,0.15
2015-03,1.994B,2.010B,1.088B,921.80M,,164.10M,164.10M,,,,32.10M,1.00M,-1.00M,,1.70M,3.40M,1.70M,,164.10M,757.70M,3.40M,1.70M,1.70M,99.50M,1.70M,858.90M,236.00M,622.90M,,-16.40M,,606.50M,536.46M,885.10M,24.50M,860.60M,0.98,,,0.8666,0.98,0.98,,,0.8666,0.98,617.60M,617.70M,0.15
2014-12,2.043B,2.064B,1.107B,957.30M,,175.30M,175.30M,,,,34.30M,1.00M,-1.00M,,11.30M,2.00M,-9.30M,,175.30M,782.00M,2.00M,11.30M,-9.30M,49.70M,-9.30M,822.40M,256.10M,566.30M,,0.10M,,566.40M,542.84M,858.60M,24.90M,833.70M,0.91,,,0.872,0.91,0.91,,,0.872,0.91,620.10M,620.20M,0.15
2014-09,2.126B,2.156B,1.122B,1.034B,,198.40M,198.40M,,,,36.70M,0.00,0.00,,12.50M,2.30M,-10.20M,,198.40M,835.30M,2.30M,12.50M,-10.20M,60.70M,-10.20M,885.80M,255.00M,630.80M,,9.80M,,640.60M,596.80M,920.00M,21.70M,898.30M,1.03,,,0.9596,1.03,1.02,,,0.9496,1.02,621.80M,621.90M,0.12
2014-06,2.106B,2.130B,1.17B,960.50M,,173.70M,173.70M,,,,34.10M,0.00,0.00,,10.90M,2.10M,-8.80M,,173.70M,786.80M,2.10M,10.90M,-8.80M,105.50M,-8.80M,883.50M,251.40M,632.10M,,-53.20M,,578.90M,527.35M,916.50M,22.10M,894.40M,0.92,,,0.8373,0.92,0.92,,,0.8373,0.92,623.20M,623.60M,0.12
2014-03,2.074B,2.096B,1.139B,957.30M,,171.30M,171.30M,,,,33.80M,0.00,0.00,,11.40M,2.40M,-9.00M,,171.30M,786.00M,2.40M,11.40M,-9.00M,14.60M,-9.00M,791.60M,238.80M,552.80M,,8.20M,,561.00M,560.02M,828.70M,25.70M,803.00M,0.89,,,0.8884,0.89,0.89,,,0.8884,0.89,626.10M,626.50M,0.12
2013-12,2.087B,2.110B,1.126B,983.80M,,170.70M,170.70M,,,,33.10M,0.60M,-0.60M,,12.60M,2.30M,-10.30M,,170.70M,813.10M,2.30M,12.60M,-10.30M,45.90M,-10.30M,848.70M,252.70M,596.00M,,7.80M,,603.80M,593.41M,886.40M,25.10M,861.30M,0.96,,,0.9435,0.96,0.96,,,0.9435,0.96,628.10M,628.50M,0.12
2013-09,1.966B,1.985B,1.066B,918.40M,,183.30M,183.30M,,,,35.00M,0.60M,-0.60M,,11.50M,-0.40M,-11.90M,,183.30M,735.10M,-0.40M,11.50M,-11.90M,0.30M,-11.90M,723.50M,213.00M,510.50M,,-1.50M,,509.00M,522.76M,758.00M,23.00M,735.00M,0.8,,,0.8218,0.8,0.8,,,0.8218,0.8,630.40M,631.70M,0.1
2013-06,2.060B,2.085B,1.158B,926.50M,,154.80M,154.80M,,,,33.90M,0.80M,-0.80M,,10.00M,2.40M,-7.60M,,154.80M,771.70M,2.40M,10.00M,-7.60M,7.90M,-7.60M,772.00M,209.90M,562.10M,,-9.80M,,552.30M,557.18M,805.70M,23.70M,782.00M,0.87,,,0.8777,0.87,0.86,,,0.8677,0.86,633.60M,634.30M,0.0967
2013-03,1.987B,2.014B,1.136B,877.70M,,148.30M,148.30M,,,,31.90M,0.70M,-0.70M,,10.90M,2.40M,-8.50M,,148.30M,729.40M,2.40M,10.90M,-8.50M,94.10M,-8.50M,815.00M,221.60M,593.40M,,-20.60M,,572.80M,522.35M,851.70M,25.80M,825.90M,0.9,,,0.8204,0.9,0.9,,,0.8205,0.9,634.00M,634.70M,0.0967
2012-12,1.878B,1.902B,1.066B,835.80M,,150.70M,150.70M,,,,33.40M,0.30M,-0.30M,,14.50M,3.10M,-11.40M,,150.70M,685.10M,3.10M,14.50M,-11.40M,42.40M,-11.40M,716.10M,211.40M,504.70M,,11.40M,,516.10M,502.35M,751.60M,21.00M,730.60M,0.81,,,0.7883,0.81,0.81,,,0.7884,0.81,634.50M,635.40M,0.0967
2012-09,1.796B,1.816B,1.019B,797.10M,,174.40M,174.40M,,,,34.70M,1.80M,-1.80M,,8.40M,2.90M,-5.50M,,174.40M,622.70M,2.90M,8.40M,-5.50M,61.20M,-5.50M,678.40M,174.40M,504.00M,,-11.90M,,492.10M,461.34M,705.50M,18.70M,686.80M,0.7733,0.0,,0.7248,0.7733,0.77,0.0,,0.7217,0.77,634.20M,636.40M,0.09
2012-06,1.761B,1.784B,1.007B,777.00M,,134.00M,134.00M,,,,31.50M,8.30M,-8.30M,,10.10M,5.50M,-4.60M,,134.00M,643.00M,5.50M,10.10M,-4.60M,-23.50M,-4.60M,614.90M,184.90M,430.00M,,25.30M,,455.30M,468.16M,625.00M,-45.00M,625.00M,0.71,,,0.7301,0.71,0.71,,,0.7301,0.71,639.30M,640.90M,0.09
2012-03,1.789B,1.799B,1.038B,760.80M,,143.70M,143.70M,,,,31.90M,0.00,0.00,,9.60M,2.00M,-7.60M,,143.70M,617.10M,2.00M,9.60M,-7.60M,80.40M,-7.60M,689.90M,202.10M,487.80M,,15.40M,,503.20M,476.83M,755.30M,55.80M,699.50M,0.7767,,,0.7357,0.7767,0.7733,,,0.7325,0.7733,643.50M,645.30M,0.09
2011-12,1.675B,1.702B,931.00M,770.90M,,138.50M,138.50M,,,,31.80M,0.00,0.00,,8.60M,2.10M,-6.50M,,138.50M,632.40M,2.10M,8.60M,-6.50M,69.10M,-6.50M,695.00M,201.30M,493.70M,,-12.90M,,480.80M,450.70M,756.20M,52.60M,703.60M,0.7367,,,0.6902,0.7367,0.7333,,,0.687,0.7333,648.30M,650.10M,0.09
2011-09,1.793B,1.837B,1.901B,-63.51M,,-533.10M,-533.10M,,,,,,95.69M,,11.08M,2.778M,-8.307M,,-656.21M,592.70M,2.778M,11.08M,-8.307M,-23.58M,-8.307M,560.82M,203.90M,356.92M,,59.08M,,416.00M,430.03M,571.90M,-93.36M,571.90M,0.6367,,,0.658,0.6367,0.6267,,,0.6479,0.6267,656.82M,659.93M,0.0833
2011-06,1.853B,1.853B,719.31M,1.134B,,377.65M,377.65M,41.27M,,,,,-32.11M,,10.06M,2.66M,-7.396M,,418.91M,714.81M,2.66M,10.06M,-7.396M,-20.27M,-7.396M,687.14M,208.94M,478.20M,,25.15M,2.887M,503.35M,510.91M,755.34M,58.14M,697.20M,0.7567,0.0,,0.7681,0.7567,0.7533,0.0,,0.7647,0.7533,660.94M,663.85M,0.0833
2011-03,1.750B,1.750B,676.94M,1.073B,,401.67M,401.67M,41.48M,,,,,3.194M,,8.364M,2.702M,-5.662M,,443.15M,629.48M,2.702M,8.364M,-5.662M,54.75M,-5.662M,678.57M,183.00M,495.56M,,7.535M,,503.10M,473.12M,748.08M,61.15M,686.93M,0.7533,0.0,,0.7083,0.7533,0.75,0.0,,0.7051,0.75,665.09M,668.09M,0.0833
2010-12,1.700B,1.700B,647.15M,1.053B,,353.56M,353.56M,40.37M,,,,,-9.747M,,7.895M,2.86M,-5.035M,,393.93M,659.23M,2.86M,7.895M,-5.035M,43.47M,-5.035M,697.67M,207.55M,490.12M,,11.04M,,501.16M,481.03M,768.04M,62.48M,705.56M,0.7467,0.0,,0.7166,0.7467,0.7433,0.0,,0.7134,0.7433,669.51M,672.76M,0.0833
2010-09,1.528B,1.528B,599.03M,929.37M,,338.98M,338.98M,47.63M,,,,,-149.86M,,3.472M,3.072M,-0.40M,,290.35M,639.02M,3.072M,3.472M,-0.40M,-147.95M,-0.40M,552.36M,176.50M,375.86M,,-2.941M,,372.92M,432.16M,622.43M,66.60M,555.84M,0.5533,0.0,,0.6416,0.5533,0.55,0.0,,0.6377,0.55,671.48M,675.54M,0.0733
2010-06,1.534B,1.534B,590.88M,943.20M,,345.61M,345.61M,40.16M,,,,,-41.22M,,9.672M,2.801M,-6.871M,35.86M,421.63M,521.56M,2.801M,9.672M,-6.871M,-32.00M,-6.871M,494.80M,135.11M,359.68M,,0.812M,,360.50M,378.68M,574.08M,69.61M,504.47M,0.53,0.0,,0.5569,0.53,0.5267,0.0,,0.5534,0.5267,676.88M,680.42M,0.0733
2010-03,1.413B,1.413B,557.40M,855.72M,,324.97M,324.97M,39.81M,,,,,-24.13M,,0.936M,3.446M,2.51M,,364.78M,490.93M,3.446M,0.936M,2.51M,14.91M,2.51M,508.36M,149.95M,358.41M,,-1.725M,,356.68M,373.70M,574.48M,65.19M,509.29M,0.52,0.0,,0.545,0.52,0.5167,0.0,,0.5415,0.5167,681.14M,684.90M,0.0733
2009-12,1.377B,1.377B,535.59M,841.82M,,374.84M,374.84M,,,,,,-1.462M,,0.742M,3.581M,2.839M,,374.84M,466.98M,3.581M,0.742M,2.839M,44.47M,2.839M,514.28M,156.74M,357.55M,,-1.946M,,355.60M,328.17M,581.03M,66.00M,515.03M,0.5167,0.0,,0.4765,0.5167,0.5133,0.0,,0.4737,0.5133,683.68M,692.73M,0.0733
2009-09,1.239B,1.239B,418.28M,820.64M,37.31M,318.77M,356.09M,,,,72.00M,,63.78M,,0.268M,,31.65M,79.84M,435.92M,384.72M,,0.268M,31.65M,98.25M,31.65M,514.62M,136.18M,378.44M,,-11.09M,,367.36M,320.46M,566.16M,51.28M,514.89M,0.53,0.0,,0.4616,0.53,0.5267,0.0,,0.4588,0.5267,686.17M,690.93M,0.07
2009-06,1.074B,1.074B,350.68M,722.88M,27.89M,299.15M,327.03M,,,,68.20M,,97.08M,,0.211M,,-0.211M,69.66M,396.70M,326.19M,,0.211M,-0.211M,97.08M,-0.211M,423.05M,116.20M,306.85M,,-9.132M,,297.72M,227.30M,464.12M,40.85M,423.26M,0.4267,0.0,,0.3245,0.4267,0.4267,0.0,,0.325,0.4267,689.41M,692.46M,0.07
2009-03,912.27M,912.27M,293.53M,618.74M,26.70M,302.13M,328.83M,,,,65.40M,,-45.00M,,2.092M,,-2.092M,66.59M,395.42M,223.32M,,2.092M,-2.092M,-45.00M,-2.092M,176.23M,67.16M,109.07M,,1.734M,,110.81M,138.66M,220.79M,42.46M,178.32M,0.16,0.0,,0.2002,0.16,0.1567,0.0,,0.1967,0.1567,693.53M,695.67M,0.07
2008-12,969.33M,969.33M,289.53M,679.80M,24.23M,312.66M,336.89M,,,,68.60M,,-92.46M,,1.20M,,-1.20M,74.55M,411.44M,268.36M,,1.20M,-1.20M,-92.46M,-1.20M,174.70M,64.77M,109.93M,,10.97M,,120.90M,179.08M,222.58M,46.68M,175.90M,0.1733,0.0,,0.2571,0.1733,0.1733,0.0,,0.2567,0.1733,694.88M,698.06M,0.07
2008-09,1.321B,1.321B,406.53M,914.93M,45.49M,357.13M,402.62M,,,,83.04M,,-112.45M,,0.478M,,99.95M,100.34M,502.96M,411.97M,,0.478M,99.95M,-58.17M,99.95M,453.75M,153.26M,300.49M,,,,300.49M,374.96M,512.63M,58.40M,454.23M,0.4333,0.0,,0.54,0.4333,0.43,0.0,,0.5359,0.43,698.42M,703.33M,0.0667
2008-06,1.522B,1.522B,492.38M,1.029B,44.80M,364.13M,408.93M,,,,78.48M,,24.96M,,3.287M,,-3.287M,88.12M,497.05M,532.22M,,3.287M,-3.287M,24.96M,-3.287M,553.89M,150.58M,403.31M,,,,403.31M,385.13M,608.89M,51.71M,557.18M,0.5733,0.0,,0.5475,0.5733,0.57,0.0,,0.5444,0.57,703.89M,709.46M,0.0667
2008-03,1.504B,1.504B,485.61M,1.018B,47.37M,360.48M,407.85M,,,,79.85M,,6.329M,,5.948M,,-5.948M,91.14M,498.99M,519.09M,,5.948M,-5.948M,6.329M,-5.948M,519.47M,153.37M,366.10M,,,,366.10M,361.64M,578.24M,52.82M,525.42M,0.5167,0.0,,0.5104,0.5167,0.5133,0.0,,0.5071,0.5133,709.56M,715.08M,0.0667
2007-12,1.686B,1.686B,552.59M,1.133B,46.64M,359.91M,406.55M,,,,79.62M,,79.80M,,6.045M,,-6.045M,90.72M,497.27M,635.73M,,6.045M,-6.045M,79.80M,-6.045M,709.48M,191.16M,518.32M,,,,518.32M,460.02M,767.81M,52.28M,715.52M,0.7167,0.0,,0.6362,0.7167,0.7067,0.0,,0.6271,0.7067,724.76M,732.44M,0.0667
2007-09,1.629B,1.629B,552.73M,1.076B,56.13M,374.82M,430.95M,,,,89.19M,,69.33M,,4.971M,,128.43M,104.07M,535.02M,541.39M,,4.971M,128.43M,-50.08M,128.43M,619.73M,182.82M,436.91M,,,,436.91M,388.03M,655.96M,31.26M,624.70M,0.5933,0.0,,0.5268,0.5933,0.59,0.0,,0.5241,0.59,734.28M,741.17M,0.05
2007-06,1.640B,1.640B,595.90M,1.044B,52.36M,355.25M,407.61M,,,,79.74M,,16.35M,,6.137M,,-6.137M,117.29M,524.90M,519.01M,,6.137M,-6.137M,121.65M,-6.137M,634.52M,166.16M,468.36M,,,,468.36M,456.30M,699.22M,58.56M,640.66M,0.63,0.0,,0.6138,0.63,0.62,0.0,,0.604,0.62,743.57M,753.92M,0.05
2007-03,1.509B,1.509B,,,46.04M,268.47M,46.04M,,,,,,114.61M,,5.99M,,-5.99M,963.89M,1.010B,499.08M,,5.99M,-5.99M,114.61M,-5.99M,607.70M,166.84M,440.87M,,,,440.87M,357.72M,669.96M,56.26M,613.70M,0.5833,0.0,,0.4733,0.5833,0.5767,0.0,,0.4679,0.5767,755.77M,764.51M,0.05
2006-12,1.409B,1.428B,,,34.86M,,34.86M,75.06M,,33.75M,,,-376.66M,,,,,298.02M,441.69M,986.12M,,,,-376.66M,,603.34M,176.54M,426.80M,,,,426.80M,693.24M,1.039B,52.54M,986.12M,0.5633,0.0,,0.915,0.5633,0.5567,0.0,,0.9042,0.5567,757.63M,766.71M,0.05
2006-09,1.277B,1.297B,,,48.68M,,48.68M,80.46M,,22.88M,,,-345.43M,,,,,300.78M,452.82M,844.41M,,,,-345.43M,,492.75M,111.08M,381.67M,,,,381.67M,649.23M,898.84M,54.43M,844.41M,0.5033,0.0,,0.8572,0.5033,0.4967,0.0,,0.8469,0.4967,756.16M,763.90M,0.04
2006-06,1.299B,1.317B,,,41.31M,,41.31M,74.08M,,34.16M,,,-386.81M,,,,,285.01M,434.56M,882.71M,,,,-386.81M,,489.22M,117.81M,371.41M,,,,371.41M,665.08M,935.62M,52.90M,882.71M,0.48,0.0,,0.8595,0.48,0.47,0.0,,0.8416,0.47,773.78M,790.24M,0.04
2006-03,1.237B,1.255B,,,36.13M,231.18M,36.13M,73.90M,,36.47M,,,-340.86M,,,,,345.28M,491.78M,762.99M,,,,-340.86M,,415.01M,218.50M,196.52M,,,,196.52M,401.03M,817.17M,54.17M,762.99M,0.2533,0.0,,0.517,0.2533,0.2467,0.0,,0.5034,0.2467,775.72M,796.69M,0.04
2005-12,1.167B,1.181B,,,30.34M,,30.34M,73.90M,,36.36M,,,-336.90M,,,,,256.20M,396.79M,784.66M,,,,-336.90M,,438.58M,120.61M,317.97M,,,,317.97M,562.22M,838.43M,53.77M,784.66M,0.42,0.0,,0.7426,0.42,0.4033,0.0,,0.7132,0.4033,757.07M,788.35M,0.04
2005-09,989.13M,1.163B,,,43.24M,,43.24M,77.00M,,35.46M,,,-327.99M,,,,,-1.976B,406.95M,756.21M,,,,-327.99M,,419.43M,84.93M,334.50M,,,,334.50M,596.06M,821.66M,65.45M,756.21M,0.4433,0.0,,0.7896,0.4433,0.4267,0.0,,0.7599,0.4267,755.50M,784.92M,0.0333
2005-06,1.094B,1.110B,,,36.84M,,36.84M,73.25M,,33.71M,,,-333.41M,,,,,259.79M,403.60M,706.14M,,,,-333.41M,,363.71M,101.84M,261.87M,,,,261.87M,501.92M,754.48M,48.34M,706.14M,0.3467,0.0,,0.6644,0.3467,0.3333,0.0,,0.6389,0.3333,755.40M,785.62M,0.0333
2005-03,1.034B,1.051B,,,31.11M,,31.11M,69.81M,,34.97M,,,-310.35M,,,,,294.64M,430.52M,620.66M,,,,-310.35M,,302.06M,80.79M,221.27M,,,,221.27M,448.62M,670.34M,49.68M,620.66M,0.2933,0.0,,0.5947,0.2933,0.2833,0.0,,0.5744,0.2833,754.34M,780.97M,0.0333
2004-12,970.03M,986.02M,,,26.11M,,26.11M,66.80M,,35.79M,,,-267.87M,,,,,245.81M,374.52M,611.51M,,,,-267.87M,,335.65M,95.66M,239.99M,,,,239.99M,431.52M,660.21M,48.70M,611.51M,0.32,0.0,,0.5754,0.32,0.3067,0.0,,0.5514,0.3067,749.97M,782.57M,0.0333
2004-09,865.00M,881.73M,,,27.71M,,27.71M,68.02M,,31.16M,,,-238.17M,,,,,247.00M,373.89M,507.84M,,,,-238.17M,,261.76M,74.08M,187.68M,0.00,,,187.68M,358.45M,553.83M,45.98M,507.84M,0.2533,0.0,0.0,0.484,0.2533,0.2433,0.0,-0.0,0.4647,0.2433,740.30M,771.32M,0.0283
