,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,881.00M,1.382B,2.263B,2.064B,31.00M,2.095B,547.00M,175.00M,722.00M,178.00M,1.336B,7.316B,24.86B,3.408B,28.26B,-7.385B,20.88B,1.421B,500.00M,1.921B,901.00M,,931.00M,2.858B,27.49B,34.81B,,1.033B,,1.033B,2.884B,3.917B,,1.071B,1.071B,,,194.00M,5.182B,16.62B,16.62B,1.115B,1.115B,1.017B,3.358B,60.00M,,18.81B,27.78B,,7.00M,-8.00M,6.832B,144.00M,,,-3.018B,3.669B,,AOR,Restated
2008-09,1.707B,,1.707B,2.451B,,2.451B,597.00M,,,,3.638B,8.393B,27.03B,2.999B,30.03B,-7.937B,22.09B,,,1.969B,,,,4.201B,28.26B,36.65B,,1.141B,,1.141B,3.32B,4.461B,,954.00M,954.00M,,,,5.415B,17.69B,17.69B,1.23B,1.23B,,3.705B,,,18.92B,28.72B,,7.00M,40.00M,6.826B,144.00M,-2.50B,,-2.50B,4.229B,,,Restated
2008-06,2.286B,,2.286B,2.649B,,2.649B,600.00M,,,,3.369B,8.904B,28.26B,3.186B,31.45B,-8.347B,23.10B,,,2.01B,,,,4.101B,29.21B,38.12B,,1.135B,,1.135B,3.493B,4.628B,,1.197B,1.197B,,,,5.825B,17.90B,17.90B,1.318B,1.318B,,3.809B,,,19.22B,30.02B,,7.00M,-105.00M,6.819B,,,,-2.432B,4.289B,,,Restated
2008-03,1.766B,,1.766B,2.562B,,2.562B,514.00M,,,,3.521B,8.363B,26.45B,2.319B,28.77B,-7.849B,20.92B,,,1.957B,,,,4.506B,27.38B,35.74B,,1.169B,,1.169B,3.364B,4.533B,,1.50B,1.50B,,,,6.033B,16.94B,16.94B,1.106B,1.106B,,3.439B,,,18.05B,28.98B,,7.00M,-1.008B,6.796B,,,,-2.474B,3.321B,,,Restated
2007-12,2.043B,1.306B,3.349B,2.252B,56.00M,2.308B,476.00M,137.00M,522.00M,283.00M,1.076B,8.336B,1.041B,1.77B,27.49B,-7.519B,19.97B,1.416B,466.00M,1.882B,730.00M,,999.00M,2.532B,26.12B,34.45B,,1.067B,,1.067B,2.881B,3.948B,,1.365B,1.365B,,,169.00M,5.482B,16.62B,16.62B,1.187B,1.187B,921.00M,,,6.995B,25.81B,31.29B,,7.00M,-1.241B,6.776B,0.00,,,-2.378B,3.164B,,AOR,Restated
2007-09,2.273B,,2.273B,2.119B,,2.119B,511.00M,,,,2.717B,7.62B,25.92B,1.30B,27.22B,-7.395B,19.83B,,,1.771B,,,290.00M,3.841B,25.73B,33.35B,,978.00M,,978.00M,3.353B,4.331B,,1.247B,1.247B,,,,5.578B,14.75B,14.75B,1.181B,1.181B,,3.237B,,,15.93B,26.91B,,7.00M,-1.26B,6.82B,,,,-2.368B,3.199B,,,
2007-06,2.14B,,2.14B,2.036B,,2.036B,497.00M,,,,2.882B,7.555B,25.21B,1.133B,26.34B,-7.106B,19.24B,,,1.809B,,,282.00M,3.737B,25.07B,32.62B,,913.00M,,913.00M,2.617B,3.53B,,2.13B,2.13B,,,,5.66B,15.01B,15.01B,1.185B,1.185B,,3.263B,,,16.19B,26.30B,,7.00M,-1.364B,6.791B,,,,-2.373B,3.061B,,,
2007-03,1.944B,,1.944B,1.86B,,1.86B,496.00M,,,,2.534B,6.834B,23.77B,1.256B,25.03B,-6.815B,18.22B,,,1.749B,,,271.00M,4.886B,25.12B,31.96B,,897.00M,,897.00M,2.815B,3.712B,,1.31B,1.31B,,,,5.022B,15.66B,15.66B,1.095B,1.095B,,3.27B,,,16.76B,26.14B,,7.00M,-1.533B,6.688B,,,,-2.617B,2.545B,,,
2006-12,1.358B,640.00M,1.998B,1.765B,91.00M,1.856B,445.00M,106.00M,548.00M,214.00M,927.00M,6.578B,921.00M,987.00M,23.37B,-6.427B,16.94B,1.414B,498.00M,1.912B,591.00M,,912.00M,4.336B,24.70B,31.27B,,788.00M,,788.00M,2.547B,3.335B,,1.402B,1.402B,,,313.00M,5.05B,14.63B,14.63B,809.00M,809.00M,844.00M,,,6.483B,23.24B,28.30B,,7.00M,-1.093B,6.659B,,,,-2.594B,2.979B,,,Restated
2006-09,2.449B,,2.449B,1.883B,,1.883B,507.00M,,,,2.039B,6.878B,24.38B,1.785B,26.17B,-6.768B,19.40B,,,1.412B,,,319.00M,3.925B,25.06B,31.94B,,1.071B,,1.071B,2.86B,3.931B,,2.022B,2.022B,,,,5.953B,15.39B,15.39B,735.00M,735.00M,,2.94B,,,16.12B,26.32B,,7.00M,-1.034B,6.581B,,,,-2.881B,2.673B,,,
2006-06,1.841B,,1.841B,1.926B,,1.926B,495.00M,,,,1.867B,6.129B,24.24B,1.577B,25.81B,-6.637B,19.18B,,,1.416B,,,307.00M,3.945B,24.84B,30.97B,,1.116B,,1.116B,2.655B,3.771B,,1.416B,1.416B,,,,5.187B,16.08B,16.08B,822.00M,822.00M,,2.256B,,,16.90B,26.27B,,7.00M,-694.00M,6.577B,,,,-3.439B,2.451B,,,
2006-03,1.777B,,1.777B,1.73B,,1.73B,466.00M,,,,1.655B,5.628B,23.82B,1.524B,25.35B,-6.415B,18.93B,,,1.428B,,,1.144B,2.97B,24.48B,30.10B,,1.067B,,1.067B,2.577B,3.644B,,1.46B,1.46B,,,,5.104B,16.12B,16.12B,833.00M,833.00M,,1.753B,,,16.95B,26.16B,,7.00M,-863.00M,6.548B,,,,-3.502B,2.19B,,,
2005-12,1.798B,,1.798B,1.648B,,1.648B,457.00M,,,,1.384B,5.287B,23.16B,847.00M,24.01B,-5.975B,18.03B,,,1.697B,,,275.00M,3.668B,23.67B,28.96B,,1.091B,,1.091B,2.538B,3.629B,,1.647B,1.647B,,,,5.276B,15.32B,15.32B,777.00M,777.00M,,1.626B,,,16.10B,25.71B,,7.00M,-1.286B,6.561B,,,,-3.656B,1.626B,,,Restated
2005-09,1.164B,,1.164B,1.77B,,1.77B,479.00M,,,,1.993B,5.406B,23.54B,1.262B,24.81B,-6.041B,18.77B,,,1.449B,,,1.079B,2.948B,24.24B,29.65B,,1.063B,,1.063B,2.634B,3.697B,,1.607B,1.607B,,,,5.304B,16.34B,16.34B,770.00M,770.00M,,1.517B,,,17.11B,26.71B,,7.00M,-1.362B,6.484B,,,,-3.708B,1.421B,,,
2005-06,1.381B,,1.381B,1.65B,,1.65B,437.00M,,,,1.868B,5.336B,23.22B,1.118B,24.34B,-5.783B,18.55B,,,1.454B,,,1.074B,2.964B,24.04B,29.38B,,1.094B,,1.094B,2.359B,3.453B,,1.916B,1.916B,,,,5.369B,16.33B,16.33B,772.00M,772.00M,,1.43B,,,17.10B,26.72B,,7.00M,-3.646B,6.473B,,,,-1.606B,1.228B,,,
2005-03,1.946B,,1.946B,1.547B,,1.547B,413.00M,,,,990.00M,4.896B,23.25B,1.107B,24.35B,-5.53B,18.82B,,,1.422B,,,1.294B,3.228B,24.77B,29.66B,,1.106B,,1.106B,2.095B,3.201B,,1.894B,1.894B,,,,5.095B,16.45B,16.45B,729.00M,729.00M,,1.663B,,,17.18B,26.25B,,7.00M,-680.00M,6.368B,,,,-3.947B,1.748B,,,
2004-12,1.676B,,1.676B,1.538B,,1.538B,418.00M,,,,1.354B,4.986B,22.52B,919.00M,23.44B,-5.259B,18.18B,,,1.419B,,,1.117B,3.224B,23.94B,28.92B,,1.081B,,1.081B,2.042B,3.123B,,1.761B,1.761B,,,,4.884B,16.83B,16.83B,678.00M,678.00M,,1.305B,,,17.50B,26.66B,,7.00M,-1.844B,6.434B,,,,-3.641B,956.00M,,,
2004-09,1.582B,,1.582B,1.317B,,1.317B,388.00M,,,,1.823B,5.11B,22.72B,827.00M,23.54B,-5.087B,18.46B,,,1.376B,,,1.264B,3.749B,24.85B,29.96B,,1.027B,,1.027B,2.588B,3.615B,,2.073B,2.073B,,,,5.688B,16.44B,16.44B,1.122B,1.122B,,1.226B,,,17.56B,27.30B,,6.00M,-877.00M,5.497B,,,,-3.196B,1.43B,,,
2004-06,1.248B,,1.248B,1.165B,,1.165B,366.00M,,,,1.705B,4.484B,22.25B,785.00M,23.03B,-4.797B,18.24B,,,1.376B,,,468.00M,4.433B,24.51B,29.00B,,1.083B,,1.083B,2.356B,3.439B,,1.797B,1.797B,,,,5.236B,16.54B,16.54B,1.062B,1.062B,,1.166B,,,17.60B,26.66B,,6.00M,-1.017B,5.465B,,,,-3.28B,1.174B,,,
2004-03,1.12B,,1.12B,1.204B,,1.204B,357.00M,,,,2.10B,4.781B,21.79B,1.389B,23.18B,-4.745B,18.43B,,,1.381B,,,1.243B,3.895B,24.95B,29.73B,,1.127B,,1.127B,2.409B,3.536B,,2.413B,2.413B,,,,5.949B,16.33B,16.33B,1.048B,1.048B,,1.165B,,,17.38B,27.49B,,6.00M,-1.055B,5.363B,,,,-3.237B,1.077B,,,
2003-12,1.737B,,1.737B,1.361B,,1.361B,376.00M,,,,1.412B,4.886B,21.71B,1.278B,22.99B,-4.587B,18.40B,,,1.378B,,,1.221B,3.90B,24.90B,29.79B,,1.225B,,1.225B,2.434B,3.659B,,2.846B,2.846B,,,,6.505B,16.79B,16.79B,822.00M,822.00M,,1.029B,,,17.61B,28.21B,,6.00M,-1.199B,5.737B,,,,-3.999B,545.00M,,,
2003-09,1.477B,,1.477B,1.279B,,1.279B,399.00M,,,,1.759B,4.914B,21.64B,2.048B,23.68B,-4.739B,18.95B,,,1.385B,,,432.00M,4.738B,25.50B,30.42B,,1.148B,,1.148B,2.027B,3.175B,,4.37B,4.37B,,,,7.545B,15.32B,15.32B,838.00M,838.00M,,897.00M,809.00M,,16.97B,28.83B,,6.00M,-659.00M,5.71B,,,,-4.37B,687.00M,,,
2003-06,2.151B,,2.151B,1.142B,,1.142B,,,,,2.026B,5.319B,21.17B,2.43B,23.60B,-4.577B,19.03B,,,1.374B,,,442.00M,7.997B,28.84B,34.16B,,1.18B,,1.18B,4.615B,5.795B,,4.548B,4.548B,,,,10.34B,15.38B,15.38B,849.00M,849.00M,,863.00M,910.00M,,17.14B,33.09B,,6.00M,-735.00M,5.688B,,,,-4.753B,206.00M,,,
2003-03,1.163B,,1.163B,1.14B,,1.14B,387.00M,,,,2.045B,4.735B,20.28B,2.62B,22.90B,-4.267B,18.64B,,,1.375B,,,421.00M,7.702B,28.13B,32.87B,,1.153B,,1.153B,4.422B,5.575B,,4.015B,4.015B,,,,9.59B,15.49B,15.49B,957.00M,957.00M,,806.00M,978.00M,,17.43B,32.21B,,6.00M,-606.00M,5.349B,,,,-4.893B,-144.00M,,,
2002-12,792.00M,,792.00M,1.001B,,1.001B,353.00M,,,,2.211B,4.357B,18.86B,2.349B,21.21B,-3.692B,17.52B,,,1.373B,,,1.357B,10.00B,30.25B,34.61B,,1.018B,,1.018B,2.185B,3.203B,,3.303B,3.303B,,,,6.506B,16.80B,16.80B,1.186B,1.186B,,657.00M,,,17.98B,34.29B,,6.00M,-700.00M,5.312B,,,,-4.959B,-341.00M,,,
2002-09,975.00M,,975.00M,1.292B,,1.292B,503.00M,,,,2.272B,5.042B,22.32B,4.747B,27.07B,-4.102B,22.97B,,,2.04B,,,,6.518B,31.52B,36.57B,,1.085B,,1.085B,2.155B,3.24B,,5.019B,5.019B,,,,8.259B,18.13B,18.13B,1.65B,1.65B,,904.00M,978.00M,,20.76B,33.25B,,5.00M,2.067B,5.268B,,,,-4.927B,2.413B,,,
2002-06,1.028B,,1.028B,1.495B,,1.495B,510.00M,,,,2.372B,5.405B,22.82B,4.984B,27.81B,-4.18B,23.63B,,,2.262B,,,,7.381B,33.27B,38.68B,,1.258B,,1.258B,2.365B,3.623B,,4.335B,4.335B,,,,7.958B,19.21B,19.21B,1.649B,1.649B,,952.00M,978.00M,,21.83B,34.21B,,5.00M,2.381B,5.25B,,,,-4.125B,3.511B,,,
2002-03,1.313B,,1.313B,1.996B,,1.996B,550.00M,,,,2.05B,5.909B,24.77B,4.794B,29.56B,-4.337B,25.23B,,,3.105B,,,,5.961B,34.29B,40.20B,,1.388B,,1.388B,1.867B,3.255B,,4.191B,4.191B,,,,7.446B,20.62B,20.62B,2.051B,2.051B,,1.27B,978.00M,,23.65B,34.67B,,5.00M,2.496B,5.232B,,,,-3.474B,4.259B,,,
2001-12,922.00M,,922.00M,1.332B,,1.332B,562.00M,,,,1.876B,4.692B,20.74B,4.55B,25.29B,-3.177B,22.12B,,,2.415B,,,,7.59B,32.12B,36.81B,,736.00M,,736.00M,1.653B,2.389B,,2.539B,2.539B,,,,4.928B,18.70B,18.70B,1.695B,1.695B,,1.53B,978.00M,,21.38B,29.74B,,5.00M,2.809B,5.225B,,,,-2.50B,5.539B,,,
2001-09,1.297B,,1.297B,1.586B,,1.586B,589.00M,,,,883.00M,4.355B,21.27B,4.747B,26.02B,-3.125B,22.89B,,,2.834B,,,447.00M,5.853B,32.03B,36.38B,,771.00M,,771.00M,2.129B,2.90B,,2.466B,2.466B,,,,5.366B,19.69B,19.69B,2.105B,2.105B,,1.11B,1.228B,,23.02B,30.14B,,5.00M,2.757B,5.207B,,,,-2.841B,5.128B,,,
2001-06,1.19B,,1.19B,1.569B,,1.569B,542.00M,,,,1.124B,4.425B,20.67B,3.942B,24.61B,-2.99B,21.62B,,,2.92B,,,446.00M,6.118B,31.10B,35.53B,,769.00M,,769.00M,2.00B,2.769B,,2.80B,2.80B,,,,5.569B,17.90B,17.90B,2.061B,2.061B,,1.413B,1.228B,,21.19B,28.46B,,5.00M,2.754B,5.201B,,,,-2.301B,5.659B,,,
2001-03,1.83B,,1.83B,1.527B,,1.527B,498.00M,,,,1.074B,4.929B,20.62B,3.175B,23.80B,-2.797B,21.00B,,,2.859B,,,428.00M,6.374B,30.66B,35.59B,,690.00M,,690.00M,1.84B,2.53B,,2.796B,2.796B,,,,5.326B,18.02B,18.02B,2.044B,2.044B,,2.65B,,,20.06B,27.16B,,5.00M,2.642B,5.194B,,,,-2.06B,5.781B,,,
2000-12,950.00M,,950.00M,1.564B,,1.564B,571.00M,,,,2.699B,5.784B,19.28B,2.874B,22.16B,-2.651B,19.51B,,,2.307B,,,,5.44B,27.25B,33.04B,,833.00M,,833.00M,1.735B,2.568B,,2.471B,2.471B,,,,5.039B,16.32B,16.32B,1.863B,1.863B,,1.442B,1.228B,,19.41B,26.05B,,5.00M,2.551B,5.172B,507.00M,,,-1.679B,5.542B,,,
2000-09,1.106B,,1.106B,1.943B,,1.943B,505.00M,,,,1.216B,4.77B,15.62B,2.453B,18.07B,-1.061B,17.01B,,,953.00M,,,309.00M,6.431B,24.70B,29.47B,,594.00M,,594.00M,1.55B,2.144B,,2.118B,2.118B,,,,4.262B,15.98B,15.98B,2.373B,2.373B,,1.401B,,,18.35B,24.06B,,5.00M,1.541B,3.788B,,,,-1.328B,4.006B,,,
2000-06,1.20B,,1.20B,1.364B,,1.364B,437.00M,,,,1.481B,4.482B,16.28B,1.903B,18.18B,-952.00M,17.23B,,,802.00M,,,276.00M,6.232B,24.54B,29.02B,,398.00M,,398.00M,1.636B,2.034B,,2.192B,2.192B,,,,4.226B,15.06B,15.06B,2.619B,2.619B,,1.72B,,,17.68B,23.31B,,5.00M,1.406B,3.781B,,,,-1.202B,3.99B,,,
2000-03,822.00M,,822.00M,1.563B,,1.563B,316.00M,,,,653.00M,3.354B,13.07B,1.504B,14.58B,-845.00M,13.73B,,,817.00M,,,234.00M,5.265B,20.05B,23.40B,,388.00M,,388.00M,1.051B,1.439B,,1.102B,1.102B,,,,2.541B,13.93B,13.93B,1.894B,1.894B,,1.215B,,,15.82B,19.33B,,2.00M,1.294B,2.625B,,,,-1.065B,2.856B,,,
1999-12,669.00M,,669.00M,936.00M,,936.00M,307.00M,,,,675.00M,2.587B,12.77B,1.442B,14.21B,-763.00M,13.45B,,,795.00M,,,236.00M,3.815B,18.29B,20.88B,,381.00M,,381.00M,973.00M,1.354B,,1.216B,1.216B,,,,2.57B,10.82B,10.82B,1.787B,1.787B,,1.148B,,,12.60B,17.10B,,4.00M,1.12B,2.617B,,,,-1.102B,2.637B,,,
1999-09,702.00M,,702.00M,679.00M,,679.00M,146.00M,,,,339.00M,1.866B,6.147B,1.252B,7.399B,-718.00M,6.681B,,,167.00M,,,151.00M,3.241B,10.24B,12.11B,,261.00M,,261.00M,649.00M,910.00M,,968.00M,968.00M,,,,1.878B,6.837B,6.837B,116.00M,116.00M,,1.514B,,,6.953B,9.09B,,2.00M,1.008B,1.806B,,,,-1.314B,1.502B,,,
1999-06,391.00M,,391.00M,447.00M,,447.00M,123.00M,,,,310.00M,1.271B,5.958B,974.00M,6.932B,-626.00M,6.306B,,,67.00M,,,189.00M,3.404B,9.966B,11.24B,,237.00M,,237.00M,377.00M,614.00M,,676.00M,676.00M,,,,1.29B,6.66B,6.66B,239.00M,239.00M,,1.323B,,,6.899B,8.40B,,2.00M,950.00M,1.757B,,,,-1.195B,1.514B,,,
1999-03,437.00M,,437.00M,442.00M,,442.00M,116.00M,,,,289.00M,1.284B,5.502B,764.00M,6.266B,-578.00M,5.688B,,,66.00M,,,159.00M,2.968B,8.881B,10.16B,,249.00M,,249.00M,347.00M,596.00M,,1.514B,1.514B,,,,2.11B,5.286B,5.286B,247.00M,247.00M,,1.308B,,,5.533B,7.811B,,2.00M,879.00M,1.25B,,,,-1.085B,1.046B,,,
1998-12,491.00M,,491.00M,383.00M,,383.00M,119.00M,,,,261.00M,1.254B,5.436B,593.00M,6.029B,-525.00M,5.504B,,,,,,167.00M,3.856B,9.527B,10.78B,,215.00M,,215.00M,348.00M,563.00M,,1.413B,1.413B,,,,1.976B,5.241B,5.241B,268.00M,268.00M,,1.282B,,,5.509B,7.705B,,2.00M,892.00M,1.243B,,,,-343.00M,1.794B,,,
1998-09,383.00M,,383.00M,386.00M,,386.00M,127.00M,,,,334.00M,1.23B,5.459B,530.00M,5.989B,-477.00M,5.512B,,,29.00M,,,147.00M,3.469B,9.157B,10.39B,,192.00M,,192.00M,360.00M,552.00M,,1.314B,1.314B,,,,1.866B,5.057B,5.057B,318.00M,318.00M,,1.201B,,,5.375B,7.474B,,2.00M,798.00M,1.225B,1.00M,-312.00M,,-312.00M,1.712B,,,
1998-06,367.00M,,367.00M,401.00M,,401.00M,121.00M,,,,285.00M,1.174B,5.365B,642.00M,6.007B,-445.00M,5.562B,,,26.00M,,,148.00M,3.554B,9.29B,10.46B,,207.00M,,207.00M,456.00M,663.00M,,773.00M,773.00M,,,,1.436B,5.854B,5.854B,302.00M,302.00M,,1.196B,,,6.156B,7.736B,,2.00M,717.00M,1.04B,1.00M,-226.00M,,-226.00M,1.532B,,,
1998-03,317.00M,,317.00M,381.00M,,381.00M,95.00M,,,,267.00M,1.06B,4.157B,549.00M,4.706B,-410.00M,4.296B,,,22.00M,,,120.00M,3.497B,7.935B,8.995B,,187.00M,,187.00M,364.00M,551.00M,,200.00M,200.00M,,,,751.00M,4.909B,4.909B,351.00M,351.00M,,1.203B,,,5.26B,6.279B,,2.00M,646.00M,1.037B,1.00M,-171.00M,,-171.00M,1.513B,,,
1997-12,302.00M,,302.00M,346.00M,,346.00M,95.00M,,,,447.00M,1.19B,3.838B,684.00M,4.522B,-373.00M,4.149B,,,,,,122.00M,3.448B,7.719B,8.909B,,205.00M,,205.00M,403.00M,608.00M,,596.00M,596.00M,,,,1.204B,4.585B,4.585B,273.00M,273.00M,,1.075B,,,4.858B,6.353B,,2.00M,581.00M,1.03B,1.00M,-131.00M,,-131.00M,1.481B,,,
1997-09,358.00M,,358.00M,219.00M,,219.00M,69.00M,,,,153.00M,799.00M,2.596B,800.00M,3.396B,-336.00M,3.06B,,,26.00M,,,89.00M,2.594B,5.769B,6.568B,,74.00M,,74.00M,222.00M,296.00M,,533.00M,533.00M,,,,829.00M,3.387B,3.387B,231.00M,231.00M,,629.00M,,,3.618B,4.495B,,2.00M,525.00M,1.018B,1.00M,-100.00M,,-100.00M,1.444B,,,
1997-06,323.00M,,323.00M,208.00M,,208.00M,71.00M,,,,133.00M,735.00M,2.706B,776.00M,3.482B,-318.00M,3.164B,,,56.00M,,,77.00M,2.30B,5.597B,6.332B,,75.00M,,75.00M,235.00M,310.00M,,697.00M,697.00M,,,,1.007B,3.366B,3.366B,221.00M,221.00M,,623.00M,,,3.587B,4.636B,,1.00M,478.00M,668.00M,1.00M,-73.00M,,-73.00M,1.073B,,,
1997-03,423.00M,,423.00M,98.00M,,98.00M,71.00M,,,,138.00M,730.00M,1.933B,666.00M,2.599B,-295.00M,2.304B,,,52.00M,,,59.00M,933.00M,3.348B,4.078B,,61.00M,,61.00M,105.00M,166.00M,,110.00M,110.00M,,,,276.00M,2.166B,2.166B,228.00M,228.00M,,461.00M,,,2.394B,2.726B,,1.00M,436.00M,509.00M,3.00M,-52.00M,,-52.00M,891.00M,,,
1996-12,185.00M,,185.00M,104.00M,,104.00M,81.00M,,,,132.00M,502.00M,1.928B,574.00M,2.502B,-282.00M,2.22B,,,,,,47.00M,853.00M,3.12B,3.622B,,64.00M,,64.00M,120.00M,184.00M,,198.00M,198.00M,,,,382.00M,2.008B,2.008B,243.00M,243.00M,,213.00M,,,2.251B,2.688B,,1.00M,396.00M,360.00M,3.00M,-33.00M,,-33.00M,721.00M,,,
1996-09,243.00M,,243.00M,92.00M,,92.00M,73.00M,,,,52.00M,460.00M,1.933B,430.00M,2.363B,-262.00M,2.101B,,,,,,41.00M,817.00M,2.959B,3.419B,,36.00M,,36.00M,124.00M,160.00M,,332.00M,332.00M,,,,492.00M,1.751B,1.751B,175.00M,175.00M,,190.00M,,,1.926B,2.54B,,1.00M,360.00M,344.00M,3.00M,-13.00M,,-13.00M,689.00M,,,
1996-06,220.00M,,220.00M,74.00M,,74.00M,40.00M,,,,77.00M,411.00M,1.689B,322.00M,2.011B,-249.00M,1.762B,,,,,,40.00M,728.00M,2.53B,2.941B,,35.00M,,35.00M,57.00M,92.00M,,173.00M,173.00M,,,,265.00M,1.71B,1.71B,167.00M,167.00M,,180.00M,,,1.877B,2.151B,,1.00M,328.00M,294.00M,3.00M,-10.00M,,-10.00M,610.00M,,,
1996-03,185.00M,,185.00M,104.00M,,104.00M,81.00M,,,,132.00M,502.00M,1.928B,574.00M,2.502B,-282.00M,2.22B,,,,,,47.00M,853.00M,3.12B,3.622B,,64.00M,,64.00M,120.00M,184.00M,,198.00M,198.00M,,,,382.00M,2.008B,2.008B,243.00M,243.00M,,213.00M,,,2.251B,2.688B,,1.00M,396.00M,360.00M,3.00M,-33.00M,,-33.00M,721.00M,,,
1995-12,239.00M,,239.00M,65.00M,,65.00M,36.00M,,,,106.00M,446.00M,1.614B,158.00M,1.772B,-222.00M,1.55B,,,,,,32.00M,313.00M,1.895B,2.341B,,33.00M,,33.00M,61.00M,94.00M,,134.00M,134.00M,,,,228.00M,1.223B,1.223B,170.00M,170.00M,,158.00M,,,1.393B,1.634B,,1.00M,271.00M,293.00M,6.00M,-10.00M,,-10.00M,549.00M,,,
1995-09,248.30M,,248.30M,65.00M,,65.00M,43.10M,,,,84.80M,441.20M,1.562B,147.60M,1.709B,-212.50M,1.497B,,,,,,32.20M,255.20M,1.784B,2.226B,,35.40M,,35.40M,64.30M,99.70M,,110.10M,110.10M,,,,209.80M,1.165B,1.165B,138.70M,138.70M,,218.80M,,,1.304B,1.521B,,0.70M,242.90M,245.30M,,-3.00M,-0.20M,-3.20M,485.70M,,,
1995-06,242.90M,,242.90M,58.80M,,58.80M,44.50M,,,,83.10M,429.30M,1.569B,57.90M,1.627B,-199.60M,1.428B,,,,,,31.90M,253.80M,1.713B,2.143B,,37.60M,,37.60M,76.40M,114.00M,,73.00M,73.00M,,,,187.00M,1.136B,1.136B,134.60M,134.60M,,222.10M,,,1.270B,1.462B,,0.70M,215.60M,244.50M,,-2.10M,-0.40M,-2.50M,458.30M,,,
1995-03,231.50M,,231.50M,52.20M,,52.20M,25.40M,,,,97.50M,406.60M,1.411B,18.70M,1.43B,-172.70M,1.257B,,,,,,31.90M,276.60M,1.566B,1.972B,,12.60M,,12.60M,32.90M,45.50M,,63.10M,63.10M,,,,108.60M,1.127B,1.127B,114.60M,114.60M,,188.60M,,,1.241B,1.355B,,0.70M,189.10M,241.10M,,-1.70M,-0.40M,-2.10M,428.80M,,,
1994-12,255.20M,,255.20M,43.60M,,43.60M,23.10M,,,,113.80M,435.70M,1.336B,8.90M,1.345B,-161.90M,1.183B,,,,,,32.90M,263.30M,1.479B,1.915B,,12.30M,,12.30M,34.40M,46.70M,,60.80M,60.80M,,,,107.50M,1.144B,1.144B,73.30M,73.30M,,184.00M,,,1.217B,1.33B,,0.70M,164.30M,240.40M,,-3.50M,-0.90M,-4.40M,401.00M,,,
1994-09,334.60M,,334.60M,42.60M,,42.60M,23.90M,,,,44.80M,445.90M,1.329B,1.40M,1.330B,-151.60M,1.179B,,,,,,33.50M,241.30M,1.454B,1.900B,,14.20M,,14.20M,40.00M,54.20M,,60.20M,60.20M,,,,114.40M,1.167B,1.167B,59.70M,59.70M,,176.40M,,,1.226B,1.344B,,0.80M,131.20M,249.00M,,-2.30M,,-2.30M,378.70M,,,
1994-06,299.40M,,299.40M,40.00M,,40.00M,21.90M,,,,47.20M,408.50M,1.332B,1.10M,1.333B,-141.80M,1.191B,,,,,,29.90M,239.90M,1.461B,1.870B,,15.30M,,15.30M,35.70M,51.00M,,78.60M,78.60M,,,,129.60M,1.160B,1.160B,48.90M,48.90M,,176.10M,,,1.209B,1.342B,,0.80M,105.60M,248.60M,,-3.70M,,-3.70M,351.30M,,,
1994-03,292.70M,,292.70M,30.90M,,30.90M,23.00M,,,,49.80M,396.40M,1.330B,0.90M,1.331B,-131.90M,1.199B,,,,,,30.70M,232.40M,1.462B,1.858B,,14.70M,,14.70M,31.80M,46.50M,,77.60M,77.60M,,,0.10M,124.20M,1.191B,1.191B,41.30M,41.30M,,161.20M,,,1.233B,1.361B,,0.70M,80.00M,259.60M,,-4.30M,,-4.30M,336.00M,,,
