,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,283.00M,283.00M,6.895B,,6.895B,953.00M,578.00M,1.978B,,3.509B,1.766B,12.46B,,,,,,,,6.093B,19.51B,6.424B,25.94B,1.29B,3.622B,36.94B,49.41B,,4.41B,,,4.41B,,4.41B,1.583B,1.583B,1.317B,1.317B,3.007B,11.30B,10.37B,10.37B,,,777.00M,1.036B,231.00M,4.915B,16.30B,27.60B,,9.00M,6.075B,16.50B,1.004B,,-808.00M,20.77B,,AOR,Restated
2018-03,268.00M,268.00M,6.679B,,6.679B,991.00M,575.00M,1.999B,,3.565B,1.737B,12.27B,,,,,,,,6.235B,19.81B,6.625B,26.43B,1.294B,3.721B,37.68B,49.95B,,4.25B,,,4.25B,,4.25B,1.136B,1.136B,1.543B,1.543B,3.197B,10.99B,10.96B,10.96B,,,864.00M,1.006B,235.00M,5.019B,17.08B,28.07B,,9.00M,5.594B,16.47B,946.00M,,-254.00M,20.87B,,AOR,Restated
2017-12,552.00M,552.00M,6.731B,,6.731B,1.006B,543.00M,1.91B,,3.459B,1.647B,12.43B,,,,,,,,6.105B,19.72B,6.657B,26.37B,1.219B,3.64B,37.34B,49.77B,,4.02B,,,4.02B,,4.02B,1.605B,1.605B,1.368B,1.368B,3.37B,11.25B,10.90B,10.90B,,,896.00M,965.00M,226.00M,5.004B,17.02B,28.27B,,9.00M,5.398B,16.43B,885.00M,,-414.00M,20.54B,,AOR,Restated
2017-09,321.00M,321.00M,6.666B,,6.666B,919.00M,567.00M,1.723B,,3.209B,1.907B,12.29B,0.00,373.00M,2.445B,6.143B,1.252B,10.21B,-4.092B,6.121B,19.69B,6.741B,26.43B,1.191B,5.851B,39.59B,51.88B,,4.271B,,,4.271B,,4.271B,1.608B,1.608B,1.279B,1.279B,3.625B,11.85B,11.96B,11.96B,,,947.00M,920.00M,211.00M,5.368B,18.66B,30.52B,,9.00M,5.231B,16.39B,710.00M,,-473.00M,20.45B,,AOR,Restated
2017-06,458.00M,458.00M,6.443B,,6.443B,800.00M,683.00M,1.901B,,3.384B,1.595B,13.96B,,,,,,,,5.87B,19.62B,6.727B,26.35B,1.159B,3.349B,36.72B,50.69B,,3.764B,,,3.764B,,3.764B,2.499B,2.499B,,,4.248B,11.52B,11.77B,11.77B,,,1.33B,884.00M,189.00M,5.265B,18.56B,30.07B,,9.00M,4.589B,16.34B,481.00M,,-729.00M,19.73B,,AOR,Restated
2017-03,412.00M,412.00M,6.094B,,6.094B,877.00M,509.00M,1.752B,,3.138B,1.548B,13.23B,,,,,,,,5.601B,19.64B,6.687B,26.33B,1.099B,3.347B,36.38B,49.61B,,3.72B,,,3.72B,,3.72B,1.666B,1.666B,,,4.274B,10.74B,11.81B,11.81B,,,1.048B,813.00M,168.00M,5.638B,18.66B,29.41B,,9.00M,4.268B,16.27B,172.00M,,-987.00M,19.39B,,AOR,Restated
2016-12,377.00M,377.00M,6.057B,,6.057B,872.00M,521.00M,1.55B,,2.943B,1.416B,10.97B,,,,,,,,5.556B,20.77B,7.29B,28.06B,1.03B,3.174B,37.82B,48.79B,,3.453B,,,3.453B,,3.453B,2.899B,2.899B,,,3.943B,11.46B,10.35B,10.35B,,,1.094B,819.00M,159.00M,5.329B,16.93B,28.39B,,9.00M,4.669B,16.18B,45.00M,,-1.233B,19.58B,,AOR,Restated
2016-09,579.00M,579.00M,6.394B,,6.394B,852.00M,503.00M,1.533B,,2.888B,1.436B,17.11B,0.00,367.00M,2.107B,5.585B,990.00M,9.049B,-3.417B,5.632B,21.02B,7.54B,28.56B,990.00M,10.88B,46.07B,63.18B,,4.00B,,,4.00B,,4.00B,1.706B,1.706B,1.228B,1.228B,8.064B,16.33B,11.05B,11.05B,,,1.55B,972.00M,234.00M,5.033B,21.76B,38.09B,,9.00M,9.177B,16.10B,20.00M,,-1.153B,24.12B,,AOR,Restated
2016-06,467.00M,467.00M,6.17B,,6.17B,1.212B,460.00M,1.30B,,2.972B,2.221B,11.85B,,,,,,,,6.374B,7.093B,1.568B,8.661B,2.665B,2.332B,20.03B,31.88B,,5.455B,,,5.455B,,5.455B,2.859B,2.859B,,,3.479B,12.89B,5.139B,5.139B,,,727.00M,924.00M,251.00M,2.353B,8.47B,21.36B,,718.00M,10.58B,3.119B,3.639B,,-1.174B,9.599B,,AOR,Restated
2016-03,358.00M,358.00M,5.987B,,5.987B,1.241B,439.00M,1.242B,,2.922B,1.774B,11.06B,,,,,,,,6.397B,7.042B,1.576B,8.618B,2.736B,2.39B,20.14B,31.20B,,5.36B,,,5.36B,,5.36B,1.883B,1.883B,,,3.602B,11.79B,5.143B,5.143B,,,781.00M,898.00M,237.00M,2.364B,8.525B,20.32B,,718.00M,10.38B,3.088B,3.163B,,-1.039B,9.984B,,AOR,Restated
2015-12,414.00M,414.00M,5.745B,,5.745B,1.204B,414.00M,1.151B,,2.769B,1.993B,10.92B,,,,,,,,6.256B,6.918B,1.583B,8.501B,2.607B,2.734B,20.10B,31.02B,,4.936B,,,4.936B,,4.936B,1.853B,1.853B,,,3.516B,11.30B,5.301B,5.301B,,,782.00M,931.00M,216.00M,1.982B,8.281B,19.58B,,717.00M,11.10B,3.07B,3.163B,,-1.218B,10.51B,,AOR,Restated
2015-09,597.00M,597.00M,5.751B,,5.751B,1.084B,369.00M,924.00M,,2.377B,1.689B,10.47B,0.00,338.00M,3.091B,8.566B,1.006B,13.00B,-7.131B,5.87B,6.824B,1.516B,8.34B,2.143B,2.80B,19.15B,29.62B,,5.174B,,,5.174B,,5.174B,865.00M,865.00M,,,3.317B,10.45B,5.745B,5.745B,,,767.00M,163.00M,212.00M,1.954B,8.678B,19.12B,,7.00M,10.80B,3.74B,3.152B,,-1.057B,10.34B,,AOR,Restated
2015-06,213.00M,213.00M,5.597B,,5.597B,1.053B,428.00M,1.008B,,2.489B,2.553B,12.94B,,,,,,,,5.922B,6.85B,1.545B,8.395B,1.339B,3.37B,19.03B,31.97B,,4.791B,,,4.791B,,4.791B,1.801B,1.801B,,,4.572B,12.13B,5.734B,5.734B,,,776.00M,185.00M,220.00M,2.265B,8.995B,21.13B,,716.00M,10.66B,3.006B,2.788B,,-935.00M,10.66B,,AOR,Restated
2015-03,164.00M,164.00M,5.384B,,5.384B,1.062B,391.00M,961.00M,,2.414B,2.262B,12.19B,,,,,,,,5.87B,6.788B,1.558B,8.346B,1.239B,3.402B,18.86B,31.05B,,4.64B,,,4.64B,,4.64B,2.136B,2.136B,,,4.381B,11.97B,5.448B,5.448B,,,785.00M,199.00M,202.00M,1.861B,8.296B,20.27B,,713.00M,10.65B,2.895B,2.598B,,-1.076B,10.58B,,AOR,Restated
2014-12,168.00M,168.00M,5.36B,,5.36B,1.096B,382.00M,961.00M,,2.439B,2.302B,12.38B,,,,,,,,6.114B,7.01B,1.60B,8.61B,1.117B,3.485B,19.33B,31.71B,,4.584B,,,4.584B,,4.584B,1.214B,1.214B,,,4.725B,11.39B,6.322B,6.322B,,,833.00M,263.00M,209.00M,1.87B,9.234B,20.62B,,711.00M,10.29B,2.809B,2.387B,,-601.00M,10.82B,,AOR,Restated
2014-09,409.00M,409.00M,5.871B,,5.871B,1.129B,398.00M,950.00M,,2.477B,2.193B,13.11B,0.00,370.00M,3.254B,7.944B,1.151B,12.72B,-6.405B,6.314B,7.127B,1.639B,8.766B,1.018B,3.599B,19.70B,32.80B,,5.27B,,,5.27B,,5.27B,323.00M,323.00M,,,4.977B,11.69B,6.357B,6.357B,,,865.00M,251.00M,194.00M,2.132B,9.548B,21.24B,,707.00M,9.956B,2.669B,1.784B,,-237.00M,11.31B,,AOR,Restated
2014-06,160.00M,160.00M,6.71B,,6.71B,1.109B,441.00M,1.041B,,2.591B,2.411B,13.45B,,,,,,,,6.26B,7.658B,1.669B,9.327B,966.00M,3.074B,19.63B,33.07B,,5.567B,,,5.567B,,5.567B,1.071B,1.071B,,,4.371B,12.14B,6.416B,6.416B,,,717.00M,280.00M,184.00M,1.519B,8.836B,20.98B,,706.00M,9.793B,2.644B,1.734B,,406.00M,11.82B,,AOR,Restated
2014-03,209.00M,209.00M,7.028B,,7.028B,1.17B,402.00M,944.00M,,2.516B,2.49B,13.06B,,,,,,,,6.632B,6.722B,1.056B,7.778B,1.11B,2.638B,18.16B,31.22B,,6.042B,,,6.042B,,6.042B,1.518B,1.518B,,,3.596B,12.15B,4.733B,4.733B,,,726.00M,273.00M,183.00M,1.464B,7.106B,19.26B,,704.00M,9.764B,2.565B,1.734B,,387.00M,11.69B,,AOR,Restated
2013-12,245.00M,245.00M,6.743B,,6.743B,1.112B,402.00M,938.00M,,2.452B,2.509B,12.73B,,,,,,,,6.665B,6.717B,1.07B,7.787B,1.043B,2.611B,18.11B,30.83B,,5.592B,,,5.592B,,5.592B,1.804B,1.804B,,,3.39B,11.80B,4.866B,4.866B,,,736.00M,261.00M,169.00M,1.466B,7.237B,19.04B,,703.00M,9.649B,2.431B,1.652B,,400.00M,11.53B,,AOR,Restated
2013-09,1.055B,1.055B,7.206B,,7.206B,1.086B,459.00M,780.00M,,2.325B,2.308B,13.70B,0.00,374.00M,3.046B,8.189B,1.441B,13.05B,-6.465B,6.585B,6.589B,999.00M,7.588B,1.024B,2.623B,17.82B,31.52B,,6.318B,,,6.318B,,6.318B,938.00M,938.00M,,,3.646B,12.12B,4.56B,4.56B,,,750.00M,260.00M,157.00M,1.36B,6.827B,18.94B,,700.00M,9.328B,2.399B,531.00M,,418.00M,12.31B,,AOR,Restated
2013-06,391.00M,391.00M,7.259B,,7.259B,1.083B,500.00M,871.00M,,2.354B,2.665B,12.67B,,,,,,,,6.569B,7.135B,1.055B,8.19B,1.022B,3.30B,19.08B,31.75B,,6.217B,,,6.217B,,6.217B,1.431B,1.431B,,,3.03B,11.78B,4.593B,4.593B,,,1.205B,243.00M,205.00M,1.602B,7.605B,19.39B,,697.00M,9.289B,2.294B,406.00M,,244.00M,12.12B,,AOR,Restated
2013-03,481.00M,481.00M,7.317B,,7.317B,1.112B,463.00M,837.00M,,2.298B,2.73B,12.83B,,,,,,,,6.525B,7.097B,1.126B,8.223B,1.059B,3.224B,19.03B,31.86B,,6.146B,,,6.146B,,6.146B,2.08B,2.08B,,,2.896B,12.10B,4.59B,4.59B,,,1.211B,234.00M,205.00M,1.718B,7.724B,19.82B,,693.00M,8.846B,2.181B,230.00M,,308.00M,11.80B,,AOR,Restated
2012-12,314.00M,314.00M,7.09B,,7.09B,1.121B,434.00M,819.00M,,2.26B,3.164B,12.83B,,,,,,,,6.553B,7.016B,1.031B,8.047B,1.015B,2.789B,18.40B,31.23B,,5.88B,,,5.88B,,5.88B,1.035B,1.035B,,,2.922B,10.77B,5.413B,5.413B,,,1.235B,155.00M,270.00M,1.533B,8.451B,19.22B,,684.00M,8.767B,2.092B,180.00M,,495.00M,11.86B,,AOR,Restated
2012-09,265.00M,265.00M,7.308B,,7.308B,1.144B,397.00M,802.00M,,2.343B,2.827B,12.74B,0.00,375.00M,2.716B,7.827B,1.722B,12.64B,-6.20B,6.44B,6.982B,947.00M,7.929B,948.00M,2.894B,18.21B,30.95B,,6.114B,,,6.114B,,6.114B,747.00M,747.00M,,,2.904B,10.86B,5.321B,5.321B,,,1.248B,148.00M,253.00M,1.504B,8.326B,19.18B,,688.00M,8.611B,2.047B,179.00M,,458.00M,11.62B,,AOR,Restated
2012-06,602.00M,602.00M,7.155B,,7.155B,1.146B,454.00M,883.00M,,2.362B,2.447B,12.57B,,,,,,,,6.116B,6.953B,949.00M,7.902B,1.007B,3.411B,18.44B,31.00B,,6.062B,,,6.062B,,6.062B,1.035B,1.035B,,,2.714B,10.81B,5.624B,5.624B,,,744.00M,361.00M,,1.866B,8.234B,19.04B,,,,,,,,11.60B,,AOR,Restated
2012-03,240.00M,240.00M,7.402B,,7.402B,1.175B,457.00M,863.00M,,2.374B,2.346B,12.36B,,,,,,,,6.086B,7.04B,966.00M,8.006B,961.00M,3.558B,18.61B,30.97B,,6.313B,,,6.313B,,6.313B,678.00M,678.00M,,,2.608B,10.56B,5.645B,5.645B,,,782.00M,468.00M,,1.928B,8.355B,18.91B,,,,,,,,11.60B,,AOR,Restated
2011-12,241.00M,241.00M,6.888B,,6.888B,1.115B,403.00M,886.00M,,2.283B,2.425B,11.84B,,,,,,,,5.743B,6.955B,941.00M,7.896B,896.00M,3.311B,17.85B,29.68B,,5.905B,,,5.905B,,5.905B,457.00M,457.00M,,,2.787B,10.10B,5.526B,5.526B,,,788.00M,423.00M,,1.706B,8.02B,18.12B,,,,,,,,11.14B,,AOR,Restated
2011-09,257.00M,257.00M,7.151B,,7.151B,1.136B,434.00M,867.00M,,2.316B,2.291B,12.02B,0.00,360.00M,2.488B,7.205B,1.419B,11.47B,-5.856B,5.616B,7.016B,945.00M,7.961B,811.00M,3.273B,17.66B,29.68B,,6.159B,,,6.159B,,6.159B,613.00M,613.00M,,,2.695B,10.78B,4.533B,4.533B,,,1.102B,138.00M,260.00M,1.819B,7.714B,18.50B,,9.00M,7.838B,2.62B,74.00M,,649.00M,11.04B,,AOR,Restated
2011-06,335.00M,335.00M,7.094B,,7.094B,1.144B,428.00M,1.013B,,2.451B,2.678B,12.56B,,,,,,,,5.185B,7.093B,822.00M,7.915B,952.00M,3.259B,17.31B,29.87B,,6.104B,,,6.104B,,6.104B,657.00M,657.00M,,,3.064B,11.15B,4.519B,4.519B,,,228.00M,347.00M,,2.26B,7.007B,18.16B,,,,,,,,11.36B,,AOR,Restated
2011-03,401.00M,401.00M,6.946B,,6.946B,1.10B,332.00M,941.00M,,2.239B,2.62B,12.21B,,,,,,,,4.761B,6.807B,832.00M,7.639B,864.00M,3.198B,16.46B,28.67B,,6.082B,,,6.082B,,6.082B,159.00M,159.00M,,,2.861B,10.17B,4.382B,4.382B,,,234.00M,353.00M,,2.551B,7.167B,17.34B,,,,,,,,10.98B,,AOR,Restated
2010-12,321.00M,321.00M,6.142B,,6.142B,985.00M,274.00M,814.00M,,1.939B,2.313B,10.72B,,,,,,,,4.215B,6.523B,751.00M,7.274B,766.00M,3.023B,15.28B,25.99B,,5.34B,,,5.34B,,5.34B,850.00M,850.00M,,,2.643B,9.789B,2.684B,2.684B,,,234.00M,321.00M,,2.534B,5.452B,15.24B,,,,,,,,10.43B,,AOR,Restated
2010-09,560.00M,560.00M,6.095B,,6.095B,899.00M,278.00M,743.00M,,1.786B,2.211B,10.65B,0.00,366.00M,2.161B,6.342B,752.00M,9.621B,-5.525B,4.096B,6.501B,741.00M,7.242B,728.00M,3.025B,15.09B,25.74B,,5.426B,,,5.426B,,5.426B,737.00M,737.00M,,,2.625B,9.91B,2.652B,2.652B,,,235.00M,302.00M,,2.573B,5.46B,15.37B,,9.00M,7.765B,2.448B,74.00M,,-77.00M,10.07B,,AOR,Restated
2010-03,770.00M,770.00M,5.431B,,5.431B,741.00M,247.00M,681.00M,,1.579B,2.124B,9.904B,,,,,,,,3.779B,6.377B,709.00M,7.086B,770.00M,2.27B,13.90B,23.81B,,4.822B,,,4.822B,,4.822B,743.00M,743.00M,,,2.314B,8.815B,2.636B,2.636B,,,208.00M,219.00M,,2.524B,5.368B,14.18B,,,,,,,,9.407B,,AOR,Restated
2009-12,791.00M,791.00M,5.154B,,5.154B,749.00M,223.00M,689.00M,,1.571B,2.16B,9.676B,,,,,,,,3.918B,6.506B,735.00M,7.241B,760.00M,2.21B,14.13B,23.80B,,4.504B,,,4.504B,,4.504B,367.00M,367.00M,,,2.663B,8.387B,3.077B,3.077B,,,209.00M,203.00M,,2.576B,5.862B,14.25B,,,,,,,,9.353B,,AOR,Restated
2009-09,761.00M,761.00M,5.528B,,5.528B,712.00M,225.00M,674.00M,,1.521B,2.016B,9.826B,0.00,374.00M,2.231B,6.411B,423.00M,9.439B,-5.453B,3.986B,6.542B,746.00M,7.288B,718.00M,2.27B,14.26B,24.09B,,4.434B,,,4.434B,,4.434B,798.00M,798.00M,,,2.612B,8.716B,3.168B,3.168B,,,255.00M,239.00M,,2.61B,6.033B,14.75B,,9.00M,6.615B,2.354B,70.00M,,192.00M,9.10B,,AOR,Restated
2009-06,543.00M,543.00M,4.91B,,4.91B,720.00M,225.00M,728.00M,,1.561B,1.725B,8.739B,,,,,,,,3.969B,6.42B,745.00M,7.165B,713.00M,1.88B,13.73B,22.47B,,3.741B,0.00,,3.741B,,3.741B,777.00M,777.00M,,,2.533B,7.943B,4.001B,4.001B,,,217.00M,202.00M,,1.876B,6.094B,14.04B,,,,,,,,8.227B,,AOR,Restated
2009-03,311.00M,311.00M,4.745B,,4.745B,731.00M,228.00M,801.00M,,1.648B,1.748B,8.452B,,,,,,,,3.949B,6.32B,749.00M,7.069B,668.00M,1.586B,13.27B,21.72B,,3.54B,0.00,,3.54B,,3.54B,797.00M,797.00M,,,2.52B,7.687B,3.994B,3.994B,,,222.00M,199.00M,,1.722B,5.938B,13.62B,,,,,,,,7.90B,,AOR,Restated
2008-12,202.00M,202.00M,5.063B,,5.063B,,,,,1.935B,1.517B,8.717B,,,,,,9.459B,-5.344B,4.115B,6.392B,757.00M,7.149B,,2.323B,13.59B,22.30B,,3.779B,,,3.779B,863.00M,4.642B,1.437B,1.437B,,,2.462B,8.541B,3.176B,3.176B,,,,229.00M,,2.045B,5.221B,13.76B,,,,,,,8.313B,8.313B,,,Restated
2008-09,384.00M,384.00M,6.472B,,6.472B,893.00M,311.00M,979.00M,,2.099B,1.721B,10.68B,0.00,340.00M,2.243B,6.555B,595.00M,9.733B,-5.344B,4.389B,6.513B,769.00M,7.282B,863.00M,1.777B,14.31B,24.99B,,5.225B,,,5.225B,,5.225B,743.00M,743.00M,,,2.818B,9.81B,3.201B,3.201B,,,236.00M,236.00M,,2.08B,5.517B,15.33B,,8.00M,7.30B,1.547B,102.00M,,671.00M,9.424B,,AOR,Restated
2008-06,256.00M,256.00M,6.647B,,6.647B,929.00M,359.00M,1.066B,-62.00M,2.292B,1.898B,11.09B,,,,,,9.22B,-4.835B,4.385B,6.425B,779.00M,7.204B,,2.561B,14.15B,25.24B,,5.179B,,,5.179B,1.243B,6.422B,882.00M,882.00M,,,2.432B,9.736B,3.247B,3.247B,,,,156.00M,,2.108B,5.355B,15.09B,,,,,,,9.996B,9.996B,,,Restated
2008-03,233.00M,233.00M,6.451B,,6.451B,923.00M,359.00M,989.00M,,2.209B,1.716B,10.61B,,,,,,9.159B,-4.835B,4.324B,6.401B,793.00M,7.194B,,2.492B,14.01B,24.62B,,5.238B,,,5.238B,1.004B,6.242B,1.017B,1.017B,,,2.254B,9.513B,3.301B,3.301B,,,,150.00M,,2.06B,5.361B,14.87B,,,,,,,9.595B,9.595B,,,Restated
2007-12,407.00M,407.00M,6.18B,,6.18B,878.00M,323.00M,931.00M,-62.00M,2.07B,1.572B,10.23B,,,,,,9.049B,-4.835B,4.214B,6.251B,775.00M,7.026B,,2.334B,13.57B,23.80B,,4.933B,,,4.933B,961.00M,5.894B,1.075B,1.075B,,,2.283B,9.252B,3.249B,3.249B,,,,133.00M,,2.099B,5.348B,14.60B,,,,,,,9.07B,9.07B,,,
2007-09,674.00M,674.00M,6.60B,,6.60B,774.00M,329.00M,930.00M,,1.968B,1.63B,10.87B,0.00,322.00M,2.159B,6.026B,536.00M,9.043B,-4.835B,4.208B,6.131B,773.00M,6.904B,795.00M,1.326B,13.23B,24.10B,,5.365B,97.00M,,5.462B,,5.462B,1.163B,1.163B,,,2.317B,9.92B,3.255B,3.255B,,,256.00M,128.00M,,1.639B,5.15B,15.07B,,8.00M,6.698B,1.452B,33.00M,,782.00M,8.907B,,AOR,Restated
2007-06,189.00M,189.00M,6.352B,,6.352B,751.00M,317.00M,952.00M,,1.968B,1.638B,10.15B,,,,,,8.568B,-4.497B,4.071B,6.065B,787.00M,6.852B,,2.209B,13.13B,23.28B,,4.76B,,,4.76B,1.03B,5.79B,1.36B,1.36B,,,2.231B,9.381B,3.257B,3.257B,,,,132.00M,,2.20B,5.457B,14.84B,,,,,,,8.309B,8.309B,,,
2007-03,172.00M,172.00M,5.933B,,5.933B,730.00M,284.00M,885.00M,,1.847B,1.491B,9.443B,,,,,,8.553B,-4.497B,4.056B,6.019B,783.00M,6.802B,,2.186B,13.04B,22.49B,,4.555B,,,4.555B,945.00M,5.50B,1.057B,1.057B,,,2.22B,8.777B,3.564B,3.564B,,,,142.00M,,2.189B,5.753B,14.53B,,,,,,,7.815B,7.815B,,,
