,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.92B,1.92B,1.301B,619.00M,375.00M,,,0.00,41.00M,,-41.00M,,375.00M,244.00M,,41.00M,-41.00M,-3.00M,-41.00M,200.00M,39.00M,161.00M,,,-12.00M,149.00M,148.20M,241.00M,,241.00M,0.48,,,,0.4774,0.48,0.47,,,,0.4674,0.47,310.00M,313.00M,0.105
2017-12,225.00M,225.00M,13.00M,212.00M,121.00M,,0.00,-64.00M,40.00M,,-40.00M,,121.00M,91.00M,,40.00M,-40.00M,-69.00M,-40.00M,-18.00M,-3.00M,-15.00M,,,-12.00M,80.00M,27.17M,22.00M,,22.00M,0.2803,,,,0.4545,0.2803,0.27,,,,0.442,0.27,311.00M,315.00M,0.105
2017-09,1.945B,1.945B,1.288B,657.00M,348.00M,,2.00M,0.00,43.00M,,-43.00M,,348.00M,309.00M,,43.00M,-43.00M,-2.00M,-43.00M,264.00M,100.00M,164.00M,,,-12.00M,152.00M,149.52M,307.00M,,307.00M,0.48,,,,0.4721,0.48,0.48,,,,0.4722,0.48,313.00M,316.00M,0.1
2017-06,2.066B,2.066B,1.32B,746.00M,374.00M,,,49.00M,153.00M,,-153.00M,,374.00M,372.00M,,153.00M,-153.00M,43.00M,-153.00M,262.00M,86.00M,176.00M,,,-13.00M,163.00M,129.50M,415.00M,,415.00M,0.51,,,,0.4037,0.51,0.51,,,,0.405,0.51,315.00M,319.00M,0.1
2017-03,1.778B,1.778B,1.173B,605.00M,348.00M,,,,43.00M,,-43.00M,,348.00M,257.00M,,43.00M,-43.00M,-4.00M,-43.00M,210.00M,62.00M,148.00M,,,-10.00M,138.00M,135.90M,253.00M,,253.00M,0.43,,,,0.4234,0.43,0.43,,,,0.4235,0.43,317.00M,321.00M,0.1
2016-12,1.763B,1.763B,1.184B,579.00M,330.00M,,0.00,0.00,43.00M,,-43.00M,,330.00M,249.00M,,43.00M,-43.00M,-31.00M,-43.00M,175.00M,67.00M,108.00M,,,-8.00M,100.00M,97.53M,218.00M,,218.00M,0.3082,0.0,,,0.3005,0.3082,0.3,0.0,,,0.2924,0.3,320.00M,324.00M,0.1
2016-09,1.877B,1.877B,1.263B,614.00M,345.00M,,0.00,0.00,43.00M,,-43.00M,,345.00M,269.00M,,43.00M,-43.00M,1.00M,-43.00M,227.00M,81.00M,146.00M,,,-12.00M,134.00M,134.64M,270.00M,,270.00M,0.41,,,,0.412,0.41,0.4,,,,0.4019,0.4,326.00M,329.00M,0.0
2016-06,2.001B,2.001B,1.301B,700.00M,365.00M,,,0.00,87.00M,,-87.00M,,365.00M,335.00M,,87.00M,-87.00M,5.00M,-87.00M,253.00M,90.00M,163.00M,,,-13.00M,150.00M,146.80M,340.00M,,340.00M,0.45,,,,0.4402,0.45,0.45,,,,0.4403,0.45,328.00M,331.00M,0.095
2016-03,1.72B,1.72B,1.151B,569.00M,335.00M,,,,56.00M,,-56.00M,,335.00M,234.00M,,56.00M,-56.00M,-1.00M,-56.00M,177.00M,58.00M,119.00M,,,-10.00M,109.00M,108.33M,233.00M,,233.00M,0.33,,,,0.328,0.33,0.32,,,,0.318,0.32,330.00M,333.00M,0.095
2015-12,1.715B,1.715B,1.183B,532.00M,320.00M,,,,54.00M,,-54.00M,,320.00M,212.00M,,54.00M,-54.00M,-1.00M,-54.00M,160.00M,74.00M,86.00M,-1.00M,,-10.00M,75.00M,76.60M,214.00M,,214.00M,0.23,-0.003,,,0.2318,0.2269,0.22,-0.003,,,0.2218,0.22,332.00M,332.00M,0.095
2015-09,1.839B,1.839B,1.25B,589.00M,331.00M,,,,54.00M,,-54.00M,,331.00M,258.00M,,54.00M,-54.00M,-6.00M,-54.00M,198.00M,77.00M,121.00M,,,-10.00M,111.00M,114.66M,252.00M,,252.00M,0.33,0.0,,,0.3409,0.33,0.32,0.0,,,0.3308,0.32,335.00M,338.00M,0.185
2015-06,1.929B,1.929B,1.292B,637.00M,358.00M,,,,61.00M,,-61.00M,,358.00M,279.00M,,61.00M,-61.00M,3.00M,-61.00M,221.00M,102.00M,119.00M,-4.00M,,-10.00M,105.00M,108.40M,282.00M,,282.00M,0.32,-0.01,,,0.3182,0.3,0.31,-0.01,,,0.3083,0.3,340.00M,344.00M,0.09
2015-03,1.659B,1.659B,1.164B,495.00M,330.00M,,,,56.00M,,-56.00M,,330.00M,165.00M,,56.00M,-56.00M,1.00M,-56.00M,110.00M,40.00M,70.00M,3.00M,,-9.00M,64.00M,60.36M,166.00M,,166.00M,0.17,0.01,,,0.1681,0.18,0.17,0.01,,,0.1682,0.18,344.00M,347.00M,0.09
2014-12,1.666B,1.666B,1.185B,481.00M,323.00M,,,,56.00M,,-56.00M,,323.00M,158.00M,,56.00M,-56.00M,9.00M,-56.00M,111.00M,16.00M,95.00M,14.00M,,-9.00M,100.00M,85.14M,167.00M,,167.00M,0.2986,-0.0087,,,0.2961,0.2899,0.29,-0.01,,,0.2875,0.28,346.00M,349.00M,0.09
2014-09,1.834B,1.834B,1.312B,522.00M,341.00M,,,,57.00M,,-57.00M,,341.00M,181.00M,,57.00M,-57.00M,7.00M,-57.00M,131.00M,-415.00M,546.00M,10.00M,,-13.00M,543.00M,529.10M,188.00M,,188.00M,1.49,0.03,,,1.479,1.52,1.48,0.03,,,1.469,1.51,350.00M,353.00M,0.09
2014-06,1.876B,1.876B,1.301B,575.00M,354.00M,,,,56.00M,,-56.00M,,354.00M,221.00M,,56.00M,-56.00M,6.00M,-56.00M,171.00M,34.00M,137.00M,15.00M,,-13.00M,139.00M,120.00M,227.00M,,227.00M,0.35,0.04,,,0.3385,0.39,0.35,0.04,,,0.3386,0.39,349.00M,352.00M,0.075
2014-03,1.965B,1.965B,1.418B,547.00M,395.00M,,,,56.00M,,-56.00M,,395.00M,152.00M,,56.00M,-56.00M,-3.00M,-56.00M,93.00M,5.00M,88.00M,-2.00M,,-12.00M,74.00M,77.90M,149.00M,,149.00M,0.21,-0.01,,,0.2154,0.21,0.21,-0.01,,,0.2154,0.21,351.00M,354.00M,0.075
2013-12,586.00M,586.00M,351.00M,235.00M,155.00M,,,,57.00M,,-57.00M,,155.00M,80.00M,,57.00M,-57.00M,-14.00M,-57.00M,9.00M,-5.00M,14.00M,45.00M,,-11.00M,48.00M,12.75M,66.00M,,66.00M,0.1116,0.0172,,,0.1392,0.1288,0.11,0.0172,,,0.1376,0.12,353.00M,353.00M,0.075
2013-09,2.15B,2.15B,1.543B,607.00M,395.00M,,,,58.00M,,-58.00M,,395.00M,212.00M,,58.00M,-58.00M,6.00M,-58.00M,160.00M,38.00M,122.00M,-2.00M,,-11.00M,109.00M,106.44M,218.00M,,218.00M,0.31,-0.01,,,0.2969,0.31,0.31,-0.01,,,0.297,0.3,349.00M,352.00M,0.0
2013-06,2.149B,2.149B,1.54B,609.00M,421.00M,,,,60.00M,,-60.00M,,421.00M,188.00M,,60.00M,-60.00M,4.00M,-60.00M,132.00M,39.00M,93.00M,-5.00M,,-10.00M,78.00M,78.80M,192.00M,,192.00M,0.23,-0.01,,,0.218,0.22,0.23,-0.01,,,0.2181,0.22,349.00M,352.00M,0.075
2013-03,1.876B,1.876B,1.368B,508.00M,376.00M,,,,60.00M,,-60.00M,,376.00M,132.00M,,60.00M,-60.00M,13.00M,-60.00M,85.00M,14.00M,71.00M,-9.00M,,-9.00M,53.00M,52.76M,145.00M,,145.00M,0.17,-0.03,,,0.1436,0.15,0.17,-0.03,,,0.1438,0.15,350.00M,352.00M,0.075
2012-12,1.831B,1.831B,1.38B,451.00M,375.00M,,,-43.00M,60.00M,,-59.00M,,375.00M,76.00M,,60.00M,-59.00M,-43.00M,-59.00M,-26.00M,37.00M,-63.00M,-17.00M,,-7.00M,-87.00M,-42.70M,34.00M,,34.00M,-0.2264,-0.0229,,,-0.1481,-0.2493,-0.23,-0.0229,,,-0.1518,-0.25,349.00M,349.00M,0.075
2012-09,1.913B,1.913B,1.413B,500.00M,391.00M,,0.00,-1.00M,62.00M,,-62.00M,,391.00M,109.00M,,62.00M,-62.00M,4.00M,-62.00M,51.00M,16.00M,35.00M,-11.00M,,-9.00M,15.00M,24.63M,113.00M,,113.00M,0.07,-0.03,,,0.0661,0.04,0.07,-0.03,,,0.0661,0.04,349.00M,350.00M,0.075
2012-06,1.945B,1.945B,1.424B,521.00M,392.00M,,2.00M,-77.00M,68.00M,,-68.00M,,392.00M,129.00M,,68.00M,-68.00M,-73.00M,-68.00M,-12.00M,31.00M,-43.00M,-24.00M,,-8.00M,-75.00M,-3.55M,56.00M,,56.00M,-0.15,-0.07,,,-0.014,-0.22,-0.15,-0.07,,,-0.014,-0.22,349.00M,349.00M,0.075
2012-03,1.806B,1.806B,1.322B,484.00M,377.00M,,,2.00M,64.00M,,-64.00M,,377.00M,107.00M,,64.00M,-64.00M,17.00M,-64.00M,60.00M,7.00M,53.00M,-9.00M,,-11.00M,33.00M,24.33M,124.00M,,124.00M,0.12,-0.03,,,0.0694,0.09,0.12,-0.03,,,0.0695,0.09,349.00M,350.00M,0.075
2011-12,1.441B,1.441B,1.106B,335.00M,333.00M,,,-527.00M,64.00M,0.00,-64.00M,,333.00M,2.00M,0.00,64.00M,-64.00M,-451.00M,-64.00M,-513.00M,-95.00M,-418.00M,-150.00M,,-5.00M,-573.00M,6.407M,-449.00M,,-449.00M,-1.22,-0.43,,,0.0139,-1.65,-1.22,-0.43,,,0.0139,-1.65,348.00M,348.00M,0.075
2011-09,1.978B,1.978B,1.483B,495.00M,380.00M,,,20.00M,63.00M,1.00M,-62.00M,,380.00M,115.00M,1.00M,63.00M,-62.00M,20.00M,-62.00M,73.00M,4.00M,69.00M,-20.00M,,-13.00M,36.00M,37.10M,136.00M,,136.00M,0.16,-0.06,,,0.1057,0.1,0.16,-0.06,,,0.1057,0.1,348.00M,348.00M,0.075
2011-06,1.998B,1.998B,1.466B,532.00M,431.00M,,,27.00M,64.00M,,-64.00M,,431.00M,101.00M,,64.00M,-64.00M,27.00M,-64.00M,64.00M,38.00M,26.00M,-6.00M,,-12.00M,8.00M,-3.55M,128.00M,,128.00M,0.04,-0.02,,,-0.0104,0.02,0.04,-0.02,,,-0.0103,0.02,348.00M,349.00M,0.075
2011-03,1.753B,1.753B,1.328B,425.00M,399.00M,,,21.00M,63.00M,,-63.00M,,399.00M,26.00M,,63.00M,-63.00M,21.00M,-63.00M,-16.00M,13.00M,-29.00M,-5.00M,,-12.00M,-46.00M,-54.65M,47.00M,,47.00M,-0.12,-0.01,,,-0.1591,-0.13,-0.12,-0.01,,,-0.1591,-0.13,349.00M,349.00M,0.075
2010-12,1.629B,1.629B,1.328B,301.00M,365.00M,,,-697.00M,63.00M,,-62.00M,,365.00M,-64.00M,,63.00M,-62.00M,-691.00M,-62.00M,-817.00M,187.00M,-1.004B,,,-9.00M,-1.034B,-559.95M,-754.00M,,-754.00M,-2.91,-0.06,,,-1.6119999999999999,-2.97,-2.91,-0.06,,,-1.6119999999999999,-2.97,349.00M,349.00M,0.075
2010-09,1.957B,1.957B,1.463B,494.00M,392.00M,,,-1.00M,63.00M,,-63.00M,,392.00M,102.00M,,63.00M,-63.00M,-1.00M,-63.00M,38.00M,31.00M,7.00M,,,-12.00M,-5.00M,-4.35M,101.00M,,101.00M,-0.02,0.0,,,-0.0181,-0.02,-0.02,0.0,,,-0.0181,-0.02,349.00M,349.00M,0.075
2010-06,2.048B,2.048B,1.502B,546.00M,427.00M,,,-36.00M,67.00M,,-67.00M,,427.00M,119.00M,,67.00M,-67.00M,-36.00M,-67.00M,16.00M,4.00M,12.00M,,,-9.00M,3.00M,30.00M,83.00M,,83.00M,0.01,0.0,,,0.0876,0.01,0.01,0.0,,,0.0874,0.01,348.00M,349.00M,0.075
2010-03,1.852B,1.852B,1.36B,492.00M,414.00M,,,2.00M,58.00M,,-58.00M,,414.00M,78.00M,,58.00M,-58.00M,2.00M,-58.00M,22.00M,18.00M,4.00M,,,-11.00M,-7.00M,-8.30M,80.00M,,80.00M,-0.02,0.0,,,-0.0237,-0.02,-0.02,0.0,,,-0.0237,-0.02,350.00M,350.00M,0.075
2009-12,1.898B,1.898B,1.403B,495.00M,430.00M,,,-254.00M,56.00M,,-57.00M,,430.00M,65.00M,,56.00M,-57.00M,-254.00M,-57.00M,-246.00M,-84.00M,-162.00M,-12.00M,,-11.00M,-185.00M,-5.732M,-190.00M,,-190.00M,-0.5,-0.03,,,-0.0235,-0.53,-0.5,-0.03,,,-0.0235,-0.53,351.00M,351.00M,0.075
2009-09,2.084B,2.084B,1.517B,567.00M,429.00M,,,6.00M,56.00M,1.00M,-55.00M,,429.00M,138.00M,1.00M,56.00M,-55.00M,6.00M,-55.00M,89.00M,26.00M,63.00M,-23.00M,,-12.00M,28.00M,46.75M,145.00M,,145.00M,0.14,-0.06,,,0.1279,0.08,0.14,-0.06,,,0.1279,0.08,350.00M,351.00M,0.075
2009-06,2.013B,2.013B,1.47B,543.00M,427.00M,,,8.00M,57.00M,,-57.00M,,427.00M,116.00M,,57.00M,-57.00M,8.00M,-57.00M,67.00M,-8.00M,75.00M,-12.00M,,-8.00M,55.00M,61.80M,124.00M,,124.00M,0.19,-0.03,,,0.1751,0.15,0.19,-0.03,,,0.1751,0.15,350.00M,350.00M,0.075
2009-03,1.797B,1.797B,1.384B,413.00M,415.00M,,,-3.00M,56.00M,,-56.00M,,415.00M,-2.00M,,56.00M,-56.00M,-3.00M,-56.00M,-61.00M,17.00M,-85.00M,4.00M,,-7.00M,-81.00M,-90.05M,-5.00M,,-5.00M,-0.24,0.01,,0.0199,-0.2344,-0.23,-0.24,0.01,,0.0199,-0.2344,-0.23,351.00M,351.00M,0.075
2008-12,1.924B,1.924B,1.533B,391.00M,404.00M,,,-498.00M,56.00M,,-56.00M,,404.00M,-13.00M,,56.00M,-56.00M,-498.00M,-56.00M,-567.00M,-73.00M,-494.00M,-10.00M,,-4.00M,-508.00M,-64.12M,-511.00M,,-511.00M,-1.42,-0.03,,,-0.1803,-1.44,-1.42,-0.03,,,-0.1803,-1.44,350.00M,350.00M,0.47
2008-09,2.511B,2.511B,1.863B,648.00M,454.00M,,,3.00M,59.00M,,-59.00M,,454.00M,194.00M,,59.00M,-59.00M,3.00M,-59.00M,138.00M,92.00M,46.00M,-2.00M,,-11.00M,33.00M,33.05M,197.00M,,197.00M,0.09,-0.01,,,0.0845,0.09,0.09,-0.01,,,0.0845,0.09,352.00M,352.00M,0.23
2008-06,2.643B,2.643B,1.943B,700.00M,485.00M,,,1.00M,57.00M,,-57.00M,,485.00M,215.00M,,57.00M,-57.00M,1.00M,-57.00M,159.00M,75.00M,84.00M,10.00M,,-12.00M,82.00M,71.35M,216.00M,,216.00M,0.2,0.03,,,0.1982,0.23,0.2,0.03,,,0.1982,0.23,354.00M,354.00M,0.23
2008-03,2.45B,2.45B,1.82B,630.00M,476.00M,,,-28.00M,56.00M,,-56.00M,,476.00M,154.00M,,56.00M,-56.00M,-28.00M,-56.00M,70.00M,40.00M,30.00M,-16.00M,,-12.00M,2.00M,36.20M,126.00M,,126.00M,0.04,-0.04,,,0.0911,0.0,0.04,-0.04,,,0.0911,0.0,356.00M,356.00M,0.0
2007-12,2.46B,2.46B,1.829B,631.00M,454.00M,,,-206.00M,,,,,454.00M,177.00M,,,,-206.00M,,0.00,33.00M,-43.00M,,,-10.00M,-151.00M,18.00M,128.00M,,128.00M,-0.1,-0.29,,,0.4766,-0.39,-0.11,-0.29,,,0.4537,-0.4,357.25M,365.43M,0.23
2007-09,3.059B,3.059B,2.197B,862.00M,488.00M,,,20.00M,,,,,488.00M,374.00M,,,,20.00M,,329.00M,109.00M,209.00M,-4.00M,,-11.00M,205.00M,195.63M,374.00M,,374.00M,0.57,-0.01,,,0.5335,0.56,0.57,-0.01,,,0.5335,0.56,366.07M,366.07M,0.23
2007-06,3.089B,3.089B,2.198B,891.00M,530.00M,,,5.00M,,,,,530.00M,361.00M,,,,5.00M,,297.00M,108.00M,182.00M,7.00M,,-7.00M,189.00M,178.82M,361.00M,,361.00M,0.49,0.02,,,0.4814,0.51,0.49,0.02,,,0.4814,0.51,370.59M,370.59M,0.23
2007-03,2.803B,2.803B,2.067B,736.00M,484.00M,,,42.00M,,,,,484.00M,252.00M,,,,42.00M,,231.00M,85.00M,137.00M,6.00M,,-9.00M,143.00M,110.45M,252.00M,,252.00M,0.36,0.02,,,0.2913,0.37,0.35,0.02,,,0.2813,0.37,386.49M,386.49M,0.23
2006-12,2.712B,2.712B,2.035B,677.00M,449.00M,,,-288.00M,,,,307.00M,756.00M,-79.00M,,,,-288.00M,,-131.00M,52.00M,-189.00M,2.00M,0.00,-6.00M,-187.00M,-16.20M,-79.00M,,-79.00M,-0.47,0.0,0.0,,-0.021,-0.47,-0.47,0.0,-0.0001,,-0.0321,-0.47,384.82M,394.64M,0.22
2006-09,3.279B,3.279B,2.36B,919.00M,520.00M,,,10.00M,,,,,520.00M,399.00M,,,,10.00M,,356.00M,124.00M,225.00M,27.00M,,-7.00M,252.00M,218.48M,399.00M,,399.00M,0.58,0.07,,,0.5632,0.65,0.57,0.07,,,0.5534,0.64,387.69M,393.75M,0.22
2006-06,3.354B,3.354B,2.378B,976.00M,525.00M,,,-56.00M,,,,10.00M,535.00M,441.00M,,,,-56.00M,,342.00M,119.00M,215.00M,4.00M,,-8.00M,219.00M,251.51M,441.00M,,441.00M,0.54,0.01,,,0.6317,0.55,0.53,0.01,,,0.62,0.54,398.18M,405.56M,0.22
2006-03,3.167B,3.167B,2.293B,874.00M,519.00M,,,34.00M,,,,,519.00M,355.00M,,,,34.00M,,325.00M,112.00M,207.00M,,-3.00M,-6.00M,204.00M,184.72M,355.00M,,355.00M,0.51,0.0,0.0,,0.4554,0.5,0.5,0.0,-0.0074,,0.4454,0.5,408.00M,408.00M,0.22
2005-12,3.059B,3.059B,2.214B,845.00M,461.00M,,,105.00M,,,,43.00M,504.00M,341.00M,,,,105.00M,,298.00M,129.00M,163.00M,10.00M,,-6.00M,173.00M,100.00M,341.00M,,341.00M,0.4,0.02,,,0.2462,0.43,0.4,0.02,,,0.25,0.42,409.67M,420.00M,0.2
2005-09,3.278B,3.278B,2.338B,940.00M,486.00M,,,-35.00M,,,,-1.00M,485.00M,455.00M,,,,-35.00M,,396.00M,136.00M,254.00M,8.00M,,-6.00M,262.00M,276.98M,455.00M,,455.00M,0.6,0.02,,,0.6544,0.62,0.59,0.02,,,0.6435,0.61,422.58M,429.51M,0.2
2005-06,3.286B,3.286B,2.318B,968.00M,508.00M,,,20.00M,,,,-3.00M,505.00M,463.00M,,,,20.00M,,422.00M,150.00M,267.00M,7.00M,,-5.00M,274.00M,254.11M,463.00M,,463.00M,0.63,0.01,,,0.5994,0.65,0.62,0.01,,,0.5899,0.64,421.54M,428.12M,0.2
2005-03,2.969B,2.969B,2.128B,841.00M,500.00M,,,39.00M,,,,-2.00M,498.00M,343.00M,,,,39.00M,,321.00M,104.00M,212.00M,19.00M,,-5.00M,231.00M,185.64M,343.00M,,343.00M,0.48,0.06,,,0.4195,0.53,0.47,0.06,,,0.4107,0.52,435.85M,444.23M,0.2
2004-12,2.743B,2.743B,1.919B,824.00M,483.00M,,,-69.00M,,,,112.00M,595.00M,229.00M,,,,-69.00M,,222.00M,97.00M,120.00M,-15.00M,,-5.00M,105.00M,161.40M,229.00M,,229.00M,0.28,-0.03,,,0.3748,0.25,0.26,-0.03,,,0.3505,0.23,436.82M,457.53M,0.18
2004-09,3.173B,3.173B,2.182B,991.00M,502.00M,,,21.00M,,,,-2.00M,500.00M,491.00M,,,,21.00M,,460.00M,167.00M,289.00M,70.00M,,-4.00M,359.00M,275.62M,491.00M,,491.00M,0.66,0.16,,,0.6294,0.82,0.64,0.16,,,0.6102,0.8,437.80M,448.75M,0.18
2004-06,3.061B,3.061B,2.087B,974.00M,504.00M,,,46.00M,,,,-7.00M,497.00M,477.00M,,,,46.00M,,466.00M,167.00M,294.00M,-33.00M,,-5.00M,261.00M,264.48M,477.00M,,477.00M,0.66,-0.08,,,0.5933,0.59,0.65,-0.08,,,0.5844,0.58,442.37M,450.00M,0.16
2004-03,2.806B,2.806B,1.955B,851.00M,485.00M,,,73.00M,,,,-21.00M,464.00M,387.00M,,,,73.00M,,386.00M,140.00M,241.00M,-73.00M,,-5.00M,168.00M,194.48M,387.00M,,387.00M,0.53,-0.16,,,0.4275,0.37,0.52,-0.16,,,0.4203,0.36,454.05M,466.67M,0.16
2003-12,2.573B,2.573B,1.778B,795.00M,442.00M,,,-48.00M,,,,52.00M,494.00M,301.00M,,,,-48.00M,,246.00M,108.00M,133.00M,-41.00M,,-5.00M,92.00M,161.80M,301.00M,,301.00M,0.37,-0.0824,,,0.4326,0.21,0.37,-0.0843,,,0.4317,0.21,460.40M,466.44M,0.32
2003-09,2.823B,2.823B,1.949B,874.00M,459.00M,,,65.00M,,,,-58.00M,401.00M,473.00M,,,,65.00M,,413.00M,153.00M,258.00M,61.00M,,-2.00M,319.00M,217.08M,473.00M,,473.00M,0.54,0.13,,,0.4541,0.67,0.53,0.13,,,0.4466,0.65,476.12M,490.77M,0.14
2003-06,2.628B,2.628B,1.821B,807.00M,433.00M,,,31.00M,,,,,433.00M,374.00M,,,,31.00M,,341.00M,119.00M,220.00M,9.00M,,-2.00M,229.00M,199.82M,374.00M,,374.00M,0.46,0.02,,,0.4177,0.48,0.44,0.02,,,0.3995,0.46,477.08M,497.83M,0.14
2003-03,2.498B,2.498B,1.745B,753.76M,452.38M,,,26.07M,,,,-13.52M,438.86M,314.90M,,,,26.07M,,259.85M,90.40M,165.80M,,,-3.65M,165.80M,148.80M,314.90M,,314.90M,0.34,0.0,,,0.3051,0.34,0.32,0.0,,,0.2872,0.32,487.65M,518.12M,0.14
