,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,3.781B,3.781B,2.181B,1.60B,906.00M,112.00M,87.00M,36.00M,0.00,26.00M,5.00M,-21.00M,,1.141B,459.00M,5.00M,26.00M,-21.00M,-17.00M,-21.00M,421.00M,87.00M,334.00M,6.00M,,-6.00M,334.00M,328.00M,570.00M,123.00M,447.00M,1.32,0.02,,1.32,1.34,1.31,0.02,,1.31,1.33,249.80M,251.40M,0.45
2017-12,3.682B,3.682B,2.119B,1.563B,908.00M,116.00M,86.00M,34.00M,-38.00M,27.00M,7.00M,-20.00M,,1.144B,419.00M,7.00M,27.00M,-20.00M,-22.00M,-20.00M,377.00M,224.00M,153.00M,3.00M,,-5.00M,151.00M,170.80M,524.00M,120.00M,404.00M,0.59,0.01,,0.6806,0.6,0.58,0.01,,0.6691,0.59,251.67M,255.93M,0.45
2017-09,3.776B,3.776B,2.104B,1.672B,894.00M,114.00M,85.00M,32.00M,0.00,27.00M,5.00M,-22.00M,,1.125B,547.00M,5.00M,27.00M,-22.00M,-2.00M,-22.00M,523.00M,124.00M,399.00M,217.00M,,-6.00M,610.00M,393.00M,667.00M,117.00M,550.00M,1.53,0.85,,1.53,2.38,1.52,0.84,,1.52,2.36,256.40M,258.20M,0.45
2017-06,3.804B,3.804B,2.083B,1.721B,876.00M,112.00M,81.00M,32.00M,,26.00M,4.00M,-22.00M,,1.101B,620.00M,4.00M,26.00M,-22.00M,61.00M,-22.00M,659.00M,157.00M,502.00M,-1.00M,,-5.00M,496.00M,497.00M,798.00M,113.00M,685.00M,1.93,0.0,,1.93,1.93,1.92,0.0,,1.92,1.92,257.10M,259.00M,0.4
2017-03,3.486B,3.486B,1.905B,1.581B,882.00M,110.00M,79.00M,31.00M,-22.00M,25.00M,4.00M,-21.00M,,1.102B,479.00M,4.00M,25.00M,-21.00M,-12.00M,-21.00M,446.00M,110.00M,336.00M,6.00M,,-5.00M,337.00M,347.57M,581.00M,110.00M,471.00M,1.29,0.02,,1.354,1.31,1.28,0.02,,1.344,1.3,257.25M,259.23M,0.4
2016-12,3.417B,3.417B,1.91B,1.507B,868.00M,115.00M,79.00M,30.00M,-191.00M,29.00M,6.00M,-23.00M,,1.092B,415.00M,6.00M,29.00M,-23.00M,-261.00M,-23.00M,131.00M,40.00M,91.00M,253.00M,,-4.00M,340.00M,219.74M,269.00M,109.00M,160.00M,0.34,0.96,,0.8476,1.3,0.33,0.96,,0.8336,1.29,261.54M,263.57M,0.4
2016-09,3.66B,3.66B,1.978B,1.682B,893.00M,115.00M,82.00M,31.00M,-968.00M,34.00M,6.00M,-28.00M,,1.121B,561.00M,6.00M,34.00M,-28.00M,-959.00M,-28.00M,-426.00M,-220.00M,-206.00M,27.00M,,-5.00M,-184.00M,369.80M,-279.00M,113.00M,-392.00M,-0.79,0.1,,1.3880000000000001,-0.69,-0.79,0.1,,1.3880000000000001,-0.69,266.67M,266.67M,0.4
2016-06,3.782B,3.782B,1.988B,1.794B,930.00M,115.00M,79.00M,30.00M,-2.00M,31.00M,7.00M,-24.00M,,1.154B,640.00M,7.00M,31.00M,-24.00M,14.00M,-24.00M,630.00M,285.00M,345.00M,31.00M,,-6.00M,370.00M,340.20M,770.00M,103.00M,661.00M,1.26,0.12,,1.264,1.38,1.25,0.12,,1.254,1.37,268.12M,270.07M,0.4
2016-03,3.411B,3.411B,1.817B,1.594B,897.00M,114.00M,79.00M,30.00M,-3.00M,31.00M,7.00M,-24.00M,,1.12B,474.00M,7.00M,31.00M,-24.00M,-6.00M,-24.00M,444.00M,109.00M,335.00M,19.00M,,-7.00M,347.00M,330.26M,590.00M,115.00M,475.00M,1.23,0.07,,1.238,1.3,1.22,0.07,,1.228,1.29,266.92M,268.99M,0.36
2015-12,3.027B,3.027B,1.577B,1.45B,869.00M,112.00M,61.00M,33.00M,5.00M,31.00M,8.00M,-23.00M,,1.06B,390.00M,8.00M,31.00M,-23.00M,-15.00M,-23.00M,352.00M,80.00M,272.00M,46.00M,,-4.00M,314.00M,264.14M,477.00M,94.00M,383.00M,1.17,0.0,,1.156,1.17,1.16,0.0,,1.146,1.16,269.00M,271.20M,0.36
2015-09,3.725B,3.725B,2.049B,1.676B,875.00M,117.00M,87.00M,33.00M,-3.00M,31.00M,10.00M,-21.00M,,1.112B,564.00M,10.00M,31.00M,-21.00M,11.00M,-21.00M,554.00M,133.00M,421.00M,18.00M,,-6.00M,433.00M,417.28M,705.00M,107.00M,585.00M,1.53,0.07,,1.538,1.6,1.52,0.07,,1.528,1.59,271.10M,273.10M,0.36
2015-06,4.10B,4.10B,2.283B,1.817B,954.00M,123.00M,92.00M,33.00M,-143.00M,34.00M,10.00M,-24.00M,,1.202B,615.00M,10.00M,34.00M,-24.00M,-139.00M,-24.00M,452.00M,110.00M,342.00M,0.00,,-5.00M,337.00M,445.25M,611.00M,125.00M,486.00M,1.24,0.0,,1.6369999999999998,1.24,1.23,0.0,,1.624,1.23,272.50M,274.70M,0.36
2015-03,3.662B,3.662B,2.065B,1.597B,914.00M,119.00M,87.00M,33.00M,-3.00M,29.00M,11.00M,-18.00M,,1.153B,444.00M,11.00M,29.00M,-18.00M,4.00M,-18.00M,430.00M,104.00M,326.00M,1.00M,,-5.00M,322.00M,323.27M,579.00M,120.00M,459.00M,1.17,0.01,,1.178,1.18,1.16,0.01,,1.168,1.17,273.20M,275.60M,0.335
2014-12,3.138B,3.138B,1.722B,1.416B,870.00M,117.00M,64.00M,33.00M,3.00M,45.00M,12.00M,-350.00M,,1.055B,361.00M,12.00M,45.00M,-350.00M,-60.00M,-350.00M,-49.00M,-93.00M,44.00M,45.00M,,-6.00M,83.00M,36.05M,93.00M,97.00M,-4.00M,0.315,-0.01,,0.3079,0.305,0.31,-0.01,,0.303,0.3,274.20M,277.80M,0.335
2014-09,3.935B,3.935B,2.229B,1.706B,941.00M,120.00M,87.00M,32.00M,-3.00M,47.00M,13.00M,-34.00M,,1.18B,526.00M,13.00M,47.00M,-34.00M,7.00M,-34.00M,499.00M,116.00M,383.00M,-6.00M,,-6.00M,371.00M,379.30M,665.00M,119.00M,546.00M,1.36,-0.02,,1.368,1.34,1.35,-0.02,,1.358,1.33,276.40M,279.40M,0.335
2014-06,4.082B,4.082B,2.306B,1.776B,985.00M,126.00M,84.00M,31.00M,-3.00M,48.00M,13.00M,-35.00M,,1.226B,550.00M,13.00M,48.00M,-35.00M,9.00M,-35.00M,524.00M,125.00M,399.00M,-7.00M,,-6.00M,386.00M,395.28M,687.00M,115.00M,572.00M,1.41,-0.02,,1.4180000000000001,1.39,1.4,-0.02,,1.4080000000000001,1.38,277.20M,280.20M,0.335
2014-03,3.636B,3.636B,2.091B,1.545B,900.00M,120.00M,89.00M,30.00M,-3.00M,47.00M,12.00M,-35.00M,,1.139B,406.00M,12.00M,47.00M,-35.00M,1.00M,-35.00M,372.00M,89.00M,283.00M,1.018B,,-39.00M,1.262B,246.28M,538.00M,119.00M,419.00M,0.995,3.54,,1.003,4.535,0.985,3.5,,0.9931,4.485,278.20M,281.40M,0.305
2013-12,3.50B,3.50B,2.028B,1.472B,905.00M,119.00M,88.00M,31.00M,4.00M,48.00M,13.00M,-35.00M,,1.095B,377.00M,13.00M,48.00M,-35.00M,-26.00M,-35.00M,316.00M,71.00M,245.00M,37.00M,,-28.00M,254.00M,213.90M,483.00M,119.00M,364.00M,0.9,0.0,,0.889,0.9,0.89,0.0,,0.8791,0.89,280.80M,284.80M,0.305
2013-09,3.774B,3.774B,2.161B,1.613B,910.00M,117.00M,85.00M,28.00M,-101.00M,48.00M,11.00M,-37.00M,,1.14B,473.00M,11.00M,48.00M,-37.00M,-189.00M,-37.00M,247.00M,40.00M,207.00M,48.00M,,-29.00M,226.00M,262.64M,408.00M,113.00M,295.00M,0.715,0.075,,1.011,0.79,0.705,0.075,,0.9971,0.78,286.40M,289.80M,0.305
2013-06,3.883B,3.883B,2.263B,1.62B,925.00M,118.00M,85.00M,34.00M,-3.00M,47.00M,9.00M,-38.00M,,1.162B,458.00M,9.00M,47.00M,-38.00M,2.00M,-38.00M,422.00M,98.00M,324.00M,47.00M,,-30.00M,341.00M,296.30M,588.00M,119.00M,469.00M,1.11,0.08,,1.1179999999999999,1.19,1.095,0.08,,1.103,1.175,286.80M,290.00M,0.305
2013-03,3.108B,3.108B,1.862B,1.246B,746.00M,109.00M,75.00M,26.00M,-3.00M,53.00M,10.00M,-43.00M,,956.00M,290.00M,10.00M,53.00M,-43.00M,-6.00M,-43.00M,241.00M,44.00M,197.00M,2.248B,,-35.00M,2.41B,164.45M,395.00M,101.00M,294.00M,0.655,7.59,,0.6634,8.245,0.645,7.51,,0.6533,8.155,292.20M,295.40M,0.295
2012-12,2.417B,2.417B,1.604B,813.00M,593.00M,95.00M,59.00M,25.00M,32.00M,55.00M,11.00M,-44.00M,,721.00M,92.00M,11.00M,55.00M,-44.00M,-1.00M,-44.00M,47.00M,-11.00M,58.00M,195.00M,,-26.00M,227.00M,11.20M,186.00M,84.00M,102.00M,0.735,0.32,,0.6675,0.735,0.73,0.32,,0.6633,0.73,308.00M,312.00M,0.295
2012-09,3.408B,3.408B,1.983B,1.425B,779.00M,112.00M,78.00M,27.00M,-3.00M,54.00M,10.00M,-44.00M,,996.00M,429.00M,10.00M,54.00M,-44.00M,17.00M,-44.00M,402.00M,92.00M,310.00M,54.00M,,-25.00M,339.00M,287.31M,561.00M,104.00M,456.00M,0.94,0.165,,0.9475,1.105,0.93,0.16,,0.9374,1.09,307.40M,311.00M,0.295
2012-06,3.528B,3.528B,2.066B,1.462B,792.00M,113.00M,76.00M,26.00M,-3.00M,50.00M,9.00M,-41.00M,,1.007B,455.00M,9.00M,50.00M,-41.00M,12.00M,-41.00M,426.00M,98.00M,328.00M,68.00M,,-34.00M,362.00M,296.31M,579.00M,103.00M,476.00M,0.97,0.215,,0.9775,1.185,0.96,0.21,,0.9675,1.17,306.40M,310.00M,0.295
2012-03,3.333B,3.333B,1.946B,1.387B,823.00M,110.00M,79.00M,29.00M,-211.00M,51.00M,10.00M,-41.00M,,1.041B,346.00M,10.00M,51.00M,-41.00M,-352.00M,-41.00M,-47.00M,-31.00M,-16.00M,67.00M,,-38.00M,13.00M,83.15M,112.00M,108.00M,4.00M,-0.165,0.205,,0.2838,0.04,-0.165,0.2,,0.2789,0.04,305.60M,309.00M,0.285
2011-12,1.785B,1.785B,968.00M,817.00M,690.00M,107.00M,45.00M,28.00M,-79.00M,51.00M,10.00M,-41.00M,,815.00M,2.00M,10.00M,51.00M,-41.00M,-52.00M,-41.00M,-91.00M,-80.00M,-11.00M,,,-23.00M,216.00M,17.35M,33.00M,73.00M,-40.00M,-0.05,0.755,,0.117,0.705,-0.05,0.735,,0.1149,0.695,307.40M,311.40M,0.285
2011-09,3.849B,3.849B,2.353B,1.496B,806.00M,108.00M,86.00M,30.00M,36.00M,51.00M,11.00M,-40.00M,,1.03B,466.00M,11.00M,51.00M,-40.00M,36.00M,-40.00M,462.00M,120.00M,342.00M,,,-31.00M,311.00M,284.36M,629.00M,116.00M,513.00M,0.99,0.0,,0.9051,0.99,0.98,0.0,,0.896,0.98,313.60M,317.20M,0.285
2011-06,3.986B,3.986B,2.417B,1.569B,829.00M,110.00M,88.00M,31.00M,33.00M,55.00M,11.00M,-44.00M,,1.058B,511.00M,11.00M,55.00M,-44.00M,33.00M,-44.00M,500.00M,128.00M,372.00M,,,-32.00M,340.00M,315.45M,674.00M,119.00M,555.00M,1.075,0.0,,0.9974,1.075,1.06,0.0,,0.9834,1.06,316.40M,320.60M,0.285
2011-03,3.533B,3.533B,2.127B,1.406B,797.00M,103.00M,86.00M,31.00M,5.00M,53.00M,10.00M,-43.00M,,1.017B,389.00M,10.00M,53.00M,-43.00M,5.00M,-43.00M,351.00M,92.00M,259.00M,,,-31.00M,228.00M,224.30M,521.00M,117.00M,404.00M,0.71,0.0,,0.6985,0.71,0.7,0.0,,0.6886,0.7,320.80M,325.00M,0.275
2010-12,3.379B,3.379B,2.086B,1.293B,768.00M,104.00M,86.00M,32.00M,-57.00M,52.00M,9.00M,-43.00M,,932.00M,361.00M,9.00M,52.00M,-43.00M,-27.00M,-43.00M,291.00M,63.00M,228.00M,,,-23.00M,205.00M,249.66M,461.00M,118.00M,343.00M,0.63,,,0.7672,0.63,0.62,,,0.7572,0.62,325.40M,325.40M,0.275
2010-09,3.46B,3.46B,2.108B,1.352B,739.00M,97.00M,86.00M,30.00M,23.00M,46.00M,9.00M,-37.00M,,952.00M,400.00M,9.00M,46.00M,-37.00M,23.00M,-37.00M,386.00M,94.00M,292.00M,,,-30.00M,262.00M,244.60M,548.00M,116.00M,432.00M,0.795,0.0,,0.742,0.795,0.79,0.0,,0.7374,0.79,328.40M,330.80M,0.275
2010-06,3.458B,3.458B,2.076B,1.382B,745.00M,97.00M,85.00M,30.00M,33.00M,46.00M,,-46.00M,,957.00M,425.00M,,46.00M,-46.00M,33.00M,-46.00M,412.00M,111.00M,301.00M,,,-29.00M,272.00M,247.89M,573.00M,115.00M,458.00M,0.82,0.0,,0.7471,0.82,0.815,0.0,,0.7426,0.815,330.80M,333.20M,0.27
2010-03,3.126B,3.126B,1.944B,1.182B,727.00M,96.00M,89.00M,32.00M,13.00M,45.00M,,-45.00M,,944.00M,238.00M,,45.00M,-45.00M,13.00M,-45.00M,206.00M,147.00M,59.00M,,,-29.00M,30.00M,21.55M,372.00M,121.00M,251.00M,0.09,0.0,,0.0645,0.09,0.09,0.0,,0.0647,0.09,331.80M,334.00M,0.27
2009-12,3.116B,3.116B,1.934B,1.182B,757.00M,102.00M,90.00M,33.00M,24.00M,49.00M,,-21.00M,3.00M,985.00M,197.00M,,49.00M,-21.00M,24.00M,-21.00M,200.00M,37.00M,163.00M,,,-21.00M,142.00M,122.44M,372.00M,123.00M,249.00M,0.43,0.0,,0.3711,0.43,0.43,0.0,,0.3713,0.43,332.00M,333.40M,0.27
2009-09,3.225B,3.225B,1.989B,1.236B,732.00M,95.00M,88.00M,32.00M,36.00M,47.00M,,-47.00M,3.00M,950.00M,286.00M,,47.00M,-47.00M,36.00M,-47.00M,275.00M,90.00M,185.00M,,,-26.00M,159.00M,134.78M,442.00M,120.00M,322.00M,0.48,0.0,,0.4067,0.48,0.48,0.0,,0.4071,0.48,330.40M,332.00M,0.265
2009-06,3.115B,3.115B,1.898B,1.217B,731.00M,97.00M,88.00M,31.00M,35.00M,49.00M,,-49.00M,3.00M,950.00M,267.00M,,49.00M,-49.00M,35.00M,-49.00M,253.00M,84.00M,169.00M,,,-23.00M,146.00M,122.62M,421.00M,119.00M,302.00M,0.445,0.0,,0.3736,0.445,0.445,0.0,,0.3739,0.445,327.60M,328.80M,0.265
2009-03,2.783B,2.783B,1.718B,1.065B,716.00M,94.00M,88.00M,30.00M,-196.00M,48.00M,,-48.00M,4.00M,932.00M,133.00M,,48.00M,-48.00M,-196.00M,-48.00M,-111.00M,-20.00M,-91.00M,,,-20.00M,-111.00M,49.68M,55.00M,118.00M,-63.00M,-0.34,0.0,,0.1499,-0.34,-0.34,0.0,,0.1487,-0.34,328.00M,328.80M,0.265
2008-12,3.188B,3.188B,2.029B,1.159B,750.00M,107.00M,88.00M,30.00M,-26.00M,61.00M,,-35.00M,-5.00M,970.00M,189.00M,,61.00M,-35.00M,-26.00M,-35.00M,128.00M,46.00M,82.00M,,,-11.00M,71.00M,87.66M,307.00M,118.00M,189.00M,0.215,0.0,,0.2656,0.215,0.215,0.0,,0.2655,0.215,329.20M,330.11M,0.265
2008-09,4.225B,4.225B,2.701B,1.524B,877.00M,114.00M,105.00M,34.00M,-124.00M,62.00M,,-62.00M,5.00M,1.135B,389.00M,,62.00M,-62.00M,-124.00M,-62.00M,203.00M,65.00M,138.00M,,,-21.00M,117.00M,201.30M,404.00M,139.00M,265.00M,0.355,0.0,,0.6109,0.355,0.35,0.0,,0.6045,0.35,329.40M,331.20M,0.26
2008-06,4.474B,4.474B,2.829B,1.645B,936.00M,118.00M,128.00M,37.00M,37.00M,65.00M,,-65.00M,4.00M,1.223B,422.00M,,65.00M,-65.00M,37.00M,-65.00M,394.00M,116.00M,278.00M,,,-28.00M,250.00M,223.89M,624.00M,165.00M,459.00M,0.76,0.0,,0.6807,0.76,0.755,0.0,,0.6762,0.755,329.20M,331.20M,0.26
2008-03,3.962B,3.962B,2.596B,1.366B,871.00M,112.00M,107.00M,34.00M,5.00M,64.00M,,-64.00M,,1.124B,242.00M,,64.00M,-64.00M,5.00M,-64.00M,183.00M,57.00M,126.00M,,,-26.00M,100.00M,96.56M,388.00M,141.00M,247.00M,0.305,0.0,,0.2945,0.305,0.305,0.0,,0.2946,0.305,329.00M,331.20M,0.26
2007-12,3.104B,3.104B,2.017B,1.087B,614.00M,92.00M,82.00M,14.00M,50.00M,,,,,826.00M,261.00M,,,,50.00M,,305.00M,87.00M,201.00M,-1.00M,,-17.00M,200.00M,165.26M,458.00M,96.00M,362.00M,0.61,0.0,,0.5012,0.61,0.605,0.0,,0.4962,0.605,328.40M,328.40M,0.26
2007-09,3.073B,3.073B,1.947B,1.126B,595.00M,86.00M,89.00M,15.00M,17.00M,,,,,785.00M,341.00M,,,,17.00M,,336.00M,105.00M,213.00M,-24.00M,,-18.00M,189.00M,201.31M,445.00M,104.00M,341.00M,0.65,-0.07,,0.6145,0.58,0.645,-0.07,,0.6095,0.575,328.80M,328.80M,0.26
2007-06,3.155B,3.155B,2.001B,1.154B,564.00M,87.00M,88.00M,15.00M,21.00M,,,,,754.00M,400.00M,,,,21.00M,,398.00M,125.00M,249.00M,,,-23.00M,249.00M,234.60M,503.00M,103.00M,400.00M,0.755,0.0,,0.7113,0.755,0.75,0.0,,0.7063,0.75,329.60M,329.60M,0.25
2007-03,2.632B,2.632B,1.677B,955.00M,502.00M,81.00M,78.00M,14.00M,-7.00M,,,,,675.00M,280.00M,,,,-7.00M,,280.00M,57.00M,176.00M,18.00M,,-18.00M,194.00M,181.58M,372.00M,92.00M,280.00M,0.535,0.055,,0.552,0.59,0.53,0.055,,0.5468,0.585,328.81M,331.62M,0.25
2006-12,2.50B,2.50B,1.596B,904.00M,487.00M,84.00M,77.00M,11.00M,0.00,,,,,659.00M,245.00M,,,,0.00,,240.00M,74.00M,150.00M,7.00M,,-16.00M,157.00M,150.00M,333.00M,88.00M,245.00M,0.455,0.02,,0.455,0.475,0.45,0.02,,0.45,0.47,330.66M,333.89M,0.24
2006-09,2.504B,2.802B,1.575B,1.227B,462.00M,76.00M,75.00M,13.00M,-180.00M,,,,,626.00M,601.00M,,,,-180.00M,,101.00M,14.00M,70.00M,20.00M,,-17.00M,90.00M,225.05M,689.00M,88.00M,601.00M,0.21,0.06,,0.6751,0.27,0.21,0.06,,0.6751,0.27,333.33M,333.33M,0.24
2006-06,2.824B,2.824B,1.747B,1.077B,495.00M,78.00M,84.00M,10.00M,16.00M,,,,,667.00M,410.00M,,,,16.00M,,405.00M,107.00M,280.00M,,,-18.00M,280.00M,268.23M,504.00M,94.00M,410.00M,0.845,0.0,,0.8095,0.845,0.84,0.0,,0.8047,0.84,331.36M,333.33M,0.24
2006-03,2.638B,2.638B,1.691B,947.00M,460.00M,75.00M,82.00M,9.00M,-32.00M,,,,,626.00M,321.00M,,,,-32.00M,,269.00M,66.00M,184.00M,,,-19.00M,184.00M,208.15M,412.00M,91.00M,321.00M,0.555,0.0,,0.6278,0.555,0.555,0.0,,0.6278,0.555,331.53M,331.53M,0.235
2005-12,1.332B,1.332B,775.00M,557.00M,280.00M,64.00M,37.00M,8.00M,-42.00M,,,,,389.00M,168.00M,,,,-42.00M,,120.00M,33.00M,75.00M,,,-12.00M,113.00M,105.45M,213.00M,45.00M,168.00M,0.23,0.11,,0.3211,0.34,0.23,0.11,,0.3209,0.34,334.38M,334.87M,0.235
2005-09,2.547B,2.547B,1.614B,933.00M,437.00M,77.00M,84.00M,8.00M,-51.00M,,,,,606.00M,327.00M,,,,-51.00M,,255.00M,77.00M,157.00M,,,-21.00M,157.00M,192.60M,419.00M,92.00M,327.00M,0.465,0.0,,0.5704,0.465,0.46,0.0,,0.5643,0.46,337.63M,341.30M,0.235
2005-06,2.656B,2.656B,1.65B,1.006B,461.00M,76.00M,85.00M,8.00M,4.00M,,,,,630.00M,376.00M,,,,4.00M,,360.00M,111.00M,231.00M,,,-18.00M,231.00M,228.23M,469.00M,93.00M,376.00M,0.675,0.0,,0.6669,0.675,0.67,0.0,,0.662,0.67,342.22M,344.78M,0.235
2005-03,2.493B,2.493B,1.558B,935.00M,450.00M,77.00M,87.00M,8.00M,-147.00M,,,,,622.00M,313.00M,,,,-147.00M,,145.00M,34.00M,95.00M,,,-16.00M,95.00M,207.53M,408.00M,95.00M,313.00M,0.275,0.0,,0.6007,0.275,0.275,0.0,,0.6007,0.275,345.45M,345.45M,0.225
2004-12,2.411B,2.411B,1.526B,885.00M,444.00M,79.00M,89.00M,8.00M,20.00M,,,,,620.00M,265.00M,,,,20.00M,,265.00M,72.00M,183.00M,,,-10.00M,183.00M,168.43M,362.00M,97.00M,265.00M,0.305,0.23,,0.2624,0.535,0.3,0.23,,0.2578,0.53,341.94M,345.23M,0.225
2004-09,2.409B,2.409B,1.516B,893.00M,422.00M,74.00M,88.00M,8.00M,15.00M,,,,,592.00M,301.00M,,,,15.00M,,294.00M,82.00M,194.00M,,,-18.00M,194.00M,183.18M,397.00M,96.00M,301.00M,0.565,0.0,,0.5335,0.565,0.56,0.0,,0.5288,0.56,343.36M,346.43M,0.225
