,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-12,1.143B,1.143B,769.65M,373.44M,146.85M,,,24.25M,-24.25M,,146.85M,226.59M,24.25M,-24.25M,-4.809M,-24.25M,197.52M,-41.01M,238.53M,,,238.53M,238.53M,274.00M,52.22M,221.78M,1.03,,,,1.03,1.03,1.03,,,,1.03,1.03,230.77M,232.54M,0.09
2017-09,1.085B,1.085B,722.13M,362.67M,132.63M,,,24.71M,-24.71M,,132.63M,230.04M,24.71M,-24.71M,-0.902M,-24.71M,204.43M,50.90M,153.53M,,,153.53M,153.53M,273.76M,44.62M,229.14M,0.67,,,,0.67,0.67,0.66,,,,0.66,0.66,230.44M,232.25M,0.09
2017-06,1.065B,1.065B,702.19M,362.41M,132.86M,,,24.55M,-24.55M,,132.86M,229.55M,24.55M,-24.55M,-1.642M,-24.55M,203.36M,52.87M,150.48M,,,150.48M,150.48M,271.75M,43.84M,227.91M,0.65,,,,0.65,0.65,0.65,,,,0.65,0.65,230.16M,231.59M,0.09
2017-03,1.008B,1.008B,667.40M,340.28M,122.83M,,,24.52M,-24.52M,,122.83M,217.45M,24.52M,-24.52M,-1.509M,-24.52M,191.42M,52.50M,138.93M,,,138.93M,138.93M,258.48M,42.54M,215.94M,0.61,,,,0.61,0.61,0.6,,,,0.6,0.6,229.55M,231.00M,0.09
2016-12,972.95M,972.95M,691.36M,281.59M,119.29M,,,23.59M,-23.59M,,119.29M,162.30M,23.59M,-23.59M,6.536M,-23.59M,145.25M,36.14M,109.11M,,,109.11M,109.11M,225.59M,56.75M,168.84M,0.47,,,,0.47,0.47,0.47,,,,0.47,0.47,230.21M,231.19M,0.09
2016-09,945.03M,945.03M,630.74M,314.29M,113.17M,,,23.61M,-23.61M,,113.17M,201.12M,23.61M,-23.61M,-3.259M,-23.61M,174.25M,43.56M,130.69M,,,130.69M,130.69M,239.89M,42.03M,197.86M,0.56,,,,0.56,0.56,0.56,,,,0.56,0.56,231.89M,232.72M,0.09
2016-06,977.71M,977.71M,639.71M,338.00M,118.96M,,,23.71M,-23.71M,,118.96M,219.04M,23.71M,-23.71M,-4.769M,-23.71M,190.56M,52.37M,138.19M,,,138.19M,138.19M,255.12M,40.85M,214.27M,0.59,,,,0.59,0.59,0.59,,,,0.59,0.59,233.28M,234.79M,0.09
2016-03,944.40M,944.40M,623.68M,320.72M,112.19M,,,23.40M,-23.40M,,112.19M,208.52M,23.40M,-23.40M,-2.08M,-23.40M,183.04M,48.87M,134.17M,,,134.17M,134.17M,246.53M,40.09M,206.44M,0.57,,,,0.57,0.57,0.57,,,,0.57,0.57,234.98M,236.22M,0.09
2015-12,987.98M,987.98M,716.31M,271.68M,112.89M,,,22.75M,-22.75M,,62.85M,208.83M,22.75M,-22.75M,-3.243M,-22.75M,182.84M,46.00M,136.84M,,,136.84M,136.84M,245.02M,39.43M,205.59M,0.58,,,,0.58,0.58,0.57,,,,0.57,0.57,237.22M,238.69M,0.09
2015-09,998.53M,998.53M,631.79M,366.74M,112.12M,17.01M,,23.68M,-23.68M,,129.12M,237.62M,23.68M,-23.68M,-2.325M,-23.68M,211.61M,55.21M,156.40M,,,156.40M,156.40M,273.00M,37.71M,235.29M,0.65,,,,0.65,0.65,0.65,,,,0.65,0.65,239.96M,241.24M,0.09
2015-06,1.004B,1.004B,633.92M,369.80M,112.70M,16.78M,,22.68M,-22.68M,,129.48M,240.32M,22.68M,-22.68M,-2.493M,-22.68M,215.15M,59.64M,155.51M,,,155.51M,155.51M,274.88M,37.06M,237.83M,0.64,,,,0.64,0.64,0.64,,,,0.64,0.64,241.50M,243.62M,0.09
2015-03,984.06M,984.06M,635.96M,348.09M,110.88M,16.26M,,22.69M,-22.69M,,127.14M,220.95M,22.69M,-22.69M,-1.48M,-22.69M,196.79M,54.68M,142.11M,,,142.11M,142.11M,254.73M,35.26M,219.47M,0.59,,,,0.59,0.59,0.59,,,,0.59,0.59,240.95M,242.80M,0.09
2014-12,1.024B,1.024B,727.19M,296.96M,117.49M,,,22.57M,-22.57M,,69.87M,227.08M,22.57M,-22.57M,3.016M,-22.57M,207.53M,55.53M,152.00M,,,152.00M,152.00M,265.88M,35.78M,230.10M,0.62,,,,0.62,0.62,0.62,,,,0.62,0.62,243.99M,246.13M,0.09
2014-09,1.032B,1.032B,677.74M,354.07M,119.20M,16.72M,,19.54M,-19.54M,,135.93M,218.14M,19.54M,-19.54M,-8.639M,-19.54M,189.96M,48.15M,141.81M,,,141.81M,141.81M,246.12M,36.62M,209.50M,0.58,,,,0.58,0.58,0.57,,,,0.57,0.57,245.44M,247.64M,0.09
2014-06,990.72M,990.72M,630.64M,360.07M,113.32M,15.03M,,18.98M,-18.98M,,128.34M,231.73M,18.98M,-18.98M,-4.326M,-18.98M,208.42M,58.36M,150.06M,,,150.06M,150.06M,260.33M,32.93M,227.40M,0.61,,,,0.61,0.61,0.61,,,,0.61,0.61,245.20M,247.40M,0.09
2014-03,975.29M,975.29M,625.17M,350.12M,112.62M,15.87M,,18.84M,-18.84M,,128.49M,221.63M,18.84M,-18.84M,-3.877M,-18.84M,198.92M,58.33M,140.59M,,,140.59M,140.59M,251.00M,33.25M,217.75M,0.57,,,,0.57,0.57,0.57,,,,0.57,0.57,244.91M,247.23M,0.06
2013-12,942.47M,942.47M,609.84M,332.62M,106.69M,15.39M,,18.85M,-18.85M,,122.08M,210.54M,18.85M,-18.85M,-5.23M,-18.85M,186.46M,50.80M,135.67M,,,135.67M,135.67M,237.03M,31.72M,205.32M,0.55,,,,0.55,0.55,0.55,,,,0.55,0.55,244.66M,246.82M,0.06
2013-09,890.01M,890.01M,572.12M,317.88M,98.97M,14.23M,,18.24M,-18.24M,,113.20M,204.69M,18.24M,-18.24M,-6.291M,-18.24M,180.15M,52.29M,127.86M,,,127.86M,127.86M,227.94M,29.54M,198.40M,0.52,,,,0.52,0.52,0.52,,,,0.52,0.52,244.05M,245.93M,0.06
2013-06,878.81M,878.81M,567.60M,311.21M,94.91M,13.69M,,18.15M,-18.15M,,108.60M,202.61M,18.15M,-18.15M,-2.667M,-18.15M,181.79M,53.47M,128.32M,,,128.32M,128.32M,228.50M,28.56M,199.95M,0.53,,,,0.53,0.53,0.52,,,,0.52,0.52,243.67M,246.10M,0.06
2013-03,882.85M,882.85M,574.07M,308.78M,97.61M,13.94M,,18.32M,-18.32M,,111.54M,197.24M,18.32M,-18.32M,-2.524M,-18.32M,176.39M,51.24M,125.15M,,,125.15M,125.15M,223.55M,28.84M,194.71M,0.51,,,,0.51,0.51,0.51,,,,0.51,0.51,243.28M,245.41M,0.06
2012-12,841.79M,841.79M,544.64M,297.15M,93.83M,13.36M,,18.83M,-18.83M,,107.19M,189.95M,18.83M,-18.83M,-0.319M,-18.83M,170.80M,50.90M,119.90M,,,119.90M,119.90M,217.26M,27.63M,189.64M,0.49,,,,0.49,0.49,0.49,,,,0.49,0.49,242.56M,245.29M,0.06
2012-09,839.37M,839.37M,541.45M,297.92M,96.02M,13.73M,,18.96M,-18.96M,,109.76M,188.16M,18.96M,-18.96M,-3.518M,-18.96M,165.69M,50.29M,115.40M,,,115.40M,115.40M,211.76M,27.11M,184.65M,0.48,,,,0.48,0.48,0.47,,,,0.47,0.47,242.14M,244.23M,0.06
2012-06,825.90M,825.90M,531.75M,294.14M,95.65M,13.52M,,18.84M,-18.84M,,109.17M,184.98M,18.84M,-18.84M,-1.848M,-18.84M,164.29M,50.60M,113.69M,,,113.69M,113.69M,208.88M,25.75M,183.13M,0.47,,,,0.47,0.47,0.47,,,,0.47,0.47,241.17M,243.12M,0.06
2012-03,827.15M,827.15M,536.28M,290.87M,95.04M,13.06M,,18.84M,-18.84M,,108.09M,182.78M,18.84M,-18.84M,-2.24M,-18.84M,161.70M,51.55M,110.15M,,,110.15M,110.15M,205.52M,24.99M,180.54M,0.46,,,,0.46,0.46,0.45,,,,0.45,0.45,240.19M,243.31M,0.04
2011-12,762.75M,762.75M,489.75M,273.00M,92.12M,13.49M,,17.98M,-17.98M,,105.62M,167.38M,17.98M,-17.98M,-2.417M,-17.98M,146.98M,45.07M,101.91M,,,101.91M,101.91M,188.97M,24.00M,164.96M,0.43,,,,0.43,0.43,0.42,,,,0.42,0.42,239.94M,242.27M,0.04
2011-09,750.55M,750.55M,493.27M,257.28M,86.02M,11.68M,-3.287M,17.26M,-17.26M,,97.69M,159.59M,17.26M,-17.26M,-3.287M,-17.26M,139.04M,41.06M,97.98M,,,97.98M,100.29M,177.57M,21.27M,156.30M,0.41,0.0,,,0.4196,0.41,0.4,0.0,,,0.4095,0.4,241.39M,243.77M,0.04
2011-06,758.83M,758.83M,499.96M,258.88M,89.68M,12.24M,-2.381M,17.34M,-17.34M,,101.92M,156.96M,17.34M,-17.34M,-2.381M,-17.34M,137.24M,43.09M,94.14M,,,94.14M,95.78M,175.98M,21.41M,154.57M,0.39,0.0,,,0.3968,0.39,0.39,0.0,,,0.3967,0.39,240.61M,243.32M,0.04
2011-03,717.78M,717.78M,472.80M,244.98M,81.49M,11.47M,-1.485M,17.15M,-17.15M,,92.96M,152.02M,17.15M,-17.15M,-1.485M,-17.15M,133.38M,42.95M,90.44M,,,90.44M,91.44M,170.39M,19.85M,150.54M,0.38,0.0,,,0.3842,0.38,0.3733,0.0,,,0.3775,0.3733,239.59M,243.28M,0.04
2010-12,677.98M,677.98M,446.59M,231.38M,83.22M,12.64M,,16.98M,-16.98M,,95.86M,135.52M,16.98M,-16.98M,-3.529M,-16.98M,115.01M,33.78M,81.24M,,,81.24M,81.24M,152.78M,20.78M,132.00M,0.3433,,,,0.3433,0.3433,0.34,,,,0.34,0.34,238.73M,242.18M,0.04
2010-09,644.37M,644.37M,429.08M,215.30M,75.87M,10.84M,-2.721M,17.06M,-17.06M,,86.71M,128.59M,17.06M,-17.06M,-2.721M,-17.06M,108.82M,31.46M,77.36M,,,77.36M,79.29M,144.32M,18.45M,125.87M,0.3267,0.0,,,0.3348,0.3267,0.32,0.0,,,0.328,0.32,237.97M,241.08M,0.0267
2010-06,591.94M,591.94M,395.50M,196.44M,69.85M,11.00M,-1.621M,16.73M,-16.73M,,80.85M,115.60M,16.73M,-16.73M,-1.621M,-16.73M,97.24M,29.85M,67.39M,,,67.39M,68.51M,130.85M,16.87M,113.97M,0.2867,0.0,,,0.2914,0.2867,0.28,0.0,,,0.2847,0.28,237.75M,240.00M,0.0267
2010-03,556.66M,556.66M,375.72M,180.94M,67.54M,10.95M,-0.515M,16.75M,-16.75M,,78.49M,102.45M,16.75M,-16.75M,-0.515M,-16.75M,85.18M,27.23M,57.94M,,,57.94M,58.30M,118.72M,16.79M,101.93M,0.24,0.0,,,0.2415,0.24,0.24,0.0,,,0.2414,0.24,239.89M,242.03M,0.0267
2009-12,523.50M,523.50M,359.07M,164.43M,64.74M,10.50M,-0.941M,16.67M,-16.67M,,75.23M,89.19M,16.67M,-16.67M,-0.941M,-16.67M,71.58M,19.69M,51.88M,,,51.88M,52.57M,105.44M,17.18M,88.25M,0.2133,0.0,,,0.2162,0.2133,0.2111,0.0,,,0.2139,0.2111,241.12M,243.84M,0.0267
2009-09,497.06M,497.06M,344.66M,152.40M,63.86M,11.07M,-0.702M,17.38M,-17.38M,,74.93M,77.48M,17.38M,-17.38M,-0.702M,-17.38M,59.39M,16.38M,43.02M,,,43.02M,43.53M,93.41M,16.64M,76.77M,0.1778,0.0,,,0.1799,0.1778,0.1778,0.0,,,0.1799,0.1778,240.44M,242.43M,0.0267
2009-06,524.93M,524.93M,361.58M,163.35M,61.02M,9.154M,-1.001M,17.14M,-17.14M,,70.17M,93.18M,17.14M,-17.14M,-1.001M,-17.14M,75.04M,23.22M,51.81M,,,51.81M,52.50M,107.22M,15.04M,92.18M,0.2178,0.0,,,0.2207,0.2178,0.2133,0.0,,,0.2162,0.2133,240.09M,242.90M,0.0267
2009-03,552.87M,552.87M,370.64M,182.22M,64.53M,11.49M,-0.023M,17.56M,-17.56M,,76.02M,106.20M,17.56M,-17.56M,-0.023M,-17.56M,88.62M,29.57M,59.06M,,,59.06M,59.07M,122.82M,16.64M,106.18M,0.2444,0.0,,,0.2445,0.2444,0.2444,0.0,,,0.2445,0.2444,239.44M,241.47M,0.0267
2008-12,623.74M,623.74M,444.41M,179.33M,85.32M,11.77M,0.38M,17.66M,-17.66M,,97.09M,82.24M,17.66M,-17.66M,0.38M,-17.66M,64.97M,21.14M,43.83M,,,43.83M,43.57M,99.60M,16.98M,82.62M,0.1867,0.0,,,0.1856,0.1867,0.1822,0.0,,,0.1812,0.1822,239.31M,240.56M,0.0267
2008-09,647.42M,647.42M,437.48M,209.95M,78.22M,11.67M,-1.54M,15.53M,-15.53M,,89.88M,120.06M,15.53M,-15.53M,-1.54M,-15.53M,102.99M,32.07M,70.92M,,,70.92M,71.98M,134.73M,16.21M,118.52M,0.2978,0.0,,,0.3022,0.2978,0.2933,0.0,,,0.2977,0.2933,239.27M,242.05M,0.0267
2008-06,648.77M,648.77M,437.18M,211.59M,85.65M,,-0.929M,,,,97.48M,114.11M,,,-0.929M,,97.85M,32.01M,65.84M,,,65.84M,66.47M,130.02M,15.91M,114.11M,0.2756,0.0,,,0.2782,0.2756,0.2711,0.0,,,0.2737,0.2711,238.39M,241.82M,0.0267
2008-03,611.20M,611.20M,411.02M,200.18M,73.37M,,-0.697M,,,,83.95M,116.23M,,,-0.697M,,100.40M,34.04M,66.36M,,,66.36M,66.82M,130.40M,14.16M,116.23M,0.28,0.0,,,0.2819,0.28,0.2756,0.0,,,0.2775,0.2756,238.37M,242.44M,0.0267
2007-12,583.25M,583.25M,394.25M,189.00M,72.88M,,-0.736M,,,,84.96M,104.04M,,,-0.736M,,90.52M,28.66M,61.86M,,,61.86M,62.37M,115.81M,15.04M,100.77M,0.2578,0.0,,,0.2599,0.2578,0.2533,0.0,,,0.2554,0.2533,239.40M,243.55M,0.0267
2007-09,528.85M,528.85M,356.68M,172.17M,65.69M,,-0.425M,,,,76.16M,96.00M,,,-0.425M,,83.40M,26.15M,57.24M,,,57.24M,57.54M,109.27M,13.27M,96.00M,0.24,0.0,,,0.2412,0.24,0.2356,0.0,,,0.2368,0.2356,238.81M,242.47M,0.0267
2007-06,519.47M,519.47M,350.24M,169.23M,62.85M,,-1.537M,,,0.002M,72.62M,96.61M,,,-1.537M,,84.08M,26.06M,58.01M,,,58.01M,59.07M,108.81M,12.20M,96.61M,0.2444,0.0,,,0.2489,0.2444,0.24,0.0,,,0.2444,0.24,237.75M,241.72M,0.0267
2007-03,505.28M,505.28M,343.34M,161.94M,62.05M,,-0.566M,,,,72.02M,89.92M,,,-0.566M,,78.45M,27.55M,50.90M,,,50.90M,51.27M,102.08M,12.15M,89.92M,0.2133,0.0,,,0.2149,0.2133,0.2133,0.0,,,0.2149,0.2133,236.53M,240.48M,0.0267
2006-12,480.67M,480.67M,332.57M,148.10M,59.13M,,-1.832M,,,,68.84M,79.26M,,,-1.832M,,66.82M,18.98M,47.84M,,,47.84M,49.15M,90.82M,11.56M,79.26M,0.2044,0.0,,,0.21,0.2044,0.2,0.0,,,0.2055,0.2,235.64M,239.77M,0.0267
2006-09,464.16M,464.16M,318.28M,145.89M,56.20M,,0.017M,,,,66.06M,79.83M,,,0.017M,,68.68M,21.31M,47.37M,,,47.37M,47.36M,91.80M,11.97M,79.83M,0.2,0.0,,,0.2,0.2,0.2,0.0,,,0.2,0.2,235.50M,239.25M,0.0178
2006-06,450.58M,450.58M,308.31M,142.28M,53.32M,,-0.589M,,,,63.18M,79.10M,,,-0.589M,,68.21M,21.74M,46.47M,,,46.47M,46.87M,90.50M,11.40M,79.10M,0.1956,0.0,,,0.1973,0.1956,0.1926,0.0,,,0.1943,0.1926,236.54M,240.41M,0.0178
2006-03,423.87M,423.87M,292.77M,131.10M,50.81M,,-0.737M,,,,60.30M,70.80M,,,-0.737M,,59.98M,19.72M,40.26M,,,40.26M,40.75M,81.81M,11.00M,70.80M,0.1689,0.0,,,0.171,0.1689,0.1689,0.0,,,0.171,0.1689,235.89M,240.04M,0.0178
2005-12,403.78M,403.78M,280.70M,123.08M,50.12M,,-0.64M,,,,59.72M,63.37M,,,-0.64M,,52.78M,15.88M,36.90M,,,36.90M,37.35M,74.54M,11.17M,63.37M,0.1556,0.0,,,0.1575,0.1556,0.1526,0.0,,,0.1545,0.1526,234.84M,238.97M,0.0178
2005-09,344.53M,344.53M,234.01M,110.52M,44.83M,,-1.446M,,,,53.28M,57.24M,,,-1.446M,,48.17M,13.80M,34.37M,,,34.37M,35.40M,66.79M,9.551M,57.24M,0.1481,0.0,,,0.1526,0.1481,0.1452,0.0,,,0.1495,0.1452,233.69M,238.00M,0.0178
2005-06,352.05M,352.05M,242.91M,109.14M,41.24M,,-0.36M,,,,49.83M,59.32M,,,-0.36M,,51.26M,17.14M,34.12M,,,34.12M,34.36M,68.77M,9.451M,59.32M,0.1452,0.0,,,0.1462,0.1452,0.1452,0.0,,,0.1462,0.1452,233.13M,237.15M,0.0178
2005-03,334.10M,334.10M,234.18M,99.92M,38.03M,,0.158M,,,,46.36M,53.56M,,,0.158M,,46.09M,15.12M,30.97M,,,30.97M,30.86M,62.82M,9.257M,53.56M,0.1333,0.0,,,0.1329,0.1333,0.1304,0.0,,,0.1299,0.1304,231.88M,236.08M,0.0178
2004-12,326.27M,323.27M,226.07M,97.20M,39.88M,,-1.416M,,,,47.46M,49.74M,,,-1.416M,,40.66M,13.02M,27.64M,,,27.64M,28.60M,61.24M,11.50M,49.74M,0.12,0.0,,,0.1242,0.12,0.12,0.0,,,0.1242,0.12,230.27M,230.27M,0.0178
2004-09,310.71M,310.71M,216.53M,94.17M,35.11M,,-0.659M,,,,43.72M,50.45M,,,-0.659M,,42.25M,13.23M,29.02M,,,29.02M,29.47M,60.17M,9.72M,50.45M,0.1274,0.0,,,0.1294,0.1274,0.1244,0.0,,,0.1264,0.1244,229.92M,234.74M,0.0178
2004-06,303.92M,303.92M,215.58M,88.33M,31.95M,,0.289M,,,,40.85M,47.48M,,,0.289M,,41.04M,13.38M,27.67M,,,27.67M,27.47M,56.82M,9.339M,47.48M,0.1215,0.0,,,0.1206,0.1215,0.1185,0.0,,,0.1177,0.1185,228.05M,232.58M,0.0178
2004-03,291.42M,291.42M,208.36M,83.06M,30.89M,,-0.326M,,,,39.56M,43.50M,,,-0.326M,,36.76M,12.10M,24.66M,,,24.66M,24.88M,52.85M,9.354M,43.50M,0.1096,0.0,,,0.1106,0.1096,0.1067,0.0,,,0.1076,0.1067,227.06M,231.70M,0.0178
2003-12,279.44M,279.44M,199.04M,80.40M,29.49M,,0.282M,,,,38.53M,41.86M,,,0.282M,,35.56M,11.19M,24.36M,,,24.36M,24.17M,51.38M,9.512M,41.86M,0.0933,0.0,,,0.0925,0.0933,0.0933,0.0,,,0.0925,0.0933,225.62M,225.62M,0.0089
2003-09,267.78M,267.78M,190.05M,77.73M,30.13M,,0.16M,,,,38.25M,39.48M,,,0.16M,,33.18M,11.26M,21.92M,,,21.92M,21.81M,47.90M,8.42M,39.48M,0.0978,0.0,,,0.0973,0.0978,0.0963,0.0,,,0.0958,0.0963,224.35M,228.56M,0.0089
2003-06,276.87M,276.87M,201.28M,75.58M,28.25M,,-0.212M,,,,36.84M,38.74M,,,-0.212M,,32.19M,10.38M,21.82M,,,21.82M,21.96M,47.70M,8.955M,38.74M,0.0978,0.0,,,0.0984,0.0978,0.0963,0.0,,,0.0969,0.0963,222.01M,226.64M,0.0089
2003-03,267.53M,267.53M,195.06M,72.47M,27.32M,,-0.887M,,,,35.79M,36.68M,,,-0.887M,,29.16M,9.44M,19.72M,,,19.72M,20.32M,45.26M,8.586M,36.68M,0.0889,0.0,,,0.0916,0.0889,0.0874,0.0,,,0.09,0.0874,222.63M,227.11M,0.0089
2002-12,252.56M,252.56M,183.82M,68.75M,23.91M,,0.093M,,,,32.26M,36.49M,,,0.093M,,30.85M,9.526M,21.33M,,,21.33M,21.26M,44.90M,8.408M,36.49M,0.0948,0.0,,,0.0945,0.0948,0.0933,0.0,,,0.093,0.0933,222.44M,227.06M,0.0089
2002-09,257.00M,257.00M,184.55M,72.44M,26.12M,,-0.591M,,,,34.38M,38.06M,,,-0.591M,,31.29M,9.913M,21.38M,,,21.38M,21.78M,46.33M,8.274M,38.06M,0.0963,0.0,,,0.0981,0.0963,0.0948,0.0,,,0.0966,0.0948,222.25M,226.57M,0.0089
2002-06,267.43M,267.43M,194.42M,73.01M,27.01M,,0.086M,,,,35.30M,37.70M,,,0.086M,,31.41M,10.08M,21.32M,,,21.32M,21.27M,46.04M,8.336M,37.70M,0.0963,0.0,,,0.096,0.0963,0.0933,0.0,,,0.0931,0.0933,222.69M,228.13M,0.0089
2002-03,263.56M,263.56M,191.79M,71.77M,27.78M,,-0.196M,,,,35.34M,36.43M,,,-0.196M,,29.34M,9.679M,19.66M,,,19.66M,19.80M,44.37M,7.932M,36.43M,0.0889,0.0,,,0.0895,0.0889,0.0874,0.0,,,0.088,0.0874,221.39M,226.17M,0.0089
2001-12,237.26M,237.26M,195.29M,41.98M,27.59M,,1.944M,,,,36.67M,5.307M,,,1.944M,,0.612M,-10.85M,11.46M,,,11.46M,10.29M,18.46M,13.15M,5.307M,0.0519,0.0,,,0.0466,0.0519,0.0519,0.0,,,0.0467,0.0519,220.95M,224.40M,0.0089
2001-09,256.53M,256.53M,191.76M,64.77M,23.74M,,0.422M,,,,31.81M,32.97M,,,0.422M,,26.93M,9.205M,17.73M,,,17.73M,17.45M,44.24M,11.28M,32.97M,0.08,0.0,,,0.0788,0.08,0.0785,0.0,,,0.0773,0.0785,223.18M,227.48M,0.0089
2001-06,261.42M,261.42M,194.95M,66.47M,23.18M,,0.104M,,,,30.90M,35.57M,,,0.104M,,28.52M,9.867M,18.65M,,,18.65M,18.58M,46.34M,10.77M,35.57M,0.0844,0.0,,,0.0841,0.0844,0.083,0.0,,,0.0827,0.083,222.30M,226.14M,0.0089
