,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2001-04,1.018B,1.018B,752.42M,265.99M,,,201.14M,,,,,,201.14M,64.85M,,,,1.245M,,61.03M,22.13M,38.89M,,38.89M,38.89M,64.85M,,2001-04,0.07,0.00,,2001-04,0.07,0.00,0.07,2001-04,555.63M,555.63M,2001-04,,
2001-01,947.49M,947.49M,680.48M,267.02M,,,201.42M,,,,,,201.42M,65.60M,,,,-0.86M,,65.15M,23.62M,41.53M,,41.53M,41.53M,65.60M,,2001-01,0.075,0.00,,2001-01,0.075,0.00,0.075,2001-01,554.26M,558.34M,2001-01,,
2000-10,804.90M,804.90M,777.81M,27.09M,,,-17.21M,,,,,,-68.98M,96.06M,,,,-10.51M,,93.69M,32.71M,60.98M,,60.98M,60.98M,96.06M,,2000-10,0.11,0.00,,2000-10,0.1075,0.00,0.1075,2000-10,548.39M,567.15M,2000-10,,
2000-07,886.02M,886.02M,649.98M,236.04M,,,173.11M,2.615M,,,,,189.76M,46.27M,,,,2.615M,,45.50M,16.37M,29.14M,,29.14M,27.46M,46.27M,,2000-07,0.0525,0.00,,2000-07,0.0525,0.00,0.0495,2000-07,554.97M,554.97M,2000-07,,
2000-04,879.02M,879.02M,622.81M,256.21M,,,184.10M,4.968M,,,,,200.20M,56.01M,,,,4.968M,,56.64M,20.39M,36.25M,,36.25M,33.07M,56.01M,,2000-04,0.065,0.00,,2000-04,0.065,0.00,0.0593,2000-04,557.75M,557.75M,2000-04,,
2000-01,903.90M,903.90M,624.70M,279.20M,,,196.40M,5.40M,,,,,212.50M,66.70M,,,,5.40M,,68.50M,24.70M,43.80M,,43.80M,40.35M,66.70M,,2000-01,0.0775,0.00,,2000-01,0.075,0.00,0.0691,2000-01,565.16M,584.00M,2000-01,,
1999-10,950.90M,950.90M,646.00M,304.90M,,,198.90M,-11.30M,,,,,215.50M,89.40M,,,,-11.30M,,91.80M,32.20M,59.60M,,59.60M,66.94M,89.40M,,1999-10,0.1025,0.00,,1999-10,0.10,0.00,0.1122,1999-10,579.92M,600.95M,1999-10,,
1999-07,816.80M,816.80M,580.00M,236.80M,,,177.60M,5.60M,,,,,193.40M,43.40M,,,,5.60M,,45.40M,15.80M,29.60M,,29.60M,25.95M,43.40M,,1999-07,0.0525,0.00,,1999-07,0.05,0.00,0.0438,1999-07,563.81M,592.00M,1999-07,,
1999-04,791.10M,791.10M,548.50M,242.60M,,,177.40M,2.50M,,,,,193.00M,49.60M,,,,2.50M,,48.40M,16.60M,31.80M,,31.80M,30.16M,49.60M,,1999-04,0.055,0.00,,1999-04,0.055,0.00,0.0522,1999-04,578.18M,578.18M,1999-04,,
1999-01,799.00M,799.00M,540.50M,258.50M,,,183.30M,10.30M,,,,,200.00M,58.50M,,,,10.30M,,65.70M,23.30M,42.40M,,42.40M,35.75M,58.50M,,1999-01,0.0725,0.00,,1999-01,0.0725,0.00,0.0611,1999-01,584.83M,584.83M,1999-01,,
1998-10,912.00M,912.00M,639.20M,272.80M,,,190.10M,-9.70M,,,,,207.20M,65.60M,,,,-9.70M,,67.70M,22.50M,45.20M,,45.20M,51.68M,65.60M,,1998-10,0.075,0.00,,1998-10,0.075,0.00,0.0857,1998-10,604.18M,604.18M,1998-10,,
1998-07,755.80M,755.80M,546.20M,209.60M,,,161.00M,4.10M,,,,,175.90M,33.70M,,,,4.10M,,33.90M,12.90M,21.00M,,21.00M,18.46M,33.70M,,1998-07,0.035,0.00,,1998-07,0.035,0.00,0.0308,1998-07,600.00M,600.00M,1998-07,,
