,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-06,6.050B,6.050B,3.341B,2.708B,525.40M,18.60M,82.80M,230.90M,1.70M,-229.20M,,525.40M,2.183B,1.70M,230.90M,-229.20M,107.60M,-229.20M,2.061B,666.30M,1.395B,,,,,1.395B,1.337B,2.632B,339.50M,2.292B,1.72,,,1.649,1.72,1.7,,,1.63,1.7,811.60M,819.20M,0.94
2017-03,5.676B,5.676B,3.246B,2.429B,521.30M,-0.50M,85.00M,220.40M,,-220.40M,,521.30M,1.908B,,220.40M,-220.40M,119.80M,-220.40M,1.808B,592.70M,1.215B,,,,,1.215B,1.156B,2.353B,325.30M,2.028B,1.48,,,1.409,1.48,1.47,,,1.399,1.47,818.80M,825.20M,0.94
2016-12,6.029B,6.029B,3.471B,2.558B,627.50M,-15.60M,8.70M,221.20M,-2.00M,-223.20M,,627.50M,1.931B,-2.00M,221.20M,-223.20M,27.10M,-223.20M,1.735B,541.50M,1.193B,,,,,1.193B,1.187B,2.335B,378.90M,1.956B,1.4569999999999999,,,1.449,1.4569999999999999,1.44,,,1.432,1.44,823.50M,829.40M,0.94
2016-09,6.424B,6.424B,3.677B,2.747B,582.90M,127.60M,-53.50M,222.20M,,-222.20M,,582.90M,2.164B,,222.20M,-222.20M,-37.40M,-222.20M,1.904B,629.10M,1.275B,,,,,1.275B,1.314B,2.497B,370.60M,2.127B,1.52,,,1.5659999999999998,1.52,1.5,,,1.546,1.5,841.40M,847.70M,0.89
2016-06,6.265B,6.265B,3.679B,2.586B,596.10M,228.40M,-134.20M,223.90M,3.00M,-220.90M,,596.10M,1.990B,3.00M,223.90M,-220.90M,-118.80M,-220.90M,1.650B,557.30M,1.093B,,,,,1.093B,1.171B,2.257B,383.30M,1.874B,1.27,,,1.361,1.27,1.25,,,1.34,1.25,864.00M,871.20M,0.89
2016-03,5.904B,5.904B,3.590B,2.314B,578.00M,1.20M,48.50M,218.30M,3.80M,-214.50M,,578.00M,1.736B,3.80M,218.30M,-214.50M,55.40M,-214.50M,1.576B,451.60M,1.125B,,,,,1.125B,1.082B,2.178B,383.70M,1.795B,1.27,,,1.2209999999999999,1.27,1.25,,,1.202,1.25,888.90M,896.30M,0.89
2015-12,6.341B,6.341B,3.835B,2.506B,675.10M,73.80M,99.90M,180.90M,1.80M,-179.10M,,675.10M,1.831B,1.80M,180.90M,-179.10M,58.00M,-179.10M,1.711B,504.60M,1.206B,,,,,1.206B,1.128B,2.281B,389.70M,1.892B,1.33,,,1.245,1.33,1.31,,,1.225,1.31,913.90M,920.30M,0.89
2015-09,6.615B,6.615B,4.024B,2.591B,584.00M,6.50M,31.20M,160.90M,3.20M,-157.70M,,584.00M,2.007B,3.20M,160.90M,-157.70M,28.80M,-157.70M,1.878B,569.20M,1.309B,,,,,1.309B,1.280B,2.427B,387.70M,2.039B,1.41,,,1.379,1.41,1.4,,,1.369,1.4,930.30M,934.80M,0.85
2015-06,6.498B,6.498B,4.007B,2.490B,592.40M,51.90M,-24.40M,149.20M,1.70M,-147.50M,,592.40M,1.898B,1.70M,149.20M,-147.50M,-38.10M,-147.50M,1.712B,510.00M,1.202B,,,,,1.202B,1.206B,2.254B,392.20M,1.862B,1.26,,,1.264,1.26,1.26,,,1.264,1.26,953.20M,957.60M,0.85
2015-03,5.959B,5.959B,3.758B,2.201B,582.80M,102.90M,-169.30M,147.30M,2.30M,-145.00M,,582.80M,1.618B,2.30M,147.30M,-145.00M,-219.10M,-145.00M,1.254B,442.60M,811.50M,,,,,811.50M,910.75M,1.788B,386.10M,1.401B,0.84,,,0.9433,0.84,0.84,,,0.9428,0.84,960.60M,965.50M,0.85
2014-12,6.572B,6.572B,4.098B,2.474B,662.50M,,-45.30M,153.70M,3.70M,-150.00M,,662.50M,1.812B,3.70M,153.70M,-150.00M,-65.70M,-150.00M,1.596B,498.60M,1.098B,,,,,1.098B,1.135B,2.157B,407.50M,1.750B,1.14,,,1.178,1.14,1.13,,,1.168,1.13,966.40M,971.90M,0.85
2014-09,6.987B,6.987B,4.306B,2.681B,575.80M,,-7.70M,149.30M,5.50M,-143.80M,,575.80M,2.105B,5.50M,149.30M,-143.80M,-40.50M,-143.80M,1.921B,852.70M,1.068B,,,,,1.068B,1.077B,2.484B,413.40M,2.070B,1.09,,,1.0979999999999999,1.09,1.09,,,1.0979999999999999,1.09,978.70M,983.80M,0.81
2014-06,7.182B,7.182B,4.397B,2.784B,629.20M,,19.50M,137.90M,7.40M,-130.50M,,629.20M,2.155B,7.40M,137.90M,-130.50M,46.90M,-130.50M,2.072B,684.40M,1.387B,,,,,1.387B,1.370B,2.623B,413.20M,2.209B,1.4,,,1.383,1.4,1.4,,,1.383,1.4,987.40M,993.20M,0.81
2014-03,6.700B,6.700B,4.184B,2.516B,620.40M,,23.80M,135.50M,3.40M,-132.10M,,620.40M,1.896B,3.40M,135.50M,-132.10M,19.70M,-132.10M,1.783B,578.50M,1.205B,,,,,1.205B,1.197B,2.329B,410.40M,1.919B,1.22,,,1.212,1.22,1.21,,,1.202,1.21,989.60M,995.90M,0.81
2013-12,7.093B,7.093B,4.350B,2.743B,627.80M,,74.40M,139.40M,4.50M,-134.90M,,627.80M,2.115B,4.50M,139.40M,-134.90M,75.10M,-134.90M,2.055B,658.20M,1.397B,,,,,1.397B,1.345B,2.603B,408.60M,2.195B,1.411,,,1.358,1.411,1.4,,,1.348,1.4,992.10M,999.40M,0.81
2013-09,7.323B,7.323B,4.413B,2.911B,554.30M,,36.80M,130.50M,3.40M,-127.10M,,554.30M,2.356B,3.40M,130.50M,-127.10M,43.40M,-127.10M,2.273B,750.40M,1.522B,,,,,1.522B,1.500B,2.798B,394.50M,2.403B,1.53,,,1.508,1.53,1.52,,,1.4980000000000002,1.52,997.30M,1.004B,0.77
2013-06,7.084B,7.084B,4.319B,2.765B,607.00M,,14.60M,129.80M,3.10M,-126.70M,,607.00M,2.158B,3.10M,129.80M,-126.70M,28.40M,-126.70M,2.060B,663.40M,1.396B,,,,,1.396B,1.390B,2.581B,390.90M,2.190B,1.39,,,1.3840000000000001,1.39,1.38,,,1.374,1.38,1.001B,1.009B,0.77
2013-03,6.605B,6.605B,4.121B,2.484B,596.50M,,43.20M,128.10M,4.00M,-124.10M,,596.50M,1.888B,4.00M,128.10M,-124.10M,53.30M,-124.10M,1.817B,546.60M,1.270B,,,,,1.270B,1.240B,2.336B,391.10M,1.945B,1.27,,,1.24,1.27,1.26,,,1.23,1.26,1.003B,1.011B,0.77
2012-12,6.952B,6.952B,4.224B,2.728B,624.50M,,61.90M,129.60M,5.00M,-124.60M,,624.50M,2.104B,5.00M,129.60M,-124.60M,88.80M,-124.60M,2.068B,671.90M,1.396B,,,,,1.396B,1.355B,2.584B,386.00M,2.198B,1.392,,,1.351,1.392,1.38,,,1.339,1.38,1.002B,1.011B,0.77
2012-09,7.152B,7.152B,4.298B,2.855B,620.90M,,16.10M,128.10M,5.00M,-123.10M,,620.90M,2.234B,5.00M,128.10M,-123.10M,43.00M,-123.10M,2.154B,698.60M,1.455B,,,,,1.455B,1.445B,2.654B,371.90M,2.282B,1.45,,,1.44,1.45,1.43,,,1.42,1.43,1.006B,1.015B,0.7
2012-06,6.916B,6.916B,4.20B,2.716B,617.30M,,22.80M,130.00M,6.50M,-123.50M,,617.30M,2.099B,6.50M,130.00M,-123.50M,34.80M,-123.50M,2.010B,662.90M,1.347B,,,,,1.347B,1.336B,2.506B,365.90M,2.140B,1.33,,,1.32,1.33,1.32,,,1.31,1.32,1.014B,1.024B,0.7
2012-03,6.547B,6.547B,4.029B,2.518B,592.50M,,-0.80M,128.90M,11.50M,-117.40M,,592.50M,1.925B,11.50M,128.90M,-117.40M,39.90M,-117.40M,1.848B,580.80M,1.267B,,,,,1.267B,1.268B,2.341B,364.70M,1.976B,1.24,,,1.2409999999999999,1.24,1.23,,,1.2309999999999999,1.23,1.018B,1.03B,0.7
2011-12,6.823B,6.823B,4.109B,2.714B,661.20M,,-75.10M,126.90M,11.40M,-115.50M,,661.20M,2.052B,11.40M,126.90M,-115.50M,46.50M,-115.50M,1.984B,607.10M,1.377B,,,,,1.377B,1.430B,2.478B,367.50M,2.111B,1.35,,,1.402,1.35,1.33,,,1.381,1.33,1.022B,1.035B,0.7
2011-09,7.166B,7.166B,4.260B,2.907B,580.90M,,57.50M,124.00M,10.30M,-113.70M,,580.90M,2.326B,10.30M,124.00M,-113.70M,51.00M,-113.70M,2.263B,755.90M,1.507B,,,,,1.507B,1.473B,2.746B,358.30M,2.387B,1.47,0.0,,1.4369999999999998,1.47,1.45,0.0,,1.4169999999999998,1.45,1.029B,1.041B,0.61
2011-06,6.905B,6.905B,4.180B,2.726B,588.00M,,41.70M,121.80M,9.50M,-112.30M,,588.00M,2.138B,9.50M,121.80M,-112.30M,41.10M,-112.30M,2.066B,656.20M,1.410B,,,,,1.410B,1.382B,2.538B,350.10M,2.188B,1.36,0.0,,1.3330000000000002,1.36,1.35,0.0,,1.3230000000000002,1.35,1.036B,1.048B,0.61
2011-03,6.112B,6.112B,3.771B,2.341B,563.60M,,4.80M,120.10M,,-120.10M,,563.60M,1.777B,,120.10M,-120.10M,42.00M,-120.10M,1.699B,489.90M,1.209B,,,,,1.209B,1.206B,2.158B,339.10M,1.819B,1.16,0.0,,1.157,1.16,1.15,0.0,,1.147,1.15,1.042B,1.055B,0.61
2010-12,6.214B,6.214B,3.740B,2.474B,665.80M,,-100.50M,117.00M,,-97.00M,,665.80M,1.809B,,117.00M,-97.00M,21.80M,-97.00M,1.734B,491.30M,1.242B,,,,,1.242B,1.314B,2.185B,334.10M,1.851B,1.18,,,1.248,1.18,1.16,,,1.227,1.16,1.055B,1.070B,0.61
2010-09,6.305B,6.305B,3.698B,2.606B,556.30M,,39.10M,114.80M,,-114.80M,,556.30M,2.050B,,114.80M,-114.80M,39.10M,-114.80M,1.974B,586.10M,1.388B,,,,,1.388B,1.361B,2.402B,312.70M,2.089B,1.31,0.0,,1.284,1.31,1.29,0.0,,1.264,1.29,1.061B,1.075B,0.55
2010-06,5.946B,5.946B,3.549B,2.396B,564.90M,,-8.70M,108.10M,,-108.10M,-20.60M,544.30M,1.852B,,108.10M,-108.10M,-8.70M,-108.10M,1.735B,509.50M,1.226B,,,,,1.226B,1.232B,2.155B,311.50M,1.843B,1.14,0.0,,1.146,1.14,1.13,0.0,,1.136,1.13,1.072B,1.086B,0.55
2010-03,5.610B,5.610B,3.450B,2.160B,546.30M,,-37.00M,111.00M,,-111.00M,-91.30M,455.00M,1.705B,,111.00M,-111.00M,-37.00M,-111.00M,1.557B,467.10M,1.090B,,,,,1.090B,1.116B,1.986B,317.90M,1.668B,1.01,0.0,,1.034,1.01,1.0,0.0,,1.024,1.0,1.076B,1.090B,0.55
2009-12,5.973B,5.973B,3.62B,2.353B,655.80M,,110.20M,115.20M,4.30M,-110.90M,-66.70M,589.10M,1.764B,4.30M,115.20M,-110.90M,47.30M,-110.90M,1.701B,484.20M,1.217B,,,,,1.217B,1.183B,2.134B,317.70M,1.816B,1.13,0.0,,1.099,1.13,1.11,0.0,,1.079,1.11,1.078B,1.095B,0.55
2009-09,6.047B,6.047B,3.638B,2.408B,549.60M,,3.10M,117.80M,4.40M,-113.40M,-72.60M,477.00M,1.931B,4.40M,117.80M,-113.40M,3.70M,-113.40M,1.822B,560.60M,1.261B,,,,,1.261B,1.258B,2.251B,311.90M,1.939B,1.16,0.0,,1.158,1.16,1.15,0.0,,1.148,1.15,1.084B,1.098B,0.5
2009-06,5.647B,5.647B,3.477B,2.170B,531.50M,,24.00M,119.30M,4.60M,-114.70M,-44.30M,487.20M,1.683B,4.60M,119.30M,-114.70M,24.00M,-114.70M,1.592B,498.30M,1.094B,,,0.0,,1.094B,1.077B,2.016B,304.40M,1.711B,1.0,0.0,,0.985,1.0,0.98,0.0,,0.9652,0.98,1.097B,1.111B,0.5
2009-03,5.077B,5.077B,3.217B,1.860B,497.30M,,9.50M,120.90M,5.70M,-115.20M,-38.70M,458.60M,1.402B,5.70M,120.90M,-115.20M,86.00M,-115.20M,1.372B,392.90M,979.50M,,,,,979.50M,972.72M,1.776B,282.20M,1.493B,0.88,0.0,,0.8739,0.88,0.87,0.0,,0.864,0.87,1.110B,1.124B,0.5
2008-12,5.565B,5.565B,3.489B,2.076B,622.30M,,74.80M,116.20M,,-184.90M,-53.70M,568.60M,1.507B,,116.20M,-184.90M,74.80M,-184.90M,1.397B,411.80M,985.30M,,,,,985.30M,932.55M,1.791B,277.80M,1.513B,0.89,0.0,,0.8427,0.89,0.87,0.0,,0.8234,0.87,1.116B,1.133B,0.5
2008-09,6.267B,6.267B,3.904B,2.363B,582.10M,,-9.20M,131.60M,16.00M,-115.60M,-42.60M,539.50M,1.824B,16.00M,131.60M,-115.60M,-9.20M,-115.60M,1.699B,507.60M,1.191B,,,,,1.191B,1.198B,2.142B,311.00M,1.830B,1.07,0.0,,1.0759999999999998,1.07,1.05,0.0,,1.056,1.05,1.117B,1.136B,0.375
2008-06,6.075B,6.075B,3.850B,2.225B,598.70M,,9.00M,146.30M,21.30M,-125.00M,-28.60M,570.10M,1.655B,21.30M,146.30M,-125.00M,169.10M,-125.00M,1.699B,508.30M,1.190B,,,,,1.190B,1.184B,2.159B,314.30M,1.845B,1.05,0.0,,1.044,1.05,1.04,0.0,,1.035,1.04,1.129B,1.149B,0.375
2008-03,5.615B,5.615B,3.639B,1.975B,552.40M,,-3.00M,128.50M,31.40M,-97.10M,-40.30M,512.10M,1.463B,31.40M,128.50M,-97.10M,-3.00M,-97.10M,1.363B,417.10M,946.10M,,,,,946.10M,948.18M,1.796B,304.70M,1.492B,0.83,0.0,,0.8318,0.83,0.81,0.0,,0.8118,0.81,1.146B,1.165B,0.375
2007-12,5.754B,5.754B,3.693B,2.061B,660.50M,,159.40M,,,,-1.679B,-1.018B,3.079B,,,,69.20M,,1.284B,11.10M,1.273B,0.00,,,,1.273B,1.115B,1.814B,302.50M,1.512B,1.07,0.0,,0.9354,1.08,1.06,0.0,,0.9281,1.06,1.174B,1.198B,1.5
2007-09,5.901B,5.901B,3.780B,2.121B,569.40M,,-75.50M,,,,45.90M,615.30M,1.506B,,,,-32.30M,,1.454B,449.90M,1.004B,67.50M,,,,1.071B,1.056B,1.803B,297.00M,1.506B,0.85,0.06,,0.894,0.9,0.83,0.06,,0.8732,0.89,1.185B,1.207B,0.0
2007-06,5.839B,5.839B,3.840B,2.000B,591.90M,,-1.622B,,,,1.617B,2.209B,-209.30M,,,,-1.599B,,-266.60M,441.80M,-708.40M,-3.30M,,,,-711.70M,345.90M,93.80M,303.10M,-209.30M,-0.59,0.0,,0.2932,-0.6,-0.59,0.0,,0.2932,-0.6,1.194B,1.194B,0.0
2007-03,5.293B,5.293B,3.569B,1.724B,545.20M,,-29.00M,,,,4.90M,550.10M,1.174B,,,,-5.00M,,1.101B,334.30M,766.50M,-4.10M,,,,762.40M,786.69M,1.485B,311.50M,1.174B,0.64,0.0,,0.6568,0.63,0.63,0.0,,0.6465,0.62,1.201B,1.222B,0.0
2006-12,5.445B,5.445B,3.621B,1.824B,654.60M,,61.20M,,,,76.20M,730.80M,1.093B,,,,78.80M,,1.040B,288.50M,751.70M,489.80M,,,,1.242B,707.47M,1.409B,315.50M,1.093B,0.61,0.4,,0.5737,1.01,0.61,0.39,,0.5744,1.0,1.217B,1.242B,1.0
2006-09,5.503B,5.503B,3.628B,1.875B,555.10M,,-70.90M,,,,40.70M,595.80M,1.279B,,,,-40.00M,,1.217B,375.30M,841.70M,1.60M,,,,843.30M,890.74M,1.593B,314.00M,1.279B,0.68,0.0,,0.7199,0.69,0.68,0.0,,0.7194,0.68,1.230B,1.246B,0.0
2006-06,5.367B,5.367B,3.629B,1.739B,576.20M,,-60.60M,,,,38.90M,615.10M,1.124B,,,,-45.70M,,1.051B,352.90M,698.30M,135.80M,,,,834.10M,738.56M,1.439B,315.00M,1.124B,0.57,0.11,,0.6026,0.68,0.56,0.11,,0.5923,0.67,1.235B,1.248B,0.0
2006-03,4.914B,4.914B,3.396B,1.518B,535.40M,,-49.10M,,,,70.70M,606.10M,911.40M,,,,-35.70M,,844.10M,270.70M,573.40M,51.90M,,,,625.30M,606.75M,1.217B,305.40M,911.40M,0.46,0.04,,0.4866,0.5,0.45,0.04,,0.4762,0.49,1.254B,1.271B,0.0
2005-12,3.892B,3.892B,2.411B,1.481B,513.40M,,-77.20M,,,,114.10M,627.50M,853.20M,,,,-66.90M,,808.90M,225.00M,583.90M,,,,,608.50M,639.63M,1.170B,317.00M,853.20M,0.46,0.02,,0.5042,0.48,0.46,0.02,,0.5041,0.48,1.260B,1.264B,0.67
2005-09,5.327B,5.327B,3.646B,1.681B,547.30M,,21.70M,,,,-26.50M,520.80M,1.160B,,,,39.10M,,1.086B,350.40M,735.40M,,,,,735.40M,720.70M,1.469B,309.50M,1.160B,0.59,0.0,,0.5783,0.59,0.58,0.0,,0.5684,0.58,1.254B,1.272B,0.0
2005-06,5.096B,5.096B,3.516B,1.579B,562.60M,,-1.80M,,,,,562.60M,1.017B,,,,6.90M,,935.30M,404.90M,530.40M,,,,,530.40M,531.48M,1.323B,306.50M,1.017B,0.42,0.0,,0.4209,0.42,0.42,0.0,,0.4209,0.42,1.260B,1.270B,0.0
2005-03,4.803B,4.803B,3.366B,1.437B,520.10M,,-13.00M,,,,7.00M,527.10M,909.60M,,,,3.40M,,830.20M,102.30M,727.90M,,,,,727.90M,739.30M,1.226B,316.50M,909.60M,0.57,0.0,,0.579,0.57,0.56,0.0,,0.5688,0.56,1.268B,1.289B,0.0
2004-12,4.540B,4.540B,3.046B,1.493B,510.50M,,-339.90M,,,,368.00M,878.50M,614.70M,,,,-320.70M,,571.50M,174.60M,396.90M,,,,,397.90M,632.96M,933.10M,318.40M,614.70M,0.32,0.0,,0.5067,0.32,0.31,0.0,,0.494,0.31,1.264B,1.283B,0.55
2004-09,4.926B,4.926B,3.339B,1.586B,474.60M,,-37.00M,,,,13.00M,487.60M,1.099B,,,,-18.30M,,1.006B,227.10M,778.40M,,,,,778.40M,807.04M,1.392B,293.20M,1.099B,0.62,0.0,,0.6428,0.62,0.61,0.0,,0.6326,0.61,1.257B,1.268B,0.0
2004-06,4.729B,4.729B,3.231B,1.498B,496.50M,,-58.50M,,,,35.40M,531.90M,965.90M,,,,-47.30M,,865.90M,275.20M,590.70M,,,,,590.70M,630.61M,1.258B,292.20M,965.90M,0.47,0.0,,0.5018,0.47,0.47,0.0,,0.5015,0.47,1.256B,1.268B,0.0
2004-03,4.400B,4.400B,3.074B,1.326B,457.50M,,-29.80M,,,,10.00M,467.50M,858.40M,,,,-18.90M,,757.80M,246.30M,511.50M,,,,,511.50M,531.61M,1.156B,297.20M,858.40M,0.41,0.0,,0.4259,0.41,0.4,0.0,,0.4158,0.4,1.262B,1.276B,0.0
2003-12,4.555B,4.555B,-252.00M,4.807B,3.925B,,-536.60M,,,,514.60M,4.440B,367.50M,,,,-523.90M,,267.50M,141.80M,125.70M,,0.00,,,125.70M,447.66M,683.10M,315.60M,367.50M,0.1,0.0,0.0,0.3544,0.1,0.1,0.0,-0.0,0.352,0.1,1.266B,1.277B,0.4
2003-09,4.505B,4.505B,3.077B,1.428B,456.30M,,-75.50M,,,,7.80M,464.10M,963.90M,,,,-54.80M,,823.10M,275.70M,547.40M,,,,,547.40M,597.61M,1.239B,274.90M,963.90M,0.43,0.0,,0.4695,0.43,0.43,0.0,,0.4692,0.43,1.272B,1.281B,0.0
2003-06,4.281B,4.281B,2.975B,1.306B,466.40M,,-32.20M,,,,13.20M,479.60M,826.20M,,,,-29.50M,,708.20M,237.30M,470.90M,,,,,470.90M,492.31M,1.097B,270.50M,826.20M,0.37,0.0,,0.3868,0.37,0.37,0.0,,0.3868,0.37,1.272B,1.278B,0.0
2003-03,3.800B,3.800B,2.733B,1.067B,396.40M,,-22.00M,,,,-4.00M,392.40M,674.60M,,,,-21.20M,,547.60M,183.40M,364.20M,,-36.80M,,,327.40M,378.83M,961.80M,287.20M,674.60M,0.29,-0.03,0.0,0.3015,0.26,0.29,-0.03,-0.029,0.3015,0.26,1.270B,1.270B,0.0
2002-12,3.899B,3.899B,-302.70M,4.202B,3.565B,,-858.50M,,,,840.30M,4.405B,-203.40M,,,,-863.90M,,-321.60M,22.20M,-343.80M,,0.00,,,-343.80M,171.30M,59.70M,263.10M,-203.40M,-0.27,0.0,0.0,0.1359,-0.27,-0.27,0.0,-0.0001,0.1359,-0.27,1.269B,1.269B,0.235
2002-09,4.047B,4.047B,2.799B,1.248B,438.20M,,-14.80M,,,,-20.00M,418.20M,829.80M,,,,-0.70M,,715.30M,228.60M,486.70M,,,,,486.70M,496.77M,1.111B,281.00M,829.80M,0.38,0.0,,0.3879,0.38,0.38,0.0,,0.3879,0.38,1.273B,1.280B,0.0
