,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2007-09,187.92M,,187.92M,1.785B,,,1.785B,183.50M,624.84M,545.43M,1.354B,69.15M,,128.80M,,3.524B,,,,,,4.398B,-2.636B,1.762B,2.320B,610.41M,2.930B,,,476.19M,,2007-09,779.27M,,779.27M,885.12M,1.664B,580.54M,580.54M,580.54M,,2.245B,1.118B,1.118B,113.19M,113.19M,,,671.06M,1.902B,4.147B,,4.794B,503.64M,838.86M,,,,2007-09,,
2007-06,172.71M,,172.71M,1.738B,,,1.738B,165.16M,581.74M,518.90M,1.266B,69.66M,,140.26M,,3.386B,0.00,258.12M,1.190B,2.754B,76.45M,4.278B,-2.541B,1.736B,2.254B,595.61M,2.850B,,,469.19M,,2007-06,788.56M,,788.56M,941.30M,1.730B,195.38M,195.38M,195.38M,,1.925B,1.090B,1.090B,114.22M,114.22M,,,600.37M,1.805B,3.730B,,4.625B,482.07M,360.57M,,,,2007-06,,
2007-03,183.73M,,183.73M,1.717B,,,1.717B,176.98M,575.28M,518.71M,1.271B,64.20M,,132.26M,,3.368B,,,,,,4.219B,-2.510B,1.709B,2.170B,491.38M,2.661B,,,969.97M,,2007-03,734.80M,,734.80M,868.50M,1.603B,293.46M,293.46M,293.46M,,1.897B,1.116B,1.116B,122.94M,122.94M,,,1.052B,2.291B,4.188B,,4.438B,533.26M,383.62M,,,,2007-03,,
2006-12,157.10M,,157.10M,1.524B,,,1.524B,203.53M,571.48M,539.39M,1.314B,49.28M,,131.23M,,3.176B,,,,,,4.182B,-2.475B,1.707B,2.171B,469.22M,2.640B,,,933.32M,,2006-12,700.97M,,700.97M,778.63M,1.480B,439.18M,439.18M,439.18M,,1.919B,1.066B,1.066B,108.67M,108.67M,,,1.045B,2.220B,4.139B,,4.259B,533.04M,386.71M,,,,2006-12,,
2006-09,175.85M,,175.85M,1.569B,,,1.569B,195.11M,553.95M,501.77M,1.251B,60.66M,,132.01M,,3.189B,,,,,,4.115B,-2.434B,1.681B,2.036B,460.55M,2.497B,,,957.94M,,2006-09,724.35M,,724.35M,814.06M,1.538B,269.08M,269.08M,269.08M,,1.807B,1.046B,1.046B,127.53M,127.53M,,,1.073B,2.247B,4.054B,,4.096B,535.00M,206.60M,,,,2006-09,,
2006-06,171.55M,,171.55M,1.592B,,,1.592B,168.25M,494.47M,520.16M,1.183B,64.24M,,127.99M,,3.139B,0.00,212.75M,1.117B,2.702B,54.59M,4.086B,-2.393B,1.694B,2.010B,471.10M,2.482B,,,859.11M,,2006-06,770.66M,,770.66M,838.40M,1.609B,72.04M,72.04M,72.04M,,1.681B,1.059B,1.059B,118.54M,118.54M,,,1.073B,2.251B,3.932B,,3.916B,510.87M,28.14M,,,,2006-06,,
2006-03,250.74M,,250.74M,1.453B,,,1.453B,174.18M,487.86M,475.07M,1.137B,48.50M,,111.54M,,3.001B,,,,,,3.954B,-2.315B,1.638B,2.000B,442.41M,2.443B,,,890.67M,,2006-03,619.56M,,619.56M,735.96M,1.356B,365.31M,365.31M,365.31M,,1.721B,1.054B,1.054B,98.79M,98.79M,,,1.278B,2.432B,4.152B,,3.750B,497.08M,9.021M,,,,2006-03,,
2005-12,313.34M,,313.34M,1.250B,,,1.250B,181.32M,483.03M,489.17M,1.154B,51.95M,,133.51M,,2.903B,,,,,,3.908B,-2.264B,1.644B,,2.441B,2.441B,,,807.86M,,2005-12,584.35M,,584.35M,628.12M,1.212B,534.42M,534.42M,534.42M,,1.747B,1.083B,1.083B,96.89M,96.89M,,,1.262B,2.442B,4.188B,,3.600B,500.99M,43.90M,,,,2005-12,,
2005-09,242.93M,,242.93M,1.242B,,,1.242B,167.18M,444.04M,456.84M,1.068B,45.75M,,130.39M,,2.729B,,,,,,3.806B,-2.231B,1.576B,,1.864B,1.864B,,,819.53M,,2005-09,536.93M,,536.93M,715.12M,1.252B,20.98M,20.98M,20.98M,,1.273B,927.16M,927.16M,41.81M,41.81M,,,1.252B,2.221B,3.494B,,3.498B,499.23M,41.72M,,,,2005-09,,
2005-06,336.08M,,336.08M,1.225B,,,1.225B,139.15M,426.43M,451.46M,1.017B,49.67M,,127.49M,,2.756B,0.00,183.80M,1.022B,2.512B,42.32M,3.760B,-2.179B,1.581B,1.371B,239.89M,1.611B,,,912.73M,,2005-06,569.05M,,569.05M,699.82M,1.269B,31.96M,31.96M,31.96M,,1.301B,938.42M,938.42M,35.34M,35.34M,,,1.246B,2.220B,3.521B,,3.353B,478.22M,45.74M,,,,2005-06,,
2005-03,104.28M,,104.28M,1.284B,,,1.284B,161.19M,443.69M,467.37M,1.072B,42.47M,,108.38M,,2.611B,,,,,,3.813B,-2.192B,1.621B,,1.681B,1.681B,,,842.91M,,2005-03,533.67M,,533.67M,691.45M,1.225B,18.10M,18.10M,18.10M,,1.243B,966.81M,966.81M,75.91M,75.91M,,,1.008B,2.051B,3.294B,,3.215B,477.49M,16.40M,,,,2005-03,,
2004-12,116.86M,,116.86M,1.159B,,,1.159B,160.01M,439.12M,520.86M,1.120B,42.07M,,115.19M,,2.553B,,,,,,3.852B,-2.184B,1.668B,,1.669B,1.669B,,,791.00M,,2004-12,490.13M,,490.13M,634.66M,1.125B,81.08M,81.08M,81.08M,,1.206B,988.83M,988.83M,85.44M,85.44M,,,1.014B,2.088B,3.294B,,3.100B,474.80M,14.84M,,,,2004-12,,
2004-09,290.72M,,290.72M,1.185B,,,1.185B,141.13M,438.50M,464.95M,1.045B,39.27M,,116.99M,,2.677B,,,,,,3.670B,-2.094B,1.576B,,1.309B,1.309B,,,777.76M,,2004-09,509.17M,,509.17M,680.84M,1.190B,33.03M,33.03M,33.03M,,1.223B,955.14M,955.14M,64.40M,64.40M,,,980.76M,2.000B,3.223B,,2.951B,452.88M,12.94M,,,,2004-09,,
2004-06,183.85M,,183.85M,1.175B,,,1.175B,123.11M,415.44M,437.70M,976.26M,43.91M,,112.83M,,2.491B,0.00,175.54M,952.96M,2.441B,46.94M,3.617B,-2.031B,1.586B,,1.280B,1.280B,,28.02M,850.17M,,2004-06,525.11M,,525.11M,678.33M,1.203B,35.20M,35.20M,35.20M,,1.239B,953.80M,953.80M,79.03M,79.03M,,,981.31M,2.014B,3.253B,,2.841B,451.89M,11.85M,,,,2004-06,,
2004-03,169.96M,,169.96M,1.191B,,,1.191B,127.60M,387.98M,469.32M,984.90M,39.19M,,108.41M,,2.493B,,,,,,3.673B,-2.044B,1.629B,,1.299B,1.299B,,,810.30M,,2004-03,501.90M,,501.90M,664.07M,1.166B,165.45M,165.45M,165.45M,,1.331B,968.33M,968.33M,21.64M,21.64M,,,1.119B,2.109B,3.440B,,2.738B,432.78M,6.489M,,,,2004-03,,
2003-12,138.05M,,138.05M,926.39M,,,926.39M,120.89M,372.45M,506.44M,999.78M,39.60M,,103.11M,,2.207B,,,,,,3.649B,-2.016B,1.633B,,1.201B,1.201B,,,759.14M,,2003-12,444.08M,,444.08M,535.75M,979.82M,36.14M,36.14M,36.14M,,1.016B,975.24M,975.24M,15.15M,15.15M,,,1.089B,2.079B,3.095B,,2.652B,420.69M,4.113M,,,,2003-12,,
2003-09,205.41M,,205.41M,967.87M,,,967.87M,118.51M,370.73M,502.06M,991.31M,38.88M,,102.50M,,2.306B,,,,,,3.566B,-1.934B,1.633B,,1.171B,1.171B,,,772.71M,,2003-09,415.38M,,415.38M,551.94M,967.32M,289.04M,289.04M,289.04M,,1.256B,956.36M,956.36M,16.98M,16.98M,,,1.065B,2.038B,3.295B,,2.619B,402.16M,4.141M,,,,2003-09,,
2003-06,245.85M,,245.85M,1.002B,,,1.002B,122.54M,399.57M,475.06M,997.17M,51.95M,,99.78M,,2.397B,0.00,174.68M,924.06M,2.380B,58.42M,3.537B,-1.879B,1.657B,,1.168B,1.168B,,43.32M,720.02M,,2003-06,437.10M,,437.10M,562.39M,999.49M,424.24M,424.24M,424.24M,,1.424B,966.33M,966.33M,20.78M,20.78M,,,1.054B,2.041B,3.465B,,2.584B,389.02M,4.468M,,,,2003-06,,
2003-03,52.70M,,52.70M,991.13M,,,991.13M,129.59M,384.33M,514.02M,1.028B,43.26M,,85.33M,,2.200B,,,,,,3.484B,-1.822B,1.662B,,1.148B,1.148B,,,746.00M,,2003-03,395.66M,,395.66M,503.44M,899.10M,410.28M,410.28M,410.28M,,1.309B,948.16M,948.16M,133.24M,133.24M,,,641.41M,1.723B,3.032B,,2.557B,383.30M,5.005M,,,,2003-03,,
2002-12,35.36M,,35.36M,898.89M,,,898.89M,137.50M,386.93M,534.14M,1.059B,41.30M,,87.48M,,2.122B,,,,,,3.446B,-1.771B,1.675B,1.080B,56.78M,1.137B,,,658.18M,,2002-12,371.84M,,371.84M,464.02M,835.86M,580.82M,580.82M,580.82M,,1.417B,773.73M,773.73M,90.63M,90.63M,,,639.06M,1.503B,2.920B,,2.531B,381.35M,3.906M,,,,2002-12,,
2002-09,45.73M,,45.73M,945.86M,,,945.86M,154.94M,383.50M,507.90M,1.046B,45.00M,,80.39M,,2.163B,,,,,,3.388B,-1.706B,1.682B,1.064B,58.49M,1.122B,,,658.73M,,2002-09,413.91M,,413.91M,470.10M,884.01M,453.13M,453.13M,453.13M,,1.337B,955.31M,955.31M,89.60M,89.60M,,,631.20M,1.676B,3.013B,,2.514B,380.44M,4.346M,,,,2002-09,,
2002-06,46.38M,,46.38M,1.006B,,,1.006B,166.74M,353.41M,531.82M,1.052B,48.53M,,82.42M,,2.236B,0.00,167.92M,873.15M,2.245B,67.90M,3.354B,-1.657B,1.697B,1.084B,51.29M,1.135B,,9.069M,675.88M,,2002-06,443.52M,,443.52M,499.62M,943.14M,416.69M,416.69M,416.69M,,1.360B,1.089B,1.089B,76.96M,76.96M,,,643.39M,1.809B,3.169B,,2.474B,378.92M,3.648M,,,,2002-06,,
2002-03,31.92M,98.85M,130.77M,981.97M,,,981.97M,168.82M,345.71M,555.76M,1.070B,42.25M,,98.68M,,2.324B,,,,,,3.267B,-1.583B,1.684B,,1.143B,1.143B,,,604.15M,,2002-03,378.95M,,378.95M,483.63M,862.58M,547.76M,547.76M,547.76M,73.26M,1.484B,1.052B,1.052B,147.73M,147.73M,,,445.28M,1.645B,3.129B,,2.506B,349.75M,3.722M,,,,2002-03,,
2001-12,28.88M,,28.88M,813.64M,,,813.64M,166.92M,358.36M,585.44M,1.111B,43.06M,92.91M,101.30M,,2.191B,,,,,,3.257B,-1.555B,1.702B,,1.100B,1.100B,,,556.19M,,2001-12,336.45M,,336.45M,449.03M,785.48M,493.28M,493.28M,493.28M,60.60M,1.339B,1.063B,1.063B,145.70M,145.70M,,,415.65M,1.624B,2.964B,,2.475B,348.88M,11.32M,,,,2001-12,,
2001-09,35.38M,,35.38M,920.96M,,,920.96M,166.85M,334.26M,546.61M,1.048B,43.58M,86.99M,109.38M,,2.244B,,,,3.142B,,3.142B,-1.542B,1.600B,1.083B,17.49M,1.101B,,,550.86M,,2001-09,380.01M,,380.01M,534.14M,914.14M,583.43M,583.43M,583.43M,,1.498B,874.23M,874.23M,144.24M,144.24M,,,399.29M,1.418B,2.915B,,2.466B,349.18M,7.064M,,,,2001-09,,
2001-06,23.56M,,23.56M,922.32M,,,922.32M,168.30M,344.86M,495.70M,1.009B,39.49M,,91.44M,110.68M,2.196B,0.00,152.72M,753.91M,1.976B,123.44M,3.006B,-1.457B,1.549B,953.65M,,953.65M,,7.992M,630.97M,,2001-06,367.81M,,367.81M,,367.81M,546.50M,546.50M,546.50M,498.82M,1.413B,857.08M,857.08M,131.71M,131.71M,,,406.83M,1.396B,2.809B,,2.426B,346.23M,3.932M,,,,2001-06,,
2001-03,45.21M,,45.21M,888.76M,,,888.76M,148.15M,326.31M,531.58M,1.006B,37.68M,,93.67M,215.53M,2.287B,,,,,,2.952B,-1.445B,1.507B,852.97M,,852.97M,,,604.53M,,2001-03,333.21M,,333.21M,440.74M,773.95M,613.33M,613.33M,613.33M,,1.387B,865.46M,865.46M,120.18M,120.18M,,,388.18M,1.374B,2.761B,,2.398B,333.05M,3.932M,,,,2001-03,,
2000-12,71.53M,,71.53M,,,,870.51M,,,,1.065B,,,,359.11M,2.366B,,,,,,2.934B,-1.437B,1.497B,,847.12M,847.12M,,,597.86M,,2000-12,378.78M,,378.78M,,378.78M,,540.37M,540.37M,459.00M,1.378B,981.95M,981.95M,104.14M,104.14M,,,386.98M,1.473B,2.851B,,2.330B,327.25M,3.932M,-154.17M,-100.60M,,2000-12,,
2000-09,55.19M,,55.19M,,,,953.90M,,,,1.027B,,,,363.16M,2.399B,,,,,,2.822B,-1.386B,1.436B,,862.89M,862.89M,,,631.72M,,2000-09,360.79M,,360.79M,,360.79M,,596.11M,596.11M,529.62M,1.487B,953.43M,953.43M,111.40M,111.40M,,,384.20M,1.449B,2.936B,,2.271B,327.10M,5.914M,-154.78M,-101.85M,,2000-09,,
2000-06,68.46M,,68.46M,840.04M,,,840.04M,,,,974.20M,,,,270.42M,2.153B,,,,,,2.714B,-1.373B,1.341B,,570.74M,570.74M,,,581.53M,,2000-06,372.67M,,372.67M,,372.67M,,335.30M,335.30M,478.34M,1.186B,701.76M,701.76M,77.94M,77.94M,,,370.84M,1.151B,2.337B,,2.166B,328.94M,8.434M,-125.46M,-109.51M,,2000-06,,
2000-03,60.72M,,60.72M,,,,800.24M,,,,909.84M,,,,83.75M,1.855B,,,,,,2.610B,-1.372B,1.238B,,,,,,810.17M,,2000-03,301.19M,,301.19M,,301.19M,,83.35M,83.35M,388.59M,773.13M,706.60M,706.60M,30.24M,30.24M,,,356.62M,1.093B,1.867B,,2.072B,136.57M,12.06M,-118.68M,-98.20M,,2000-03,,
1999-12,74.40M,,74.40M,,,,692.40M,,,,915.00M,,,,85.70M,1.768B,,,,,,2.573B,-1.359B,1.214B,,,,,,740.70M,,1999-12,253.80M,,253.80M,,253.80M,,61.10M,61.10M,338.90M,653.80M,713.60M,713.60M,31.20M,31.20M,,,354.90M,1.100B,1.754B,,1.984B,134.50M,1.90M,-99.90M,-103.70M,,1999-12,,
1999-09,64.40M,,64.40M,,,,739.70M,,,,920.80M,,,,87.10M,1.812B,,,,,,2.547B,-1.340B,1.207B,,,,,,751.40M,,1999-09,288.50M,,288.50M,,288.50M,,59.50M,59.50M,393.10M,741.10M,717.60M,717.60M,32.80M,32.80M,,,348.70M,1.099B,1.840B,,1.927B,133.00M,2.10M,-79.10M,-105.10M,,1999-09,,
1999-06,33.30M,,33.30M,,,,738.80M,,,,915.10M,,,,87.50M,1.775B,,,,,,2.507B,-1.306B,1.201B,,441.50M,441.50M,,,288.80M,,1999-06,313.20M,,313.20M,,313.20M,,60.60M,60.60M,380.70M,754.50M,724.80M,724.80M,30.80M,30.80M,,,341.90M,1.098B,1.852B,,1.872B,132.20M,1.80M,,,,1999-06,,
1999-03,41.10M,,41.10M,,,,718.70M,,,,939.00M,,,,100.40M,1.799B,,,,,,2.487B,-1.300B,1.187B,,,,,,705.30M,,1999-03,268.20M,,268.20M,,268.20M,,172.80M,172.80M,359.00M,800.00M,733.50M,733.50M,37.00M,37.00M,,,337.20M,1.108B,1.908B,,1.798B,,,,,,1999-03,,
1998-12,39.90M,,39.90M,,,,661.30M,,,,1.012B,,,,108.20M,1.821B,,,,,,2.488B,-1.296B,1.191B,,,,,,709.00M,,1998-12,282.20M,,282.20M,,282.20M,,350.60M,350.60M,317.10M,949.90M,634.20M,634.20M,38.10M,38.10M,,,329.50M,1.002B,1.952B,,1.740B,,,,,,1998-12,,
1998-09,44.20M,,44.20M,,,,714.40M,,,,1.010B,,,,107.10M,1.876B,,,,,,2.440B,-1.263B,1.177B,,,,,,707.00M,,1998-09,285.60M,,285.60M,,285.60M,,355.20M,355.20M,370.00M,1.011B,639.00M,639.00M,37.80M,37.80M,,,331.40M,1.008B,2.019B,,1.693B,,,,,,1998-09,,
1998-06,30.50M,,30.50M,,,,699.20M,,,,944.30M,,,,106.10M,1.780B,,,,,,2.345B,-1.210B,1.135B,,399.70M,399.70M,,,209.80M,,1998-06,338.20M,,338.20M,,338.20M,,265.50M,265.50M,385.10M,988.80M,512.90M,512.90M,29.70M,29.70M,,,309.90M,852.50M,1.841B,,1.631B,,,,,,1998-06,,
