,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-06,368.90M,368.90M,247.10M,121.80M,57.50M,57.50M,9.90M,-0.30M,4.20M,0.50M,-3.70M,,67.40M,54.40M,0.50M,4.20M,-3.70M,-0.30M,-3.70M,50.40M,14.00M,37.60M,,,,37.60M,37.82M,77.70M,23.10M,54.60M,0.53,,,0.5331,0.53,0.52,,,0.523,0.52,70.80M,72.40M,0.1
2014-03,346.80M,346.80M,240.40M,106.40M,56.40M,56.40M,10.00M,-0.40M,4.00M,0.40M,-3.60M,-0.40M,66.00M,40.40M,0.40M,4.00M,-3.60M,-1.10M,-3.60M,35.70M,9.80M,27.10M,,,,27.10M,27.90M,61.50M,21.80M,39.70M,0.38,,,0.3913,0.38,0.38,,,0.391,0.38,70.60M,72.30M,0.1
2013-12,342.70M,342.70M,236.10M,106.60M,60.00M,60.00M,9.70M,-0.50M,3.90M,0.50M,-3.40M,-0.80M,68.90M,37.70M,0.50M,3.90M,-3.40M,-0.30M,-3.40M,33.50M,10.70M,23.60M,,,,23.60M,23.94M,59.50M,22.10M,37.40M,0.34,,,0.3448,0.34,0.33,,,0.3347,0.33,70.20M,72.90M,0.1
2013-09,341.80M,341.80M,236.30M,105.50M,56.10M,56.10M,9.60M,-0.30M,4.40M,0.40M,-4.00M,-0.40M,65.30M,40.20M,0.40M,4.40M,-4.00M,-0.50M,-4.00M,35.70M,10.60M,26.80M,,,,26.80M,27.15M,62.00M,21.90M,40.10M,0.38,,,0.385,0.38,0.37,,,0.3749,0.37,69.80M,71.40M,0.095
2013-06,344.50M,344.50M,233.60M,110.90M,59.70M,59.70M,9.50M,-0.20M,4.10M,0.40M,-3.70M,-0.50M,68.70M,42.20M,0.40M,4.10M,-3.70M,0.30M,-3.70M,38.80M,10.30M,30.20M,,,,30.20M,29.98M,63.60M,20.70M,42.90M,0.44,,,0.4368,0.44,0.43,,,0.4269,0.43,69.50M,70.80M,0.095
2013-03,339.40M,339.40M,227.70M,111.70M,59.10M,59.10M,9.10M,-0.20M,4.60M,0.60M,-4.00M,-0.30M,67.90M,43.80M,0.60M,4.60M,-4.00M,-0.70M,-4.00M,39.10M,8.60M,31.70M,,,,31.70M,32.25M,64.20M,20.50M,43.70M,0.46,,,0.4679,0.46,0.45,,,0.4578,0.45,69.00M,70.30M,0.095
2012-12,321.50M,321.50M,224.00M,97.50M,58.60M,58.60M,8.60M,-4.20M,3.50M,0.30M,-3.20M,,60.70M,36.80M,0.30M,3.50M,-3.20M,-5.30M,-3.20M,28.30M,7.20M,21.10M,,,,21.10M,24.23M,52.00M,20.20M,31.80M,0.31,,,0.3558,0.31,0.3,,,0.3445,0.3,68.40M,70.30M,0.095
2012-09,303.80M,303.80M,213.40M,90.40M,53.70M,53.70M,8.20M,-2.20M,4.40M,0.50M,-3.90M,,61.90M,28.50M,0.50M,4.40M,-3.90M,-2.20M,-3.90M,22.40M,9.00M,14.80M,,,,14.80M,16.12M,46.10M,19.30M,26.80M,0.22,,,0.2393,0.22,0.21,,,0.229,0.21,68.30M,69.40M,0.09
2012-06,324.80M,324.80M,226.10M,98.70M,54.40M,54.40M,8.20M,-12.10M,4.60M,0.60M,-4.00M,,62.60M,36.10M,0.60M,4.60M,-4.00M,-12.10M,-4.00M,20.00M,6.50M,15.60M,,,,15.60M,23.74M,43.40M,18.80M,24.60M,0.23,,,0.3498,0.23,0.225,,,0.3362,0.225,68.00M,73.20M,0.09
2012-03,316.30M,316.30M,215.20M,101.10M,51.30M,51.30M,8.30M,0.20M,4.30M,0.40M,-3.90M,,59.60M,41.50M,0.40M,4.30M,-3.90M,0.20M,-3.90M,37.80M,9.80M,29.20M,,,,29.20M,29.05M,60.70M,18.60M,42.10M,0.43,,,0.4278,0.43,0.405,,,0.403,0.405,67.80M,74.20M,0.09
2011-12,295.40M,295.40M,210.10M,85.30M,,48.40M,7.20M,-2.70M,4.40M,0.40M,-4.00M,,55.60M,29.70M,0.40M,4.40M,-4.00M,-2.70M,-4.00M,23.00M,5.60M,18.80M,,,,18.80M,20.84M,45.80M,18.40M,27.40M,0.275,,,0.3052,0.275,0.27,,,0.2976,0.27,67.60M,74.00M,0.09
2011-09,293.60M,293.60M,212.20M,81.40M,,45.70M,7.70M,-1.90M,4.50M,0.40M,-4.10M,,53.40M,28.00M,0.40M,4.50M,-4.10M,-1.90M,-4.10M,22.00M,6.60M,16.90M,,,,16.90M,18.23M,45.00M,18.50M,26.50M,0.25,0.0,,0.2697,0.25,0.245,0.0,,0.263,0.245,67.60M,74.00M,0.085
2011-06,307.90M,307.90M,223.30M,84.60M,,46.40M,7.30M,-3.10M,4.60M,0.30M,-4.30M,,53.70M,30.90M,0.30M,4.60M,-4.30M,-3.10M,-4.30M,23.50M,3.40M,20.10M,,,,20.10M,22.75M,47.40M,19.30M,28.10M,0.3,0.0,,0.3395,0.3,0.285,0.0,,0.3208,0.285,67.20M,74.00M,0.085
2011-03,295.40M,295.40M,207.40M,88.00M,,50.60M,6.90M,-1.70M,4.70M,0.20M,-4.50M,,57.50M,30.50M,0.20M,4.70M,-4.50M,-1.70M,-4.50M,24.30M,6.10M,19.60M,,,,19.60M,20.87M,48.50M,19.50M,29.00M,0.295,0.0,,0.3141,0.295,0.28,0.0,,0.2973,0.28,66.80M,73.60M,0.085
2010-12,276.80M,276.80M,198.80M,78.00M,,50.50M,6.90M,-14.70M,4.70M,0.30M,-4.40M,,57.40M,20.60M,0.30M,4.70M,-4.40M,-14.70M,-4.40M,1.50M,-3.70M,6.00M,,,,6.00M,15.56M,25.70M,19.50M,6.20M,0.09,,,0.2335,0.09,0.09,,,0.2202,0.09,66.60M,73.40M,0.085
2010-09,271.40M,271.40M,196.70M,74.70M,,44.90M,5.90M,1.40M,4.20M,0.10M,-4.10M,,50.80M,23.90M,0.10M,4.20M,-4.10M,1.40M,-4.10M,21.20M,4.50M,17.80M,,,,17.80M,16.70M,43.70M,18.30M,25.40M,0.265,0.0,,0.2485,0.265,0.255,0.0,,0.24,0.255,66.80M,73.40M,0.08
2010-06,281.80M,281.80M,198.60M,83.20M,,45.80M,5.70M,-1.20M,3.90M,0.10M,-3.80M,,51.50M,31.70M,0.10M,3.90M,-3.80M,-1.20M,-3.80M,-26.70M,6.60M,21.70M,,,,21.70M,22.48M,-5.10M,17.70M,-22.80M,0.325,0.0,,0.3367,0.325,0.31,0.0,,0.3206,0.31,66.60M,73.40M,0.08
2010-03,274.70M,274.70M,192.50M,82.20M,,46.60M,5.40M,-1.30M,4.00M,0.10M,-3.90M,,52.00M,30.20M,0.10M,4.00M,-3.90M,-1.30M,-3.90M,25.00M,6.20M,19.80M,,,,19.80M,20.78M,46.70M,17.70M,29.00M,0.3,0.0,,0.3148,0.3,0.285,0.0,,0.2984,0.285,66.20M,73.00M,0.08
2009-12,293.40M,293.40M,209.50M,83.90M,,45.40M,5.80M,-11.00M,4.10M,0.20M,-3.90M,,51.20M,32.70M,0.20M,4.10M,-3.90M,-11.00M,-3.90M,17.80M,-1.10M,20.30M,,,,20.30M,27.45M,40.20M,18.30M,21.90M,0.305,0.0,,0.414,0.305,0.295,0.0,,0.3935,0.295,65.60M,72.60M,0.08
2009-09,258.90M,258.90M,187.20M,71.70M,,44.30M,5.10M,3.60M,3.80M,0.30M,-3.50M,,49.40M,22.30M,0.30M,3.80M,-3.50M,3.60M,-3.50M,22.40M,6.00M,17.20M,,,,17.20M,14.56M,44.50M,18.30M,26.20M,0.26,0.0,,0.2199,0.26,0.25,0.0,,0.2138,0.25,65.80M,72.80M,0.075
2009-06,261.00M,261.00M,182.30M,78.70M,,45.10M,4.70M,-0.20M,3.50M,0.10M,-3.40M,,49.80M,28.90M,0.10M,3.50M,-3.40M,-0.20M,-3.40M,25.30M,6.10M,19.70M,,,,19.70M,19.85M,45.30M,16.50M,28.80M,0.3,0.0,,0.3023,0.3,0.285,0.0,,0.2871,0.285,65.60M,72.40M,0.075
2009-03,242.40M,242.40M,173.10M,69.30M,,42.90M,4.30M,-0.90M,3.90M,0.30M,-3.60M,,47.20M,22.10M,0.30M,3.90M,-3.60M,-0.90M,-3.60M,17.60M,2.50M,15.40M,,,,15.40M,16.17M,36.50M,15.00M,21.50M,0.235,0.0,,0.2468,0.235,0.23,0.0,,0.2407,0.23,65.40M,72.20M,0.075
2008-12,244.80M,244.80M,175.20M,69.60M,,36.80M,3.90M,-3.30M,3.40M,-0.70M,-4.10M,,40.70M,28.90M,-0.70M,3.40M,-4.10M,-3.30M,-4.10M,21.50M,3.70M,17.80M,,,-0.10M,17.70M,20.43M,40.10M,15.20M,24.90M,0.27,0.0,,0.3122,0.27,0.26,0.0,,0.2978,0.26,64.80M,72.20M,0.075
2008-09,256.20M,256.20M,190.20M,66.00M,,41.50M,4.60M,-2.00M,4.30M,0.40M,-3.90M,,46.10M,19.90M,0.40M,4.30M,-3.90M,-2.00M,-3.90M,14.00M,0.80M,13.50M,,,-0.20M,13.30M,15.19M,33.80M,15.50M,18.30M,0.205,0.0,,0.234,0.205,0.2,0.0,,0.226,0.2,65.00M,72.40M,0.07
2008-06,279.30M,279.30M,195.70M,83.60M,,40.90M,4.90M,4.80M,4.20M,0.70M,-3.50M,,45.80M,37.80M,0.70M,4.20M,-3.50M,4.80M,-3.50M,39.10M,10.80M,28.90M,,,-0.20M,28.70M,25.23M,58.50M,15.20M,43.30M,0.445,0.0,,0.3914,0.445,0.41,0.0,,0.3621,0.41,64.80M,72.60M,0.07
2008-03,270.70M,270.70M,187.20M,83.50M,,40.10M,5.40M,0.10M,4.10M,1.00M,-3.10M,,45.50M,38.00M,1.00M,4.10M,-3.10M,0.10M,-3.10M,35.00M,8.50M,26.40M,,,-0.20M,26.20M,26.12M,53.80M,14.70M,39.10M,0.405,0.0,,0.4038,0.405,0.38,0.0,,0.379,0.38,64.40M,72.20M,0.07
2007-12,256.10M,256.10M,185.60M,70.50M,,39.70M,4.60M,-18.60M,,,,,34.60M,35.90M,,,,-20.10M,,5.00M,-0.20M,6.00M,0.00,,,6.00M,18.09M,28.00M,14.40M,13.60M,0.1,-0.005,,0.2866,0.095,0.1,-0.005,,0.267,0.095,64.80M,72.40M,0.07
2007-09,242.70M,242.70M,178.40M,64.30M,,37.70M,4.10M,-9.60M,,,,9.60M,51.40M,12.90M,,,,-9.00M,,10.90M,-0.80M,12.20M,,,-0.10M,12.20M,18.44M,26.80M,13.90M,12.90M,0.185,0.0,,0.2804,0.185,0.18,0.0,,0.2648,0.18,65.40M,73.60M,0.065
2007-06,263.70M,263.70M,187.00M,76.70M,,38.20M,3.80M,0.20M,,,,-0.20M,41.80M,34.90M,,,,0.60M,,33.20M,7.00M,26.50M,-0.50M,,-0.10M,26.00M,26.34M,49.20M,14.30M,34.90M,0.4,-0.005,,0.3976,0.395,0.37,-0.005,,0.3679,0.365,65.80M,74.20M,0.065
2007-03,257.60M,257.60M,177.20M,80.40M,,37.00M,3.60M,-0.20M,,,,0.20M,40.80M,39.60M,,,,0.30M,,37.30M,11.20M,26.50M,,,-0.10M,26.50M,26.64M,53.60M,14.00M,39.60M,0.405,0.0,,0.4071,0.405,0.385,0.0,,0.387,0.385,65.40M,69.00M,0.065
2006-12,231.90M,231.90M,165.40M,66.50M,,41.70M,3.10M,-0.70M,,,,,40.60M,25.90M,,,,0.30M,,18.90M,5.20M,14.70M,0.30M,,0.00,15.00M,15.21M,39.60M,13.70M,25.90M,0.225,0.005,,0.2327,0.23,0.22,0.005,,0.2276,0.225,65.60M,67.20M,0.065
2006-09,218.40M,218.40M,158.90M,59.50M,,34.90M,2.90M,-2.00M,,,,2.00M,39.80M,19.70M,,,,-2.20M,,17.00M,4.90M,11.80M,1.50M,,-0.10M,13.30M,13.22M,32.90M,13.20M,19.70M,0.185,0.02,,0.2071,0.205,0.175,0.02,,0.1961,0.195,64.40M,67.60M,0.06
2006-06,240.20M,240.20M,169.70M,70.50M,,36.90M,,-1.50M,,,,1.50M,38.40M,32.10M,,,,-0.80M,,29.30M,9.20M,20.70M,,,-0.10M,20.70M,21.73M,45.10M,13.00M,32.10M,0.32,0.0,,0.336,0.32,0.31,0.0,,0.3253,0.31,64.15M,67.12M,0.06
2006-03,222.80M,222.80M,155.20M,67.60M,,36.30M,2.40M,-6.60M,,,,0.70M,39.40M,28.20M,,,,-6.10M,,19.30M,5.40M,14.30M,3.80M,,-0.10M,18.10M,19.05M,41.00M,12.80M,28.20M,0.225,0.06,,0.3,0.285,0.215,0.06,,0.2868,0.275,63.40M,66.20M,0.06
2005-12,195.70M,195.70M,140.00M,55.70M,,27.20M,,-0.40M,,,,,33.90M,21.80M,,,,0.10M,,16.70M,3.50M,13.60M,-1.10M,,,12.50M,13.92M,35.40M,13.60M,21.80M,0.215,-0.02,,0.22,0.195,0.205,-0.02,,0.2098,0.185,62.87M,65.59M,0.06
2005-09,181.60M,181.60M,137.80M,43.80M,,30.70M,,0.10M,,,,,30.70M,13.10M,,,,0.70M,,9.50M,3.00M,7.10M,0.70M,,,7.80M,7.032M,26.10M,13.00M,13.10M,0.115,0.01,,0.1139,0.125,0.11,0.01,,0.109,0.12,62.67M,65.55M,0.055
2005-06,173.00M,173.00M,122.40M,50.60M,,31.90M,,1.20M,,,,0.20M,32.10M,18.50M,,,,1.90M,,17.00M,5.50M,12.20M,0.60M,,,12.80M,11.39M,29.30M,10.80M,18.50M,0.195,0.01,,0.1819,0.205,0.19,0.01,,0.1774,0.2,61.96M,64.31M,0.055
2005-03,149.50M,149.50M,103.10M,46.40M,,25.20M,,-1.10M,,,,1.10M,26.30M,20.10M,,,,-0.50M,,18.10M,5.70M,13.00M,0.30M,,,13.30M,13.75M,30.10M,10.00M,20.10M,0.21,0.005,,0.2223,0.215,0.205,0.005,,0.2169,0.21,61.29M,63.55M,0.055
2004-12,141.90M,141.90M,102.60M,39.30M,,28.00M,,-1.30M,,,,0.30M,28.30M,11.00M,,,,-1.00M,,8.40M,0.60M,8.10M,-6.90M,,,1.20M,9.307M,19.90M,8.90M,11.00M,0.13,-0.115,,0.1498,0.25,0.125,-0.115,,0.1445,0.245,60.92M,62.05M,0.055
2004-09,133.10M,133.10M,97.20M,35.90M,,25.80M,,-0.10M,,,,0.10M,25.90M,10.00M,,,,1.10M,,8.10M,2.50M,6.80M,-2.50M,,,4.30M,6.869M,18.20M,8.20M,10.00M,0.115,-0.045,,0.1161,0.07,0.11,-0.045,,0.1111,0.07,60.34M,62.54M,0.0525
2004-06,136.10M,136.10M,93.70M,42.40M,,26.30M,,-0.30M,,,,0.30M,26.60M,15.80M,,,,0.60M,,14.10M,4.50M,10.50M,-2.80M,,,7.70M,10.70M,24.10M,8.30M,15.80M,0.175,-0.045,,0.1784,0.13,0.17,-0.045,,0.1733,0.125,59.84M,61.41M,0.0525
2004-03,130.40M,130.40M,90.90M,39.50M,,25.10M,,-0.80M,,,,0.80M,25.90M,13.60M,,,,0.20M,,11.70M,3.80M,8.90M,-1.90M,,,7.00M,9.440M,21.40M,7.80M,13.60M,0.15,-0.03,,0.1592,0.12,0.15,-0.035,,0.159,0.115,58.89M,60.27M,0.0525
2003-12,119.10M,119.10M,79.30M,39.80M,,12.10M,,20.10M,,,,-27.10M,-15.00M,54.80M,,,,19.80M,,44.00M,17.50M,28.10M,,,,17.10M,15.99M,61.60M,6.80M,54.80M,0.49,-0.1897,,0.2817,0.49,0.49,-0.1897,,0.2842,0.49,58.12M,58.84M,0.0525
2003-09,120.10M,120.10M,84.30M,35.80M,,27.80M,,-1.10M,,,,1.10M,28.90M,6.90M,,,,-0.40M,,5.60M,1.50M,4.10M,,,,4.10M,4.905M,14.70M,7.80M,6.90M,0.07,0.0,,0.0839,0.07,0.07,0.0,,0.0838,0.07,58.02M,58.40M,0.05
2003-06,126.40M,126.40M,85.00M,41.40M,,26.80M,,-3.80M,,,,3.80M,30.60M,10.80M,,,,-3.10M,,9.10M,2.90M,6.90M,,,,6.90M,9.489M,19.30M,8.50M,10.80M,0.12,0.0,,0.1647,0.12,0.12,0.0,,0.1647,0.12,57.93M,57.93M,0.05
