,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-03,258.00M,,,-46.00M,,,,313.00M,115.00M,,,,2.00M,347.00M,-43.00M,,-206.00M,-105.00M,-177.00M,154.00M,-30.00M,-4.00M,608.00M,-553.00M,43.00M,-510.00M,-18.00M,-45.00M,-18.00M,-591.00M,,,-33.00M,217.00M,-77.00M,140.00M,,,,,-129.00M,,9.00M,-13.00M,1.893B,4.00M,,1.897B,217.00M,,,-77.00M,,
2005-12,298.00M,,,-272.00M,,,,291.00M,429.00M,,,,2.00M,259.00M,326.00M,,189.00M,-429.00M,-548.00M,-32.00M,-235.00M,-30.00M,483.00M,-531.00M,-114.00M,-645.00M,,-183.00M,-61.00M,-889.00M,,,-26.00M,6.00M,-37.00M,-31.00M,,,,,-134.00M,,-88.00M,-279.00M,2.577B,-685.00M,1.00M,1.895B,6.00M,,,-37.00M,,
2005-09,434.00M,,,291.00M,,,,303.00M,-114.00M,,,,-2.00M,-312.00M,-396.00M,,241.00M,410.00M,497.00M,-486.00M,-46.00M,30.00M,896.00M,-528.00M,124.00M,-404.00M,,0.00,15.00M,-389.00M,,,-158.00M,224.00M,-55.00M,169.00M,,,,,-145.00M,,86.00M,-48.00M,2.121B,459.00M,-3.00M,2.577B,224.00M,,,-55.00M,-47.00M,-377.00M
2005-06,181.00M,,,-129.00M,,,,293.00M,-189.00M,,,,,-282.00M,270.00M,,0.00,-69.00M,-76.00M,495.00M,338.00M,25.00M,519.00M,-432.00M,,-432.00M,,0.00,-18.00M,-450.00M,,,-380.00M,426.00M,-203.00M,223.00M,,,,,-111.00M,,-48.00M,-316.00M,2.366B,-247.00M,2.00M,2.121B,426.00M,,,-203.00M,47.00M,377.00M
2005-03,194.00M,,,46.00M,,,,281.00M,34.00M,,,,,14.00M,-271.00M,,-97.00M,-294.00M,352.00M,59.00M,-237.00M,-3.00M,315.00M,-377.00M,,-377.00M,,140.00M,190.00M,-47.00M,,,-428.00M,20.00M,-35.00M,-15.00M,,,,,-110.00M,,-38.00M,-591.00M,2.689B,-323.00M,,2.366B,20.00M,,,-35.00M,,
2004-12,259.00M,,,90.00M,,,,286.00M,697.00M,,,,83.00M,310.00M,-49.00M,,-325.00M,672.00M,-801.00M,-251.00M,-444.00M,-570.00M,401.00M,-572.00M,-739.00M,-1.311B,0.00,-107.00M,2.62B,1.202B,,,-1.669B,16.00M,-61.00M,-45.00M,,,,,-122.00M,,350.00M,-1.486B,2.571B,117.00M,,2.689B,16.00M,,,-61.00M,,
2004-09,314.00M,,,132.00M,,,,263.00M,20.00M,,,,-2.00M,-65.00M,94.00M,,410.00M,-535.00M,366.00M,10.00M,280.00M,10.00M,1.017B,-412.00M,739.00M,327.00M,0.00,-13.00M,36.00M,350.00M,,,-1.169B,17.00M,-27.00M,-10.00M,,,,,-130.00M,,-36.00M,-1.345B,2.596B,22.00M,-47.00M,2.571B,17.00M,,,-27.00M,,
2004-06,-398.00M,,,118.00M,,,,292.00M,-295.00M,,,,3.00M,-244.00M,-108.00M,,-57.00M,-151.00M,137.00M,13.00M,-410.00M,34.00M,-656.00M,-419.00M,0.00,-419.00M,0.00,33.00M,-18.00M,-404.00M,,,952.00M,10.00M,-13.00M,-3.00M,,,,,-90.00M,,62.00M,921.00M,2.688B,-139.00M,47.00M,2.596B,10.00M,,,-13.00M,,
2004-03,51.00M,,,3.00M,,,,279.00M,135.00M,,,,47.00M,46.00M,36.00M,,-80.00M,-308.00M,195.00M,-45.00M,-156.00M,7.00M,366.00M,-330.00M,118.00M,-212.00M,-285.00M,,-11.00M,-508.00M,,,748.00M,5.00M,-10.00M,-5.00M,,,,,-65.00M,,-26.00M,652.00M,2.178B,510.00M,,2.688B,5.00M,,,-10.00M,,
2003-12,138.00M,,,78.00M,,,,348.00M,128.00M,,,,69.00M,186.00M,,,-437.00M,13.44B,-13.61B,-191.00M,-450.00M,-77.00M,234.00M,-344.00M,,-301.00M,,-5.00M,-2.00M,-308.00M,,,-984.00M,,-24.00M,-19.00M,,,,,,,,-1.003B,3.247B,-1.077B,9.00M,2.179B,,,,-24.00M,,
2003-09,432.00M,,,279.00M,,,,214.00M,63.00M,,,,241.00M,6.00M,,,133.00M,-44.00M,213.00M,-138.00M,170.00M,9.00M,1.408B,-271.00M,,-271.00M,,256.00M,79.00M,64.00M,,,-599.00M,,-1.00M,-1.00M,,,,,9.00M,,,-591.00M,2.381B,881.00M,-15.00M,3.247B,,,,-1.00M,,
2003-06,19.00M,,,172.00M,,,,278.00M,-113.00M,,,,34.00M,-266.00M,,,-59.00M,-52.00M,579.00M,62.00M,264.00M,8.00M,662.00M,-296.00M,,-296.00M,,-256.00M,254.00M,-298.00M,,,-319.00M,,0.00,0.00,,,,,-9.00M,,,-328.00M,2.333B,36.00M,12.00M,2.381B,,,,0.00,,
2003-03,57.00M,,,-136.00M,,,,315.00M,28.00M,,,,31.00M,41.00M,,,252.00M,53.00M,,56.00M,402.00M,-17.00M,680.00M,-323.00M,,-323.00M,,,-308.00M,-631.00M,,,-186.00M,,-5.00M,-5.00M,,,,,,,,-191.00M,2.468B,-142.00M,7.00M,2.333B,,,,-5.00M,,
2002-12,56.00M,,,949.00M,,,,301.00M,-31.00M,,,,-345.00M,478.00M,-5.00M,,-254.00M,-351.00M,,-246.00M,39.00M,,969.00M,-390.00M,3.00M,-387.00M,,-352.00M,195.00M,-544.00M,,,-479.00M,,0.00,0.00,,,,,,,-5.00M,-521.00M,2.552B,-96.00M,13.00M,2.468B,,,,0.00,,
2002-09,345.00M,,,718.00M,,,,286.00M,262.00M,,,,168.00M,-187.00M,-4.00M,,-16.00M,-27.00M,,172.00M,-62.00M,-15.00M,1.702B,-572.00M,10.00M,-562.00M,,280.00M,-14.00M,-296.00M,,,-538.00M,,0.00,0.00,,,,,,,126.00M,-412.00M,1.567B,994.00M,-9.00M,2.552B,,,,0.00,,
2002-06,655.00M,,,-347.00M,,,,288.00M,68.00M,,,,37.00M,-252.00M,0.00,,28.00M,-88.00M,,175.00M,-137.00M,16.00M,580.00M,-278.00M,0.00,-278.00M,,72.00M,-50.00M,-256.00M,,,-366.00M,,-100.00M,-100.00M,,,,,,,-196.00M,-662.00M,1.867B,-338.00M,21.00M,1.567B,,,,-100.00M,,
2002-03,79.00M,,,558.00M,,,,268.00M,-139.00M,,,,140.00M,154.00M,-2.00M,,-2.482B,73.00M,,422.00M,-1.835B,-1.00M,-930.00M,-350.00M,49.00M,-301.00M,,,68.00M,-233.00M,,,-1.194B,,,,,,,,,,188.00M,-1.006B,4.038B,-2.169B,-2.00M,1.867B,,,,,,
2001-12,2.172B,,,-2.898B,,,,303.00M,1.599B,,,,-219.00M,118.00M,-7.00M,,-143.00M,-232.00M,148.00M,-135.00M,-251.00M,72.00M,778.00M,-235.00M,795.00M,560.00M,,301.00M,465.00M,1.326B,,,-1.144B,9.00M,0.00,9.00M,,,,,,,-949.00M,-2.084B,4.03B,20.00M,4.00M,4.054B,9.00M,,,0.00,,
2001-09,801.00M,,,-367.00M,,,,269.00M,297.00M,,,,160.00M,-246.00M,-4.00M,,228.00M,-90.00M,-61.00M,329.00M,156.00M,-57.00M,1.259B,-236.00M,65.00M,-171.00M,,-329.00M,198.00M,-302.00M,,,-104.00M,81.00M,-164.00M,-83.00M,,,,,,,2.00M,-185.00M,3.229B,772.00M,29.00M,4.03B,81.00M,,,-164.00M,,
2001-06,46.00M,,,-98.00M,,,,213.00M,243.00M,,,,24.00M,80.00M,1.00M,,-216.00M,180.00M,-70.00M,-316.00M,-341.00M,-44.00M,43.00M,-203.00M,149.00M,-54.00M,,28.00M,-129.00M,-155.00M,,,201.00M,14.00M,,14.00M,,,,,,,205.00M,420.00M,2.934B,308.00M,-13.00M,3.229B,14.00M,,,,,
2001-03,-617.00M,,,-300.00M,,,,280.00M,-231.00M,,,,35.00M,1.00M,-6.00M,,1.682B,67.00M,72.00M,-118.00M,1.698B,29.00M,894.00M,-259.00M,23.00M,-236.00M,,,68.00M,-168.00M,,,749.00M,,,,,,,,,,-457.00M,292.00M,1.973B,1.018B,-57.00M,2.934B,,,,,,
2000-12,-2.546B,,,3.822B,,,,304.05M,-1.534B,,,,,252.90M,9.076M,,18.76M,-677.37M,110.64M,194.87M,-91.12M,,-44.66M,-403.93M,20.84M,-383.09M,,58.00M,109.92M,-262.17M,,,1.226B,,-125.20M,-125.20M,,,,,-91.37M,,225.38M,1.234B,1.076B,927.48M,-32.00M,1.973B,,,,-125.20M,,
2000-09,359.86M,,,-1.790B,,,,576.95M,445.63M,,,,,-187.90M,13.92M,,519.24M,458.37M,68.36M,-159.87M,712.12M,,304.66M,-363.07M,1.681B,1.318B,,,-736.92M,581.17M,,,-378.51M,,0.201M,0.201M,,,,,-91.63M,,-204.38M,-674.32M,864.00M,211.52M,,1.076B,,,,0.201M,,
2000-06,137.00M,,,-546.00M,,,,534.00M,4.00M,,,,1.00M,-223.00M,-1.00M,,274.00M,279.00M,28.00M,82.00M,439.00M,,569.00M,-390.00M,25.00M,-365.00M,,-17.00M,-192.00M,-574.00M,,,286.00M,,-239.00M,-239.00M,,,,,-94.00M,,-7.00M,-54.00M,917.00M,-59.00M,6.00M,864.00M,,,,-239.00M,,
2000-03,110.00M,,,-290.00M,,,,537.00M,4.00M,,,,-1.00M,-1.00M,8.00M,,-15.00M,116.00M,39.00M,68.00M,215.00M,,575.00M,-331.00M,,-331.00M,,17.00M,-96.00M,-410.00M,,,506.00M,,-147.00M,-147.00M,,,,,-94.00M,,-14.00M,251.00M,507.00M,416.00M,-6.00M,917.00M,,,,-147.00M,,
1999-12,96.10M,,,-760.50M,,,,498.10M,268.50M,,,,-0.20M,187.40M,-1.30M,,-145.70M,204.20M,96.00M,-259.80M,80.80M,,182.80M,-3.044B,91.80M,-2.952B,,,-108.20M,-4.208B,,,3.062B,-761.00M,0.00,-761.00M,,,,,-94.00M,,1.110B,3.317B,1.219B,-708.10M,,508.00M,-761.00M,,,0.00,,
1999-09,255.30M,,,-974.10M,,,,512.90M,24.90M,,,,0.20M,-288.70M,-2.10M,,577.60M,468.00M,59.70M,277.00M,1.092B,,910.70M,-2.544B,2.20M,-2.542B,,,-117.40M,-2.659B,,,1.578B,558.80M,0.10M,558.90M,,,,,-93.70M,,-13.90M,2.029B,937.90M,280.70M,,1.219B,558.80M,,,0.10M,,
1999-06,128.39M,,,-71.30M,,,,451.70M,87.30M,,,,-0.089M,-26.90M,2.70M,,36.90M,-106.40M,28.20M,-57.40M,-122.90M,,473.10M,-306.50M,7.20M,-299.30M,,,-787.90M,-1.087B,,,833.00M,202.20M,-0.10M,202.10M,,,,,-93.80M,,0.10M,941.40M,610.60M,327.30M,,937.90M,202.20M,,,-0.10M,,
1999-03,143.21M,,,-84.10M,,,,444.30M,144.30M,,,,0.089M,53.20M,-4.30M,,57.20M,-277.80M,29.10M,-34.80M,-177.40M,,470.40M,-2.064B,13.80M,-2.050B,,,-26.50M,-2.076B,,,1.826B,,-92.00M,-92.00M,,,,,-91.50M,,-8.90M,1.633B,583.60M,27.10M,,610.60M,,,,-92.00M,,
1998-12,162.40M,,,-71.10M,,,,,177.80M,,,,464.20M,116.20M,4.90M,,-250.40M,-208.30M,67.90M,-195.00M,-464.70M,,268.60M,-340.40M,14.80M,-325.60M,,,-379.90M,-705.50M,,,-51.40M,,-60.00M,-60.00M,,,,,-92.10M,,28.00M,-175.50M,1.196B,-612.40M,,584.00M,,,,-60.00M,,
1998-09,216.30M,,,-512.20M,,,,,165.40M,,,,402.30M,-227.90M,-4.30M,,380.20M,-110.30M,46.60M,85.00M,169.30M,,441.10M,-224.30M,51.10M,-173.20M,,,-476.70M,-649.90M,,,-97.70M,,-68.40M,-68.40M,,,,,-92.40M,,7.40M,-251.10M,1.656B,-459.90M,,1.196B,,,,-68.40M,,
1998-06,145.30M,,,-829.00M,,,,,-213.20M,,,,452.00M,-299.20M,17.10M,,261.90M,467.80M,33.00M,223.40M,704.00M,,259.10M,-199.30M,1.115B,915.90M,,,-48.70M,867.20M,,,-329.40M,,-396.30M,-396.30M,,,,,-95.20M,,-10.20M,-831.10M,1.361B,295.20M,,1.656B,,,,-396.30M,,
