,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-12,,6.081B,17.18B,,17.18B,3.251B,2.589B,6.785B,,12.62B,900.00M,1.553B,,38.34B,0.00,688.00M,6.928B,16.79B,5.365B,1.542B,31.32B,-14.24B,17.08B,6.956B,3.596B,10.55B,272.00M,16.32B,594.00M,1.745B,46.56B,84.90B,,6.56B,382.00M,6.942B,5.115B,12.06B,1.177B,2.502B,7.352B,11.03B,11.03B,2.36B,2.36B,,1.849B,27.30B,26.62B,97.00M,26.72B,,,6.973B,67.00M,,3.029B,36.72B,64.02B,,4.709B,31.85B,11.85B,,,,-3.898B,20.81B,,AOR,Restated
2013-09,,6.357B,17.81B,,17.81B,3.422B,2.749B,7.221B,,13.39B,988.00M,1.541B,,40.09B,,,,,,,,,16.59B,6.968B,3.718B,10.69B,278.00M,15.91B,1.985B,1.733B,47.18B,87.27B,,6.28B,,6.28B,4.764B,11.04B,,,13.52B,13.52B,13.52B,2.699B,2.699B,,1.854B,29.12B,26.02B,,26.02B,,,10.78B,67.00M,,3.176B,39.98B,69.10B,,4.657B,31.61B,11.91B,,,,-6.247B,18.11B,,AOR,Restated
2013-06,,6.11B,18.34B,,18.34B,3.586B,2.606B,7.697B,,13.89B,924.00M,1.54B,,40.80B,,,,,,,,,16.35B,6.814B,3.764B,10.58B,288.00M,15.47B,2.153B,1.729B,46.57B,87.38B,,6.343B,388.00M,6.731B,4.797B,11.53B,,,13.87B,13.87B,13.87B,2.738B,2.738B,,1.782B,29.92B,25.68B,,25.68B,,,10.87B,57.00M,,3.232B,39.78B,69.70B,,4.591B,30.67B,10.94B,,,,-6.698B,17.62B,,AOR,Restated
2013-03,,5.982B,18.67B,,18.67B,3.823B,2.906B,8.345B,,15.07B,930.00M,1.486B,,42.14B,,,,,,,,,16.28B,6.84B,3.875B,10.72B,270.00M,15.49B,2.112B,1.734B,46.60B,88.74B,,6.221B,,6.221B,4.722B,10.94B,,,13.25B,13.25B,13.25B,2.92B,2.92B,,1.865B,28.97B,27.24B,,27.24B,,,11.00B,44.00M,,3.212B,41.45B,70.42B,,4.51B,30.44B,10.00B,,,,-6.669B,18.27B,,AOR,Restated
2012-12,,5.49B,18.57B,,18.57B,3.86B,2.92B,8.767B,,15.55B,988.00M,1.547B,,42.14B,0.00,723.00M,6.214B,16.07B,4.658B,2.264B,29.93B,-13.47B,16.46B,6.942B,4.016B,10.96B,272.00M,15.34B,2.011B,1.785B,46.83B,88.97B,,6.753B,0.00,6.753B,5.578B,12.33B,1.633B,3.654B,7.104B,12.39B,12.39B,2.638B,2.638B,,2.055B,29.42B,27.68B,73.00M,27.75B,,,11.08B,50.00M,,3.136B,41.97B,71.39B,,4.481B,29.56B,10.07B,,,,-6.433B,17.53B,,AOR,Restated
2012-09,5.689B,5.689B,18.68B,,18.68B,4.287B,3.488B,9.775B,,17.55B,1.088B,1.633B,,44.64B,,,,,,,,,15.51B,7.372B,4.166B,11.54B,199.00M,14.58B,1.873B,2.205B,45.90B,90.54B,,7.978B,0.00,7.978B,3.568B,11.55B,,,,13.33B,13.33B,3.035B,3.035B,,2.075B,31.75B,26.53B,,26.53B,,,10.71B,52.00M,,3.625B,40.86B,72.60B,,4.449B,29.54B,10.12B,,,,-5.988B,17.88B,,AOR,Restated
2012-06,5.103B,5.103B,18.83B,,18.83B,4.411B,3.504B,9.429B,,17.34B,1.336B,1.685B,,44.29B,,,,,,,,,14.93B,7.32B,4.236B,11.56B,124.00M,13.76B,2.032B,2.146B,44.54B,88.84B,,8.47B,339.00M,8.809B,3.532B,12.34B,,,,12.06B,12.06B,3.132B,3.132B,,2.117B,31.27B,27.26B,,27.26B,,,10.63B,55.00M,,3.697B,41.58B,72.86B,,4.373B,27.84B,10.14B,,,,-6.15B,15.93B,,AOR,Restated
2012-03,2.864B,2.864B,,,18.30B,4.359B,3.345B,8.807B,,16.51B,1.032B,1.501B,,40.21B,,,,,,,,,14.57B,7.081B,4.287B,11.37B,139.00M,13.33B,2.082B,2.208B,43.70B,83.91B,,8.36B,0.00,8.36B,3.427B,11.79B,,,,10.76B,10.76B,2.921B,2.921B,,2.006B,28.85B,25.19B,,25.19B,,,10.82B,502.00M,,3.582B,39.59B,68.44B,,4.351B,26.82B,10.16B,,,,-6.033B,14.97B,,AOR,Restated
2011-12,,3.057B,17.72B,,17.72B,4.023B,2.959B,7.562B,,14.54B,994.00M,1.58B,,37.90B,0.00,753.00M,5.857B,14.44B,4.285B,1.996B,27.33B,-12.93B,14.40B,7.08B,4.368B,11.45B,133.00M,13.08B,2.157B,2.107B,43.32B,81.22B,,8.161B,298.00M,8.459B,5.796B,14.26B,1.17B,2.818B,5.66B,9.648B,9.648B,2.487B,2.487B,,1.967B,28.36B,24.90B,46.00M,24.94B,,,10.96B,46.00M,473.00M,3.559B,39.93B,68.29B,,4.273B,25.22B,10.28B,,,,-6.328B,12.88B,,AOR,Restated
2011-09,3.229B,3.229B,17.31B,,17.31B,3.918B,3.02B,7.474B,,14.41B,795.00M,1.122B,,36.86B,,,,,,,,,13.40B,7.778B,4.529B,12.31B,121.00M,12.73B,806.00M,1.544B,40.90B,77.77B,,7.524B,0.00,7.524B,3.186B,10.71B,,,,7.508B,7.508B,2.745B,2.745B,,2.193B,25.22B,26.78B,,26.78B,,,7.494B,542.00M,,3.57B,37.84B,63.06B,,4.229B,24.25B,10.30B,,,,-4.019B,14.16B,,AOR,Restated
2011-06,10.72B,10.72B,17.03B,,17.03B,3.511B,1.911B,5.937B,,11.36B,669.00M,979.00M,,40.76B,,,,,,,,,12.43B,2.61B,775.00M,3.385B,123.00M,12.96B,2.387B,1.567B,32.86B,73.61B,,6.858B,297.00M,7.155B,2.85B,10.00B,,,,8.456B,8.456B,1.823B,1.823B,,1.629B,23.51B,25.93B,,25.93B,,,7.438B,505.00M,,2.841B,36.20B,59.72B,,4.165B,23.08B,10.31B,,,,-3.544B,13.39B,,AOR,Restated
2011-03,4.869B,4.869B,,,17.29B,3.308B,1.74B,5.628B,,10.68B,880.00M,895.00M,,34.61B,,,,,,,,,12.22B,2.608B,794.00M,3.402B,140.00M,12.06B,2.412B,1.546B,31.78B,66.39B,,5.99B,0.00,5.99B,2.863B,8.853B,,,,9.691B,9.691B,1.728B,1.728B,,1.625B,23.15B,19.90B,,19.90B,,,7.514B,502.00M,,2.70B,30.11B,53.26B,,4.044B,22.64B,10.33B,,,,-3.724B,12.63B,,AOR,Restated
2010-12,,3.592B,16.79B,,16.79B,3.006B,1.483B,5.098B,,9.587B,908.00M,931.00M,,31.81B,0.00,682.00M,5.174B,13.41B,4.444B,1.192B,24.91B,-12.37B,12.54B,2.614B,805.00M,3.419B,164.00M,12.06B,2.493B,1.538B,32.21B,64.02B,,5.856B,281.00M,6.137B,4.55B,10.69B,1.346B,2.71B,3.925B,7.981B,7.981B,1.831B,1.831B,,1.521B,22.02B,20.36B,81.00M,20.44B,,,7.584B,40.00M,461.00M,2.654B,31.14B,53.16B,,3.888B,21.38B,10.40B,,,,-4.051B,10.82B,,AOR,Restated
2010-09,2.265B,2.265B,7.395B,7.933B,15.33B,2.791B,1.361B,4.854B,,9.006B,971.00M,1.007B,,28.58B,,,,,,,,,12.06B,2.634B,824.00M,3.458B,160.00M,12.92B,2.909B,1.551B,33.06B,61.64B,,4.97B,0.00,4.97B,4.104B,9.074B,,,,8.271B,8.271B,1.47B,1.47B,,1.363B,20.18B,20.34B,,20.34B,,,8.117B,495.00M,,2.678B,31.13B,51.31B,,3.757B,20.96B,10.46B,,,,-4.412B,9.837B,,AOR,Restated
2010-06,3.597B,3.597B,6.348B,8.086B,14.43B,,,,,7.339B,965.00M,1.041B,,27.38B,,,,,,,,,11.76B,2.292B,485.00M,2.777B,154.00M,12.74B,2.464B,1.524B,31.42B,58.79B,,3.975B,277.00M,4.252B,3.083B,7.335B,,,,8.927B,8.927B,1.404B,1.404B,,936.00M,19.78B,20.23B,,20.23B,,,6.977B,519.00M,,2.102B,29.30B,49.09B,,3.636B,20.13B,10.54B,,,,-4.045B,9.185B,,AOR,Restated
2010-03,3.538B,3.538B,6.068B,8.123B,14.19B,2.355B,795.00M,3.84B,,6.99B,540.00M,1.153B,,26.41B,,,,,,,,,12.06B,2.284B,488.00M,2.772B,133.00M,12.88B,2.558B,2.025B,32.42B,58.84B,,3.431B,0.00,3.431B,4.116B,7.547B,,,,8.622B,8.622B,,,,2.248B,18.42B,21.55B,,21.55B,,,7.281B,80.00M,,2.568B,31.40B,49.81B,,3.482B,19.94B,10.60B,,,,-3.886B,8.942B,,AOR,Restated
2009-12,4.867B,4.867B,,,13.91B,2.239B,656.00M,3.465B,,6.36B,862.00M,1.216B,,27.22B,0.00,639.00M,4.914B,17.63B,,1.034B,24.22B,-11.84B,12.39B,2.269B,465.00M,2.734B,105.00M,13.25B,2.714B,1.632B,32.82B,60.04B,,2.993B,262.00M,3.255B,2.641B,5.896B,,,,9.784B,9.784B,1.217B,1.217B,,1.281B,18.98B,21.85B,,21.85B,,,7.42B,560.00M,,2.496B,31.76B,50.74B,,3.439B,19.71B,10.65B,,,,-3.764B,8.74B,,AOR,Restated
2009-09,4.188B,4.188B,5.733B,7.791B,13.52B,2.416B,865.00M,3.534B,,6.815B,448.00M,1.248B,,26.22B,,,,,,,,,12.25B,2.272B,474.00M,2.746B,101.00M,14.11B,3.298B,2.113B,34.62B,60.84B,,2.714B,0.00,2.714B,4.121B,6.835B,,,,9.047B,9.047B,,,,2.075B,17.96B,23.07B,,23.07B,,,9.039B,106.00M,,2.691B,34.80B,52.76B,,3.392B,20.03B,10.70B,,,,-4.74B,7.976B,,AOR,Restated
2009-06,3.991B,3.991B,6.534B,8.11B,14.64B,,,,,7.16B,441.00M,1.147B,,27.38B,,,,,,,,,12.23B,2.264B,485.00M,2.749B,92.00M,14.30B,3.27B,2.067B,34.71B,62.09B,,2.682B,261.00M,2.943B,3.611B,6.554B,,,,9.738B,9.738B,1.546B,1.546B,,857.00M,19.49B,23.56B,,23.56B,,,8.92B,581.00M,,2.268B,34.75B,54.24B,,3.347B,19.58B,10.74B,,,,-4.906B,7.275B,,AOR,Restated
