,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.072B,,1.072B,751.00M,222.00M,973.00M,245.00M,,189.00M,2.479B,42.47B,,,,,42.47B,-12.08B,30.40B,3.02B,267.00M,33.68B,36.16B,1.217B,217.00M,,1.434B,,1.434B,,650.00M,,650.00M,304.00M,2.388B,9.637B,,9.637B,6.367B,,6.367B,,,1.352B,17.36B,19.74B,284.00M,14.33B,2.255B,,-448.00M,16.42B
2017-12,690.00M,,690.00M,703.00M,252.00M,955.00M,222.00M,,282.00M,2.149B,474.00M,2.342B,1.614B,28.20B,694.00M,42.24B,-11.91B,30.33B,2.981B,251.00M,33.56B,35.71B,822.00M,211.00M,113.00M,1.292B,115.00M,1.407B,,700.00M,,700.00M,421.00M,2.545B,9.136B,,9.136B,6.324B,280.00M,6.717B,605.00M,,349.00M,16.81B,19.35B,285.00M,14.18B,2.254B,,-356.00M,16.36B
2017-09,724.00M,,724.00M,973.00M,,973.00M,245.00M,,57.00M,1.999B,42.15B,,,,,42.15B,-11.99B,30.16B,2.888B,103.00M,33.15B,35.15B,1.287B,206.00M,,1.493B,,1.493B,,600.00M,,600.00M,320.00M,2.413B,9.28B,,9.28B,9.367B,,9.367B,,,1.366B,20.01B,22.43B,288.00M,10.66B,2.249B,,-475.00M,12.73B
2017-06,642.00M,,642.00M,926.00M,,926.00M,289.00M,,79.00M,1.936B,42.02B,,,,,42.02B,-11.98B,30.03B,2.848B,105.00M,32.99B,34.92B,1.223B,268.00M,,1.491B,,1.491B,,600.00M,,600.00M,252.00M,2.343B,9.273B,,9.273B,9.259B,,9.259B,,,1.385B,19.92B,22.26B,290.00M,10.62B,2.228B,,-480.00M,12.66B
2017-03,955.00M,,955.00M,998.00M,,998.00M,281.00M,,93.00M,2.327B,41.80B,,,,,41.80B,-11.87B,29.93B,2.809B,82.00M,32.82B,35.14B,1.211B,379.00M,,1.59B,,1.59B,,550.00M,,550.00M,303.00M,2.443B,9.569B,,9.569B,9.199B,,9.199B,,,1.407B,20.18B,22.62B,291.00M,10.49B,2.228B,,-485.00M,12.53B
2016-12,956.00M,,956.00M,945.00M,,945.00M,257.00M,,133.00M,2.291B,475.00M,2.33B,1.524B,27.30B,959.00M,41.49B,-11.74B,29.75B,2.777B,73.00M,32.60B,34.89B,650.00M,245.00M,110.00M,1.134B,119.00M,1.253B,,650.00M,,650.00M,420.00M,2.339B,9.562B,,9.562B,9.14B,280.00M,9.532B,679.00M,,371.00M,20.14B,22.48B,292.00M,10.42B,2.179B,,-487.00M,12.41B
2016-09,984.00M,,984.00M,960.00M,,960.00M,301.00M,,72.00M,2.317B,41.13B,,,,,41.13B,-11.66B,29.47B,2.779B,69.00M,32.32B,34.63B,1.131B,218.00M,,1.349B,,1.349B,,550.00M,,550.00M,333.00M,2.232B,9.555B,,9.555B,9.127B,,9.127B,,,1.322B,20.00B,22.24B,293.00M,10.37B,2.169B,,-433.00M,12.40B
2016-06,866.00M,,866.00M,985.00M,,985.00M,306.00M,,82.00M,2.239B,40.97B,,,,,40.97B,-11.59B,29.39B,2.639B,69.00M,32.10B,34.33B,1.085B,205.00M,,1.29B,,1.29B,,550.00M,,550.00M,267.00M,2.107B,9.549B,,9.549B,9.047B,,9.047B,,,1.358B,19.95B,22.06B,295.00M,10.27B,2.146B,,-437.00M,12.27B
2016-03,589.00M,,589.00M,961.00M,,961.00M,315.00M,,101.00M,1.966B,40.66B,,,,,40.66B,-11.52B,29.14B,2.617B,67.00M,31.82B,33.78B,1.119B,299.00M,,1.418B,,1.418B,,100.00M,,100.00M,313.00M,1.831B,9.398B,,9.398B,8.989B,,8.989B,,,1.344B,19.73B,21.56B,297.00M,10.22B,2.147B,,-442.00M,12.22B
2015-12,1.101B,,1.101B,946.00M,,946.00M,271.00M,,194.00M,2.512B,475.00M,2.327B,1.574B,26.44B,923.00M,40.47B,-11.48B,28.99B,2.572B,63.00M,31.63B,34.14B,602.00M,203.00M,109.00M,985.00M,123.00M,1.108B,,700.00M,,700.00M,407.00M,2.231B,9.393B,,9.393B,8.942B,280.00M,9.339B,665.00M,,323.00M,19.72B,21.95B,299.00M,10.19B,2.143B,,-445.00M,12.19B
2015-09,433.00M,,433.00M,1.103B,,1.103B,288.00M,123.00M,55.00M,2.002B,40.03B,,,,,40.03B,-11.34B,28.68B,2.74B,103.00M,31.52B,33.53B,1.16B,273.00M,,1.433B,,1.433B,,600.00M,,600.00M,334.00M,2.367B,8.896B,,8.896B,8.84B,,8.84B,,,1.295B,19.03B,21.40B,300.00M,10.08B,2.132B,,-382.00M,12.13B
2015-06,889.00M,,889.00M,1.055B,,1.055B,277.00M,125.00M,67.00M,2.413B,39.26B,,,,,39.26B,-11.19B,28.08B,2.724B,98.00M,30.90B,33.31B,1.144B,295.00M,,1.439B,,1.439B,,500.00M,,500.00M,264.00M,2.203B,8.89B,,8.89B,8.818B,,8.818B,,,1.322B,19.03B,21.23B,303.00M,10.02B,2.146B,,-389.00M,12.08B
2015-03,524.00M,,524.00M,1.032B,,1.032B,268.00M,118.00M,173.00M,2.115B,38.85B,,,,,38.85B,-11.02B,27.83B,2.701B,130.00M,30.66B,32.78B,1.094B,210.00M,,1.304B,,1.304B,,501.00M,,501.00M,298.00M,2.103B,8.429B,,8.429B,8.783B,,8.783B,,,1.302B,18.51B,20.62B,306.00M,10.09B,2.16B,,-395.00M,12.16B
2014-12,973.00M,,973.00M,1.055B,,1.055B,236.00M,167.00M,347.00M,2.778B,475.00M,2.26B,1.439B,25.24B,699.00M,38.51B,-10.81B,27.69B,2.679B,49.00M,30.42B,33.20B,748.00M,217.00M,110.00M,1.131B,118.00M,1.249B,,102.00M,,102.00M,415.00M,1.78B,8.883B,,8.883B,8.817B,280.00M,9.213B,569.00M,,347.00M,19.01B,20.79B,310.00M,10.35B,2.148B,,-398.00M,12.41B
2014-09,1.432B,0.00,1.432B,1.103B,,1.103B,249.00M,178.00M,50.00M,3.012B,37.97B,,,,,37.97B,-10.74B,27.23B,2.61B,354.00M,30.19B,33.21B,1.387B,301.00M,,1.688B,,1.688B,,2.00M,,2.00M,392.00M,2.082B,8.919B,,8.919B,8.682B,,8.682B,,,1.084B,18.68B,20.77B,311.00M,10.16B,2.15B,,-178.00M,12.44B
2014-06,1.667B,0.00,1.667B,1.122B,,1.122B,251.00M,161.00M,65.00M,3.266B,37.56B,,,,,37.56B,-10.63B,26.93B,2.505B,342.00M,29.77B,33.04B,1.245B,359.00M,,1.604B,,1.604B,,433.00M,,433.00M,331.00M,2.368B,8.814B,,8.814B,8.659B,,8.659B,,,1.122B,18.60B,20.96B,311.00M,9.836B,2.113B,,-183.00M,12.08B
2014-03,1.522B,10.00M,1.532B,1.109B,,1.109B,240.00M,179.00M,70.00M,3.13B,37.28B,,,,,37.28B,-10.51B,26.77B,2.466B,336.00M,29.57B,32.70B,1.194B,323.00M,,1.517B,,1.517B,,445.00M,,445.00M,359.00M,2.321B,8.909B,,8.909B,8.647B,,8.647B,,,1.13B,18.69B,21.01B,311.00M,9.49B,2.085B,,-193.00M,11.69B
2013-12,1.443B,118.00M,1.561B,1.024B,,1.024B,223.00M,180.00M,87.00M,3.075B,475.00M,2.253B,1.375B,24.35B,544.00M,37.03B,-10.39B,26.64B,2.439B,324.00M,29.41B,32.48B,685.00M,225.00M,97.00M,1.194B,121.00M,1.315B,,545.00M,,545.00M,381.00M,2.305B,8.903B,,8.903B,8.542B,133.00M,8.795B,784.00M,,407.00M,18.89B,21.19B,310.00M,9.339B,2.021B,,-381.00M,11.29B
2013-09,984.00M,20.00M,1.004B,1.083B,,1.083B,224.00M,149.00M,34.00M,2.494B,36.68B,,,,,36.68B,-10.27B,26.41B,2.395B,63.00M,28.87B,31.36B,1.267B,241.00M,,1.508B,,1.508B,,447.00M,,447.00M,377.00M,2.332B,8.499B,,8.499B,8.074B,,8.074B,,,2.166B,18.74B,21.07B,310.00M,9.045B,1.979B,,-1.04B,10.29B
2013-06,587.00M,0.00,587.00M,1.072B,,1.072B,228.00M,137.00M,54.00M,2.078B,36.25B,,,,,36.25B,-10.15B,26.10B,2.366B,63.00M,28.53B,30.60B,1.18B,284.00M,,1.464B,,1.464B,,47.00M,,47.00M,304.00M,1.815B,8.43B,,8.43B,7.974B,,7.974B,,,2.198B,18.60B,20.42B,313.00M,8.954B,1.984B,,-1.063B,10.19B
2013-03,672.00M,15.00M,687.00M,1.158B,,1.158B,246.00M,167.00M,65.00M,2.323B,35.91B,,,,,35.91B,-10.04B,25.87B,2.341B,65.00M,28.28B,30.60B,1.188B,319.00M,,1.507B,,1.507B,,47.00M,,47.00M,350.00M,1.904B,8.438B,,8.438B,7.921B,,7.921B,,,2.226B,18.58B,20.49B,316.00M,8.904B,1.976B,,-1.086B,10.11B
2012-12,653.00M,15.00M,668.00M,1.109B,,1.109B,216.00M,167.00M,82.00M,2.242B,471.00M,2.24B,1.297B,23.30B,555.00M,35.66B,-9.922B,25.74B,2.30B,64.00M,28.10B,30.34B,777.00M,206.00M,95.00M,1.256B,112.00M,1.368B,,250.00M,,250.00M,393.00M,2.081B,8.432B,,8.432B,7.832B,133.00M,8.083B,1.531B,,455.00M,18.50B,20.58B,315.00M,8.643B,1.911B,,-1.109B,9.76B
2012-09,693.00M,15.00M,708.00M,1.078B,,1.078B,236.00M,144.00M,33.00M,2.199B,34.85B,,,,,34.85B,-9.589B,25.26B,2.315B,66.00M,27.64B,29.84B,1.26B,150.00M,,1.41B,,1.41B,,52.00M,,52.00M,362.00M,1.824B,8.428B,,8.428B,7.803B,,7.803B,,,2.018B,18.25B,20.07B,317.00M,8.512B,1.909B,,-971.00M,9.767B
2012-06,356.00M,15.00M,371.00M,1.086B,,1.086B,242.00M,133.00M,52.00M,1.884B,34.71B,,,,,34.71B,-9.738B,24.97B,2.278B,61.00M,27.31B,29.19B,1.126B,322.00M,,1.448B,,1.448B,,27.00M,,27.00M,299.00M,1.774B,7.972B,,7.972B,7.639B,,7.639B,,,2.028B,17.64B,19.41B,321.00M,8.544B,1.904B,,-991.00M,9.778B
2012-03,829.00M,2.00M,831.00M,1.056B,,1.056B,228.00M,146.00M,71.00M,2.332B,,,,,,34.30B,-9.596B,24.70B,2.263B,77.00M,27.04B,29.38B,1.243B,320.00M,,1.563B,,1.563B,,32.00M,,32.00M,337.00M,1.932B,7.985B,,7.985B,7.59B,,7.59B,,,2.053B,17.63B,19.56B,327.00M,8.581B,1.917B,,-1.01B,9.815B
2011-12,276.00M,25.00M,301.00M,1.022B,,1.022B,209.00M,143.00M,76.00M,1.751B,469.00M,2.209B,1.14B,22.29B,526.00M,33.93B,-9.464B,24.47B,2.234B,84.00M,26.79B,28.54B,499.00M,207.00M,109.00M,975.00M,106.00M,1.081B,,150.00M,,150.00M,402.00M,1.701B,7.39B,,7.39B,7.486B,133.00M,7.619B,1.31B,,607.00M,16.93B,18.63B,332.00M,8.693B,1.912B,,-1.026B,9.911B
2011-09,242.00M,152.00M,394.00M,1.029B,,1.029B,212.00M,160.00M,30.00M,1.825B,33.33B,,,,,33.33B,-9.351B,23.98B,2.24B,268.00M,26.49B,28.31B,1.329B,221.00M,,1.55B,,1.55B,,55.00M,,55.00M,331.00M,1.936B,6.782B,,6.782B,7.55B,,7.55B,,,1.788B,16.12B,18.06B,337.00M,8.759B,1.912B,,-753.00M,10.26B
2011-06,678.00M,228.00M,906.00M,991.00M,,991.00M,201.00M,163.00M,54.00M,2.315B,,,,,,32.89B,-9.217B,23.67B,2.235B,257.00M,26.16B,28.48B,1.254B,160.00M,,1.414B,,1.414B,,55.00M,,55.00M,284.00M,1.753B,6.931B,,6.931B,7.372B,,7.372B,,,1.795B,16.10B,17.85B,349.00M,9.097B,1.951B,,-770.00M,10.63B
2011-03,236.00M,252.00M,488.00M,934.00M,,934.00M,190.00M,148.00M,72.00M,1.832B,,,,,,32.84B,-9.386B,23.45B,2.199B,246.00M,25.90B,27.73B,1.093B,102.00M,,1.195B,,1.195B,,63.00M,,63.00M,309.00M,1.567B,6.554B,,6.554B,7.212B,,7.212B,,,1.794B,15.56B,17.13B,354.00M,9.094B,1.939B,,-786.00M,10.60B
2010-12,827.00M,283.00M,1.11B,807.00M,,807.00M,169.00M,145.00M,240.00M,2.471B,22.41B,2.206B,7.876B,,,32.49B,-9.262B,23.23B,2.193B,304.00M,25.73B,28.20B,1.181B,199.00M,,1.38B,,1.38B,,458.00M,,458.00M,244.00M,2.082B,6.567B,,6.567B,7.088B,,7.088B,,,1.793B,15.45B,17.53B,358.00M,9.224B,1.892B,,-805.00M,10.67B
2010-09,1.129B,229.00M,1.358B,908.00M,,908.00M,179.00M,153.00M,35.00M,2.633B,,,,,,,,22.89B,2.307B,229.00M,25.43B,28.06B,1.131B,116.00M,,1.247B,,1.247B,,361.00M,,361.00M,347.00M,1.955B,6.574B,,6.574B,6.96B,,6.96B,,,1.784B,15.32B,17.27B,364.00M,9.339B,1.89B,,-804.00M,10.79B
2010-06,855.00M,205.00M,1.06B,892.00M,,892.00M,179.00M,148.00M,49.00M,2.328B,,,,,,,,22.79B,2.293B,226.00M,25.30B,27.63B,1.064B,226.00M,,1.29B,,1.29B,,363.00M,,363.00M,284.00M,1.937B,6.326B,,6.326B,6.818B,,6.818B,,,1.791B,14.94B,16.87B,370.00M,9.317B,1.894B,,-820.00M,10.76B
2010-03,1.161B,225.00M,1.386B,867.00M,,867.00M,180.00M,145.00M,68.00M,2.646B,,,,,,,,22.70B,2.166B,221.00M,25.08B,27.73B,987.00M,252.00M,,1.239B,,1.239B,,648.00M,,648.00M,306.00M,2.193B,6.379B,,6.379B,6.80B,,6.80B,,,1.794B,14.97B,17.17B,371.00M,9.156B,1.871B,,-834.00M,10.56B
2009-12,996.00M,90.00M,1.086B,766.00M,,766.00M,164.00M,142.00M,88.00M,2.246B,21.52B,2.181B,7.737B,,,31.44B,-8.793B,22.64B,2.164B,316.00M,25.12B,27.37B,974.00M,109.00M,,1.083B,,1.083B,,474.00M,,474.00M,232.00M,1.789B,6.679B,,6.679B,6.747B,,6.747B,,,1.801B,15.23B,17.02B,370.00M,9.027B,1.809B,,-853.00M,10.35B
2009-09,999.00M,,999.00M,855.00M,,855.00M,172.00M,152.00M,55.00M,2.233B,,,,,,22.49B,,22.49B,2.067B,285.00M,24.84B,27.08B,980.00M,219.00M,,1.199B,,1.199B,,380.00M,,380.00M,287.00M,1.866B,6.685B,,6.685B,6.566B,,6.566B,,,1.892B,15.14B,17.01B,369.00M,8.848B,1.761B,,-912.00M,10.07B
2009-06,722.00M,,722.00M,800.00M,,800.00M,188.00M,136.00M,90.00M,1.936B,,,,,,22.38B,,22.38B,2.027B,295.00M,24.70B,26.63B,945.00M,159.00M,,1.104B,,1.104B,,394.00M,,394.00M,240.00M,1.738B,6.688B,,6.688B,6.446B,,6.446B,,,1.902B,15.04B,16.77B,369.00M,8.671B,1.741B,,-922.00M,9.859B
2009-03,884.00M,,884.00M,831.00M,,831.00M,191.00M,161.00M,127.00M,2.194B,,,,,,,,22.29B,1.806B,254.00M,24.35B,26.55B,952.00M,311.00M,,1.263B,,1.263B,,468.00M,,468.00M,287.00M,2.018B,6.467B,,6.467B,6.406B,,6.406B,,,1.945B,14.82B,16.84B,369.00M,8.551B,1.723B,,-933.00M,9.71B
2008-12,618.00M,0.00,618.00M,870.00M,,870.00M,194.00M,149.00M,168.00M,1.999B,,,,,,30.52B,-8.273B,22.25B,1.779B,272.00M,24.30B,26.30B,1.14B,261.00M,,1.401B,,1.401B,,484.00M,,484.00M,220.00M,2.105B,6.183B,,6.183B,6.372B,,6.372B,,,2.03B,14.58B,16.69B,368.00M,8.501B,1.68B,,-942.00M,9.607B
2008-09,557.00M,,557.00M,1.076B,,1.076B,210.00M,172.00M,67.00M,2.082B,,,,,,,,22.03B,1.827B,776.00M,24.64B,26.72B,1.225B,297.00M,,1.522B,,1.522B,,488.00M,,488.00M,293.00M,2.303B,5.983B,,5.983B,6.602B,,6.602B,,,1.783B,14.37B,16.67B,371.00M,8.375B,1.689B,,-389.00M,10.05B
2008-06,454.00M,,454.00M,1.084B,,1.084B,203.00M,169.00M,116.00M,2.026B,,,,,,,,21.82B,1.804B,760.00M,24.39B,26.41B,1.114B,282.00M,,1.396B,,1.396B,,486.00M,,486.00M,246.00M,2.128B,6.003B,,6.003B,6.479B,,6.479B,,,1.812B,14.29B,16.42B,376.00M,8.351B,1.657B,,-392.00M,9.992B
2008-03,364.00M,,364.00M,1.125B,,1.125B,194.00M,230.00M,123.00M,2.036B,,,,,,29.50B,-7.806B,21.70B,1.937B,795.00M,24.43B,26.46B,1.337B,323.00M,,1.66B,,1.66B,,276.00M,,276.00M,291.00M,2.227B,6.217B,,6.217B,6.499B,,6.499B,,,1.774B,14.49B,16.72B,376.00M,8.21B,1.557B,,-395.00M,9.748B
2007-12,206.00M,,206.00M,942.00M,,942.00M,176.00M,190.00M,161.00M,1.675B,26.83B,2.085B,,471.00M,,29.39B,-7.806B,21.58B,1.974B,912.00M,24.47B,26.14B,1.139B,203.00M,,1.342B,,1.342B,,369.00M,,369.00M,237.00M,1.948B,5.999B,,5.999B,6.431B,,6.431B,,,2.039B,14.47B,16.42B,380.00M,8.28B,1.466B,,-399.00M,9.727B
2007-09,405.00M,13.00M,418.00M,1.013B,,1.013B,173.00M,188.00M,59.00M,1.851B,,,,,,28.61B,-7.265B,21.34B,1.934B,830.00M,24.11B,25.96B,1.127B,245.00M,,1.372B,,1.372B,,383.00M,,383.00M,267.00M,2.022B,5.764B,,5.764B,6.365B,,6.365B,,,1.93B,14.06B,16.08B,408.00M,8.373B,1.471B,20.00M,-353.00M,9.879B
2007-06,399.00M,93.00M,492.00M,1.001B,,1.001B,174.00M,199.00M,83.00M,1.949B,,,,,,28.51B,-7.265B,21.24B,1.917B,820.00M,23.98B,25.93B,1.158B,217.00M,,1.375B,,1.375B,,388.00M,,388.00M,214.00M,1.977B,5.776B,,5.776B,6.319B,,6.319B,,,1.947B,14.04B,16.02B,414.00M,8.402B,1.473B,20.00M,-357.00M,9.912B
2007-03,470.00M,374.00M,844.00M,991.00M,,991.00M,161.00M,185.00M,106.00M,2.287B,,,,,,28.39B,-7.265B,21.13B,1.827B,788.00M,23.74B,26.03B,1.084B,256.00M,,1.34B,,1.34B,,533.00M,,533.00M,276.00M,2.149B,6.00B,,6.00B,6.321B,,6.321B,,,1.932B,14.25B,16.40B,414.00M,8.236B,1.362B,20.00M,-364.00M,9.628B
2006-12,527.00M,391.00M,918.00M,992.00M,,992.00M,151.00M,186.00M,153.00M,2.40B,,,,,,21.10B,,21.10B,1.755B,775.00M,23.63B,26.03B,1.181B,205.00M,,1.386B,,1.386B,,491.00M,,491.00M,216.00M,2.093B,6.109B,,6.109B,6.444B,,6.444B,,,1.767B,14.32B,16.41B,398.00M,8.283B,1.303B,,-369.00M,9.615B
2006-09,270.00M,533.00M,803.00M,1.027B,,1.027B,158.00M,176.00M,52.00M,2.216B,,,,,,27.79B,-6.821B,20.97B,1.779B,1.013B,23.76B,25.98B,1.168B,272.00M,,1.44B,,1.44B,,484.00M,,484.00M,265.00M,2.189B,6.141B,,6.141B,6.58B,,6.58B,,,1.489B,14.21B,16.40B,418.00M,8.028B,1.24B,20.00M,-87.00M,9.579B
2006-06,257.00M,1.278B,1.535B,990.00M,,990.00M,146.00M,175.00M,64.00M,2.91B,,,,,,27.71B,-6.821B,20.89B,1.744B,1.019B,23.65B,26.56B,1.115B,315.00M,,1.43B,,1.43B,,690.00M,,690.00M,223.00M,2.343B,6.175B,,6.175B,6.593B,,6.593B,,,1.497B,14.26B,16.61B,435.00M,8.35B,1.275B,20.00M,-89.00M,9.951B
2006-03,526.00M,1.016B,1.542B,985.00M,,985.00M,143.00M,167.00M,107.00M,2.944B,,,,,,27.58B,-6.821B,20.76B,1.623B,918.00M,23.30B,26.24B,1.036B,301.00M,,1.337B,,1.337B,,348.00M,,348.00M,276.00M,1.961B,6.55B,,6.55B,6.613B,,6.613B,,,1.408B,14.57B,16.53B,436.00M,8.158B,1.22B,20.00M,-85.00M,9.709B
2005-12,289.00M,968.00M,1.257B,931.00M,,931.00M,132.00M,167.00M,163.00M,2.65B,,,,,,27.56B,-6.821B,20.74B,1.558B,916.00M,23.21B,25.86B,1.163B,231.00M,,1.394B,,1.394B,,314.00M,,314.00M,213.00M,1.921B,6.616B,,6.616B,6.631B,,6.631B,470.00M,,945.00M,14.66B,16.58B,431.00M,7.967B,992.00M,20.00M,-77.00M,9.276B
2005-09,309.00M,741.00M,1.05B,950.00M,,950.00M,137.00M,175.00M,124.00M,2.436B,,,,,,26.72B,-6.239B,20.48B,1.608B,908.00M,23.00B,25.43B,1.132B,262.00M,,1.394B,,1.394B,,313.00M,,313.00M,275.00M,1.982B,6.645B,,6.645B,6.567B,,6.567B,,,1.323B,14.54B,16.52B,427.00M,7.671B,890.00M,20.00M,-33.00M,8.916B
2005-06,431.00M,184.00M,615.00M,885.00M,,885.00M,125.00M,176.00M,169.00M,1.97B,,,,,,26.71B,-6.239B,20.47B,1.556B,910.00M,22.94B,24.91B,1.065B,208.00M,,1.273B,,1.273B,,115.00M,,115.00M,232.00M,1.62B,6.877B,,6.877B,6.491B,,6.491B,,,1.298B,14.67B,16.29B,426.00M,7.423B,840.00M,20.00M,-25.00M,8.621B
