,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,467.27M,467.27M,250.15M,217.12M,130.08M,32.61M,6.035M,,,,,162.69M,54.43M,,,,6.035M,,62.19M,7.545M,54.64M,-1.502M,,,53.14M,49.34M,69.45M,15.02M,54.43M,0.34,-0.01,,,0.3073,0.33,0.33,-0.01,,,0.2993,0.32,162.05M,172.46M,0.0
2003-03,500.20M,500.20M,276.37M,223.84M,139.12M,37.32M,-2.982M,,,,,176.44M,47.40M,,,,-2.982M,,45.20M,13.81M,31.39M,5.036M,,,36.43M,33.46M,61.43M,14.03M,47.40M,0.19,0.03,,,0.2027,0.22,0.19,0.03,,,0.2025,0.22,162.84M,165.61M,0.0
2002-12,331.75M,331.75M,164.96M,166.79M,91.76M,15.04M,21.35M,,,,,106.80M,60.00M,,,,19.18M,,73.55M,22.65M,50.56M,35.94M,,,87.15M,35.79M,74.17M,14.18M,60.00M,0.31,0.22,,,0.2189,0.53,0.31,0.19,,,0.2189,0.5,162.25M,162.25M,0.0
2002-09,517.17M,517.17M,288.51M,228.66M,139.33M,37.55M,2.485M,,,,,176.88M,51.78M,,,,2.485M,,56.61M,17.63M,38.98M,,,,39.02M,37.27M,65.60M,13.83M,51.78M,0.24,0.0,,0.0002,0.2297,0.24,0.23,0.0,,0.0002,0.2203,0.23,165.70M,176.34M,0.0
2002-06,509.11M,509.11M,279.32M,229.79M,139.37M,39.75M,20.40M,,,,,179.12M,50.66M,,,,20.40M,,73.46M,23.98M,49.49M,19.00M,,,68.52M,35.75M,64.50M,13.84M,50.66M,0.29,0.11,,0.0002,0.2097,0.4,0.28,0.1,,0.0001,0.2064,0.38,171.12M,186.74M,0.0
2002-03,491.33M,491.33M,267.67M,223.66M,138.91M,39.63M,49.58M,,,,,178.54M,45.12M,,,,51.75M,,98.07M,33.69M,64.38M,51.37M,,0.331M,115.04M,31.84M,59.65M,14.54M,45.12M,0.37,0.29,,-0.0041,0.1832,0.66,0.34,0.25,,-0.0041,0.1806,0.59,174.25M,204.19M,0.0
2001-12,559.71M,559.71M,322.89M,236.82M,156.12M,40.58M,-60.42M,,,,,196.70M,40.12M,,,,-63.34M,,-13.83M,-7.829M,-7.327M,0.00,0.00,4.514M,-6.868M,28.93M,64.56M,24.44M,40.12M,0.11,-0.15,0.0,0.0027,0.3097,-0.03,0.1,-0.15,-0.0002,0.0027,0.296,-0.03,181.59M,185.02M,0.0
2001-09,512.94M,512.94M,284.46M,228.49M,148.32M,41.96M,-0.595M,,,,,190.28M,38.21M,,,,1.056M,,40.24M,15.09M,25.68M,,,0.527M,26.28M,26.05M,63.75M,25.54M,38.21M,0.14,0.01,,0.0033,0.1421,0.15,0.14,0.0,,0.0033,0.142,0.14,180.28M,182.82M,0.0
2001-06,542.47M,542.47M,304.41M,238.06M,155.50M,44.71M,-22.14M,,,,,200.20M,37.86M,,,,-21.08M,,14.02M,5.411M,9.423M,15.56M,,0.817M,24.98M,23.01M,62.45M,24.59M,37.86M,0.05,0.09,,,0.1248,0.14,0.05,0.09,,,0.1234,0.14,181.63M,185.06M,0.0
2001-03,573.09M,573.09M,317.84M,255.25M,160.17M,44.36M,-13.07M,,,,,204.53M,50.72M,,,,-12.86M,,36.09M,14.26M,21.82M,-66.00M,-0.994M,-0.018M,-45.18M,29.73M,74.66M,23.94M,50.72M,0.12,-0.37,0.0,,0.1632,-0.25,0.12,-0.37,-0.0054,,0.1622,-0.25,182.86M,187.18M,0.0
2000-12,577.02M,577.02M,316.38M,260.64M,157.28M,41.60M,-109.07M,,,,,198.88M,61.77M,,,,-67.98M,,30.84M,12.25M,18.59M,-94.79M,0.00,-0.516M,-76.20M,84.34M,84.66M,22.89M,61.77M,0.05,-0.6,0.0,-0.0,0.4419,-0.47,0.05,-0.6,0.0006,-0.0,0.4419,-0.47,167.75M,167.75M,0.0
2000-09,546.95M,546.95M,320.60M,226.35M,152.99M,40.61M,76.95M,,,,,193.60M,32.75M,,,,50.93M,,73.32M,66.04M,7.281M,4.998M,,0.17M,12.28M,-38.89M,59.39M,26.64M,32.75M,0.04,0.03,,,-0.2224,0.07,0.04,0.03,,,-0.2159,0.07,175.98M,180.44M,0.0
2000-06,579.95M,579.95M,313.70M,266.25M,166.97M,46.10M,6.372M,,,,,213.07M,53.18M,,,,4.646M,,44.02M,17.84M,21.70M,2.557M,,-4.482M,24.26M,17.87M,77.87M,24.70M,53.18M,0.14,0.02,,,0.1155,0.16,0.13,0.02,,,0.1058,0.15,156.02M,157.77M,0.0
2000-03,576.60M,576.60M,284.75M,291.86M,169.68M,48.44M,12.42M,,,,,241.39M,50.47M,,,,-0.919M,,36.30M,16.08M,14.48M,1.461M,-12.92M,-5.739M,3.554M,7.029M,73.73M,23.26M,50.47M,0.09,0.01,0.0,0.0034,0.0425,0.02,0.09,0.01,-0.0824,0.0034,0.0427,0.02,156.81M,157.46M,0.0
1999-12,658.99M,658.99M,340.05M,318.94M,174.57M,45.27M,-54.50M,,,,,247.74M,71.21M,,,,-54.50M,,48.68M,26.41M,22.27M,-27.81M,,-7.864M,-4.04M,54.97M,99.10M,27.90M,71.21M,0.47,-0.49,,,0.6774,-0.02,0.47,-0.49,,,0.6761,-0.03,157.70M,158.64M,0.0
1999-09,624.29M,624.29M,318.89M,305.40M,167.84M,43.35M,12.24M,,,,,239.76M,65.64M,,,,12.24M,,56.13M,24.72M,31.41M,4.917M,,-6.81M,36.33M,24.07M,95.04M,29.40M,65.64M,0.2,0.03,,,0.1536,0.23,0.19,0.03,,,0.1436,0.22,158.20M,158.38M,0.0
1999-06,632.17M,632.17M,305.08M,327.08M,176.40M,44.44M,-184.14M,,,,,266.75M,60.34M,,,,-184.14M,,-121.81M,-35.46M,-86.35M,-148.84M,,1.99M,-235.19M,44.18M,106.24M,29.07M,60.34M,-0.55,-0.94,,,0.277,-1.49,-0.55,-0.94,,,0.277,-1.49,157.84M,157.84M,0.0
1999-03,555.75M,555.75M,284.87M,270.88M,154.19M,38.03M,-9.594M,,,,,219.47M,51.41M,,,,-9.594M,,35.50M,17.44M,18.07M,10.23M,,-6.316M,28.30M,23.83M,78.66M,27.24M,51.41M,0.11,0.07,,,0.1466,0.18,0.11,0.06,,,0.1446,0.17,157.22M,166.46M,0.0
1998-12,-813.40M,-813.40M,-452.00M,-361.40M,-142.10M,-150.10M,-90.80M,,,,,-321.50M,-39.90M,,,,-90.80M,,-50.80M,-25.50M,-25.30M,,,2.80M,37.10M,29.18M,-69.20M,-29.30M,-39.90M,-0.31,0.54,,-0.027,0.0272,0.23,-0.31,0.53,,-0.027,0.0272,0.23,161.55M,161.55M,0.0
1998-09,977.20M,977.20M,513.30M,463.90M,234.20M,93.20M,-19.00M,,,,,368.60M,95.30M,,,,-19.00M,,53.90M,38.20M,15.70M,,,2.70M,17.60M,27.10M,142.10M,46.80M,95.30M,0.11,0.0,,0.0119,0.1812,0.11,0.1,0.0,,0.0108,0.1648,0.1,160.00M,176.00M,0.0
1998-06,947.80M,947.80M,484.00M,463.80M,223.80M,94.00M,21.90M,,,,,358.30M,105.50M,,,,21.90M,,110.70M,51.10M,59.60M,,2.20M,-16.70M,61.80M,46.46M,146.00M,40.50M,105.50M,0.37,0.0,0.0,,0.2913,0.37,0.34,0.0,0.0121,,0.2677,0.34,167.03M,181.76M,0.0
