,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,643.00M,19.53B,20.18B,4.216B,4.216B,24.39B,,,,,,,,,916.00M,2.538B,387.00M,2.925B,89.76B,881.00M,,88.88B,33.20B,126.76B,137.05B,,,1.854B,1.854B,1.133B,,1.133B,1.133B,3.603B,13.75B,,13.75B,104.75B,,2.00M,118.50B,122.10B,2.282B,10.62B,6.289B,3.26B,1.025B,-991.00M,14.94B
2017-12,671.00M,22.59B,23.26B,4.237B,4.237B,27.49B,138.00M,741.00M,931.00M,27.00M,38.00M,633.00M,2.508B,-1.578B,930.00M,2.538B,416.00M,2.954B,87.51B,877.00M,,86.64B,35.98B,127.32B,137.70B,,,2.094B,2.094B,634.00M,,634.00M,634.00M,3.105B,14.23B,17.00M,14.24B,105.24B,,2.00M,119.48B,122.67B,2.282B,10.34B,6.335B,3.15B,1.025B,-779.00M,15.02B
2017-09,562.00M,23.00B,23.57B,3.744B,3.744B,27.93B,,,,,,,,,916.00M,2.487B,412.00M,2.899B,87.83B,880.00M,,86.95B,34.79B,126.30B,136.73B,,,1.717B,1.717B,616.00M,,616.00M,616.00M,2.705B,15.10B,,15.10B,103.45B,232.00M,1.00M,118.78B,121.48B,2.282B,10.12B,6.31B,2.962B,1.025B,-506.00M,15.25B
2017-06,601.00M,20.55B,21.15B,4.147B,4.147B,25.93B,,,,,,,,,919.00M,2.464B,435.00M,2.899B,88.25B,870.00M,,87.38B,33.00B,124.88B,135.82B,,,1.475B,1.475B,924.00M,,924.00M,924.00M,4.179B,13.26B,,13.26B,102.82B,308.00M,2.00M,116.39B,120.57B,2.282B,9.878B,6.31B,2.711B,1.025B,-506.00M,15.25B
2017-03,549.00M,20.96B,21.50B,4.064B,4.064B,26.15B,,,,,,,,,935.00M,2.427B,362.00M,2.789B,87.51B,870.00M,,86.64B,32.75B,123.68B,134.48B,,,1.552B,1.552B,943.00M,,943.00M,943.00M,2.937B,12.32B,,12.32B,103.98B,255.00M,2.00M,116.56B,119.50B,2.282B,9.584B,6.287B,2.623B,1.025B,-554.00M,14.98B
2016-12,677.00M,22.99B,23.66B,3.864B,3.864B,28.33B,139.00M,727.00M,943.00M,27.00M,42.00M,663.00M,2.541B,-1.563B,978.00M,2.446B,384.00M,2.83B,87.14B,858.00M,,86.28B,34.82B,125.46B,136.45B,,,1.796B,1.796B,808.00M,,808.00M,808.00M,4.106B,12.26B,20.00M,12.28B,104.09B,636.00M,0.00,117.01B,121.21B,2.922B,9.378B,6.385B,2.904B,1.665B,-541.00M,15.24B
2016-09,749.00M,23.76B,24.50B,3.48B,3.48B,29.29B,,,,,,,,,1.023B,2.48B,426.00M,2.906B,86.66B,865.00M,,85.80B,34.42B,124.58B,135.80B,,,1.739B,1.739B,809.00M,,809.00M,809.00M,3.15B,12.62B,,12.62B,104.18B,850.00M,2.00M,117.66B,120.81B,2.422B,9.26B,6.359B,2.863B,1.165B,-182.00M,15.00B
2016-06,496.00M,21.15B,21.65B,2.673B,2.673B,25.55B,,,,,,,,,742.00M,1.06B,50.00M,1.11B,62.54B,854.00M,,61.69B,27.52B,91.46B,101.15B,,,1.326B,1.326B,687.00M,,687.00M,687.00M,2.373B,11.39B,,11.39B,75.32B,746.00M,5.00M,87.46B,89.83B,1.307B,9.166B,3.835B,2.881B,290.00M,-114.00M,11.31B
2016-03,474.00M,19.74B,20.21B,2.849B,2.849B,24.13B,,,,,,,,,750.00M,1.06B,57.00M,1.117B,61.12B,826.00M,,60.30B,26.15B,88.68B,98.40B,,,1.41B,1.41B,615.00M,,615.00M,615.00M,2.399B,10.76B,,10.76B,73.38B,790.00M,5.00M,84.93B,87.33B,1.307B,9.042B,3.818B,2.888B,290.00M,-213.00M,11.07B
2015-12,607.00M,16.92B,17.53B,3.29B,3.29B,21.44B,,,,,,,,,779.00M,1.06B,65.00M,1.125B,60.52B,796.00M,,59.72B,23.26B,85.23B,95.13B,,,1.605B,1.605B,533.00M,,533.00M,533.00M,2.51B,10.08B,,10.08B,71.05B,632.00M,13.00M,81.76B,84.37B,1.307B,8.922B,3.922B,3.00B,290.00M,-405.00M,10.75B
2015-09,470.00M,16.34B,16.81B,3.348B,3.348B,20.95B,,,,,,,,,771.00M,1.06B,74.00M,1.134B,61.00B,790.00M,,60.21B,22.78B,85.21B,95.42B,,,1.562B,1.562B,677.00M,,677.00M,677.00M,2.646B,10.31B,,10.31B,71.07B,676.00M,12.00M,82.06B,84.70B,1.307B,8.764B,3.914B,3.008B,290.00M,-272.00M,10.70B
2015-06,693.00M,17.47B,18.16B,3.314B,3.314B,22.01B,,,,,,,,,788.00M,1.057B,83.00M,1.14B,59.10B,796.00M,,58.30B,23.86B,84.39B,94.61B,,,1.537B,1.537B,528.00M,,528.00M,528.00M,2.509B,10.27B,,10.27B,70.67B,560.00M,11.00M,81.50B,84.00B,1.307B,8.614B,3.898B,2.884B,290.00M,-345.00M,10.59B
2015-03,506.00M,16.50B,17.00B,3.144B,3.144B,20.88B,,,,,,,,,806.00M,1.057B,92.00M,1.149B,59.60B,794.00M,,58.81B,23.02B,84.09B,94.21B,,,1.308B,1.308B,608.00M,,608.00M,608.00M,2.433B,8.713B,,8.713B,71.62B,825.00M,10.00M,81.16B,83.59B,1.307B,8.445B,3.91B,2.78B,290.00M,-279.00M,10.60B
2014-12,653.00M,17.63B,18.28B,2.952B,2.952B,21.84B,,,,,,,,,841.00M,1.057B,101.00M,1.158B,58.12B,794.00M,,57.32B,24.15B,83.80B,93.82B,,,1.621B,1.621B,423.00M,,423.00M,423.00M,2.619B,7.78B,,7.78B,72.00B,784.00M,12.00M,80.56B,83.28B,1.308B,8.273B,3.986B,2.681B,291.00M,-356.00M,10.53B
2014-09,651.00M,14.59B,15.24B,3.024B,3.024B,18.68B,,,,,,,,,832.00M,1.051B,126.00M,1.177B,56.94B,804.00M,,56.14B,21.37B,79.82B,89.78B,,,1.613B,1.613B,996.00M,,996.00M,996.00M,3.266B,7.172B,,7.172B,68.46B,384.00M,17.00M,76.01B,79.28B,1.308B,8.082B,3.984B,2.563B,291.00M,-325.00M,10.49B
2014-06,604.00M,15.40B,16.00B,3.09B,3.09B,19.64B,,,,,,,,,844.00M,979.00M,108.00M,1.087B,56.04B,814.00M,,55.22B,22.42B,79.88B,91.80B,,,1.40B,1.40B,521.00M,,521.00M,521.00M,3.134B,8.213B,,8.213B,67.80B,451.00M,17.00M,76.46B,81.28B,1.308B,7.95B,3.987B,2.452B,291.00M,-289.00M,10.50B
2014-03,409.00M,15.28B,15.69B,3.004B,3.004B,19.12B,,,,,,,,,862.00M,979.00M,117.00M,1.096B,55.85B,834.00M,,55.01B,21.85B,79.11B,90.80B,,,1.297B,1.297B,464.00M,,464.00M,464.00M,3.178B,7.712B,,7.712B,67.27B,408.00M,16.00M,75.39B,80.38B,1.308B,7.793B,3.961B,2.335B,291.00M,-324.00M,10.40B
2013-12,617.00M,17.94B,18.55B,3.015B,3.015B,21.98B,,,,,,,,,885.00M,979.00M,127.00M,1.106B,55.07B,848.00M,,54.22B,24.40B,80.92B,92.93B,,,1.557B,1.557B,343.00M,,343.00M,343.00M,3.434B,7.555B,5.00M,7.56B,69.26B,414.00M,17.00M,77.24B,82.61B,1.308B,7.606B,4.022B,2.281B,291.00M,-352.00M,10.30B
2013-09,748.00M,16.14B,16.89B,2.747B,2.747B,20.11B,,,,,,,,,890.00M,979.00M,137.00M,1.116B,54.30B,868.00M,,53.43B,22.79B,78.52B,90.71B,,,1.375B,1.375B,466.00M,,466.00M,466.00M,3.296B,6.154B,,6.154B,68.54B,450.00M,30.00M,75.14B,80.47B,1.308B,7.431B,4.029B,2.193B,291.00M,-369.00M,10.21B
2013-06,696.00M,16.84B,17.53B,2.864B,2.864B,20.86B,,,,,,,,,900.00M,979.00M,149.00M,1.128B,53.50B,876.00M,,52.63B,23.21B,78.17B,90.64B,,,1.421B,1.421B,298.00M,,298.00M,298.00M,3.366B,6.666B,,6.666B,67.72B,456.00M,32.00M,74.84B,80.38B,1.308B,7.214B,4.045B,2.02B,291.00M,-318.00M,10.23B
2013-03,621.00M,16.58B,17.20B,2.884B,2.884B,20.69B,,,,,,,,,930.00M,979.00M,159.00M,1.138B,53.01B,893.00M,,52.12B,22.06B,76.55B,89.20B,,,1.352B,1.352B,378.00M,,378.00M,378.00M,3.68B,7.785B,,7.785B,64.65B,524.00M,39.00M,72.96B,78.82B,1.308B,7.065B,4.059B,1.93B,291.00M,-162.00M,10.34B
2012-12,584.00M,16.03B,16.62B,2.774B,2.774B,20.08B,,,,,,,,,965.00M,979.00M,171.00M,1.15B,53.42B,888.00M,,52.53B,21.63B,76.57B,89.24B,,,1.387B,1.387B,313.00M,,313.00M,313.00M,3.309B,6.722B,9.00M,6.731B,65.99B,584.00M,38.00M,73.31B,78.93B,1.308B,6.913B,4.126B,1.952B,291.00M,-124.00M,10.27B
2012-09,974.00M,2.208B,3.182B,,,3.953B,,,,942.00M,,290.00M,1.232B,,1.232B,979.00M,182.00M,1.161B,52.05B,888.00M,,51.16B,18.99B,75.41B,86.95B,,,1.238B,1.238B,,388.00M,388.00M,388.00M,3.372B,6.119B,,6.119B,64.19B,657.00M,28.00M,70.96B,76.67B,1.308B,6.762B,4.118B,1.868B,291.00M,-69.00M,10.25B
2012-06,717.00M,2.216B,2.933B,2.978B,2.978B,6.729B,,,,,,,,,931.00M,917.00M,15.00M,932.00M,50.26B,888.00M,,49.37B,20.45B,72.01B,86.52B,,,1.417B,1.417B,,362.00M,362.00M,362.00M,3.495B,7.521B,,7.521B,62.17B,763.00M,21.00M,70.45B,76.35B,1.308B,6.595B,4.12B,1.796B,291.00M,-72.00M,10.16B
2012-03,416.00M,3.605B,4.021B,,,4.851B,,,,937.00M,,335.00M,1.272B,,1.272B,917.00M,15.00M,932.00M,49.74B,944.00M,,48.79B,21.87B,75.96B,87.43B,,,1.45B,1.45B,,324.00M,324.00M,324.00M,3.62B,8.898B,,8.898B,61.49B,754.00M,17.00M,71.15B,77.32B,1.308B,6.411B,4.116B,1.717B,291.00M,-19.00M,10.10B
2011-12,694.00M,19.53B,20.22B,3.077B,3.077B,24.25B,,,,,,,,,944.00M,917.00M,17.00M,934.00M,50.30B,1.004B,,49.30B,23.43B,74.95B,88.78B,,,1.763B,1.763B,916.00M,,916.00M,916.00M,4.39B,8.894B,19.00M,8.913B,61.96B,1.026B,17.00M,71.90B,78.86B,1.308B,6.246B,4.194B,1.815B,291.00M,-28.00M,9.905B
2011-09,828.00M,4.766B,5.594B,,,6.534B,,,,924.00M,,393.00M,1.317B,,1.317B,917.00M,18.00M,935.00M,48.67B,1.131B,,47.54B,24.28B,77.02B,89.26B,,,1.556B,1.556B,,519.00M,519.00M,519.00M,3.803B,10.72B,,10.72B,61.03B,1.141B,17.00M,72.89B,79.34B,1.308B,6.079B,4.191B,1.82B,291.00M,143.00M,9.901B
2011-06,853.00M,4.563B,5.416B,2.968B,2.968B,9.284B,,,,,,,,,919.00M,917.00M,19.00M,936.00M,48.22B,1.23B,,46.99B,24.03B,73.33B,88.78B,,,1.518B,1.518B,,511.00M,511.00M,511.00M,3.697B,11.00B,,11.00B,60.41B,991.00M,18.00M,72.40B,79.04B,1.308B,5.926B,4.191B,1.815B,291.00M,109.00M,9.719B
2011-03,540.00M,3.705B,4.245B,,,5.25B,,,,906.00M,,491.00M,1.397B,,1.397B,917.00M,20.00M,937.00M,48.98B,1.372B,,47.61B,24.21B,77.91B,90.44B,,,1.931B,1.931B,,685.00M,685.00M,685.00M,4.848B,11.05B,,11.05B,60.81B,1.106B,272.00M,72.96B,80.74B,1.308B,5.721B,4.167B,1.823B,291.00M,-35.00M,9.425B
2010-12,278.00M,1.344B,1.622B,,,2.628B,,,,908.00M,,509.00M,1.417B,,1.417B,917.00M,21.00M,938.00M,50.57B,1.604B,,48.97B,24.28B,79.48B,91.84B,,,1.931B,1.931B,,1.151B,1.151B,1.151B,5.127B,10.59B,,10.59B,60.61B,1.142B,257.00M,72.34B,80.47B,3.683B,5.557B,3.711B,1.904B,2.737B,-17.00M,11.12B
2010-09,823.00M,3.276B,4.099B,3.936B,3.936B,9.293B,,,,,,,,,888.00M,917.00M,39.00M,956.00M,51.99B,1.957B,,50.03B,25.69B,78.13B,94.04B,,,1.862B,1.862B,,685.00M,685.00M,685.00M,5.34B,11.44B,,11.44B,61.42B,1.33B,254.00M,74.19B,82.66B,3.679B,5.287B,3.71B,1.914B,2.733B,285.00M,11.13B
2010-06,591.00M,1.984B,2.575B,,,3.728B,,,,,,,,,1.461B,917.00M,42.00M,959.00M,54.03B,2.219B,,51.81B,22.79B,81.08B,94.17B,,,2.154B,2.154B,,819.00M,819.00M,819.00M,5.809B,10.45B,,10.45B,62.38B,1.321B,252.00M,74.15B,83.10B,3.675B,5.118B,3.701B,1.914B,2.729B,153.00M,10.82B
2010-03,619.00M,4.345B,4.964B,,,6.027B,,,,,,,,,1.524B,917.00M,46.00M,963.00M,56.47B,2.425B,,54.04B,21.95B,82.64B,95.30B,,,2.089B,2.089B,,446.00M,446.00M,446.00M,4.462B,11.18B,,11.18B,65.15B,1.103B,281.00M,77.43B,84.38B,3.671B,5.098B,3.724B,1.958B,2.725B,19.00M,10.64B
2009-12,471.00M,1.743B,2.214B,,,3.308B,,,,164.00M,,716.00M,880.00M,,880.00M,917.00M,50.00M,967.00M,59.21B,2.534B,,56.68B,19.62B,82.96B,93.29B,,,2.007B,2.007B,,340.00M,340.00M,340.00M,4.089B,11.56B,,11.56B,65.57B,1.012B,270.00M,78.14B,82.35B,3.667B,5.158B,3.734B,1.98B,2.721B,-3.00M,10.66B
2009-09,725.00M,2.986B,3.711B,,,4.996B,,,,,,,,,1.638B,917.00M,54.00M,971.00M,62.90B,2.485B,,60.41B,19.83B,86.31B,96.99B,,,2.236B,2.236B,,471.00M,471.00M,471.00M,4.371B,12.86B,,12.86B,67.26B,1.185B,218.00M,81.31B,85.80B,3.663B,5.431B,3.726B,1.983B,2.717B,46.00M,10.97B
2009-06,723.00M,3.487B,4.21B,,,5.392B,,,,,,,,,1.70B,917.00M,106.00M,1.023B,71.71B,2.499B,,69.21B,16.46B,91.42B,97.79B,,,1.616B,1.616B,,1.71B,1.71B,1.71B,4.856B,13.46B,,13.46B,67.88B,530.00M,209.00M,81.88B,86.73B,3.578B,5.878B,3.292B,1.984B,2.713B,0.00,10.85B
2009-03,637.00M,2.917B,3.554B,,,5.261B,,,,,,,,,847.00M,917.00M,112.00M,1.029B,74.83B,2.186B,,72.64B,12.75B,91.03B,97.83B,,,1.904B,1.904B,,2.285B,2.285B,2.285B,5.754B,14.98B,,14.98B,66.00B,932.00M,206.00M,81.91B,87.66B,3.66B,6.16B,2.464B,2.50B,3.076B,97.00M,9.968B
2008-12,1.245B,5.221B,6.466B,,,8.362B,,,,,,,,,1.83B,1.113B,116.00M,1.229B,73.46B,1.629B,,71.83B,14.77B,92.48B,104.53B,,,2.481B,2.481B,,8.477B,8.477B,8.477B,12.52B,15.00B,,15.00B,65.13B,1.032B,201.00M,81.15B,93.85B,3.656B,6.727B,2.553B,2.608B,3.072B,65.00M,10.48B
2008-09,1.937B,,1.937B,,,1.937B,,,,,,,,,801.00M,,,1.73B,80.68B,1.554B,-2.497B,76.63B,12.08B,99.35B,101.29B,,,,,,5.352B,5.352B,5.352B,7.151B,15.60B,,15.60B,64.68B,,,80.28B,92.64B,1.242B,7.32B,2.552B,2.616B,658.00M,153.00M,8.651B
2008-06,1.912B,,1.912B,,,1.912B,,,,,,,,,748.00M,,,1.744B,80.22B,1.421B,-2.532B,76.27B,12.20B,99.63B,101.54B,,,,,,6.622B,6.622B,6.622B,8.71B,15.11B,,15.11B,64.40B,,,79.50B,92.84B,1.227B,7.461B,2.544B,2.675B,650.00M,149.00M,8.706B
2008-03,1.73B,,1.73B,,,1.73B,,,,,,,,,712.00M,,,1.763B,80.29B,1.298B,-2.168B,76.82B,11.60B,99.76B,101.49B,,,,,,5.464B,5.464B,5.464B,8.967B,14.34B,,14.34B,64.70B,,,79.04B,92.90B,492.00M,8.737B,1.659B,2.689B,,393.00M,8.592B
2007-12,1.814B,,1.814B,,,1.814B,,,,,,,,,681.00M,,,1.375B,77.76B,1.20B,-2.202B,74.36B,11.00B,96.41B,98.23B,,,,,,5.861B,5.861B,5.861B,9.788B,11.96B,,11.96B,63.10B,,,75.06B,90.48B,492.00M,8.522B,1.623B,3.021B,,130.00M,7.746B
2007-09,2.016B,,2.016B,,,2.016B,,,,,,,,,631.00M,,,1.307B,76.02B,955.00M,-2.227B,72.84B,11.18B,95.35B,97.37B,,,,,,2.743B,2.743B,2.743B,8.141B,11.55B,,11.55B,63.71B,,,75.26B,89.55B,492.00M,8.788B,1.617B,3.023B,,-54.00M,7.82B
2007-06,1.818B,,1.818B,,,1.818B,,,,,,,,,600.00M,,,1.312B,73.38B,945.00M,-2.146B,70.29B,11.09B,92.26B,94.08B,,,,,,2.631B,2.631B,2.631B,6.993B,12.58B,,12.58B,60.60B,,,73.18B,86.38B,492.00M,8.72B,1.652B,2.994B,,-169.00M,7.701B
2007-03,2.052B,,2.052B,,,2.052B,,,,,,,,,590.00M,,,1.317B,72.07B,944.00M,-2.186B,68.94B,11.38B,91.17B,93.22B,,,,,,1.108B,1.108B,1.108B,6.878B,13.06B,,13.06B,59.78B,,,72.84B,85.50B,492.00M,8.528B,1.614B,2.801B,,-114.00M,7.719B
2006-12,2.264B,,2.264B,,,2.264B,,,,,,,,,595.00M,,,1.322B,71.60B,944.00M,-2.136B,68.52B,10.63B,90.07B,92.34B,,,,,,1.192B,1.192B,1.192B,4.835B,14.53B,,14.53B,59.12B,,,73.65B,84.63B,492.00M,8.377B,1.602B,2.584B,,-184.00M,7.703B
2006-09,2.957B,,2.957B,,,2.957B,,,,,,,,,567.00M,,,1.499B,74.78B,944.00M,-2.075B,71.76B,10.43B,93.20B,96.16B,,,,,,2.594B,2.594B,2.594B,7.295B,13.65B,,13.65B,61.43B,,,75.08B,88.21B,492.00M,8.371B,1.588B,2.434B,,-70.00M,7.947B
2006-06,2.814B,,2.814B,,,2.814B,,,,,,,,,557.00M,,,1.504B,73.68B,956.00M,-2.078B,70.64B,10.14B,91.98B,94.79B,,,,,,2.36B,2.36B,2.36B,6.014B,14.05B,,14.05B,60.84B,,,74.89B,87.06B,492.00M,8.199B,1.577B,2.411B,,-120.00M,7.737B
2006-03,2.486B,,2.486B,,,2.486B,,,,,,,,,564.00M,,,1.475B,72.80B,966.00M,-2.187B,69.64B,10.48B,90.90B,93.39B,,,,,,2.508B,2.508B,2.508B,6.019B,14.03B,,14.03B,59.40B,,,73.43B,85.75B,492.00M,8.031B,1.535B,2.299B,,-121.00M,7.638B
2005-12,3.108B,,3.108B,,,3.108B,,,,,,,,,575.00M,,,1.48B,72.01B,966.00M,-2.153B,68.89B,10.28B,90.02B,93.13B,,,,,,1.78B,1.78B,1.78B,6.615B,13.94B,,13.94B,58.76B,,,72.70B,85.53B,492.00M,7.882B,1.534B,2.204B,,-106.00M,7.598B
2005-09,2.66B,,2.66B,,,2.66B,,,,,,,,,593.00M,,,1.453B,69.17B,1.093B,,68.08B,10.93B,89.66B,92.32B,,,,,,3.001B,3.001B,3.001B,6.445B,14.04B,,14.04B,58.07B,,,72.11B,84.80B,492.00M,7.719B,1.517B,2.133B,,-73.00M,7.522B
2005-06,2.968B,,2.968B,,,2.968B,,,,,,,,,576.00M,,,1.443B,67.96B,1.10B,,66.86B,10.58B,88.05B,91.02B,,,,,,3.315B,3.315B,3.315B,6.139B,13.59B,,13.59B,58.06B,,,71.65B,83.66B,492.00M,7.574B,1.504B,2.132B,,-86.00M,7.352B
2005-03,2.991B,,2.991B,,,2.991B,,,,,,,,,587.00M,,,1.446B,68.33B,1.128B,,67.20B,10.39B,87.27B,90.26B,,,,,,2.82B,2.82B,2.82B,6.04B,14.10B,,14.10B,57.13B,,,71.23B,83.10B,492.00M,7.416B,1.481B,2.156B,,-71.00M,7.162B
2004-12,2.454B,,2.454B,,,2.454B,,,,,,,,,603.00M,,,1.446B,67.72B,1.138B,,66.59B,10.42B,88.29B,90.75B,,,,,,2.515B,2.515B,2.515B,4.66B,14.85B,,14.85B,57.84B,,,72.69B,83.63B,492.00M,7.284B,1.491B,2.128B,,-22.00M,7.117B
2004-09,2.984B,,2.984B,,,2.984B,,,,,,,,,599.00M,,,1.211B,64.98B,1.251B,,63.73B,11.35B,85.47B,88.46B,,,,,,2.853B,2.853B,2.853B,6.175B,13.44B,,13.44B,55.84B,,,69.28B,81.51B,492.00M,7.197B,1.477B,2.172B,,-48.00M,6.946B
2004-06,2.313B,,2.313B,,,2.313B,,,,,,,,,600.00M,,,1.181B,64.02B,1.276B,,62.74B,10.97B,83.91B,86.22B,,,,,,2.598B,2.598B,2.598B,6.392B,14.61B,,14.61B,52.42B,,,67.03B,79.39B,492.00M,7.072B,1.469B,2.121B,,-83.00M,6.829B
2004-03,2.113B,,2.113B,,,2.113B,,,,,,,,,604.00M,,,1.184B,62.51B,1.306B,,61.21B,10.76B,82.34B,84.45B,,,,,,2.588B,2.588B,2.588B,6.172B,15.33B,,15.33B,49.93B,,,65.26B,77.45B,492.00M,6.96B,1.459B,1.966B,,54.00M,6.999B
2003-12,2.712B,,2.712B,,,2.712B,,,,,,,,,606.00M,,,1.187B,62.71B,1.406B,,61.30B,10.43B,81.78B,84.49B,,,,,,2.947B,2.947B,2.947B,5.614B,15.29B,,15.29B,50.86B,,,66.15B,77.52B,492.00M,6.838B,1.448B,1.801B,,-8.00M,6.969B
