,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,197.00M,0.00,,,,0.00,30.00M,9.00M,39.00M,39.00M,-11.00M,,,,48.00M,,2.00M,11.00M,-17.00M,-2.00M,-16.00M,,4.00M,-20.00M,255.00M,,2018-03,-90.00M,,-90.00M,-3.00M,105.00M,,12.00M,,2018-03,-2.00M,,-2.00M,21.00M,0.00,21.00M,48.00M,67.00M,,2018-03,334.00M,1.00M,1.56B,,2018-03,21.00M,,0.00,,2018-03,AOR,Restated
2017-12,57.00M,0.00,,,,0.00,29.00M,10.00M,39.00M,39.00M,28.00M,,0.00,,41.00M,,10.00M,-27.00M,-6.00M,-6.00M,23.00M,,135.00M,119.00M,294.00M,,2017-12,-76.00M,,-76.00M,303.00M,-542.00M,,-315.00M,,2017-12,-2.00M,,-2.00M,8.00M,-75.00M,-67.00M,-40.00M,-109.00M,,2017-12,-130.00M,1.00M,1.225B,,2017-12,8.00M,0.00,-75.00M,,2017-12,AOR,Restated
2017-09,153.00M,0.00,,,,0.00,29.00M,12.00M,41.00M,41.00M,-13.00M,,0.00,,34.00M,,11.00M,-13.00M,-18.00M,9.00M,27.00M,,4.00M,9.00M,235.00M,,2017-09,-84.00M,,-82.00M,0.00,-13.00M,,-97.00M,,2017-09,-1.00M,,-1.00M,32.00M,-75.00M,-43.00M,39.00M,-5.00M,,2017-09,133.00M,2.00M,1.354B,,2017-09,32.00M,0.00,-75.00M,,2017-09,AOR,Restated
2017-06,120.00M,0.00,,,,0.00,26.00M,12.00M,38.00M,38.00M,-20.00M,,0.00,,39.00M,,5.00M,-2.00M,-10.00M,3.00M,-8.00M,,13.00M,-4.00M,178.00M,,2017-06,-69.00M,,-69.00M,-18.00M,122.00M,,35.00M,,2017-06,0.00,,0.00,9.00M,0.00,9.00M,15.00M,24.00M,,2017-06,237.00M,1.00M,1.219B,,2017-06,9.00M,5.00M,0.00,,2017-06,AOR,Restated
2017-03,348.00M,-453.00M,,,,-453.00M,26.00M,12.00M,38.00M,38.00M,86.00M,,23.00M,,50.00M,,5.00M,16.00M,1.00M,2.00M,49.00M,,3.00M,71.00M,168.00M,,2017-03,-83.00M,,-83.00M,-59.00M,305.00M,,163.00M,,2017-03,-1.00M,,-1.00M,22.00M,-101.00M,-79.00M,-6.00M,-86.00M,,2017-03,245.00M,1.00M,981.00M,,2017-03,22.00M,,-101.00M,,2017-03,AOR,Restated
2016-12,107.00M,0.00,,,,0.00,25.00M,13.00M,38.00M,38.00M,36.00M,,0.00,,27.00M,,5.00M,-2.00M,12.00M,-4.00M,38.00M,,5.00M,49.00M,262.00M,,2016-12,-82.00M,,-82.00M,-5.00M,-87.00M,,-174.00M,,2016-12,5.00M,,5.00M,0.00,-136.00M,-136.00M,-15.00M,-145.00M,,2016-12,-57.00M,-3.00M,735.00M,,2016-12,0.00,0.00,-136.00M,,2016-12,AOR,Restated
2016-09,117.00M,0.00,,,,0.00,23.00M,13.00M,36.00M,36.00M,30.00M,,0.00,,35.00M,,9.00M,-8.00M,-1.00M,-2.00M,-41.00M,,1.00M,-51.00M,176.00M,,2016-09,-68.00M,,-57.00M,-3.00M,-270.00M,,-341.00M,,2016-09,4.00M,,4.00M,20.00M,-13.00M,7.00M,-3.00M,9.00M,,2016-09,-156.00M,-1.00M,795.00M,,2016-09,20.00M,3.00M,-13.00M,,2016-09,AOR,Restated
2016-06,116.00M,0.00,,,,0.00,21.00M,13.00M,34.00M,34.00M,34.00M,,0.00,,32.00M,,11.00M,26.00M,-24.00M,8.00M,4.00M,,1.00M,15.00M,242.00M,,2016-06,-68.00M,,-68.00M,-3.00M,115.00M,,44.00M,,2016-06,6.00M,,6.00M,4.00M,-100.00M,-96.00M,-4.00M,-89.00M,,2016-06,197.00M,0.00,952.00M,,2016-06,4.00M,2.00M,-100.00M,,2016-06,AOR,Restated
2016-03,88.00M,0.00,,,,0.00,21.00M,12.00M,33.00M,33.00M,-6.00M,,0.00,,35.00M,,7.00M,-13.00M,-17.00M,-3.00M,-27.00M,,2.00M,-58.00M,99.00M,,2016-03,-53.00M,,-53.00M,-21.00M,30.00M,,-44.00M,,2016-03,-76.00M,,-76.00M,23.00M,0.00,23.00M,-18.00M,-71.00M,,2016-03,-16.00M,2.00M,755.00M,,2016-03,23.00M,,0.00,,2016-03,AOR,Restated
2015-12,103.47M,,,-0.518M,,-0.518M,20.23M,13.12M,33.34M,33.34M,-2.679M,,,,35.90M,121.70M,13.44M,25.31M,-37.40M,-6.018M,71.58M,,8.648M,62.12M,366.78M,,2015-12,-35.36M,,-35.64M,-3.674M,267.58M,,228.54M,,2015-12,-28.79M,,-28.79M,6.332M,-201.74M,-195.41M,-155.17M,-379.38M,,2015-12,215.95M,1.678M,769.00M,,2015-12,6.332M,0.00,-201.74M,,2015-12,AOR,Restated
2015-09,115.62M,,,-2.90M,,-2.90M,18.57M,14.29M,32.86M,32.86M,3.098M,,,,32.23M,-15.54M,13.14M,-46.12M,-11.07M,-3.60M,67.14M,,-3.847M,2.496M,180.99M,,2015-09,-29.46M,,-29.46M,-40.25M,30.78M,,-38.93M,,2015-09,-207.54M,,-207.54M,23.16M,-37.50M,-14.35M,40.99M,-180.90M,,2015-09,-38.83M,-0.698M,551.53M,,2015-09,23.16M,0.00,-37.50M,,2015-09,AOR,Restated
2015-06,102.25M,,,0.00,,0.00,17.45M,13.25M,30.70M,30.70M,27.13M,,,,32.96M,-29.72M,14.88M,-15.72M,-18.48M,-0.225M,28.46M,,-0.792M,-6.756M,171.44M,,2015-06,-41.63M,,-41.35M,-12.14M,-88.70M,,-142.47M,,2015-06,-8.55M,,-8.55M,12.79M,0.00,12.79M,23.57M,27.81M,,2015-06,56.78M,0.735M,591.06M,,2015-06,12.79M,0.00,0.00,,2015-06,AOR,Restated
2015-03,136.66M,,,-12.58M,,-12.58M,16.75M,13.35M,30.10M,30.10M,53.45M,,,,31.92M,-76.44M,1.537M,-59.47M,-14.04M,-1.157M,-22.18M,,-1.009M,-97.86M,66.78M,,2015-03,-36.55M,,-36.55M,13.07M,-130.66M,,-154.15M,,2015-03,-0.114M,,-0.114M,29.73M,-34.75M,-5.026M,-7.394M,-12.53M,,2015-03,-99.90M,-2.715M,533.54M,,2015-03,29.73M,,-34.75M,,2015-03,AOR,Restated
2014-12,153.28M,,,0.00,,0.00,17.12M,12.83M,29.95M,29.95M,69.42M,,,,38.46M,-23.84M,-96.79M,-12.65M,8.151M,26.77M,-19.27M,,-32.94M,-29.93M,140.55M,,2014-12,-64.33M,,-34.83M,-5.00M,-263.45M,,-332.78M,,2014-12,-0.111M,,-0.111M,11.60M,-34.75M,-23.16M,23.47M,0.202M,,2014-12,-192.03M,-1.709M,636.15M,,2014-12,11.60M,0.00,-34.75M,,2014-12,AOR,Restated
2014-09,93.49M,,,-4.427M,,-4.427M,14.80M,11.89M,26.69M,26.69M,-1.084M,,,,44.67M,-25.31M,15.38M,-20.54M,-21.51M,-18.69M,44.09M,,12.84M,-3.809M,145.60M,,2014-09,-34.92M,,-28.83M,1.642M,-10.95M,,-44.23M,,2014-09,-0.133M,,-0.133M,30.58M,0.00,30.58M,25.05M,55.50M,,2014-09,156.87M,-2.195M,829.90M,,2014-09,30.58M,0.00,0.00,,2014-09,AOR,Restated
2014-06,46.60M,,,,-2.417M,28.94M,15.39M,12.13M,27.53M,27.53M,-2.431M,,,,36.00M,-26.80M,13.78M,34.97M,-13.20M,-1.587M,40.65M,,-6.412M,54.42M,178.03M,,2014-06,-23.32M,,-23.32M,-7.082M,145.18M,,114.78M,,2014-06,-112.44M,,-112.44M,22.11M,-72.41M,-50.31M,26.22M,-136.52M,,2014-06,156.29M,0.422M,675.22M,,2014-06,22.11M,1.132B,-72.41M,,2014-06,AOR,Restated
2014-03,59.98M,,,,2.417M,2.417M,14.59M,13.81M,28.41M,28.41M,33.94M,,,,33.42M,-50.53M,6.596M,-52.16M,-9.991M,0.125M,-7.24M,,-7.887M,-77.15M,37.09M,,2014-03,-19.64M,,-19.01M,-4.60M,-120.15M,,-144.39M,,2014-03,-29.65M,,-29.65M,32.04M,-130.02M,-97.97M,41.70M,-85.92M,,2014-03,-193.22M,0.10M,518.51M,,2014-03,32.04M,,-130.02M,,2014-03,AOR,Restated
2013-12,80.66M,,,-55.24M,-4.109M,-58.80M,13.73M,13.44M,27.17M,27.17M,21.98M,,0.00,,29.75M,-29.45M,14.52M,-3.424M,6.615M,3.173M,45.80M,,-11.16M,41.01M,126.84M,,2013-12,-35.81M,,-27.31M,3.586M,-118.59M,,-150.81M,,2013-12,-0.131M,,-0.131M,14.23M,0.00,14.23M,29.45M,43.56M,,2013-12,19.58M,0.216M,711.64M,,2013-12,14.23M,0.00,0.00,,2013-12,AOR,Restated
2013-09,31.36M,,,0.00,1.358M,1.358M,13.36M,13.52M,26.88M,26.88M,-29.81M,,25.21M,,27.41M,-12.38M,3.451M,-24.46M,7.961M,-0.74M,26.73M,,0.17M,9.66M,83.14M,,2013-09,-18.93M,,-18.93M,-91.92M,9.555M,,-101.30M,,2013-09,-1.581M,,-1.581M,39.15M,0.00,39.15M,12.38M,-75.05M,,2013-09,-93.21M,1.437M,691.84M,,2013-09,39.15M,0.00,0.00,,2013-09,AOR,Restated
2013-06,35.88M,,,0.00,1.358M,1.358M,11.96M,11.39M,23.35M,23.35M,7.871M,,,,24.45M,-9.566M,1.332M,5.825M,-0.093M,-2.186M,1.227M,,-0.84M,3.933M,88.61M,,2013-06,-13.88M,,-11.53M,-4.476M,265.83M,,247.48M,,2013-06,-9.082M,,-9.082M,27.84M,-25.01M,2.832M,12.03M,5.784M,,2013-06,341.87M,-1.338M,783.61M,,2013-06,27.84M,0.00,-25.01M,,2013-06,AOR,Restated
2013-03,-22.59M,,,-6.113M,1.393M,-4.72M,11.76M,8.772M,20.53M,20.53M,-36.70M,,,,24.22M,-5.278M,13.58M,6.129M,-8.266M,1.536M,100.11M,,-0.714M,98.80M,87.84M,,2013-03,-21.94M,,-21.44M,-335.11M,292.03M,,-65.02M,,2013-03,-0.058M,,-0.058M,13.24M,-25.01M,-11.77M,-1.175M,-13.01M,,2013-03,9.813M,-0.712M,443.08M,,2013-03,13.24M,,-25.01M,,2013-03,AOR,Restated
2012-12,71.90M,,,,2.257M,-43.65M,12.68M,5.934M,18.62M,18.62M,14.74M,,0.00,,24.18M,-8.32M,9.418M,2.604M,-10.25M,-1.66M,-6.265M,,7.561M,-8.007M,78.88M,,2012-12,-18.00M,,-17.10M,55.91M,-19.30M,,18.61M,,2012-12,0.00,,0.00,15.65M,-30.01M,-14.36M,8.32M,-6.042M,,2012-12,91.44M,-0.553M,433.98M,,2012-12,15.65M,,-30.01M,,2012-12,AOR,Restated
2012-09,29.75M,,,,1.084M,1.084M,12.09M,4.202M,16.29M,16.29M,-8.687M,,0.00,,23.07M,-1.258M,26.72M,-23.83M,-8.65M,-3.253M,6.436M,,-6.437M,-35.74M,51.23M,,2012-09,-28.98M,,-17.65M,-83.16M,95.03M,,-17.10M,,2012-09,0.00,,0.00,10.69M,-20.01M,-9.323M,1.258M,-8.065M,,2012-09,26.06M,0.619M,343.09M,,2012-09,10.69M,,-20.01M,,2012-09,AOR,Restated
2012-06,23.40M,,,,0.044M,0.044M,11.52M,3.466M,14.98M,14.98M,-22.43M,,21.44M,,24.05M,-1.711M,9.786M,15.94M,-4.969M,0.62M,14.85M,,0.326M,26.77M,96.33M,,2012-06,-20.95M,,-20.95M,-7.53M,18.83M,,-9.648M,,2012-06,0.00,,0.00,3.898M,-32.50M,-28.60M,-1.663M,-30.26M,,2012-06,56.42M,-0.199M,316.41M,,2012-06,3.898M,,-32.50M,,2012-06,AOR,Restated
2012-03,26.20M,,,,2.921M,2.921M,11.96M,3.468M,15.43M,15.43M,-5.323M,,,,23.03M,-9.494M,13.68M,-29.16M,0.159M,1.231M,24.48M,,2.287M,-0.999M,65.44M,,2012-03,-13.08M,,-13.08M,-7.50M,-121.29M,,-141.87M,,2012-03,0.00,,0.00,24.12M,0.00,24.12M,9.494M,33.62M,,2012-03,-42.81M,0.03M,260.19M,,2012-03,24.12M,,0.00,,2012-03,AOR,Restated
2011-12,,,-1.889M,,,1.568M,15.27M,4.116M,19.39M,19.39M,13.02M,-23.67M,0.00,,21.82M,-5.967M,-21.64M,-4.467M,12.84M,13.46M,-8.649M,,3.982M,17.16M,108.30M,,2011-12,-27.76M,,-27.11M,-13.77M,-1.427M,,-42.96M,,2011-12,0.00,0.00,0.00,-3.631M,0.00,-3.631M,5.967M,7.848M,,2011-12,73.19M,-0.056M,302.98M,,2011-12,-3.631M,0.00,0.00,,2011-12,AOR,Restated
2011-09,,,3.119M,,,3.874M,14.31M,3.188M,17.50M,17.50M,2.088M,8.488M,0.00,,24.57M,-7.067M,21.11M,18.21M,4.791M,-8.935M,2.957M,,2.456M,19.48M,90.04M,,2011-09,-22.18M,,-22.18M,0.00,89.28M,,67.10M,,2011-09,0.00,-8.965M,-8.965M,23.66M,-204.08M,-180.42M,7.067M,-187.83M,,2011-09,-30.69M,-0.551M,229.85M,,2011-09,23.66M,0.00,-204.08M,,2011-09,AOR,Restated
2011-06,,,-1.09M,,,8.589M,13.16M,3.328M,16.49M,16.49M,-2.515M,8.671M,0.00,,23.67M,-23.32M,33.75M,-9.639M,8.474M,-1.094M,6.487M,,1.66M,5.888M,71.22M,,2011-06,-17.19M,,-16.20M,0.00,-255.07M,,-272.26M,,2011-06,117.49M,-87.77M,29.72M,26.48M,-28.01M,-1.521M,23.32M,51.52M,,2011-06,-149.53M,0.27M,261.08M,,2011-06,26.48M,117.49M,-28.01M,,2011-06,AOR,Restated
2011-03,,,-0.14M,,,27.04M,12.83M,2.985M,15.81M,15.81M,6.636M,6.514M,,,22.04M,-10.00M,28.04M,-11.11M,-3.95M,-5.445M,17.05M,,-4.044M,-7.498M,88.58M,,2011-03,-12.41M,,-12.30M,-58.30M,-82.16M,,-152.88M,,2011-03,786.00M,-253.14M,532.86M,15.42M,-338.32M,-322.90M,10.00M,225.48M,,2011-03,161.18M,0.211M,410.34M,,2011-03,15.42M,786.00M,-338.32M,,2011-03,AOR,Restated
2010-12,124.89M,2.914M,-0.429M,,,12.79M,9.593M,2.295M,11.89M,11.89M,29.85M,-15.90M,,,19.84M,-27.89M,-72.50M,4.908M,-12.12M,-0.017M,6.391M,,-0.648M,-1.486M,81.48M,,2010-12,-12.53M,,-12.38M,-27.68M,-29.84M,,-70.06M,,2010-12,0.00,0.00,0.00,20.22M,-28.01M,-7.792M,27.89M,26.54M,,2010-12,37.97M,0.428M,248.95M,,2010-12,20.22M,0.00,-28.01M,,2010-12,AOR,Restated
2010-09,,0.00,-4.054M,,,-4.054M,8.807M,2.295M,11.10M,11.10M,10.80M,5.40M,,,17.96M,-6.551M,38.06M,-18.91M,-8.697M,0.479M,10.01M,,-0.772M,-17.90M,54.83M,,2010-09,-17.61M,,-13.11M,-23.14M,-53.12M,,-93.87M,,2010-09,0.00,0.00,0.00,21.86M,-16.01M,5.857M,6.551M,12.41M,,2010-09,-26.64M,0.00,210.77M,,2010-09,21.86M,0.00,-16.01M,,2010-09,AOR,Restated
2010-06,-21.21M,-2.914M,1.678M,,,-1.236M,8.413M,1.595M,10.01M,10.01M,3.388M,5.301M,,,16.84M,-3.50M,52.85M,6.95M,-19.58M,0.545M,26.43M,,0.414M,14.75M,77.20M,,2010-06,-15.14M,,-13.14M,-65.07M,-16.25M,,-96.46M,,2010-06,0.00,0.00,0.00,33.78M,0.00,33.78M,3.50M,43.22M,,2010-06,23.96M,0.007M,237.19M,,2010-06,33.78M,0.00,0.00,,2010-06,AOR,Restated
2010-03,21.21M,,2.805M,,,2.805M,7.391M,1.62M,9.011M,9.011M,4.652M,5.203M,,,17.00M,-4.50M,1.427M,-0.788M,-8.181M,1.547M,12.36M,,-2.673M,2.26M,59.06M,,2010-03,-11.18M,,-11.18M,-10.00M,-3.484M,,-24.66M,,2010-03,0.00,,0.00,26.16M,0.00,26.16M,4.50M,34.31M,,2010-03,68.71M,-0.115M,213.22M,,2010-03,26.16M,0.00,0.00,,2010-03,AOR,Restated
2009-12,11.70M,,,,,10.00M,6.245M,1.67M,7.915M,7.915M,3.745M,5.494M,,,16.48M,,3.437M,6.452M,-14.10M,0.026M,13.06M,,-2.916M,2.516M,61.29M,,2009-12,-9.785M,,-6.385M,0.00,25.34M,,15.55M,,2009-12,0.00,,0.00,3.745M,-175.14M,-171.39M,,-171.15M,,2009-12,-94.31M,0.412M,144.63M,,2009-12,3.745M,,-175.14M,,2009-12,AOR,Restated
2009-09,17.08M,,,,,1.325M,6.547M,1.67M,8.217M,8.217M,6.92M,5.005M,,,14.57M,,-15.12M,-6.971M,-9.462M,-2.971M,3.256M,,-1.068M,-17.22M,20.78M,,2009-09,-19.70M,,-19.70M,-1.325M,-137.97M,,-158.99M,,2009-09,0.00,,0.00,11.50M,0.00,11.50M,,25.34M,,2009-09,-112.87M,-0.701M,238.53M,,2009-09,11.50M,,0.00,,2009-09,AOR,Restated
2009-06,24.69M,,,,,,6.108M,1.67M,7.778M,7.778M,10.26M,4.912M,,,14.90M,,-25.34M,-13.37M,-0.844M,2.974M,17.75M,,-4.351M,2.167M,39.37M,,2009-06,-14.02M,,-14.02M,0.00,-59.29M,,-73.31M,,2009-06,0.00,,0.00,11.08M,,11.08M,,39.13M,,2009-06,5.192M,-4.241M,352.10M,,2009-06,11.08M,,,,2009-06,AOR,Restated
2009-03,18.81M,,,,,,5.604M,1.67M,7.274M,7.274M,8.775M,4.875M,,,14.86M,,-0.578M,-4.693M,3.851M,-3.458M,-2.291M,,3.322M,-3.269M,50.75M,,2009-03,-12.57M,,-12.57M,0.00,-27.25M,,-39.82M,,2009-03,-10.00M,,-10.00M,13.05M,,13.05M,,7.813M,,2009-03,18.74M,5.379M,351.15M,,2009-03,13.05M,,,,2009-03,AOR,Restated
2008-12,17.88M,,,,,24.39M,5.079M,2.653M,7.732M,7.732M,5.769M,,,,,,-83.13M,-14.53M,-1.33M,-1.056M,-27.85M,88.82M,-1.217M,42.84M,86.12M,,2008-12,-50.55M,,-14.55M,0.00,-16.67M,,-67.22M,,2008-12,,,0.00,-0.121M,,-70.91M,,-49.41M,,2008-12,-30.52M,2.324M,327.02M,,2008-12,-0.121M,,,,2008-12,,Restated
2008-09,-7.288M,,,,,0.273M,4.476M,2.107M,6.583M,6.583M,9.563M,,,,,,38.23M,-25.86M,-4.859M,-0.749M,96.89M,-86.86M,1.373M,-20.06M,27.30M,,2008-09,-15.32M,,-15.32M,-24.67M,-124.54M,,-164.52M,,2008-09,,,0.001M,356.94M,,356.94M,,356.94M,,2008-09,219.71M,2.538M,355.22M,,2008-09,356.94M,,,,2008-09,,
2008-06,15.40M,,,,,,3.953M,2.967M,6.92M,6.92M,8.209M,,,,,,16.34M,-11.02M,-12.64M,1.871M,-77.30M,89.15M,0.29M,-9.647M,37.22M,,2008-06,-22.86M,,-22.86M,,-14.52M,,-37.38M,,2008-06,,,-0.007M,14.18M,,14.18M,,14.17M,,2008-06,14.01M,0.344M,132.97M,,2008-06,14.18M,,,,2008-06,,
2008-03,13.43M,,,,,,3.777M,2.711M,6.488M,6.488M,7.992M,,,,,,10.86M,-6.262M,-0.732M,2.256M,-9.716M,-91.12M,4.052M,-101.52M,-62.76M,,2008-03,-6.963M,,-6.963M,,-1.16M,,-8.123M,,2008-03,,,-0.009M,15.99M,,15.99M,,15.98M,,2008-03,-54.90M,-1.428M,118.61M,,2008-03,15.99M,,,,2008-03,,
2007-12,-4.048M,,,,,-0.001M,3.287M,2.557M,5.844M,5.844M,,,,,,,-12.11M,-3.14M,-9.979M,-5.237M,-6.152M,59.89M,-1.813M,33.57M,11.85M,,2007-12,-9.086M,0.002M,-9.084M,-0.008M,77.47M,,68.38M,,2007-12,,,-0.01M,10.37M,0.00,10.37M,,30.44M,,2007-12,110.68M,0.155M,174.94M,,2007-12,10.37M,,0.00,,2007-12,,
