,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,821.63M,821.63M,516.65M,304.98M,101.37M,20.99M,,13.54M,-13.54M,,122.36M,182.62M,13.54M,-13.54M,-30.48M,-13.54M,138.61M,20.36M,138.92M,,,-7.165M,131.76M,131.76M,202.48M,,2018-03,1.19,,,,2018-03,1.18,,,,2018-03,110.68M,,2018-03,AOR,Restated
2017-12,857.79M,857.79M,554.09M,303.70M,118.30M,20.91M,0.00,16.46M,-16.46M,,139.21M,164.49M,16.46M,-16.46M,-6.113M,-16.46M,141.93M,378.22M,-207.07M,,,-11.30M,-218.37M,-218.37M,211.22M,,2017-12,-1.98,0.00,,,2017-12,-1.98,0.00,,,2017-12,110.51M,,2017-12,AOR,Restated
2017-09,754.87M,754.87M,479.21M,275.66M,106.47M,21.76M,0.00,15.79M,-15.79M,,128.23M,147.42M,15.79M,-15.79M,-1.986M,-15.79M,129.64M,18.50M,130.19M,,,-11.52M,118.67M,118.67M,195.33M,,2017-09,1.07,,,,2017-09,1.06,,,,2017-09,110.48M,,2017-09,AOR,Restated
2017-06,737.26M,737.26M,465.30M,271.96M,116.58M,17.34M,,14.59M,-14.59M,,133.92M,138.04M,14.59M,-14.59M,-1.678M,-14.59M,121.77M,23.13M,113.69M,,,-10.36M,103.33M,103.33M,185.48M,,2017-06,0.93,,,,2017-06,0.92,,,,2017-06,110.69M,,2017-06,AOR,Restated
2017-03,722.06M,722.06M,467.11M,254.96M,108.93M,24.32M,,68.51M,-68.51M,,133.25M,121.70M,68.51M,-68.51M,0.265M,-68.51M,53.46M,11.97M,62.66M,,,-11.44M,51.21M,51.21M,167.04M,,2017-03,0.46,,,,2017-03,0.45,,,,2017-03,111.99M,,2017-03,AOR,Restated
2016-12,696.66M,696.66M,455.96M,240.70M,98.78M,19.09M,-13.05M,18.32M,-18.32M,,117.87M,122.83M,18.32M,-18.32M,-34.32M,-18.32M,70.18M,34.73M,50.30M,559.97M,,-8.188M,602.09M,49.94M,138.18M,,2016-12,0.37,4.98,,,2016-12,0.37,4.93,,,2016-12,112.49M,,2016-12,AOR,Restated
2016-09,654.01M,654.01M,415.04M,238.97M,86.30M,21.01M,-6.749M,15.95M,-15.95M,,107.31M,131.66M,15.95M,-15.95M,-3.759M,-15.95M,111.95M,12.39M,114.51M,23.18M,,-9.477M,128.22M,111.03M,175.89M,,2016-09,0.93,0.21,,,2016-09,0.93,0.20,,,2016-09,112.43M,,2016-09,AOR,Restated
2016-06,669.33M,669.33M,421.22M,248.10M,86.06M,20.50M,-18.06M,15.80M,-15.80M,,106.56M,141.55M,15.80M,-15.80M,-20.35M,-15.80M,105.40M,23.66M,95.59M,-398.34M,,-12.07M,-314.82M,97.53M,189.15M,,2016-06,0.74,-3.54,,,2016-06,0.74,-3.54,,,2016-06,112.34M,,2016-06,AOR,Restated
2016-03,657.21M,657.21M,414.68M,242.53M,82.63M,19.87M,102.77M,15.11M,-15.11M,,102.50M,140.03M,15.11M,-15.11M,102.81M,-15.11M,227.73M,25.48M,218.24M,17.31M,,-7.362M,228.19M,119.62M,303.40M,,2016-03,1.88,0.15,,,2016-03,1.87,0.15,,,2016-03,112.26M,,2016-03,AOR,Restated
2015-12,722.61M,722.61M,484.84M,237.77M,47.77M,21.86M,-15.13M,19.46M,-19.46M,,69.63M,168.14M,19.46M,-19.46M,-18.08M,-19.46M,130.61M,-30.65M,169.28M,13.40M,,-8.425M,174.25M,169.93M,209.77M,,2015-12,1.55,0.00,,,2015-12,1.55,0.00,,,2015-12,112.21M,,2015-12,AOR,Restated
2015-09,693.22M,693.22M,474.17M,219.04M,81.01M,21.90M,-29.71M,19.29M,-19.29M,,102.92M,116.13M,19.29M,-19.29M,-29.59M,-19.29M,67.25M,13.14M,59.84M,11.03M,,-5.48M,65.39M,78.28M,155.45M,,2015-09,0.48,0.10,,,2015-09,0.48,0.10,,,2015-09,112.20M,,2015-09,AOR,Restated
2015-06,718.29M,718.29M,506.26M,212.03M,88.01M,21.92M,-22.83M,20.60M,-20.60M,,109.94M,102.10M,20.60M,-20.60M,-22.55M,-20.60M,58.95M,14.85M,49.22M,10.12M,,-7.193M,52.15M,59.10M,147.03M,,2015-06,0.37,0.09,,,2015-06,0.37,0.09,,,2015-06,112.19M,,2015-06,AOR,Restated
2015-03,884.40M,884.40M,625.94M,258.47M,135.76M,26.49M,-59.52M,35.75M,-35.75M,,162.26M,96.21M,35.75M,-35.75M,-9.566M,-35.75M,50.90M,14.14M,47.15M,,,-4.034M,43.12M,86.09M,150.63M,,2015-03,0.40,,,,2015-03,0.40,,,,2015-03,108.13M,,2015-03,AOR,Restated
2014-12,598.57M,598.57M,436.13M,162.44M,144.01M,21.39M,-20.38M,15.10M,-15.10M,,165.40M,-2.962M,15.10M,-15.10M,-30.68M,-15.10M,-48.75M,-28.22M,-12.99M,-1.058M,,-4.46M,-18.51M,-4.206M,-8.417M,,2014-12,-0.22,-0.02,,,2014-12,-0.22,-0.02,,,2014-12,78.14M,,2014-12,AOR,Restated
2014-09,642.42M,642.42M,436.97M,205.45M,66.01M,22.41M,-10.55M,8.749M,-8.749M,,88.42M,117.03M,8.749M,-8.749M,-17.17M,-8.749M,91.11M,11.74M,88.02M,-6.679M,,-8.546M,72.79M,88.67M,125.48M,,2014-09,1.02,-0.09,,,2014-09,1.01,-0.09,,,2014-09,78.24M,,2014-09,AOR,Restated
2014-06,604.72M,604.72M,397.36M,207.36M,67.01M,21.94M,-8.175M,8.733M,-8.733M,,88.95M,118.42M,8.733M,-8.733M,-9.154M,-8.733M,100.53M,21.77M,89.40M,-60.02M,,-6.932M,22.45M,88.87M,134.17M,,2014-06,1.05,-0.76,,,2014-06,1.04,-0.76,,,2014-06,78.66M,,2014-06,AOR,Restated
2014-03,599.84M,599.84M,404.24M,195.60M,78.10M,22.57M,-17.00M,8.773M,-8.773M,,100.68M,94.92M,8.773M,-8.773M,-15.86M,-8.773M,70.29M,13.19M,66.00M,-1.769M,,-7.652M,56.58M,72.16M,106.88M,,2014-03,0.73,-0.02,,,2014-03,0.73,-0.02,,,2014-03,79.74M,,2014-03,AOR,Restated
2013-12,639.64M,639.64M,386.36M,253.28M,-28.48M,21.29M,-33.36M,9.224M,-9.224M,,-7.192M,260.47M,9.224M,-9.224M,-33.89M,-9.224M,217.36M,61.55M,162.23M,-0.886M,,-5.413M,155.93M,180.73M,254.48M,,2013-12,1.92,-0.01,,,2013-12,1.91,-0.01,,,2013-12,81.22M,,2013-12,AOR,Restated
2013-09,591.20M,591.20M,381.58M,209.61M,61.37M,19.44M,0.00,9.496M,-9.496M,,80.81M,128.80M,9.496M,-9.496M,-0.368M,-9.496M,118.94M,26.96M,97.31M,0.531M,,-7.332M,90.51M,89.98M,156.09M,,2013-09,1.10,0.01,,,2013-09,1.10,0.01,,,2013-09,81.38M,,2013-09,AOR,Restated
2013-06,576.84M,576.84M,385.17M,191.67M,61.72M,21.56M,0.00,7.608M,-7.608M,,83.29M,108.38M,7.608M,-7.608M,-1.585M,-7.608M,99.19M,20.40M,88.50M,2.628M,,-8.389M,82.74M,80.11M,133.37M,,2013-06,0.95,0.03,,,2013-06,0.95,0.03,,,2013-06,84.03M,,2013-06,AOR,Restated
2013-03,641.62M,641.62M,442.04M,199.59M,64.75M,19.95M,0.00,5.231M,-5.231M,,84.70M,114.89M,5.231M,-5.231M,-4.209M,-5.231M,105.45M,26.19M,89.52M,,,-5.529M,83.99M,83.99M,135.92M,,2013-03,0.95,,,,2013-03,0.94,,,,2013-03,88.72M,,2013-03,AOR,Restated
2012-12,461.33M,461.33M,280.50M,180.82M,119.31M,19.13M,-16.98M,7.666M,-7.666M,,138.44M,42.38M,7.666M,-7.666M,-17.32M,-7.666M,17.40M,-12.95M,39.18M,,,-5.739M,37.73M,44.48M,49.66M,,2012-12,0.42,,,,2012-12,0.42,,,,2012-12,89.02M,,2012-12,AOR,Restated
2012-09,661.23M,661.23M,443.48M,217.75M,53.40M,19.83M,0.00,7.914M,-7.914M,,73.24M,144.52M,7.914M,-7.914M,2.37M,-7.914M,138.97M,32.47M,114.43M,,,-4.975M,109.46M,109.46M,171.86M,,2012-09,1.23,,,,2012-09,1.22,,,,2012-09,89.33M,,2012-09,AOR,Restated
2012-06,684.89M,684.89M,435.61M,249.29M,61.74M,20.91M,-94.70M,8.486M,-8.486M,,82.65M,166.64M,8.486M,-8.486M,-95.39M,-8.486M,62.76M,21.88M,53.60M,,,-3.506M,50.09M,111.74M,96.46M,,2012-06,0.56,,,,2012-06,0.56,,,,2012-06,89.41M,,2012-06,AOR,Restated
2012-03,711.70M,711.70M,460.72M,250.98M,74.00M,19.05M,,8.734M,-8.734M,,93.05M,157.93M,8.734M,-8.734M,-0.118M,-8.734M,149.08M,39.03M,118.63M,,,-4.371M,114.26M,114.26M,182.04M,,2012-03,1.28,,,,2012-03,1.27,,,,2012-03,89.00M,,2012-03,AOR,Restated
2011-12,707.39M,707.39M,495.42M,211.97M,126.96M,18.99M,-0.534M,8.998M,-8.998M,,145.94M,66.03M,8.998M,-8.998M,-0.177M,-8.998M,56.85M,204.56M,59.78M,,,-4.501M,55.28M,55.62M,90.68M,,2011-12,0.63,,,,2011-12,0.62,,,,2011-12,88.81M,,2011-12,AOR,Restated
2011-09,722.98M,722.98M,464.96M,258.01M,77.17M,20.53M,0.956M,9.71M,-9.71M,,97.70M,160.31M,9.71M,-9.71M,0.956M,-9.71M,151.56M,-38.10M,122.96M,,,-6.86M,116.10M,115.38M,185.88M,,2011-09,1.29,0.00,,,2011-09,1.28,0.00,,,2011-09,89.94M,,2011-09,AOR,Restated
2011-06,742.11M,742.11M,490.16M,251.95M,82.91M,19.95M,-0.76M,9.274M,-9.274M,,102.85M,149.10M,9.274M,-9.274M,-0.76M,-9.274M,139.06M,30.15M,123.69M,,,-9.535M,114.16M,114.75M,172.64M,,2011-06,1.24,0.00,,,2011-06,1.23,0.00,,,2011-06,91.71M,,2011-06,AOR,Restated
2011-03,696.53M,696.53M,463.51M,233.02M,73.04M,17.62M,0.338M,9.592M,-9.592M,,90.65M,142.36M,9.592M,-9.592M,0.338M,-9.592M,133.11M,32.17M,113.77M,,,-7.187M,106.58M,106.32M,165.70M,,2011-03,1.16,0.00,,,2011-03,1.15,0.00,,,2011-03,91.63M,,2011-03,AOR,Restated
2010-12,604.98M,604.98M,412.53M,192.45M,79.30M,14.67M,-1.584M,7.474M,-7.474M,,93.97M,98.48M,7.474M,-7.474M,1.204M,-7.474M,92.21M,18.84M,81.40M,,,-4.367M,77.03M,78.29M,123.78M,,2010-12,0.85,,,,2010-12,0.84,,,,2010-12,91.57M,,2010-12,AOR,Restated
2010-09,585.04M,585.04M,388.21M,196.82M,61.92M,14.34M,1.303M,6.139M,-6.139M,,76.26M,120.56M,6.139M,-6.139M,1.303M,-6.139M,115.73M,27.89M,97.02M,,,-3.331M,93.69M,92.70M,144.94M,,2010-09,1.03,0.00,,,2010-09,1.02,0.00,,,2010-09,91.31M,,2010-09,AOR,Restated
2010-06,592.48M,592.48M,404.32M,188.17M,66.86M,14.67M,-0.729M,5.984M,-5.984M,,81.53M,106.64M,5.984M,-5.984M,-0.729M,-5.984M,99.92M,24.33M,86.09M,,,-4.335M,81.75M,82.30M,129.62M,,2010-06,0.90,0.00,,,2010-06,0.89,0.00,,,2010-06,91.31M,,2010-06,AOR,Restated
2010-03,580.27M,580.27M,415.80M,164.47M,66.53M,14.72M,-5.948M,5.936M,-5.936M,,81.25M,83.22M,5.936M,-5.936M,-5.948M,-5.936M,71.34M,-16.70M,64.91M,,,-1.606M,63.31M,67.17M,101.98M,,2010-03,0.69,0.00,,,2010-03,0.69,0.00,,,2010-03,91.39M,,2010-03,AOR,Restated
2009-12,558.23M,558.23M,408.77M,149.46M,59.54M,14.84M,-13.55M,6.023M,-6.023M,,74.38M,75.08M,6.023M,-6.023M,-13.55M,-6.023M,55.50M,-5.353M,65.22M,,,-2.871M,62.34M,71.16M,87.50M,,2009-12,0.68,0.00,,,2009-12,0.68,0.00,,,2009-12,91.60M,,2009-12,AOR,Restated
2009-09,515.28M,515.28M,381.20M,134.08M,56.17M,14.98M,0.343M,6.199M,-6.199M,,71.15M,62.92M,6.199M,-6.199M,0.343M,-6.199M,57.07M,5.549M,57.33M,,,-5.198M,52.13M,51.82M,87.40M,,2009-09,0.57,0.00,,,2009-09,0.57,0.00,,,2009-09,91.59M,,2009-09,AOR,Restated
2009-06,445.30M,445.30M,335.48M,109.82M,63.87M,14.95M,1.276M,6.088M,-6.088M,,78.83M,30.99M,6.088M,-6.088M,1.276M,-6.088M,26.18M,-7.749M,40.13M,,,-1.639M,38.49M,37.66M,56.90M,,2009-06,0.42,0.00,,,2009-06,0.42,0.00,,,2009-06,91.47M,,2009-06,AOR,Restated
2009-03,486.59M,486.59M,396.08M,90.51M,45.43M,16.14M,-1.131M,6.274M,-6.274M,,61.58M,28.93M,6.274M,-6.274M,-1.131M,-6.274M,21.52M,-0.525M,26.95M,,,-1.547M,25.40M,26.13M,53.57M,,2009-03,0.28,0.00,,,2009-03,0.28,0.00,,,2009-03,91.38M,,2009-03,AOR,Restated
2008-12,517.72M,517.72M,394.63M,123.10M,64.12M,15.51M,-23.98M,,,35.27M,114.89M,8.21M,,,-45.95M,,-28.75M,-45.94M,31.92M,,,-5.238M,13.11M,28.70M,13.15M,,2008-12,0.14,0.00,,,2008-12,0.14,0.00,,,2008-12,92.02M,,2008-12,AOR,Restated
2008-09,660.46M,660.46M,506.28M,154.18M,59.90M,17.39M,-2.718M,,,,77.29M,76.89M,,,3.563M,,64.36M,9.878M,56.18M,,,-4.587M,56.18M,58.48M,104.40M,,2008-09,0.62,0.00,,,2008-09,0.61,0.00,,,2008-09,91.07M,,2008-09,,
2008-06,620.75M,620.75M,457.77M,162.98M,67.60M,17.59M,1.938M,,,,85.19M,77.79M,,,10.60M,,71.29M,12.90M,61.66M,,,-5.396M,61.66M,60.07M,105.29M,,2008-06,0.68,0.00,,,2008-06,0.67,0.00,,,2008-06,91.18M,,2008-06,,
2008-03,668.18M,668.18M,500.77M,167.41M,63.52M,16.80M,-0.432M,10.22M,-10.22M,,80.32M,87.09M,10.22M,-10.22M,-0.432M,-10.22M,76.44M,16.63M,66.85M,,,-3.585M,63.26M,63.60M,113.20M,,2008-03,0.68,0.00,,,2008-03,0.67,0.00,,,2008-03,92.65M,,2008-03,,Restated
2007-12,599.16M,599.16M,442.80M,156.36M,62.22M,16.63M,2.853M,,,,78.86M,77.50M,,,8.071M,,70.85M,12.12M,58.62M,,,-5.322M,58.62M,56.26M,104.53M,,2007-12,0.61,0.00,,,2007-12,0.60,0.00,,,2007-12,95.21M,,2007-12,,
2007-09,583.98M,583.98M,431.02M,152.96M,61.00M,15.42M,0.828M,,,,76.43M,76.54M,,,7.109M,,67.86M,10.43M,59.10M,,,-4.613M,59.10M,58.40M,102.60M,,2007-09,0.62,0.00,,,2007-09,0.61,0.00,,,2007-09,95.24M,,2007-09,,
2007-06,563.81M,563.81M,410.43M,153.38M,59.26M,14.92M,-3.313M,,,,74.18M,79.20M,,,3.408M,,65.47M,15.58M,53.86M,,,-2.746M,53.86M,56.39M,105.61M,,2007-06,0.57,0.00,,,2007-06,0.55,0.00,,,2007-06,95.27M,,2007-06,,
2007-03,589.24M,589.24M,429.45M,159.79M,62.49M,15.71M,0.952M,,,,78.20M,81.59M,,,7.313M,,73.63M,16.94M,58.11M,,,-4.951M,58.11M,57.37M,108.94M,,2007-03,0.61,0.00,,,2007-03,0.60,0.00,,,2007-03,95.29M,,2007-03,,
2006-12,584.54M,584.54M,435.79M,148.75M,59.80M,12.11M,0.236M,,,,71.91M,76.84M,,,4.292M,,66.53M,3.144M,62.98M,,,-4.463M,62.98M,62.75M,103.78M,,2006-12,0.66,0.00,,,2006-12,0.65,0.00,,,2006-12,94.90M,,2006-12,,
2006-09,607.82M,607.82M,459.59M,148.23M,58.00M,11.55M,-88.17M,,,,69.55M,78.68M,,,-83.78M,,-20.25M,-23.33M,2.289M,,,-5.176M,2.289M,55.19M,107.03M,,2006-09,0.02,0.00,,,2006-09,0.02,0.00,,,2006-09,94.76M,,2006-09,,
2006-06,568.80M,568.80M,437.41M,131.38M,62.20M,11.20M,-2.303M,,,,73.40M,57.98M,,,8.815M,,43.64M,11.04M,43.33M,,,-0.394M,43.33M,45.05M,85.02M,,2006-06,0.46,0.00,,,2006-06,0.45,0.00,,,2006-06,94.69M,,2006-06,,
2006-03,607.35M,607.35M,484.90M,122.45M,57.85M,11.44M,0.926M,,,,69.30M,53.16M,,,6.402M,,43.46M,11.34M,34.38M,,,-3.225M,34.38M,33.69M,83.78M,,2006-03,0.365,0.00,,,2006-03,0.355,0.00,,,2006-03,94.15M,,2006-03,,
2005-12,588.18M,588.18M,476.88M,111.30M,58.61M,10.25M,-2.557M,,,2.97M,71.82M,39.48M,,,1.351M,,33.10M,-1.997M,32.20M,,,-2.894M,32.20M,33.73M,70.71M,,2005-12,0.345,0.00,,,2005-12,0.33,0.00,,,2005-12,93.68M,,2005-12,,
2005-09,506.60M,506.60M,406.99M,99.61M,50.42M,10.11M,0.534M,,,,60.53M,39.08M,,,4.658M,,32.86M,4.502M,26.29M,,,-2.063M,26.29M,25.83M,67.59M,,2005-09,0.28,0.00,,,2005-09,0.275,0.00,,,2005-09,93.90M,,2005-09,,
2005-06,502.75M,502.75M,397.59M,105.17M,53.67M,10.34M,4.946M,,,-4.868M,59.14M,46.02M,,,16.01M,,35.97M,13.95M,32.06M,,,-1.028M,32.06M,29.03M,74.67M,,2005-06,0.345,0.00,,,2005-06,0.335,0.00,,,2005-06,93.16M,,2005-06,,
2005-03,509.96M,509.96M,402.64M,107.32M,57.03M,10.98M,0.488M,,,,68.01M,39.32M,,,7.88M,,29.55M,11.14M,24.32M,,,-1.484M,24.32M,24.01M,68.36M,,2005-03,0.265,0.00,,,2005-03,0.26,0.00,,,2005-03,91.08M,,2005-03,,
2004-12,451.06M,451.06M,355.44M,95.63M,51.66M,12.50M,-5.016M,,,10.40M,74.56M,21.06M,,,-3.103M,,20.18M,4.291M,19.64M,,,,19.64M,23.59M,49.04M,,2004-12,0.235,0.00,,,2004-12,0.23,0.00,,,2004-12,84.05M,,2004-12,,
2004-09,413.90M,413.90M,324.40M,89.51M,43.08M,9.101M,-31.81M,,,-10.60M,41.58M,47.93M,,,-29.98M,,1.101M,-1.097M,0.827M,,,-1.371M,0.827M,19.91M,74.26M,,2004-09,0.01,0.00,,,2004-09,0.01,0.00,,,2004-09,82.70M,,2004-09,,
2004-06,326.76M,326.76M,260.33M,66.43M,32.65M,5.088M,2.152M,,,0.55M,38.29M,28.14M,,,2.152M,,29.48M,8.716M,20.77M,,,,20.77M,19.25M,49.54M,,2004-06,0.25,0.00,,,2004-06,0.245,0.00,,,2004-06,83.07M,,2004-06,,
2004-03,322.01M,322.01M,261.22M,60.78M,30.35M,4.579M,-5.59M,,,4.507M,39.44M,21.34M,,,-5.59M,,18.70M,5.095M,13.61M,,,,13.61M,17.67M,42.91M,,2004-03,0.165,0.00,,,2004-03,0.16,0.00,,,2004-03,82.47M,,2004-03,,
2003-12,295.12M,295.12M,231.40M,63.73M,32.20M,4.278M,-2.533M,,,-0.16M,36.32M,27.41M,,,-2.533M,,23.38M,6.596M,16.79M,,0.00,,16.79M,18.61M,49.66M,,2003-12,0.20,0.00,0.00,,2003-12,0.20,0.00,0.0001,,2003-12,83.07M,,2003-12,,
2003-09,276.55M,276.55M,220.54M,56.01M,27.96M,4.77M,-10.17M,,,7.503M,40.24M,15.77M,,,-10.17M,,11.66M,1.802M,9.856M,,,,9.856M,18.45M,36.76M,,2003-09,0.12,0.00,,,2003-09,0.115,0.00,,,2003-09,82.13M,,2003-09,,
2003-06,269.48M,269.48M,211.05M,58.43M,29.44M,4.421M,-0.316M,,,,33.86M,24.57M,,,-0.316M,,23.00M,0.414M,22.58M,,,,22.58M,22.89M,45.21M,,2003-06,0.275,0.00,,,2003-06,0.27,0.00,,,2003-06,82.12M,,2003-06,,
2003-03,266.74M,266.74M,208.20M,58.54M,27.63M,4.942M,3.573M,,,0.90M,33.47M,25.07M,,,3.573M,,28.21M,4.423M,23.79M,,-2.22M,,21.57M,20.77M,45.21M,,2003-03,0.285,-0.025,0.00,,2003-03,0.28,-0.025,-0.0268,,2003-03,82.95M,,2003-03,,
2002-12,274.92M,274.92M,221.27M,53.64M,27.61M,3.569M,0.431M,,,0.70M,31.88M,21.77M,,,0.431M,,21.60M,6.425M,15.18M,,,,15.18M,14.87M,41.72M,,2002-12,0.18,0.00,,,2002-12,0.175,0.00,,,2002-12,83.50M,,2002-12,,
2002-09,263.32M,263.32M,198.35M,64.97M,29.45M,4.12M,-0.841M,,,,33.57M,31.40M,,,-0.841M,,29.25M,8.896M,20.35M,,,,20.35M,20.94M,51.58M,,2002-09,0.245,0.00,,,2002-09,0.24,0.00,,,2002-09,83.07M,,2002-09,,
2002-06,252.71M,252.71M,194.55M,58.16M,28.92M,4.02M,2.276M,,,,32.94M,25.22M,,,2.276M,,26.26M,5.566M,20.69M,,,,20.69M,18.90M,45.42M,,2002-06,0.25,0.00,,,2002-06,0.24,0.00,,,2002-06,83.24M,,2002-06,,
2002-03,231.82M,231.82M,176.06M,55.76M,25.70M,4.776M,-0.058M,,,0.85M,31.33M,24.43M,,,-0.058M,,24.00M,7.199M,16.80M,,,,16.80M,16.84M,44.70M,,2002-03,0.195,0.00,,,2002-03,0.19,0.00,,,2002-03,86.88M,,2002-03,,
2001-12,265.04M,265.04M,208.58M,56.46M,28.20M,5.106M,-1.562M,,,,35.36M,21.10M,,,-1.562M,,20.22M,6.168M,14.06M,,,,14.06M,15.14M,43.25M,,2001-12,0.155,0.00,,,2001-12,0.155,0.00,,,2001-12,90.99M,,2001-12,,
2001-09,242.02M,242.02M,185.34M,56.68M,25.82M,5.603M,0.975M,,,,31.42M,25.26M,,,0.975M,,24.22M,7.457M,16.76M,,,,16.76M,16.09M,43.70M,,2001-09,0.185,0.00,,,2001-09,0.18,0.00,,,2001-09,90.60M,,2001-09,,
2001-06,211.29M,211.29M,162.55M,48.74M,22.19M,5.433M,1.236M,,,,27.62M,21.12M,,,1.236M,,21.27M,6.462M,14.80M,,,,14.80M,13.94M,39.69M,,2001-06,0.16,0.00,,,2001-06,0.16,0.00,,,2001-06,92.53M,,2001-06,,
