,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-09,410.48M,410.48M,183.12M,227.36M,78.79M,71.40M,8.487M,-12.18M,0.633M,2.892M,2.259M,,158.68M,68.68M,2.892M,0.633M,2.259M,-11.26M,2.259M,59.68M,-4.113M,63.79M,,,63.79M,75.13M,85.68M,25.36M,60.31M,,0.32,,,0.3761,0.32,,0.31,,,0.3656,0.31,,202.21M,203.93M,0.06,,AOR,Restated
2016-06,531.79M,531.79M,248.92M,282.87M,81.42M,76.11M,16.24M,-340.89M,0.691M,1.666M,0.975M,,173.78M,109.09M,1.666M,0.691M,0.975M,-340.88M,0.975M,-230.82M,-7.271M,-223.55M,,,-223.55M,106.44M,-197.44M,32.69M,-230.13M,,-1.10,,,0.5254,-1.10,,-1.10,,,0.5254,-1.10,,203.02M,203.02M,0.06,,AOR,Restated
2016-03,430.99M,430.99M,200.66M,230.33M,79.17M,73.46M,19.99M,-1.587M,0.71M,1.642M,0.932M,,172.63M,57.70M,1.642M,0.71M,0.932M,-1.44M,0.932M,57.19M,7.206M,49.99M,,,49.99M,51.37M,94.56M,36.66M,57.90M,,0.24,,,0.2468,0.24,,0.24,,,0.2467,0.24,,204.27M,205.73M,0.06,,AOR,Restated
2015-12,318.44M,318.44M,152.42M,166.03M,79.72M,70.94M,19.91M,-5.204M,0.762M,2.016M,1.254M,,170.57M,-4.544M,2.016M,0.762M,1.254M,-5.567M,1.254M,-8.857M,-8.216M,-0.641M,,,-0.641M,2.481M,27.99M,36.08M,-8.095M,,-0.0031,,,0.0121,-0.0031,,-0.0031,,,0.0119,-0.0031,,205.11M,207.24M,0.06,,AOR,Restated
2015-09,465.99M,465.99M,207.37M,258.63M,77.48M,74.03M,20.05M,-0.261M,0.508M,1.708M,1.20M,,171.56M,87.06M,1.708M,0.508M,1.20M,-0.857M,1.20M,87.41M,15.96M,71.45M,,,71.45M,71.67M,124.98M,37.06M,87.92M,,0.34,,,0.3410,0.34,,0.34,,,0.3410,0.34,,210.03M,211.74M,0.06,,AOR,Restated
2015-06,512.74M,512.74M,214.17M,298.57M,77.07M,75.83M,15.26M,0.385M,0.444M,1.674M,1.23M,,168.16M,130.40M,1.674M,0.444M,1.23M,0.501M,1.23M,132.14M,29.26M,102.88M,,,102.88M,102.58M,165.72M,33.14M,132.58M,,0.48,,,0.4786,0.48,,0.48,,,0.4786,0.48,,213.84M,215.50M,0.06,,AOR,Restated
2015-03,342.40M,342.40M,149.98M,192.42M,72.04M,71.45M,13.81M,0.00,0.162M,1.816M,1.654M,,157.30M,35.12M,1.816M,0.162M,1.654M,5.66M,1.654M,42.44M,9.651M,32.79M,,,32.79M,32.79M,77.08M,34.48M,42.60M,,0.15,,,0.15,0.15,,0.15,,,0.15,0.15,,217.19M,218.81M,0.06,,AOR,Restated
2014-12,323.24M,323.24M,163.01M,160.23M,91.16M,79.19M,15.96M,-100.10M,0.214M,2.035M,1.821M,,186.30M,-26.08M,2.035M,0.214M,1.821M,-100.56M,1.821M,-124.81M,-21.00M,-103.81M,,,-103.81M,-20.56M,-87.01M,37.59M,-124.60M,,-0.48,,,-0.0955,-0.48,,-0.48,,,-0.0995,-0.48,,216.53M,218.82M,0.06,,AOR,Restated
2014-09,478.01M,478.01M,216.89M,261.12M,73.06M,71.95M,18.27M,0.405M,0.144M,1.922M,1.778M,,163.29M,97.83M,1.922M,0.144M,1.778M,1.059M,1.778M,100.67M,17.72M,82.95M,,,82.95M,82.62M,138.99M,38.18M,100.81M,,0.40,,,0.3984,0.40,,0.38,,,0.3785,0.38,,207.38M,218.33M,0.06,,AOR,Restated
2014-06,525.57M,525.57M,235.15M,290.41M,77.49M,73.41M,18.27M,-0.572M,0.159M,1.266M,1.107M,,169.17M,121.24M,1.266M,0.159M,1.107M,-0.954M,1.107M,121.39M,20.19M,101.20M,,,101.20M,101.68M,159.14M,37.59M,121.55M,,0.52,,,0.5225,0.52,,0.47,,,0.4722,0.47,,194.41M,216.57M,0.06,,AOR,Restated
2014-03,321.01M,321.01M,153.96M,167.05M,78.00M,67.08M,18.27M,,6.417M,1.036M,-5.381M,,163.36M,3.688M,1.036M,6.417M,-5.381M,-0.18M,-5.381M,-1.873M,-2.802M,0.929M,,,0.929M,0.929M,43.73M,39.18M,4.544M,,0.0048,,,0.0048,0.0048,,0.0039,,,0.0039,0.0039,,193.31M,236.48M,,,AOR,Restated
2013-12,285.30M,285.30M,125.44M,159.86M,69.52M,64.61M,18.28M,-0.60M,5.835M,1.206M,-4.629M,,152.42M,7.437M,1.206M,5.835M,-4.629M,32.63M,-4.629M,35.44M,13.10M,22.34M,,,22.34M,22.72M,80.59M,39.32M,41.27M,,0.12,,,0.1220,0.12,,0.09,,,0.0916,0.09,,191.52M,236.90M,,,AOR,Restated
2013-09,433.38M,433.38M,179.08M,254.29M,72.92M,68.92M,18.06M,-0.889M,6.902M,0.948M,-5.954M,,159.90M,94.40M,0.948M,6.902M,-5.954M,-0.889M,-5.954M,87.55M,18.09M,69.46M,,,69.46M,70.16M,132.22M,37.76M,94.45M,,0.36,,,0.3637,0.36,,0.29,,,0.2930,0.29,,191.31M,235.83M,,,AOR,Restated
2013-06,428.89M,428.89M,187.66M,241.23M,69.23M,67.77M,18.06M,-0.259M,6.454M,0.903M,-5.551M,,155.07M,86.17M,0.903M,6.454M,-5.551M,-0.259M,-5.551M,80.36M,13.80M,66.56M,,,66.56M,66.77M,123.30M,36.49M,86.81M,,0.35,,,0.3511,0.35,,0.28,,,0.2809,0.28,,190.57M,234.91M,,,AOR,Restated
2013-03,280.37M,280.37M,126.95M,153.42M,67.89M,62.75M,18.04M,-0.332M,6.906M,1.072M,-5.834M,,148.68M,4.74M,1.072M,6.906M,-5.834M,-0.332M,-5.834M,-1.426M,-8.015M,6.589M,,,6.589M,6.805M,42.60M,37.12M,5.48M,,0.0347,,,0.0359,0.0347,,0.0281,,,0.0290,0.0281,,189.69M,234.76M,,,AOR,Restated
2012-12,248.40M,248.40M,123.00M,125.40M,69.29M,62.81M,18.22M,0.317M,5.998M,1.256M,-4.742M,,150.32M,-24.91M,1.256M,5.998M,-4.742M,-0.631M,-4.742M,-30.28M,-13.74M,-16.54M,,,-16.54M,-16.75M,14.05M,38.34M,-24.29M,,-0.09,0.00,,-0.0911,-0.09,,-0.09,0.00,,-0.0909,-0.09,,187.74M,230.98M,,,AOR,Restated
2012-09,463.39M,463.39M,203.19M,260.20M,69.03M,63.95M,18.43M,-0.683M,6.154M,1.067M,-5.087M,,151.40M,108.80M,1.067M,6.154M,-5.087M,-0.683M,-5.087M,103.02M,14.38M,88.64M,,,88.64M,89.23M,147.04M,37.86M,109.18M,,0.47,,,0.4731,0.47,,0.39,,,0.3926,0.39,,187.36M,229.21M,,,AOR,Restated
2012-06,548.28M,548.28M,238.78M,309.51M,72.06M,67.83M,18.43M,6.262M,6.323M,0.874M,-5.449M,,158.33M,151.18M,0.874M,6.323M,-5.449M,6.262M,-5.449M,151.99M,40.60M,111.39M,,,111.39M,106.82M,193.53M,35.22M,158.32M,,0.60,,,0.5755,0.60,,0.49,,,0.4701,0.49,,186.57M,229.65M,,,AOR,Restated
2012-03,396.67M,396.67M,205.74M,190.93M,66.63M,61.28M,18.43M,1.825M,6.059M,0.893M,-5.166M,,146.34M,44.58M,0.893M,6.059M,-5.166M,1.825M,-5.166M,41.24M,7.68M,33.56M,,,33.56M,32.08M,81.41M,34.10M,47.30M,,0.18,,,0.1720,0.18,,0.15,,,0.1436,0.15,,185.84M,231.15M,,,AOR,Restated
2011-12,296.99M,296.99M,163.11M,133.88M,61.71M,59.59M,19.13M,-3.586M,6.134M,0.878M,-5.256M,,140.43M,-6.549M,0.878M,6.134M,-5.256M,-3.586M,-5.256M,-15.39M,-144.62M,129.23M,-0.158M,,129.07M,131.56M,28.16M,37.42M,-9.257M,,0.68,0.00,,0.6927,0.68,,0.56,0.00,,0.5705,0.56,,183.54M,222.86M,,,AOR,Restated
2011-09,344.39M,344.39M,174.02M,170.37M,54.78M,45.90M,6.754M,-1.465M,6.068M,3.049M,-3.019M,,107.42M,62.95M,3.049M,6.068M,-3.019M,-1.465M,-3.019M,58.46M,1.759M,56.71M,0.00,,56.71M,58.13M,87.34M,22.80M,64.53M,,0.31,0.00,,0.3177,0.31,,0.26,0.00,,0.2664,0.26,,185.10M,221.89M,,,AOR,Restated
2011-06,410.52M,410.52M,195.84M,214.68M,57.88M,48.39M,7.291M,-1.279M,5.316M,1.403M,-3.913M,,113.56M,101.12M,1.403M,5.316M,-3.913M,-1.279M,-3.913M,95.92M,7.839M,88.08M,-0.832M,,87.25M,89.26M,124.29M,23.05M,101.24M,,0.48,-0.01,,0.4863,0.47,,0.38,-0.01,,0.3851,0.38,,185.37M,230.45M,,,AOR,Restated
2011-03,377.16M,377.16M,184.27M,192.89M,57.73M,47.14M,7.291M,-0.413M,6.176M,1.287M,-4.889M,,112.17M,80.73M,1.287M,6.176M,-4.889M,-0.413M,-4.889M,75.42M,5.486M,69.94M,26.91M,,96.84M,70.32M,105.01M,23.41M,81.60M,,0.38,0.14,,0.3821,0.52,,0.30,0.12,,0.3016,0.42,,184.72M,232.08M,,,AOR,Restated
2010-12,310.16M,310.16M,145.16M,165.01M,52.36M,45.54M,7.291M,3.097M,4.756M,-0.128M,-4.884M,,105.18M,59.82M,-0.128M,4.756M,-4.884M,3.097M,-4.884M,58.04M,-4.254M,62.29M,2.942M,,65.23M,60.28M,82.23M,19.44M,62.79M,,0.34,0.02,,0.3289,0.36,,0.29,0.01,,0.2809,0.30,,181.60M,220.02M,,,AOR,Restated
2010-09,491.39M,491.39M,219.59M,271.80M,60.56M,49.05M,7.291M,1.977M,6.033M,1.466M,-4.567M,,116.90M,154.90M,1.466M,6.033M,-4.567M,1.977M,-4.567M,152.31M,6.606M,145.70M,1.636M,,147.34M,143.81M,182.91M,24.57M,158.34M,,0.80,0.01,,0.7896,0.81,,0.65,0.01,,0.6418,0.66,,181.24M,229.39M,,,AOR,Restated
2010-06,445.27M,445.27M,194.37M,250.90M,57.73M,49.34M,7.313M,-0.371M,7.755M,3.681M,-4.074M,,114.38M,136.52M,3.681M,7.755M,-4.074M,-0.371M,-4.074M,132.07M,9.543M,122.53M,-0.381M,,122.15M,122.87M,164.21M,24.38M,139.83M,,0.68,0.00,,0.6819,0.68,,0.55,0.00,,0.5515,0.55,,179.99M,231.54M,,,AOR,Restated
2010-03,319.34M,319.34M,149.46M,169.88M,54.69M,47.94M,7.356M,-0.904M,5.567M,0.502M,-5.065M,,109.98M,59.90M,0.502M,5.567M,-5.065M,-0.904M,-5.065M,53.93M,4.83M,49.10M,1.001M,,50.10M,49.92M,84.63M,25.13M,59.50M,,0.28,0.00,,0.2847,0.28,,0.24,0.00,,0.2436,0.24,,176.87M,226.28M,,,AOR,Restated
2009-12,267.06M,267.06M,142.67M,124.39M,51.49M,40.92M,7.629M,-0.069M,5.158M,0.497M,-4.661M,,100.04M,24.35M,0.497M,5.158M,-4.661M,-0.069M,-4.661M,19.62M,2.70M,16.92M,,,16.92M,16.98M,51.90M,27.12M,24.78M,,0.10,0.00,,0.1003,0.10,,0.10,0.00,,0.1003,0.10,,174.77M,174.77M,,,AOR,Restated
2009-09,262.16M,262.16M,155.41M,106.76M,46.31M,38.27M,8.214M,-5.189M,4.60M,1.003M,-3.597M,,92.79M,13.96M,1.003M,4.60M,-3.597M,-5.189M,-3.597M,5.175M,-1.50M,6.675M,,,6.675M,10.05M,37.15M,27.37M,9.775M,,0.04,0.00,,0.0593,0.04,,0.04,0.00,,0.0587,0.04,,174.50M,180.79M,,,AOR,Restated
2009-06,169.58M,169.58M,122.45M,47.13M,47.26M,38.45M,8.214M,-15.27M,8.046M,1.141M,-6.905M,,93.92M,-46.79M,1.141M,8.046M,-6.905M,-15.27M,-6.905M,-68.97M,-2.20M,-66.77M,,,-66.77M,-51.99M,-34.82M,26.10M,-60.92M,,-0.39,0.00,,-0.3046,-0.39,,-0.39,0.00,,-0.3046,-0.39,,173.02M,173.02M,,,AOR,Restated
2009-03,120.61M,120.61M,87.25M,33.36M,55.37M,47.20M,8.239M,-15.96M,5.83M,0.777M,-5.053M,,110.81M,-77.45M,0.777M,5.83M,-5.053M,-15.96M,-5.053M,-98.47M,-7.80M,-90.67M,,,-90.67M,-75.97M,-67.14M,25.49M,-92.64M,,-0.53,0.00,,-0.4446,-0.53,,-0.53,0.00,,-0.4446,-0.53,,172.13M,172.13M,,,AOR,Restated
2008-12,194.77M,194.77M,116.86M,77.91M,58.49M,52.69M,6.962M,-9.675M,8.371M,2.274M,-6.097M,,447.82M,-369.90M,2.274M,8.371M,-6.097M,-9.675M,-6.097M,-385.68M,-0.693M,-384.98M,0.00,,-384.98M,-375.33M,-354.52M,22.79M,-377.31M,,-2.26,0.00,,-2.203,-2.26,,-2.26,0.00,,-2.203,-2.26,,169.20M,169.20M,,,,Restated
2008-09,297.26M,297.26M,169.32M,127.93M,58.61M,52.97M,5.034M,-28.59M,5.851M,2.74M,-3.111M,,116.62M,11.31M,2.74M,5.851M,-3.111M,-28.59M,-3.111M,-20.39M,3.07M,-23.46M,0.768M,,-22.69M,-4.874M,8.641M,23.18M,-14.54M,,-0.14,0.01,,-0.0299,-0.13,,-0.14,0.01,,-0.0299,-0.13,,168.77M,168.77M,,,,Restated
2008-06,317.70M,317.70M,163.86M,153.85M,65.46M,56.15M,4.774M,-12.73M,0.484M,2.932M,2.448M,,126.39M,27.46M,2.932M,0.484M,2.448M,-12.73M,2.448M,17.18M,6.10M,11.08M,,,11.08M,19.29M,43.03M,25.37M,17.66M,,0.06,0.00,,0.1081,0.06,,0.06,0.00,,0.1071,0.06,,170.64M,174.10M,,,,Restated
2008-03,297.32M,297.32M,158.81M,138.50M,65.22M,56.25M,3.863M,-11.78M,0.47M,4.612M,4.142M,,125.33M,13.17M,4.612M,0.47M,4.142M,-11.78M,4.142M,6.467M,4.10M,2.367M,,,2.367M,10.03M,30.37M,23.43M,6.937M,,0.01,0.00,,0.0541,0.01,,0.01,0.00,,0.0536,0.01,,173.76M,175.72M,,,,Restated
2007-12,260.42M,260.42M,141.85M,118.57M,63.53M,50.42M,,2.187M,,,,,111.13M,7.436M,,,,2.187M,,14.96M,-2.196M,17.15M,-0.449M,,16.70M,15.73M,23.68M,16.24M,7.436M,,0.10,-0.01,,0.0918,0.09,,0.10,-0.01,,0.0918,0.09,,173.50M,173.83M,,,,
2007-09,299.46M,299.46M,155.22M,144.25M,62.18M,52.24M,0.954M,3.119M,,,,,115.38M,28.87M,,,,3.119M,,39.92M,4.717M,35.20M,5.791M,,40.99M,32.45M,45.25M,16.38M,28.87M,,0.19,0.03,,0.1750,0.22,,0.19,0.03,,0.1752,0.22,,183.57M,185.30M,,,,
2007-06,288.71M,288.71M,151.49M,137.22M,62.76M,52.42M,,-0.568M,,,,,115.18M,22.04M,,,,-0.568M,,30.70M,3.454M,27.25M,0.408M,,27.65M,27.75M,38.54M,16.50M,22.04M,,0.14,0.01,,0.1427,0.15,,0.14,0.00,,0.1426,0.14,,189.39M,191.40M,,,,
2007-03,258.06M,258.06M,142.52M,115.54M,63.95M,50.20M,,-17.28M,,,,,114.15M,1.386M,,,,-17.28M,,-6.236M,1.40M,-7.636M,,,-7.636M,3.599M,19.76M,18.37M,1.386M,,-0.04,0.00,,0.0192,-0.04,,-0.04,0.00,,0.0192,-0.04,,189.62M,189.62M,,,,
2006-12,258.68M,258.68M,138.90M,119.79M,68.22M,48.24M,,-0.773M,,,,,116.47M,3.322M,,,,-0.773M,,12.88M,-0.005M,12.88M,-2.008M,,10.87M,13.35M,21.16M,17.84M,3.322M,,0.08,-0.02,,0.0825,0.06,,0.08,-0.02,,0.0824,0.06,,189.09M,191.90M,,,,
2006-09,354.72M,354.72M,180.33M,174.38M,70.45M,51.79M,,15.11M,,,,,122.24M,52.14M,,,,15.11M,,76.19M,9.866M,66.32M,-5.758M,,60.56M,53.17M,70.47M,18.32M,52.14M,,0.34,-0.03,,0.2720,0.31,,0.34,-0.03,,0.2757,0.31,,193.56M,204.55M,,,,
2006-06,386.82M,386.82M,196.24M,190.58M,73.91M,51.84M,,20.60M,,,,,125.75M,64.82M,,,,20.60M,,93.61M,9.42M,84.19M,-1.782M,,82.40M,65.66M,82.66M,17.83M,64.82M,,0.42,0.00,,0.3266,0.42,,0.41,-0.01,,0.3219,0.40,,198.24M,210.36M,,,,
2006-03,362.91M,362.91M,192.28M,170.64M,72.18M,52.19M,,1.097M,,,,,124.38M,46.26M,,,,1.097M,,53.47M,8.555M,44.91M,,,44.91M,43.99M,65.80M,19.54M,46.26M,,0.23,0.00,,0.2253,0.23,,0.23,0.00,,0.2254,0.23,,198.02M,199.56M,,,,
2005-12,315.02M,315.02M,171.56M,143.46M,54.15M,43.13M,,10.39M,,,,,97.28M,46.18M,,,,10.39M,,58.56M,-27.86M,86.43M,137.64M,,224.06M,80.19M,46.37M,0.192M,46.18M,,0.45,0.69,,0.4183,1.14,,0.45,0.69,,0.4183,1.14,,196.92M,196.92M,,,,
2005-09,293.57M,293.57M,204.42M,89.16M,62.64M,53.70M,,-13.80M,,,,,116.34M,-27.18M,,,,-13.80M,,-41.06M,2.788M,-43.85M,8.475M,,-35.38M,-35.58M,15.19M,42.38M,-27.18M,,-0.22,0.04,,-0.1779,-0.18,,-0.22,0.04,,-0.1779,-0.18,,196.84M,196.84M,,,,
2005-06,226.15M,226.15M,141.38M,84.77M,64.88M,58.17M,,-7.883M,,,,,123.05M,-38.28M,,,,-7.883M,,-46.47M,4.308M,-50.78M,5.314M,,-45.46M,-46.05M,-12.30M,25.97M,-38.28M,,-0.26,0.03,,-0.2358,-0.23,,-0.26,0.03,,-0.2358,-0.23,,195.76M,195.76M,,,,
2005-03,210.36M,210.36M,132.69M,77.67M,64.32M,61.38M,,-6.358M,,,,,125.70M,-48.03M,,,,-6.358M,,-54.41M,1.038M,-55.45M,2.879M,,-52.57M,-51.64M,-25.40M,22.63M,-48.03M,,-0.28,0.00,,-0.2605,-0.28,,-0.28,0.00,,-0.2605,-0.28,,195.62M,195.62M,,,,
2004-12,-4.644M,-4.644M,-74.46M,69.82M,47.90M,51.12M,,-0.581M,,,,,99.88M,-30.06M,,,,-0.581M,,-29.76M,-0.495M,-29.27M,,,3.348M,-28.70M,-26.40M,3.658M,-30.06M,,-0.15,0.17,,-0.1471,0.02,,-0.15,0.17,,-0.1471,0.02,,195.59M,195.59M,,,,
2004-09,457.80M,457.80M,269.34M,188.46M,70.27M,67.24M,,0.046M,,,,,137.51M,50.94M,,,,0.046M,,50.08M,8.928M,41.15M,,,41.15M,41.11M,82.81M,31.86M,50.94M,,0.21,0.00,,0.2098,0.21,,0.21,0.00,,0.2098,0.21,,194.13M,195.75M,,,,
