,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-12,3.471B,3.471B,1.23B,2.241B,1.217B,205.00M,,96.00M,-9.00M,,,,,1.518B,723.00M,,,,-74.00M,,649.00M,898.00M,-249.00M,,,-249.00M,-243.60M,892.00M,169.00M,723.00M,,-0.66,,-0.6456,-0.66,,-0.66,,-0.6458,-0.66,,374.60M,381.00M,0.47,,AOR,Restated
2017-09,3.006B,3.006B,1.022B,1.984B,1.103B,198.00M,,92.00M,-66.00M,,,,,1.393B,591.00M,,,,-120.00M,,471.00M,37.00M,434.00M,,,434.00M,494.79M,754.00M,163.00M,591.00M,,1.16,,1.322,1.16,,1.14,,1.300,1.14,,374.20M,380.20M,0.425,,AOR,Restated
2017-06,3.012B,3.012B,1.021B,1.991B,1.13B,192.00M,,95.00M,-72.00M,,,,,1.417B,574.00M,,,,-130.00M,,444.00M,53.00M,391.00M,,,391.00M,454.50M,734.00M,160.00M,574.00M,,1.04,,1.210,1.04,,1.03,,1.197,1.03,,373.90M,379.80M,0.425,,AOR,Restated
2017-03,2.955B,2.955B,991.00M,1.964B,1.102B,192.00M,,88.00M,-26.00M,,,,,1.382B,582.00M,,,,-83.00M,,499.00M,55.00M,444.00M,,,444.00M,467.11M,732.00M,150.00M,582.00M,,1.19,,1.252,1.19,,1.17,,1.231,1.17,,373.40M,379.30M,0.425,,AOR,Restated
2016-12,3.157B,3.157B,1.062B,2.095B,1.093B,189.00M,,89.00M,-54.00M,,,,,1.371B,724.00M,,,,-136.00M,,588.00M,78.00M,510.00M,,,510.00M,556.84M,875.00M,151.00M,724.00M,,1.36,,1.485,1.36,,1.34,,1.464,1.34,,374.70M,379.10M,0.425,,AOR,Restated
2016-09,2.833B,2.833B,960.00M,1.873B,1.057B,184.00M,,89.00M,-57.00M,,,,,1.33B,543.00M,,,,-124.00M,,419.00M,64.00M,355.00M,,,355.00M,403.34M,691.00M,148.00M,543.00M,,0.95,,1.079,0.95,,0.94,,1.068,0.94,,374.40M,379.00M,0.38,,AOR,Restated
2016-06,2.84B,2.84B,998.00M,1.842B,1.043B,183.00M,,88.00M,-28.00M,,,,,1.314B,528.00M,,,,-95.00M,,433.00M,53.00M,380.00M,,,380.00M,404.56M,673.00M,145.00M,528.00M,,1.02,,1.086,1.02,,1.00,,1.065,1.00,,374.20M,378.50M,0.38,,AOR,Restated
2016-03,2.495B,2.495B,801.00M,1.694B,944.00M,159.00M,,53.00M,-19.00M,,,,,1.156B,538.00M,,,,-57.00M,,481.00M,79.00M,402.00M,,,402.00M,417.88M,640.00M,102.00M,538.00M,,1.08,,1.123,1.08,,1.07,,1.112,1.07,,373.20M,377.40M,0.38,,AOR,Restated
2015-12,2.715B,2.715B,895.00M,1.82B,970.00M,164.00M,,58.00M,20.00M,,,,,1.192B,628.00M,,,,-16.00M,,612.00M,90.00M,522.00M,,,522.00M,504.94M,736.00M,108.00M,628.00M,,1.39,,1.344,1.39,,1.38,,1.335,1.38,,374.20M,378.20M,0.38,,AOR,Restated
2015-09,2.42B,2.42B,796.00M,1.624B,887.00M,155.00M,,54.00M,-150.00M,,,,,1.096B,528.00M,,,,-183.00M,,345.00M,44.00M,301.00M,,,301.00M,431.80M,629.00M,101.00M,528.00M,,0.80,,1.148,0.80,,0.79,,1.134,0.79,,376.30M,380.70M,0.345,,AOR,Restated
2015-06,2.432B,2.432B,827.00M,1.605B,861.00M,154.00M,,49.00M,-112.00M,,,,,1.064B,541.00M,,,,-140.00M,,401.00M,9.00M,392.00M,,,392.00M,501.54M,635.00M,94.00M,541.00M,,1.04,,1.331,1.04,,1.03,,1.317,1.03,,377.00M,381.10M,0.345,,AOR,Restated
2015-03,2.379B,2.379B,826.00M,1.553B,892.00M,152.00M,,49.00M,-54.00M,,,,,1.093B,460.00M,,,,-83.00M,,377.00M,153.00M,224.00M,,,224.00M,256.40M,554.00M,94.00M,460.00M,,0.59,,0.6755,0.59,,0.58,,0.6645,0.58,,378.90M,383.50M,0.345,,AOR,Restated
2014-12,2.618B,2.618B,899.00M,1.719B,940.00M,153.00M,,46.00M,-112.00M,,,,,1.139B,580.00M,,,,-119.00M,,461.00M,201.00M,260.00M,,,260.00M,332.80M,676.00M,96.00M,580.00M,,0.68,,0.8723,0.68,,0.67,,0.8600,0.67,,378.50M,383.10M,0.345,,AOR,Restated
2014-09,2.389B,2.389B,829.00M,1.56B,878.00M,153.00M,,50.00M,-29.00M,,,,,1.081B,479.00M,,,,-54.00M,,425.00M,368.00M,57.00M,,,57.00M,75.85M,576.00M,97.00M,479.00M,,0.16,,0.2098,0.16,,0.16,,0.2093,0.16,,378.40M,382.50M,0.305,,AOR,Restated
2014-06,2.363B,2.363B,815.00M,1.548B,870.00M,158.00M,,47.00M,-276.00M,,,,,1.075B,473.00M,,,,-306.00M,,167.00M,39.00M,128.00M,,,128.00M,339.14M,567.00M,94.00M,473.00M,,0.34,,0.8974,0.34,,0.33,,0.8817,0.33,,378.80M,382.70M,0.305,,AOR,Restated
2014-03,2.305B,2.305B,776.00M,1.529B,859.00M,150.00M,,45.00M,-344.00M,,,,,1.054B,475.00M,,,,-368.00M,,107.00M,37.00M,70.00M,,,70.00M,295.32M,566.00M,91.00M,475.00M,,0.19,,0.7858,0.19,,0.18,,0.7689,0.18,,378.20M,382.60M,0.305,,AOR,Restated
2013-12,2.468B,2.468B,877.00M,1.591B,400.00M,139.00M,,36.00M,-586.00M,,,,,575.00M,1.016B,,,,-585.00M,,431.00M,45.00M,386.00M,,,386.00M,910.82M,1.098B,82.00M,1.016B,,1.02,,2.407,1.02,,1.01,,2.380,1.01,,378.30M,383.00M,0.305,,AOR,Restated
2013-09,2.151B,2.151B,682.00M,1.469B,1.136B,136.00M,,34.00M,-13.00M,,,,,1.306B,163.00M,,,,-26.00M,,137.00M,34.00M,103.00M,,,103.00M,112.78M,239.00M,76.00M,163.00M,,0.27,,0.2958,0.27,,0.27,,0.2956,0.27,,378.30M,381.70M,0.265,,AOR,Restated
2013-06,2.212B,2.212B,730.00M,1.482B,1.015B,132.00M,,36.00M,-9.00M,,,,,1.183B,299.00M,,,,-30.00M,,269.00M,56.00M,213.00M,,,213.00M,220.13M,378.00M,79.00M,299.00M,,0.56,,0.5789,0.56,,0.56,,0.5787,0.56,,378.00M,381.00M,0.265,,AOR,Restated
2013-03,2.19B,2.19B,713.00M,1.477B,916.00M,129.00M,,32.00M,-14.00M,,,,,1.077B,400.00M,,,,-25.00M,,375.00M,71.00M,304.00M,,,304.00M,315.35M,470.00M,70.00M,400.00M,,0.80,,0.8299,0.80,,0.79,,0.8196,0.79,,379.70M,383.00M,0.265,,AOR,Restated
2012-12,2.338B,2.338B,745.00M,1.593B,934.00M,129.00M,,31.00M,-129.00M,,,,,1.094B,499.00M,,,,-141.00M,,358.00M,88.00M,270.00M,,,270.00M,367.29M,569.00M,70.00M,499.00M,,0.71,,0.9658,0.71,,0.71,,0.9644,0.71,,380.30M,382.40M,0.265,,AOR,Restated
2012-09,2.052B,2.052B,655.00M,1.397B,791.00M,114.00M,,30.00M,-12.00M,,,,,935.00M,462.00M,,,,-18.00M,,444.00M,91.00M,353.00M,,,353.00M,362.54M,530.00M,68.00M,462.00M,,0.93,,0.9551,0.93,,0.92,,0.9449,0.92,,380.20M,382.50M,0.2125,,AOR,Restated
2012-06,2.106B,2.106B,672.00M,1.434B,823.00M,116.00M,,31.00M,-19.00M,,,,,970.00M,464.00M,,,,-29.00M,,435.00M,110.00M,325.00M,,,325.00M,339.19M,533.00M,69.00M,464.00M,,0.85,,0.8873,0.85,,0.85,,0.8870,0.85,,381.00M,383.30M,0.2125,,AOR,Restated
2012-03,2.161B,2.161B,709.00M,1.452B,819.00M,112.00M,,31.00M,-14.00M,,,,,962.00M,490.00M,,,,-22.00M,,468.00M,118.00M,350.00M,,,350.00M,360.47M,560.00M,70.00M,490.00M,,0.92,,0.9475,0.92,,0.91,,0.9373,0.91,,381.00M,383.80M,0.2125,,AOR,Restated
2011-12,2.215B,2.215B,740.00M,1.475B,834.00M,115.00M,,32.00M,-76.00M,,,,,981.00M,494.00M,,,,,,433.00M,32.00M,401.00M,,,401.00M,471.38M,502.00M,-77.00M,470.00M,,1.05,,1.234,1.05,,1.04,,1.224,1.04,,381.70M,383.50M,0.2125,,AOR,Restated
2011-09,2.031B,2.031B,669.00M,1.362B,765.00M,122.00M,,31.00M,0.00,22.00M,9.00M,-13.00M,,918.00M,444.00M,9.00M,22.00M,-13.00M,,-13.00M,431.00M,104.00M,327.00M,,,327.00M,327.00M,577.00M,124.00M,453.00M,,0.85,0.00,0.85,0.85,,0.84,0.00,0.84,0.84,,386.00M,388.40M,0.18,,AOR,Restated
2011-06,2.046B,2.046B,713.00M,1.333B,786.00M,114.00M,,32.00M,10.00M,,,,,932.00M,401.00M,,,,10.00M,,411.00M,101.00M,310.00M,,,310.00M,302.46M,521.00M,120.00M,401.00M,,0.80,0.00,0.7806,0.80,,0.79,0.00,0.7708,0.79,,388.20M,392.00M,0.18,,AOR,Restated
2011-03,2.015B,2.015B,689.00M,1.326B,765.00M,111.00M,,27.00M,-12.00M,0.00,,0.00,,903.00M,423.00M,,0.00,0.00,-12.00M,0.00,411.00M,104.00M,307.00M,,,307.00M,315.96M,526.00M,115.00M,411.00M,,0.79,0.00,0.8130,0.79,,0.78,0.00,0.8027,0.78,,390.00M,394.20M,0.18,,AOR,Restated
2010-12,1.995B,1.995B,624.00M,1.371B,734.00M,111.00M,,16.00M,-109.00M,,,,,861.00M,510.00M,,,,-131.00M,,379.00M,84.00M,295.00M,,,295.00M,379.84M,526.00M,-76.00M,510.00M,,0.75,,0.9650,0.75,,0.74,,0.9516,0.74,,394.60M,401.00M,0.18,,AOR,Restated
2010-09,1.768B,1.768B,541.00M,1.227B,643.00M,99.00M,,14.00M,-9.00M,,,,,756.00M,471.00M,,,,-9.00M,,462.00M,125.00M,337.00M,,,337.00M,343.56M,572.20M,101.20M,471.00M,,0.85,0.00,0.8665,0.85,,0.85,0.00,0.8665,0.85,,397.00M,398.00M,0.15,,AOR,Restated
2010-06,1.758B,1.758B,539.30M,1.219B,661.80M,94.60M,,14.40M,-5.50M,,,,,770.80M,448.10M,,,,-5.50M,,442.60M,123.60M,319.00M,,,319.00M,322.96M,546.70M,98.60M,448.10M,,0.80,0.00,0.8100,0.80,,0.80,0.00,0.8099,0.80,,396.90M,399.20M,0.15,,AOR,Restated
2010-03,1.799B,1.799B,581.40M,1.218B,667.80M,90.00M,,13.50M,1.40M,15.10M,13.10M,-2.00M,,771.30M,446.40M,13.10M,15.10M,-2.00M,1.40M,-2.00M,445.80M,124.10M,321.70M,,,321.70M,320.69M,560.10M,99.20M,460.90M,,0.81,0.00,0.8075,0.81,,0.80,0.00,0.7975,0.80,,397.20M,400.10M,0.15,,AOR,Restated
2009-12,1.834B,1.834B,593.20M,1.241B,628.70M,89.50M,,8.80M,9.10M,,,,,727.00M,514.00M,,,,9.10M,,523.10M,217.10M,306.00M,,,306.00M,300.08M,618.80M,104.80M,514.00M,,0.77,0.00,0.7551,0.77,,0.76,0.00,0.7452,0.76,,398.00M,400.30M,0.15,,AOR,Restated
2009-09,1.653B,1.653B,538.70M,1.115B,643.90M,83.70M,,8.60M,-64.00M,,,,,736.20M,378.40M,,,,-64.00M,,314.40M,85.40M,229.00M,,,229.00M,275.62M,475.00M,96.60M,378.40M,,0.58,0.00,0.6972,0.58,,0.57,0.00,0.6867,0.57,,397.60M,399.60M,0.00,,AOR,Restated
2009-06,1.634B,1.634B,536.30M,1.098B,617.10M,82.60M,,8.50M,10.20M,,,,,708.20M,389.80M,,,,10.20M,,400.00M,108.70M,291.30M,,,291.30M,283.87M,482.00M,92.20M,389.80M,,0.73,0.00,0.7113,0.73,,0.73,0.00,0.7114,0.73,,397.40M,399.00M,0.00,,AOR,Restated
2009-03,1.601B,1.601B,515.50M,1.086B,616.60M,80.40M,,9.60M,7.20M,,,,,706.60M,379.20M,,,,7.20M,,386.40M,105.30M,281.10M,,,281.10M,275.86M,470.90M,91.70M,379.20M,,0.71,0.00,0.6968,0.71,,0.71,0.00,0.6969,0.71,,396.70M,398.60M,0.00,,AOR,Restated
2008-12,1.718B,1.718B,556.00M,1.162B,647.60M,99.80M,,9.60M,-25.10M,,,,,757.00M,405.20M,,,,-25.10M,,380.10M,102.40M,277.70M,,,277.70M,296.04M,498.30M,93.10M,405.20M,,0.69,0.00,0.7359,0.69,,0.69,0.00,0.7355,0.69,,399.40M,402.80M,0.40,,AOR,Restated
2008-09,1.653B,1.653B,541.70M,1.111B,644.80M,92.60M,,9.80M,11.90M,,,,,747.20M,364.10M,,,,11.90M,,376.00M,102.20M,273.80M,,,273.80M,265.13M,461.70M,97.60M,364.10M,,0.67,0.00,0.6488,0.67,,0.66,0.00,0.6392,0.66,,409.70M,415.80M,0.00,,,
2008-06,1.713B,1.713B,533.20M,1.179B,678.20M,90.30M,,10.00M,19.20M,,,,,778.50M,400.90M,,,,19.20M,,420.10M,114.30M,305.80M,,,305.80M,291.82M,499.60M,98.70M,400.90M,,0.74,0.00,0.7061,0.74,,0.73,0.00,0.6966,0.73,,412.00M,417.90M,0.00,,,Restated
2008-03,1.634B,1.634B,500.50M,1.134B,654.50M,85.10M,,10.60M,20.30M,,,,,750.20M,383.70M,,,,20.30M,,404.00M,113.50M,290.50M,,,290.50M,275.90M,481.90M,98.20M,383.70M,,0.71,0.00,0.6745,0.71,,0.70,0.00,0.6651,0.70,,411.40M,417.90M,0.00,,,
2007-12,1.658B,1.658B,524.50M,1.134B,658.90M,101.80M,,10.00M,55.90M,,,,,750.90M,382.70M,,,,55.90M,,384.00M,107.90M,276.10M,0.00,,276.10M,235.91M,556.00M,95.50M,460.50M,,0.67,0.06,0.5722,0.67,,0.67,0.06,0.5739,0.66,,410.90M,418.40M,0.33,,,Restated
2007-09,1.453B,1.453B,457.00M,996.20M,582.90M,96.80M,,9.20M,10.60M,,,,-381.60M,307.30M,688.90M,,,,10.60M,,317.90M,89.20M,228.70M,,,228.70M,221.07M,762.80M,73.90M,688.90M,,0.56,0.00,0.5414,0.56,,0.55,0.00,0.5317,0.55,,410.00M,417.50M,0.00,,,
2007-06,1.464B,1.464B,444.30M,1.019B,581.60M,92.10M,,11.00M,-2.90M,,,,19.80M,704.50M,314.90M,,,,-2.90M,,331.80M,91.70M,240.10M,269.10M,,509.20M,242.20M,423.10M,108.20M,314.90M,,0.59,0.01,0.5951,0.66,,0.58,0.01,0.5850,0.65,,409.40M,416.90M,0.00,,,
2007-03,1.426B,1.489B,439.40M,1.050B,568.10M,84.60M,,11.20M,14.20M,,,,,663.90M,386.00M,,,,14.20M,,336.40M,94.60M,241.80M,,,241.80M,231.59M,475.00M,89.00M,386.00M,,0.59,0.00,0.5650,0.60,,0.58,0.00,0.5555,0.59,,408.60M,416.00M,0.00,,,
2006-12,1.400B,1.400B,444.50M,955.90M,549.50M,91.20M,,11.40M,11.80M,,,,,2.055B,-1.099B,,,,11.80M,,315.60M,88.90M,226.70M,1.20M,,227.90M,218.22M,-1.013B,85.40M,-1.099B,,0.56,0.01,0.5393,0.56,,0.55,0.01,0.5294,0.55,,410.09M,412.33M,0.22,,,
2006-09,1.231B,1.231B,384.80M,846.30M,502.80M,80.40M,,11.00M,8.10M,,,,-342.10M,252.10M,594.20M,,,,8.10M,,260.20M,73.20M,187.00M,,,187.00M,181.18M,677.20M,83.00M,594.20M,,0.46,0.00,0.4457,0.46,,0.45,0.00,0.4359,0.46,,406.70M,411.60M,0.00,,,
2006-06,1.262B,1.262B,393.90M,867.90M,493.00M,75.90M,,10.10M,4.90M,,,,,579.00M,288.90M,,,,4.90M,,293.80M,81.70M,212.10M,1.80M,,213.90M,208.56M,366.80M,77.90M,288.90M,,0.52,0.00,0.5113,0.53,,0.52,0.00,0.5114,0.52,,406.40M,410.70M,0.00,,,
2006-03,1.321B,1.321B,452.90M,868.00M,505.70M,77.10M,,10.40M,-47.50M,,,,,593.20M,274.80M,,,,-47.50M,,227.30M,79.80M,147.50M,,,147.50M,178.32M,352.60M,77.80M,274.80M,,0.36,0.00,0.4360,0.36,,0.36,0.00,0.4349,0.36,,405.70M,411.30M,0.00,,,
2005-12,1.016B,1.016B,218.80M,797.10M,458.50M,84.10M,,9.30M,-9.60M,,,,,551.90M,245.20M,,,,-9.60M,,235.60M,68.30M,167.30M,,,178.40M,174.12M,314.60M,69.40M,245.20M,,0.42,0.03,0.4368,0.45,,0.41,0.03,0.4266,0.44,,404.90M,410.50M,0.11,,,
2005-09,1.172B,1.172B,417.30M,754.60M,457.20M,72.00M,,10.50M,-0.60M,,,,,539.70M,214.90M,,,,-0.60M,,214.30M,93.60M,120.70M,,,120.70M,121.06M,284.90M,70.00M,214.90M,,0.30,0.00,0.3009,0.30,,0.29,0.00,0.2909,0.29,,403.70M,411.40M,0.00,,,
2005-06,1.219B,1.219B,423.10M,795.50M,465.60M,67.00M,,11.40M,-0.20M,,,,,544.00M,251.50M,,,,-0.20M,,251.30M,73.50M,177.80M,,,177.80M,177.94M,320.90M,69.40M,251.50M,,0.44,0.00,0.4404,0.44,,0.43,0.00,0.4303,0.43,,403.30M,410.50M,0.00,,,
2005-03,1.202B,1.202B,429.10M,773.40M,450.20M,60.60M,,16.40M,-0.60M,,,,,527.20M,246.20M,,,,-0.60M,,245.60M,72.50M,173.10M,,,173.10M,173.52M,320.10M,73.90M,246.20M,,0.41,0.00,0.4110,0.41,,0.41,0.00,0.4110,0.41,,402.80M,410.70M,0.00,,,
2004-12,1.156B,1.156B,415.80M,739.70M,473.40M,60.20M,,12.20M,-0.50M,,,,,545.80M,193.90M,,,,-0.50M,,193.40M,56.40M,137.00M,,,137.00M,137.35M,260.30M,66.40M,193.90M,,0.34,0.00,0.3409,0.34,,0.34,0.00,0.3409,0.34,,402.40M,406.60M,0.09,,,
2004-09,1.029B,1.029B,365.10M,663.60M,402.30M,54.60M,,11.60M,-122.70M,,,,,468.50M,195.10M,,,,-122.70M,,72.40M,58.00M,14.40M,,,14.40M,88.02M,257.60M,62.50M,195.10M,,0.04,0.00,0.2233,0.04,,0.04,0.00,0.2193,0.04,,401.70M,410.70M,0.00,,,
2004-06,1.043B,1.043B,364.70M,678.30M,396.50M,50.50M,,11.20M,-0.10M,,,,,458.20M,220.10M,,,,-0.10M,,218.20M,65.50M,152.70M,,,152.70M,152.77M,281.10M,61.00M,220.10M,,0.38,0.00,0.3802,0.38,,0.37,0.00,0.3702,0.37,,400.80M,410.80M,0.00,,,
2004-03,1.035B,1.035B,368.20M,666.90M,411.30M,49.60M,,12.80M,2.30M,,,,,473.70M,193.20M,,,,2.30M,,194.10M,58.20M,135.90M,,,135.90M,134.29M,254.20M,61.00M,193.20M,,0.34,0.00,0.3360,0.34,,0.33,0.00,0.3261,0.33,,399.80M,409.10M,0.00,,,
2003-12,1.001B,1.001B,355.90M,645.40M,386.70M,48.00M,,16.30M,1.90M,,,,,451.00M,194.40M,,,,1.90M,,192.90M,58.80M,134.10M,,,134.10M,132.78M,262.60M,68.20M,194.40M,,0.245,0.04,0.2422,0.285,,0.245,0.04,0.2422,0.285,,472.02M,476.73M,0.07,,,
2003-09,885.40M,885.40M,328.80M,556.60M,343.40M,44.10M,,10.00M,-0.40M,,,,,397.50M,159.10M,,,,-0.40M,,152.90M,45.10M,107.80M,,,107.80M,108.08M,214.20M,55.10M,159.10M,,0.27,0.00,0.2707,0.27,,0.265,0.00,0.2657,0.265,,398.20M,407.20M,0.00,,,
2003-06,891.70M,891.70M,326.90M,564.80M,348.40M,44.90M,,10.10M,0.80M,,,,,403.40M,161.40M,,,,0.80M,,155.80M,48.30M,107.50M,,,107.50M,106.95M,215.10M,53.70M,161.40M,,0.27,0.00,0.2686,0.27,,0.26,0.00,0.2586,0.26,,397.20M,406.10M,0.00,,,
2003-03,846.90M,846.90M,300.80M,546.10M,337.50M,43.20M,,9.00M,1.50M,,,,,389.70M,156.40M,,,,1.50M,,150.90M,46.80M,104.10M,,,104.10M,103.07M,209.10M,52.70M,156.40M,,0.26,0.00,0.2574,0.26,,0.255,0.00,0.2524,0.255,,396.60M,405.60M,0.00,,,
2002-12,829.20M,829.20M,309.30M,519.90M,316.00M,37.50M,,8.60M,0.30M,,,,,362.10M,157.80M,,,,0.30M,,149.30M,43.20M,106.10M,,,106.10M,105.89M,209.40M,51.60M,157.80M,,0.225,0.00,0.2246,0.225,,0.22,0.00,0.2196,0.22,,481.14M,485.07M,0.06,,,
2002-09,745.60M,745.60M,279.90M,465.70M,284.30M,35.90M,,8.50M,-17.90M,,,,,328.70M,137.00M,,,,-17.90M,,108.20M,35.70M,72.50M,,,72.50M,84.49M,186.10M,49.10M,137.00M,,0.185,0.00,0.2153,0.185,,0.18,0.00,0.2095,0.18,,395.40M,406.80M,0.00,,,
2002-06,733.90M,733.90M,267.10M,466.80M,287.90M,34.40M,,5.80M,-0.50M,,,,,328.10M,138.70M,,,,-0.50M,,128.20M,42.30M,85.90M,,,85.90M,86.24M,183.90M,45.20M,138.70M,,0.22,0.00,0.2208,0.22,,0.21,0.00,0.2108,0.21,,394.80M,407.20M,0.00,,,
2002-03,702.90M,702.90M,254.90M,448.00M,277.20M,33.60M,,6.00M,0.40M,,,,,316.80M,131.20M,,,,0.40M,,121.00M,39.90M,81.10M,,,81.10M,80.83M,171.40M,40.20M,131.20M,,0.205,0.00,0.2043,0.205,,0.20,0.00,0.1993,0.20,,394.00M,407.60M,0.00,,,
2001-12,709.30M,709.30M,265.80M,443.50M,261.40M,36.10M,,9.40M,2.00M,,,,,306.90M,136.60M,,,,2.00M,,121.70M,39.90M,83.80M,,,79.00M,82.46M,182.60M,46.00M,136.60M,,0.205,0.00,0.2014,0.205,,0.20,0.00,0.1964,0.20,,371.23M,376.63M,0.05,,,
