,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2018-03,10.04M,-0.951M,-0.951M,,,,76.82M,2.029M,9.76M,,-2.269M,20.95M,-8.873M,7.925M,,,-10.42M,9.582M,105.01M,,2018-03,,-96.26M,2.528M,,0.099M,-93.63M,,2018-03,-0.842M,-0.842M,,-6.38M,-6.38M,-27.88M,-27.88M,2.801M,-3.065M,-35.37M,,2018-03,1.446B,1.422B,,2018-03,,-0.842M,-6.38M,,12.46M,,2018-03,AOR
2017-12,377.31M,-1.43M,-1.43M,,,,75.78M,-245.64M,6.802M,,-3.506M,95.32M,-24.20M,-21.08M,,,-19.88M,30.16M,239.48M,,2017-12,,-101.56M,-2.038M,,2.048M,-101.54M,,2017-12,1.307B,1.306B,,-1.588M,-1.588M,-27.94M,-27.94M,0.083M,-3.022M,1.273B,,2017-12,35.22M,1.446B,,2017-12,,-90.76M,-1.588M,,,,2017-12,AOR
2017-09,151.54M,-0.456M,-0.456M,,,,75.32M,4.079M,5.971M,,-5.225M,-11.91M,-26.56M,-8.481M,,,4.534M,-42.42M,188.80M,,2017-09,,-92.66M,-3.951M,,-2.024M,-98.63M,,2017-09,-60.97M,-63.72M,,-1.275M,-1.275M,-27.83M,-27.83M,2.08M,-0.934M,-91.67M,,2017-09,36.72M,35.22M,,2017-09,,-130.97M,-1.275M,,,,2017-09,AOR
2017-06,142.24M,-17.59M,-17.59M,,,,75.73M,-0.363M,7.452M,,-4.49M,-91.40M,-12.86M,3.127M,,,53.62M,-47.52M,155.46M,,2017-06,,-113.99M,29.35M,,0.095M,-84.55M,,2017-06,-64.76M,-60.96M,,-5.243M,-5.243M,-26.58M,-26.58M,4.02M,-0.844M,-89.60M,,2017-06,55.42M,36.72M,,2017-06,,-801.00M,-5.243M,-6.24M,-12.22M,,2017-06,AOR
2017-03,42.31M,0.073M,0.073M,,,,70.38M,2.827M,10.28M,,-0.179M,-21.30M,-15.38M,8.536M,,,-23.67M,-51.81M,73.86M,,2017-03,,-102.10M,0.539M,,0.181M,-101.38M,,2017-03,159.23M,159.23M,,-103.69M,-103.69M,-26.56M,-26.56M,3.917M,,32.89M,,2017-03,50.04M,55.42M,,2017-03,,-45.77M,-103.69M,6.24M,12.22M,,2017-03,AOR
2016-12,98.80M,0.252M,0.252M,,,,73.26M,7.216M,3.314M,,-0.226M,108.78M,-13.42M,-20.54M,,,9.805M,84.62M,267.23M,,2016-12,,-101.79M,1.181M,,,-100.31M,,2016-12,-81.94M,-81.94M,,-71.82M,-71.82M,-26.74M,-26.74M,5.381M,-2.443M,-177.56M,,2016-12,60.68M,50.04M,,2016-12,,-281.94M,-71.82M,-81.59M,-48.81M,,2016-12,AOR
2016-09,159.48M,0.419M,0.419M,,,,72.38M,25.44M,4.366M,,-12.03M,-16.32M,-0.825M,-20.10M,,,-0.941M,-38.19M,211.87M,,2016-09,,-74.92M,-54.15M,,,-129.07M,,2016-09,-18.75M,-25.89M,,-1.587M,-1.587M,-26.83M,-26.83M,3.806M,-0.213M,-50.71M,,2016-09,28.60M,60.68M,,2016-09,,-98.75M,-1.587M,34.43M,12.18M,,2016-09,AOR
2016-06,122.11M,-0.161M,-0.161M,,,,71.21M,16.40M,5.573M,,-3.731M,-87.83M,-19.64M,23.29M,,,14.30M,-69.87M,141.53M,,2016-06,,-116.33M,1.059M,,,-115.27M,,2016-06,25.19M,32.33M,-4.72M,-44.97M,-49.69M,-25.62M,-25.62M,18.07M,,-24.91M,,2016-06,27.24M,28.60M,,2016-06,-4.72M,-44.81M,-44.97M,36.44M,25.24M,,2016-06,AOR
2016-03,45.06M,-0.10M,-0.10M,,,,68.41M,17.99M,7.228M,,-2.036M,-29.70M,-13.50M,9.231M,,,-34.27M,-68.23M,68.31M,,2016-03,,-94.23M,-116.14M,,,-210.37M,,2016-03,182.83M,172.60M,4.72M,-150.58M,-145.86M,-25.85M,-25.85M,,,0.888M,,2016-03,168.41M,27.24M,,2016-03,4.72M,-27.17M,-150.58M,10.72M,11.39M,,2016-03,AOR
2015-12,83.22M,-13.48M,-13.48M,,,,63.65M,41.94M,2.867M,,0.582M,167.36M,-3.875M,-62.24M,,,-19.02M,82.23M,261.02M,,2015-12,,-105.78M,-6.327M,,0.107M,-112.00M,,2015-12,-134.15M,-123.92M,-33.89M,-269.89M,-303.78M,-26.24M,-26.24M,,-0.325M,-417.04M,,2015-12,436.43M,168.41M,,2015-12,-33.89M,-134.15M,-269.89M,-30.90M,-47.07M,,2015-12,AOR
2015-09,117.58M,28.42M,28.42M,,,,64.98M,9.38M,3.198M,0.055M,-6.213M,-78.99M,10.01M,25.60M,,,18.50M,-24.88M,192.51M,,2015-09,,-84.46M,420.04M,,-0.107M,335.47M,,2015-09,42.81M,42.81M,6.132M,-157.67M,-151.54M,-26.93M,-26.93M,,-0.055M,-135.72M,,2015-09,44.17M,436.43M,,2015-09,6.132M,-107.19M,-157.67M,6.562M,11.62M,,2015-09,AOR
2015-06,81.98M,0.723M,0.723M,,,,67.69M,6.132M,4.617M,0.054M,-1.533M,-116.07M,-8.59M,16.91M,,,40.03M,-67.72M,91.94M,,2015-06,,-71.90M,0.373M,,,-71.53M,,2015-06,75.56M,75.56M,17.82M,-100.00M,-82.18M,-25.93M,-25.93M,,-0.054M,-32.61M,,2015-06,56.37M,44.17M,,2015-06,17.82M,-4.442M,-100.00M,5.656M,24.03M,,2015-06,AOR
2015-03,6.159M,-1.576M,-1.576M,,,,67.27M,27.77M,2.907M,-0.109M,1.192M,40.01M,-19.07M,-20.33M,,,-69.10M,-68.49M,35.12M,,2015-03,,-56.08M,-7.306M,,,-63.39M,,2015-03,-5.533M,-5.716M,9.942M,0.00,9.942M,-28.35M,-28.35M,,0.109M,-24.02M,,2015-03,108.65M,56.37M,,2015-03,9.942M,-5.533M,0.00,18.68M,11.42M,,2015-03,AOR
2014-12,63.99M,-4.482M,-4.482M,,,,68.67M,5.322M,2.612M,-0.154M,3.029M,103.49M,-13.30M,-21.21M,,,-27.93M,41.05M,180.03M,,2014-12,,-93.61M,9.137M,,,-84.48M,,2014-12,-34.14M,-33.95M,1.519M,0.00,1.519M,-27.04M,-27.04M,,-1.026M,-60.50M,,2014-12,73.60M,108.65M,,2014-12,1.519M,-34.14M,0.00,39.94M,25.14M,,2014-12,AOR
2014-09,53.83M,-46.07M,-46.07M,,,,67.93M,51.40M,2.011M,-0.432M,-1.461M,-21.23M,5.552M,-9.327M,,,29.05M,4.047M,131.26M,,2014-09,,-53.83M,171.16M,,,117.32M,,2014-09,-210.00M,-210.00M,28.65M,0.00,28.65M,-27.01M,-27.01M,,-0.965M,-209.32M,,2014-09,34.33M,73.60M,,2014-09,28.65M,-978.76M,0.00,2.50M,30.99M,,2014-09,AOR
2014-06,59.62M,-0.641M,-0.641M,,,,43.68M,-1.37M,2.961M,-1.286M,2.004M,-101.74M,3.142M,40.67M,,,16.71M,-41.22M,63.75M,,2014-06,,-47.82M,1.215M,,,-46.61M,,2014-06,16.18M,16.18M,3.054M,0.00,3.054M,-18.65M,-18.65M,,-19.20M,-18.61M,,2014-06,35.80M,34.33M,,2014-06,3.054M,-23.82M,0.00,3.458M,23.54M,,2014-06,AOR
2014-03,-23.15M,-1.106M,-1.106M,,,,42.47M,-5.063M,1.409M,-0.636M,1.223M,2.834M,-7.411M,-4.825M,,,0.874M,-8.528M,6.612M,,2014-03,,-36.91M,1.351M,,,-35.56M,,2014-03,36.35M,33.79M,6.488M,,6.488M,-18.60M,-18.60M,,0.636M,22.31M,,2014-03,42.44M,35.80M,,2014-03,6.488M,-23.65M,,0.053M,1.633M,,2014-03,AOR
2013-12,35.16M,-1.262M,-1.262M,,,,43.66M,4.919M,1.60M,-0.378M,0.31M,85.61M,3.132M,-7.666M,,,-21.78M,59.30M,143.31M,,2013-12,,-52.89M,8.712M,,,-47.58M,,2013-12,-82.06M,-89.94M,0.12M,,0.12M,-18.57M,-18.57M,,-2.136M,-110.53M,,2013-12,57.24M,42.44M,,2013-12,0.12M,-330.98M,,24.92M,80.66M,,2013-12,AOR
2013-09,72.04M,-0.581M,-0.581M,,,,44.10M,9.912M,1.427M,0.263M,-0.209M,-42.97M,1.067M,11.31M,,,20.81M,-9.782M,117.17M,,2013-09,,-52.34M,-63.25M,,,-115.59M,,2013-09,19.98M,30.41M,0.359M,,0.359M,-18.56M,-18.56M,,-0.263M,11.95M,,2013-09,43.71M,57.24M,,2013-09,0.359M,-40.02M,,-1.432M,-54.49M,,2013-09,AOR
2013-06,41.57M,0.24M,0.24M,,,,42.95M,5.889M,2.736M,-1.624M,-1.249M,-85.44M,-1.232M,22.88M,,,3.179M,-60.61M,29.90M,,2013-06,,-28.12M,-0.323M,,,-28.44M,,2013-06,14.73M,14.73M,7.718M,,7.718M,-18.56M,-18.56M,,1.114M,5.00M,,2013-06,37.26M,43.71M,,2013-06,7.718M,-220.77M,,-7.055M,27.77M,,2013-06,AOR
2013-03,-29.33M,-0.662M,-0.662M,,,,43.04M,3.393M,1.245M,-0.629M,0.719M,20.27M,-14.61M,-6.457M,,,1.585M,0.795M,18.58M,,2013-03,,-21.88M,-1.049M,,,-22.93M,,2013-03,30.60M,30.60M,3.494M,,3.494M,-18.50M,-18.50M,,0.629M,16.22M,,2013-03,25.39M,37.26M,,2013-03,3.494M,-29.40M,,7.055M,-1.906M,,2013-03,AOR
2012-12,21.72M,-0.098M,-0.098M,,,,44.23M,2.352M,1.834M,-0.777M,-0.241M,72.90M,2.846M,-15.75M,,,-28.37M,31.62M,100.64M,,2012-12,,-45.08M,2.074M,,,-45.01M,,2012-12,-51.00M,-51.11M,3.451M,,3.451M,-18.46M,-18.46M,,0.456M,-65.66M,,2012-12,35.42M,25.39M,,2012-12,3.451M,-51.00M,,,23.78M,,2012-12,AOR
2012-09,63.67M,-0.019M,-0.019M,,,,44.25M,4.80M,1.37M,0.00,0.992M,-21.53M,-3.108M,-13.97M,,,17.92M,-20.69M,94.38M,,2012-09,,-39.69M,3.879M,,,-35.81M,,2012-09,-45.52M,-48.77M,2.672M,,2.672M,-18.44M,-18.44M,,0.00,-64.54M,,2012-09,41.39M,35.42M,,2012-09,2.672M,-55.52M,,,2.718M,,2012-09,AOR
2012-06,37.81M,-1.286M,-1.286M,,,,44.34M,7.499M,2.699M,0.288M,0.584M,-63.36M,1.503M,13.33M,,,-11.41M,-59.94M,31.99M,,2012-06,,-28.73M,1.73M,,,-27.00M,,2012-06,9.346M,10.77M,0.218M,,0.218M,-18.44M,-18.44M,,-1.088M,-8.542M,,2012-06,44.95M,41.39M,,2012-06,0.218M,-10.65M,,,23.90M,,2012-06,AOR
2012-03,-37.67M,0.447M,0.447M,,,,44.40M,-0.722M,1.878M,-0.288M,0.738M,-8.304M,-10.88M,7.718M,,,-1.63M,-13.10M,-4.319M,,2012-03,,-37.52M,2.13M,,,-35.39M,,2012-03,74.52M,76.45M,0.618M,,0.618M,-18.42M,-18.42M,,-0.012M,58.64M,,2012-03,26.02M,44.95M,,2012-03,0.618M,-76.48M,,,2.632M,,2012-03,AOR
2011-12,15.08M,,-11.60M,-124.68M,-2.405M,-127.08M,43.73M,4.966M,2.205M,0.00,0.228M,58.60M,-0.676M,4.412M,,,-37.72M,24.61M,79.22M,,2011-12,-6.178M,-68.02M,-33.63M,,,-101.65M,,2011-12,10.02M,10.02M,0.008M,,0.008M,,-18.42M,,-0.001M,-8.388M,,2011-12,56.84M,26.02M,,2011-12,0.008M,-24.98M,,6.058M,24.09M,,2011-12,AOR
2011-09,50.33M,,-0.50M,124.68M,2.405M,127.08M,43.22M,-2.878M,2.966M,,0.336M,9.616M,-1.363M,0.923M,,,20.54M,29.72M,123.19M,,2011-09,0.99M,-33.80M,-0.045M,,,-33.84M,,2011-09,-40.49M,-40.49M,0.305M,,0.305M,,-18.42M,,0.00,-58.61M,,2011-09,26.10M,56.84M,,2011-09,0.305M,-40.49M,,-3.712M,2.068M,,2011-09,AOR
2011-06,35.86M,,-0.348M,,,,43.16M,5.886M,3.574M,0.268M,0.409M,-68.27M,-3.284M,10.53M,,,7.565M,-53.45M,35.35M,,2011-06,3.00M,-25.05M,-49.83M,,,-74.88M,,2011-06,-82.77M,-82.77M,0.857M,,0.857M,,-18.41M,,-10.87M,-111.20M,,2011-06,176.83M,26.10M,,2011-06,0.857M,-242.77M,,11.15M,32.54M,,2011-06,AOR
2011-03,-17.70M,,-3.042M,,,,43.29M,3.35M,2.777M,-0.268M,0.625M,-19.32M,0.216M,14.52M,,,-3.128M,-7.713M,21.33M,,2011-03,2.188M,-28.49M,-0.055M,,,-28.54M,,2011-03,137.79M,135.67M,0.303M,,0.303M,,-18.40M,,-3.852M,113.72M,,2011-03,70.32M,176.83M,,2011-03,0.303M,-162.21M,,0.39M,2.042M,,2011-03,AOR
2010-12,15.21M,,-0.199M,-130.43M,-2.342M,-132.78M,45.59M,-16.20M,2.991M,0.352M,3.925M,66.25M,-7.647M,-16.68M,,,-26.41M,15.52M,67.20M,,2010-12,-4.524M,-30.42M,-10.16M,,,-40.58M,,2010-12,-0.451M,1.672M,0.275M,,0.275M,-73.55M,-18.39M,,-0.352M,-16.80M,,2010-12,60.50M,70.32M,,2010-12,0.275M,-48.71M,,19.66M,32.06M,,2010-12,AOR
2010-09,53.26M,,-0.274M,43.53M,0.757M,44.29M,45.45M,12.33M,3.241M,-0.152M,-0.346M,8.148M,-3.977M,-0.864M,,,-0.475M,2.832M,116.34M,,2010-09,0.697M,-40.77M,-0.04M,,,-40.81M,,2010-09,-25.62M,-29.02M,0.149M,,0.149M,,-18.40M,,0.152M,-47.12M,,2010-09,32.10M,60.50M,,2010-09,0.149M,-52.36M,,-8.021M,1.49M,,2010-09,AOR
2010-06,30.20M,,-2.886M,86.90M,1.585M,88.49M,45.53M,3.84M,4.549M,-1.346M,25.41M,-55.66M,2.184M,10.68M,,,-3.351M,-46.14M,59.15M,,2010-06,2.239M,-41.29M,-0.041M,,,-41.34M,,2010-06,-193.33M,-192.15M,2.437M,,2.437M,18.36M,-18.40M,,1.346M,-206.77M,,2010-06,221.04M,32.10M,,2010-06,2.437M,-268.33M,,-0.934M,32.67M,,2010-06,AOR
2010-03,,,-1.133M,,,,44.97M,0.957M,3.894M,-0.145M,-24.36M,-39.29M,10.68M,15.08M,,,16.46M,2.937M,27.12M,,2010-03,1.588M,-23.43M,-28.03M,,,-51.46M,,2010-03,-0.589M,-0.099M,0.186M,,0.186M,-18.36M,-18.36M,,0.065M,-18.21M,,2010-03,263.59M,221.04M,,2010-03,0.186M,-50.59M,,8.955M,1.914M,,2010-03,AOR
2009-12,-2.915M,,0.076M,-127.84M,-2.405M,-130.25M,46.12M,10.54M,3.468M,1.401M,1.147M,78.81M,-2.787M,-9.47M,,,-42.61M,23.94M,83.77M,,2009-12,,-30.94M,-0.019M,0.00,-7.375M,-38.34M,,2009-12,-18.46M,-14.60M,60.94M,,60.94M,,-18.23M,,-3.791M,24.32M,,2009-12,193.84M,263.59M,,2009-12,60.94M,-64.60M,,8.986M,32.52M,,2009-12,AOR
2009-09,56.87M,,-1.901M,43.75M,0.862M,44.62M,45.90M,-4.329M,4.045M,-0.679M,-2.17M,8.82M,4.212M,-13.07M,,,20.24M,20.21M,117.94M,,2009-09,,-25.74M,-0.025M,-4.00M,5.572M,-24.20M,,2009-09,-14.35M,-18.16M,0.152M,,0.152M,,-18.01M,,2.734M,-33.29M,,2009-09,133.38M,193.84M,,2009-09,0.152M,-68.16M,,3.706M,2.448M,,2009-09,AOR
2009-06,40.58M,,3.15M,42.90M,0.826M,43.72M,44.76M,1.713M,7.953M,-1.182M,-0.633M,-43.92M,-7.019M,-2.351M,,,8.854M,-44.44M,51.90M,,2009-06,,-34.43M,-48.02M,,-3.279M,-85.74M,,2009-06,127.76M,-54.98M,37.80M,,37.80M,,-18.11M,,-19.49M,-54.79M,,2009-06,222.00M,133.38M,,2009-06,37.80M,-284.98M,,4.105M,33.68M,,2009-06,AOR
2009-03,-6.373M,,0.796M,41.19M,0.717M,41.91M,42.62M,0.765M,5.086M,-0.095M,0.638M,4.811M,-6.931M,14.44M,,,9.002M,21.32M,64.75M,,2009-03,,-40.32M,-1.524M,,5.082M,-36.76M,,2009-03,-1.097M,-21.34M,195.28M,,195.28M,,-16.82M,,-0.905M,156.21M,,2009-03,37.79M,222.00M,,2009-03,195.28M,-21.34M,,0.29M,3.377M,,2009-03,AOR
2008-12,26.32M,,3.798M,43.35M,0.761M,44.11M,45.47M,-2.197M,4.23M,0.406M,-0.526M,87.62M,-12.47M,-34.86M,,,-46.59M,-6.306M,71.19M,,2008-12,,-34.47M,-0.118M,,6.687M,-27.90M,,2008-12,-201.09M,-0.976M,0.389M,0.00,0.389M,,-16.80M,,-2.002M,-19.39M,,2008-12,13.90M,37.79M,,2008-12,0.389M,-128.98M,0.00,36.34M,38.93M,,2008-12,AOR
2008-09,68.31M,,-6.73M,41.64M,0.827M,42.47M,43.96M,11.60M,4.483M,-2.644M,-0.21M,22.77M,-8.267M,-3.692M,,,18.32M,29.13M,147.91M,,2008-09,,-64.37M,-0.037M,,13.91M,-50.50M,,2008-09,-1.10M,-83.70M,2.037M,0.00,2.037M,,-16.79M,,1.783M,-96.67M,,2008-09,13.16M,13.90M,,2008-09,2.037M,-74.89M,0.00,11.94M,2.159M,,2008-09,
2008-06,65.08M,,-17.17M,40.78M,0.868M,41.65M,42.78M,9.408M,9.011M,-0.881M,-0.803M,-82.98M,5.06M,8.439M,,,11.88M,-57.59M,49.83M,,2008-06,,-74.00M,-199.37M,,4.214M,-269.15M,,2008-06,294.86M,244.29M,0.475M,0.00,0.475M,,-14.49M,,-11.37M,218.91M,,2008-06,13.58M,13.16M,,2008-06,0.475M,-2.981M,0.00,6.548M,30.37M,,2008-06,
2008-03,20.05M,,-5.465M,37.56M,0.695M,38.25M,38.92M,5.032M,4.141M,-0.251M,-1.136M,6.829M,-9.506M,5.705M,,,12.39M,15.42M,76.71M,,2008-03,,-85.41M,-19.02M,,1.219M,-103.21M,,2008-03,-0.044M,59.34M,0.37M,-24.02M,-23.65M,,-14.44M,,-1.219M,20.04M,,2008-03,20.04M,13.58M,,2008-03,0.37M,-0.044M,-24.02M,,4.163M,,2008-03,
2007-12,56.54M,,0.581M,,,34.76M,39.25M,7.05M,,,-3.933M,66.98M,-1.672M,-5.33M,,,-33.08M,26.90M,122.80M,,2007-12,,-67.98M,-17.04M,,,-63.92M,,2007-12,,1.394M,0.061M,-56.00M,-55.94M,,-14.64M,,3.932M,-65.26M,,2007-12,26.42M,20.04M,,2007-12,0.061M,,-56.00M,,,,2007-12,
2007-09,90.27M,,-7.066M,,,37.68M,37.68M,-0.921M,,,0.856M,-15.62M,12.50M,-0.29M,,,15.36M,11.95M,132.77M,,2007-09,,-81.96M,9.797M,,,-72.16M,,2007-09,,-52.99M,1.649M,-1.608M,0.041M,,-14.63M,,2.494M,-65.08M,,2007-09,30.89M,26.42M,,2007-09,1.649M,,-1.608M,,,,2007-09,
2007-06,82.95M,,-2.563M,,,37.42M,37.42M,1.646M,,,3.269M,-46.56M,-17.45M,1.419M,,,30.82M,-31.77M,90.95M,,2007-06,,-65.12M,4.055M,,,-61.06M,,2007-06,,213.21M,3.892M,-227.40M,-223.51M,,-11.87M,,5.063M,-17.11M,,2007-06,18.11M,30.89M,,2007-06,3.892M,,-227.40M,,,,2007-06,
2007-03,32.99M,,-2.211M,,,35.98M,35.98M,0.966M,,,-7.915M,-8.113M,-24.89M,5.695M,,,16.55M,-10.76M,49.05M,,2007-03,,-49.86M,-9.021M,,,-58.88M,,2007-03,,253.47M,9.021M,-266.15M,-257.13M,,-12.48M,,11.79M,-4.341M,,2007-03,32.28M,18.11M,,2007-03,9.021M,,-266.15M,,,,2007-03,
2006-12,62.47M,,-2.68M,,,38.74M,38.74M,20.40M,,,-2.365M,51.28M,-11.75M,-4.412M,,,-23.20M,11.91M,128.47M,,2006-12,30.59M,-22.80M,-26.96M,0.00,,-49.76M,,2006-12,,-12.99M,10.48M,-60.29M,-49.81M,,-12.58M,,6.124M,-69.26M,,2006-12,22.83M,32.28M,,2006-12,10.48M,,-60.29M,,,,2006-12,
2006-09,76.16M,,-2.361M,,,36.07M,36.07M,1.746M,,,1.646M,-1.116M,-0.866M,-9.876M,,,-5.562M,-17.42M,95.84M,,2006-09,-22.61M,-77.50M,26.86M,0.00,,-50.64M,,2006-09,,-7.021M,4.297M,-29.41M,-25.12M,,-12.59M,,1.968M,-42.76M,,2006-09,20.39M,22.83M,,2006-09,4.297M,,-29.41M,,,,2006-09,
2006-06,75.79M,,0.938M,,,33.94M,33.94M,-2.564M,,,-3.31M,-50.97M,-2.27M,6.178M,,,23.65M,-23.42M,81.38M,,2006-06,22.61M,-60.72M,-0.092M,0.00,17.60M,-61.45M,,2006-06,,17.36M,3.585M,-43.19M,-39.60M,,-10.63M,,2.178M,-30.70M,,2006-06,31.15M,20.39M,,2006-06,3.585M,,-43.19M,,,,2006-06,
