,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,2.934B,2.934B,2.325B,608.60M,446.08M,,23.79M,1.277M,-22.51M,,446.08M,162.51M,1.277M,23.79M,-22.51M,6.632M,-22.51M,146.63M,31.17M,115.46M,36.89M,-2.123M,150.22M,113.34M,222.44M,52.02M,170.42M,,0.79,0.26,0.79,1.05,,0.79,0.26,0.79,1.05,,142.16M,143.17M,0.15,,AOR,Restated
2018-03,2.870B,2.870B,2.269B,601.63M,532.87M,,19.23M,1.785M,-17.44M,,532.87M,68.76M,1.785M,19.23M,-17.44M,-2.661M,-17.44M,48.65M,51.86M,-3.205M,54.88M,-3.085M,48.59M,-6.29M,123.54M,55.66M,67.88M,,-0.04,0.39,-0.04,0.34,,-0.04,0.39,-0.04,0.34,,141.78M,141.78M,0.15,,AOR,Restated
2017-12,1.784B,1.784B,1.442B,342.09M,346.76M,,7.092M,3.834M,-3.258M,,346.76M,-4.67M,3.834M,7.092M,-3.258M,1.225M,-3.258M,-6.703M,27.20M,-33.90M,36.40M,-0.331M,2.163M,-34.23M,39.92M,39.53M,0.389M,,-0.2759,0.2932,-0.2759,0.02,,-0.2759,0.2908,-0.2759,0.02,,124.12M,125.14M,0.15,,AOR,Restated
2017-09,-1.039B,-1.039B,-1.001B,-37.93M,3.208M,,0.708M,3.051M,2.343M,,3.208M,-41.13M,3.051M,0.708M,2.343M,8.178M,2.343M,-30.61M,-6.717M,-23.90M,,-5.523M,94.14M,-29.42M,4.999M,34.90M,-29.90M,,-0.24,,-0.24,0.78,,-0.24,,-0.24,0.78,,119.40M,120.13M,0.15,,AOR,Restated
2017-06,2.515B,2.515B,2.055B,459.36M,330.89M,,4.054M,2.123M,-1.931M,,330.89M,128.48M,2.123M,4.054M,-1.931M,0.852M,-1.931M,127.40M,38.77M,88.63M,,0.403M,89.03M,89.03M,161.37M,29.92M,131.45M,,0.74,,0.74,0.74,,0.74,,0.74,0.74,,119.21M,119.86M,0.15,,AOR,Restated
2017-03,2.303B,2.303B,1.883B,419.28M,351.11M,,3.755M,2.088M,-1.667M,,351.11M,68.17M,2.088M,3.755M,-1.667M,-6.015M,-1.667M,60.49M,16.33M,44.16M,,5.853M,50.02M,50.02M,93.40M,29.16M,64.25M,,0.41,,0.41,0.41,,0.41,,0.41,0.41,,119.48M,120.28M,0.15,,AOR,Restated
2016-12,2.552B,2.552B,2.132B,419.31M,330.68M,,3.518M,1.486M,-2.032M,,330.68M,88.63M,1.486M,3.518M,-2.032M,-0.716M,-2.032M,85.88M,24.73M,61.15M,,-0.617M,60.54M,60.54M,117.93M,28.54M,89.40M,,0.50,,0.50,0.50,,0.50,,0.50,0.50,,119.44M,121.85M,0.00,,AOR,Restated
2016-09,2.641B,2.641B,2.209B,431.69M,348.88M,,4.945M,2.74M,-2.205M,,348.88M,82.81M,2.74M,4.945M,-2.205M,-44.93M,-2.205M,35.67M,5.79M,29.88M,,-0.239M,29.64M,29.64M,71.64M,31.02M,40.62M,,0.25,,0.25,0.25,,0.24,,0.24,0.24,,119.54M,121.35M,0.00,,AOR,Restated
2016-06,2.694B,2.694B,2.242B,451.45M,341.89M,,4.572M,0.624M,-3.948M,,341.89M,109.56M,0.624M,4.572M,-3.948M,-2.801M,-3.948M,102.81M,31.87M,70.94M,,-1.882M,69.06M,69.06M,139.65M,32.27M,107.38M,,0.58,,0.58,0.58,,0.57,,0.57,0.57,,119.85M,121.45M,0.00,,AOR,Restated
2016-03,2.782B,2.782B,2.338B,444.22M,357.44M,,2.20M,2.264M,0.064M,,357.44M,86.78M,2.264M,2.20M,0.064M,3.611M,0.064M,90.46M,27.07M,63.39M,,1.861M,65.25M,65.25M,125.44M,32.78M,92.66M,,0.54,,0.54,0.54,,0.54,,0.54,0.54,,120.22M,121.14M,0.00,,AOR,Restated
2015-12,2.848B,2.848B,2.407B,440.47M,381.02M,,3.543M,2.22M,-1.323M,,381.02M,59.45M,2.22M,3.543M,-1.323M,-0.34M,-1.323M,57.79M,7.481M,50.31M,,-3.792M,46.51M,46.51M,95.22M,33.89M,61.33M,,0.38,,0.38,0.38,,0.38,,0.38,0.38,,120.89M,121.96M,0.00,,AOR,Restated
2015-09,3.117B,3.117B,2.644B,473.35M,419.52M,,4.129M,1.709M,-2.42M,,419.52M,53.83M,1.709M,4.129M,-2.42M,-2.115M,-2.42M,49.29M,12.02M,37.27M,,-7.406M,29.86M,29.86M,88.90M,35.48M,53.42M,,0.25,,0.25,0.25,,0.24,,0.24,0.24,,122.02M,122.72M,0.00,,AOR,Restated
2015-06,2.908B,2.908B,2.423B,484.60M,384.16M,,5.509M,1.697M,-3.812M,,384.16M,100.43M,1.697M,5.509M,-3.812M,0.566M,-3.812M,97.19M,-0.12M,97.31M,,-6.246M,91.06M,91.06M,139.82M,37.12M,102.70M,,0.74,,0.74,0.74,,0.73,,0.73,0.73,,123.39M,124.60M,0.00,,AOR,Restated
2015-03,2.903B,2.903B,2.412B,490.94M,357.90M,,4.548M,1.58M,-2.968M,,357.90M,133.04M,1.58M,4.548M,-2.968M,-1.115M,-2.968M,128.96M,40.85M,88.11M,,-6.143M,81.97M,81.97M,171.21M,37.70M,133.51M,,0.65,,0.65,0.65,,0.64,,0.64,0.64,,125.99M,127.17M,0.00,,AOR,Restated
2014-12,3.187B,3.187B,2.668B,519.45M,361.22M,,5.318M,2.276M,-3.042M,,361.22M,158.22M,2.276M,5.318M,-3.042M,-0.486M,-3.042M,154.70M,48.50M,106.20M,,-6.116M,100.08M,100.08M,199.00M,38.99M,160.01M,,0.78,,0.78,0.78,,0.77,,0.77,0.77,,128.65M,129.97M,0.00,,AOR,Restated
2014-09,3.218B,3.218B,2.677B,541.80M,405.15M,,0.947M,2.268M,1.321M,,405.15M,136.65M,2.268M,0.947M,1.321M,6.834M,1.321M,144.80M,53.75M,91.05M,,-4.98M,86.07M,86.07M,185.13M,39.38M,145.75M,,0.66,,0.66,0.66,,0.65,,0.65,0.65,,130.68M,132.10M,0.00,,AOR,Restated
2014-06,3.232B,3.232B,2.670B,561.74M,437.80M,,5.565M,2.624M,-2.941M,,437.80M,123.94M,2.624M,5.565M,-2.941M,-2.95M,-2.941M,118.05M,46.74M,71.31M,,-6.467M,64.84M,64.84M,162.94M,39.32M,123.61M,,0.50,,0.50,0.50,,0.49,,0.49,0.49,,130.74M,132.61M,0.00,,AOR,Restated
2014-03,3.176B,3.176B,2.659B,516.55M,394.12M,,5.116M,3.004M,-2.112M,,394.12M,122.43M,3.004M,5.116M,-2.112M,12.07M,-2.112M,132.39M,41.59M,90.80M,,-7.34M,83.46M,83.46M,175.93M,38.42M,137.51M,,0.64,,0.64,0.64,,0.63,,0.63,0.63,,130.38M,132.58M,0.00,,AOR,Restated
2013-12,3.069B,3.069B,2.615B,453.69M,308.64M,,,1.987M,1.987M,,308.64M,145.05M,1.987M,,1.987M,-0.113M,1.987M,146.92M,47.97M,98.95M,,-5.217M,93.73M,93.73M,173.33M,28.29M,145.05M,,0.72,,0.72,0.72,,0.71,,0.71,0.71,,130.12M,132.18M,0.00,,AOR,Restated
2013-09,3.143B,3.143B,2.668B,474.69M,299.54M,,3.391M,1.874M,-1.517M,,299.54M,175.15M,1.874M,3.391M,-1.517M,1.275M,-1.517M,174.91M,58.42M,116.48M,,-5.67M,110.81M,110.81M,205.02M,26.72M,178.30M,,0.85,,0.85,0.85,,0.84,,0.84,0.84,,129.87M,132.01M,0.00,,AOR,Restated
2013-06,3.081B,3.081B,2.614B,467.00M,298.64M,,2.786M,1.332M,-1.454M,,298.64M,168.36M,1.332M,2.786M,-1.454M,1.518M,-1.454M,168.42M,56.33M,112.09M,,-3.218M,108.87M,108.87M,195.59M,24.38M,171.21M,,0.84,,0.84,0.84,,0.83,,0.83,0.83,,129.54M,131.30M,0.00,,AOR,Restated
2013-03,2.835B,2.835B,2.370B,464.90M,299.70M,,3.035M,1.099M,-1.936M,,299.70M,165.20M,1.099M,3.035M,-1.936M,-1.359M,-1.936M,161.91M,54.82M,107.09M,,-2.688M,104.40M,104.40M,188.24M,23.30M,164.94M,,0.81,,0.81,0.81,,0.80,,0.80,0.80,,129.10M,130.73M,0.00,,AOR,Restated
2012-12,2.760B,2.760B,2.324B,435.72M,275.45M,,3.694M,1.09M,-2.604M,,275.45M,160.27M,1.09M,3.694M,-2.604M,-1.354M,-2.604M,156.31M,51.79M,104.52M,,-5.513M,99.01M,99.01M,184.48M,24.48M,160.00M,,0.77,,0.77,0.77,,0.76,,0.76,0.76,,128.64M,129.67M,0.00,,AOR,Restated
2012-09,2.786B,2.786B,2.340B,446.66M,279.04M,,2.538M,0.766M,-1.772M,,279.04M,167.62M,0.766M,2.538M,-1.772M,4.251M,-1.772M,170.10M,59.01M,111.08M,,-3.671M,107.41M,107.41M,198.28M,25.64M,172.63M,,0.84,,0.84,0.84,,0.83,,0.83,0.83,,128.31M,129.26M,0.00,,AOR,Restated
2012-06,2.773B,2.773B,2.340B,433.08M,279.72M,,2.99M,2.325M,-0.665M,,279.72M,153.37M,2.325M,2.99M,-0.665M,-1.33M,-0.665M,151.37M,50.38M,100.99M,,-3.09M,97.90M,97.90M,179.03M,24.67M,154.36M,,0.77,,0.77,0.77,,0.76,,0.76,0.76,,127.92M,128.82M,0.00,,AOR,Restated
2012-03,2.703B,2.703B,2.277B,426.20M,293.07M,,2.496M,1.563M,-0.933M,,293.07M,133.14M,1.563M,2.496M,-0.933M,0.11M,-0.933M,132.32M,44.87M,87.45M,,-3.513M,83.93M,83.93M,160.08M,25.27M,134.81M,,0.66,,0.66,0.66,,0.65,,0.65,0.65,,127.41M,128.73M,0.00,,AOR,Restated
2011-12,2.632B,2.632B,2.211B,421.04M,279.09M,,3.662M,1.395M,-2.267M,,279.09M,141.95M,1.395M,3.662M,-2.267M,-0.131M,-2.267M,139.55M,48.12M,91.44M,,-1.726M,89.71M,89.71M,168.45M,25.24M,143.22M,,0.71,,0.71,0.71,,0.70,,0.70,0.70,,126.92M,128.09M,0.00,,AOR,Restated
2011-09,2.723B,2.723B,2.297B,426.56M,278.66M,,2.684M,1.527M,-1.157M,,278.66M,147.90M,1.527M,2.684M,-1.157M,-1.591M,-1.157M,145.16M,49.91M,95.25M,,-0.967M,94.28M,94.28M,174.07M,26.23M,147.84M,,0.75,0.00,0.75,0.75,,0.74,0.00,0.74,0.74,,126.43M,127.25M,0.00,,AOR,Restated
2011-06,2.744B,2.744B,2.331B,412.71M,273.33M,3.172M,2.568M,1.317M,-1.251M,,273.33M,139.38M,1.317M,2.568M,-1.251M,3.172M,-1.251M,141.30M,49.36M,91.94M,,-1.26M,90.68M,88.61M,169.04M,25.18M,143.87M,,0.72,0.00,0.7036,0.72,,0.71,0.00,0.6938,0.71,,125.90M,127.58M,0.00,,AOR,Restated
2011-03,2.558B,2.558B,2.169B,389.18M,261.17M,0.037M,2.72M,1.149M,-1.571M,,261.17M,128.02M,1.149M,2.72M,-1.571M,0.037M,-1.571M,126.48M,45.14M,81.34M,,-1.091M,80.25M,80.23M,152.94M,23.73M,129.20M,,0.64,0.00,0.6398,0.64,,0.63,0.00,0.6298,0.63,,125.40M,127.36M,0.00,,AOR,Restated
2010-12,2.356B,2.356B,2.025B,331.04M,227.42M,0.007M,0.827M,0.924M,0.097M,,227.42M,103.62M,0.924M,0.827M,0.097M,0.007M,0.097M,103.72M,37.03M,66.70M,,-0.874M,65.82M,65.82M,124.78M,20.23M,104.55M,,0.53,0.00,0.5300,0.53,,0.52,0.00,0.5200,0.52,,124.99M,126.64M,0.00,,AOR,Restated
2010-09,2.343B,2.343B,1.995B,348.03M,228.51M,,0.383M,1.183M,0.80M,,228.51M,119.52M,1.183M,0.383M,0.80M,0.072M,0.80M,120.39M,43.31M,77.08M,,-0.085M,76.99M,76.99M,143.55M,22.78M,120.77M,,0.62,,0.62,0.62,,0.61,,0.61,0.61,,124.66M,126.32M,0.00,,AOR,Restated
2010-06,2.508B,2.508B,2.236B,272.19M,227.10M,-1.644M,8.174M,1.974M,-6.20M,,227.10M,45.08M,1.974M,8.174M,-6.20M,-1.644M,-6.20M,37.24M,18.00M,19.24M,,-0.197M,19.04M,20.11M,66.29M,20.87M,45.41M,,0.15,0.00,0.1586,0.15,,0.15,0.00,0.1585,0.15,,124.33M,125.97M,0.00,,AOR,Restated
2010-03,2.587B,2.587B,2.224B,363.18M,241.18M,-0.935M,0.705M,0.796M,0.091M,,241.18M,122.00M,0.796M,0.705M,0.091M,-0.935M,0.091M,121.16M,43.59M,77.57M,,-0.067M,77.50M,78.10M,143.93M,22.06M,121.86M,,0.63,0.00,0.6348,0.63,,0.62,0.00,0.6248,0.62,,123.91M,125.56M,0.00,,AOR,Restated
2009-12,2.478B,2.478B,2.129B,349.21M,235.73M,-0.559M,0.612M,0.838M,0.226M,,235.73M,113.48M,0.838M,0.612M,0.226M,-0.559M,0.226M,113.15M,40.75M,72.40M,,0.036M,72.44M,72.79M,136.54M,22.78M,113.76M,,0.59,0.00,0.5929,0.59,,0.58,0.00,0.5829,0.58,,123.62M,125.30M,0.00,,AOR,Restated
2009-09,2.553B,2.553B,2.205B,347.98M,225.83M,-1.288M,0.488M,3.489M,3.001M,,225.83M,122.14M,3.489M,0.488M,3.001M,-1.288M,3.001M,123.86M,44.62M,79.24M,,0.077M,79.32M,80.14M,154.04M,29.70M,124.34M,,0.65,0.00,0.6567,0.65,,0.63,0.00,0.6366,0.63,,123.31M,125.06M,0.00,,AOR,Restated
2009-06,2.707B,2.707B,2.335B,371.86M,225.19M,-0.67M,0.402M,2.465M,2.063M,,225.19M,146.67M,2.465M,0.402M,2.063M,-0.67M,2.063M,148.07M,53.38M,94.69M,,0.214M,94.90M,95.33M,167.71M,19.24M,148.47M,,0.77,0.00,0.7735,0.77,,0.76,0.00,0.7634,0.76,,122.95M,124.75M,0.00,,AOR,Restated
2009-03,2.975B,2.975B,2.572B,403.62M,232.94M,-1.853M,0.797M,2.589M,1.792M,,232.94M,170.69M,2.589M,0.797M,1.792M,-1.853M,1.792M,170.63M,61.46M,109.17M,,0.117M,109.29M,110.47M,190.03M,18.60M,171.42M,,0.89,0.00,0.8997,0.89,,0.88,0.00,0.8895,0.88,,122.60M,124.36M,0.00,,AOR,Restated
2008-12,3.233B,3.233B,2.795B,437.42M,256.35M,-2.86M,1.229M,4.602M,3.373M,,256.35M,181.07M,4.602M,1.229M,3.373M,-2.86M,3.373M,181.58M,65.46M,116.12M,,0.234M,116.35M,118.18M,201.61M,18.80M,182.81M,,0.95,0.00,0.9650,0.95,,0.94,0.00,0.9548,0.94,,122.22M,123.98M,0.00,,,Restated
2008-09,3.197B,3.197B,2.736B,460.28M,281.50M,-2.708M,,,,,281.50M,178.78M,,,,-2.708M,,178.72M,64.34M,114.38M,,,114.38M,116.12M,181.12M,19.60M,161.52M,,0.93,0.00,0.9441,0.93,,0.92,0.00,0.9339,0.92,,122.51M,125.01M,0.00,,,
2008-06,2.919B,2.919B,2.467B,451.64M,282.77M,-1.436M,0.987M,3.359M,2.372M,,282.77M,168.87M,3.359M,0.987M,2.372M,-1.436M,2.372M,169.81M,61.13M,108.68M,,,108.68M,109.60M,190.21M,19.42M,170.79M,,0.89,0.00,0.8976,0.89,,0.87,0.00,0.8774,0.87,,121.47M,124.62M,0.00,,,Restated
2008-03,2.665B,2.665B,2.230B,434.59M,280.44M,-1.707M,0.569M,3.298M,2.729M,,280.44M,154.15M,3.298M,0.569M,2.729M,-1.707M,2.729M,155.17M,55.86M,99.31M,,,99.31M,100.40M,173.18M,17.44M,155.74M,,0.82,0.00,0.8290,0.82,,0.80,0.00,0.8088,0.80,,120.96M,124.28M,0.00,,,Restated
2007-12,2.472B,2.472B,2.084B,387.97M,246.71M,9.17M,,,,,246.71M,141.26M,,,,9.17M,,153.70M,55.34M,98.37M,,,98.37M,92.50M,157.92M,16.66M,141.26M,,0.82,0.00,0.7711,0.82,,0.79,0.00,0.7429,0.79,,119.96M,124.52M,0.00,,,
2007-09,2.280B,2.280B,1.948B,332.46M,203.07M,-1.719M,,,,,203.07M,129.39M,,,,-1.719M,,131.02M,47.12M,83.89M,,,83.89M,84.99M,143.74M,14.35M,129.39M,,0.70,0.00,0.7092,0.70,,0.68,0.00,0.6889,0.68,,120.11M,123.63M,0.00,,,
2007-06,2.084B,2.084B,1.767B,316.62M,200.91M,-1.256M,,,,,200.91M,115.70M,,,,-1.256M,,116.86M,42.11M,74.75M,,,74.75M,75.55M,130.28M,14.57M,115.70M,,0.63,0.00,0.6368,0.63,,0.61,0.00,0.6166,0.61,,118.65M,122.54M,0.00,,,
2007-03,2.092B,2.092B,1.801B,290.82M,188.34M,-0.779M,,,,,188.34M,102.49M,,,,-0.779M,,105.04M,37.82M,67.23M,,,67.23M,67.72M,116.33M,13.84M,102.49M,,0.57,0.00,0.5742,0.57,,0.55,0.00,0.5541,0.55,,117.94M,122.23M,0.00,,,
2006-12,2.019B,2.109B,1.747B,361.45M,177.08M,-1.305M,,,,90.00M,267.08M,94.37M,,,,-1.305M,,95.72M,34.46M,61.26M,,,61.26M,62.10M,107.28M,12.91M,94.37M,,0.52,0.00,0.5271,0.52,,0.505,0.00,0.5119,0.505,,117.81M,121.31M,0.00,,,
2006-09,1.979B,1.979B,1.727B,252.71M,167.58M,-0.641M,,,,,167.58M,85.13M,,,,-0.641M,,89.42M,30.69M,58.73M,,,58.73M,59.15M,97.68M,12.55M,85.13M,,0.505,0.00,0.5086,0.505,,0.49,0.00,0.4935,0.49,,116.23M,119.79M,0.00,,,
2006-06,1.926B,1.926B,1.683B,243.26M,163.69M,-1.538M,,,,,163.69M,79.57M,,,,-1.538M,,79.09M,28.46M,50.63M,,,50.63M,51.62M,91.64M,12.07M,79.57M,,0.435,0.00,0.4435,0.435,,0.42,0.00,0.4282,0.42,,116.40M,120.55M,0.00,,,
2006-03,1.832B,1.832B,1.606B,226.34M,156.90M,-0.776M,,,,,156.90M,69.44M,,,,-0.776M,,69.55M,25.05M,44.50M,,,44.50M,45.00M,81.53M,12.09M,69.44M,,0.38,0.00,0.3842,0.38,,0.37,0.00,0.3741,0.37,,117.11M,120.27M,0.00,,,
2005-12,1.683B,1.683B,1.472B,211.94M,144.52M,-1.027M,,,,,144.52M,67.41M,,,,-1.027M,,67.23M,24.20M,43.02M,,,43.02M,43.68M,78.96M,11.55M,67.41M,,0.37,0.00,0.3757,0.37,,0.36,0.00,0.3655,0.36,,116.28M,119.51M,0.00,,,
2005-09,1.519B,1.519B,1.312B,207.21M,145.63M,-0.415M,,,,,145.63M,61.58M,,,,-0.415M,,61.17M,22.87M,38.31M,,,38.31M,38.57M,73.70M,12.12M,61.58M,,0.335,0.00,0.3373,0.335,,0.32,0.00,0.3222,0.32,,114.44M,120.15M,0.00,,,
2005-06,1.449B,1.449B,1.240B,208.88M,150.20M,-0.825M,,,,,150.20M,58.68M,,,,-0.825M,,57.48M,20.88M,36.60M,,,36.60M,37.13M,73.86M,15.17M,58.68M,,0.32,0.00,0.3246,0.32,,0.31,0.00,0.3144,0.31,,114.39M,118.08M,0.00,,,
2005-03,1.383B,1.383B,1.182B,201.48M,154.08M,-1.248M,,,,,154.08M,47.39M,,,,-1.248M,,45.48M,17.64M,27.83M,,,27.83M,28.60M,55.00M,7.605M,47.39M,,0.245,0.00,0.2517,0.245,,0.24,0.00,0.2466,0.24,,113.60M,115.97M,0.00,,,
2004-12,1.283B,1.283B,1.095B,188.74M,136.02M,-0.805M,,,,,136.02M,52.72M,,,,-0.805M,,50.83M,18.30M,32.53M,,,32.53M,33.05M,64.18M,11.46M,52.72M,,0.285,0.00,0.2895,0.285,,0.28,0.00,0.2844,0.28,,114.14M,116.18M,0.00,,,
2004-09,1.216B,1.216B,1.040B,175.38M,148.66M,0.842M,,,,,148.66M,26.72M,,,,0.842M,,27.16M,10.10M,17.07M,,,17.07M,16.54M,35.43M,8.712M,26.72M,,0.15,0.00,0.1453,0.15,,0.15,0.00,0.1454,0.15,,113.02M,114.10M,0.00,,,
2004-06,1.120B,1.120B,960.42M,159.12M,112.49M,-0.509M,,,,,112.49M,46.63M,,,,-0.509M,,46.05M,16.12M,29.93M,,,29.93M,30.26M,54.85M,8.216M,46.63M,,0.265,0.00,0.2679,0.265,,0.26,0.00,0.2629,0.26,,112.94M,115.12M,0.00,,,
2004-03,1.124B,1.124B,955.97M,167.91M,115.13M,0.887M,,,,,115.13M,52.78M,,,,0.887M,,53.50M,18.72M,34.78M,,,34.78M,34.20M,61.39M,8.606M,52.78M,,0.31,0.00,0.3049,0.31,,0.305,0.00,0.2999,0.305,,112.18M,114.02M,0.00,,,
2003-12,1.135B,1.135B,972.87M,162.26M,109.84M,-0.562M,,,,,109.84M,52.42M,,,,-0.562M,,52.00M,18.20M,33.80M,,,33.80M,34.17M,61.04M,8.62M,52.42M,,0.305,0.00,0.3083,0.305,,0.295,0.00,0.2982,0.295,,110.82M,114.58M,0.00,,,
2003-09,1.063B,1.063B,905.34M,157.87M,106.66M,0.491M,,,,,106.66M,51.21M,,,,0.491M,,51.58M,18.06M,33.53M,,,33.53M,33.21M,60.75M,9.538M,51.21M,,0.16,0.00,0.1581,0.16,,0.16,0.00,0.1582,0.16,,172.42M,174.61M,0.00,,,
2003-06,1.131B,1.131B,972.99M,158.11M,107.56M,0.168M,,,,,107.56M,50.55M,,,,0.168M,,50.55M,17.69M,32.86M,,,32.86M,32.75M,59.53M,8.981M,50.55M,,0.295,0.00,0.2940,0.295,,0.29,0.00,0.2890,0.29,,111.39M,113.31M,0.00,,,
2003-03,1.203B,1.203B,1.044B,158.86M,110.35M,0.555M,,,,,110.35M,48.51M,,,,0.555M,,48.43M,16.95M,31.48M,,,31.48M,31.12M,57.56M,9.045M,48.51M,,0.285,0.00,0.2817,0.285,,0.28,0.00,0.2768,0.28,,110.46M,112.43M,0.00,,,
