,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2006-03,-170.20M,,,,4.10M,42.90M,12.50M,55.40M,55.40M,-32.40M,,,426.30M,-38.00M,-781.30M,,,8.00M,-385.00M,,-528.10M,2006-03,-18.70M,,-18.70M,-1.70M,-302.50M,0.90M,-322.00M,,,,-9.00M,,,,,,,,-11.20M,,-27.20M,,2006-03,2.076B,8.40M,1.207B,,2006-03,,,,,2006-03,,
2005-12,-31.90M,,,,117.30M,47.50M,13.40M,60.90M,60.90M,82.40M,,-24.30M,-82.60M,-10.30M,105.10M,,165.50M,-32.50M,145.20M,,349.60M,2005-12,-43.70M,,18.10M,-20.80M,-110.60M,,-113.30M,,,,-10.20M,511.00M,,511.00M,,,,,-27.60M,,491.60M,,2005-12,1.352B,-3.80M,2.076B,,2005-12,511.00M,,,,2005-12,,
2005-09,-102.80M,,,,17.00M,40.40M,15.20M,55.60M,55.60M,-57.40M,,10.20M,401.70M,-0.20M,-382.40M,,-165.50M,85.60M,-60.80M,,-138.20M,2005-09,-33.00M,,-33.00M,-28.00M,6.30M,,-54.70M,,,,-19.70M,-4.70M,,-4.70M,,,,,-5.00M,,-45.10M,,2005-09,1.588B,1.80M,1.352B,,2005-09,-4.70M,,,,2005-09,,
2005-06,9.20M,,,,14.30M,40.60M,8.90M,49.50M,49.50M,52.50M,,14.10M,-424.70M,9.80M,380.50M,,,3.10M,-31.30M,,108.30M,2005-06,-32.20M,,-32.20M,-30.40M,35.20M,-1.80M,-29.20M,,,,-21.10M,4.60M,,4.60M,,,,,-5.00M,,-31.10M,,2005-06,1.550B,-9.50M,1.588B,,2005-06,4.60M,,,,2005-06,,
2005-03,-146.40M,,,,-28.30M,40.30M,13.90M,54.20M,54.20M,-32.90M,,,90.90M,-5.90M,-255.60M,,,-15.90M,-186.50M,,-339.90M,2005-03,-31.80M,,-31.80M,-12.50M,406.10M,1.80M,363.60M,,,,10.40M,0.30M,,0.30M,,,,,-5.00M,,-5.30M,,2005-03,1.550B,-19.30M,1.550B,,2005-03,0.30M,,,,2005-03,,
2004-12,136.80M,,,,-373.20M,49.90M,10.70M,60.60M,60.60M,81.50M,,,25.20M,19.40M,83.70M,-38.10M,,14.20M,251.70M,,573.20M,2004-12,-74.70M,12.30M,-62.40M,-31.60M,-20.10M,-10.00M,-124.10M,,,,7.30M,24.90M,,24.90M,,,,,-5.00M,,15.20M,,2004-12,1.064B,22.10M,1.550B,,2004-12,24.90M,,,,2004-12,,
2004-09,-503.00M,,,,366.70M,41.60M,15.10M,56.70M,56.70M,112.70M,,,303.00M,14.10M,-468.70M,85.60M,,25.80M,-40.20M,,-7.10M,2004-09,-41.80M,-1.10M,-42.90M,-7.50M,141.20M,10.00M,100.80M,,,,-20.20M,0.60M,,0.60M,,,,,5.90M,,-37.10M,,2004-09,999.00M,8.40M,1.064B,,2004-09,0.60M,,,,2004-09,,
2004-06,-88.40M,,,,12.50M,44.00M,15.10M,59.10M,59.10M,-9.90M,,,-387.30M,2.70M,680.50M,-14.80M,,-13.40M,267.70M,,241.00M,2004-06,-39.70M,11.80M,-27.90M,-97.30M,-234.00M,,-359.20M,,,,-37.30M,0.10M,3.10M,3.20M,,,,,-13.20M,,-48.40M,,2004-06,1.173B,-7.10M,999.00M,,2004-06,0.10M,,,,2004-06,,
2004-03,-83.80M,,,,19.40M,49.60M,13.40M,63.00M,63.00M,-56.10M,,,20.70M,14.40M,-240.40M,-67.10M,,-12.40M,-284.80M,,-342.30M,2004-03,-37.80M,17.40M,-20.40M,-39.00M,-102.70M,,-162.10M,,,,-183.50M,,-3.10M,-3.10M,,,,,-7.50M,,-189.20M,,2004-03,1.872B,-5.60M,1.173B,,2004-03,,,,,2004-03,,
2003-12,-189.70M,,,,45.40M,69.00M,17.10M,86.10M,86.10M,164.30M,,,-104.20M,125.00M,278.90M,135.40M,,112.50M,547.60M,0.00,653.70M,2003-12,-65.40M,9.40M,-56.00M,-30.60M,-85.40M,,-172.00M,,,,27.20M,693.80M,,693.80M,,,,,-13.90M,,715.90M,,2003-12,695.50M,-41.40M,1.872B,,2003-12,693.80M,,,,2003-12,,
2003-09,-416.20M,,,,402.30M,60.60M,9.50M,70.10M,70.10M,-81.50M,,,378.10M,-15.10M,-455.10M,-40.60M,38.50M,2.30M,-91.90M,0.00,-117.20M,2003-09,-22.10M,392.10M,370.00M,-52.70M,-13.40M,7.70M,311.60M,,,,-196.40M,-4.90M,,-4.90M,,,,,-5.10M,,-207.00M,,2003-09,700.10M,8.00M,695.50M,,2003-09,-4.90M,,,,2003-09,,
2003-06,-25.60M,,,,39.10M,39.70M,24.60M,64.30M,64.30M,-3.00M,,,-305.80M,16.50M,548.80M,-15.90M,-32.10M,-37.00M,174.50M,-13.40M,235.90M,2003-06,-41.10M,1.00M,-40.10M,-88.40M,-3.10M,1.40M,-130.20M,,,,-623.70M,5.10M,,5.10M,,,,,-7.20M,,-630.60M,,2003-06,1.188B,36.80M,700.10M,,2003-06,5.10M,,,,2003-06,,
2003-03,-8.60M,,,,16.80M,47.20M,22.60M,69.80M,69.80M,-21.70M,,,233.60M,-39.60M,-513.90M,-16.10M,-6.40M,,-342.40M,,-286.10M,2003-03,-31.00M,1.00M,-30.00M,-52.90M,2.80M,-9.10M,-89.20M,,,,634.10M,2.90M,,2.90M,,,,,-0.20M,,615.20M,,2003-03,933.00M,15.30M,1.188B,,2003-03,2.90M,,,,2003-03,,
2002-12,-73.10M,,,,105.90M,66.70M,13.60M,80.30M,80.30M,4.70M,,7.50M,-85.50M,11.70M,520.90M,47.40M,,18.00M,512.50M,5.80M,643.60M,2002-12,-54.80M,5.10M,-49.70M,-24.60M,-73.00M,20.40M,-126.90M,,,,-230.80M,9.30M,0.00,9.30M,,,,,-69.30M,,-264.00M,,2002-12,615.00M,82.60M,953.20M,,2002-12,9.30M,,,,2002-12,,
2002-09,-114.70M,,,,132.40M,41.40M,26.20M,67.60M,67.60M,-34.20M,,2.20M,427.50M,-28.50M,-236.40M,12.20M,35.60M,-42.20M,168.20M,3.30M,224.80M,2002-09,-34.70M,8.70M,-26.00M,-45.70M,11.30M,36.00M,-24.40M,,,,-84.60M,5.50M,-0.20M,5.30M,,,,,-36.50M,,-90.80M,,2002-09,537.30M,-31.90M,615.00M,,2002-09,5.50M,,,,2002-09,,
2002-06,113.20M,,,,23.80M,50.00M,22.00M,72.00M,72.00M,17.00M,,-9.70M,-197.10M,-29.90M,239.50M,-53.40M,7.90M,30.80M,-2.20M,,214.10M,2002-06,-47.10M,0.00,-47.10M,-141.20M,7.60M,-49.70M,-230.40M,,,,2.30M,18.20M,-5.50M,12.70M,,,,,-36.50M,,-21.50M,,2002-06,575.10M,0.00,537.30M,,2002-06,18.20M,,,,2002-06,,
2002-03,59.80M,,,,2.60M,48.70M,21.20M,69.90M,69.90M,42.30M,,,160.40M,0.30M,-417.80M,-68.50M,-43.50M,,-369.10M,,-194.50M,2002-03,-34.80M,0.20M,-34.60M,-65.30M,7.40M,-6.70M,-99.20M,,,,-44.10M,26.00M,-2.20M,23.80M,,,,,-36.00M,,-56.30M,,2002-03,935.20M,-10.10M,575.10M,,2002-03,26.00M,,,,2002-03,,
2001-12,80.80M,,,,16.30M,41.90M,54.40M,96.30M,96.30M,-3.50M,,,66.20M,-73.10M,168.60M,116.10M,168.40M,,446.20M,,636.10M,2001-12,-62.80M,6.70M,-56.10M,-81.00M,-84.90M,92.10M,-129.90M,,,,-181.60M,15.90M,-4.20M,11.70M,,,,,-58.90M,,-245.00M,,2001-12,685.60M,-11.60M,935.20M,,2001-12,15.90M,,,,2001-12,,
2001-09,-484.20M,,,,196.50M,52.10M,61.10M,113.20M,113.20M,-101.80M,,8.70M,524.00M,-0.90M,-384.20M,41.40M,-87.80M,-13.00M,79.50M,,-188.10M,2001-09,-70.00M,1.30M,-68.70M,-85.40M,7.90M,-6.00M,-152.20M,,,,366.70M,13.30M,-13.70M,-0.40M,,,,,-35.20M,,328.40M,,2001-09,686.10M,11.40M,685.60M,,2001-09,13.30M,,,,2001-09,,
2001-06,-115.50M,,,,240.90M,52.30M,60.40M,112.70M,112.70M,-21.80M,,-8.70M,-191.10M,11.40M,306.90M,-5.10M,-49.80M,13.00M,85.30M,,292.90M,2001-06,-64.00M,0.90M,-63.10M,-75.90M,-6.90M,-62.90M,-208.80M,,,,26.60M,19.50M,-37.80M,-18.30M,,,,,-37.70M,,-29.40M,,2001-06,631.60M,-0.20M,686.10M,,2001-06,19.50M,,,,2001-06,,
2001-03,-31.20M,,,,160.80M,51.80M,57.10M,108.90M,108.90M,-60.30M,,,411.30M,-54.20M,-1.082B,-53.70M,-12.90M,,-791.00M,,-612.80M,2001-03,-60.70M,11.30M,-49.40M,-66.50M,-11.60M,-23.20M,-150.70M,,,,648.70M,36.90M,-62.30M,-25.40M,,,,,-36.90M,,586.40M,,2001-03,844.60M,-35.90M,631.60M,,2001-03,36.90M,,,,2001-03,,
2000-12,85.70M,,,,27.40M,56.70M,68.40M,125.10M,125.10M,-17.10M,,,55.80M,1.70M,450.00M,-29.50M,-63.70M,,432.30M,29.10M,682.50M,2000-12,-72.80M,-2.00M,-74.80M,-135.60M,-73.00M,102.00M,-181.40M,,,,-202.40M,-2.40M,-55.40M,-57.80M,,,,,-39.20M,,-311.30M,,2000-12,642.40M,-16.70M,844.60M,,2000-12,-2.40M,,,,2000-12,,
2000-09,132.97M,,,,48.29M,143.50M,129.00M,140.54M,140.54M,16.12M,,,18.77M,-58.30M,-424.27M,129.75M,13.46M,,-320.59M,-29.10M,-11.77M,2000-09,-89.99M,14.10M,-75.89M,-225.48M,19.00M,-47.46M,-329.83M,,,,321.05M,33.87M,-78.66M,-44.79M,,,,,-61.91M,,214.35M,,2000-09,687.53M,-30.07M,642.40M,,2000-09,33.87M,,,,2000-09,,
2000-06,131.20M,,,,8.038M,-35.64M,-30.37M,65.95M,65.95M,-15.34M,,,-239.09M,17.98M,261.66M,-129.75M,22.51M,,-66.69M,,123.16M,2000-06,-61.78M,,-61.78M,-251.70M,-0.231M,-102.94M,-416.65M,,,,383.50M,9.706M,-49.74M,-40.03M,,,,,-22.40M,,321.07M,,2000-06,692.76M,-9.756M,687.53M,,2000-06,9.706M,,,,2000-06,,
2000-03,42.94M,,,,14.47M,35.64M,30.37M,66.01M,66.01M,-5.288M,,,-43.78M,-17.98M,-255.58M,,7.424M,,-309.92M,,-191.79M,2000-03,-34.93M,,-34.93M,-57.32M,-12.87M,-42.09M,-147.22M,,,,95.75M,18.83M,-64.30M,-45.48M,,,,,-29.89M,,20.38M,,2000-03,1.029B,-17.68M,692.76M,,2000-03,18.83M,,,,2000-03,,
1999-12,64.79M,,,,37.56M,,,90.55M,90.55M,17.20M,,,-441.08M,,864.95M,95.71M,-62.70M,,456.88M,,666.80M,1999-12,-85.21M,,-12.67M,-66.20M,-31.67M,-140.13M,-250.68M,,,,-6.703M,11.84M,-91.50M,-79.66M,,,,,-35.99M,,-122.36M,,1999-12,726.90M,-12.37M,1.029B,,1999-12,11.84M,,,,1999-12,,
1999-09,67.78M,,,,-5.113M,,,57.51M,57.51M,-6.494M,,,168.92M,,-204.41M,-29.08M,-7.23M,,-71.80M,,41.88M,1999-09,-41.15M,,-41.15M,-48.78M,23.85M,47.95M,-18.13M,,,,-15.01M,11.64M,-82.05M,-70.41M,,,,,-23.84M,,-109.26M,,1999-09,814.05M,-1.627M,726.90M,,1999-09,11.64M,,,,1999-09,,
1999-06,153.92M,,,,3.855M,,,60.50M,60.50M,1.613M,,,-518.55M,,494.69M,-3.34M,31.50M,,4.299M,,224.18M,1999-06,23.50M,,23.50M,-133.43M,15.41M,-40.84M,-135.36M,,,,143.91M,16.36M,-47.48M,-31.12M,,,,,-24.74M,,88.05M,,1999-06,0.00,-0.456M,814.05M,,1999-06,16.36M,,,,1999-06,,
1999-03,44.80M,,,,-6.30M,,,45.00M,45.00M,-3.00M,,,-29.80M,,-158.60M,-82.30M,-5.50M,,-276.20M,,-195.70M,1999-03,-83.80M,,-83.80M,,-16.70M,-5.00M,-105.50M,,,,261.20M,26.30M,-79.50M,-53.20M,,,,,-20.50M,,187.50M,,1999-03,808.80M,-29.10M,0.00,,1999-03,26.30M,,,,1999-03,,
1998-12,136.71M,,,,1.748M,,,67.25M,67.25M,-10.17M,,,-198.74M,,406.30M,-41.49M,34.21M,,200.28M,,395.82M,1998-12,9.804M,,38.15M,,-9.566M,-4.625M,-232.04M,,,,77.22M,8.439M,-16.33M,-7.889M,,,,,-33.96M,,28.08M,,1998-12,623.80M,7.298M,801.21M,,1998-12,8.439M,,,,1998-12,,
1998-09,46.90M,,,,8.40M,,,42.40M,42.40M,-2.60M,,0.10M,208.30M,,-208.80M,-5.30M,-17.20M,,-23.00M,,72.20M,1998-09,-50.40M,,-50.40M,,19.20M,3.40M,-27.80M,,,,-23.30M,7.00M,-42.50M,-35.50M,,,,,-19.90M,,-71.30M,,1998-09,0.00,11.70M,623.80M,,1998-09,7.00M,,,,1998-09,,
1998-06,118.60M,,,,-7.30M,,,42.00M,42.00M,-4.00M,,-0.30M,-332.40M,,417.90M,7.70M,26.80M,,120.00M,,269.00M,1998-06,-41.80M,,-41.80M,,8.30M,-9.10M,-42.60M,,,,14.30M,10.00M,-73.20M,-63.20M,,,,,-22.40M,,-71.40M,,1998-06,0.00,-4.20M,0.00,,1998-06,10.00M,,,,1998-06,,
