,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,2.861B,2.861B,1.75B,1.111B,767.00M,,23.00M,2.00M,-21.00M,767.00M,344.00M,2.00M,23.00M,-21.00M,1.00M,-21.00M,324.00M,76.00M,248.00M,,,-11.00M,237.00M,237.00M,411.00M,64.00M,347.00M,,4.19,,,4.19,4.19,,4.16,,,4.16,4.16,,56.11M,56.55M,1.36,,AOR,Restated
2018-03,2.766B,2.766B,1.674B,1.092B,757.00M,,25.00M,0.00,-25.00M,757.00M,335.00M,0.00,25.00M,-25.00M,-3.00M,-25.00M,307.00M,66.00M,241.00M,,,-9.00M,232.00M,232.00M,396.00M,64.00M,332.00M,,4.09,,,4.09,4.09,,4.07,,,4.07,4.07,,56.06M,56.40M,1.28,,AOR,Restated
2017-12,2.633B,2.633B,1.611B,1.022B,785.99M,,21.03M,,-22.39M,785.99M,235.68M,,21.03M,-22.39M,-5.154M,-22.39M,208.13M,45.76M,162.37M,,,-11.04M,151.33M,151.33M,298.82M,69.66M,229.16M,,2.64,,,2.64,2.64,,2.63,,,2.63,2.63,,56.77M,57.01M,1.28,,AOR,Restated
2017-09,2.636B,2.636B,1.619B,1.017B,739.44M,,23.79M,0.707M,-23.08M,739.44M,277.74M,0.707M,23.79M,-23.08M,-4.657M,-23.08M,250.00M,79.18M,170.82M,,,-8.81M,162.01M,162.01M,339.93M,66.14M,273.79M,,2.80,,,2.80,2.80,,2.79,,,2.79,2.79,,57.32M,57.52M,1.28,,AOR,Restated
2017-06,2.615B,2.615B,1.575B,1.040B,810.88M,,22.47M,0.465M,-22.00M,810.88M,229.08M,0.465M,22.47M,-22.00M,0.119M,-22.00M,207.20M,100.24M,106.96M,,,-9.038M,97.92M,97.92M,295.61M,65.95M,229.66M,,1.68,,,1.68,1.68,,1.67,,,1.67,1.67,,58.01M,58.29M,1.28,,AOR,Restated
2017-03,2.541B,2.541B,1.522B,1.019B,726.69M,,18.71M,0.193M,-18.52M,726.69M,292.50M,0.193M,18.71M,-18.52M,-3.308M,-18.52M,270.67M,87.82M,182.85M,,,-8.109M,174.74M,174.74M,351.64M,62.25M,289.39M,,2.95,,,2.95,2.95,,2.93,,,2.93,2.93,,58.72M,59.20M,1.22,,AOR,Restated
2016-12,2.471B,2.471B,1.480B,990.14M,822.40M,,27.44M,0.526M,-26.92M,822.40M,167.73M,0.526M,27.44M,-26.92M,4.438M,-26.92M,145.25M,76.75M,68.50M,,,-7.764M,60.74M,60.74M,244.30M,71.60M,172.70M,,1.02,,,1.02,1.02,,1.01,,,1.01,1.01,,59.16M,59.56M,1.22,,AOR,Restated
2016-09,2.596B,2.596B,1.557B,1.040B,717.16M,,18.02M,0.147M,-17.88M,717.16M,322.59M,0.147M,18.02M,-17.88M,-11.52M,-17.88M,293.18M,99.78M,193.41M,,,-7.536M,185.87M,185.87M,375.11M,63.90M,311.21M,,3.07,,,3.07,3.07,,3.05,,,3.05,3.05,,60.02M,60.42M,1.22,,AOR,Restated
2016-06,2.564B,2.564B,1.524B,1.040B,734.47M,,16.81M,0.162M,-16.64M,734.47M,305.59M,0.162M,16.81M,-16.64M,-5.965M,-16.64M,282.98M,103.54M,179.44M,,,-6.769M,172.68M,172.68M,356.99M,57.20M,299.79M,,2.81,,,2.81,2.81,,2.79,,,2.79,2.79,,60.89M,61.30M,1.22,,AOR,Restated
2016-03,2.507B,2.507B,1.461B,1.045B,727.96M,,13.72M,0.165M,-13.56M,727.96M,317.09M,0.165M,13.72M,-13.56M,-5.948M,-13.56M,297.58M,105.94M,191.64M,,,-4.931M,186.71M,186.71M,367.60M,56.29M,311.31M,,3.00,,,3.00,3.00,,2.98,,,2.98,2.98,,61.67M,62.10M,1.17,,AOR,Restated
2015-12,2.478B,2.478B,1.476B,1.002B,750.75M,,13.85M,0.232M,-13.62M,750.75M,251.63M,0.232M,13.85M,-13.62M,-3.073M,-13.62M,234.93M,85.76M,149.17M,,,-3.939M,145.23M,145.23M,312.55M,63.77M,248.78M,,2.32,,,2.32,2.32,,2.30,,,2.30,2.30,,62.06M,62.51M,1.17,,AOR,Restated
2015-09,2.533B,2.533B,1.471B,1.062B,721.15M,,13.90M,0.464M,-13.44M,721.15M,340.73M,0.464M,13.90M,-13.44M,-7.847M,-13.44M,319.45M,122.82M,196.62M,,,-4.421M,192.20M,192.20M,390.61M,57.26M,333.35M,,2.94,,,2.94,2.94,,2.92,,,2.92,2.92,,64.72M,65.29M,1.17,,AOR,Restated
2015-06,2.523B,2.523B,1.449B,1.073B,716.72M,,4.184M,0.277M,-3.907M,716.72M,356.72M,0.277M,4.184M,-3.907M,-4.124M,-3.907M,348.69M,123.45M,225.24M,,,-4.687M,220.55M,220.55M,407.40M,54.53M,352.87M,,3.28,,,3.28,3.28,,3.25,,,3.25,3.25,,66.65M,67.32M,1.17,,AOR,Restated
2015-03,2.440B,2.440B,1.346B,1.094B,742.50M,,1.636M,0.192M,-1.444M,742.50M,351.25M,0.192M,1.636M,-1.444M,-2.164M,-1.444M,347.64M,133.49M,214.15M,,,-3.131M,211.02M,211.02M,401.69M,52.41M,349.28M,,3.11,,,3.11,3.11,,3.07,,,3.07,3.07,,67.23M,67.98M,1.08,,AOR,Restated
2014-12,2.511B,2.511B,1.456B,1.055B,788.29M,,2.096M,0.384M,-1.712M,788.29M,266.51M,0.384M,2.096M,-1.712M,-3.089M,-1.712M,261.71M,110.60M,151.11M,,,-2.275M,148.84M,148.84M,324.38M,60.58M,263.81M,,2.17,,,2.17,2.17,,2.14,,,2.14,2.14,,67.89M,68.70M,1.08,,AOR,Restated
2014-09,2.562B,2.562B,1.459B,1.103B,717.27M,,2.377M,0.63M,-1.747M,717.27M,385.51M,0.63M,2.377M,-1.747M,-1.131M,-1.747M,382.64M,149.58M,233.05M,,,-2.728M,230.32M,230.32M,438.97M,53.96M,385.01M,,3.33,,,3.33,3.33,,3.30,,,3.30,3.30,,68.30M,69.11M,1.08,,AOR,Restated
2014-06,2.506B,2.506B,1.425B,1.081B,739.94M,,2.757M,0.413M,-2.344M,739.94M,340.75M,0.413M,2.757M,-2.344M,0.018M,-2.344M,338.42M,129.35M,209.08M,,,-3.162M,205.92M,205.92M,389.20M,48.02M,341.18M,,2.97,,,2.97,2.97,,2.94,,,2.94,2.94,,68.45M,69.34M,1.08,,AOR,Restated
2014-03,2.386B,2.386B,1.310B,1.076B,721.63M,,2.863M,0.64M,-2.223M,721.63M,354.34M,0.64M,2.863M,-2.223M,-0.503M,-2.223M,351.61M,132.56M,219.06M,,,-2.402M,216.65M,216.65M,400.25M,45.78M,354.48M,,3.11,,,3.11,3.11,,3.07,,,3.07,3.07,,68.70M,69.68M,0.93,,AOR,Restated
2013-12,2.377B,2.377B,1.371B,1.006B,749.63M,,3.123M,0.718M,-2.405M,749.63M,256.76M,0.718M,3.123M,-2.405M,-0.063M,-2.405M,254.30M,94.90M,159.39M,,,-2.644M,156.75M,156.75M,311.87M,54.45M,257.42M,,2.24,,,2.24,2.24,,2.20,,,2.20,2.20,,69.14M,70.19M,0.93,,AOR,Restated
2013-09,2.399B,2.399B,1.347B,1.051B,704.65M,,3.734M,0.822M,-2.912M,704.65M,346.72M,0.822M,3.734M,-2.912M,0.058M,-2.912M,343.86M,130.79M,213.08M,,,-2.286M,210.79M,210.79M,392.95M,45.35M,347.60M,,2.99,,,2.99,2.99,,2.95,,,2.95,2.95,,69.46M,70.55M,0.93,,AOR,Restated
2013-06,2.382B,2.382B,1.335B,1.047B,696.91M,,3.201M,0.796M,-2.405M,696.91M,350.07M,0.796M,3.201M,-2.405M,-0.147M,-2.405M,347.52M,126.77M,220.75M,,,-3.093M,217.66M,217.66M,392.59M,41.87M,350.72M,,3.08,,,3.08,3.08,,3.03,,,3.03,3.03,,69.66M,70.80M,0.93,,AOR,Restated
2013-03,2.280B,2.280B,1.249B,1.032B,688.43M,,3.166M,0.898M,-2.268M,688.43M,343.30M,0.898M,3.166M,-2.268M,0.887M,-2.268M,341.92M,127.40M,214.53M,,,-2.689M,211.84M,211.84M,384.04M,38.94M,345.09M,,2.99,,,2.99,2.99,,2.94,,,2.94,2.94,,69.56M,70.77M,0.80,,AOR,Restated
2012-12,2.226B,2.226B,1.257B,969.52M,711.09M,,5.36M,0.756M,-4.604M,711.09M,258.44M,0.756M,5.36M,-4.604M,-0.007M,-4.604M,253.83M,95.34M,158.49M,,,-2.219M,156.27M,156.27M,304.90M,45.71M,259.19M,,2.21,,,2.21,2.21,,2.17,,,2.17,2.17,,69.56M,70.81M,0.80,,AOR,Restated
2012-09,2.281B,2.281B,1.287B,993.96M,739.63M,,4.751M,0.707M,-4.044M,739.63M,254.33M,0.707M,4.751M,-4.044M,0.438M,-4.044M,250.72M,92.92M,157.80M,,,-2.41M,155.39M,155.39M,295.37M,39.90M,255.47M,,2.19,,,2.19,2.19,,2.15,,,2.15,2.15,,69.63M,70.96M,0.80,,AOR,Restated
2012-06,2.249B,2.249B,1.271B,978.34M,664.34M,,2.91M,0.602M,-2.308M,664.34M,314.00M,0.602M,2.91M,-2.308M,-0.963M,-2.308M,310.73M,117.63M,193.10M,,,-2.397M,190.70M,190.70M,350.40M,36.76M,313.64M,,2.68,,,2.68,2.68,,2.63,,,2.63,2.63,,69.94M,71.31M,0.80,,AOR,Restated
2012-03,2.193B,2.193B,1.219B,974.33M,669.97M,,3.057M,0.595M,-2.462M,669.97M,304.36M,0.595M,3.057M,-2.462M,0.614M,-2.462M,302.51M,113.06M,189.46M,,,-1.942M,187.52M,187.52M,342.25M,36.68M,305.57M,,2.63,,,2.63,2.63,,2.57,,,2.57,2.57,,70.13M,71.66M,0.66,,AOR,Restated
2011-12,2.077B,2.077B,1.171B,905.78M,684.29M,,2.654M,0.508M,-2.146M,684.29M,221.49M,0.508M,2.654M,-2.146M,6.731M,-2.146M,226.08M,74.37M,151.71M,,,-3.224M,148.48M,148.48M,274.36M,45.63M,228.73M,,2.08,,,2.08,2.08,,2.04,,,2.04,2.04,,69.90M,71.39M,0.66,,AOR,Restated
2011-09,2.115B,2.115B,1.202B,913.00M,609.96M,-0.555M,2.579M,0.553M,-2.026M,609.96M,303.04M,0.553M,2.579M,-2.026M,-0.555M,-2.026M,300.46M,116.41M,184.05M,,,-1.926M,182.12M,182.46M,340.57M,37.53M,303.04M,,2.56,0.00,,2.565,2.56,,2.51,0.00,,2.515,2.51,,69.85M,71.28M,0.66,,AOR,Restated
2011-06,2.003B,2.003B,1.141B,862.39M,597.11M,-0.003M,1.98M,0.527M,-1.453M,597.11M,265.28M,0.527M,1.98M,-1.453M,-0.003M,-1.453M,263.83M,92.26M,171.57M,,,-1.684M,169.88M,169.89M,299.28M,33.47M,265.81M,,2.39,0.00,,2.390,2.39,,2.34,0.00,,2.340,2.34,,69.61M,71.12M,0.66,,AOR,Restated
2011-03,1.884B,1.884B,1.054B,829.61M,567.00M,-0.052M,1.878M,0.48M,-1.398M,567.00M,262.61M,0.48M,1.878M,-1.398M,-0.052M,-1.398M,261.16M,102.08M,159.09M,,,-1.155M,157.93M,157.96M,295.61M,32.57M,263.04M,,2.23,0.00,,2.230,2.23,,2.18,0.00,,2.180,2.18,,69.40M,70.91M,0.54,,AOR,Restated
2010-12,1.827B,1.827B,1.064B,763.13M,551.73M,,1.983M,0.37M,-1.613M,551.73M,211.40M,0.37M,1.983M,-1.613M,0.359M,-1.613M,210.15M,76.95M,133.20M,,,-0.991M,132.21M,132.21M,252.59M,40.46M,212.13M,,1.86,,,1.86,1.86,,1.83,,,1.83,1.83,,69.19M,70.64M,0.54,,AOR,Restated
2010-09,1.899B,1.899B,1.110B,789.72M,538.45M,0.207M,1.954M,0.324M,-1.63M,538.45M,251.27M,0.324M,1.954M,-1.63M,0.201M,-1.63M,249.84M,98.55M,151.30M,,,-0.892M,150.40M,150.28M,289.12M,37.32M,251.80M,,2.10,0.00,,2.098,2.10,,2.06,0.00,,2.058,2.06,,69.92M,71.17M,0.54,,AOR,Restated
2010-06,1.784B,1.784B,1.037B,747.09M,532.17M,-0.008M,2.22M,0.28M,-1.94M,532.17M,214.92M,0.28M,2.22M,-1.94M,-0.179M,-1.94M,212.80M,83.13M,129.67M,,,-0.59M,129.08M,129.08M,251.07M,36.05M,215.02M,,1.76,0.00,,1.760,1.76,,1.73,0.00,,1.730,1.73,,71.69M,72.93M,0.54,,AOR,Restated
2010-03,1.672B,1.672B,966.61M,705.74M,522.86M,-0.026M,2.03M,0.241M,-1.789M,522.86M,182.88M,0.241M,2.03M,-1.789M,-0.106M,-1.789M,180.99M,81.57M,99.42M,,,-0.244M,99.17M,99.19M,218.87M,35.85M,183.02M,,1.34,0.00,,1.340,1.34,,1.31,0.00,,1.310,1.31,,72.58M,73.85M,0.46,,AOR,Restated
2009-12,1.634B,1.634B,949.62M,684.20M,518.84M,47.39M,2.032M,0.31M,-1.722M,518.84M,165.36M,0.31M,2.032M,-1.722M,0.184M,-1.722M,163.82M,66.46M,97.36M,,,-0.306M,97.06M,66.25M,209.29M,43.44M,165.86M,,1.29,0.00,,0.8702,1.29,,1.28,0.00,,0.8674,1.28,,73.39M,74.65M,0.46,,AOR,Restated
2009-09,1.590B,1.590B,929.72M,659.94M,473.22M,0.526M,2.198M,0.374M,-1.824M,473.22M,186.72M,0.374M,2.198M,-1.824M,48.52M,-1.824M,233.42M,88.86M,144.56M,,,0.00,144.56M,114.87M,271.21M,35.59M,235.62M,,1.91,0.00,,1.509,1.91,,1.88,0.00,,1.485,1.88,,74.05M,75.20M,0.46,,AOR,Restated
2009-06,1.533B,1.533B,908.30M,624.97M,471.04M,-0.965M,2.318M,0.273M,-2.045M,471.04M,153.93M,0.273M,2.318M,-2.045M,-0.258M,-2.045M,151.63M,59.16M,92.47M,,,0.00,92.47M,93.05M,188.82M,34.87M,153.94M,,1.23,0.00,,1.238,1.23,,1.21,0.00,,1.218,1.21,,73.44M,74.56M,0.46,,AOR,Restated
2009-03,1.465B,1.465B,835.83M,629.42M,470.20M,0.995M,2.218M,0.401M,-1.817M,470.20M,159.21M,0.401M,2.218M,-1.817M,0.995M,-1.817M,158.47M,62.09M,96.38M,,,0.00,96.38M,95.77M,194.32M,33.63M,160.69M,,1.27,0.00,,1.262,1.27,,1.25,0.00,,1.242,1.25,,74.26M,75.14M,0.40,,AOR,Restated
2008-12,1.593B,1.593B,912.59M,680.06M,499.51M,-4.249M,,,,499.51M,180.56M,,,,-3.442M,,173.65M,65.73M,107.92M,,,,107.92M,110.56M,224.39M,38.80M,185.59M,,1.29,0.00,,1.325,1.29,,1.29,0.00,,1.325,1.29,,75.88M,75.88M,0.40,,AOR,Restated
2008-09,1.839B,1.839B,1.097B,742.35M,510.89M,-0.731M,,,,510.89M,231.46M,,,,0.024M,,228.69M,88.67M,140.02M,,,,140.02M,140.47M,267.33M,35.87M,231.46M,,1.84,0.00,,1.846,1.84,,1.79,0.00,,1.796,1.79,,75.97M,78.28M,0.40,,,
2008-06,1.757B,1.757B,1.051B,705.88M,521.04M,0.731M,,,,521.04M,184.84M,,,,2.074M,,184.38M,71.20M,113.18M,,,,113.18M,112.73M,218.17M,33.34M,184.84M,,1.48,0.00,,1.474,1.48,,1.43,0.00,,1.424,1.43,,76.54M,79.01M,0.40,,,
2008-03,1.661B,1.661B,981.11M,679.93M,494.11M,0.569M,,,,494.11M,185.82M,,,,1.306M,,186.50M,72.26M,114.24M,,,,114.24M,113.89M,217.38M,31.56M,185.82M,,1.47,0.00,,1.466,1.47,,1.43,0.00,,1.426,1.43,,77.93M,80.13M,0.35,,,
2007-12,1.612B,1.612B,940.27M,671.48M,504.32M,0.094M,,,,504.32M,167.16M,,,,1.757M,,168.70M,64.31M,104.39M,,,,104.39M,104.33M,205.56M,38.40M,167.16M,,1.32,0.00,,1.319,1.32,,1.27,0.00,,1.269,1.27,,79.30M,81.82M,0.35,,,
2007-09,1.659B,1.659B,999.00M,659.59M,485.26M,-0.041M,,,,485.26M,174.33M,,,,0.429M,,177.18M,68.03M,109.15M,,,,109.15M,109.18M,207.20M,32.87M,174.33M,,1.33,0.00,,1.330,1.33,,1.29,0.00,,1.290,1.29,,82.23M,84.86M,0.35,,,
2007-06,1.601B,1.601B,960.55M,640.46M,473.89M,-0.045M,,,,473.89M,166.58M,,,,0.18M,,170.25M,65.46M,104.79M,,,,104.79M,104.82M,197.38M,30.80M,166.58M,,1.25,0.00,,1.250,1.25,,1.21,0.00,,1.210,1.21,,84.13M,86.78M,0.35,,,
2007-03,1.547B,1.547B,914.57M,632.09M,469.50M,0.033M,,,,469.50M,162.58M,,,,-0.309M,,165.72M,63.93M,101.79M,,,,101.79M,101.77M,192.51M,29.92M,162.58M,,1.21,0.00,,1.210,1.21,,1.17,0.00,,1.170,1.17,,83.98M,86.76M,0.29,,,
2006-12,1.462B,1.462B,860.73M,601.43M,453.63M,0.036M,,,,453.63M,147.80M,,,,0.447M,,152.98M,54.05M,98.93M,,,,98.93M,98.91M,181.99M,34.20M,147.80M,,1.15,0.00,,1.150,1.15,,1.13,0.00,,1.130,1.13,,85.12M,87.82M,0.29,,,
2006-09,1.519B,1.519B,920.41M,599.09M,447.77M,-0.075M,,,,447.77M,151.31M,,,,0.405M,,156.80M,52.31M,104.49M,,,,104.49M,104.54M,180.86M,29.55M,151.31M,,1.20,0.00,,1.201,1.20,,1.16,0.00,,1.161,1.16,,87.26M,89.68M,0.29,,,
2006-06,1.483B,1.483B,899.58M,583.30M,438.76M,2.584M,,,,438.76M,144.54M,,,,3.446M,,152.87M,59.13M,93.74M,,,,93.74M,92.15M,172.25M,27.71M,144.54M,,1.05,0.00,,1.032,1.05,,1.02,0.00,,1.003,1.02,,89.34M,92.10M,0.29,,,
2006-03,1.419B,1.419B,848.79M,570.33M,435.91M,-0.123M,,,,435.91M,134.42M,,,,1.084M,,140.37M,54.13M,86.23M,,,,86.23M,86.31M,161.53M,27.12M,134.42M,,0.96,0.00,,0.9608,0.96,,0.93,0.00,,0.9308,0.93,,89.64M,92.48M,0.24,,,
2005-12,1.391B,1.391B,803.23M,587.37M,443.42M,0.082M,,,,443.42M,143.96M,,,,0.77M,,149.02M,45.18M,103.83M,,,,103.83M,103.78M,173.39M,29.43M,143.96M,,1.17,0.00,,1.169,1.17,,1.13,0.00,,1.129,1.13,,89.33M,91.68M,0.24,,,
2005-09,1.428B,1.428B,880.18M,548.16M,412.28M,-0.123M,,,,412.28M,135.88M,,,,0.688M,,139.38M,51.27M,88.11M,,,,88.11M,88.19M,162.44M,26.55M,135.88M,,0.98,0.00,,0.9809,0.98,,0.97,0.00,,0.9709,0.97,,89.06M,91.13M,0.24,,,
2005-06,1.373B,1.373B,845.68M,527.13M,400.94M,-0.064M,,,,400.94M,126.19M,,,,0.826M,,128.98M,47.39M,81.59M,,,,81.59M,81.63M,152.56M,26.36M,126.19M,,0.91,0.00,,0.9105,0.91,,0.89,0.00,,0.8904,0.89,,89.49M,91.08M,0.24,,,
2005-03,1.335B,1.335B,836.00M,498.88M,390.20M,4.243M,,,,390.20M,108.68M,,,,4.663M,,115.30M,42.50M,72.79M,,,,72.79M,70.11M,135.11M,26.43M,108.68M,,0.81,0.00,,0.7804,0.81,,0.79,0.00,,0.7610,0.79,,90.40M,92.46M,0.20,,,
2004-12,1.265B,1.265B,744.88M,520.08M,394.13M,-0.406M,,,,394.13M,125.94M,,,,0.287M,,127.80M,37.74M,90.06M,,,,90.06M,90.34M,147.86M,21.92M,125.94M,,1.00,0.00,,1.003,1.00,,0.98,0.00,,0.9831,0.98,,90.08M,92.01M,0.20,,,
2004-09,1.301B,1.301B,821.77M,479.28M,371.84M,0.365M,,,,371.84M,107.44M,,,,0.87M,,108.87M,41.18M,67.69M,,,,67.69M,67.46M,133.09M,25.64M,107.44M,,0.75,0.00,,0.7475,0.75,,0.74,0.00,,0.7375,0.74,,90.30M,91.69M,0.20,,,
2004-06,1.256B,1.256B,796.15M,459.83M,352.94M,0.277M,,,,352.94M,106.89M,,,,0.42M,,107.36M,40.74M,66.62M,,,,66.62M,66.45M,131.23M,24.34M,106.89M,,0.74,0.00,,0.7381,0.74,,0.72,0.00,,0.7181,0.72,,90.24M,91.72M,0.20,,,
2004-03,1.228B,1.228B,780.33M,447.46M,346.72M,0.891M,,,,346.72M,100.75M,,,,0.546M,,101.11M,38.55M,62.56M,,,,62.56M,62.01M,127.10M,26.35M,100.75M,,0.69,0.00,,0.6839,0.69,,0.69,0.00,,0.6840,0.69,,90.22M,91.27M,0.185,,,
2003-12,1.154B,1.154B,728.40M,426.01M,317.82M,-2.946M,,,,317.82M,108.19M,,,,-3.354M,,104.45M,42.71M,61.74M,,,,61.74M,63.51M,126.79M,18.60M,108.19M,,0.68,0.00,,0.6995,0.68,,0.67,0.00,,0.6892,0.67,,90.57M,92.10M,0.185,,,
2003-09,1.201B,1.201B,786.53M,414.14M,319.82M,1.273M,,,,319.82M,94.32M,,,,1.217M,,94.76M,37.93M,56.84M,,,,56.84M,56.07M,116.50M,22.18M,94.32M,,0.63,0.00,,0.6216,0.63,,0.62,0.00,,0.6117,0.62,,90.65M,92.52M,0.185,,,
2003-06,1.173B,1.173B,768.59M,404.07M,311.29M,2.668M,,,,311.29M,92.78M,,,,1.899M,,93.83M,37.84M,55.99M,,,,55.99M,54.39M,117.36M,24.58M,92.78M,,0.61,0.00,,0.5924,0.61,,0.60,0.00,,0.5827,0.60,,90.83M,92.37M,0.185,,,
2003-03,1.139B,1.139B,729.16M,410.11M,318.70M,-1.646M,,,,318.70M,91.41M,,,,-2.701M,,88.04M,35.64M,52.40M,,,,52.40M,53.39M,116.30M,24.90M,91.41M,,0.58,0.00,,0.5909,0.58,,0.57,0.00,,0.5807,0.57,,90.87M,92.58M,0.18,,,
2002-12,1.120B,1.120B,707.38M,413.06M,306.26M,0.321M,,,,306.26M,106.80M,,,,-0.664M,,105.84M,43.27M,62.58M,,0.00,,62.58M,62.39M,129.32M,22.52M,106.80M,,0.69,0.00,0.00,0.6879,0.69,,0.68,0.00,-0.0012,0.6779,0.67,,90.69M,92.81M,0.18,,,
